frame1 #0,1851121#1,03318#3,232559#0,269345#0,8334202#3,183492# 0,02966365#0,2715193#3,01755#0,1701026#0,4382902#2,786295#0,05515068#0,330258#2,990839#0,1434#0,4912789#2,822245#0,2013128#0,5320266#2,953286#0,0912647#0,4147905#3,01204#0,3570934#0,6953811#3,126246#0,1779358#0,6666582#3,030486#0,2556944#0,3811707#3,170461#0,2842005#0,3019924#3,109893#0,3257701#0,2634103#3,122843#0,2451492#0,250485#3,08179#0,3032901#-0,2546153#3,095005#0,2892618#-0,2597848#3,087407#0,2754346#-0,6299717#2,939647#0,2504617#-0,6256176#2,92729#0,236672#-0,7038572#2,963292#0,3115641#-0,6764094#2,968966#1  
frame2 #0,1978267#1,035308#3,232134#0,2679819#0,8313885#3,183822# -0,03936906#0,2928487#3,057476#0,2806686#0,3279864#2,740148#0,008146989#0,3432535#3,013199#0,2609991#0,3871843#2,769663#0,1875642#0,5138384#2,967153#0,1123067#0,5124031#2,870218#0,3605333#0,6953981#3,137513#0,1781267#0,6668092#3,03073#0,2533983#0,3815036#3,169665#0,2839912#0,30269#3,110391#0,3258266#0,2638074#3,123583#0,244916#0,250835#3,081828#0,3481111#-0,1726184#3,073929#0,3303447#-0,3359844#3,064167#0,3003184#-0,6074249#2,949886#0,2388075#-0,6313447#2,916445#0,2481773#-0,6761379#2,948828#0,2968632#-0,6874052#2,946909#1  
frame3 #0,2023452#1,050913#3,236247#0,2665909#0,8344085#3,197471# -0,1025971#0,3267843#3,07641#-0,1232368#0,3178955#3,125065#-0,04865086#0,3695619#3,054323#-0,06015649#0,360347#3,061005#0,180479#0,5128775#2,968577#0,1290844#0,4877016#2,884364#0,3670132#0,6984046#3,155#0,1759264#0,6696588#3,040533#0,2478644#0,3976171#3,182603#0,2780095#0,3226435#3,123776#0,3226119#0,2776955#3,140117#0,2381355#0,2622206#3,086133#0,3103248#-0,2469616#3,094034#0,2721239#-0,2475072#3,100166#0,2960691#-0,5993354#2,947372#0,2510656#-0,624982#2,926638#0,2469371#-0,675023#2,942261#0,3084989#-0,6879184#2,956789#1  
frame4 #0,2038815#1,047735#3,268038#0,2705474#0,8331349#3,221038# -0,1264298#0,4345194#3,082009#-0,1326458#0,4144918#3,105135#-0,0658831#0,4572132#3,053838#-0,07982919#0,4566195#3,076539#0,1657963#0,5159974#2,968806#0,09663145#0,4652265#2,938837#0,3652037#0,6980598#3,164236#0,1777527#0,6665329#3,056445#0,2536904#0,3937571#3,19565#0,2827115#0,3193391#3,134585#0,3262888#0,276271#3,150902#0,2429319#0,2609363#3,097949#0,3400937#-0,1572472#3,092126#0,267215#-0,2469391#3,105511#0,2962958#-0,5994065#2,947927#0,2509564#-0,6251352#2,926755#0,2484145#-0,6683931#2,934743#0,3024866#-0,6820551#2,958081#1  
frame5 #0,1808106#1,058792#3,327429#0,2675397#0,8503121#3,269951# -0,1526309#0,6417137#3,133877#-0,1701095#0,4492058#3,14206#-0,08949478#0,5900142#3,080986#-0,1128705#0,4918075#3,111398#0,1382093#0,5533531#3,01823#0,0400582#0,4936412#2,955455#0,35379#0,7090787#3,209647#0,185268#0,6851109#3,10666#0,2495822#0,4084782#3,24425#0,2805037#0,3326767#3,183505#0,3194793#0,2939294#3,198587#0,2437413#0,2830504#3,151014#0,3461711#-0,1539931#3,10627#0,2396368#-0,2522779#3,14877#0,297372#-0,5922924#2,954335#0,2483242#-0,6293851#2,925729#0,2491522#-0,6660072#2,93411#0,3015229#-0,6785442#2,95654#1  
frame6 #0,17506#1,063031#3,327761#0,2689174#0,8539923#3,278728# -0,1551255#0,7646804#3,162894#-0,203612#0,7250806#3,14738#-0,1240886#0,7053089#3,133699#-0,1315106#0,7356309#3,152921#0,07906121#0,5982411#3,054461#0,01859324#0,5180647#2,987312#0,3535538#0,7096252#3,217061#0,1922892#0,6939976#3,122457#0,2456853#0,4023253#3,250417#0,2739279#0,3225223#3,189632#0,3102964#0,2832464#3,204571#0,2387693#0,2771562#3,157001#0,3132094#-0,2556711#3,12584#0,2382016#-0,2542177#3,153368#0,2944313#-0,5980327#2,952141#0,2525917#-0,6303537#2,928905#0,2487308#-0,665741#2,934096#0,307064#-0,6831047#2,95908#1  
frame7 #0,1745968#1,066577#3,326495#0,2687018#0,8552492#3,282672# -0,1192796#0,8678507#3,181627#-0,2087173#0,8286713#3,161506#-0,1008579#0,8006187#3,157101#-0,1358077#0,8393399#3,16711#0,05204678#0,639488#3,064949#-0,05131219#0,5800666#3,03056#0,3516912#0,7098966#3,225446#0,1942393#0,6928461#3,14679#0,2413233#0,3944305#3,266637#0,2646905#0,3107444#3,205844#0,3013438#0,2765227#3,215056#0,227597#0,2658186#3,184866#0,3136963#-0,2568038#3,132499#0,2073934#-0,2489498#3,18895#0,2885976#-0,5991478#2,950726#0,2539526#-0,6271764#2,930588#0,2494965#-0,6667923#2,931692#0,3307562#-0,6671214#2,980733#1  
frame8 #0,1460962#1,059403#3,357167#0,2617974#0,8574067#3,290635# -0,04367903#0,9534619#3,237#-0,06810851#0,988211#3,27466#-0,04905579#0,8935129#3,192712#-0,07243081#0,9070033#3,214018#0,03546786#0,6667641#3,079102#-0,08539771#0,6633802#3,047751#0,3484491#0,7115166#3,241028#0,1811396#0,6920083#3,158195#0,2324788#0,4010453#3,283954#0,2561858#0,3184037#3,224535#0,2939123#0,2811551#3,238394#0,2192928#0,2700449#3,196931#0,3122802#-0,2518017#3,163103#0,1918899#-0,2549405#3,200672#0,2927726#-0,601899#2,953422#0,2562606#-0,6261725#2,935687#0,304857#-0,680295#2,948785#0,3436263#-0,6678891#2,982414#1  
frame9 #0,1985926#1,095019#3,350285#0,247854#0,8668954#3,300662# -0,01483956#0,9792694#3,212292#0,003984664#1,00836#3,232008#-0,04292174#0,9174057#3,181369#-0,02485951#0,9437412#3,188719#0,1195479#0,7174218#3,143753#-0,111392#0,7498837#3,074498#0,422927#0,7208034#3,320464#0,1732569#0,7041944#3,168435#0,2170982#0,4341657#3,306634#0,2471899#0,3570563#3,253671#0,3017385#0,2935488#3,256418#0,1913149#0,2949371#3,226296#0,3132502#-0,243816#3,193366#0,1918133#-0,2472602#3,209759#0,3296135#-0,5915821#2,987584#0,2007109#-0,6009601#3,258612#0,2710439#-0,6297377#2,947044#0,2383642#-0,6134183#3,156734#1  
frame10 #0,07844763#1,107533#3,300458#0,1795856#0,911001#3,331561# -0,02376665#0,988875#3,212198#0,08039787#1,046761#3,230896#-0,05231351#0,92845#3,17831#0,03522704#0,987132#3,19709#0,1130167#0,7468026#3,176068#-0,1002854#0,8082438#3,111326#0,4233629#0,7219226#3,325469#0,1113996#0,6864067#3,173602#0,1977198#0,4664688#3,333848#0,2328268#0,3845496#3,272567#0,3045831#0,3090202#3,265651#0,1687548#0,3181154#3,25949#0,3179057#-0,232738#3,228943#0,1867889#-0,2221877#3,232422#0,3277919#-0,5793508#2,987958#0,2012386#-0,5979348#3,254995#0,2978503#-0,6523142#3,011416#0,2541593#-0,6118593#3,15805#1  
frame11 #0,1543597#1,119203#3,296558#0,181342#0,911387#3,33307# -0,01474124#0,9811363#3,213148#0,1495581#1,129403#3,204973#-0,04324623#0,9210753#3,178446#0,08919653#1,07555#3,197513#0,1192069#0,7262213#3,192436#-0,09188821#0,9139911#3,190637#0,4195062#0,7250551#3,359017#0,08441179#0,7470089#3,200356#0,193634#0,5315399#3,359516#0,2242056#0,4638006#3,306619#0,3042498#0,3839558#3,32707#0,1576193#0,3817196#3,26846#0,3428362#-0,2278418#3,306936#0,2234012#-0,2123096#3,286513#0,3348585#-0,5359213#3,040173#0,2032234#-0,596005#3,253702#0,3322845#-0,619112#3,044137#0,2399889#-0,6656905#3,280817#1  
frame12 #0,1629473#1,120266#3,298051#0,180009#0,9131973#3,343453# -0,009920357#1,005139#3,230812#0,1908467#1,097214#3,188761#-0,03901013#0,9469301#3,192925#0,1149536#1,070497#3,195157#0,1225211#0,7362427#3,205248#-0,1127257#0,9903445#3,229719#0,4191879#0,7268822#3,374065#0,07077098#0,833002#3,245655#0,1901416#0,5500642#3,365551#0,2160326#0,4892413#3,31221#0,2981223#0,3982436#3,324281#0,1486137#0,4135447#3,280998#0,3470437#-0,2190332#3,314973#0,1815956#-0,141855#3,288605#0,347379#-0,5314564#3,110359#0,2037557#-0,596089#3,256058#0,3696305#-0,6050472#3,145381#0,2408706#-0,6679292#3,280528#1  
frame13 #0,1507809#1,109644#3,281503#0,1612557#0,9228963#3,365739# -0,005878327#0,9569954#3,247855#0,2369374#1,077775#3,143511#-0,03418086#0,8992422#3,208688#0,1617939#1,065627#3,168314#0,1140607#0,7107128#3,211103#-0,06363675#1,029183#3,257973#0,4101189#0,7248424#3,374221#0,06628405#0,8294426#3,257777#0,1851108#0,5556945#3,373454#0,2128391#0,4951414#3,317852#0,2937338#0,4084146#3,332041#0,1483687#0,4165558#3,282821#0,4029506#-0,2100686#3,359251#0,2277691#-0,2059593#3,316798#0,3327257#-0,5318782#3,176004#0,2065776#-0,5855021#3,254788#0,3586709#-0,588489#3,117871#0,2359045#-0,6621318#3,277707#1  
frame14 #0,1613429#1,097918#3,290372#0,167756#0,9221695#3,380871# -0,02225477#1,017871#3,258969#0,259673#1,109622#3,234181#-0,05046687#0,9603024#3,219927#0,1837939#1,086923#3,237891#0,04027241#0,7448041#3,191457#-0,04384357#1,018827#3,264215#0,3351281#0,7314539#3,349534#0,0756166#0,8141866#3,273275#0,189761#0,5391195#3,383997#0,2159013#0,4718564#3,327354#0,2885602#0,4056301#3,33393#0,1603977#0,4071593#3,296577#0,3724176#-0,2003531#3,411813#0,2307658#-0,2134479#3,320736#0,3400384#-0,5422014#3,220943#0,2169153#-0,5708609#3,247017#0,4077251#-0,5837543#3,252671#0,229451#-0,6513464#3,273089#1  
frame15 #0,01070461#1,008916#3,298403#0,1605208#0,9284283#3,397379# -0,03676161#0,9935851#3,256943#0,3088267#1,056837#3,232901#-0,06496686#0,9360304#3,21791#0,2311102#1,052877#3,245112#0,04112035#0,7284197#3,194538#-0,002039254#1,040998#3,296911#0,3346822#0,7306175#3,350924#0,06767128#0,8194045#3,283335#0,1904481#0,5371714#3,389726#0,2158936#0,471512#3,330957#0,2869706#0,4048345#3,336905#0,1624009#0,4072276#3,302266#0,3866838#-0,1936407#3,484633#0,2405926#-0,2241487#3,350655#0,3472078#-0,5422317#3,252967#0,220165#-0,5721574#3,252549#0,3766014#-0,588112#3,1682#0,2495585#-0,6180377#3,167782#1  
frame16 #0,01341885#0,9965901#3,305412#0,1656049#0,9250296#3,407016# 0,1169461#0,9922792#3,419509#0,2959905#1,02964#3,2238#0,08880411#0,9348534#3,380564#0,2192182#1,03071#3,242487#0,06162539#0,7252932#3,288257#-0,01109867#1,033921#3,313688#0,372256#0,717581#3,397466#0,06698473#0,8169835#3,28827#0,1916691#0,534637#3,40275#0,2222207#0,4696156#3,345547#0,2956043#0,3973699#3,349101#0,167059#0,4030968#3,320154#0,3965599#-0,1948653#3,502227#0,2231266#-0,2219988#3,351845#0,3391254#-0,483095#3,316357#0,2216178#-0,5728329#3,254467#0,4014411#-0,5685205#3,335418#0,2589785#-0,6184174#3,172798#1  
frame17 #0,02465759#0,984937#3,327718#0,1753568#0,9241232#3,437544# 0,1220111#0,9977212#3,446514#0,334384#1,037109#3,213356#0,09379323#0,9401408#3,407464#0,2580905#1,037551#3,235997#0,1017417#0,7231991#3,32317#0,02921#1,038875#3,318998#0,4111831#0,7300368#3,445167#0,07449575#0,8063094#3,319204#0,1970856#0,5506561#3,43265#0,2271058#0,4904217#3,376108#0,3037261#0,4069437#3,366665#0,1657424#0,4206318#3,352667#0,410156#-0,2078311#3,528293#0,2222397#-0,195983#3,372392#0,3306952#-0,5288075#3,339584#0,2021891#-0,58289#3,2616#0,4178381#-0,5628617#3,38624#0,2284452#-0,6626474#3,276315#1  
frame18 #0,08862639#1,086231#3,411081#0,1782137#0,9216036#3,49154# 0,1244596#0,9936622#3,446239#0,2853469#1,040605#3,275627#0,09617641#0,9359484#3,407098#0,2053914#1,025673#3,310274#0,07247707#0,7229591#3,315468#-0,03447517#0,9808787#3,429262#0,3819002#0,7353723#3,439866#0,07839688#0,7889877#3,370798#0,2044276#0,5189092#3,462848#0,2268019#0,4528623#3,4002#0,3010937#0,3928643#3,383893#0,1671963#0,3866414#3,379546#0,3974186#-0,2282639#3,549911#0,2329746#-0,2225886#3,394036#0,3611719#-0,5555783#3,501267#0,2022958#-0,5829658#3,261399#0,420025#-0,6149227#3,543812#0,2296345#-0,6620684#3,273805#1  
