frame12 #0,2072028#1,070962#3,473018#0,2798157#0,9297692#3,565102# 0,4212365#0,8465034#3,541404#0,3907272#1,059892#3,399552#0,4704002#0,7776074#3,551779#0,2919234#1,052592#3,405068#0,6178913#0,5709194#3,598016#0,09908758#1,026027#3,42382#0,5063514#0,7464538#3,553152#0,146318#0,8381742#3,433858#0,2711491#0,5257761#3,534955#0,2928093#0,458087#3,47738#0,3764502#0,3782442#3,453801#0,212135#0,3769388#3,465477#0,4340376#-0,1871103#3,625823#0,2831868#-0,1931624#3,47579#0,4321335#-0,5083691#3,453664#0,2506512#-0,5672917#3,353474#0,467075#-0,5548003#3,369815#0,2855926#-0,6137228#3,269624#1  
frame13 #0,1921034#1,086207#3,531775#0,2742874#0,9349151#3,595304# 0,5784455#0,3280587#3,697954#0,4115439#1,037588#3,406195#0,5886992#0,3872588#3,673569#0,3118805#1,03017#3,411729#0,6194605#0,564859#3,615526#0,1097839#0,9945824#3,48856#0,5056021#0,7462167#3,552616#0,1886073#0,7978721#3,45908#0,2789578#0,5289296#3,547266#0,2991137#0,46377#3,485981#0,377357#0,3900213#3,494588#0,2397867#0,4001129#3,454957#0,4294033#-0,1303804#3,612665#0,2855651#-0,1901329#3,486194#0,448658#-0,4779488#3,525455#0,251408#-0,5654643#3,358236#0,4371129#-0,5782017#3,55459#0,2821237#-0,6119111#3,274568#1  
frame14 #0,203025#1,06794#3,588686#0,3121134#0,9185372#3,631892# 0,6186467#0,3422887#3,715784#0,3855166#1,041328#3,4626#0,6155469#0,399821#3,685335#0,2968882#1,034894#3,46523#0,6062477#0,5724178#3,608966#0,1085205#1,01809#3,529766#0,4828007#0,7404724#3,545696#0,1966191#0,7808904#3,482125#0,2889803#0,5337704#3,566593#0,3021902#0,4737044#3,501354#0,3695814#0,4078666#3,500332#0,2404206#0,4144127#3,472668#0,4322251#-0,05194518#3,563889#0,2548742#-0,1769744#3,470019#0,4423378#-0,4891942#3,603426#0,2479061#-0,5652877#3,359193#0,4671438#-0,5370581#3,517935#0,3107887#-0,6209642#3,377254#1  
frame15 #0,1949716#1,070196#3,582702#0,2806882#0,9225055#3,647847# 0,8457581#0,4751997#3,633815#0,3903877#1,043036#3,488254#0,7828121#0,5129617#3,628753#0,2912667#1,035658#3,493757#0,5861298#0,52452#3,638999#0,1021652#1,003877#3,554235#0,4829499#0,7388196#3,547881#0,2065819#0,7974762#3,516676#0,2901196#0,5212749#3,57587#0,3017133#0,4602417#3,508596#0,3692828#0,3821197#3,516661#0,2405738#0,4050286#3,469685#0,3729994#-0,2242329#3,577482#0,2496446#-0,179026#3,470533#0,447088#-0,5799343#3,667957#0,2474359#-0,5649511#3,362038#0,4413838#-0,6268032#3,595451#0,285265#-0,6400676#3,382354#1  
frame16 #0,2360714#1,045664#3,635593#0,3359964#0,9040707#3,686908# 0,7094558#0,31285#3,749004#0,3782423#1,062835#3,573187#0,6808735#0,3649272#3,720671#0,2795078#1,055486#3,578668#0,5951267#0,5211589#3,65068#0,09734773#0,988528#3,630015#0,4925269#0,6874827#3,565203#0,1871132#0,7868685#3,541671#0,3003283#0,5149639#3,595382#0,3068483#0,4587634#3,522227#0,3701799#0,3813225#3,518678#0,2408292#0,4013963#3,478038#0,4327608#-0,2202502#3,61355#0,246866#-0,1794944#3,477709#0,5009283#-0,4971318#3,740002#0,2471875#-0,5649765#3,368437#0,4707529#-0,4797162#3,660836#0,2850295#-0,6412128#3,383837#1  
frame17 #0,1705766#0,989755#3,67998#0,3309444#0,890353#3,699296# 0,6583201#0,3144789#3,794813#0,3533438#1,064555#3,662027#0,6484426#0,3704793#3,761499#0,2549033#1,057228#3,667492#0,61881#0,5384805#3,676708#0,08784124#0,9526312#3,667137#0,491429#0,6819642#3,567786#0,1777446#0,7711978#3,570537#0,3072487#0,4921651#3,605228#0,3094226#0,4358288#3,530702#0,3714315#0,3535721#3,519614#0,2430307#0,378757#3,487484#0,4400468#-0,2210862#3,614433#0,2395426#-0,1834288#3,518121#0,4610026#-0,563212#3,731668#0,2486357#-0,563454#3,3792#0,4713096#-0,6151978#3,644614#0,2835207#-0,6422155#3,388386#1  
frame18 #0,2587214#0,9839125#3,632105#0,3260605#0,8279489#3,694636# 0,788209#0,4675015#3,613126#0,3155602#1,075331#3,720794#0,763594#0,4551186#3,680789#0,2594539#1,040203#3,715587#0,574361#0,4513146#3,75809#0,09113513#0,9348196#3,71516#0,5051378#0,6190437#3,588642#0,1789749#0,7499344#3,624853#0,3089788#0,4824692#3,613741#0,3089501#0,4320812#3,540967#0,3688011#0,3259023#3,559952#0,2421476#0,3727515#3,4845#0,4547116#-0,234386#3,632906#0,2336791#-0,1839885#3,52346#0,4675646#-0,5417568#3,703058#0,2504306#-0,5643698#3,392394#0,4736309#-0,5954205#3,616101#0,256497#-0,6180335#3,305437#1  
frame19 #0,2863165#0,9396517#3,648488#0,3374416#0,7803131#3,716341# 0,669624#0,326045#3,921988#0,3079205#0,9784882#3,789412#0,6521117#0,3586197#3,866728#0,2517353#0,9433109#3,784199#0,5995747#0,4563438#3,716172#0,0831797#0,8377788#3,783779#0,4952182#0,5919458#3,589805#0,1946391#0,6886287#3,646492#0,3154902#0,3796592#3,6119#0,3081976#0,3252468#3,535479#0,3705089#0,2468922#3,502172#0,237465#0,2725559#3,51232#0,347331#-0,2465807#3,627071#0,2284343#-0,2371821#3,566099#0,4779274#-0,5378435#3,748521#0,2514027#-0,5658005#3,398663#0,4629854#-0,6227613#3,760328#0,2473464#-0,6201637#3,311998#1  
frame20 #0,3227401#0,8609167#3,736181#0,3949293#0,6726865#3,703437# 0,6642192#0,2453586#4,005852#0,3549053#0,8594453#3,738691#0,645726#0,2787741#3,951113#0,2985073#0,8241348#3,733457#0,5902465#0,3790205#3,802126#0,1293135#0,7182031#3,732986#0,4990166#0,5269378#3,624203#0,2221347#0,5796286#3,630658#0,3354491#0,3037556#3,609628#0,3270484#0,255635#3,535014#0,3734057#0,1830191#3,503785#0,2619025#0,2128171#3,51541#0,3761054#-0,2447704#3,665261#0,2262423#-0,2440494#3,565275#0,4739595#-0,5232978#3,748644#0,2471748#-0,5466979#3,467115#0,4600361#-0,6081589#3,746303#0,2914252#-0,6243798#3,416856#1  
frame21 #0,3542393#0,7963542#3,699824#0,3728749#0,6027684#3,70695# 0,6764166#0,2223575#3,974072#0,3417365#0,7789941#3,799708#0,6587523#0,2552149#3,918332#0,2850637#0,7435114#3,794449#0,6057593#0,3537872#3,766289#0,1150452#0,6370635#3,793845#0,4554017#0,4777151#3,620726#0,2345513#0,494823#3,640327#0,3412941#0,2078569#3,604272#0,3317132#0,1550567#3,527811#0,3789347#0,1014725#3,505857#0,2761092#0,1174653#3,510194#0,4838802#-0,2791414#3,759167#0,1948999#-0,3284467#3,559275#0,4714886#-0,5956813#3,755275#0,2463391#-0,5493888#3,466074#0,4198262#-0,5656944#3,694656#0,2923076#-0,6154264#3,413965#1  
frame22 #0,3932112#0,7671165#3,732935#0,4117393#0,5746465#3,740382# 0,6637599#0,184607#3,963#0,3591182#0,5866241#3,693554#0,6475701#0,2164574#3,907049#0,2980866#0,5612175#3,699607#0,5990008#0,3120087#3,754163#0,1149917#0,4849976#3,732732#0,5030298#0,4287411#3,653821#0,2446791#0,4097773#3,631011#0,3385026#0,1948092#3,60789#0,3309072#0,1474127#3,529984#0,3834719#0,06306585#3,458611#0,2536934#0,09041888#3,551138#0,5102754#-0,3079697#3,802743#0,2154074#-0,212941#3,536904#0,4597406#-0,6172701#3,750414#0,2328588#-0,5121635#3,513508#0,4668082#-0,5356742#3,729893#0,2772968#-0,5876237#3,440158#1  
frame23 #0,4032106#0,6930128#3,733947#0,4028345#0,4999213#3,738683# 0,6486183#0,1312643#3,960806#0,3659292#0,571394#3,726412#0,6321409#0,162996#3,905525#0,3068771#0,5423373#3,728117#0,5827089#0,2581908#3,754454#0,1297211#0,4551673#3,748003#0,4887853#0,377048#3,656718#0,2568817#0,3783844#3,646828#0,3417792#0,131291#3,622514#0,3322292#0,08668428#3,544424#0,3752442#0,02974764#3,497263#0,2723106#0,04468868#3,541541#0,5006658#-0,3395221#3,818137#0,2007964#-0,3332431#3,512516#0,476667#-0,5115004#3,763095#0,2280083#-0,5094588#3,519562#0,4812376#-0,567759#3,682251#0,2735069#-0,582631#3,445855#1  
frame24 #0,4181632#0,651523#3,781388#0,4177876#0,4587337#3,786464# 0,6590764#0,04443561#3,992086#0,3546307#0,4731233#3,755299#0,6418121#0,07654878#3,93761#0,2975589#0,4408886#3,756166#0,5900195#0,1728883#3,788809#0,1263436#0,3441847#3,773398#0,4933985#0,2959509#3,649951#0,2714376#0,3521949#3,669613#0,3370163#0,05442687#3,619842#0,3241461#0,006265722#3,533625#0,3707797#-0,0512122#3,497624#0,2592878#-0,02431663#3,517571#0,5204469#-0,3590953#3,850538#0,2342736#-0,3295423#3,531927#0,4754974#-0,5125586#3,764847#0,2405822#-0,54922#3,47572#0,4809817#-0,5743518#3,689171#0,2827738#-0,6026012#3,424477#1  
frame25 #0,4394076#0,6214885#3,828214#0,4390329#0,429141#3,833595# 0,6580396#0,02135838#3,989675#0,3622237#0,4194499#3,774096#0,6408424#0,05334675#3,93541#0,3062481#0,3858954#3,771974#0,589251#0,1493119#3,787104#0,138321#0,285232#3,7801#0,4962142#0,2614762#3,65909#0,3022971#0,3342609#3,713247#0,3368065#0,03539851#3,632912#0,317486#-0,006687077#3,544908#0,362722#-0,06565797#3,490641#0,2437379#-0,04571813#3,555946#0,4922676#-0,4341692#3,819137#0,2427166#-0,3337823#3,540788#0,47115#-0,5216548#3,762293#0,2403567#-0,5605574#3,475628#0,4706113#-0,5924623#3,696996#0,2707291#-0,6192235#3,427266#1  
