frame12 #0,1791877#0,4438903#3,827097#0,2296197#0,2733068#3,6869# 0,4336794#0,1597271#3,510002#0,1600412#0,3409573#4,003291#0,4372217#0,1178474#3,558918#0,09071317#0,3223665#3,870828#0,4478484#-0,007791698#3,720078#-0,01843883#0,2041924#3,678745#0,3766407#0,1420555#3,648828#0,1282339#0,1685903#3,585987#0,2112814#-0,07763912#3,53706#0,2253867#-0,1123241#3,45501#0,2778025#-0,1675636#3,421952#0,1718719#-0,1519227#3,427229#0,1273791#-0,5986518#3,429626#0,2794584#-0,5827658#3,725763#0,3298743#-0,6362684#3,149851#0,1550474#-0,5422826#3,404571#0,3566904#-0,7011421#3,075769#0,1986336#-0,5873613#3,333014#1  
frame13 #0,1301207#0,3748139#3,809272#0,2272845#0,2208581#3,676837# 0,5015785#0,1781668#3,648041#0,1509544#0,2785309#3,982257#0,4877492#0,1155834#3,652882#0,1137676#0,2924803#3,894855#0,4462613#-0,07216674#3,681798#0,01784781#0,1915333#3,688638#0,3757641#0,09190461#3,6373#0,1083228#0,1007492#3,572828#0,2139651#-0,1196109#3,540128#0,2259606#-0,1530079#3,459805#0,2835867#-0,2042881#3,413659#0,1672501#-0,2124749#3,44246#0,0823174#-0,5790125#3,247312#0,2882694#-0,6490399#3,725812#0,3350441#-0,5643176#3,042511#0,1519852#-0,5553732#3,408523#0,3573384#-0,6286223#2,967012#0,1983007#-0,5908453#3,331837#1  
frame14 #0,2864558#0,3901721#3,781379#0,228442#0,2030066#3,692066# 0,4214416#-0,3225811#3,42605#0,1252636#0,1840891#3,877769#0,4278603#-0,2648016#3,489493#0,08817986#0,1979998#3,79061#0,4471166#-0,09146291#3,69395#0,01131152#-0,01318534#3,677717#0,3770542#0,06200723#3,632544#0,1080298#0,08957931#3,577026#0,2164391#-0,158705#3,533756#0,2292853#-0,1988576#3,448607#0,2893517#-0,2600375#3,421208#0,1693314#-0,2397662#3,410224#0,06907243#-0,5831985#3,197553#0,2886079#-0,6520993#3,723017#0,3482069#-0,5657936#3,036303#0,1493746#-0,5706946#3,394094#0,3707764#-0,6311771#2,963176#0,2007159#-0,5954279#3,328515#1  
frame15 #0,2535729#0,3790377#3,794386#0,2282503#0,1876422#3,695839# 0,4170015#-0,3282664#3,442112#0,151809#0,293183#3,947379#0,4226445#-0,2703967#3,504939#0,1148654#0,3070411#3,860549#0,4395734#-0,09678764#3,707597#0,03135981#0,1264962#3,712303#0,3758839#0,05069455#3,63432#0,0889983#0,04449326#3,57894#0,2198533#-0,1731469#3,534885#0,2283112#-0,2092911#3,449938#0,2898991#-0,2698944#3,41931#0,1658512#-0,2570518#3,413138#0,09510703#-0,6027778#3,202645#0,2850499#-0,6653917#3,722254#0,3585764#-0,5836797#3,035405#0,1443627#-0,5844364#3,39135#0,3734899#-0,6512427#2,963056#0,1987464#-0,6016556#3,328049#1  
frame16 #0,2650157#0,3657819#3,771832#0,2264604#0,169611#3,703325# 0,4073541#-0,3904157#3,343657#0,1591514#-0,08844195#3,75793#0,4018928#-0,3184887#3,48555#0,1223427#-0,07463443#3,671417#0,3918487#-0,1728845#3,71106#0,02919458#0,1220845#3,715608#0,4346071#0,004221121#3,685696#0,08700828#0,04157882#3,581608#0,2104225#-0,1747846#3,539602#0,2266586#-0,2093471#3,45852#0,2932927#-0,2749457#3,42302#0,1588375#-0,2613065#3,417015#0,09340383#-0,5957917#3,202894#0,2786514#-0,6873254#3,721978#0,3584802#-0,5847031#3,036306#0,1425002#-0,5862164#3,39187#0,3877087#-0,6509886#2,967373#0,1979535#-0,6117016#3,332707#1  
frame17 #0,2840198#0,3567822#3,798227#0,2312744#0,1662358#3,714944# 0,4039861#-0,390387#3,340377#0,03366723#-0,1586064#3,522014#0,4018519#-0,3137751#3,492212#0,03639931#-0,08544587#3,566232#0,3923243#-0,1696228#3,718525#0,04459558#0,1340357#3,713148#0,4342518#0,005365878#3,686619#0,08836559#0,04012363#3,582298#0,2099999#-0,1797745#3,54281#0,2253774#-0,2135505#3,461014#0,2923836#-0,2831471#3,422358#0,1557364#-0,2659449#3,418944#0,1076584#-0,60732#3,202042#0,2754478#-0,692704#3,72246#0,353853#-0,6138466#3,023118#0,1595545#-0,6403852#3,381905#0,3825971#-0,6813589#2,95543#0,1935416#-0,6801643#3,315101#1  
frame18 #0,2483918#0,3242526#3,909797#0,2284077#0,1712426#3,733421# 0,3572471#-0,3919464#3,286363#0,04152437#-0,1489321#3,511147#0,3870952#-0,3740088#3,348165#0,04620253#-0,07599315#3,557177#0,4028694#-0,1631712#3,512349#0,06023699#0,1428238#3,709633#0,433954#0,002289394#3,690311#0,08828621#0,03386597#3,582833#0,2064565#-0,182723#3,543859#0,2206194#-0,2168191#3,461033#0,2816903#-0,3013528#3,425815#0,1475793#-0,2661698#3,404469#0,09778117#-0,6033183#3,178841#0,2668376#-0,6980209#3,719013#0,3204407#-0,6580611#2,982602#0,1255986#-0,5908457#3,403459#0,349083#-0,7284116#2,916666#0,1711468#-0,6519659#3,364738#1  
frame19 #0,2222963#0,3031453#3,933854#0,2287662#0,1704728#3,73751# 0,3764324#-0,3550333#3,299034#0,04522607#-0,1678181#3,69567#0,4240462#-0,2714894#3,522079#0,02838741#-0,112647#3,654836#0,4393925#-0,1154826#3,740955#0,06311975#0,1403791#3,704234#0,3700386#0,01410038#3,647533#0,09128875#0,03037254#3,579071#0,2057893#-0,1870767#3,54057#0,2139218#-0,221762#3,453372#0,2730482#-0,2983367#3,422893#0,1466584#-0,26513#3,399254#0,07826836#-0,5784105#3,165181#0,2605408#-0,6954492#3,717444#0,3291653#-0,605039#3,003686#0,1234357#-0,5869079#3,403726#0,3508747#-0,678477#2,939264#0,1710819#-0,6486815#3,366158#1  
frame20 #0,2390512#0,3845868#3,92113#0,2294863#0,1913699#3,809869# 0,4468181#-0,3200612#3,259062#0,07226901#-0,1445968#3,709011#0,4304073#-0,2877684#3,413315#0,07987519#-0,1055526#3,650393#0,4773328#-0,1686844#3,653595#0,1442244#0,1438103#3,69829#0,4312921#0,01721978#3,694683#0,09373654#0,02996001#3,580273#0,1994361#-0,1824999#3,553497#0,2112564#-0,2166344#3,461382#0,273702#-0,2964866#3,433049#0,1409218#-0,2596243#3,393018#0,07781585#-0,5564349#3,157979#0,2442456#-0,693887#3,723892#0,328509#-0,59325#3,003264#0,1272561#-0,59012#3,395366#0,3527616#-0,6744052#2,948904#0,210493#-0,6205047#3,320905#1  
frame21 #0,2303575#0,3386311#3,956963#0,2434864#0,1818907#3,783139# 0,4473267#-0,3143998#3,262496#0,04262287#-0,1881908#3,649122#0,4269789#-0,2707106#3,415325#0,04423247#-0,1176289#3,655083#0,4682139#-0,1401699#3,647159#0,08154535#0,1329143#3,713455#0,3697041#0,02044352#3,650074#0,09461549#0,03007193#3,581983#0,2053297#-0,1811713#3,545357#0,2126292#-0,2136539#3,451759#0,2725647#-0,289621#3,425385#0,1456821#-0,2482654#3,380795#0,07972999#-0,5581751#3,162087#0,2575751#-0,6468108#3,720721#0,3290977#-0,5909793#3,002391#0,1229828#-0,5864664#3,401204#0,3476418#-0,6725927#2,946921#0,1823418#-0,6294718#3,335857#1  
frame22 #0,234787#0,329466#3,960792#0,2404676#0,1773506#3,778126# 0,447734#-0,3139566#3,265525#0,01533409#-0,3515506#3,597616#0,4534986#-0,2696449#3,367017#0,01277114#-0,2770116#3,639654#0,4419013#-0,1364518#3,516006#0,005082265#-0,05339462#3,779981#0,4374939#-0,002325977#3,722436#0,09615162#0,02872171#3,582203#0,1914345#-0,1742609#3,550715#0,2026465#-0,2042237#3,464563#0,2679946#-0,2786652#3,433626#0,1235002#-0,2484126#3,396533#0,007024616#-0,4682716#3,163406#0,2224188#-0,6897001#3,707764#0,3089213#-0,5214744#3,027821#0,1223926#-0,5865287#3,400389#0,3428248#-0,5954511#2,967826#0,1963091#-0,6226648#3,318241#1  
frame23 #0,2477779#0,2649504#3,922382#0,241203#0,1074234#3,744057# 0,4626484#-0,3752106#3,434296#0,01545459#-0,3509212#3,593824#0,4475622#-0,3050869#3,437102#0,0130839#-0,2766247#3,636137#0,4751337#-0,1863875#3,67715#0,005971827#-0,05373524#3,777306#0,4373847#-0,00106005#3,719235#0,09577264#0,01674718#3,575429#0,1895103#-0,2007955#3,564478#0,2010765#-0,2276297#3,482656#0,2651467#-0,2974068#3,451899#0,1219644#-0,2918849#3,415503#0,1069571#-0,5315183#3,140753#0,1898399#-0,7454115#3,713055#0,3459639#-0,571983#3,012934#0,122652#-0,5882769#3,401109#0,3797351#-0,6435749#2,949476#0,1982046#-0,616123#3,316678#1  
frame24 #0,2624783#0,3157492#3,971082#0,2316587#0,1598984#3,791051# 0,4224916#-0,3025442#3,573433#0,01343204#-0,3551592#3,590996#0,4654106#-0,2157061#3,584378#0,01024992#-0,280855#3,633339#0,4916291#-0,09620038#3,824359#0,0007035881#-0,05794231#3,774632#0,4275376#0,0549248#3,757147#0,0955423#0,01328729#3,574926#0,200313#-0,1776348#3,563531#0,2140439#-0,2013824#3,477442#0,2853259#-0,2707365#3,445479#0,1412715#-0,2480197#3,390259#0,06530707#-0,500441#3,175694#0,2401607#-0,6860291#3,697043#0,3312444#-0,5465977#3,023584#0,1705076#-0,5047578#3,366949#0,3597879#-0,6282088#2,969118#0,2466961#-0,5180992#3,278482#1  
frame25 #0,2329551#0,2292708#3,877449#0,2116347#0,07163718#3,697103# 0,4175482#-0,2839273#3,589976#0,01663949#-0,3734877#3,581585#0,4300658#-0,2217082#3,55577#0,01575534#-0,3000233#3,627053#0,4547747#-0,06287818#3,773396#0,01310289#-0,07963#3,777738#0,3058175#-0,0005027956#3,598686#0,0950685#0,009057524#3,576425#0,1878471#-0,2608404#3,529829#0,1902874#-0,2898228#3,447834#0,2323114#-0,3551417#3,437947#0,1424195#-0,3234561#3,385571#0,1526653#-0,6202466#3,126755#0,1971519#-0,7522569#3,710042#0,3430125#-0,6793072#2,960981#0,1292589#-0,5964578#3,400898#0,3542625#-0,7543737#2,892543#0,2054606#-0,6098015#3,312416#1  
