frame1 #0,1172631#1,018013#3,202001#0,2355804#0,8314084#3,172113# 0,3517544#0,1800671#2,956437#0,1883837#0,6119514#2,757298#0,3500975#0,2457811#2,982981#0,1728745#0,5605792#2,797635#0,1955159#0,4697173#3,012694#0,1263471#0,4064626#2,934159#0,327057#0,6986468#3,110466#0,1392268#0,6526379#3,01976#0,2529438#0,388934#3,17286#0,2837261#0,3117296#3,114523#0,3303226#0,2752927#3,126865#0,245799#0,2545886#3,089018#0,2463268#-0,2640513#3,230956#0,3160406#-0,2436099#3,126933#0,3042831#-0,6099064#3,011645#0,2656807#-0,6242594#2,997411#0,2643497#-0,6822236#3,029215#0,2840171#-0,6838362#3,000774#1  
frame2 #0,1166197#1,014112#3,205668#0,2381422#0,829963#3,172474# 0,3949976#0,1381192#2,963681#0,1609875#0,596905#2,728351#0,3877035#0,2055016#2,983911#0,1545812#0,5459649#2,78493#0,1790318#0,4348852#3,000547#0,1353624#0,3931445#2,970364#0,3250621#0,697103#3,109323#0,1392556#0,6525115#3,020528#0,2557764#0,3833998#3,173203#0,2864445#0,3048934#3,114711#0,3319387#0,2694892#3,127055#0,2486482#0,2495374#3,089678#0,2458467#-0,2628429#3,231201#0,316553#-0,2433082#3,12794#0,3117792#-0,6017514#3,014979#0,266142#-0,6237767#2,997959#0,2787404#-0,6726598#2,999356#0,2872038#-0,6954149#3,00166#1  
frame3 #0,1118138#1,019418#3,211368#0,2381335#0,8299584#3,172784# 0,4110706#0,07018293#2,969496#0,1623579#0,594011#2,728336#0,3581929#0,1606594#2,975594#0,1544071#0,5427107#2,785999#0,1995598#0,4320888#3,00966#0,1305548#0,3888096#2,974762#0,3249276#0,6967369#3,109528#0,1394203#0,6526725#3,020881#0,2561516#0,3810827#3,173315#0,2870485#0,3018295#3,114728#0,3325237#0,265813#3,127116#0,2494601#0,2470911#3,089742#0,2463005#-0,2656546#3,233408#0,3164#-0,243702#3,128442#0,3118804#-0,6012671#3,015132#0,2659624#-0,6237211#2,99834#0,2756024#-0,6740949#3,006418#0,2855779#-0,7023301#3,009819#1  
frame4 #0,1165535#1,024096#3,224354#0,2382162#0,8299612#3,172909# 0,3811195#0,1262256#2,949494#0,1645256#0,6011549#2,723257#0,3811997#0,1908784#2,984094#0,1554804#0,5480741#2,781687#0,1686735#0,4324622#2,97803#0,1283447#0,3888318#2,972774#0,3244837#0,6963267#3,109571#0,1397343#0,6522759#3,021235#0,2558286#0,3803113#3,173556#0,2866113#0,3008614#3,114899#0,3318279#0,2649217#3,127429#0,2491883#0,2460718#3,089793#0,3028389#-0,2451168#3,179872#0,3163827#-0,2437664#3,12849#0,3107752#-0,6027522#3,014836#0,2663015#-0,623966#2,998461#0,2632148#-0,6779464#3,011469#0,2873158#-0,7053137#3,008482#1  
frame5 #0,1147651#1,021293#3,235629#0,2387913#0,8298207#3,173128# 0,3818284#0,1180222#2,937042#0,1918188#0,6255693#2,711317#0,3734143#0,1788716#2,976802#0,173842#0,5703472#2,766613#0,1668741#0,4299178#2,976849#0,1199118#0,4046812#2,948326#0,3241414#0,6961045#3,109619#0,1395032#0,6524566#3,021666#0,2561952#0,3792018#3,173847#0,2868794#0,2996263#3,115073#0,332119#0,2633274#3,127708#0,2494538#0,2448131#3,089841#0,2453269#-0,2595395#3,228895#0,3158001#-0,2446181#3,129532#0,3108272#-0,6027558#3,015353#0,2665028#-0,6235425#2,998825#0,2633066#-0,678012#3,011568#0,2821425#-0,7065052#3,014164#1  
frame6 #0,1134348#1,018538#3,241165#0,2386354#0,8299334#3,173237# 0,3974391#0,1308094#2,975417#0,2217181#0,6569052#2,720668#0,4127778#0,2112302#2,985609#0,1955565#0,5967142#2,767338#0,1669177#0,4258484#2,983185#0,1170716#0,4161411#2,923194#0,3240961#0,6960976#3,109697#0,1387537#0,6524423#3,021538#0,2559938#0,3785141#3,174023#0,2867014#0,2987368#3,115151#0,3321554#0,2623415#3,127543#0,2490825#0,2434842#3,090155#0,2452454#-0,2594391#3,228956#0,3141165#-0,2444704#3,131176#0,310978#-0,6028615#3,015428#0,2665504#-0,62338#2,998998#0,2637578#-0,6788285#3,012028#0,2799343#-0,701633#3,0157#1  
frame7 #0,1105043#1,015165#3,236839#0,2389196#0,8295697#3,172979# 0,373056#0,0713416#2,969293#0,3324835#0,4536034#3,024884#0,3642348#0,1849751#2,969374#0,2739754#0,460476#2,974307#0,1722411#0,4348731#2,986534#0,09845108#0,4810939#2,838407#0,3234903#0,6957436#3,109162#0,1393022#0,6527093#3,02158#0,2560834#0,3785022#3,173923#0,2868356#0,2988093#3,114982#0,332172#0,2624141#3,127441#0,2496095#0,2438901#3,089801#0,2911076#-0,2350175#3,1923#0,3136311#-0,241802#3,133265#0,312324#-0,595792#3,016213#0,2673044#-0,6219046#2,998925#0,2598103#-0,6785556#3,013001#0,2732098#-0,6986657#3,015194#1  
frame8 #0,1099928#1,013729#3,238571#0,2389531#0,8295794#3,173044# 0,3739449#0,07313915#2,969495#0,158511#0,601352#2,718586#0,3682029#0,1816549#2,969539#0,1519861#0,5496033#2,777244#0,1705411#0,4315128#2,986643#0,1324115#0,3943575#2,969056#0,3233837#0,6956916#3,10911#0,139614#0,6524422#3,021254#0,2561616#0,3777809#3,173977#0,2870702#0,297968#3,115002#0,332246#0,2620121#3,127325#0,2499602#0,2431198#3,090079#0,410147#-0,1608082#3,092013#0,313637#-0,2411931#3,133466#0,3130065#-0,5945551#3,016511#0,267395#-0,6217105#2,999048#0,3468532#-0,6353694#2,942972#0,2618166#-0,6952371#3,021436#1  
frame9 #0,1148937#1,014998#3,236721#0,2389254#0,829321#3,172471# 0,3763994#0,09511621#2,979316#0,2283987#0,6066736#2,696285#0,3768514#0,1938918#2,978508#0,1989822#0,5618763#2,752681#0,1729718#0,434952#2,988557#0,1107328#0,4274843#2,937695#0,3250939#0,6963155#3,110501#0,1404742#0,6528076#3,021849#0,2560448#0,3778511#3,173861#0,2870808#0,2981072#3,114877#0,3323086#0,2621365#3,127187#0,249951#0,2431648#3,089996#0,3540151#-0,1625547#3,129952#0,312272#-0,2397144#3,13466#0,312646#-0,5938116#3,016417#0,2677193#-0,6205538#2,999796#0,2580838#-0,677213#3,013795#0,2606374#-0,6930745#3,021166#1  
frame10 #0,1124609#1,012424#3,230927#0,239158#0,8292583#3,172474# 0,3767647#0,09637804#2,980051#0,1496514#0,6279362#2,68369#0,3755239#0,1970276#2,978116#0,1472249#0,5770629#2,742851#0,1706179#0,4382596#2,979293#0,1399453#0,4244431#2,936132#0,3252932#0,6960679#3,11032#0,1405814#0,6533582#3,022215#0,2564258#0,3781345#3,174054#0,2874355#0,2986144#3,115065#0,3328945#0,2627389#3,127594#0,2501222#0,2433826#3,089967#0,3556579#-0,1585714#3,130028#0,3121276#-0,2390914#3,134169#0,3123899#-0,5933282#3,016622#0,2689443#-0,61718#3,000639#0,2558368#-0,6748452#3,005938#0,2575284#-0,6896815#3,0159#1  
frame11 #0,1119313#1,011115#3,228841#0,2391658#0,8292188#3,172423# 0,3819622#0,1335158#2,954175#0,3419059#0,4945855#3,040158#0,3765346#0,1994449#2,980235#0,2845845#0,4891268#2,988553#0,1725402#0,4376603#2,98457#0,1126202#0,4727505#2,849533#0,3244595#0,6956489#3,109669#0,1406088#0,6538912#3,022706#0,2566338#0,3781531#3,174114#0,2875557#0,2986932#3,115033#0,3329348#0,262705#3,127614#0,2506124#0,2440534#3,089775#0,408921#-0,1536182#3,088522#0,3126247#-0,2391341#3,133704#0,3129327#-0,5921174#3,01695#0,2689466#-0,6171798#3,000629#0,3452481#-0,6313504#2,946188#0,301262#-0,6564128#2,929867#1  
