frame12 #0,4717755#0,7595269#3,702549#0,6151639#0,6237417#3,71172# 0,2217523#0,327278#3,430275#0,2632758#0,2894178#3,304923#0,2849137#0,320274#3,409626#0,2742411#0,3125482#3,365783#0,5354721#0,3689264#3,420658#0,3071368#0,3819394#3,562334#0,6943213#0,5250825#3,573175#0,4984407#0,4330943#3,585359#0,6893462#0,2707807#3,7723#0,7042645#0,1972786#3,739288#0,7771835#0,1361349#3,68544#0,6663138#0,1158488#3,800314#0,8025959#-0,2849515#3,577848#0,4966677#-0,2372795#3,850955#0,9338257#-0,5798479#3,741878#0,482721#-0,5363884#3,694487#0,9409668#-0,6551638#3,720499#0,4793687#-0,5826056#3,614442#1  
frame13 #0,5359234#0,7728419#3,694187#0,6752773#0,6311682#3,70172# 0,416721#0,2675862#3,373778#0,3159843#0,3001826#3,300375#0,4807422#0,2707991#3,379252#0,3294872#0,322662#3,359935#0,6847156#0,3373426#3,409678#0,3699961#0,3901001#3,552478#0,7513372#0,5351802#3,565826#0,5585541#0,4405208#3,575359#0,7191404#0,2967453#3,767982#0,7277696#0,2261008#3,740179#0,7823461#0,1418625#3,686426#0,6942154#0,1584437#3,801415#0,8427965#-0,2642052#3,580096#0,541985#-0,1785624#3,832213#0,9399169#-0,5768488#3,738287#0,4850883#-0,5326484#3,698771#0,9363059#-0,6516217#3,715109#0,49372#-0,6087131#3,715531#1  
frame14 #0,5498936#0,7798494#3,682701#0,6864668#0,6461006#3,700325# 0,5002372#0,2331951#3,359792#0,3263802#0,3162896#3,303493#0,5630469#0,2456216#3,37589#0,3407216#0,3386465#3,361933#0,7679754#0,3306218#3,433199#0,3837459#0,4057172#3,551086#0,7739539#0,5373285#3,568033#0,5697436#0,4554532#3,573964#0,7415814#0,3229083#3,75225#0,7527339#0,2577081#3,725239#0,8108051#0,2008808#3,681023#0,7176573#0,1746798#3,774465#0,8510625#-0,2619091#3,580845#0,5031031#-0,1934071#3,81181#0,9363711#-0,5767096#3,732448#0,4842632#-0,5330569#3,698608#0,936436#-0,6533715#3,716315#0,4831175#-0,5788339#3,618622#1  
frame15 #0,5805424#0,7590963#3,663378#0,7092978#0,6314588#3,692645# 0,6091658#0,2053688#3,361543#0,3484144#0,3032964#3,302257#0,6950724#0,2409861#3,387546#0,3638094#0,3254696#3,359197#0,8866022#0,4024788#3,452686#0,4099946#0,3919891#3,543671#0,8081757#0,5433689#3,58181#0,5925745#0,4408114#3,566284#0,7543241#0,3094053#3,740266#0,7664746#0,2447911#3,717125#0,8199074#0,1861389#3,677244#0,7384917#0,1574466#3,758238#0,8643835#-0,2507062#3,581567#0,5252981#-0,1819682#3,80737#0,9470577#-0,5779214#3,737921#0,4839307#-0,535025#3,69821#0,9287207#-0,6462874#3,709751#0,4905936#-0,5790914#3,62045#1  
frame16 #0,6132202#0,7750121#3,651244#0,7239603#0,6376678#3,695634# 0,8345102#0,191898#3,422564#0,3626353#0,3109771#3,310297#0,8728181#0,2182514#3,463209#0,378867#0,3329766#3,365956#0,994233#0,420357#3,505914#0,4275623#0,3989751#3,546591#0,862582#0,5452362#3,609807#0,607237#0,4470204#3,569273#0,7671847#0,3063967#3,741884#0,7816748#0,2398404#3,722661#0,8462566#0,1762974#3,689103#0,7429896#0,1561356#3,760874#0,8847652#-0,2296234#3,586367#0,5239143#-0,1750681#3,801424#0,9526004#-0,5797614#3,740053#0,4841886#-0,5323659#3,695785#0,9291413#-0,6479834#3,715966#0,5023261#-0,6059782#3,701869#1  
frame17 #0,6437912#0,7705696#3,64776#0,7604719#0,6221514#3,694034# 0,9847006#0,1878762#3,475734#0,4389752#0,4252092#3,594345#1,031372#0,2555897#3,494276#0,4555796#0,4471221#3,649405#1,119341#0,40275#3,576406#0,5053927#0,512861#3,828212#0,9188217#0,5346156#3,621569#0,6837093#0,5605431#3,850865#0,7960196#0,3061946#3,735784#0,7860492#0,2391572#3,725938#0,8463084#0,1760924#3,692015#0,7470341#0,1604466#3,76552#0,8867105#-0,2289257#3,586062#0,5180117#-0,1975807#3,781025#0,9533799#-0,5787358#3,738831#0,4837691#-0,5376062#3,687429#0,9291632#-0,6473972#3,716321#0,5105781#-0,6089115#3,685338#1  
frame18 #0,6720254#0,7722877#3,640254#0,7775968#0,6243138#3,696622# 1,042323#0,1722326#3,498182#0,5252643#0,4531235#4,002116#1,066118#0,2092977#3,540888#0,5834944#0,4590845#3,983743#1,149396#0,424107#3,643093#0,5192097#0,4999831#3,800777#0,9314636#0,5376106#3,628688#0,6970538#0,5475389#3,82336#0,823874#0,3021014#3,731168#0,815093#0,2351414#3,721121#0,8708823#0,1714952#3,68657#0,7675811#0,1634107#3,760268#0,888818#-0,2279445#3,584546#0,5647189#-0,1582976#3,769867#0,9546469#-0,5776113#3,740376#0,4841774#-0,5367017#3,686901#0,9295937#-0,6455837#3,716501#0,5135767#-0,6070794#3,686118#1  
frame19 #0,7175599#0,773738#3,639929#0,8141123#0,6165956#3,691665# 1,093605#0,2028726#3,557055#0,3053039#0,6689805#3,984937#1,11851#0,2672354#3,604527#0,3624606#0,6077793#3,986912#1,173369#0,434141#3,681193#0,5611168#0,4557841#3,965288#0,9547573#0,5383651#3,63597#0,7104028#0,5508297#3,812404#0,8394111#0,3013124#3,729224#0,8317516#0,2361883#3,720618#0,8897904#0,1751095#3,689504#0,782994#0,1658718#3,757168#0,8918389#-0,2276138#3,583797#0,561507#-0,1578981#3,764974#0,9555538#-0,5783426#3,739008#0,4850766#-0,5342848#3,687054#0,9318771#-0,6481258#3,717723#0,5111533#-0,6063636#3,684232#1  
frame20 #0,744575#0,7722673#3,670745#0,8373768#0,6165372#3,728962# 1,07919#0,1756532#3,568175#0,3882304#0,6560108#3,614478#1,10393#0,2409935#3,615958#0,4181749#0,5791399#3,632564#1,18483#0,4213891#3,710372#0,5418031#0,4317935#3,692561#0,9765797#0,5453427#3,655097#0,7097778#0,5394744#3,799266#0,8582669#0,2987222#3,734961#0,8532944#0,2358341#3,722949#0,9185242#0,1756759#3,693843#0,7989002#0,1632257#3,75132#0,9083611#-0,2429875#3,581027#0,5542353#-0,1728314#3,739337#0,9566312#-0,5778428#3,73671#0,4851917#-0,5309061#3,686184#0,9333705#-0,6500862#3,722241#0,5098231#-0,6041055#3,684028#1  
frame21 #0,7456322#0,7875043#3,68301#0,8404389#0,6219203#3,731956# 1,099422#0,1965225#3,62555#0,4808806#0,6347135#3,448518#1,115723#0,2569063#3,63015#0,5058693#0,5632669#3,486862#1,186329#0,4202672#3,706867#0,5678301#0,4576433#3,644044#0,9800044#0,5478079#3,658349#0,7141609#0,5352945#3,761019#0,8622393#0,3002944#3,737346#0,8592598#0,2369122#3,722754#0,924956#0,1780673#3,693641#0,803673#0,1633724#3,74829#0,9112977#-0,2459649#3,581355#0,5551211#-0,1756276#3,734569#0,9564158#-0,5778785#3,73611#0,4860332#-0,530824#3,685979#0,9340763#-0,6507497#3,722558#0,5120527#-0,6036537#3,682549#1  
frame22 #0,756227#0,7912859#3,689711#0,8424869#0,6257187#3,742428# 1,0864#0,1764868#3,615425#0,4959355#0,7239425#3,463372#1,107098#0,2410528#3,625211#0,5241721#0,6649347#3,46609#1,187769#0,4184904#3,705031#0,6049711#0,4270312#3,532351#0,9855572#0,5466599#3,663605#0,7255889#0,5312299#3,749323#0,8643475#0,2981106#3,742203#0,8616973#0,2345142#3,724834#0,9263735#0,1763663#3,696332#0,8052793#0,1630285#3,747599#0,9115098#-0,247006#3,580334#0,5544358#-0,1768195#3,731338#0,9572312#-0,5780009#3,735197#0,4862695#-0,5300583#3,6859#0,9339135#-0,6505191#3,720737#0,5119685#-0,603133#3,682533#1  
frame23 #0,7164471#0,8116125#3,666337#0,8268502#0,6385164#3,728249# 1,044441#0,1841653#3,572282#0,5885817#0,8222716#3,476556#1,101926#0,2292059#3,614669#0,6252384#0,7740564#3,461499#1,191519#0,4231851#3,71986#0,6194832#0,5846896#3,498173#0,9842314#0,5587625#3,672483#0,713972#0,539637#3,716897#0,8642604#0,306746#3,7399#0,8672623#0,2428889#3,721211#0,9414582#0,1966804#3,702622#0,810975#0,1698917#3,734487#0,9164996#-0,2275526#3,580753#0,5589058#-0,1680644#3,729306#0,9595749#-0,5780008#3,737103#0,4848859#-0,5281417#3,686343#0,9358568#-0,6501773#3,721702#0,5106654#-0,6011904#3,68343#1  
frame24 #0,7657031#0,8143135#3,669298#0,8212469#0,6377202#3,71081# 1,062045#0,2082463#3,581833#0,5806074#0,8010527#3,485651#1,120457#0,251069#3,624557#0,6171125#0,7530371#3,470657#1,191803#0,4227152#3,719712#0,658658#0,5665655#3,472607#0,9842591#0,5590731#3,672194#0,7094482#0,5371177#3,697641#0,8641284#0,3077472#3,733483#0,8695081#0,242938#3,717307#0,9443567#0,195305#3,701657#0,8126262#0,1698139#3,727443#0,9161999#-0,2264007#3,57958#0,5588475#-0,1677264#3,727502#0,9607998#-0,5777611#3,73913#0,4849676#-0,5279896#3,686309#0,9359618#-0,6487767#3,720973#0,5106891#-0,6009499#3,684076#1  
frame25 #0,7423056#0,7868607#3,660472#0,8211967#0,6377057#3,710557# 1,065084#0,2131493#3,582506#0,588868#0,7673373#3,48353#1,123235#0,2562052#3,624721#0,6252349#0,7195036#3,468592#1,191677#0,4228649#3,719372#0,6601855#0,4928877#3,482162#0,9837823#0,5595083#3,671801#0,7094387#0,5370666#3,697394#0,8647958#0,3074556#3,731044#0,8708309#0,2423901#3,715845#0,9459398#0,194569#3,700578#0,8135611#0,1690327#3,72603#0,9164972#-0,224879#3,577615#0,5597879#-0,1675327#3,725473#0,9601586#-0,5749416#3,733542#0,4849868#-0,527979#3,686162#0,9378204#-0,6455555#3,710621#0,510894#-0,6010202#3,684043#1  
frame26 #0,742335#0,7919514#3,660281#0,8257482#0,6401979#3,708779# 1,138667#0,2107708#3,593462#0,6409853#0,7384404#3,391041#1,131256#0,2665437#3,619198#0,6470898#0,6777391#3,410239#1,19475#0,4232206#3,722979#0,6654034#0,4956354#3,480868#0,9922978#0,5657405#3,670535#0,7144402#0,5393082#3,69561#0,8669397#0,3088928#3,727197#0,8728324#0,2434399#3,713175#0,9483857#0,1942587#3,70191#0,8142089#0,1717451#3,713797#0,916625#-0,224512#3,57729#0,5600967#-0,1663845#3,722906#0,9602855#-0,5751145#3,733186#0,4849516#-0,5277259#3,686033#0,9371573#-0,6451885#3,709648#0,5122916#-0,6001799#3,68452#1  
frame27 #0,750645#0,8016163#3,667857#0,8313785#0,6400221#3,712701# 1,153528#0,1991082#3,611419#0,6257555#0,7570972#3,431033#1,146122#0,2548463#3,637139#0,6360112#0,6880891#3,442214#1,199391#0,4237368#3,724402#0,6667782#0,481065#3,488759#0,9976292#0,5662658#3,669439#0,7204359#0,5388665#3,699689#0,8674584#0,3085864#3,726189#0,8728342#0,2431817#3,711989#0,9477603#0,1935603#3,700443#0,8137254#0,1710156#3,712948#0,917071#-0,2231481#3,576852#0,564302#-0,1623584#3,719828#0,9620543#-0,5753551#3,735689#0,4834699#-0,5283723#3,684116#0,9375814#-0,6409242#3,702667#0,5122582#-0,6002018#3,684826#1  
frame28 #0,7661394#0,8040417#3,680782#0,8394847#0,6413161#3,715947# 1,133947#0,2047593#3,608695#0,6324555#0,7548643#3,431366#1,140634#0,26162#3,632151#0,6418326#0,6858749#3,44297#1,20378#0,4268827#3,720608#0,6699642#0,4789065#3,490754#0,9987518#0,5673094#3,66884#0,7286463#0,5399901#3,702928#0,8681736#0,3083288#3,725977#0,872913#0,2430194#3,711654#0,9469011#0,1934459#3,700099#0,8137205#0,1709156#3,712775#0,9177932#-0,2226985#3,576267#0,5642779#-0,1615552#3,718442#0,9644134#-0,5739099#3,737969#0,4833847#-0,5282972#3,684116#0,9378347#-0,6373132#3,702316#0,5123094#-0,6001238#3,68548#1  
frame29 #0,7649792#0,8054072#3,675996#0,8394275#0,6413739#3,715939# 1,120612#0,1972281#3,611871#0,6346189#0,7467007#3,431221#1,131652#0,2534816#3,635195#0,6435676#0,6808161#3,442502#1,201023#0,422999#3,707205#0,6704135#0,4831624#3,489279#0,997462#0,5669538#3,667733#0,7285954#0,5400313#3,70291#0,8701339#0,3080445#3,724644#0,8751262#0,2425339#3,709289#0,948204#0,1933734#3,698838#0,8159094#0,1708349#3,710129#0,9177125#-0,2211843#3,574691#0,5629739#-0,1647048#3,716442#0,9646599#-0,5736716#3,737697#0,483334#-0,5283355#3,684022#0,9384943#-0,6382259#3,703789#0,5105569#-0,6007307#3,688438#1  
