frame12 #0,2144442#1,045081#3,808745#0,3367256#0,8510085#3,687303# 0,5506256#0,4419047#3,448446#-0,08905092#0,2847173#3,584918#0,5274743#0,5132206#3,481075#-0,0377316#0,3161092#3,533631#0,2338228#0,5064623#3,368442#0,1162264#0,4102848#3,396277#0,4420008#0,6921185#3,559427#0,2387323#0,6951678#3,51107#0,4162135#0,3670782#3,610762#0,4512278#0,2957602#3,533174#0,5087875#0,2570156#3,541204#0,4123212#0,243655#3,498273#0,5709094#-0,2794424#3,454432#0,437571#-0,2630198#3,501149#0,7860808#-0,5707517#3,458833#0,3592064#-0,5794001#3,490116#0,7263287#-0,6324676#3,433018#0,3834821#-0,6302412#3,400887#1  
frame13 #0,2214289#1,039966#3,786389#0,3442595#0,8417661#3,678756# 0,6387028#0,449755#3,526983#0,01648623#0,1763067#3,54408#0,5814738#0,5059066#3,513505#0,07801997#0,2241282#3,520917#0,2980854#0,4967019#3,383496#0,1214246#0,4053154#3,392754#0,4929573#0,7005233#3,565498#0,2450292#0,6888657#3,503944#0,4208912#0,3678695#3,610781#0,4540492#0,2964039#3,533321#0,5192597#0,2534265#3,542742#0,4141281#0,2410711#3,495832#0,5825546#-0,272934#3,462569#0,4522433#-0,2638985#3,514497#0,808547#-0,5648961#3,48746#0,3608558#-0,5752189#3,490319#0,7878249#-0,6394595#3,441319#0,3842407#-0,625891#3,400199#1  
frame14 #0,222645#1,01605#3,77446#0,3726935#0,8382471#3,664896# 0,6489896#0,4980213#3,560395#0,1624311#0,1315613#3,535787#0,5631627#0,4865429#3,496315#0,1581439#0,1985638#3,492987#0,305682#0,4521077#3,320667#0,1452823#0,3995712#3,381178#0,4479783#0,6932659#3,514577#0,2742986#0,6860499#3,48939#0,4604817#0,3562548#3,594771#0,4863369#0,2826858#3,515838#0,5300135#0,2494365#3,525194#0,4564624#0,240382#3,490057#0,5847729#-0,274106#3,469317#0,4535907#-0,2700481#3,534449#0,817964#-0,5780055#3,501598#0,3635136#-0,5800353#3,495789#0,7709494#-0,6505488#3,474889#0,3769888#-0,6302765#3,40292#1  
frame15 #0,2490349#1,015131#3,749176#0,3943506#0,8321187#3,64839# 0,7050461#0,4693494#3,589828#0,1449755#0,150535#3,438683#0,6238269#0,4647892#3,517982#0,2207989#0,1765456#3,443622#0,3801696#0,4511084#3,318819#0,1682125#0,390646#3,363498#0,4574006#0,688341#3,493921#0,2954824#0,680153#3,473118#0,4615741#0,3552147#3,59599#0,4848326#0,278064#3,518474#0,5269136#0,2193109#3,558358#0,4538559#0,2201304#3,471756#0,5888338#-0,2718338#3,480671#0,4366517#-0,2656063#3,590431#0,8174163#-0,5832709#3,502068#0,3657912#-0,5726404#3,49429#0,7718817#-0,6613945#3,498609#0,3775802#-0,6218752#3,400638#1  
frame16 #0,2855911#1,000361#3,698154#0,4221854#0,8103932#3,605655# 0,7202285#0,5027577#3,640859#0,1606094#0,132078#3,410309#0,65426#0,488377#3,55567#0,235771#0,1578615#3,415205#0,4563544#0,4452351#3,31627#0,1952291#0,3686105#3,321656#0,4715044#0,6633116#3,449534#0,3234486#0,6584262#3,430252#0,4942926#0,3110305#3,572986#0,5174257#0,227503#3,499372#0,5567575#0,2082807#3,475506#0,4900267#0,1736939#3,507897#0,5919188#-0,2688329#3,49039#0,4381582#-0,2734283#3,594105#0,8195467#-0,5808827#3,511445#0,3652657#-0,5775155#3,493554#0,7778084#-0,6584633#3,491489#0,3778153#-0,6259068#3,39978#1  
frame17 #0,2984561#0,9921196#3,6878#0,4376962#0,8051634#3,598112# 0,7687477#0,5415148#3,721716#0,5707359#0,2777624#3,421937#0,6808218#0,488921#3,564366#0,6452739#0,3033321#3,426792#0,5217355#0,458631#3,300661#0,5734959#0,5763906#3,600019#0,4748981#0,66346#3,445628#0,3389595#0,6531963#3,422709#0,4891705#0,3114729#3,581015#0,5088928#0,2254649#3,514539#0,53907#0,1895734#3,551462#0,4823833#0,1776328#3,496733#0,6305595#-0,2631574#3,488417#0,4523717#-0,2691318#3,593433#0,820949#-0,5808099#3,512182#0,3847335#-0,5747883#3,503499#0,788133#-0,6584086#3,486774#0,3998672#-0,6217361#3,412476#1  
frame18 #0,3241976#0,9796234#3,658317#0,4712071#0,7977671#3,585222# 0,4152918#0,245746#3,355686#0,5869975#0,2751479#3,412153#0,4724082#0,2983432#3,365012#0,6608292#0,3004752#3,416962#0,6107488#0,4677181#3,273533#0,5991019#0,5710434#3,592103#0,5230708#0,6418825#3,43839#0,3724703#0,6458001#3,409818#0,5105721#0,3087085#3,580451#0,5331041#0,2225258#3,513656#0,5822028#0,1787462#3,466526#0,5164508#0,164021#3,546298#0,6968243#-0,2712153#3,450707#0,4649651#-0,2715938#3,594019#0,8247722#-0,5821095#3,512171#0,3897628#-0,5736352#3,505898#0,7879517#-0,6578027#3,487346#0,4167418#-0,6507947#3,47396#1  
frame19 #0,3022605#0,933862#3,6166#0,490687#0,7956556#3,580831# 0,4767451#0,2541128#3,335539#0,6096739#0,2768469#3,405535#0,5466039#0,3070657#3,335004#0,6828845#0,3019612#3,410305#0,6816845#0,4910052#3,26704#0,6190133#0,5696594#3,583556#0,5441247#0,6409835#3,430981#0,3919502#0,6436886#3,405427#0,5353877#0,3136345#3,583031#0,5565212#0,2284385#3,517055#0,5930819#0,1791443#3,465746#0,5294623#0,1661901#3,551328#0,7056082#-0,2636543#3,444282#0,476815#-0,2723815#3,595528#0,8383791#-0,5833998#3,518093#0,423455#-0,5799077#3,516493#0,7895398#-0,6488749#3,486599#0,4399771#-0,6266943#3,426239#1  
frame20 #0,3258449#0,9208682#3,611091#0,520075#0,7927336#3,57605# 0,5104176#0,2451069#3,34024#0,6375003#0,2768359#3,401567#0,5802765#0,2980599#3,339705#0,7102552#0,3017937#3,406306#0,7317854#0,4954033#3,281427#0,6458467#0,5671729#3,578517#0,5840166#0,6431378#3,435591#0,4213382#0,6407665#3,400647#0,5695405#0,3219838#3,576023#0,594682#0,2405083#3,510237#0,643166#0,1938858#3,450466#0,5623354#0,1704205#3,551141#0,7296531#-0,2453136#3,4372#0,4950994#-0,2634774#3,607161#0,8422127#-0,5840471#3,518931#0,4578704#-0,5802524#3,526275#0,7967185#-0,6530632#3,490352#0,4781643#-0,626851#3,436807#1  
frame21 #0,3549117#0,9242904#3,604851#0,5431135#0,7882309#3,569802# 0,618378#0,3103116#3,323156#0,6609225#0,2739784#3,395314#0,6549255#0,3230009#3,331195#0,733409#0,2988442#3,400036#0,8005658#0,4990373#3,309182#0,6681638#0,5630496#3,57062#0,6073537#0,6490377#3,439104#0,4443767#0,6362638#3,394398#0,5872131#0,3345621#3,576206#0,6150398#0,2564223#3,512836#0,6568104#0,199082#3,450063#0,5877687#0,1843907#3,558429#0,7409929#-0,2430858#3,445963#0,512872#-0,2254154#3,629254#0,8468506#-0,5809914#3,518414#0,4656188#-0,5733408#3,529646#0,7995909#-0,6499808#3,492499#0,4902031#-0,61992#3,441134#1  
