frame1 #-0,06772464#0,8636802#3,140105#-0,03632009#0,6692324#3,178944# -0,2392975#0,2107752#2,912582#-0,6080363#0,4401506#3,141927#-0,1428034#0,247434#2,908998#-0,5513937#0,4355903#3,160561#0,009399507#0,3422031#2,93009#-0,3814661#0,4219095#3,231184#0,07926608#0,5373335#3,043976#-0,2149491#0,52876#3,249583#-0,005555023#0,2754566#3,187437#-0,03100949#0,2007669#3,147675#0,0360297#0,1285286#3,106209#-0,09636714#0,1246705#3,174578#0,2432371#-0,2747667#3,117191#-0,2995663#-0,2546941#3,188388#-0,2477634#-0,581737#3,160705#-0,352892#-0,5959758#3,165042#-0,1192345#-0,5932796#3,156759#-0,4132414#-0,674126#3,138163#0  
frame2 #-0,06935642#0,8556314#3,139786#-0,03578395#0,6681325#3,178842# -0,2795582#0,213577#2,922872#-0,6433913#0,4468728#3,130233#-0,2099943#0,2249203#2,909755#-0,5854501#0,4396088#3,150047#0,01011229#0,3439215#2,93036#-0,4116265#0,4178168#3,22421#0,07975139#0,5375439#3,044672#-0,2148546#0,5276598#3,250298#-0,005557962#0,2753675#3,187377#-0,03102191#0,2007618#3,147614#0,03601716#0,1285778#3,106081#-0,09648895#0,1244578#3,174447#0,2337688#-0,2590793#3,11541#-0,2991782#-0,2544003#3,188325#0,472487#-0,5717884#3,13768#-0,3567451#-0,6237983#3,165661#0,4187149#-0,6193957#3,063839#-0,4183242#-0,6772891#3,133837#0  
frame3 #-0,07250998#0,8517137#3,137791#-0,03608922#0,6665765#3,17886# -0,2762824#0,213235#2,911314#-0,6145443#0,4397316#3,140249#-0,2063892#0,2231294#2,915987#-0,5567487#0,4353398#3,159391#0,009890459#0,3439828#2,929886#-0,3833621#0,4221645#3,231542#0,07949106#0,5375787#3,044565#-0,2147851#0,5274776#3,250696#-0,005440801#0,2749045#3,187227#-0,03095294#0,2004469#3,1475#0,03602721#0,1285186#3,106071#-0,09629287#0,1241694#3,174191#0,2326428#-0,2564514#3,115878#-0,2988419#-0,2540847#3,188496#0,4723739#-0,5725014#3,137927#-0,3538312#-0,6050503#3,165385#0,4198214#-0,6189147#3,066029#-0,4148265#-0,6737995#3,136148#0  
frame4 #-0,07708053#0,8464426#3,138153#-0,03699391#0,6650409#3,178657# -0,2780137#0,2123708#2,909555#-0,6296329#0,4406936#3,137743#-0,2092804#0,2213359#2,915181#-0,5712065#0,4362337#3,155265#0,007388861#0,34248#2,929038#-0,3959273#0,4228541#3,222547#0,07943976#0,5376487#3,044353#-0,2150571#0,5277019#3,251812#-0,005456632#0,2746096#3,18695#-0,03100116#0,2002528#3,1473#0,03604366#0,1283476#3,105904#-0,09631486#0,1239546#3,173908#0,2317635#-0,2544626#3,11577#-0,2989784#-0,2543527#3,188557#0,4712188#-0,5732393#3,136971#-0,3516152#-0,596236#3,164593#0,4191808#-0,6190506#3,066175#-0,4148292#-0,6738356#3,136085#0  
frame5 #-0,08079192#0,8463122#3,13497#-0,03641311#0,6648675#3,17475# -0,2772957#0,2132001#2,909889#-0,6230075#0,4391169#3,14071#-0,2089402#0,2214487#2,914982#-0,5646944#0,4355201#3,158437#0,007361527#0,3423692#2,928839#-0,389755#0,4247296#3,226296#0,07930088#0,5376744#3,043808#-0,2152489#0,5277896#3,251939#-0,004848504#0,2753218#3,185671#-0,03019434#0,2008212#3,146533#0,03697271#0,1288154#3,105287#-0,09551732#0,1244189#3,173473#0,2299212#-0,245832#3,113561#-0,2988653#-0,2545491#3,188461#0,470287#-0,5734324#3,136911#-0,3514462#-0,5957786#3,164433#0,4186902#-0,6189299#3,066888#-0,4151337#-0,6737089#3,136474#0  
frame6 #-0,08223459#0,8459857#3,133549#-0,03766396#0,6625063#3,172546# -0,2395062#0,2100525#2,908972#-0,6229194#0,4395628#3,142933#-0,1506038#0,2420867#2,901764#-0,5644169#0,4357565#3,160064#0,004719292#0,3386836#2,927292#-0,3889095#0,4243377#3,226112#0,07923784#0,538109#3,043424#-0,2152909#0,5272309#3,251#-0,004659597#0,275212#3,184587#-0,02948856#0,2006725#3,145872#0,03796644#0,1290475#3,105012#-0,09426427#0,1240385#3,17243#0,230178#-0,2462079#3,113214#-0,2948794#-0,2520055#3,189754#0,4696522#-0,573987#3,136696#-0,3454146#-0,5903299#3,167099#0,4180609#-0,6196941#3,066485#-0,4151059#-0,6732625#3,136051#0  
frame7 #-0,09880664#0,8293136#3,131668#-0,04213494#0,6569441#3,170323# -0,2800842#0,2189814#2,918999#-0,6474507#0,4711321#3,13136#-0,2090848#0,2195583#2,908258#-0,562036#0,4354464#3,160852#0,007241793#0,3401198#2,926294#-0,3866408#0,4229583#3,226403#0,07862057#0,5379337#3,04286#-0,2153504#0,5269375#3,250889#-0,004344366#0,2751031#3,183059#-0,02834362#0,200558#3,144703#0,04007987#0,1289407#3,102884#-0,09200165#0,1237371#3,171656#0,2305709#-0,244783#3,111628#-0,2947892#-0,2524631#3,189214#0,4682837#-0,5762013#3,139056#-0,3451364#-0,589524#3,168243#0,4165025#-0,6222113#3,068816#-0,4144347#-0,6728058#3,135375#0  
frame8 #-0,1061274#0,8274696#3,125103#-0,04328071#0,6552908#3,16968# -0,2477086#0,2083086#2,906603#-0,6020228#0,4417166#3,161163#-0,153364#0,2416514#2,900234#-0,5539383#0,4106362#3,151355#0,008727066#0,3402835#2,924094#-0,3819551#0,4199302#3,226762#0,07770851#0,5374239#3,04169#-0,2174292#0,5261114#3,250892#-0,003814474#0,2753153#3,181743#-0,02684359#0,2012473#3,143471#0,04291297#0,1294835#3,10096#-0,0903182#0,1241126#3,17076#0,2311916#-0,2457448#3,110244#-0,2925403#-0,2533338#3,188807#0,4664701#-0,5762602#3,138494#-0,3454528#-0,5885149#3,169331#0,4151004#-0,6219192#3,06892#-0,398715#-0,664188#3,141669#0  
frame9 #-0,137937#0,8149698#3,112779#-0,07676877#0,6420125#3,164569# -0,2342931#0,1985194#2,88277#-0,7015679#0,4614178#3,102315#-0,1436843#0,2402379#2,887724#-0,6225823#0,4197201#3,147009#0,006238894#0,3472003#2,921655#-0,4492058#0,3922804#3,219043#0,06035899#0,539285#3,039761#-0,2353873#0,521569#3,25141#-0,01107196#0,2722389#3,176552#-0,03093746#0,197944#3,139571#0,04074325#0,1273607#3,097608#-0,09267291#0,1201904#3,167241#0,2326159#-0,257941#3,103768#-0,2915235#-0,249149#3,180873#0,4666758#-0,5765301#3,138338#-0,3398847#-0,5892732#3,168368#0,4162834#-0,6224015#3,070485#-0,390277#-0,6351447#3,100515#0  
frame10 #-0,1550238#0,8040981#3,103412#-0,08710161#0,6403498#3,158955# -0,2695699#0,1858102#2,881723#-0,7264562#0,4758832#3,071487#-0,1971516#0,1975276#2,877236#-0,6273285#0,4140927#3,145606#0,001776425#0,3480372#2,918848#-0,4528358#0,3901512#3,218233#0,03908368#0,5354832#3,0374#-0,2462496#0,5156192#3,244145#-0,02132953#0,2699338#3,172626#-0,03890688#0,1957126#3,137177#0,0304977#0,1297879#3,094569#-0,09665257#0,1144934#3,166522#0,230382#-0,261787#3,10107#-0,2922583#-0,2472022#3,176536#0,4688364#-0,5788379#3,137426#-0,3369934#-0,587498#3,167644#0,4188714#-0,6243194#3,070904#-0,3869585#-0,6329795#3,101122#0  
frame11 #-0,1986992#0,79035#3,087873#-0,1364478#0,6234767#3,143054# -0,2675141#0,1698571#2,873011#-0,7489625#0,447998#3,061093#-0,1989161#0,1934426#2,88078#-0,6135218#0,3473157#3,14139#-0,008376712#0,3525011#2,916096#-0,4463751#0,3823633#3,224641#-0,007267724#0,5245615#3,038238#-0,2826391#0,5003519#3,232248#-0,05643933#0,2575312#3,166188#-0,06835906#0,1824767#3,133676#0,00406595#0,1238505#3,092603#-0,1177946#0,09878619#3,165933#0,1861957#-0,2287644#3,085478#-0,304216#-0,2536577#3,166873#0,4614994#-0,5716211#3,135644#-0,3359224#-0,5884065#3,167013#0,4135959#-0,6181196#3,069431#-0,3693774#-0,6673546#3,137935#0  
