frame1 #-0,0612275#0,8463526#2,998973#0,005183412#0,6710587#3,013581# -0,2568401#0,2451403#2,716071#-0,6075513#0,5286967#2,933356#-0,1669028#0,260481#2,717345#-0,5338414#0,4889336#2,969569#0,01237447#0,3613198#2,760617#-0,3673461#0,4304594#3,049976#0,1125329#0,5459679#2,902314#-0,1877284#0,5262081#3,098241#0,02075724#0,2958586#3,022587#0,006337265#0,2223611#3,001151#0,07409529#0,1493264#2,958592#-0,06102227#0,1404344#3,034501#0,2618683#-0,253039#2,967091#-0,2605518#-0,2701043#3,043077#0,4050946#-0,5320197#2,99453#-0,3571653#-0,5985573#3,028467#0,3556198#-0,5784022#2,92216#-0,4147187#-0,6704752#2,999813#0  
frame32 #-0,3834244#0,9051206#2,939413#-0,3512632#0,6999041#2,970411# -0,2102132#0,3015706#2,763468#-0,378651#0,3230806#2,698425#-0,1702761#0,3538527#2,787487#-0,457151#0,3307342#2,71453#-0,03985821#0,4507223#2,944818#-0,6010336#0,4088969#2,829161#-0,1757185#0,6140341#2,977125#-0,5198807#0,5617617#2,949503#-0,3119684#0,3430335#3,009157#-0,303768#0,2712173#3,010077#-0,2185262#0,2029925#3,015802#-0,3727633#0,1848603#3,012265#-0,2080329#-0,25498#3,020665#-0,4143648#-0,2570524#2,990233#-0,3270404#-0,6272492#3,031235#-0,4359677#-0,6240883#3,051552#-0,4072205#-0,6836369#3,005534#-0,4125654#-0,6848826#2,995221#0  
frame33 #-0,3828194#0,9117558#2,940336#-0,3538517#0,7081678#2,970164# -0,1945485#0,3418738#2,805085#-0,3448612#0,3421486#2,738531#-0,1430586#0,3825174#2,83186#-0,4207633#0,3640605#2,732961#-0,03187286#0,4562531#2,996004#-0,6002229#0,4118434#2,796574#-0,1734649#0,6236581#2,986218#-0,5160726#0,562671#2,93396#-0,3191309#0,3486759#3,005565#-0,3112125#0,2765549#3,006852#-0,2267396#0,206802#3,015751#-0,3820698#0,1915933#3,003955#-0,2318144#-0,2449247#3,042975#-0,4040368#-0,2655652#2,98319#-0,3323078#-0,6327002#3,021241#-0,5099428#-0,6292163#3,061531#-0,4100095#-0,6791928#2,988464#-0,4165514#-0,6722206#3,006107#0  
frame34 #-0,3808541#0,9136223#2,940461#-0,3530699#0,7106359#2,970234# -0,17853#0,3724535#2,824977#-0,3199055#0,3881558#2,741882#-0,1263389#0,4024317#2,860556#-0,4117495#0,3931495#2,719797#-0,03783853#0,475846#3,019759#-0,595824#0,4093972#2,746035#-0,1671576#0,6373717#3,008861#-0,5005033#0,5624141#2,912882#-0,3216046#0,35003#3,003576#-0,3135625#0,2779634#3,00549#-0,2306884#0,207911#3,017508#-0,3857075#0,1944903#2,99719#-0,2625132#-0,2480712#3,064631#-0,3967565#-0,2631678#2,980461#-0,3602812#-0,6373744#3,023467#-0,5115664#-0,6282373#3,045428#-0,4204616#-0,6843209#2,984087#-0,441627#-0,6718079#3,003408#0  
frame35 #-0,375764#0,9196666#2,942657#-0,3519211#0,7129642#2,969799# -0,1862938#0,381538#2,834952#-0,3133656#0,4010953#2,745081#-0,1341171#0,4115078#2,870521#-0,3704938#0,4412698#2,742231#-0,03907167#0,4734002#3,031242#-0,5796489#0,4153599#2,720266#-0,1715361#0,6454892#3,026888#-0,4787865#0,5723983#2,902587#-0,3230871#0,3503692#3,00093#-0,3151574#0,278034#3,003181#-0,2347791#0,2090008#3,018493#-0,3865337#0,1980577#2,986844#-0,2946034#-0,2495047#3,059231#-0,4098994#-0,2547362#2,950814#-0,3623847#-0,6367884#3,016397#-0,5266045#-0,6274693#3,033199#-0,4264324#-0,6811031#2,981432#-0,4748355#-0,6807817#2,991173#0  
frame36 #-0,3704053#0,9175118#2,941527#-0,3511305#0,7133534#2,969676# -0,2324967#0,4341179#2,824548#-0,3352299#0,5101874#2,701867#-0,1803423#0,4640749#2,860101#-0,3708162#0,4557723#2,727443#-0,06219807#0,4631277#3,017293#-0,5560764#0,4254222#2,690618#-0,1742216#0,6414909#3,04716#-0,4697632#0,5741116#2,896884#-0,323264#0,3499283#2,998846#-0,3152336#0,2773424#3,001454#-0,2363981#0,2089733#3,020006#-0,383337#0,1984027#2,97798#-0,3260684#-0,2411871#3,042628#-0,4095629#-0,2583848#2,945266#-0,3612167#-0,6363019#3,011928#-0,5348717#-0,6286175#3,032524#-0,4422445#-0,680597#2,980327#-0,5138308#-0,7013731#2,994345#0  
frame37 #-0,357756#0,9237239#2,944107#-0,3476928#0,7161263#2,970385# -0,2404279#0,3986863#2,838388#-0,2849632#0,5130355#2,722622#-0,1885339#0,4284937#2,873764#-0,3458862#0,4840779#2,705807#-0,07250994#0,4836099#3,022118#-0,5226375#0,4457309#2,676726#-0,1781246#0,6445637#3,06749#-0,4411184#0,5951492#2,889302#-0,3214307#0,3515508#2,99616#-0,313055#0,278942#2,999181#-0,2372885#0,2129959#3,026823#-0,3708546#0,2049128#2,960228#-0,3322089#-0,2345749#3,028308#-0,4092961#-0,2611333#2,939617#-0,3631777#-0,6320553#3,003931#-0,5485481#-0,6265639#3,031783#-0,4532387#-0,6799712#2,966807#-0,5151553#-0,6950604#2,995277#0  
frame38 #-0,3159681#0,9290069#2,952929#-0,3470951#0,7197224#2,971371# -0,1559778#0,5496139#2,952574#-0,2398268#0,5938679#2,715363#-0,1405196#0,5461101#3,021108#-0,3011158#0,5670733#2,696202#-0,0941451#0,5355987#3,240629#-0,438599#0,4632322#2,639415#-0,1983482#0,6650484#3,144313#-0,4029121#0,5808969#2,886673#-0,3080609#0,3610867#2,995348#-0,2933498#0,290547#2,999256#-0,2212348#0,2301801#3,071573#-0,3241505#0,2042152#2,93123#-0,3380459#-0,1984836#2,976078#-0,3915269#-0,2756021#2,925882#-0,3463108#-0,6077318#2,981261#-0,5623719#-0,6215705#3,036938#-0,3985781#-0,6851931#2,926928#-0,4842724#-0,6851575#3,066569#0  
frame39 #-0,2992876#0,9319596#2,961353#-0,3416362#0,7296309#2,97461# -0,09808967#0,6569408#3,072398#-0,1981479#0,6264368#2,774631#-0,153876#0,5702884#3,044829#-0,2594607#0,5996317#2,755462#-0,1102428#0,5442435#3,261369#-0,3705395#0,5305232#2,636852#-0,198462#0,6637779#3,145042#-0,3981669#0,5832359#2,884374#-0,3008002#0,3641916#2,995985#-0,2870263#0,2922114#2,999688#-0,2205699#0,2283715#3,072334#-0,3210233#0,2046378#2,930543#-0,2828173#-0,2097841#2,988899#-0,3442551#-0,2600245#2,942106#-0,3345322#-0,6119415#2,972324#-0,5477925#-0,5995543#3,030326#-0,3605586#-0,6784869#2,919119#-0,4764492#-0,6435393#2,977295#0  
frame40 #-0,2483861#0,9213122#2,957928#-0,2980078#0,7182848#2,938496# -0,1371022#0,7402979#3,166386#-0,2059771#0,6744689#2,772956#-0,1840046#0,6602394#3,150038#-0,2673161#0,6476524#2,753779#-0,1472115#0,5716536#3,333914#-0,3781757#0,5786802#2,635431#-0,1655081#0,6935712#3,222149#-0,3152251#0,5622396#2,879371#-0,2731656#0,3515266#2,986045#-0,2625456#0,279003#2,995323#-0,2156621#0,2121875#3,060439#-0,2885811#0,2089296#2,944093#-0,2174352#-0,2422033#2,893113#-0,3165822#-0,2096564#2,940878#-0,2542854#-0,6120083#2,958581#-0,5278645#-0,5511886#3,015446#-0,2280924#-0,6781853#2,91313#-0,4455634#-0,5955223#2,98181#0  
frame41 #-0,2365749#0,9182992#2,955375#-0,2770558#0,7063017#2,926001# -0,1367588#0,7727709#3,192704#-0,2017759#0,659944#2,784928#-0,1836808#0,6926788#3,176349#-0,2631406#0,6331163#2,765744#-0,1489282#0,6185659#3,357463#-0,3495575#0,556879#2,596411#-0,1445561#0,681588#3,209653#-0,4171894#0,5853958#2,794803#-0,2650802#0,3615152#2,971523#-0,2565031#0,2933996#2,978721#-0,1935346#0,217246#3,040405#-0,3046471#0,2076459#2,929648#-0,2069033#-0,238064#2,904976#-0,2771356#-0,2634891#2,939913#-0,1945873#-0,63169#2,951027#-0,5345294#-0,5729427#3,018535#-0,1478796#-0,6735278#2,894259#-0,459332#-0,6193189#2,972739#0  
frame42 #-0,2171971#0,9234992#2,961684#-0,2562843#0,7116679#2,927945# -0,1776094#0,8073395#3,235263#-0,1883955#0,6582769#2,824073#-0,2245511#0,7272138#3,218902#-0,249786#0,631438#2,804881#-0,1593565#0,6175026#3,368771#-0,2966992#0,5394502#2,588607#-0,1237845#0,6869542#3,211598#-0,3776671#0,5824312#2,778298#-0,257926#0,3623702#2,965812#-0,2515212#0,293249#2,97339#-0,188695#0,2155676#3,033205#-0,3044946#0,2071992#2,92528#-0,1440196#-0,2263318#2,912438#-0,2753122#-0,2594007#2,937979#-0,1311618#-0,6281815#2,950932#-0,5353454#-0,5705881#3,011982#-0,06564903#-0,6786129#2,88222#-0,4582683#-0,6171902#2,970704#0  
frame43 #-0,1965153#0,9289076#2,948876#-0,2694862#0,7390704#2,893004# -0,102062#0,8785156#3,434606#0,02129573#0,67435#2,728625#-0,1490252#0,7983533#3,418237#-0,04012279#0,6474988#2,709424#-0,1854444#0,6396735#3,341343#-0,2049777#0,622154#2,640078#-0,1369864#0,7143568#3,176657#-0,2998198#0,5408942#2,844071#-0,2241358#0,3224524#2,947702#-0,2095933#0,2392643#2,959504#-0,1573011#0,1811285#2,978929#-0,2489224#0,1899108#2,951654#-0,04847705#-0,2602588#2,893121#-0,2584103#-0,2350144#2,953685#0,05840549#-0,640154#2,880527#-0,5184066#-0,5563924#3,000349#0,1543887#-0,6759761#2,8413#-0,438593#-0,5999452#2,962176#0  
frame44 #-0,1490521#0,8846607#2,9728#-0,202353#0,7041188#2,951242# -0,03159127#0,8398837#3,497076#0,04510147#0,8017866#2,602724#-0,07857725#0,7596825#3,4807#-0,01634681#0,7749224#2,583513#-0,1195611#0,6051574#3,399081#-0,0962481#0,6417999#2,700281#-0,06985323#0,6794052#3,234895#-0,2328665#0,5683004#2,833436#-0,1843389#0,3047361#2,952974#-0,1788886#0,2266209#2,955662#-0,1246316#0,1595499#2,944064#-0,2222951#0,1946093#2,960646#-0,04343865#-0,2592423#2,908713#-0,2884851#-0,1588556#3,060396#0,2269452#-0,5790951#2,849162#-0,5013501#-0,5198716#3,004651#0,3098974#-0,6225017#2,817672#-0,4183979#-0,5632783#2,973161#0  
frame45 #-0,1318432#0,8922929#2,907524#-0,1844094#0,7200233#2,953227# -0,0135516#0,8561043#3,499246#0,1288629#0,8583773#2,609118#-0,06055994#0,7758648#3,482862#0,06738535#0,8315003#2,589899#-0,1016175#0,6210618#3,401069#-0,03348842#0,7079245#2,700576#-0,05190963#0,6953096#3,23688#-0,2223797#0,5780493#2,833575#-0,1649228#0,3272731#2,951131#-0,1553146#0,2505715#2,951658#-0,1115406#0,1942986#2,954144#-0,1869783#0,2191969#2,943331#0,0578778#-0,2841233#2,879055#-0,3701858#-0,1942774#3,076011#0,3220989#-0,6130279#2,842383#-0,5425647#-0,5751708#2,991387#0,4150861#-0,6467087#2,842781#-0,4598637#-0,6182877#2,958205#0  
frame46 #-0,1167099#0,8888478#2,860295#-0,1394783#0,7950233#2,964737# 0,03143287#0,93126#3,510767#0,1625812#0,8910931#2,600393#-0,01559745#0,8509831#3,494375#0,1010749#0,8642036#2,581164#-0,05668639#0,6960618#3,412534#0,01632765#0,7326117#2,696905#-0,006978497#0,7703096#3,24839#-0,1737162#0,6021777#2,82763#-0,1290225#0,3860056#2,946145#-0,1213509#0,3045778#2,943472#-0,08123048#0,2393176#2,919357#-0,1588033#0,2503489#2,958261#0,06255736#-0,2507557#2,876482#-0,3379095#-0,09642271#3,041927#0,334286#-0,5736225#2,840466#-0,5021849#-0,4843793#2,988925#0,4176405#-0,616944#2,808761#-0,4188305#-0,5277008#2,95722#0  
frame47 #-0,04871621#0,8954672#2,860533#-0,07749833#0,7904043#2,956808# 0,09351559#0,9269717#3,50303#0,2053797#0,8509082#2,77829#0,04645768#0,8466477#3,486628#0,1438373#0,8240029#2,75905#0,005293533#0,6914428#3,404609#0,01897435#0,6544713#2,781648#0,05500142#0,7656906#3,240461#-0,2044001#0,6147829#2,921148#-0,09031889#0,3843659#2,927924#-0,08901275#0,3034247#2,922637#-0,004690933#0,2337326#2,885207#-0,1628833#0,2404348#2,948054#0,1227467#-0,2629536#2,858618#-0,2485411#-0,153114#3,020219#0,3837082#-0,5975804#2,840003#-0,4695296#-0,5142795#2,963268#0,4533562#-0,6426623#2,785248#-0,3998816#-0,5593614#2,908514#0  
frame48 #-0,07133287#0,8998682#2,974576#-0,04363054#0,7251336#2,940484# 0,1612296#1,023343#2,849726#0,2675737#0,8252797#2,860018#0,21709#0,9463835#2,854522#0,2055827#0,7981782#2,840638#0,209065#0,7531483#2,978429#0,02572179#0,618756#2,873724#0,08886921#0,7004199#3,224136#-0,2121451#0,5390635#2,94554#-0,04107984#0,3480977#2,906986#-0,03152105#0,2748722#2,891444#0,04377776#0,2002459#2,855102#-0,101567#0,1872343#2,904101#0,2046699#-0,2552745#2,850253#-0,2812373#-0,2708793#3,01772#0,3704692#-0,6324025#2,827356#-0,5074004#-0,5910145#2,948927#0,4392587#-0,6797346#2,843917#-0,4475523#-0,6354268#2,882027#0  
frame49 #-0,03086819#0,8878136#2,92309#-0,007940697#0,7152699#2,918079# 0,3773261#1,000647#2,966069#0,3806605#0,7752742#2,937672#0,3837992#0,9059539#2,958406#0,3186651#0,7481707#2,918291#0,2970094#0,6961273#2,985846#0,117279#0,6040779#2,869114#0,1245591#0,6905562#3,201731#-0,1339715#0,5574208#2,896021#0,001299001#0,3254107#2,878134#0,01458127#0,2498135#2,8628#0,07425904#0,1922623#2,83334#-0,04351655#0,1704917#2,875299#0,2678505#-0,2373463#2,840601#-0,2017927#-0,2311448#2,958814#0,3802244#-0,6330758#2,824535#-0,4431178#-0,5840582#2,945622#0,4462921#-0,6785958#2,852325#-0,3750641#-0,6276494#2,886913#0  
frame50 #-0,02725525#0,8861289#2,926163#-0,003443565#0,7111729#2,911188# 0,4826497#0,9748547#3,051511#0,413466#0,7182852#2,950872#0,4575778#0,8728315#3,025827#0,351553#0,6912178#2,931516#0,3148906#0,6653264#2,992215#0,116806#0,6043878#2,890382#0,1290562#0,6864592#3,194841#-0,1333096#0,553887#2,893847#0,01007907#0,3253947#2,872604#0,02492969#0,25084#2,856837#0,09366978#0,1937748#2,822273#-0,03257509#0,1691886#2,869696#0,299188#-0,2423722#2,840188#-0,1923394#-0,2274819#2,947112#0,3937284#-0,6261008#2,811513#-0,4272878#-0,5854399#2,940378#0,4504984#-0,6793498#2,844747#-0,3605174#-0,6288312#2,880605#0  
frame51 #0,02848446#0,8721098#2,885153#0,0303888#0,6954119#2,880012# 0,619635#0,6669415#3,156398#0,4104608#0,6947981#2,996075#0,5709934#0,6265202#3,084485#0,3481109#0,6675397#2,976582#0,3512149#0,5793821#2,985235#0,1181432#0,6036946#2,892469#0,1628886#0,6706983#3,163665#-0,1265344#0,5329805#2,878476#0,04409955#0,3103587#2,85867#0,06592961#0,2375037#2,836488#0,1418902#0,1788663#2,816783#0,001857475#0,1511302#2,837696#0,3363636#-0,2380215#2,840019#-0,1895157#-0,266095#2,929367#0,464714#-0,5889521#2,779836#-0,3437303#-0,585513#2,895966#0,5265961#-0,6327705#2,715054#-0,2818483#-0,6293314#2,831184#0  
frame52 #0,04437671#0,8679803#2,874927#0,04422428#0,6910396#2,871981# 0,5973663#0,5482627#3,11329#0,4162112#0,6887995#2,992271#0,5442738#0,5131415#3,041332#0,3536618#0,6614539#2,972716#0,3465608#0,5395517#2,979681#0,1244734#0,5954645#2,88639#0,176724#0,6663259#3,155634#-0,1193943#0,5213004#2,869421#0,05224767#0,3044593#2,856658#0,07513726#0,2313707#2,832917#0,1532027#0,1697639#2,814446#0,008908592#0,1444846#2,833741#0,3442715#-0,2385383#2,84323#-0,1890929#-0,2664355#2,929438#0,4658025#-0,5886676#2,779334#-0,3052926#-0,5731449#2,869924#0,5270856#-0,6326622#2,71423#-0,2440095#-0,6171395#2,804821#0  
frame53 #0,06463279#0,8485373#2,885389#0,05772895#0,6674802#2,854232# 0,5992503#0,3905594#3,128258#-0,2517821#0,1788236#3,157212#0,5479194#0,3649301#3,051177#-0,2308591#0,2239738#3,106538#0,336397#0,4807809#2,970866#-0,1671236#0,3346773#2,978015#0,1902288#0,6427665#3,137885#-0,07001784#0,5009169#2,832347#0,06223422#0,2777763#2,847171#0,08691568#0,2028944#2,827362#0,1572838#0,1495436#2,812376#0,02206572#0,1273227#2,831043#0,3653359#-0,2574069#2,850355#-0,181318#-0,2738459#2,93#0,4700392#-0,5979569#2,782199#-0,2981841#-0,5751016#2,852725#0,5377946#-0,6418423#2,724122#-0,2304287#-0,618987#2,794648#0  
frame54 #0,1033606#0,8398672#2,886834#0,06551395#0,6623104#2,854009# 0,4687257#0,2261103#2,919259#-0,1952333#0,1052539#3,220556#0,4333647#0,2514073#2,863245#-0,2020818#0,143807#3,118635#0,3083129#0,4541457#2,964312#-0,1656498#0,2928728#2,924027#0,1980137#0,6375966#3,137661#-0,06594694#0,4987457#2,830106#0,06668186#0,2721604#2,847374#0,09069487#0,1971476#2,827683#0,1608673#0,1410151#2,812229#0,02762403#0,1195753#2,831868#0,3650697#-0,2605268#2,852576#-0,1818303#-0,2765608#2,932277#0,4710012#-0,5976708#2,782768#-0,2999473#-0,5746371#2,852019#0,4583763#-0,6807166#2,774967#-0,2324044#-0,6185751#2,794073#0  
frame55 #0,1005353#0,8377204#2,884869#0,06700055#0,6592019#2,855062# 0,450895#0,1988005#2,965587#-0,1980082#0,07438817#3,112185#0,4160003#0,2198281#2,907975#-0,2055464#0,1014272#3,047448#0,2963289#0,4460269#2,962139#-0,1731777#0,2758003#2,878301#0,1995003#0,6344881#3,138714#-0,06401319#0,4977064#2,828813#0,06795631#0,2678362#2,847674#0,09196517#0,1926377#2,82797#0,1614394#0,1352003#2,812266#0,02926027#0,1165787#2,832067#0,3558587#-0,252078#2,860647#-0,1843227#-0,2790347#2,934247#0,4697154#-0,599227#2,781845#-0,3031265#-0,5753109#2,851146#0,4580469#-0,6822412#2,774627#-0,2354496#-0,6191063#2,793696#0  
frame56 #0,1014616#0,8363225#2,887218#0,06984848#0,6569978#2,856707# 0,4192081#0,1669227#2,962522#-0,1788269#0,05236347#3,078826#0,3849221#0,2086265#2,883705#-0,1863706#0,07942215#3,014041#0,2910783#0,4420376#2,96057#-0,1788248#0,2722633#2,854923#0,2023482#0,632284#3,140359#-0,06106668#0,4964474#2,826765#0,06836033#0,2631343#2,848573#0,09195769#0,1869731#2,828963#0,1612834#0,1305333#2,812677#0,0284462#0,1094858#2,833481#0,3557702#-0,2538756#2,861325#-0,1871817#-0,2803632#2,935594#0,4695586#-0,5997111#2,781366#-0,3047422#-0,5763155#2,85131#0,4563426#-0,6821061#2,77259#-0,2368207#-0,6200488#2,794575#0  
frame57 #0,08916599#0,8415321#2,890901#0,06984133#0,6603453#2,86561# 0,3616713#0,04105945#2,88615#-0,1960371#0,09662747#2,827017#0,3177591#0,2068568#2,859719#-0,2035557#0,1235965#2,762447#0,2599222#0,4468509#2,953358#-0,201223#0,3104807#2,733842#0,2023411#0,6356316#3,149263#-0,04895717#0,5018175#2,820014#0,06524463#0,2597258#2,852125#0,08923617#0,1824963#2,833065#0,1565705#0,126509#2,817561#0,02684115#0,1086598#2,836153#0,35318#-0,2516766#2,863813#-0,2035771#-0,2859759#2,939032#0,4683049#-0,5940541#2,781578#-0,3148229#-0,577328#2,85019#0,4564207#-0,6761247#2,774248#-0,2447023#-0,620551#2,797205#0  
frame58 #0,1014478#0,8390734#2,903598#0,06931045#0,6593558#2,877073# 0,3499953#0,0434742#2,880022#-0,178392#0,1086046#2,842251#0,3075268#0,2125607#2,857653#-0,1858992#0,1355326#2,777779#0,2541612#0,4517611#2,956727#-0,2037467#0,3117768#2,71851#0,2018102#0,6346421#3,160726#-0,05170078#0,5037885#2,817684#0,0618798#0,260127#2,855735#0,085686#0,1832856#2,836037#0,1515287#0,1263357#2,820426#0,02382083#0,1101665#2,838011#0,3531649#-0,2512787#2,864386#-0,2097947#-0,2895713#2,939454#0,4686415#-0,5946091#2,781838#-0,3183348#-0,578238#2,848593#0,4560231#-0,6762447#2,774125#-0,2475589#-0,6211349#2,796849#0  
frame59 #0,09968258#0,8397173#2,901075#0,06669638#0,6606601#2,881895# 0,3083363#0,09961462#2,816873#-0,1781826#0,116204#2,835178#0,2785762#0,2399706#2,806611#-0,1856791#0,1430935#2,770798#0,2436215#0,4616736#2,950874#-0,203129#0,3164197#2,704695#0,1991961#0,6359465#3,165547#-0,05341765#0,5050713#2,816346#0,05868089#0,2597288#2,85787#0,08253261#0,1827164#2,837745#0,1482069#0,1260544#2,822132#0,0208418#0,109951#2,838846#0,3517233#-0,250177#2,864814#-0,2122108#-0,2880956#2,939065#0,4735547#-0,5914769#2,783717#-0,3195531#-0,5778055#2,847848#0,4593873#-0,6726061#2,776002#-0,248437#-0,6204934#2,796952#0  
frame60 #0,08736578#0,8443147#2,914068#0,06209249#0,6631269#2,88926# 0,3063103#0,0582014#2,904339#-0,179558#0,1340736#2,826011#0,273445#0,2260973#2,869663#-0,1870466#0,1609347#2,761699#0,2367206#0,4747832#2,948252#-0,1991133#0,3434636#2,687334#0,1945922#0,6384132#3,172912#-0,05620348#0,5128123#2,814842#0,05636308#0,2598592#2,859163#0,08077965#0,1829387#2,838545#0,1454567#0,1266897#2,823915#0,01953579#0,1112319#2,838352#0,348716#-0,2454931#2,866044#-0,2166815#-0,2667199#2,931234#0,47356#-0,591096#2,783809#-0,319758#-0,5757704#2,84727#0,4598247#-0,6722249#2,77823#-0,2480209#-0,6180556#2,797472#0  
frame61 #0,08493248#0,8457806#2,915629#0,05943929#0,6640639#2,890968# 0,3086653#0,06887918#2,902245#-0,1805703#0,1527851#2,819796#0,2732796#0,246533#2,864369#-0,1880522#0,1796222#2,755542#0,2341392#0,4978257#2,932858#-0,1861542#0,4152047#2,659489#0,191939#0,6393502#3,17462#-0,05693506#0,5161478#2,813895#0,05449836#0,2601717#2,859927#0,07926281#0,1831911#2,839095#0,1438187#0,1282065#2,82464#0,01830004#0,1117462#2,838422#0,3467482#-0,2442111#2,866872#-0,219053#-0,2633091#2,929177#0,4729014#-0,5934851#2,783181#-0,3199287#-0,5744323#2,847066#0,4561096#-0,6735812#2,774642#-0,2479673#-0,6165426#2,797884#0  
frame62 #0,08692116#0,8627095#2,921429#0,05535085#0,6818869#2,906469# 0,3109338#0,08686803#2,895801#-0,1941235#0,1790593#2,860017#0,2737084#0,2668719#2,865691#-0,2015933#0,2058533#2,795866#0,2322091#0,5159674#2,947028#-0,1883558#0,4184825#2,658661#0,1878506#0,6571733#3,190122#-0,05501611#0,5221644#2,810527#0,05052736#0,2633826#2,863193#0,07611244#0,1849103#2,841187#0,1396883#0,1308732#2,827426#0,01597305#0,1142695#2,838494#0,3430858#-0,2410073#2,867989#-0,2227243#-0,2603208#2,926245#0,4665281#-0,5997097#2,779634#-0,3220567#-0,5719128#2,846692#0,5405275#-0,6417586#2,732292#-0,2480573#-0,6139616#2,79935#0  
frame63 #0,06645712#0,8326227#2,946936#0,04916574#0,6475854#2,912211# 0,2888069#0,1520333#2,861625#-0,1945801#0,1846115#2,866039#0,2650095#0,2627314#2,824018#-0,2020434#0,2113819#2,801944#0,232108#0,5005522#2,942322#-0,1896299#0,4196546#2,658082#0,1816655#0,6228716#3,195863#-0,05194065#0,5263553#2,809321#0,04633438#0,2574602#2,862949#0,07258698#0,1814014#2,840843#0,1349571#0,1291233#2,827482#0,01467562#0,1145529#2,837428#0,3421305#-0,2411013#2,868838#-0,22442#-0,258589#2,924488#0,4676325#-0,6005563#2,780396#-0,3228783#-0,5711744#2,846543#0,5431627#-0,6420799#2,735633#-0,2473481#-0,6126981#2,80178#0  
frame64 #0,06132713#0,8325655#2,965724#0,04925229#0,64675#2,913987# 0,2861609#0,1458726#2,864432#-0,1879655#0,1800282#2,859979#0,2609867#0,2714496#2,828718#-0,1954223#0,2067755#2,79594#0,2293807#0,5146109#2,935562#-0,1893872#0,4203376#2,658163#0,181752#0,6220362#3,19764#-0,04757961#0,5274311#2,807689#0,04571936#0,2554716#2,86334#0,07213622#0,1799848#2,840934#0,1341576#0,1286277#2,827862#0,01473326#0,1147426#2,836736#0,3423502#-0,2409532#2,869213#-0,2252658#-0,2573365#2,923425#0,4682928#-0,600842#2,780597#-0,3249959#-0,5687516#2,847075#0,4578092#-0,6822122#2,773059#-0,249026#-0,6101445#2,80337#0  
frame65 #0,06057161#0,8323566#2,967178#0,05008554#0,6459198#2,916272# 0,2868489#0,1458978#2,860922#-0,180571#0,174433#2,852679#0,2616316#0,2727857#2,826836#-0,1880215#0,2011579#2,788693#0,2304845#0,5152846#2,936736#-0,1853103#0,4207996#2,658965#0,1825853#0,6212061#3,199925#-0,04159982#0,5306506#2,807225#0,04505172#0,253909#2,863797#0,0714957#0,178653#2,841216#0,1326278#0,1281789#2,828228#0,01472382#0,1148166#2,836619#0,3444183#-0,2411171#2,869667#-0,2284031#-0,2593212#2,923312#0,4701783#-0,5947698#2,781084#-0,3265749#-0,5681138#2,84727#0,4589745#-0,6758565#2,773625#-0,2501366#-0,6093803#2,80478#0  
frame66 #0,06574962#0,8315281#2,972989#0,05687722#0,6441329#2,922484# 0,2872745#0,1573636#2,822664#-0,1650991#0,1735104#2,841193#0,2630883#0,2839324#2,801399#-0,1725377#0,2001926#2,77731#0,2363882#0,5132453#2,942094#-0,1717159#0,4297909#2,662619#0,189377#0,6194192#3,206136#-0,0200856#0,5391301#2,811551#0,04553848#0,2516372#2,863949#0,07168169#0,1764168#2,841247#0,1309367#0,1276593#2,827859#0,01562728#0,1151573#2,83614#0,3471414#-0,2414534#2,87061#-0,2270555#-0,2565318#2,922087#0,4664898#-0,60188#2,779095#-0,3288388#-0,5655573#2,847763#0,5440254#-0,6429753#2,73952#-0,2513032#-0,6066527#2,808188#0  
frame67 #0,07942571#0,8335741#2,980601#0,06720726#0,6457574#2,92651# 0,2955444#0,1325985#2,854952#-0,1647204#0,1731839#2,837651#0,2745471#0,2587003#2,828012#-0,1721476#0,1998252#2,773866#0,2560268#0,4954944#2,957198#-0,1645038#0,433015#2,664669#0,199707#0,6210437#3,210163#-0,01501369#0,5420943#2,812495#0,05013775#0,2518718#2,864739#0,07500631#0,1764953#2,841087#0,1324017#0,1279444#2,827832#0,021034#0,1186676#2,834039#0,3504266#-0,2426032#2,871148#-0,2255316#-0,2581342#2,920571#0,4668905#-0,6036125#2,779133#-0,3302844#-0,5650911#2,848327#0,543814#-0,6447043#2,739339#-0,2533609#-0,6061829#2,808533#0  
