frame1 #-0,1255881#0,8299007#3,159125#-0,04870236#0,6721513#3,207671# -0,1705317#0,2234811#2,886879#-0,7005532#0,5255077#3,091994#-0,08054438#0,2643378#2,899257#-0,6146923#0,4992215#3,135088#0,06224459#0,3701029#2,955774#-0,4516291#0,4650635#3,224414#0,0756937#0,5469517#3,088142#-0,2445602#0,5485849#3,273403#-0,01218488#0,2799293#3,21822#-0,02949304#0,2042079#3,18136#0,04564398#0,1288137#3,152657#-0,09847028#0,1295486#3,196904#0,2046608#-0,222213#3,146333#-0,3112198#-0,2620872#3,209159#0,4413319#-0,5767375#3,174679#-0,3813649#-0,5719982#3,189811#0,3918414#-0,6276867#3,092397#-0,4140806#-0,6604582#3,127841#0  
frame12 #-0,3562452#0,7594513#3,042277#-0,293112#0,5977477#3,124714# -0,2820126#0,1025638#2,816518#-0,8707376#0,3029587#2,924381#-0,2001019#0,1566519#2,844703#-0,7731493#0,2858192#3,032356#-0,08610182#0,3348385#2,956302#-0,5960757#0,3464158#3,196422#-0,1567162#0,5064704#3,06538#-0,4513148#0,4802333#3,21033#-0,2199111#0,2304751#3,199259#-0,2181265#0,1517384#3,190635#-0,1486816#0,08996988#3,165389#-0,2632661#0,06894035#3,232538#0,1315984#-0,2253766#3,18136#-0,3766413#-0,2556931#3,191062#0,3958123#-0,5693547#3,162879#-0,3827648#-0,5770055#3,191771#0,3580059#-0,6255707#3,085514#-0,4133214#-0,6572812#3,133578#0  
frame13 #-0,3620991#0,7659741#3,035755#-0,3018638#0,5996126#3,117143# -0,3114235#0,0963296#2,815393#-0,842614#0,2469073#2,89225#-0,2446917#0,1641409#2,851809#-0,7735254#0,2676227#3,019175#-0,09154893#0,3354394#2,953312#-0,6103528#0,3404358#3,186512#-0,163201#0,5075516#3,061025#-0,4691239#0,4843667#3,205268#-0,240281#0,2481001#3,197671#-0,2406048#0,1748631#3,193967#-0,1504128#0,1088841#3,170275#-0,3179638#0,09546188#3,240815#0,1285545#-0,2364279#3,18429#-0,3900349#-0,2510926#3,183829#0,3928628#-0,5810853#3,158982#-0,3823045#-0,5788708#3,190425#0,356641#-0,6378887#3,081658#-0,4201609#-0,6617191#3,127977#0  
frame14 #-0,3717779#0,7801108#3,029138#-0,311827#0,6044766#3,110657# -0,3061087#0,08181331#2,829652#-0,7889246#0,1795122#2,895915#-0,232865#0,1459841#2,857741#-0,7497343#0,247671#3,022627#-0,0931882#0,3302242#2,953826#-0,6147755#0,3415531#3,18741#-0,1697604#0,5110748#3,060432#-0,483139#0,4905678#3,197067#-0,2547025#0,2579857#3,195781#-0,252532#0,1841399#3,194646#-0,1622237#0,1261229#3,177315#-0,325146#0,09898107#3,238823#0,1138106#-0,2413159#3,188672#-0,3932545#-0,2466766#3,18362#0,258099#-0,5507132#3,190201#-0,3855215#-0,5784206#3,189428#0,3475005#-0,624631#3,16986#-0,4244995#-0,6624854#3,123497#0  
frame15 #-0,3739203#0,8525108#3,044339#-0,3521558#0,6579358#3,111183# -0,2298073#0,15516#2,985503#-0,4902914#0,1486697#2,976476#-0,1744334#0,2395091#2,99944#-0,5566473#0,2180029#3,01061#-0,06799989#0,3910912#3,124017#-0,6334832#0,3801147#3,091403#-0,1873292#0,5767097#3,121016#-0,520982#0,5444379#3,116518#-0,313228#0,2965865#3,177426#-0,3057355#0,2237806#3,178423#-0,2131779#0,1580248#3,186838#-0,3842144#0,1431905#3,183151#-0,05962851#-0,1930673#3,173073#-0,4516775#-0,2382184#3,111309#-0,1520075#-0,5737659#3,265785#-0,3551953#-0,5914942#3,192998#-0,1494357#-0,6283541#3,177678#-0,4064919#-0,6618518#3,124119#0  
frame16 #-0,3572655#0,8688918#3,066248#-0,3620945#0,6795198#3,123573# -0,2093978#0,255087#3,039402#-0,406609#0,1978768#2,932551#-0,1638388#0,2920962#3,087509#-0,4904397#0,2565355#2,941155#-0,07157267#0,4677473#3,243826#-0,599016#0,3957587#2,992737#-0,1889086#0,621372#3,189272#-0,5169418#0,5515315#3,097878#-0,3272474#0,319229#3,167665#-0,3167641#0,2471233#3,167145#-0,2315705#0,181612#3,191495#-0,3900839#0,1634454#3,153813#-0,2070875#-0,2534885#3,215146#-0,4386331#-0,2455228#3,099123#-0,3148712#-0,5472385#3,24217#-0,4644738#-0,6069595#3,17556#-0,3954869#-0,6280248#3,205279#-0,4076618#-0,6636136#3,113335#0  
frame17 #-0,3457096#0,903157#3,091161#-0,3585524#0,695528#3,127702# -0,1783437#0,3067639#3,050155#-0,4301296#0,2231556#2,907901#-0,1418338#0,3479907#3,101984#-0,4662271#0,2700308#2,918313#-0,08038311#0,4891151#3,29444#-0,5745194#0,4106561#2,963366#-0,1848269#0,6319448#3,208451#-0,5043285#0,5567773#3,087969#-0,3286792#0,3304886#3,167151#-0,3183437#0,2575302#3,167465#-0,2357256#0,1900245#3,199044#-0,3887538#0,1734352#3,145428#-0,2446117#-0,2534218#3,223331#-0,4316023#-0,2488172#3,089666#-0,3562919#-0,6252009#3,162372#-0,4970206#-0,6163645#3,168621#-0,4235945#-0,6634811#3,119675#-0,4161667#-0,6631429#3,120023#0  
frame18 #-0,3433848#0,9118743#3,107939#-0,3528186#0,7088653#3,138171# -0,2014635#0,354414#3,07524#-0,3135726#0,4199258#2,960406#-0,1651324#0,395439#3,126815#-0,3677524#0,421766#2,934923#-0,1154271#0,5121689#3,347986#-0,5302919#0,4272864#2,872246#-0,1826876#0,6472733#3,277461#-0,461567#0,5644313#3,066084#-0,3261749#0,3437715#3,17548#-0,3148189#0,2710884#3,178849#-0,2398946#0,2076618#3,232259#-0,3787845#0,1857917#3,142855#-0,3343063#-0,2369991#3,215328#-0,4204898#-0,2567982#3,090534#-0,3775638#-0,6254014#3,164576#-0,5233766#-0,6234167#3,15644#-0,4330671#-0,6724405#3,115226#-0,4216004#-0,6674211#3,113403#0  
frame19 #-0,3038374#0,90662#3,129267#-0,3466344#0,7164085#3,151708# -0,3029125#0,4692617#3,084382#-0,158513#0,4123131#3,137988#-0,2430335#0,5033536#3,114046#-0,2216059#0,4012656#3,088609#-0,1334036#0,4968202#3,344131#-0,4108847#0,3681231#2,954202#-0,1854121#0,656148#3,30728#-0,3610933#0,59048#3,064512#-0,3247412#0,340553#3,188447#-0,3134022#0,264657#3,195133#-0,2617814#0,1945225#3,270156#-0,3642316#0,1863551#3,143902#-0,3749489#-0,2698181#3,126438#-0,4830003#-0,2831424#3,206467#-0,3692657#-0,6127986#3,150003#-0,5432979#-0,6277216#3,159973#-0,3489577#-0,6690768#3,08487#-0,4669545#-0,6755611#3,107921#0  
frame20 #-0,2811805#0,9275021#3,127883#-0,3315382#0,7464129#3,138939# -0,4026909#0,504934#2,768066#-0,1465545#0,4122953#3,132655#-0,2268087#0,5457342#3,114539#-0,2121296#0,4138489#3,086569#-0,1423451#0,5281441#3,355555#-0,4088548#0,4185097#2,962049#-0,174249#0,6826434#3,296505#-0,4183583#0,6487942#3,066331#-0,3233902#0,3476645#3,185923#-0,3146134#0,2697054#3,192646#-0,259532#0,1942021#3,261676#-0,3687541#0,196819#3,141074#-0,330382#-0,2813497#3,119117#-0,4833093#-0,2808304#3,207913#-0,344632#-0,608735#3,141836#-0,5705286#-0,6207677#3,156899#-0,3431455#-0,6866508#3,099943#-0,506019#-0,6711504#3,092597#0  
frame21 #-0,2715071#0,9382712#3,134013#-0,3260407#0,7570123#3,138631# -0,4035918#0,5062101#2,721699#-0,1768872#0,5764214#3,112053#-0,2207047#0,5530317#3,116499#-0,2375297#0,5595422#3,061349#-0,1392884#0,5425591#3,358415#-0,4194574#0,5089048#2,922983#-0,1681254#0,6950881#3,295809#-0,421527#0,6515738#3,058431#-0,3224522#0,3497492#3,182458#-0,3151287#0,2704401#3,189286#-0,2530726#0,197991#3,220448#-0,3729829#0,2019214#3,144869#-0,330548#-0,2730529#3,13351#-0,4922184#-0,2725752#3,231327#-0,3240572#-0,60357#3,143916#-0,5751966#-0,6095276#3,15786#-0,2765402#-0,6543335#3,08904#-0,5107965#-0,660094#3,093398#0  
