frame1 #-0,1255881#0,8299007#3,159125#-0,04870236#0,6721513#3,207671# -0,1705317#0,2234811#2,886879#-0,7005532#0,5255077#3,091994#-0,08054438#0,2643378#2,899257#-0,6146923#0,4992215#3,135088#0,06224459#0,3701029#2,955774#-0,4516291#0,4650635#3,224414#0,0756937#0,5469517#3,088142#-0,2445602#0,5485849#3,273403#-0,01218488#0,2799293#3,21822#-0,02949304#0,2042079#3,18136#0,04564398#0,1288137#3,152657#-0,09847028#0,1295486#3,196904#0,2046608#-0,222213#3,146333#-0,3112198#-0,2620872#3,209159#0,4413319#-0,5767375#3,174679#-0,3813649#-0,5719982#3,189811#0,3918414#-0,6276867#3,092397#-0,4140806#-0,6604582#3,127841#0  
frame32 #0,1380533#0,785651#3,267419#0,1561462#0,6072764#3,24088# 0,4064743#0,9792589#3,088856#-0,1735262#0,1949918#3,505353#0,4378284#0,882874#3,085547#-0,1501294#0,2500202#3,424255#0,3970824#0,6642733#3,003698#-0,09194743#0,3502717#3,301649#0,2638053#0,5334654#3,184334#0,008826452#0,5042139#3,176214#0,1707428#0,2237621#3,165692#0,1765451#0,1506696#3,133421#0,2270068#0,1073603#3,127027#0,1207559#0,09071876#3,110474#0,4699885#-0,2363856#3,236689#-0,1376065#-0,2662179#3,197733#0,5010611#-0,5517309#3,200614#-0,3317753#-0,5758716#3,157206#0,5561612#-0,6450064#3,223068#-0,3506373#-0,6537336#3,123193#0  
frame33 #0,1569803#0,790077#3,277589#0,1605439#0,6108724#3,245691# 0,5469012#0,2735393#3,4286#-0,1686725#0,04786627#3,415682#0,518503#0,3042232#3,386024#-0,1463806#0,1158158#3,357892#0,433308#0,396275#3,271912#-0,07547452#0,3021497#3,245956#0,268996#0,5325685#3,184254#0,01883593#0,5001463#3,169915#0,1816758#0,2223359#3,169893#0,1874889#0,1501315#3,133643#0,2616387#0,1002909#3,131172#0,1283196#0,08959705#3,107829#0,4731839#-0,2354967#3,238317#-0,1298353#-0,2684547#3,190021#0,5140448#-0,5465232#3,192166#-0,3267373#-0,5781186#3,154154#0,5662259#-0,6401249#3,214638#-0,3461723#-0,6558865#3,120739#0  
frame34 #0,1572711#0,7898466#3,279984#0,1654272#0,6113092#3,25082# 0,5512577#0,1974854#3,343434#-0,1449065#0,03817234#3,342#0,5231562#0,2453291#3,319859#-0,1241343#0,09015119#3,293535#0,4388517#0,3888603#3,262718#-0,07231924#0,2927229#3,185516#0,2747303#0,5317692#3,183793#0,03892599#0,5015221#3,161835#0,1860949#0,2199844#3,172945#0,1924501#0,1488845#3,133253#0,2621415#0,1000623#3,131006#0,1350356#0,08928309#3,105722#0,4744322#-0,235161#3,238484#-0,1274792#-0,2689702#3,185686#0,5213392#-0,5451676#3,18919#-0,3211262#-0,5783037#3,148239#0,5271824#-0,5929144#3,09935#-0,315283#-0,6260505#3,058398#0  
frame35 #0,1612864#0,7882773#3,284431#0,1692821#0,6100843#3,254982# 0,5346835#0,07661945#3,403652#-0,1348194#0,03762332#3,264369#0,5171452#0,1407125#3,357946#-0,1141513#0,08934171#3,216146#0,4645301#0,3329917#3,234416#-0,06419918#0,2881891#3,146685#0,3200168#0,5106745#3,183077#0,04643919#0,5028402#3,158358#0,1860893#0,2189823#3,175601#0,1928562#0,1489862#3,133236#0,2623717#0,09879316#3,130854#0,1350688#0,08964027#3,104797#0,4760316#-0,2351821#3,238307#-0,1261241#-0,2668382#3,181985#0,5306752#-0,5442436#3,189065#-0,3167938#-0,5795383#3,145552#0,5389067#-0,5920294#3,099822#-0,3085623#-0,6273242#3,056309#0  
frame36 #0,1644787#0,7867947#3,288985#0,1704389#0,609262#3,259786# 0,4738618#0,102924#3,16244#-0,08403258#0,1086943#3,092225#0,4715045#0,1610915#3,147128#-0,06342116#0,1602709#3,044134#0,4644324#0,3355941#3,114794#-0,05409458#0,3289738#2,99399#0,3033781#0,5054434#3,174614#0,0561907#0,4955101#3,139361#0,1859199#0,2097837#3,181145#0,1942393#0,1390987#3,133568#0,2614371#0,09010526#3,131267#0,1348282#0,08214979#3,104102#0,4797356#-0,2452921#3,237357#-0,1325139#-0,2678093#3,181657#0,5361481#-0,5599276#3,173978#-0,3149562#-0,5766174#3,146438#0,5488322#-0,6074646#3,085812#-0,3022721#-0,6241543#3,058272#0  
frame37 #0,1463654#0,7750244#3,289881#0,1536203#0,5990092#3,259611# 0,2818688#0,3910612#2,800243#-0,05456539#0,09944876#2,998888#0,2780767#0,3375702#2,84936#-0,05528927#0,1586325#2,985187#0,4012065#0,3854623#2,988562#-0,05746093#0,3361839#2,957729#0,2428337#0,5224066#3,141791#0,05748299#0,5151904#3,109215#0,1549734#0,1931279#3,173063#0,1616881#0,126148#3,11633#0,2035331#0,0833414#3,111601#0,1196439#0,08363082#3,092564#0,44147#-0,2229405#3,215102#-0,1517351#-0,2656503#3,191485#0,5359419#-0,5586099#3,171104#-0,3211046#-0,5739366#3,149461#0,5074997#-0,6465303#3,146853#-0,3056454#-0,6217096#3,063094#0  
frame38 #0,1383088#0,7762089#3,288301#0,1456849#0,6005366#3,257964# 0,3340294#0,2130761#2,979553#-0,07251982#0,1190642#3,020389#0,3487675#0,2710643#2,9686#-0,06435149#0,1869621#2,993214#0,3929818#0,4450289#2,949396#-0,07664108#0,4044544#2,92576#0,237978#0,5232536#3,13559#0,0576882#0,5157881#3,108414#0,1493601#0,1918639#3,170116#0,155832#0,1250512#3,111777#0,1986893#0,08428239#3,107338#0,1145578#0,08457509#3,089547#0,4409837#-0,2234471#3,215049#-0,1577553#-0,2655175#3,193133#0,5302223#-0,5654374#3,165688#-0,3217138#-0,5720316#3,149035#0,5017401#-0,6481975#3,140199#-0,3086324#-0,6199182#3,062633#0  
frame39 #0,138112#0,7754101#3,287986#0,1418264#0,5998383#3,254891# 0,3710978#0,2201982#2,927345#-0,07529877#0,1168816#3,023079#0,3727939#0,2805579#2,934858#-0,06713045#0,1847795#2,995904#0,3778822#0,4616369#2,971065#-0,08537781#0,3889331#2,933904#0,2364011#0,5234805#3,13148#0,05099568#0,5166857#3,10722#0,1436829#0,1958186#3,167581#0,1490091#0,1310708#3,108025#0,192346#0,08995664#3,101129#0,1067917#0,09061339#3,0872#0,4410513#-0,2244318#3,214984#-0,1637833#-0,2642777#3,193045#0,5262041#-0,5642691#3,162742#-0,3215809#-0,5717023#3,148437#0,5010977#-0,6494216#3,137816#-0,3101979#-0,6197175#3,062117#0  
frame40 #0,1359425#0,7785411#3,281687#0,1368495#0,6036921#3,251113# 0,3654601#0,2186957#2,935385#-0,09712867#0,2039874#2,981822#0,3697225#0,2792479#2,940144#-0,1094899#0,2269329#2,967983#0,3825097#0,4609047#2,968108#-0,1066447#0,405719#2,944335#0,2346087#0,5202278#3,120829#0,04982904#0,5175024#3,107244#0,1364352#0,1992497#3,164987#0,1391401#0,1355011#3,103284#0,1816575#0,09427762#3,096063#0,09653655#0,09620658#3,08242#0,4317844#-0,2227151#3,210539#-0,1676129#-0,2627416#3,192124#0,5230231#-0,5637873#3,161083#-0,3230942#-0,5713743#3,147371#0,5298283#-0,6117563#3,074781#-0,3162889#-0,6193433#3,061069#0  
frame41 #0,1338223#0,8013077#3,271629#0,1303012#0,626524#3,240923# 0,3562221#0,2208967#2,924701#-0,0896554#0,1214372#3,03781#0,3631689#0,2808825#2,932902#-0,1011448#0,1991692#3,012531#0,3840093#0,46084#2,971211#-0,1206651#0,3848777#2,942348#0,2321611#0,5200367#3,109665#0,04042117#0,5198176#3,099726#0,1297024#0,2084172#3,165113#0,1318486#0,1425175#3,102447#0,1777257#0,09841786#3,09423#0,08509053#0,1019697#3,083279#0,4180602#-0,2214948#3,196563#-0,1705185#-0,2597287#3,190217#0,5252351#-0,5650157#3,158451#-0,3296607#-0,5755643#3,143838#0,5304506#-0,611825#3,071985#-0,3244451#-0,6223736#3,057372#0  
frame42 #0,1330419#0,8005626#3,269948#0,1292202#0,6261532#3,239677# 0,3703486#0,2040052#2,88208#-0,08452495#0,1421389#2,977062#0,371006#0,2609732#2,903549#-0,08767138#0,2073903#2,949138#0,3729779#0,4318771#2,981637#-0,1179792#0,3862524#2,941597#0,2444289#0,5196365#3,104058#0,03091863#0,5185839#3,090908#0,1281058#0,2112884#3,164643#0,1307869#0,1459197#3,101691#0,1783807#0,09914055#3,093142#0,08268678#0,103111#3,082372#0,4170028#-0,2210545#3,195429#-0,1709635#-0,2590521#3,189201#0,5234499#-0,5663226#3,154836#-0,3299325#-0,5763242#3,143921#0,5294305#-0,6130157#3,068693#-0,3239519#-0,6230172#3,057777#0  
frame43 #0,1340811#0,8069038#3,26901#0,1296906#0,6322227#3,239222# 0,2585376#0,2020895#2,866335#-0,08353236#0,1302922#3,027323#0,2903128#0,2493941#2,887987#-0,08666934#0,1953476#2,999482#0,3856384#0,3913079#2,966633#-0,1174803#0,386981#2,940848#0,2255859#0,5329416#3,102638#0,03045912#0,5189498#3,090365#0,1283363#0,2125993#3,164507#0,1302353#0,1464828#3,101056#0,1770865#0,1014054#3,091091#0,08228065#0,1041562#3,08255#0,4172737#-0,2218097#3,194361#-0,1717082#-0,258099#3,188737#0,5231916#-0,5662375#3,153846#-0,3305342#-0,5763168#3,143534#0,5273742#-0,6127398#3,067811#-0,3263516#-0,6228191#3,057499#0  
frame44 #0,1277509#0,8139066#3,268935#0,1226222#0,6385639#3,238117# 0,2549601#0,206917#2,858205#-0,08645777#0,1123248#3,044759#0,2875334#0,253107#2,881487#-0,08684103#0,1905209#3,002709#0,3852531#0,3916771#2,965051#-0,1178089#0,3900807#2,93441#0,2238833#0,5352787#3,100709#0,02858089#0,5206792#3,086365#0,1255719#0,2148343#3,16399#0,1285966#0,1478709#3,099665#0,1753592#0,1037823#3,089194#0,08092947#0,1056571#3,081886#0,4179974#-0,2241746#3,192744#-0,1720383#-0,2566687#3,187957#0,5222024#-0,5672958#3,15209#-0,3301804#-0,5763485#3,143974#0,5272452#-0,6134895#3,066513#-0,3251375#-0,6225423#3,058397#0  
frame45 #0,1275287#0,8125504#3,268751#0,1224269#0,636897#3,237612# 0,2610494#0,1947346#2,875848#-0,08647831#0,1131833#3,043504#0,2918873#0,24423#2,894421#-0,08686157#0,1913793#3,001454#0,3844011#0,3927162#2,963871#-0,1175327#0,3896873#2,934165#0,2210508#0,5359454#3,099867#0,02432149#0,5235946#3,083954#0,124594#0,2147947#3,163363#0,1280394#0,1482256#3,098395#0,1744926#0,1045149#3,087485#0,08084455#0,1060188#3,081138#0,4194351#-0,2255762#3,192508#-0,1724983#-0,2560816#3,187906#0,5224749#-0,5672935#3,151244#-0,3305602#-0,5761038#3,143864#0,5284945#-0,6134201#3,065999#-0,3245406#-0,6222304#3,058619#0  
frame46 #0,1260739#0,813009#3,264864#0,1206238#0,6365493#3,234607# 0,2420805#0,1996022#2,858939#-0,08793785#0,1162311#3,038084#0,2764073#0,2457823#2,8805#-0,08832111#0,1944271#2,996034#0,3793877#0,3843227#2,958959#-0,1172155#0,3872083#2,931563#0,2161705#0,5371368#3,096505#0,02062581#0,5295364#3,082139#0,1219217#0,2154666#3,161172#0,1254308#0,1491353#3,095148#0,1713986#0,1062111#3,084604#0,07928799#0,1070909#3,078418#0,4185459#-0,2269553#3,189095#-0,1741737#-0,255799#3,187527#0,5218931#-0,5681209#3,150002#-0,3315289#-0,576426#3,144124#0,5278698#-0,6139287#3,065428#-0,3255522#-0,6222337#3,059551#0  
frame47 #0,1256782#0,8167567#3,262554#0,1199682#0,6400611#3,232937# 0,2434323#0,1879059#2,904548#-0,08822599#0,1165832#3,038168#0,2778138#0,2381919#2,913266#-0,08860924#0,1947792#2,996118#0,3809584#0,3890499#2,95321#-0,1168498#0,386777#2,930808#0,2158354#0,5369331#3,09538#0,02133705#0,5316228#3,082141#0,1214195#0,216177#3,160688#0,1249233#0,1493712#3,094433#0,1709772#0,1066594#3,084016#0,07885712#0,107485#3,077955#0,4188599#-0,2268105#3,188676#-0,1743777#-0,2557756#3,187543#0,5221103#-0,5691237#3,150272#-0,3314811#-0,5764289#3,144175#0,5279236#-0,6147125#3,065847#-0,3256678#-0,6220176#3,05975#0  
frame48 #0,125357#0,8180776#3,256659#0,1202145#0,6413078#3,230214# 0,2905236#0,1380882#3,060476#-0,07991012#0,1336487#2,979631#0,3131698#0,2009756#3,029958#-0,08524469#0,2186803#2,937927#0,3811084#0,3896378#2,95221#-0,1208057#0,3975427#2,921577#0,2163657#0,5366833#3,094145#0,02305405#0,532645#3,081605#0,1206698#0,2166298#3,160255#0,1239967#0,149466#3,093864#0,1697097#0,1065656#3,083597#0,07812946#0,10816#3,077639#0,4181866#-0,2276325#3,187473#-0,1749272#-0,2555407#3,187704#0,5212851#-0,5703219#3,149287#-0,3314994#-0,5768263#3,143854#0,5269856#-0,6156755#3,064981#-0,3257989#-0,6221799#3,059548#0  
frame49 #0,1258879#0,8236942#3,253295#0,1212308#0,6467159#3,227778# 0,2930158#0,1430254#3,051771#-0,0829111#0,1340936#3,000948#0,3145933#0,204704#3,023225#-0,09055109#0,2191205#2,959763#0,3793258#0,38974#2,951403#-0,1179692#0,3950311#2,923067#0,2164283#0,5373353#3,092833#0,02449474#0,5337036#3,081069#0,1206563#0,217484#3,160388#0,1238792#0,1496021#3,093841#0,169574#0,1068213#3,083688#0,07794389#0,1085855#3,077731#0,4175712#-0,2276412#3,185819#-0,1749773#-0,2551549#3,187537#0,5207038#-0,5698259#3,14879#-0,3301361#-0,5754123#3,143844#0,5261372#-0,6148859#3,064558#-0,3247028#-0,6204722#3,059612#0  
