frame1 #-0,2328849#0,789155#3,095864#-0,1558838#0,6215068#3,138545# -0,2952938#0,1893403#2,812912#-0,7118362#0,4007621#3,009124#-0,2059916#0,2239625#2,819698#-0,6478305#0,4229145#3,030322#-0,07194343#0,3204381#2,895457#-0,4867966#0,3994275#3,154223#-0,01823818#0,5149204#3,038157#-0,3339849#0,497328#3,201287#-0,1024745#0,2574985#3,148223#-0,1004244#0,1842045#3,136818#-0,01969712#0,1118011#3,104584#-0,1617831#0,1038845#3,163563#0,1630718#-0,2426224#3,098765#-0,3607722#-0,2450314#3,155644#0,4223196#-0,5921718#3,154072#-0,4251781#-0,5812694#3,094216#0,3032145#-0,60311#3,144072#-0,4679019#-0,6325594#3,013987#0  
frame2 #-0,2436172#0,7902109#3,094469#-0,1702398#0,6230959#3,137055# -0,3118408#0,1926679#2,846933#-0,7469562#0,4465587#2,972483#-0,2170646#0,2062258#2,849821#-0,6704837#0,4172015#3,02213#-0,07211255#0,3200504#2,895976#-0,4972926#0,3959352#3,147454#-0,02781215#0,5133198#3,039076#-0,337037#0,4952675#3,202477#-0,1074816#0,2558378#3,148158#-0,1043762#0,1819371#3,137197#-0,02367866#0,1104013#3,104745#-0,1637658#0,102425#3,164453#0,162265#-0,2428186#3,09862#-0,3608423#-0,244828#3,157274#0,4221766#-0,5903454#3,152335#-0,4254829#-0,5804414#3,094169#0,3850788#-0,6347485#3,08407#-0,4625807#-0,6248445#3,025904#0  
frame3 #-0,2622369#0,7845601#3,085112#-0,1924897#0,6167902#3,129357# -0,3165191#0,1764991#2,836167#-0,8050675#0,4603216#2,936816#-0,2243138#0,1979425#2,84735#-0,699685#0,4063531#3,004765#-0,07218482#0,3179081#2,900554#-0,5008451#0,3925934#3,146905#-0,06586219#0,5051059#3,036429#-0,3471415#0,4916895#3,201657#-0,1166095#0,2517851#3,14579#-0,1113283#0,17767#3,136831#-0,03223251#0,107754#3,104524#-0,165998#0,101115#3,165088#0,1594633#-0,2417504#3,097356#-0,3623723#-0,2455283#3,158185#0,4222134#-0,5907124#3,15281#-0,4247485#-0,581162#3,094092#0,3841557#-0,6342666#3,089683#-0,4628062#-0,6247162#3,030965#0  
frame4 #-0,2995021#0,7739925#3,061823#-0,2191189#0,6129418#3,114474# -0,3147283#0,1671592#2,835734#-0,8378694#0,4346015#2,90895#-0,2239401#0,1958125#2,847307#-0,7135341#0,391708#2,99952#-0,07890107#0,3160602#2,906177#-0,5225407#0,3675439#3,149895#-0,07762042#0,5026386#3,034626#-0,3722222#0,4864799#3,198889#-0,134211#0,2435207#3,142122#-0,1257016#0,1681918#3,136505#-0,04508368#0,100075#3,106023#-0,1770124#0,09364122#3,16715#0,1572087#-0,2481237#3,096152#-0,3754035#-0,2570591#3,161033#0,4223093#-0,5909417#3,153397#-0,4263373#-0,583689#3,095389#0,3869585#-0,6348158#3,091153#-0,4616881#-0,6275631#3,033146#0  
frame5 #-0,3148053#0,7726731#3,054758#-0,2436859#0,6053582#3,11411# -0,3116201#0,1553854#2,837641#-0,8475202#0,4149441#2,905227#-0,2209725#0,1847181#2,848942#-0,7188751#0,350587#3,002881#-0,08323589#0,3170621#2,907813#-0,5271334#0,3627422#3,147477#-0,1064758#0,4953257#3,035693#-0,3967414#0,4765179#3,196517#-0,1539666#0,2396327#3,140859#-0,1427788#0,1648378#3,136915#-0,06141891#0,09832613#3,107989#-0,1923048#0,0904183#3,167539#0,1516817#-0,251314#3,096621#-0,3796389#-0,2605444#3,163842#0,4223827#-0,5909009#3,15309#-0,4276924#-0,5861032#3,096648#0,3876994#-0,634739#3,091373#-0,4623757#-0,6299413#3,034932#0  
frame6 #-0,3477256#0,7620528#3,038621#-0,2664561#0,6016104#3,103435# -0,3341668#0,1186808#2,834212#-0,8662767#0,3724399#2,874575#-0,2468938#0,1546835#2,845495#-0,7406737#0,3315829#2,986979#-0,1326284#0,2763702#2,907199#-0,5533623#0,34856#3,141727#-0,1301358#0,4915442#3,028964#-0,415709#0,4747248#3,187559#-0,1830224#0,2387632#3,140105#-0,1731772#0,1643941#3,139914#-0,09546348#0,09851309#3,11392#-0,2229296#0,09108061#3,173553#0,1447722#-0,2522047#3,098871#-0,3909787#-0,2609529#3,166361#0,4217359#-0,5853193#3,148685#-0,4269106#-0,5868039#3,103328#0,3868047#-0,6303582#3,086587#-0,4751269#-0,6632754#3,068352#0  
frame7 #-0,3650584#0,7578373#3,028258#-0,2975711#0,5969206#3,095538# -0,3286798#0,1089014#2,837161#-0,8793426#0,3439563#2,873365#-0,2449683#0,150994#2,847903#-0,7406616#0,2963519#2,991292#-0,1341436#0,2769674#2,908292#-0,5682331#0,3443067#3,144495#-0,163462#0,4937828#3,023058#-0,4473993#0,4716986#3,185168#-0,2137955#0,2356886#3,143632#-0,2026957#0,1614054#3,146728#-0,1246525#0,09819633#3,125441#-0,2518207#0,08841126#3,179729#0,1284732#-0,2498964#3,107488#-0,3999578#-0,2635928#3,172115#0,4186142#-0,5807612#3,146545#-0,4260611#-0,5892832#3,106035#0,3829826#-0,6277187#3,084245#-0,4849145#-0,6675016#3,093941#0  
frame8 #-0,3986405#0,7726288#3,004982#-0,3251409#0,5975518#3,09148# -0,3122539#0,1162522#2,848917#-0,8847756#0,2884276#2,852617#-0,2310509#0,1628039#2,856661#-0,7878611#0,2731077#2,95578#-0,1338683#0,3074638#2,934434#-0,6190315#0,3264072#3,119085#-0,1870801#0,4959797#3,024363#-0,4853883#0,4763122#3,18429#-0,2343839#0,2235915#3,142739#-0,2218612#0,1466025#3,147325#-0,1408241#0,08063624#3,122593#-0,2730611#0,06982466#3,185509#0,1232444#-0,2501689#3,112894#-0,4121427#-0,2592399#3,173787#0,4162139#-0,5809966#3,13776#-0,4304431#-0,5858265#3,111261#0,4429065#-0,6420314#3,107742#-0,4837338#-0,6676326#3,095759#0  
frame9 #-0,4292416#0,7588472#2,979958#-0,3482563#0,6015279#3,085731# -0,3570049#0,07793063#2,853961#-0,881603#0,2325764#2,852874#-0,2756636#0,1214475#2,87342#-0,784048#0,2484049#2,955665#-0,1402746#0,3058981#2,94244#-0,6230007#0,3256662#3,123034#-0,2043308#0,5018657#3,022547#-0,5010794#0,4737511#3,17771#-0,2408223#0,2201207#3,141862#-0,2257393#0,1425271#3,147774#-0,1425056#0,07846056#3,123659#-0,275686#0,06552443#3,185691#0,1142471#-0,2511822#3,120996#-0,4264565#-0,2518561#3,176305#0,4080478#-0,583822#3,131107#-0,4315964#-0,5836428#3,112911#0,4351063#-0,6461188#3,103673#-0,4838102#-0,6664386#3,097412#0  
frame10 #-0,4315814#0,7618053#2,976443#-0,360698#0,6077137#3,077178# -0,3571424#0,06923542#2,854625#-0,8809723#0,1867775#2,857388#-0,2782631#0,1170909#2,874888#-0,7826456#0,2241124#2,965498#-0,1469689#0,303095#2,948553#-0,6279077#0,3255484#3,125139#-0,2233216#0,5082098#3,020274#-0,5253755#0,4810676#3,156048#-0,2666063#0,2375131#3,127826#-0,2505839#0,1616534#3,134401#-0,1805335#0,1180188#3,11631#-0,2901222#0,07415102#3,168528#0,09600402#-0,2447899#3,127892#-0,4442651#-0,2586071#3,169824#0,334785#-0,5879581#3,129295#-0,4372765#-0,5872713#3,111649#0,3759742#-0,6381415#3,095405#-0,4874556#-0,6717111#3,098633#0  
frame11 #-0,4377418#0,7752004#2,971897#-0,3799312#0,6136754#3,073476# -0,3556626#0,06295188#2,865555#-0,8669425#0,1342636#2,854552#-0,2817604#0,1134629#2,895338#-0,7828787#0,1927241#2,965388#-0,1604552#0,3081556#2,966687#-0,6439815#0,3164454#3,125574#-0,2396588#0,5208473#3,022989#-0,5372472#0,4853698#3,141052#-0,2941456#0,2407573#3,135852#-0,280562#0,1645994#3,145808#-0,2069898#0,1138016#3,133827#-0,3260145#0,08164375#3,176571#0,07452627#-0,2451126#3,128177#-0,4501427#-0,256136#3,168858#0,2729781#-0,5812412#3,148331#-0,4336439#-0,5961606#3,109901#0,3123272#-0,6371802#3,123384#-0,4797497#-0,6760036#3,082661#0  
frame12 #-0,4491784#0,7838918#2,966089#-0,3968978#0,625814#3,065939# -0,3267631#0,07231098#2,897136#-0,8396715#0,09654731#2,88148#-0,2633903#0,1296992#2,937225#-0,7861207#0,1510419#2,974076#-0,1677971#0,3358977#2,984845#-0,6620408#0,3047221#3,120038#-0,2475758#0,5302937#3,023362#-0,5597643#0,5005956#3,125899#-0,3540026#0,269531#3,141593#-0,3456477#0,1956882#3,154445#-0,2510671#0,1405149#3,146184#-0,4208692#0,1099996#3,187781#0,01975957#-0,2393335#3,123186#-0,4536339#-0,2523183#3,167436#0,2078525#-0,5770901#3,160204#-0,4337242#-0,5960796#3,108848#0,1866565#-0,6244112#3,093025#-0,4847565#-0,6773568#3,091129#0  
frame13 #-0,4643047#0,8218275#2,960997#-0,4085975#0,6416106#3,062429# -0,310605#0,09386747#2,915465#-0,798265#0,08240765#2,924207#-0,2526045#0,1615778#2,946544#-0,7740647#0,1456372#2,990017#-0,1694222#0,3456422#3,00314#-0,6630508#0,3092362#3,122994#-0,2636237#0,5518709#3,025416#-0,5774465#0,5303824#3,111458#-0,3615322#0,2837629#3,135068#-0,3535284#0,2116557#3,147058#-0,2605682#0,1564865#3,139954#-0,428192#0,1278746#3,176801#-0,03589748#-0,2163085#3,111012#-0,460296#-0,2426201#3,165369#0,1239905#-0,5685962#3,193583#-0,4291709#-0,600122#3,10927#0,1058468#-0,6155918#3,12537#-0,4848059#-0,677681#3,08929#0  
frame14 #-0,4632011#0,8291527#2,957265#-0,4267269#0,6593146#3,064941# -0,3643818#0,02870886#2,918365#-0,7668896#0,05918828#2,934726#-0,2763113#0,1375106#2,952832#-0,7410417#0,1240678#3,001304#-0,1741946#0,3509815#3,02018#-0,669973#0,3249185#3,131163#-0,2682819#0,5685779#3,03067#-0,5843984#0,5358601#3,104269#-0,3731464#0,3005808#3,127341#-0,3638121#0,2283961#3,137905#-0,2685359#0,1697696#3,134557#-0,438051#0,1440347#3,160465#-0,06459297#-0,2449048#3,112655#-0,4699348#-0,2372378#3,158467#0,0249638#-0,5803567#3,259724#-0,4305109#-0,598138#3,106354#0,08825297#-0,6373385#3,252421#-0,4855551#-0,6776426#3,088621#0  
frame15 #-0,4670084#0,8411872#2,955484#-0,4315041#0,6677864#3,059423# -0,3172267#0,09208687#2,945676#-0,7322701#0,03752224#2,953003#-0,2630276#0,1657525#2,976468#-0,7332849#0,120005#3,003082#-0,1805576#0,3647199#3,038145#-0,670759#0,3274591#3,13117#-0,2752937#0,5837502#3,037281#-0,5946658#0,5455933#3,095727#-0,3829327#0,3129792#3,119585#-0,3741378#0,2413604#3,130188#-0,2803903#0,1833224#3,129472#-0,4484735#0,1560055#3,150144#-0,1235224#-0,223495#3,103508#-0,4759532#-0,2349006#3,155477#-0,09381584#-0,5797882#3,2879#-0,433116#-0,594923#3,099504#-0,05671792#-0,6402892#3,304397#-0,4870559#-0,6765729#3,089437#0  
