frame1 #-0,04460116#0,9146225#3,443035#-0,007065361#0,7183432#3,47245# 0,1211072#0,2575829#3,353522#-0,03190199#0,4571324#3,31615#0,2141162#0,2340625#3,355123#-0,05642742#0,5061882#3,361113#0,2671828#0,4114439#3,426734#-0,2312228#0,4235725#3,392893#0,1343302#0,6055626#3,395272#-0,1701334#0,5941406#3,534067#-0,008275682#0,385242#3,482841#-0,0248385#0,3222855#3,452547#0,04025865#0,2489302#3,41287#-0,09674996#0,2437903#3,479686#-0,01028992#-0,2485292#3,193489#0,003608338#-0,2048791#3,225662#0,006424999#-0,6070309#3,109851#0,01340858#-0,5857378#3,124134#-0,03671316#-0,6728965#3,057237#-0,05722138#-0,6877511#3,092208#1  
frame32 #-0,1233348#0,8903508#3,92965#-0,04928352#0,711615#3,851471# 0,06042852#0,3956167#3,358838#-0,1402954#0,6754845#3,842649#0,06765602#0,3951593#3,382988#-0,1902085#0,6734511#3,888034#0,1208586#0,4039747#3,595053#-0,3399478#0,6673508#4,037896#0,0318853#0,6275333#3,692883#-0,1606857#0,6519514#4,020024#-0,01259416#0,3306144#3,775701#-0,05017596#0,2607165#3,737234#-0,007009821#0,2178672#3,726039#-0,09943171#0,2141534#3,728096#-0,2076058#-0,251#3,703327#-0,05910428#-0,2254189#3,87099#-0,07697468#-0,5675347#3,763694#0,1508833#-0,5134264#3,554832#-0,1866589#-0,6030748#3,788725#0,06211999#-0,5417641#3,627208#1  
frame33 #-0,1238865#0,8915293#3,931238#-0,05416974#0,7215363#3,856431# 0,06559667#0,4420431#3,434934#-0,1453641#0,6854215#3,847651#0,02060913#0,2718894#3,384038#-0,1950947#0,6833724#3,892991#0,105474#0,4142501#3,573023#-0,3442864#0,677225#4,042717#0,0157688#0,623521#3,70337#-0,165572#0,6618727#4,024983#-0,01759754#0,3294113#3,780037#-0,05573876#0,257686#3,742707#-0,009615175#0,2171958#3,725224#-0,1062903#0,2089589#3,745782#-0,2121477#-0,2543396#3,71079#-0,08587278#-0,2342151#3,870624#-0,1321151#-0,5785257#3,797299#0,09073579#-0,513588#3,558953#-0,211983#-0,6083567#3,816524#-0,001406863#-0,5371017#3,629227#1  
frame34 #-0,1565221#0,9350344#3,940389#-0,06829844#0,7730992#3,873593# -0,03877809#0,2995214#3,318717#-0,1592899#0,736967#3,864698#-0,009699076#0,3451303#3,376232#-0,2092234#0,7349353#3,910089#0,07753797#0,481957#3,562504#-0,3590239#0,7288403#4,059989#-0,01613961#0,6318702#3,716733#-0,1797007#0,7134356#4,042146#-0,02915331#0,3340582#3,784502#-0,06774898#0,2574022#3,747275#-0,02334809#0,2204603#3,732889#-0,1149408#0,211227#3,745225#-0,2227521#-0,2360039#3,711619#-0,08384889#-0,2621099#3,896266#-0,2547556#-0,5692618#3,796857#0,007245511#-0,5260513#3,56757#-0,327038#-0,6072468#3,828485#-0,08018166#-0,5494688#3,644015#1  
frame35 #-0,1481807#0,9310515#3,939944#-0,08891712#0,7541492#3,883951# -0,04658391#0,2931611#3,313681#-0,1801022#0,7180335#3,875057#-0,0175049#0,33877#3,371195#-0,2298421#0,7159852#3,920399#0,06973214#0,4755968#3,557483#-0,3790618#0,7098404#4,070171#-0,05846592#0,6234014#3,739521#-0,2003193#0,6944856#4,052504#-0,04842212#0,3245457#3,79128#-0,08726618#0,2458318#3,754444#-0,04007174#0,2193505#3,739394#-0,1319441#0,199152#3,749601#-0,2293138#-0,2322351#3,714292#-0,08654412#-0,2407611#3,916444#-0,3247081#-0,5717467#3,842181#-0,06702381#-0,544347#3,601877#-0,4206374#-0,6177933#3,874321#-0,1563177#-0,5635239#3,677666#1  
frame36 #-0,1537138#0,9346053#3,951898#-0,1017874#0,7554531#3,887066# -0,06889606#0,2731733#3,271901#-0,001702335#0,7883997#3,662524#-0,04258271#0,3225625#3,333717#-0,03800652#0,7849921#3,712233#0,03635733#0,4707303#3,532902#-0,1469191#0,7747693#3,875103#-0,07247476#0,6194888#3,729103#-0,2131896#0,6957895#4,055619#-0,04558579#0,3314942#3,797419#-0,08126169#0,2522274#3,763673#-0,03580424#0,2257888#3,747845#-0,1212154#0,207183#3,761573#-0,249949#-0,2219227#3,71688#-0,09108291#-0,2590618#3,930396#-0,04020602#-0,5175657#3,880224#-0,3535762#-0,5650536#3,881354#-0,02552356#-0,603907#3,891011#-0,4674425#-0,5943352#3,860611#1  
frame37 #-0,1873493#0,9493909#3,962359#-0,1178745#0,7763453#3,890594# -0,1248786#0,3199694#3,305048#-0,01095611#0,8055069#3,666981#-0,09290011#0,3634271#3,359284#-0,04674872#0,8013114#3,716786#0,003035478#0,4938001#3,535735#-0,1541266#0,788725#3,879941#-0,1066235#0,575159#3,686678#-0,2292768#0,7166817#4,059147#-0,05861769#0,3468354#3,808067#-0,09516656#0,2631695#3,77818#-0,05501498#0,2121121#3,770783#-0,1370192#0,2352387#3,771687#-0,06153546#-0,1950703#3,911878#-0,09319939#-0,2353907#3,931645#-0,05126452#-0,5458655#3,910644#-0,4621587#-0,5341431#3,869007#-0,01400302#-0,6235043#3,890634#-0,5508547#-0,5811133#3,8417#1  
frame38 #-0,2553179#0,9234283#3,965698#-0,1440094#0,7744954#3,884181# -0,1447284#0,3134738#3,298841#-0,04049508#0,5478345#3,493345#-0,1123942#0,3566675#3,352676#-0,07484688#0,5667078#3,56762#-0,01539146#0,4862489#3,52792#-0,1779023#0,6233279#3,804185#-0,1261176#0,5683994#3,68007#-0,2554116#0,7148317#4,052733#-0,06191856#0,3514959#3,816835#-0,09650417#0,2662982#3,79212#-0,05576176#0,2113476#3,778985#-0,131868#0,2389117#3,790731#-0,06285791#-0,1962194#3,912372#-0,3127053#-0,1534176#3,742589#-0,05419743#-0,5483599#3,911128#-0,5545074#-0,5551229#3,807783#-0,01601287#-0,5229563#3,835114#-0,6427003#-0,6042662#3,78103#1  
frame39 #-0,1856127#0,9096186#3,666325#-0,1321237#0,7378576#3,690023# -0,1335884#0,2740493#3,103711#-0,05040608#0,5880653#3,341072#-0,1011816#0,3171893#3,157464#-0,08411837#0,5911703#3,402032#-0,003961444#0,4466093#3,332443#-0,1852552#0,6004854#3,598634#-0,114905#0,5289212#3,484799#-0,2435259#0,678194#3,858576#-0,0650319#0,3564331#3,797509#-0,09803042#0,268051#3,792386#-0,05856775#0,2110938#3,793698#-0,1346629#0,2420925#3,793241#-0,07674617#-0,1972075#3,918027#-0,3284736#-0,141184#3,739087#-0,0612618#-0,5504773#3,911751#-0,5743122#-0,543138#3,79965#-0,01146673#-0,5263529#3,842111#-0,6690465#-0,5874119#3,859201#1  
frame40 #-0,2321816#0,9110767#3,771168#-0,1708194#0,7790278#3,855293# -0,1601974#0,3345616#3,348082#-0,1525447#0,6055601#3,422524#-0,1277074#0,3776398#3,40174#-0,1778956#0,6173698#3,502088#-0,03023716#0,5068743#3,576421#-0,2539483#0,652799#3,754488#-0,1414308#0,5893717#3,729031#-0,2822216#0,7193642#4,023846#-0,1422032#0,3745865#3,835366#-0,1822695#0,2976239#3,811132#-0,132273#0,2369359#3,818028#-0,2343721#0,2697703#3,793593#-0,09206036#-0,1768532#3,916496#-0,3191835#-0,1521392#3,765032#-0,05092876#-0,5281433#3,899294#-0,5794542#-0,5468248#3,813213#-0,000867527#-0,5893776#3,858482#-0,6846548#-0,5782841#3,862638#1 
frame41 #-0,2900489#0,9368403#3,795252#-0,2409143#0,7875193#3,865609# -0,2303723#0,3431125#3,358556#-0,2239394#0,6247985#3,42929#-0,1978023#0,3861314#3,412124#-0,2493126#0,6352468#3,50923#-0,1000922#0,5151879#3,586511#-0,3254321#0,6665915#3,762733#-0,2115257#0,5978633#3,739347#-0,3523166#0,7278557#4,034162#-0,1582927#0,4243584#3,844546#-0,1890676#0,3496166#3,82265#-0,1464372#0,2962031#3,84906#-0,2242359#0,2882808#3,786194#-0,08831654#-0,1411366#3,917422#-0,3679022#-0,1281541#3,775531#-0,06911235#-0,491794#3,91632#-0,552599#-0,427246#3,785993#-0,02502263#-0,5594246#3,878727#-0,6371557#-0,4780967#3,750758#1  
frame42 #-0,3458054#0,9351218#3,843675#-0,2828974#0,7868736#3,909492# -0,2724325#0,3425241#3,402509#-0,3531126#0,6305494#3,458452#-0,2397853#0,3854857#3,45599#-0,3672222#0,6409964#3,541306#-0,1418439#0,5143706#3,630121#-0,4095513#0,6723373#3,803558#-0,2535087#0,5972176#3,78323#-0,3942996#0,72721#4,078045#-0,1950281#0,4191848#3,84898#-0,2253803#0,3447901#3,819573#-0,1957451#0,288496#3,836301#-0,245045#0,294695#3,780656#-0,106127#-0,1305513#3,90473#-0,3543238#-0,1703942#3,816296#-0,07013205#-0,4740002#3,942188#-0,586973#-0,4694164#3,77223#-0,03198191#-0,5479065#3,891654#-0,6750159#-0,5385736#3,816952#1  
frame43 #-0,4127291#0,9529335#3,879753#-0,3385583#0,8004195#3,932988# -0,3019264#0,3664646#3,382658#-0,4210926#0,6238125#3,48388#-0,2691643#0,4093409#3,436009#-0,4340712#0,6366302#3,566854#-0,1708782#0,5379701#3,60976#-0,4730067#0,6750834#3,829474#-0,2828878#0,6210728#3,763276#-0,4499605#0,7407559#4,101541#-0,2441633#0,4071505#3,862437#-0,2717283#0,3275557#3,829069#-0,2144562#0,2819284#3,838533#-0,3042819#0,2793159#3,794035#-0,117915#-0,1356147#3,905958#-0,511584#-0,2187417#3,816842#-0,0430849#-0,4968046#3,908398#-0,7010669#-0,5249479#3,81337#-0,1268896#-0,5462126#3,870621#-0,7848716#-0,574356#3,775594#1  
frame44 #-0,4451083#0,9523507#3,928366#-0,351271#0,7926264#3,947356# -0,3136357#0,3587104#3,396011#-0,451412#0,6231731#3,493177#-0,2805966#0,4013813#3,449049#-0,4632154#0,6348119#3,577142#-0,1814794#0,5293939#3,621877#-0,4986254#0,6697284#3,842751#-0,29432#0,6131131#3,776364#-0,4626732#0,7329627#4,115908#-0,264565#0,374432#3,865669#-0,2946013#0,2886754#3,828433#-0,2520684#0,2465397#3,829696#-0,3279757#0,2338775#3,80107#-0,09909488#-0,2256593#3,951373#-0,5396779#-0,1744439#3,825952#-0,0308009#-0,5663779#3,888675#-0,7211655#-0,5360974#3,826022#-0,01955622#-0,6438183#3,929631#-0,8046968#-0,5841464#3,787154#1  
frame45 #-0,5017763#0,8631263#3,866493#-0,3840502#0,7284188#3,901809# -0,4124075#0,2831649#3,436409#-0,4870677#0,6732174#3,453405#-0,3833285#0,3287738#3,493923#-0,5049284#0,6704531#3,535314#-0,2960914#0,4656005#3,680175#-0,5585102#0,6621602#3,794749#-0,3909281#0,625552#3,786079#-0,4954524#0,6687552#4,070362#-0,2884049#0,331281#3,835809#-0,3178293#0,2490347#3,808536#-0,2764288#0,22962#3,817067#-0,3368047#0,2273517#3,796365#-0,1013137#-0,2235181#3,951367#-0,556873#-0,1652345#3,835293#-0,01884393#-0,55758#3,875797#-0,726457#-0,5346338#3,829025#-0,002763428#-0,5734648#3,790419#-0,8129835#-0,5848067#3,800881#1  
frame46 #-0,580006#0,8379984#3,878499#-0,3656762#0,707136#3,907647# -0,4302062#0,3529013#3,475513#-0,568862#0,6280233#3,488293#-0,4011272#0,3985102#3,533027#-0,5760444#0,6277668#3,568411#-0,3138902#0,5353369#3,719268#-0,5975914#0,6269972#3,822464#-0,4963832#0,6126354#3,759518#-0,4770784#0,6474724#4,0762#-0,2892047#0,3289232#3,818462#-0,3239034#0,2447737#3,808352#-0,3344799#0,217053#3,819396#-0,3357557#0,2276717#3,795068#-0,09693471#-0,1883868#3,951537#-0,5712478#-0,137859#3,833249#-0,03253191#-0,5253969#3,879603#-0,7160378#-0,5230364#3,834802#-0,007982133#-0,5736591#3,802543#-0,8064639#-0,5742962#3,844229#1  
frame47 #-0,5187822#0,8184552#3,983621#-0,3666989#0,7019538#3,910661# -0,4113443#0,3689811#3,513654#-0,6471209#0,5812554#3,503783#-0,3822653#0,41459#3,571169#-0,6432108#0,5861418#3,586716#-0,2950282#0,5514168#3,757396#-0,6314803#0,6008009#3,849195#-0,5301107#0,6362185#3,790876#-0,4781011#0,6422901#4,079215#-0,3049993#0,3196529#3,820168#-0,3448635#0,237488#3,815163#-0,3454186#0,2104515#3,825589#-0,3419167#0,2278369#3,795721#-0,0961586#-0,1861273#3,951079#-0,5791403#-0,1346541#3,832542#-0,04378716#-0,5199208#3,853024#-0,7314407#-0,5386882#3,839748#-0,02682773#-0,5795653#3,790119#-0,8205924#-0,5885262#3,858903#1  
frame48 #-0,5241892#0,8313258#4,009342#-0,3750802#0,7057108#3,972855# -0,4174345#0,3596597#3,516024#-0,5827198#0,5342494#3,533407#-0,3883554#0,4052686#3,573539#-0,5852688#0,5453961#3,618821#-0,3011184#0,5420954#3,759761#-0,5929158#0,5788361#3,888743#-0,524283#0,6224608#3,786675#-0,4864824#0,6460472#4,141408#-0,3224871#0,3212202#3,835253#-0,3632078#0,2406616#3,820807#-0,3600687#0,2120543#3,832251#-0,3671795#0,2310618#3,796826#-0,08821361#-0,1815962#3,948745#-0,6727548#-0,1836994#3,888033#-0,04978672#-0,5163183#3,852153#-0,7355389#-0,5405082#3,841321#-0,04817069#-0,5867034#3,798589#-0,8263608#-0,5896283#3,854365#1  
frame49 #-0,5640384#0,8107212#3,986247#-0,3801452#0,6976896#3,951442# -0,4053548#0,3549424#3,524155#-0,530411#0,4764448#3,515332#-0,3762758#0,4005513#3,58167#-0,5414402#0,4923692#3,599821#-0,2890387#0,5373781#3,767895#-0,5745277#0,5401424#3,866966#-0,5265757#0,6036695#3,757974#-0,4915474#0,638026#4,119995#-0,3690805#0,3004352#3,823269#-0,4177843#0,2242344#3,807687#-0,4278732#0,1955998#3,820412#-0,4109063#0,2101452#3,781541#-0,09130473#-0,1610708#3,901705#-0,6955492#-0,1962219#3,895339#-0,05574139#-0,5060199#3,853819#-0,7695411#-0,556967#3,833341#-0,05915661#-0,5864807#3,810434#-0,86282#-0,6019655#3,845339#1  
frame50 #-0,5826686#0,8200049#3,974405#-0,4314571#0,6966432#3,919863# -0,1329034#0,2303813#3,804123#-0,5761637#0,5139955#3,562779#-0,1846389#0,2975478#3,785124#-0,5929038#0,5211626#3,628724#-0,3398454#0,4990475#3,741804#-0,643124#0,542664#3,840233#-0,5760256#0,602453#3,73036#-0,5428593#0,6369796#4,088416#-0,3701473#0,3061555#3,823103#-0,4172211#0,225718#3,808642#-0,426955#0,1997911#3,820475#-0,4081172#0,21446#3,787349#-0,09070652#-0,1614873#3,901526#-0,7080289#-0,1987575#3,894732#-0,05677923#-0,5102795#3,848789#-0,7538748#-0,5376772#3,865225#-0,1478645#-0,5590467#3,860718#-0,8449601#-0,5864444#3,877154#1  
frame51 #-0,5784388#0,8233954#4,023488#-0,3986403#0,705099#3,981805# -0,1171024#0,2686251#3,757569#-0,6501244#0,4982323#3,62708#-0,162314#0,3317502#3,754643#-0,6526627#0,510974#3,700062#-0,297949#0,5211254#3,759543#-0,6602776#0,5491992#3,932681#-0,5432088#0,6109087#3,792301#-0,5100425#0,6454354#4,150358#-0,3714197#0,3068043#3,828408#-0,4180349#0,227975#3,810765#-0,4279536#0,2070875#3,820963#-0,4096276#0,2170045#3,792083#-0,09145042#-0,1611783#3,899095#-0,7485248#-0,2035531#3,897286#-0,0603152#-0,5112808#3,844596#-0,7595379#-0,5440301#3,857232#-0,1523638#-0,5575333#3,856286#-0,8515865#-0,5902827#3,868922#1  
frame52 #-0,645384#0,7997627#3,950581#-0,4655855#0,6814663#3,90891# -0,1678061#0,25298#3,818723#-0,7865979#0,6132156#3,64276#-0,2153007#0,3209763#3,791572#-0,776994#0,5868276#3,700832#-0,3577847#0,5249652#3,723791#-0,7481825#0,5076635#3,888721#-0,610154#0,587276#3,719407#-0,5769877#0,6218027#4,077463#-0,3863558#0,3080083#3,82167#-0,4238423#0,2264865#3,809528#-0,4323036#0,205432#3,818429#-0,4149803#0,2163146#3,792576#-0,09878613#-0,2021774#3,893098#-0,7492197#-0,2034044#3,897633#-0,05798132#-0,5377427#3,831122#-0,7900675#-0,540757#3,823213#-0,1474522#-0,5890543#3,843226#-0,7566735#-0,6219551#3,83235#1  
frame53 #-0,599376#0,8093188#3,984273#-0,4475806#0,6844385#3,931448# -0,1522732#0,2204372#3,738552#-0,7887192#0,5645356#3,679348#-0,1996054#0,2937611#3,732897#-0,7835433#0,5552418#3,743108#-0,3416018#0,513733#3,729601#-0,7680159#0,5273601#3,948057#-0,5921491#0,5902482#3,741944#-0,5589827#0,6247749#4,1#-0,391964#0,3063067#3,820995#-0,4345807#0,2278358#3,806861#-0,4427474#0,207683#3,812042#-0,4282733#0,2202971#3,79336#-0,1050446#-0,1826325#3,888213#-0,7495217#-0,2042394#3,898052#-0,06001509#-0,5219708#3,832723#-0,7563473#-0,5421173#3,847641#-0,1504796#-0,5705102#3,844583#-0,8468118#-0,5906567#3,859501#1  
frame54 #-0,6068202#0,8089308#3,987118#-0,4539843#0,6849616#3,926548# -0,1593735#0,2205894#3,723015#-0,7921121#0,5479184#3,675354#-0,2063287#0,29457#3,721553#-0,7879754#0,5421083#3,739734#-0,347194#0,5165117#3,730831#-0,7755655#0,5246779#3,946539#-0,5985528#0,5907713#3,737045#-0,5653865#0,625298#4,095101#-0,3973179#0,3012162#3,818072#-0,4387507#0,2213858#3,804517#-0,4465365#0,2005168#3,803653#-0,4317635#0,2166617#3,796121#-0,1054788#-0,1807364#3,888016#-0,7508489#-0,2071451#3,897886#-0,06454824#-0,5203083#3,835715#-0,7614329#-0,5429927#3,83633#-0,1550836#-0,5690714#3,847606#-0,8519682#-0,5917558#3,848221#1  
frame55 #-0,6180421#0,7952318#3,976453#-0,4687245#0,6616217#3,904279# -0,2005301#0,2090071#3,694897#-0,9733876#0,5325684#3,762802#-0,2404016#0,2820221#3,696208#-0,9188627#0,5167038#3,794061#-0,360016#0,5010669#3,713794#-0,7552881#0,4691103#3,901494#-0,6132931#0,5674316#3,714776#-0,5801268#0,6019582#4,072832#-0,4099051#0,2839631#3,808279#-0,4497482#0,2051279#3,797065#-0,4493451#0,1935558#3,797898#-0,4525613#0,1927094#3,791229#-0,1042582#-0,1875291#3,886899#-0,7498496#-0,2074674#3,896993#-0,06439843#-0,520909#3,835921#-0,7850848#-0,5403154#3,834329#-0,1545283#-0,5697802#3,847796#-0,7634155#-0,6107994#3,786799#1  
frame56 #-0,6176783#0,7933505#3,974521#-0,4705371#0,6330909#3,878723# -0,1946805#0,2196221#3,695038#-1,123064#0,556321#3,997399#-0,2377954#0,279028#3,69179#-1,041739#0,5322083#3,97503#-0,3671401#0,4572459#3,695692#-0,7977625#0,4598701#3,921568#-0,6151057#0,5389007#3,689219#-0,5819394#0,5734273#4,047276#-0,4114656#0,2643604#3,797278#-0,4510612#0,1869649#3,788556#-0,4536083#0,1724933#3,786437#-0,4497029#0,1794233#3,785597#-0,1074434#-0,1841373#3,887208#-0,7500213#-0,2081409#3,896096#-0,06476282#-0,5220096#3,838117#-0,7779263#-0,5380922#3,814357#-0,1544978#-0,5706066#3,849934#-0,8676613#-0,5866893#3,826174#1  
frame57 #-0,606751#0,77868#3,964058#-0,469229#0,6324677#3,876889# -0,1924298#0,2209032#3,701118#-1,027156#0,4107766#3,935483#-0,235779#0,27919#3,694076#-0,9573993#0,4102992#3,910063#-0,3658268#0,4540504#3,686584#-0,7690853#0,4435902#3,888116#-0,6137976#0,5382774#3,687386#-0,5806312#0,572804#4,045442#-0,4111853#0,2626678#3,795714#-0,4509708#0,1852996#3,787229#-0,4535309#0,1707174#3,784912#-0,4492733#0,1781302#3,784582#-0,1033207#-0,1945346#3,894452#-0,7506491#-0,2092651#3,895639#-0,06221545#-0,5260567#3,842146#-0,7905037#-0,5328798#3,794123#-0,1518019#-0,5744107#3,853925#-0,7595313#-0,6141286#3,788884#1  
frame58 #-0,6067351#0,7809334#3,95659#-0,4689405#0,6321886#3,876806# -0,2014086#0,2159573#3,693244#-1,017848#0,3600778#3,897679#-0,2425606#0,2749923#3,68785#-0,9553461#0,3976596#3,910251#-0,3660163#0,452097#3,685281#-0,769308#0,4427437#3,889441#-0,6135091#0,5379983#3,687303#-0,5803427#0,5725249#4,045359#-0,4118094#0,2608405#3,794318#-0,4519607#0,1831704#3,785504#-0,4537916#0,1690315#3,783855#-0,4509269#0,1751102#3,781717#-0,1071071#-0,1975977#3,893331#-0,7518123#-0,2127601#3,887789#-0,06243159#-0,5269877#3,842334#-0,7526496#-0,5434225#3,82135#-0,1521532#-0,5752657#3,854112#-0,8423712#-0,5917006#3,833129#1  
frame59 #-0,623626#0,7464805#3,905492#-0,4677572#0,630529#3,874082# -0,1927833#0,2174867#3,689823#-1,022195#0,3216309#3,955944#-0,2360529#0,2751487#3,684866#-0,9712279#0,3648882#3,924791#-0,3658618#0,4481344#3,683593#-0,7680513#0,436349#3,891807#-0,6123258#0,5363389#3,684578#-0,5791594#0,5708655#4,042634#-0,4118612#0,2600897#3,793464#-0,4520891#0,1827739#3,784981#-0,453882#0,1689843#3,783602#-0,4508369#0,173893#3,780782#-0,1099022#-0,1998615#3,896794#-0,7516173#-0,2132975#3,886642#-0,06274089#-0,527105#3,84244#-0,7562089#-0,5443964#3,83921#-0,1523266#-0,5751359#3,854181#-0,7834709#-0,6170809#3,799985#1  
frame60 #-0,6135024#0,7824426#3,925196#-0,4683403#0,6355927#3,875789# -0,1846561#0,2194863#3,704081#-0,9801725#0,2996288#3,963979#-0,2302173#0,2773448#3,695003#-0,9726341#0,3598527#3,922272#-0,3669007#0,4509202#3,681351#-0,769749#0,4346311#3,903182#-0,612909#0,5414026#3,686286#-0,5797426#0,5759292#4,044342#-0,4148285#0,2619185#3,793055#-0,4557935#0,1846871#3,784336#-0,4574861#0,1712935#3,783434#-0,4542491#0,1751092#3,779691#-0,1116556#-0,2004001#3,900166#-0,7511703#-0,2131996#3,886974#-0,05856023#-0,5250081#3,838723#-0,7649203#-0,5426555#3,834446#-0,1479613#-0,5725796#3,850397#-0,7712559#-0,6164047#3,789401#1  
frame61 #-0,6151689#0,7785194#3,920924#-0,4696029#0,6382639#3,874178# -0,2065685#0,2108546#3,861214#-1,065867#0,2966143#3,953516#-0,2469155#0,2716654#3,812589#-0,9795159#0,333161#3,920149#-0,3679565#0,4540978#3,680277#-0,7954937#0,4154287#3,889367#-0,6141716#0,5440738#3,684675#-0,5951961#0,5247096#3,799839#-0,4154496#0,2576301#3,786949#-0,4556589#0,1763275#3,779482#-0,4558613#0,1665858#3,781696#-0,4562005#0,1618891#3,770328#-0,1119171#-0,2011647#3,901087#-0,747942#-0,2137381#3,885993#-0,05661376#-0,5239592#3,836382#-0,761053#-0,5421696#3,833565#-0,1445653#-0,5717204#3,852797#-0,7596601#-0,6023593#3,771864#1  
frame62 #-0,6143172#0,776712#3,920005#-0,4675627#0,6388348#3,873448# -0,1803778#0,2020891#3,76061#-1,096267#0,2671092#3,951534#-0,2278429#0,2620983#3,73473#-1,009469#0,3079888#3,925619#-0,3702382#0,442126#3,670633#-0,7883479#0,4309821#3,867211#-0,6121314#0,5446446#3,683945#-0,590782#0,5801963#3,804903#-0,4159629#0,2566571#3,783753#-0,4562396#0,1751721#3,778118#-0,4561541#0,1647806#3,781237#-0,4570832#0,1610581#3,767805#-0,1133532#-0,2023188#3,899978#-0,7475281#-0,213728#3,885687#-0,05082577#-0,5218303#3,829653#-0,7582836#-0,541035#3,833314#-0,04524008#-0,592039#3,780787#-0,7582034#-0,6095517#3,7818#1  
frame63 #-0,6164453#0,7772925#3,916838#-0,4706718#0,6497194#3,873456# -0,1844899#0,1903923#3,767137#-1,06344#0,2455108#3,908622#-0,2312445#0,2575867#3,742139#-0,9953408#0,2670394#3,925486#-0,3715083#0,4591701#3,68067#-0,7788541#0,4046355#3,880423#-0,6152405#0,5555292#3,683953#-0,5917597#0,5556104#3,800044#-0,4157113#0,2571219#3,782337#-0,4555532#0,1747931#3,776606#-0,4554286#0,164737#3,779509#-0,4563064#0,16142#3,767097#-0,1225693#-0,2044368#3,893371#-0,7464896#-0,2138896#3,886028#-0,04879432#-0,5210148#3,828036#-0,7576622#-0,5400066#3,833182#-0,04584024#-0,590014#3,777727#-0,7676851#-0,59636#3,769744#1  
frame64 #-0,6137174#0,7809981#3,915264#-0,4707178#0,6518098#3,87393# -0,1848387#0,1898586#3,767975#-1,066916#0,2361497#3,911548#-0,2317503#0,2571285#3,743012#-0,9821417#0,2845557#3,895513#-0,372485#0,458938#3,681652#-0,7675297#0,4210154#3,841391#-0,6152864#0,5576195#3,684427#-0,5833639#0,5629866#3,801106#-0,4172448#0,2536922#3,775238#-0,4565433#0,167613#3,770572#-0,4590285#0,1578198#3,774374#-0,4538057#0,152229#3,759377#-0,1226096#-0,2053865#3,894025#-0,7520471#-0,2242182#3,883259#-0,04946569#-0,5212796#3,833625#-0,7548981#-0,5492378#3,831445#-0,04917169#-0,582922#3,774715#-0,7722407#-0,5958145#3,762162#1  
frame65 #-0,6145951#0,7829405#3,914601#-0,4711147#0,6538357#3,871599# -0,1664143#0,1967697#3,744866#-1,077568#0,2168827#3,915043#-0,2180369#0,2628812#3,725507#-0,9941801#0,268302#3,90336#-0,3729048#0,4612154#3,680946#-0,7799038#0,4060603#3,850677#-0,6156833#0,5596454#3,682096#-0,5853587#0,5666167#3,802056#-0,4176865#0,2536668#3,77535#-0,4571367#0,1678516#3,770347#-0,4598413#0,1581812#3,774268#-0,4545791#0,1538181#3,759474#-0,1231322#-0,1977823#3,893347#-0,7498178#-0,2231931#3,883823#-0,05049318#-0,5124928#3,833509#-0,754943#-0,5468243#3,831505#-0,04629278#-0,5793694#3,781088#-0,7648922#-0,6037815#3,769095#1  
frame66 #-0,6156644#0,7837399#3,906341#-0,4707692#0,6530439#3,86435# -0,1779898#0,1998696#3,741048#-1,063522#0,2169212#3,912313#-0,2244265#0,2723044#3,723504#-0,9786122#0,2636467#3,893474#-0,3637365#0,489609#3,684385#-0,7806714#0,4054744#3,850799#-0,6153378#0,5588536#3,674847#-0,5871422#0,5667682#3,800321#-0,4165727#0,2519282#3,774907#-0,4563394#0,1668142#3,769825#-0,4592532#0,1581761#3,773666#-0,4537904#0,1533563#3,759807#-0,1220047#-0,1933614#3,893183#-0,7494398#-0,2229545#3,884089#-0,05140918#-0,5073561#3,833863#-0,75536#-0,5450701#3,828265#-0,04741717#-0,5783097#3,779398#-0,7700528#-0,6167741#3,784848#1  
frame67 #-0,6158891#0,7860653#3,906796#-0,4706876#0,6550332#3,864291# -0,1910605#0,1914653#3,78598#-1,054466#0,2155467#3,909522#-0,235941#0,2599191#3,753954#-0,9693525#0,2599247#3,887065#-0,3705826#0,4652804#3,671391#-0,7631477#0,4064277#3,826088#-0,6152562#0,5608429#3,674788#-0,5767162#0,5364293#3,76668#-0,4173811#0,2513581#3,768287#-0,4545505#0,1635988#3,769251#-0,4571108#0,1544695#3,772709#-0,4514335#0,1486682#3,759702#-0,122323#-0,1884789#3,891115#-0,746062#-0,2216549#3,882964#-0,05252194#-0,5017182#3,834703#-0,7568418#-0,5424632#3,827284#-0,03713206#-0,5811712#3,768392#-0,8376741#-0,5909355#3,861417#1  
