frame1 #-0,02432762#0,8885243#3,229119#-0,07596213#0,7102063#3,25016# 0,06150312#0,1524555#3,16309#-0,04056296#0,348562#3,03669#0,07843371#0,2272638#3,162459#-0,09429331#0,3659091#3,041815#0,1292255#0,4516885#3,17442#-0,2554843#0,4179505#3,071041#0,0826074#0,6210297#3,301939#-0,2344425#0,5938973#3,186375#-0,1026066#0,3429102#3,262876#-0,09270377#0,272532#3,226293#-0,02416322#0,20555#3,236213#-0,1668357#0,1933404#3,203776#-0,03293053#-0,2565978#2,987171#-0,1867713#-0,2846858#3,187817#-0,0289652#-0,6129586#2,827888#-0,03399402#-0,6260155#2,807675#0,004573014#-0,6622876#2,739782#-0,05796007#-0,6953913#2,754836#1  
frame32 #-0,1731386#0,9326407#3,270082#-0,08445386#0,7773394#3,304039# 0,5618714#0,5622498#2,888736#-0,3936743#0,7342792#3,719633#0,465321#0,559102#2,939028#-0,3578982#0,7330113#3,660834#0,2717423#0,5956197#3,132702#-0,3137815#0,57634#3,562388#0,05999983#0,6682663#3,218136#-0,2248115#0,6671636#3,437435#-0,06051622#0,4415483#3,322147#-0,07952464#0,3767279#3,298816#-0,007893868#0,3025258#3,254593#-0,146665#0,3035545#3,337958#-0,08335803#0,02054368#2,886448#-0,1647985#-0,1291464#3,295318#-0,2276728#-0,2373728#2,685833#-0,01820943#-0,569771#3,267354#-0,2792832#-0,2667226#2,602707#-0,05349833#-0,5343189#3,178288#1  
frame33 #-0,1763376#0,9320128#3,272685#-0,08527741#0,7812285#3,307786# 0,5321776#0,6240806#2,831149#-0,4147381#0,7575417#3,746604#0,445235#0,607884#2,904979#-0,3758959#0,7704403#3,691309#0,2712655#0,6078645#3,120233#-0,3125588#0,6190322#3,595511#0,05645639#0,672311#3,217676#-0,2225622#0,7088475#3,470981#-0,05471455#0,4522451#3,325455#-0,07324672#0,3873859#3,304862#-0,003523768#0,3066584#3,257583#-0,1353719#0,3292991#3,348161#-0,1159592#0,02408303#2,886582#-0,1522502#-0,1021701#3,299796#-0,2809922#-0,2272808#2,693934#-0,03024758#-0,5509306#3,265533#-0,3307046#-0,242803#2,605699#-0,06933138#-0,5138518#3,178383#1  
frame34 #-0,1786218#0,930595#3,273206#-0,08642342#0,784297#3,310807# 0,5067431#0,6874627#2,806306#-0,4008336#0,7675319#3,737735#0,4046323#0,6408172#2,888523#-0,3617015#0,7805269#3,682027#0,2713478#0,6241484#3,074468#-0,3106227#0,6190991#3,594902#0,05655243#0,6735556#3,215784#-0,2207325#0,7088081#3,470478#-0,05303035#0,4585142#3,329309#-0,06968399#0,3936214#3,310528#0,0002579589#0,3121956#3,262585#-0,1321529#0,3323565#3,352966#-0,1609511#0,01088425#2,871632#-0,1523747#-0,09798974#3,300588#-0,2816827#-0,2851965#2,720137#-0,0303558#-0,5462938#3,262901#-0,3452325#-0,2391041#2,653684#-0,08463596#-0,5894092#3,206386#1  
frame35 #-0,1801335#0,9311409#3,27833#-0,08673431#0,785276#3,311986# 0,4617798#0,7509304#2,76813#-0,4538647#0,8728714#3,766102#0,4009427#0,7061226#2,837251#-0,4008866#0,8388469#3,738137#0,2656516#0,6285839#3,066362#-0,3082459#0,695851#3,652717#0,05623492#0,6744188#3,21425#-0,2169721#0,7095968#3,477424#-0,04899593#0,4589376#3,329731#-0,06322116#0,3930668#3,312969#0,004681717#0,3110068#3,263149#-0,1169882#0,3290798#3,35974#-0,1809378#0,01005163#2,872294#-0,1521228#-0,09999397#3,309657#-0,3029358#-0,2961957#2,751794#-0,02200422#-0,5449803#3,264884#-0,3687377#-0,2377797#2,697771#-0,05566489#-0,6424076#3,270858#1  
frame36 #-0,1787592#0,9343516#3,29028#-0,0853333#0,7882884#3,315909# 0,3946224#0,7943771#2,763141#-0,4372987#0,9301898#3,800913#0,362173#0,7450984#2,807137#-0,3968412#0,8743437#3,738219#0,2677364#0,6189508#3,034486#-0,3135617#0,7559875#3,618395#0,05645878#0,6784127#3,209448#-0,2134439#0,7146691#3,480223#-0,04573197#0,4638097#3,332845#-0,0605718#0,3981136#3,316174#0,005869168#0,3117677#3,263147#-0,1152836#0,3366677#3,366096#-0,1824255#0,0191037#2,896319#-0,1368997#-0,09239465#3,313071#-0,4042104#-0,2273645#2,782092#-0,0229656#-0,5418751#3,264453#-0,4399938#-0,1949062#2,722229#-0,05631617#-0,6394936#3,278248#1  
frame37 #-0,1774119#0,9332471#3,298478#-0,08232432#0,7893891#3,323395# 0,342407#0,8308193#2,731762#-0,4414388#0,9920761#3,783421#0,3071169#0,7640235#2,79849#-0,4015758#0,9295789#3,726805#0,2592347#0,6290696#3,017703#-0,3037349#0,7859087#3,628361#0,05618226#0,6798692#3,207683#-0,2043326#0,7261456#3,49014#-0,03719188#0,455788#3,338456#-0,05161157#0,386922#3,322519#0,01781838#0,3026289#3,281367#-0,110992#0,3344713#3,363802#-0,1837482#0,03555739#2,928881#-0,1371279#-0,09416384#3,318025#-0,4078937#-0,2162262#2,83639#-0,0239179#-0,5442756#3,265186#-0,4832343#-0,2252509#2,764594#-0,06440033#-0,6399816#3,275854#1  
frame38 #-0,1759914#0,9319296#3,304394#-0,08069894#0,7900354#3,328896# 0,2590293#0,8555831#2,733263#-0,4359173#1,03655#3,761277#0,2533458#0,7931924#2,787576#-0,4094139#0,9588258#3,716834#0,2494361#0,6309982#3,003853#-0,3050582#0,7950013#3,630913#0,05641268#0,6789114#3,206626#-0,1997926#0,7254621#3,491787#-0,03277927#0,4507427#3,341075#-0,04712427#0,3808218#3,324803#0,02092976#0,299374#3,285059#-0,1059553#0,3317222#3,361462#-0,1817468#0,03807107#2,954588#-0,1375358#-0,09629902#3,324874#-0,4137848#-0,2122702#2,882455#-0,0247347#-0,547365#3,267141#-0,4937051#-0,2354075#2,818639#-0,06540393#-0,6423495#3,285003#1  
frame39 #-0,1729942#0,9298933#3,308629#-0,07961115#0,7879357#3,330688# 0,1965566#0,8864856#2,727139#-0,4425233#1,1036#3,702508#0,1970174#0,8025749#2,785585#-0,4139577#1,030166#3,686277#0,2224163#0,643513#2,947005#-0,3141987#0,8462248#3,656787#0,08083972#0,6828824#3,174396#-0,1872508#0,7206165#3,483963#-0,02834359#0,4516858#3,340781#-0,04204481#0,3827702#3,324404#0,02958601#0,3024028#3,287792#-0,09859554#0,336417#3,355229#-0,1880801#0,02899761#2,966017#-0,126856#-0,09137216#3,328035#-0,4030277#-0,2410989#2,940734#-0,02847147#-0,546725#3,269449#-0,4916118#-0,2636278#2,888383#-0,06672998#-0,6438909#3,283246#1  
frame40 #-0,1692017#0,9263872#3,312599#-0,08028352#0,785507#3,33302# 0,1292853#0,9269346#2,724275#-0,4429034#1,162417#3,649186#0,1405964#0,8327595#2,773812#-0,4296033#1,094518#3,6517#0,1902936#0,6815991#2,922115#-0,3173499#0,8630846#3,636997#0,07938585#0,6843683#3,172978#-0,1781487#0,7197168#3,48438#-0,02651672#0,4534872#3,341162#-0,04007068#0,385862#3,325287#0,03096757#0,3050352#3,288927#-0,09484354#0,3461871#3,355386#-0,1997825#0,004962481#3,010878#-0,1226276#-0,08094767#3,327452#-0,4251389#-0,257786#2,988056#-0,02748077#-0,5384809#3,270924#-0,5165867#-0,2968615#2,952292#-0,06445856#-0,6371391#3,279162#1  
frame41 #-0,162888#0,9278896#3,314118#-0,07156564#0,7882918#3,331389# 0,07539702#0,9173686#2,73721#-0,4115488#1,166867#3,56687#0,08144949#0,8340977#2,780917#-0,4045359#1,100432#3,582451#0,1671601#0,682952#2,916634#-0,288028#0,8621234#3,561546#0,05698599#0,6850369#3,176364#-0,1265062#0,762233#3,398851#-0,01723411#0,4821455#3,345213#-0,03244687#0,4226868#3,331599#0,01835986#0,3214955#3,267661#-0,06633644#0,3910056#3,399967#-0,2468577#-0,09244832#3,05428#-0,1299838#-0,02688131#3,320055#-0,47879#-0,3463407#3,057532#-0,03973296#-0,4843116#3,270128#-0,568522#-0,3736976#3,008759#-0,1033331#-0,5300126#3,221968#1  
frame42 #-0,1649953#0,915169#3,316013#-0,06782629#0,7830657#3,327874# 0,01053748#0,911436#2,763469#-0,4237771#1,15045#3,536466#0,02415957#0,7996111#2,807856#-0,3907554#1,064829#3,538418#0,1441661#0,673058#2,914145#-0,3115463#0,8607578#3,580453#0,04826569#0,6800904#3,176085#-0,1455736#0,7775381#3,4786#-0,01469579#0,4826562#3,34235#-0,03198462#0,4228384#3,331578#0,01790409#0,3413265#3,301909#-0,06377508#0,4012419#3,361457#-0,1144105#-0,03095055#3,126728#-0,130913#-0,02032575#3,335559#-0,06571503#-0,4667514#3,257394#-0,04060939#-0,4761787#3,282698#-0,135433#-0,5128546#3,21721#-0,1103274#-0,5222819#3,242514#1  
frame43 #-0,1676574#0,9324556#3,317688#-0,05687491#0,8116747#3,331809# -0,04459558#0,9135957#2,822755#-0,3995662#1,135263#3,440558#-0,03261514#0,848157#2,836482#-0,3912482#1,107992#3,481106#0,1094659#0,67017#2,917085#-0,310793#0,8656508#3,565691#0,0259484#0,6264343#3,193245#-0,1381978#0,8194887#3,488528#-0,01048668#0,4829779#3,345146#-0,02889384#0,420198#3,337106#0,01860077#0,3242606#3,294078#-0,05553221#0,3732222#3,404147#-0,2004451#-0,09770688#3,138395#-0,1331484#-0,04164991#3,330549#-0,05365004#-0,5035061#3,285239#-0,04150844#-0,4961369#3,273622#-0,02399384#-0,6047891#3,264503#-0,1150964#-0,5418524#3,238384#1  
frame44 #-0,1725141#0,9260655#3,321645#-0,0717444#0,7952825#3,33376# -0,08867509#0,8856161#2,852397#-0,3484581#1,08575#3,393379#-0,07201236#0,8304728#2,862954#-0,3640782#1,023041#3,414074#0,08837537#0,6522392#2,917518#-0,321894#0,8679349#3,548665#0,02320624#0,6173902#3,200401#-0,1573236#0,7967333#3,490484#-0,008714512#0,4202535#3,354011#-0,0234257#0,3438677#3,344986#0,02514479#0,2914059#3,29303#-0,05588346#0,2640007#3,396298#-0,235325#-0,1289864#3,162677#-0,0267654#-0,22088#3,342714#-0,05170308#-0,5106293#3,289086#0,1083418#-0,8605108#3,269472#-0,04781704#-0,6183118#3,287119#0,03072581#-0,7906286#3,296057#1  
frame45 #-0,1950127#0,9135153#3,334893#-0,1004101#0,7803384#3,354361# -0,1171348#0,870051#2,905363#-0,3434066#1,012603#3,371719#-0,09538459#0,8060654#2,904916#-0,3556945#0,9705163#3,367691#0,07078415#0,6260218#2,938746#-0,37602#0,8447281#3,531522#0,004368566#0,608067#3,222407#-0,1940008#0,772866#3,530926#-0,01026875#0,412353#3,355206#-0,02288891#0,3330771#3,344314#0,02681017#0,2823192#3,296746#-0,05275437#0,2516031#3,385899#-0,1459949#-0,1406104#3,240204#-0,03042273#-0,2813595#3,359643#0,01942228#-0,5699964#3,2691#0,1046845#-0,9209903#3,286383#0,001091272#-0,6477572#3,269934#0,05004168#-0,8277366#3,284784#1  
frame46 #-0,2134042#0,8223602#3,363842#-0,1158205#0,6904185#3,382444# -0,1546937#0,8757656#2,94899#-0,3218625#0,9589318#3,325323#-0,1360608#0,8113045#2,946389#-0,3392139#0,9079446#3,315431#-0,004087633#0,649793#2,944998#-0,3288134#0,8375317#3,512196#-0,004867996#0,5943047#3,226815#-0,205328#0,6850747#3,556082#-0,01526254#0,3473298#3,354977#-0,0237091#0,2746979#3,336387#0,02820536#0,2423038#3,297026#-0,05179973#0,2035301#3,360331#-0,1480293#-0,1444229#3,24782#0,006646679#-0,244333#3,38615#0,01801932#-0,5732601#3,270077#0,1417539#-0,8839638#3,312889#0,000933554#-0,6513863#3,270428#0,07177187#-0,8020422#3,302968#1  
frame47 #-0,1818724#0,9382005#3,332242#-0,08385833#0,805677#3,351058# -0,1601971#0,8146983#2,954959#-0,3132971#0,9217084#3,233437#-0,1211569#0,7633958#2,974481#-0,3289172#0,8589998#3,254133#0,0644485#0,5715922#2,979783#-0,3687703#0,7749096#3,510141#0,003083189#0,6118158#3,188582#-0,1733658#0,8003332#3,524696#0,001386538#0,3964797#3,334971#-0,01344354#0,305541#3,323511#0,0331394#0,2554621#3,278413#-0,0442244#0,2195422#3,360608#-0,1465002#-0,1406439#3,253034#-0,005480534#-0,2301631#3,373609#0,01841918#-0,5701833#3,270944#0,1296267#-0,8697939#3,300323#-0,05699837#-0,6178812#3,238361#0,09017476#-0,7695683#3,282066#1  
frame48 #-0,1397752#0,8376874#3,314995#-0,06876039#0,6742297#3,325337# -0,2154529#0,8477935#3,001081#-0,2787357#0,8413031#3,208573#-0,1797833#0,7967952#3,02674#-0,2943558#0,7785946#3,229269#-0,04379155#0,5790412#2,969059#-0,3307629#0,7628415#3,485941#0,01555247#0,6110804#3,184369#-0,1582679#0,6688859#3,498974#-0,005001426#0,3906322#3,335431#-0,02181454#0,3124906#3,323597#0,01519317#0,2457021#3,249168#-0,05253337#0,2150145#3,387157#-0,1484653#-0,1571287#3,272368#0,02756952#-0,2688939#3,406112#0,02217004#-0,5845591#3,274298#-0,2814725#-0,561811#3,523024#0,0163638#-0,665021#3,270399#-0,3591472#-0,5912796#3,529157#1  
frame49 #-0,1713489#0,9036562#3,339364#-0,09391021#0,7508551#3,336226# -0,2115678#0,790319#3,023598#-0,2676323#0,771954#3,137877#-0,1758138#0,7392002#3,049317#-0,2832524#0,7092454#3,158572#-0,04562897#0,5224097#2,981673#-0,3434514#0,6735972#3,396461#0,01953239#0,6142635#3,181371#-0,1834177#0,7455114#3,509864#-0,01085869#0,3804122#3,331105#-0,02570951#0,3013068#3,316943#0,01799322#0,2436222#3,251224#-0,06134259#0,2119712#3,363729#-0,0446856#-0,2603434#3,376101#0,02708726#-0,2695155#3,407555#0,02468597#-0,602749#3,276729#-0,2340203#-0,5665425#3,55425#-0,04774566#-0,6509262#3,237798#-0,3064519#-0,6147197#3,515319#1  
frame50 #-0,2028364#0,8622081#3,305377#-0,09988742#0,7510626#3,355567# -0,2290992#0,7577798#3,055429#-0,2866854#0,750517#3,132395#-0,1932536#0,70653#3,081214#-0,3023055#0,6878084#3,15309#-0,08382911#0,49495#2,978086#-0,3370302#0,6633245#3,40465#0,004989803#0,6001634#3,177882#-0,1893949#0,7457188#3,529205#-0,01247367#0,3687105#3,325422#-0,02609699#0,285717#3,30626#0,01940539#0,2361824#3,247311#-0,05561053#0,2007995#3,344501#-0,05565404#-0,2552221#3,3736#0,02493246#-0,2764049#3,425801#0,02320161#-0,6008245#3,278167#-0,2002459#-0,5714936#3,579362#-0,0515391#-0,6484374#3,242281#-0,2687137#-0,6149246#3,584862#1  
frame51 #-0,1916064#0,7910568#3,322457#-0,09355156#0,6458851#3,356053# -0,238238#0,7215801#3,085198#-0,3131303#0,7149063#3,098272#-0,2023484#0,6702673#3,111015#-0,3287504#0,6521977#3,118968#-0,09674656#0,4684162#2,988823#-0,3608718#0,6291667#3,372273#-0,004317625#0,5940604#3,180796#-0,1830591#0,6405413#3,529691#-0,01524891#0,2917539#3,316175#-0,02911584#0,2189991#3,29652#0,01142755#0,1904759#3,238267#-0,05231122#0,1353966#3,335743#-0,08846281#-0,2621097#3,378763#0,02695506#-0,2735136#3,431195#0,02198294#-0,6001583#3,279108#-0,1970805#-0,5705574#3,573729#0,004314721#-0,6796387#3,278811#-0,2727464#-0,6174842#3,5384#1  
frame52 #-0,1881913#0,786765#3,345257#-0,09328556#0,6434423#3,357444# -0,2552475#0,6830905#3,127327#-0,3128643#0,7124636#3,099656#-0,219335#0,631745#3,153161#-0,3284844#0,649755#3,120352#-0,1019448#0,4548454#3,008058#-0,3606058#0,6267239#3,373659#-0,02444981#0,578519#3,192195#-0,1827931#0,6380986#3,531082#-0,0108823#0,2694913#3,316911#-0,02396336#0,1896527#3,298031#0,01318079#0,1756848#3,252059#-0,0492198#0,1234852#3,329152#-0,09796181#-0,2584497#3,378516#0,02789005#-0,2785626#3,434981#0,0180266#-0,5976228#3,283252#-0,1921414#-0,5694033#3,56437#-0,05892659#-0,6450166#3,251133#-0,2690946#-0,6167971#3,532251#1  
frame53 #-0,1881828#0,7840796#3,365876#-0,09754257#0,6372827#3,360657# -0,2599535#0,6548502#3,136884#-0,3171213#0,7063039#3,10286#-0,2240122#0,6034635#3,162739#-0,3327414#0,6435953#3,123555#-0,1099944#0,4163854#3,027312#-0,3648628#0,6205643#3,376866#-0,03692202#0,5689122#3,206799#-0,1870501#0,6319389#3,534294#-0,01151545#0,2576975#3,31449#-0,02405411#0,1783544#3,294835#0,0132172#0,1663454#3,254948#-0,04872336#0,1107481#3,317904#-0,109742#-0,2695951#3,38616#0,02900603#-0,2867203#3,437001#0,0157543#-0,5963948#3,2897#-0,189427#-0,5750217#3,564615#-0,06154358#-0,643964#3,258262#-0,2667249#-0,622591#3,533177#1  
frame54 #-0,1847385#0,7813188#3,379719#-0,1034335#0,6274922#3,368142# -0,2649566#0,6480796#3,149576#-0,3230097#0,6965235#3,11033#-0,2289945#0,5966631#3,175445#-0,3386323#0,6338049#3,131029#-0,1136562#0,4127923#3,037296#-0,3707538#0,6107738#3,384343#-0,03335615#0,550041#3,217879#-0,192941#0,6221485#3,54178#-0,02183963#0,2530199#3,320806#-0,03560926#0,1755377#3,300424#-0,004540549#0,151748#3,304836#-0,07052838#0,1079918#3,296504#-0,09590769#-0,2832363#3,392085#0,0147172#-0,2819247#3,439561#0,0126351#-0,5958068#3,292616#-0,1835789#-0,5857846#3,57167#-0,06408303#-0,6428556#3,258717#-0,2602971#-0,6328333#3,53777#1  
frame55 #-0,184358#0,7799008#3,380942#-0,1039751#0,6252266#3,369511# -0,2866078#0,6322148#3,16829#-0,3235419#0,6942956#3,111673#-0,250624#0,5807673#3,194174#-0,3391739#0,6315392#3,132384#-0,1347319#0,3975736#3,055921#-0,3712954#0,6085082#3,385703#-0,06146211#0,5370018#3,229153#-0,1934826#0,6198828#3,543149#-0,02490103#0,2425104#3,320729#-0,04010663#0,1630908#3,301718#-0,006928848#0,1475729#3,305423#-0,06869017#0,09926341#3,291536#-0,09448548#-0,2935343#3,397499#0,005993023#-0,2889264#3,438356#0,009945035#-0,6043851#3,28871#-0,1819084#-0,5885265#3,572155#-0,06890683#-0,6514595#3,259777#-0,2607602#-0,6356008#3,543222#1  
frame56 #-0,1596245#0,7712598#3,438745#-0,1026581#0,6079834#3,376533# -0,3117925#0,5937112#3,177663#-0,3222243#0,6770545#3,118669#-0,2758076#0,542262#3,203548#-0,3378569#0,6142961#3,139381#-0,1598831#0,35909#3,065362#-0,3699783#0,591265#3,392709#-0,09042551#0,5340735#3,228527#-0,1921656#0,6026396#3,55017#-0,0299255#0,2288283#3,330653#-0,04725512#0,1503029#3,315272#-0,02553326#0,1343662#3,32996#-0,06685836#0,08938284#3,294996#-0,09255607#-0,3084857#3,404998#-0,008002365#-0,3289207#3,472654#0,01333936#-0,6145539#3,285757#-0,1847731#-0,5895247#3,567336#-0,06735931#-0,6612822#3,264275#-0,2654718#-0,6362529#3,545854#1  
frame57 #-0,1662037#0,7680855#3,435625#-0,1073987#0,6062893#3,377575# -0,3196148#0,5915219#3,185019#-0,3269652#0,6753599#3,119695#-0,2836301#0,540073#3,210905#-0,3425975#0,6126019#3,140407#-0,1677495#0,3568978#3,072764#-0,374719#0,5895709#3,39374#-0,09077813#0,531626#3,230522#-0,1969062#0,6009455#3,551213#-0,03196358#0,2279277#3,330428#-0,04874912#0,1495011#3,314525#-0,02562239#0,1335471#3,32845#-0,06839354#0,08781423#3,292964#-0,09198104#-0,311974#3,40782#-0,007729232#-0,3166675#3,457232#0,01383591#-0,6165617#3,287629#-0,187078#-0,5857912#3,554432#-0,06609786#-0,6632188#3,265262#-0,2173878#-0,643914#3,630139#1  
frame58 #-0,1683935#0,760184#3,439484#-0,1166175#0,5845182#3,383723# -0,3267965#0,5857978#3,192735#-0,3361877#0,6535736#3,125822#-0,2908204#0,5343614#3,218614#-0,3518163#0,5908308#3,146529#-0,1749794#0,3512334#3,080529#-0,3839378#0,5677998#3,399871#-0,09361224#0,5181696#3,234932#-0,206125#0,5791745#3,557361#-0,03506588#0,2067246#3,332537#-0,05028631#0,1283506#3,315223#-0,02478849#0,1210462#3,323993#-0,06790109#0,06611516#3,296738#-0,0950573#-0,3119363#3,40486#-0,00132262#-0,3628893#3,456923#0,01241955#-0,6173136#3,293981#-0,1986947#-0,6000348#3,561104#0,03084362#-0,671531#3,237379#-0,219389#-0,6438945#3,625376#1  
frame59 #-0,1767527#0,7556801#3,43939#-0,1240121#0,5837798#3,389225# -0,3569153#0,5623776#3,249854#-0,343589#0,6528088#3,13132#-0,3209545#0,510963#3,275722#-0,359211#0,5900924#3,152019#-0,2051624#0,3279067#3,137702#-0,3913324#0,5670614#3,405364#-0,1003653#0,5058758#3,241844#-0,2135197#0,578436#3,562863#-0,03478783#0,206896#3,332699#-0,04913766#0,1279597#3,315277#-0,02253071#0,1198171#3,322319#-0,06512324#0,06604789#3,297374#-0,09512281#-0,3136284#3,40375#0,005059165#-0,3386746#3,453652#0,00762175#-0,6217141#3,301611#-0,1865216#-0,5865318#3,542858#0,04008005#-0,6564861#3,236897#-0,224317#-0,6443393#3,626746#1  
frame60 #-0,2034549#0,7993849#3,451665#-0,1407652#0,6380111#3,412424# -0,3582214#0,5720853#3,252108#-0,3603345#0,7070701#3,154439#-0,3222435#0,520646#3,277988#-0,3759641#0,6443237#3,175147#-0,2065631#0,3377667#3,140138#-0,4080855#0,6212927#3,428517#-0,1049126#0,4867842#3,241269#-0,2302728#0,6326673#3,586061#-0,0369079#0,2136734#3,339272#-0,04966539#0,130109#3,319277#-0,02279021#0,118728#3,322692#-0,06381524#0,06681927#3,304085#-0,1308105#-0,3059394#3,399088#0,002110654#-0,3321629#3,456702#0,002388716#-0,6028537#3,304041#-0,1874016#-0,5868074#3,539637#-0,07608721#-0,650435#3,281914#-0,2305955#-0,6411508#3,623107#1  
frame61 #-0,2053367#0,7356014#3,451602#-0,1479895#0,5657541#3,397539# -0,358406#0,5706314#3,252525#-0,3675682#0,6347752#3,13955#-0,3225071#0,5193053#3,278348#-0,3831883#0,5720667#3,160246#-0,2132235#0,3334529#3,139924#-0,4153098#0,5490356#3,413621#-0,1087136#0,4792994#3,241508#-0,237497#0,5604103#3,571177#-0,05670707#0,1807883#3,346708#-0,06951319#0,09991861#3,328093#-0,03953503#0,09385064#3,321297#-0,08831555#0,03695374#3,324861#-0,1003162#-0,3588847#3,427551#-0,04141171#-0,3771639#3,478606#0,01913475#-0,6444905#3,284495#-0,2208818#-0,6355665#3,555872#0,01763211#-0,5848759#3,230829#-0,2378796#-0,6494766#3,635765#1  
frame62 #-0,213598#0,7300518#3,448127#-0,1539683#0,5666515#3,394999# -0,3577018#0,5581224#3,252021#-0,373547#0,6356726#3,136998#-0,3218238#0,506826#3,27783#-0,3891671#0,5729641#3,157693#-0,2259371#0,3150323#3,138538#-0,4212885#0,549933#3,411073#-0,1258433#0,4628625#3,241372#-0,2434758#0,5613077#3,568637#-0,05764435#0,181904#3,345576#-0,07028649#0,1005032#3,328226#-0,04142246#0,0938801#3,320186#-0,08825876#0,03814878#3,325879#-0,2633063#-0,3038767#3,390986#-0,04231176#-0,3722656#3,47858#-0,0025086#-0,5898818#3,305991#-0,2185273#-0,6333867#3,552134#-0,08034883#-0,6377077#3,283525#-0,1931967#-0,6535592#3,625253#1  
frame63 #-0,2283698#0,7211508#3,457867#-0,1610233#0,5645469#3,394906# -0,4511742#0,5342701#3,284213#-0,380602#0,6335682#3,136886#-0,4152936#0,4829701#3,310024#-0,3962221#0,5708596#3,157581#-0,2999596#0,3006382#3,172641#-0,4283435#0,5478286#3,410967#-0,1315158#0,455019#3,2441#-0,2505308#0,5592032#3,568543#-0,05950597#0,1783557#3,344133#-0,07118308#0,09639595#3,326668#-0,04253393#0,08732837#3,317464#-0,08791648#0,03418184#3,324172#-0,1904298#-0,3217596#3,413553#-0,03337684#-0,3156376#3,542918#-0,000629654#-0,5883358#3,304063#-0,1920402#-0,6036333#3,539589#-0,07784714#-0,6363621#3,281663#-0,1980097#-0,6512814#3,603079#1  
frame64 #-0,2659049#0,7700505#3,477158#-0,1949961#0,6146814#3,412871# -0,4422046#0,5353751#3,287734#-0,4145748#0,6837026#3,154796#-0,4062848#0,484019#3,313572#-0,4301949#0,620994#3,175492#-0,2909983#0,3017621#3,17627#-0,4623164#0,597963#3,428896#-0,1374986#0,4499252#3,247895#-0,2845036#0,6093376#3,586509#-0,06007428#0,1959219#3,341241#-0,0672729#0,1099067#3,320995#-0,04014651#0,08856165#3,317114#-0,07445513#0,04899837#3,302211#-0,2631796#-0,2817673#3,394432#-0,001345262#-0,2938993#3,525636#-0,0009589095#-0,5862393#3,304047#-0,1878523#-0,5877688#3,535259#0,02520373#-0,649302#3,263718#-0,2009889#-0,646361#3,597005#1  
frame65 #-0,2670315#0,7634991#3,47504#-0,1950994#0,60799#3,411438# -0,4410099#0,5361888#3,290671#-0,4146782#0,6770112#3,153315#-0,4050643#0,4847959#3,316529#-0,4302983#0,6143026#3,17401#-0,2898449#0,3026451#3,17933#-0,4624197#0,5912716#3,427431#-0,1436341#0,4454068#3,255141#-0,284607#0,6026462#3,585075#-0,06062554#0,1969811#3,34063#-0,06750476#0,1111952#3,320337#-0,03947081#0,08863191#3,318076#-0,07507461#0,04973428#3,299073#-0,2634071#-0,2817475#3,394537#-0,02638705#-0,2989312#3,522999#-0,003477115#-0,5796444#3,303607#-0,1887429#-0,5875574#3,536245#0,02259804#-0,6443309#3,2664#-0,2003665#-0,6459969#3,597152#1  
