frame1 #-0,02432762#0,8885243#3,229119#-0,07596213#0,7102063#3,25016# 0,06150312#0,1524555#3,16309#-0,04056296#0,348562#3,03669#0,07843371#0,2272638#3,162459#-0,09429331#0,3659091#3,041815#0,1292255#0,4516885#3,17442#-0,2554843#0,4179505#3,071041#0,0826074#0,6210297#3,301939#-0,2344425#0,5938973#3,186375#-0,1026066#0,3429102#3,262876#-0,09270377#0,272532#3,226293#-0,02416322#0,20555#3,236213#-0,1668357#0,1933404#3,203776#-0,03293053#-0,2565978#2,987171#-0,1867713#-0,2846858#3,187817#-0,0289652#-0,6129586#2,827888#-0,03399402#-0,6260155#2,807675#0,004573014#-0,6622876#2,739782#-0,05796007#-0,6953913#2,754836#1  
frame12 #-0,01182473#0,8882738#3,226789#-0,06342238#0,7079936#3,241488# -0,101986#0,4652222#3,100531#-0,03435535#0,340646#3,054949#-0,04450324#0,4577921#3,109584#-0,09901665#0,3418539#3,04518#0,1279449#0,435502#3,150521#-0,2554311#0,4213514#3,07265#0,09289595#0,6213092#3,311936#-0,2291133#0,5920318#3,186532#-0,09206267#0,3451278#3,256811#-0,08265687#0,2746511#3,22436#-0,0131132#0,1994991#3,233914#-0,1559643#0,2015604#3,204029#-0,03104962#-0,2566395#2,98991#-0,183817#-0,2837629#3,191616#-0,02523115#-0,6079707#2,828286#-0,04732995#-0,6083614#2,826735#0,002282362#-0,646544#2,761086#-0,05415949#-0,6935647#2,7863#1  
frame13 #-0,01073792#0,8964555#3,222214#-0,06140694#0,7116464#3,239412# -0,1051354#0,4658776#3,10167#-0,03338113#0,3405749#3,051623#-0,04752924#0,4581819#3,110326#-0,09810869#0,3453665#3,043919#0,1252891#0,4350947#3,150067#-0,2558561#0,4218159#3,07626#0,09567554#0,6212386#3,309448#-0,2279043#0,5924501#3,187639#-0,08953019#0,3465549#3,256146#-0,08068936#0,2756076#3,224361#-0,01133804#0,1993442#3,233628#-0,1540264#0,203866#3,205085#-0,03059445#-0,2564921#2,990709#-0,183385#-0,2805962#3,192106#-0,02470995#-0,6069513#2,827955#-0,04928993#-0,6088636#2,826001#0,001925616#-0,645496#2,760719#-0,05395896#-0,6933267#2,78446#1  
frame14 #-0,01119535#0,8965791#3,221702#-0,06120678#0,7116426#3,239449# -0,09921651#0,4379443#3,104025#-0,03371795#0,3406613#3,053586#-0,04062711#0,4372038#3,109919#-0,09874018#0,3423122#3,048722#0,1351411#0,4349825#3,141368#-0,2562627#0,4208975#3,077425#0,09918196#0,6205966#3,306146#-0,2273277#0,5924079#3,188231#-0,08801477#0,3470725#3,255707#-0,07962587#0,2763197#3,224214#-0,01000071#0,1992715#3,233185#-0,153493#0,2047249#3,205099#-0,02799557#-0,2555719#2,990832#-0,1810762#-0,2819932#3,193023#-0,02422706#-0,6062737#2,827672#-0,04832461#-0,6109754#2,823983#0,001319284#-0,6445833#2,76046#-0,02277827#-0,649285#2,75677#1  
frame15 #-0,009122412#0,9016367#3,214041#-0,05865053#0,7142465#3,239741# -0,09618749#0,406198#3,106753#-0,06172965#0,3025686#3,033312#-0,03758498#0,4126558#3,110622#-0,1119815#0,3320932#3,043006#0,1382226#0,4320291#3,135998#-0,262737#0,4206672#3,085859#0,1011075#0,6227012#3,303659#-0,2245624#0,5945374#3,193162#-0,08358561#0,3511102#3,255672#-0,07585967#0,280614#3,224419#-0,007281522#0,2023393#3,234001#-0,149666#0,2089879#3,204507#-0,02305757#-0,2566324#2,991721#-0,1791429#-0,2843345#3,193711#-0,02229141#-0,6084492#2,825561#-0,0465001#-0,6136587#2,822277#0,001751311#-0,6465421#2,758207#-0,02245738#-0,6517515#2,754923#1  
frame16 #-0,01072685#0,9042032#3,215781#-0,05858484#0,7150713#3,240909# -0,09483515#0,4029379#3,104819#-0,0660166#0,3240313#3,028062#-0,03587976#0,4092242#3,109835#-0,1282647#0,3408334#3,037813#0,1409864#0,4280833#3,13865#-0,2785338#0,399938#3,12767#0,1031191#0,624708#3,300694#-0,2257553#0,5948482#3,199208#-0,08114017#0,3530333#3,25631#-0,07401182#0,283025#3,225013#-0,004415486#0,2042257#3,23432#-0,1486468#0,2103383#3,204831#-0,01830966#-0,2577811#2,995492#-0,1775443#-0,2846386#3,195104#-0,02080714#-0,607546#2,826442#-0,04562934#-0,6144515#2,821687#0,001271235#-0,6456476#2,758339#-0,05202172#-0,7026015#2,791902#1  
frame17 #-0,03257332#0,9212852#3,220014#-0,05878135#0,7162217#3,241441# 0,06559725#0,3571816#3,082767#-0,1005608#0,3008209#3,058507#0,08901174#0,3879124#3,153075#-0,1519208#0,2907791#3,097655#0,1592552#0,4801047#3,377774#-0,2868314#0,3985062#3,1543#0,1044002#0,6283849#3,29511#-0,230465#0,5964925#3,212748#-0,07857119#0,3539345#3,256634#-0,07321659#0,2840396#3,225026#-0,00225701#0,2058038#3,233046#-0,1483448#0,2105796#3,205314#-0,01649513#-0,2593786#2,999468#-0,1740304#-0,2882849#3,198678#-0,02027169#-0,6067141#2,8267#-0,0443248#-0,6165867#2,821169#-0,002249425#-0,64514#2,75683#-0,02630254#-0,6550126#2,751299#1  
frame18 #-0,03722341#0,9255046#3,222171#-0,06018385#0,7180784#3,245273# 0,1160137#0,2893078#3,145314#-0,1621591#0,2193397#3,090287#0,07959861#0,3337922#3,142494#-0,1956407#0,2636037#3,11153#0,1639715#0,4421208#3,354563#-0,2960855#0,3963957#3,189019#0,1042933#0,6294611#3,288272#-0,2369009#0,6010921#3,228237#-0,07618313#0,3543255#3,257598#-0,07283492#0,284725#3,225178#7,444201E-05#0,2071235#3,230682#-0,1485396#0,2109112#3,206871#-0,01183641#-0,2594874#3,005192#-0,1679617#-0,2887678#3,198719#-0,01791945#-0,6048434#2,826234#-0,04282016#-0,6175094#2,818351#-0,004880879#-0,6429568#2,755633#-0,02978159#-0,6556228#2,747749#1  
frame19 #-0,04185855#0,9322272#3,225161#-0,06020211#0,7208298#3,249529# 0,1089686#0,1926925#3,103848#-0,2372403#0,2237507#3,096957#0,1210977#0,2479655#3,161705#-0,2529397#0,2697343#3,131846#0,157485#0,4137843#3,349007#-0,3000377#0,407685#3,250242#0,1046073#0,6310087#3,281279#-0,2461096#0,6119149#3,264049#-0,07225544#0,3573399#3,259217#-0,07290825#0,28847#3,225214#0,002348744#0,2128015#3,224369#-0,1510952#0,2132326#3,210525#-0,004609039#-0,2561326#3,014763#-0,1609225#-0,2883419#3,202028#-0,01326656#-0,6029786#2,823899#-0,04149357#-0,6138548#2,814198#-0,009362979#-0,6415344#2,751217#-0,03758999#-0,6524105#2,741516#1  
frame20 #-0,04915202#0,9357065#3,22609#-0,05905712#0,7321909#3,255762# 0,1490782#0,1692752#3,147471#-0,1824064#0,1981476#3,105044#0,1465022#0,2207938#3,187659#-0,2376658#0,2478849#3,152996#0,1697002#0,4191535#3,344073#-0,2869248#0,3859559#3,273592#0,1026069#0,6316181#3,267985#-0,2474708#0,6158177#3,274072#-0,07010274#0,362647#3,263965#-0,07310843#0,2929176#3,228557#0,003024482#0,2157841#3,223829#-0,1544617#0,2175309#3,22258#-0,001543956#-0,2530214#3,014795#-0,1596718#-0,273769#3,214654#-0,002297241#-0,5926777#2,812421#-0,06388089#-0,6245067#3,203362#-0,00341527#-0,6315444#2,738953#-0,05670214#-0,6336707#3,108482#1  
frame21 #-0,05996636#0,9352119#3,229903#-0,06461996#0,7326888#3,263085# 0,1776966#0,1541707#3,188204#-0,2534947#0,1414507#3,143589#0,1970708#0,224276#3,237473#-0,2496539#0,1895726#3,187015#0,1746584#0,4209061#3,337178#-0,2839874#0,3719348#3,296927#0,09870935#0,6325653#3,257355#-0,250555#0,6161849#3,289533#-0,06913173#0,3652173#3,270262#-0,0741545#0,2960824#3,233855#0,003239753#0,2177701#3,223486#-0,1561826#0,2190243#3,236681#0,004906608#-0,2454418#2,992805#-0,151369#-0,2868958#3,222661#0,008123863#-0,6050132#2,790252#-0,0755463#-0,6366529#3,194513#0,001203068#-0,6441645#2,716465#-0,06966783#-0,6371086#3,098304#1  
