frame1 #0,00708938#0,8868763#3,250562#-0,06774224#0,7238638#3,24601# 0,04236976#0,1046267#3,105739#0,04437096#0,3501067#3,102038#0,07842001#0,1776721#3,162229#-0,04583663#0,3197456#3,07434#0,07769692#0,4505806#3,18206#-0,2254952#0,4098243#3,071152#0,06979876#0,6803513#3,350841#-0,2160685#0,6037071#3,166744#-0,09394258#0,3372744#3,255293#-0,08793242#0,2601234#3,243158#-0,02678455#0,204506#3,270295#-0,1554248#0,1700162#3,210564#-0,0374205#-0,3030049#3,10281#-0,1846922#-0,2783352#3,202638#-0,01660883#-0,6095207#2,879266#-0,03249258#-0,6318907#2,867159#0,02962842#-0,6537426#2,811091#0,01374467#-0,6761125#2,798984#1  
frame12 #-0,1780891#0,9573259#3,34726#-0,09219626#0,8013088#3,347476# 0,5200899#0,554163#2,916982#-0,5843022#0,6565856#3,76995#0,4418581#0,5513202#2,967029#-0,5139624#0,6697516#3,745784#0,2445036#0,5595888#3,170136#-0,3646109#0,5982721#3,643498#0,0450059#0,6812247#3,267127#-0,2718233#0,706214#3,526963#-0,09552599#0,4483972#3,335434#-0,1261856#0,3862997#3,299301#-0,05735058#0,3134327#3,252249#-0,2083298#0,3059073#3,322535#-0,08095922#0,002864718#2,930632#-0,1990544#-0,166111#3,247362#-0,1762179#-0,4138182#2,702518#-0,04362707#-0,6061358#3,293237#-0,2208516#-0,465241#2,630581#-0,1147674#-0,6685397#3,307245#1  
frame13 #-0,1805055#0,9585242#3,352989#-0,09152164#0,8065713#3,355306# 0,4840539#0,6918925#2,898812#-0,3959346#0,8291753#3,723866#0,4078928#0,6599669#2,952482#-0,3604392#0,8097981#3,660691#0,2557966#0,6026193#3,130261#-0,3522588#0,6121573#3,640825#0,04084971#0,687775#3,26529#-0,2601939#0,7192585#3,525274#-0,08849703#0,4560283#3,3418#-0,1192414#0,3942828#3,30513#-0,05138337#0,322879#3,256628#-0,1943972#0,3182259#3,331795#-0,09308532#0,008970852#2,936062#-0,2036519#-0,1421729#3,266814#-0,2123984#-0,3200231#2,752121#-0,05091707#-0,5876975#3,290911#-0,2573052#-0,364086#2,674646#-0,1147927#-0,6630334#3,305223#1  
frame14 #-0,1847018#0,9578061#3,357501#-0,09243509#0,8071738#3,358205# 0,4320695#0,8303572#2,864966#-0,3836944#0,8156193#3,733106#0,3844531#0,7818298#2,893939#-0,3531306#0,8041127#3,684497#0,2524399#0,6318204#3,089011#-0,3512869#0,6133389#3,639946#0,03809515#0,6920444#3,261501#-0,2597595#0,7198148#3,525119#-0,08945299#0,4603503#3,348762#-0,1215768#0,3993504#3,312568#-0,05494183#0,3269344#3,261438#-0,1969302#0,3212152#3,341624#-0,1484303#0,03334195#2,927113#-0,2048166#-0,1421042#3,275172#-0,2102397#-0,2918694#2,791834#-0,05158941#-0,5855342#3,292962#-0,2787224#-0,3206827#2,724035#-0,1064555#-0,6638352#3,289723#1  
frame15 #-0,1840372#0,9602616#3,360593#-0,09186833#0,8107519#3,361091# 0,3835866#0,8670875#2,86961#-0,4696838#0,9596753#3,830189#0,3334472#0,7892764#2,910328#-0,4374623#0,9182693#3,789154#0,2509665#0,646252#3,07279#-0,3407979#0,7940515#3,679683#0,03691041#0,6947658#3,257403#-0,2573118#0,7242804#3,525486#-0,08777229#0,4563276#3,350929#-0,1206718#0,3918163#3,314843#-0,05168429#0,3135843#3,275989#-0,1970404#0,3211105#3,340108#-0,1811703#-0,01040181#2,913539#-0,2208987#-0,1133263#3,307401#-0,3361227#-0,2982402#2,767996#-0,06748161#-0,5579919#3,293411#-0,3924278#-0,3325799#2,690711#-0,1027426#-0,6530414#3,28673#1  
frame16 #-0,1850318#0,956021#3,363081#-0,09232389#0,8089395#3,363682# 0,2672706#0,9061782#2,8765#-0,4376899#1,077011#3,836236#0,2629514#0,8411963#2,912573#-0,4091573#1,001463#3,77604#0,2196395#0,6780736#3,034212#-0,336957#0,8377414#3,676198#0,02996894#0,6974209#3,253671#-0,2569753#0,7234209#3,526089#-0,08224923#0,4522271#3,354155#-0,1152815#0,3872759#3,317864#-0,04842288#0,3115386#3,27817#-0,1891772#0,3211742#3,340909#-0,1954932#0,02393288#2,936148#-0,2187304#-0,1119285#3,31038#-0,4138189#-0,2375967#2,838802#-0,06789215#-0,5576795#3,295463#-0,4695339#-0,2777713#2,781934#-0,1029748#-0,65365#3,286764#1  
frame17 #-0,1818547#0,9564415#3,370055#-0,09421454#0,8065879#3,369077# 0,1737443#1,059661#2,901276#-0,3743787#1,209619#3,68623#0,1566637#0,9881388#2,907167#-0,3663432#1,130824#3,679131#0,1749662#0,7283654#2,992612#-0,343346#0,9053178#3,672339#0,02758163#0,6932378#3,248378#-0,2574235#0,7217749#3,528988#-0,06998229#0,4476441#3,359793#-0,1013#0,381245#3,322901#-0,02667801#0,3041846#3,293362#-0,1745614#0,3220523#3,337417#-0,2197298#0,01263428#3,005862#-0,2073841#-0,1078759#3,338632#-0,4392957#-0,2588446#2,970572#-0,08145384#-0,563284#3,306181#-0,4970082#-0,3001294#2,914101#-0,1114684#-0,6589318#3,278726#1  
frame18 #-0,1826848#0,9588715#3,371345#-0,0952839#0,8077033#3,372862# 0,1309277#1,061805#2,925582#-0,3559458#1,257269#3,610132#0,1222523#0,9886127#2,920468#-0,3644226#1,188758#3,636456#0,1709757#0,7276114#2,987764#-0,340082#0,9141663#3,648426#0,03018801#0,6926373#3,239509#-0,2579348#0,7227284#3,532033#-0,05728502#0,4646528#3,362953#-0,08460299#0,4035381#3,325902#-0,01067148#0,3184992#3,288764#-0,1521022#0,352817#3,34264#-0,2294034#0,005414686#3,016762#-0,1672695#-0,07706127#3,326312#-0,4553576#-0,2620197#2,991578#-0,07946985#-0,5425264#3,302397#-0,514382#-0,303995#2,935723#-0,1092989#-0,6428738#3,292198#1  
frame19 #-0,174421#0,9571391#3,386427#-0,1016665#0,7966663#3,386424# 0,04318455#1,043123#2,948109#-0,3760665#1,249406#3,509595#0,04080656#0,9696627#2,933629#-0,3423348#1,186889#3,491415#0,1177826#0,7342094#2,965274#-0,3756823#0,933521#3,59656#0,03451617#0,6908114#3,209985#-0,2371798#0,7971506#3,565454#-0,05469617#0,4944716#3,377389#-0,08700036#0,4442687#3,347666#-0,01263588#0,3310047#3,288803#-0,1514051#0,3966627#3,381415#-0,2457166#-0,07639906#3,12253#-0,1726625#-0,03125602#3,334854#-0,5822608#-0,3853969#3,16215#-0,07965227#-0,4943881#3,304746#-0,6150602#-0,4423769#3,116656#-0,1447465#-0,5364568#3,256532#1  
frame20 #-0,1564806#1,007782#3,396072#-0,09194902#0,8413949#3,398626# -0,02954587#1,016892#3,03872#-0,2986304#1,073243#3,319524#-0,0365424#0,9439685#3,031705#-0,3183349#1,014804#3,361931#0,07823209#0,712925#2,963186#-0,410196#0,9224015#3,527112#-0,0006542532#0,6768097#3,213989#-0,2429864#0,8150408#3,530169#-0,0452824#0,5298143#3,390299#-0,07862832#0,4703983#3,358825#-0,01729349#0,3570238#3,289495#-0,1292525#0,4154957#3,410148#-0,1226364#-0,2177986#3,313716#-0,2718938#-0,1232218#3,217217#-0,0131791#-0,5836328#3,322246#-0,07971178#-0,5484346#3,289557#-0,07613789#-0,6557686#3,290649#-0,1047845#-0,6490153#3,304312#1  
frame21 #-0,2471276#0,9082369#3,363932#-0,1736783#0,7671503#3,442613# -0,1224689#0,9126574#3,085016#-0,3432148#0,9365066#3,160604#-0,1297912#0,8401881#3,066423#-0,343448#0,8991869#3,214585#-0,01574586#0,6657867#2,989447#-0,3441475#0,787228#3,389884#-0,006102851#0,6079144#3,233798#-0,2505553#0,7259328#3,578103#-0,07592452#0,5123614#3,430942#-0,1030607#0,4556724#3,406675#-0,02855677#0,3143878#3,293428#-0,1265433#0,3577768#3,495278#-0,1057315#-0,2189617#3,349898#-0,2717401#-0,1865829#3,309867#-0,02853179#-0,5771115#3,318281#-0,3168024#-0,5244551#3,555173#-0,063721#-0,6450048#3,312005#-0,4061616#-0,577271#3,553915#1  
