frame12 #-0,01488989#0,9594666#3,239032#-0,05792025#0,7538444#3,27112# 0,1772092#0,2042296#3,203477#-0,074264#0,2087926#3,075362#0,1446247#0,2331235#3,252862#-0,1284912#0,2609978#3,099849#0,1366274#0,4355624#3,390771#-0,2911728#0,4176137#3,187345#0,1045924#0,6475476#3,316211#-0,2323597#0,6338541#3,231149#-0,07189226#0,3730158#3,281403#-0,06238182#0,3027877#3,236155#0,00719936#0,2255746#3,245956#-0,1347811#0,2331576#3,209995#0,01026934#-0,260188#3,05314#-0,1640815#-0,2463162#3,22136#0,03155635#-0,6097597#2,86407#-0,05875749#-0,626958#3,287412#0,0507518#-0,6485034#2,79166#-0,109922#-0,6728322#3,307827#1  
frame13 #-0,04281198#0,9592982#3,244977#-0,06805339#0,7578037#3,275666# 0,1811478#0,1499524#3,254064#-0,2313222#0,1989194#3,115003#0,1684778#0,2036353#3,291541#-0,2471343#0,2500842#3,141474#0,1420455#0,4317761#3,383299#-0,2945707#0,4035784#3,234914#0,1028722#0,6472505#3,306781#-0,2474796#0,6369891#3,258565#-0,07200413#0,3763504#3,285303#-0,0660513#0,3063374#3,237898#0,007168912#0,2270718#3,244584#-0,1429394#0,2344318#3,217031#0,009780203#-0,2635995#3,059251#-0,1607605#-0,2542337#3,228724#0,03206142#-0,6092891#2,863389#-0,05797096#-0,6260654#3,291646#0,04282544#-0,6478041#2,789759#-0,1096848#-0,673225#3,30484#1  
frame14 #-0,05115269#0,9622806#3,247422#-0,07620255#0,7571594#3,279681# 0,2160926#0,104469#3,28607#-0,2767616#0,1504721#3,108993#0,2054933#0,1894351#3,315261#-0,2672108#0,1880773#3,193219#0,1469657#0,4278133#3,364844#-0,3020074#0,3916107#3,252855#0,09298678#0,6450536#3,285522#-0,2578231#0,6338224#3,28049#-0,07227197#0,3783343#3,290862#-0,071154#0,3088169#3,242364#0,006050252#0,2292013#3,24321#-0,1523843#0,2332673#3,232789#0,01034292#-0,2605567#3,055279#-0,1597211#-0,255412#3,2345#0,03516874#-0,6044106#2,861215#-0,05727202#-0,6183033#3,285244#0,03644167#-0,6428591#2,787221#-0,1027347#-0,6702895#3,301229#1  
frame15 #-0,06988345#0,9540093#3,245689#-0,07948655#0,7572855#3,284089# 0,2649736#0,1007038#3,319327#-0,3549159#0,1632377#3,171481#0,2469371#0,1865733#3,32499#-0,3421646#0,2422186#3,21682#0,157104#0,4224843#3,34411#-0,3101846#0,4131975#3,298414#0,08480296#0,6424376#3,270844#-0,2655199#0,6339952#3,309825#-0,07124554#0,3793579#3,295346#-0,07596537#0,3100647#3,246374#0,002874013#0,2312045#3,240351#-0,1582753#0,2330159#3,24365#0,01218087#-0,2561995#3,02769#-0,1596509#-0,2561346#3,245603#0,04077423#-0,6030244#2,858314#-0,05637086#-0,6174026#3,285624#0,03253643#-0,6412504#2,785338#-0,09984826#-0,6718559#3,295471#1  
frame16 #-0,0954081#0,962651#3,259176#-0,08075711#0,759648#3,287009# 0,3214334#0,1082348#3,337#-0,4904589#0,08881875#3,249941#0,2823668#0,1935268#3,327866#-0,4372355#0,1630233#3,23332#0,1629023#0,4226729#3,324831#-0,3294944#0,3842855#3,327909#0,06872066#0,6420836#3,251925#-0,2682781#0,6350385#3,334226#-0,0718178#0,3828018#3,299289#-0,08383141#0,3135496#3,251412#-0,008211729#0,2385276#3,233496#-0,1672389#0,2357897#3,260051#0,01269048#-0,2648011#3,004282#-0,1576758#-0,2582091#3,257498#0,04530741#-0,6049242#2,855402#-0,05354914#-0,6193818#3,28763#0,02754321#-0,6429018#2,784704#-0,100361#-0,6702952#3,297519#1  
frame17 #-0,09990995#0,9589332#3,256781#-0,08412702#0,7622573#3,289958# 0,372086#0,1445399#3,335352#-0,5715209#0,09506025#3,350047#0,3258254#0,2051159#3,322051#-0,5077336#0,1809343#3,342299#0,1891589#0,4214479#3,286042#-0,3560084#0,3960492#3,37797#0,06391919#0,6431025#3,242957#-0,2639166#0,6359251#3,344047#-0,07385327#0,3845749#3,302117#-0,08861737#0,3150445#3,254664#-0,01342858#0,2417124#3,231056#-0,1702109#0,2370311#3,267637#-0,003035768#-0,2274466#2,986882#-0,1595617#-0,2588867#3,260474#0,04865858#-0,6040238#2,854963#-0,05439173#-0,6167668#3,28667#0,0402035#-0,6748933#2,798879#-0,09837274#-0,6692156#3,298323#1  
frame18 #-0,1096729#0,95899#3,260904#-0,08658549#0,7693239#3,293818# 0,4262422#0,1711832#3,322925#-0,6278282#0,1429214#3,452944#0,3727837#0,2286775#3,276913#-0,5518047#0,2142265#3,43993#0,2052736#0,4252256#3,27414#-0,3746351#0,4139459#3,419132#0,06146265#0,6444539#3,240236#-0,2600059#0,6424032#3,361815#-0,08043466#0,3910832#3,307549#-0,09955245#0,3213392#3,261805#-0,02638158#0,2492883#3,231005#-0,1801697#0,2433887#3,280892#-0,01017599#-0,2280148#2,966954#-0,1640288#-0,2592576#3,263364#0,04932386#-0,6041905#2,854971#-0,05517069#-0,6135995#3,286066#0,0389424#-0,6653064#2,796439#-0,09770782#-0,6682361#3,297666#1 
frame19 #-0,1309958#0,9554327#3,266709#-0,09143261#0,7737541#3,298222# 0,5121213#0,2735497#3,219008#-0,6254137#0,308854#3,636954#0,4385096#0,3309961#3,217662#-0,5622982#0,3530395#3,584185#0,2558786#0,4753167#3,242814#-0,3959925#0,482853#3,499456#0,05460678#0,6542788#3,236218#-0,2604977#0,652202#3,391046#-0,08353688#0,4067672#3,313744#-0,1064376#0,3396024#3,27103#-0,03380843#0,2632776#3,233756#-0,1833066#0,2647972#3,295168#-0,03815606#-0,2013891#2,921868#-0,17486#-0,2593802#3,276577#-0,004163363#-0,5452108#2,841195#-0,09560929#-0,5711948#3,309377#-0,01096894#-0,615164#2,786156#-0,150828#-0,6137559#3,31597#1  
frame20 #-0,1362509#0,9562495#3,26478#-0,09341028#0,7800473#3,300462# 0,5386912#0,3276416#3,167989#-0,5956692#0,4021637#3,700752#0,4572992#0,3738873#3,172463#-0,5370281#0,4332978#3,634607#0,2651618#0,4950209#3,225402#-0,3822478#0,5319514#3,519956#0,05060942#0,6584798#3,234689#-0,2623759#0,6534351#3,399589#-0,08403653#0,411695#3,315135#-0,1076778#0,3436987#3,273308#-0,03587346#0,2711159#3,237394#-0,1841487#0,2672616#3,296552#-0,06471093#-0,1543266#2,911999#-0,1868373#-0,2521719#3,28542#-0,06380438#-0,5252706#2,810706#0,03921618#-0,6047033#3,356276#-0,09970431#-0,5846923#2,746244#-0,0006070621#-0,6614925#3,365886#1  
frame21 #-0,1437044#0,9635054#3,266966#-0,09624679#0,7858862#3,304071# 0,5556235#0,387448#3,108016#-0,5404496#0,4762582#3,65783#0,4719724#0,4277292#3,122397#-0,5338029#0,4687448#3,648064#0,2551476#0,5420819#3,197843#-0,4135877#0,5823039#3,547099#0,04871147#0,6636277#3,234452#-0,2639946#0,664261#3,409813#-0,08742628#0,4249602#3,322098#-0,1116702#0,3578472#3,282774#-0,04019894#0,2854021#3,246794#-0,1877806#0,2798362#3,306064#-0,0842494#-0,1266127#2,903179#-0,2163627#-0,1668311#3,293572#-0,1263694#-0,4922529#2,778805#-0,03446513#-0,5725476#3,301945#-0,1525897#-0,556064#2,714362#-0,07098919#-0,6107597#3,239138#1  
frame22 #-0,156313#0,958317#3,271054#-0,0972495#0,7889701#3,305795# 0,5716118#0,4596133#3,043639#-0,5369681#0,5536#3,745316#0,4849594#0,4823272#3,064285#-0,4893587#0,5662389#3,697224#0,2568987#0,5506603#3,185293#-0,4011849#0,6076187#3,535218#0,04549654#0,6741048#3,234035#-0,2663241#0,6750919#3,422808#-0,08333521#0,4375212#3,325668#-0,1066316#0,3718928#3,289146#-0,03353602#0,3007132#3,253312#-0,1820371#0,2928992#3,313477#-0,08319575#-0,06051715#2,914009#-0,211609#-0,1389802#3,303545#-0,1742905#-0,4432042#2,765464#-0,0400967#-0,5485353#3,306867#-0,2132491#-0,4954741#2,696971#-0,06327864#-0,6389375#3,291659#1  
frame23 #-0,1626536#0,9571102#3,270654#-0,09894495#0,7903267#3,308017# 0,5788845#0,5397819#3,004948#-0,5196144#0,6491646#3,781119#0,4872254#0,54909#3,027514#-0,4840671#0,6624056#3,724329#0,2495014#0,5962319#3,162833#-0,4093286#0,6251875#3,555723#0,04099725#0,6815386#3,23279#-0,2666134#0,6770061#3,426675#-0,08650983#0,4445321#3,327345#-0,110336#0,3799583#3,292434#-0,03953888#0,3070544#3,254818#-0,1842714#0,302929#3,318863#-0,08889897#0,01520941#2,928408#-0,2032797#-0,1272357#3,298726#-0,1963984#-0,3899397#2,755622#-0,04069076#-0,53851#3,31005#-0,2570975#-0,4294336#2,693025#-0,04919182#-0,6326406#3,294894#1  
frame24 #-0,1765284#0,9601554#3,27545#-0,1022113#0,7960279#3,310072# 0,5624865#0,6247686#2,966518#-0,5097451#0,6941105#3,773773#0,4690302#0,6141133#2,991649#-0,474322#0,7073053#3,717182#0,2491828#0,6120843#3,15131#-0,4081951#0,633535#3,556838#0,03496235#0,6954448#3,229918#-0,2646814#0,6846893#3,428761#-0,08340467#0,4537233#3,33014#-0,1057374#0,3887231#3,297695#-0,03536942#0,3161536#3,259751#-0,1743471#0,3159744#3,327758#-0,09057609#0,02172995#2,939578#-0,1990172#-0,111746#3,300659#-0,2485823#-0,3112637#2,782937#-0,06805985#-0,5343881#3,293131#-0,2909336#-0,3657524#2,715689#-0,1101767#-0,573759#3,232329#1  
frame25 #-0,1864419#0,9549693#3,280325#-0,1048087#0,7967303#3,311841# 0,5364152#0,7055781#2,919837#-0,4932621#0,7961342#3,802192#0,4447916#0,6732112#2,970917#-0,4589942#0,7913407#3,743824#0,2495899#0,6382895#3,138663#-0,4093719#0,6737074#3,603478#0,02857526#0,6961442#3,227682#-0,2646488#0,7242076#3,476855#-0,08632361#0,4673369#3,336468#-0,1113762#0,4049761#3,311355#-0,03853065#0,3200631#3,264063#-0,1853144#0,3523808#3,359718#-0,1233815#0,03440331#2,933127#-0,204189#-0,0734261#3,322721#-0,253099#-0,2483192#2,808183#-0,07823215#-0,4964761#3,300518#-0,3061162#-0,3033262#2,748963#-0,1272942#-0,536127#3,244967#1  
frame26 #-0,2000715#0,9525411#3,289787#-0,1135238#0,7982372#3,319189# 0,4384807#0,8623657#2,8735#-0,3967099#0,8817874#3,747357#0,3921811#0,8088484#2,907346#-0,3952811#0,8295721#3,706124#0,2582993#0,6705691#3,07894#-0,3909948#0,6729264#3,595855#0,02362158#0,7001094#3,224256#-0,2617565#0,7256436#3,479472#-0,08614267#0,4706526#3,338332#-0,1095022#0,4075314#3,314652#-0,03774703#0,3224349#3,265893#-0,1792465#0,3519257#3,361947#-0,1759535#0,02940701#2,93118#-0,1929466#-0,07235181#3,320173#-0,3896496#-0,2189588#2,83325#-0,07324124#-0,4960945#3,301012#-0,4407412#-0,2592648#2,778442#-0,1243329#-0,5364005#3,246203#1  
frame27 #-0,203376#0,9516934#3,29254#-0,1147487#0,7991046#3,32308# 0,3618087#0,9175963#2,854434#-0,49219#0,9149691#3,809203#0,3303865#0,8478744#2,891059#-0,4630155#0,8748252#3,763442#0,2460577#0,6950818#3,046494#-0,3512349#0,7624615#3,654407#0,02074663#0,7013462#3,223213#-0,2544596#0,7253484#3,479089#-0,085101#0,4678996#3,34204#-0,1065101#0,4024835#3,320636#-0,03899782#0,3215791#3,27178#-0,1652538#0,3369049#3,367172#-0,2364006#0,008858602#2,910228#-0,1913061#-0,08645976#3,333109#-0,4351686#-0,2483357#2,862653#-0,05609562#-0,505919#3,306584#-0,5093663#-0,2806327#2,80678#-0,07417959#-0,6002733#3,285596#1  
frame28 #-0,2105057#0,9365767#3,314118#-0,1157936#0,7946111#3,332226# 0,1963938#0,988977#2,858137#-0,4739272#1,008266#3,737916#0,1980913#0,8992197#2,874348#-0,4392665#0,9509006#3,73055#0,202194#0,728093#3,000901#-0,3466129#0,7806838#3,651886#0,01704501#0,6981412#3,223586#-0,2493825#0,7202728#3,483143#-0,07324599#0,4451755#3,352245#-0,08918723#0,371917#3,332693#-0,02180259#0,3026183#3,298334#-0,1518641#0,3203897#3,362518#-0,2155251#0,04657892#2,98014#-0,1807646#-0,1017721#3,33672#-0,4290287#-0,2003844#2,964856#-0,06507578#-0,5282677#3,306173#-0,5164807#-0,2411674#2,943769#-0,1187026#-0,5700828#3,253709#1  
frame29 #-0,2114439#0,9358681#3,317019#-0,117944#0,7942702#3,339243# 0,1222572#1,000253#2,838672#-0,4610066#1,075045#3,763099#0,1403166#0,9042953#2,86347#-0,4419093#1,014016#3,741607#0,1859937#0,7342543#2,98864#-0,3445269#0,7818308#3,652179#0,01607488#0,6978483#3,224008#-0,2484999#0,7194556#3,486787#-0,0707121#0,4513659#3,351645#-0,08480723#0,3831329#3,331417#-0,01501517#0,3106737#3,296123#-0,145691#0,3336026#3,359034#-0,2259519#0,04311139#2,989045#-0,1532602#-0,08779627#3,32703#-0,4383011#-0,2044218#2,998499#-0,07231778#-0,5242227#3,299871#-0,4927473#-0,2294996#3,040371#-0,1265715#-0,5660363#3,24783#1  
