frame1 #-0,1076869#1,089565#3,439842#-0,08596738#0,8887348#3,436358# 0,1913212#0,2220631#3,569823#-0,4124568#0,2247035#3,563333#0,1863212#0,2696028#3,592515#-0,4032205#0,2689483#3,5486#0,1542777#0,5022713#3,527682#-0,3307763#0,4991777#3,506564#0,08274665#0,7613771#3,418802#-0,2493457#0,74229#3,418685#-0,0772901#0,5046183#3,452622#-0,07583375#0,4329757#3,406256#0,0005434006#0,3627748#3,400876#-0,1488981#0,3541856#3,397092#0,03292935#-0,1773749#3,489111#-0,1455514#-0,1745872#3,456797#0,02379696#-0,5095087#3,514092#-0,09304152#-0,5229087#3,531174#0,02706599#-0,5914393#3,474179#-0,1028404#-0,5843925#3,489715#0  
frame2 #-0,1051821#1,085541#3,430039#-0,08571502#0,8890216#3,436498# 0,2155952#0,2442468#3,596517#-0,4204839#0,2293547#3,568995#0,2230402#0,2908#3,618666#-0,4286089#0,2849845#3,550609#0,1551051#0,5041502#3,52929#-0,3369431#0,5064414#3,506249#0,08260641#0,7614181#3,418563#-0,2491226#0,7410967#3,416728#-0,07745075#0,5047745#3,452263#-0,07581183#0,4332604#3,405668#0,0004384752#0,3633305#3,400477#-0,1487874#0,3545519#3,395511#0,03282548#-0,1775628#3,48862#-0,1465338#-0,1729497#3,456253#0,02520787#-0,5122651#3,51346#-0,09533734#-0,5206793#3,530384#0,0271975#-0,5907235#3,474096#-0,1150292#-0,5871983#3,498517#0  
frame3 #-0,1069058#1,084549#3,428403#-0,08582835#0,8891445#3,436676# 0,2351544#0,2457829#3,61255#-0,4484648#0,2484433#3,566734#0,2447242#0,3030587#3,614902#-0,4594701#0,2995911#3,552581#0,1628231#0,5125449#3,530066#-0,3507442#0,5116401#3,506558#0,0826317#0,7615611#3,41874#-0,2503935#0,7415304#3,415725#-0,07793064#0,5049735#3,451932#-0,07622755#0,4336421#3,404918#0,0002806817#0,3634583#3,400002#-0,1497602#0,3547216#3,393776#0,03296782#-0,1783424#3,487699#-0,1467118#-0,1729158#3,456593#0,02619508#-0,5126829#3,512567#-0,09491672#-0,5247735#3,530392#0,02912708#-0,5911019#3,470327#-0,1118519#-0,5884501#3,496105#0  
frame4 #-0,1082227#1,083565#3,428012#-0,08544645#0,8887596#3,436629# 0,2839746#0,2811455#3,625688#-0,5041826#0,2383444#3,602084#0,2928441#0,3383931#3,627654#-0,4968973#0,3249675#3,546024#0,181609#0,5254229#3,530451#-0,366166#0,5258298#3,511759#0,0827878#0,7616686#3,418399#-0,251089#0,7424419#3,41689#-0,07763621#0,504967#3,452022#-0,07614265#0,4336862#3,404872#0,0004343582#0,3633791#3,400005#-0,1497475#0,3547317#3,393677#0,03291364#-0,178376#3,486985#-0,1468031#-0,1727531#3,456605#0,02659181#-0,5141581#3,513586#-0,09498475#-0,524786#3,530097#0,02778141#-0,5912431#3,472893#-0,1109206#-0,5881911#3,493901#0  
frame5 #-0,1084228#1,083406#3,428594#-0,08531085#0,8890991#3,436251# 0,3245762#0,3063053#3,628692#-0,514808#0,2829905#3,583987#0,3175848#0,3461644#3,592695#-0,5164819#0,3446454#3,552979#0,202691#0,5479677#3,536622#-0,3811871#0,5368714#3,507083#0,08350621#0,7615053#3,420206#-0,2543433#0,7440504#3,418463#-0,07789847#0,5054492#3,451803#-0,07643071#0,4342136#3,404559#0,0004488671#0,3633586#3,39996#-0,1507416#0,3550878#3,393144#0,03268331#-0,177448#3,485287#-0,1476284#-0,1714933#3,456878#0,02764708#-0,5161557#3,514913#-0,09500303#-0,522525#3,531502#0,02668189#-0,5900273#3,473304#-0,1133531#-0,5870362#3,49285#0  
frame6 #-0,1090321#1,082131#3,427439#-0,08669343#0,8880742#3,435031# 0,3679563#0,312428#3,634573#-0,5582488#0,3092345#3,550207#0,3515837#0,3814735#3,613121#-0,5254895#0,3505791#3,551917#0,2205923#0,5586783#3,529022#-0,4003917#0,5511164#3,517408#0,08314156#0,761965#3,41939#-0,2578943#0,7447824#3,418842#-0,07856041#0,5065149#3,451369#-0,07731241#0,435815#3,4042#0,0003235812#0,3639216#3,399657#-0,151877#0,3559821#3,393066#0,03270105#-0,1761201#3,48347#-0,147694#-0,169338#3,457014#0,03193353#-0,5093226#3,507101#-0,09889994#-0,5177129#3,530952#0,02677357#-0,5884987#3,470487#-0,1136062#-0,586246#3,490938#0  
frame7 #-0,1101472#1,084394#3,428259#-0,08675531#0,8884165#3,435412# 0,4408793#0,3298059#3,647#-0,6028243#0,3456107#3,514257#0,3854237#0,4149819#3,61252#-0,5820436#0,3769754#3,525693#0,2358876#0,5773007#3,531819#-0,4294929#0,5584314#3,500766#0,08344655#0,7628975#3,420099#-0,2626159#0,7441087#3,420183#-0,0787861#0,5076609#3,451055#-0,0776999#0,4373463#3,403543#0,0006781033#0,3648426#3,398721#-0,1529708#0,3563579#3,392303#0,03271901#-0,1762441#3,480622#-0,1488197#-0,1669005#3,455927#0,03206643#-0,5111752#3,50682#-0,09908699#-0,511481#3,531516#0,02609964#-0,5886807#3,47182#-0,1144874#-0,5853209#3,490942#0  
frame8 #-0,1120035#1,083442#3,428649#-0,08796366#0,8879077#3,434971# 0,4649834#0,3463393#3,622621#-0,66726#0,3106771#3,551122#0,4280601#0,4343024#3,574985#-0,6052436#0,3881879#3,512185#0,258845#0,5946108#3,532944#-0,446175#0,5624795#3,483743#0,08316003#0,764311#3,421551#-0,2628801#0,7452263#3,419843#-0,07960909#0,5080518#3,451041#-0,07822055#0,4378257#3,403544#0,0003917746#0,3651403#3,39903#-0,1535582#0,3567156#3,392052#0,03217379#-0,1754844#3,479436#-0,1487914#-0,1669303#3,455916#0,02458783#-0,5110759#3,513212#-0,1008311#-0,5159343#3,529701#0,02667403#-0,586064#3,470143#-0,1140755#-0,5853829#3,491259#0  
frame9 #-0,1132246#1,084534#3,430018#-0,08842196#0,8911213#3,436827# 0,5471234#0,4206807#3,547591#-0,7562401#0,3994325#3,453059#0,4839493#0,500636#3,517752#-0,6750389#0,4649993#3,433527#0,2922677#0,6430241#3,507222#-0,4738231#0,5910186#3,428147#0,08381582#0,764889#3,421058#-0,2670696#0,7479352#3,423103#-0,08038916#0,5113664#3,452184#-0,07953773#0,441184#3,404442#0,0003055315#0,3661832#3,398992#-0,1563666#0,3591741#3,393405#0,03171537#-0,1729499#3,478057#-0,1491684#-0,1661268#3,455782#0,02462204#-0,5115048#3,513933#-0,1008483#-0,5159162#3,529639#0,02873131#-0,585693#3,472475#-0,1149072#-0,585373#3,492497#0  
frame10 #-0,1138939#1,084584#3,433083#-0,08887541#0,8930638#3,441158# 0,5717963#0,4701737#3,518015#-0,702117#0,4898286#3,413793#0,5017411#0,5444851#3,490183#-0,6784805#0,491389#3,428942#0,2917699#0,6527131#3,500967#-0,4764298#0,6111332#3,417739#0,08458108#0,7690992#3,428343#-0,2681706#0,748831#3,423928#-0,08180594#0,5127833#3,45394#-0,0801883#0,4429727#3,405424#5,714626E-05#0,3670247#3,399431#-0,1573081#0,3606348#3,39393#0,03175388#-0,1722313#3,478088#-0,1498813#-0,1643986#3,456788#0,02485128#-0,5120924#3,513289#-0,100983#-0,5139472#3,526457#0,03159983#-0,5849637#3,473049#-0,1150717#-0,5853663#3,492822#0  
frame11 #-0,1132538#1,085014#3,433634#-0,0887895#0,8932787#3,441232# 0,579294#0,5323317#3,464216#-0,7169656#0,5078388#3,40256#0,5138794#0,5704832#3,457479#-0,6964582#0,5229695#3,398888#0,3016797#0,6688682#3,485151#-0,4857444#0,6253068#3,409492#0,08665422#0,770758#3,431636#-0,2693011#0,7494503#3,424503#-0,08204997#0,5138382#3,455233#-0,08008095#0,444145#3,406697#0,0006457877#0,3674342#3,400991#-0,1576577#0,3612798#3,394968#0,0315423#-0,172238#3,478548#-0,150162#-0,1645315#3,456979#0,02039404#-0,5173861#3,515375#-0,1015633#-0,5164213#3,52576#0,03110941#-0,5866971#3,475363#-0,1153762#-0,585554#3,492738#0  
