frame1 #-0,09626535#1,086925#3,430286#-0,0740748#0,8910273#3,444284# 0,1735314#0,1982721#3,447615#-0,2862386#0,1818649#3,420541#0,1679191#0,2748004#3,450042#-0,2835164#0,2532297#3,423221#0,1510821#0,5043851#3,471886#-0,2795705#0,48472#3,455831#0,09499707#0,7559359#3,413898#-0,2391406#0,7435664#3,418944#-0,06527143#0,5026665#3,459524#-0,06431386#0,4285509#3,421673#0,01245024#0,3563249#3,417946#-0,1379117#0,3507586#3,413342#0,03971929#-0,1650992#3,485936#-0,1456407#-0,1605988#3,47644#0,03365525#-0,5004192#3,506223#-0,09692626#-0,5002388#3,528041#0,03270239#-0,5794781#3,45225#-0,115041#-0,5719837#3,473584#0  
frame12 #-0,08393899#1,095842#3,500636#-0,0675852#0,896839#3,510491# 0,46892#0,7663047#2,942229#-0,5367583#0,749504#2,934652#0,3949863#0,77059#3,048995#-0,4816519#0,7572325#3,012302#0,2570578#0,7841195#3,248034#-0,3855177#0,7532589#3,22616#0,1040223#0,7801211#3,436287#-0,2408639#0,7758249#3,454873#-0,06373724#0,5146328#3,483346#-0,06579466#0,4499469#3,430844#0,01214978#0,3740807#3,414653#-0,1427841#0,3722727#3,421174#0,04187142#-0,1643209#3,477909#-0,1476792#-0,1606799#3,464337#0,04358528#-0,5056596#3,505904#-0,09699549#-0,5069211#3,52779#0,03945073#-0,5786852#3,452332#-0,1160959#-0,5794997#3,490206#0  
frame13 #-0,08348797#1,102478#3,517229#-0,06615147#0,9033554#3,525224# 0,2095446#0,8116874#2,876575#-0,3456204#0,8038037#2,845192#0,1568014#0,816133#3,02533#-0,3069979#0,8051814#2,997929#0,2114692#0,7421377#3,237034#-0,2676448#0,7859895#3,225576#0,08769856#0,7806625#3,440163#-0,2241105#0,7771901#3,466918#-0,06308386#0,5128678#3,495188#-0,06697048#0,4471413#3,440316#0,004456186#0,3784911#3,426457#-0,1398121#0,37433#3,429414#0,04159657#-0,1638763#3,479342#-0,1471598#-0,163709#3,469422#0,0435745#-0,5056198#3,505889#-0,09512863#-0,5111985#3,529641#0,03950475#-0,5784232#3,452587#-0,1160153#-0,5814432#3,490507#0  
frame14 #-0,08370425#1,097994#3,519844#-0,06594884#0,9042283#3,528057# 0,06786428#0,8235639#2,844251#-0,2133587#0,8344152#2,864226#0,0557792#0,8113272#2,995199#-0,212187#0,8265601#3,008351#0,1323917#0,79477#3,210505#-0,2572134#0,7890832#3,230294#0,06468996#0,766839#3,441518#-0,1986272#0,763934#3,464482#-0,06307118#0,509378#3,499716#-0,06725709#0,441765#3,44428#0,002402741#0,3787394#3,428711#-0,1373561#0,3751938#3,434094#0,0412095#-0,1580624#3,480432#-0,1471603#-0,1623982#3,469972#0,04361967#-0,504247#3,507541#-0,09848997#-0,5071166#3,526627#0,04339019#-0,577369#3,444498#-0,1159219#-0,5814153#3,490185#0  
frame15 #-0,0839656#1,1075#3,524582#-0,06262881#0,9088858#3,532847# 0,03495668#0,820462#2,842379#-0,1975246#0,8265399#2,858455#0,04605025#0,8118997#3,000529#-0,2058574#0,8223358#2,994505#0,1271744#0,8022479#3,212697#-0,2511647#0,7890337#3,215356#0,06160444#0,7660326#3,441233#-0,1993583#0,7656008#3,463192#-0,06262136#0,5144273#3,504502#-0,06717514#0,447235#3,447969#0,0007406682#0,392454#3,435245#-0,1365847#0,3863908#3,439228#0,04117948#-0,1575527#3,480581#-0,1482907#-0,1598318#3,470031#0,04370604#-0,504555#3,507357#-0,09812018#-0,5086916#3,52734#0,03891333#-0,5770667#3,446196#-0,1158967#-0,5814222#3,489999#0  
frame16 #-0,08421862#1,107415#3,52495#-0,06924392#0,9119833#3,536511# 0,0342979#0,8202685#2,844075#-0,2011167#0,8147056#2,927136#0,0480722#0,8121735#2,997453#-0,2014174#0,8192261#3,021222#0,1136558#0,8001645#3,213021#-0,2683237#0,7836186#3,233539#0,05402695#0,7643683#3,44126#-0,2001242#0,7663868#3,4615#-0,06537682#0,5200954#3,508364#-0,06901274#0,4539383#3,451151#-0,002761058#0,4008967#3,434188#-0,1355038#0,3967996#3,447609#0,04150234#-0,1564708#3,481458#-0,1486364#-0,1556004#3,471502#0,0438659#-0,5024601#3,506948#-0,09892251#-0,5062544#3,527679#0,04004898#-0,5766543#3,447858#-0,1158311#-0,5793337#3,483374#0  
frame17 #-0,08415554#1,105304#3,522716#-0,07089266#0,9118834#3,536319# 0,04076377#0,8048673#2,90663#-0,1958362#0,8010302#2,896064#0,07570759#0,8120011#2,999362#-0,2481398#0,7990351#3,019306#0,1235325#0,7978196#3,217635#-0,2771598#0,7781001#3,240518#0,05616185#0,771675#3,44273#-0,2081761#0,781608#3,466753#-0,06528935#0,5207289#3,509509#-0,06895369#0,454801#3,452022#-0,002790984#0,4009996#3,434493#-0,1351004#0,3966777#3,44786#0,04150578#-0,1550727#3,482066#-0,148925#-0,1538877#3,471654#0,0431788#-0,5021791#3,506641#-0,1020374#-0,5057456#3,524757#0,03955702#-0,5772517#3,449166#-0,1156823#-0,5800614#3,485905#0  
frame18 #-0,08817084#1,10731#3,516104#-0,07208972#0,918923#3,530118# -0,01774032#0,718651#2,921205#-0,1882592#0,7259929#2,995753#0,03784843#0,7375827#2,995327#-0,2290518#0,7386258#3,042669#0,2046147#0,7943777#3,231795#-0,3638814#0,7803807#3,211841#0,08760298#0,7742125#3,432309#-0,2085924#0,7970099#3,460951#-0,06735288#0,5319563#3,509735#-0,07117382#0,4666114#3,45278#-0,00156838#0,4036672#3,434525#-0,1405264#0,4018323#3,44743#0,04171479#-0,1544243#3,482052#-0,1492627#-0,1512568#3,47096#0,04417173#-0,5017625#3,505491#-0,09993032#-0,504799#3,523282#0,03510549#-0,5768695#3,447297#-0,1158875#-0,5792272#3,486325#0  
frame19 #-0,08750637#1,109049#3,508581#-0,07027092#0,922819#3,525938# 0,03219521#0,7597727#3,015708#-0,1228795#0,6686162#2,98755#0,03243051#0,741658#3,030326#-0,1810483#0,6953484#3,051585#0,2238518#0,7951748#3,245176#-0,3555548#0,7755452#3,257777#0,09190038#0,7753253#3,433933#-0,2063523#0,801637#3,458068#-0,06779695#0,5337739#3,509339#-0,07097512#0,4676482#3,452183#-0,001298898#0,403713#3,434472#-0,1409606#0,4029047#3,445735#0,04187032#-0,1538823#3,482613#-0,1491991#-0,1504478#3,47104#0,04368457#-0,5038711#3,503545#-0,1000141#-0,5046403#3,523644#0,03390129#-0,5765427#3,448089#-0,1152487#-0,5785717#3,485296#0  
frame20 #-0,09330375#1,112685#3,500179#-0,07930951#0,9144579#3,510241# 0,00426513#0,7231339#3,018743#-0,1890664#0,6787325#3,016847#0,07204548#0,7406208#3,08031#-0,2484543#0,7055756#3,080453#0,2753865#0,7930816#3,279111#-0,4266179#0,7861048#3,285373#0,1008911#0,7796956#3,416797#-0,2580683#0,765233#3,430886#-0,0689205#0,5362753#3,508594#-0,070755#0,4695242#3,451433#0,002762143#0,4023224#3,434384#-0,1426731#0,399936#3,443328#0,04169505#-0,1543468#3,482832#-0,1490266#-0,1512386#3,471237#0,0427927#-0,5070868#3,503028#-0,09972362#-0,5071769#3,52329#0,03409029#-0,5769209#3,448534#-0,1147651#-0,5791969#3,479887#0  
frame21 #-0,08609085#1,099792#3,477817#-0,07957269#0,9114394#3,499713# 0,01024542#0,7353621#3,033022#-0,1859888#0,6850471#3,022996#0,07482131#0,7525508#3,09697#-0,2450927#0,7115376#3,086887#0,268549#0,8041168#3,302874#-0,4224045#0,7910091#3,292619#0,09962751#0,8488494#3,437838#-0,2499053#0,8231747#3,426389#-0,07228095#0,5576825#3,501152#-0,06984814#0,5023987#3,445707#0,007921692#0,4260169#3,433171#-0,1442786#0,4157065#3,437667#0,04186188#-0,1540822#3,482956#-0,1494643#-0,1490124#3,471001#0,04420862#-0,5051708#3,503304#-0,09945172#-0,5072926#3,523523#0,0350657#-0,5765243#3,447999#-0,1147962#-0,5792595#3,480296#0  
