frame1 #-0,1131623#1,068678#3,41602#-0,08892075#0,885834#3,42789# 0,4929415#0,4136955#3,575498#-0,6609156#0,3342061#3,556997#0,4486299#0,4838433#3,532707#-0,6328107#0,3961923#3,545634#0,2737974#0,6397027#3,509533#-0,459055#0,5829005#3,507111#0,08791345#0,7724236#3,418306#-0,2667091#0,7602437#3,422439#-0,08312573#0,5209929#3,442368#-0,0825692#0,4513788#3,406865#-0,001615651#0,3745351#3,401887#-0,1611958#0,3690541#3,399038#0,02370037#-0,1636108#3,470692#-0,1634912#-0,160864#3,45542#-0,00143967#-0,5023858#3,490699#-0,1150163#-0,510438#3,498802#0,002508818#-0,5763732#3,449844#-0,1140891#-0,5761248#3,454912#0  
frame32 #-0,1089747#1,106369#3,507612#-0,08711945#0,8943698#3,519391# 0,0501833#0,8660645#2,97172#-0,2090148#0,867135#2,947044#0,07889269#0,8583145#3,036258#-0,2489807#0,871919#3,023165#0,1556767#0,8294044#3,221247#-0,3432343#0,8313165#3,196663#0,04435223#0,784861#3,443508#-0,2373689#0,7732097#3,45002#-0,07823266#0,5194491#3,506482#-0,07832735#0,4577166#3,446468#-0,009094873#0,3988908#3,433198#-0,1453885#0,3907866#3,434553#0,02624097#-0,1248175#3,461465#-0,1634144#-0,1238408#3,455416#0,003913966#-0,4848261#3,489396#-0,1166167#-0,4915723#3,497287#0,007389567#-0,5752288#3,443628#-0,1095127#-0,5701755#3,453221#0  
frame33 #-0,1080423#1,105527#3,500999#-0,08495028#0,8968817#3,519238# 0,05348791#0,8641441#2,989477#-0,2059331#0,8670208#2,957096#0,08604582#0,8661157#3,057019#-0,2773949#0,871677#3,065561#0,1889266#0,8341279#3,226937#-0,3528586#0,8252516#3,25417#0,06410547#0,7804478#3,43868#-0,2460783#0,7777424#3,451394#-0,07684385#0,5300608#3,505178#-0,0781335#0,4699468#3,445268#-0,005863118#0,4031501#3,430816#-0,1495865#0,3972494#3,433102#0,02595633#-0,1248392#3,460794#-0,1626219#-0,1233446#3,454476#0,00453959#-0,4833896#3,488902#-0,1154012#-0,4936382#3,49777#0,007052452#-0,5750568#3,445462#-0,109743#-0,5701019#3,453317#0  
frame34 #-0,1070404#1,109694#3,496544#-0,08702803#0,8990856#3,509333# 0,02827085#0,8435286#2,994133#-0,2260529#0,871897#3,040285#0,09212849#0,8747259#3,063701#-0,2636379#0,8625877#3,086247#0,1948619#0,8347542#3,231834#-0,382242#0,8332109#3,2451#0,07500455#0,7790172#3,434976#-0,252464#0,7827532#3,449967#-0,07936078#0,5385747#3,502137#-0,08078242#0,4787696#3,443362#-0,004545295#0,4058966#3,428927#-0,1566329#0,4038175#3,432344#0,0259398#-0,1257652#3,460683#-0,1626737#-0,1228985#3,453694#0,00396436#-0,4834471#3,489824#-0,1158854#-0,4939827#3,499182#0,006357638#-0,5752639#3,447062#-0,1100097#-0,5705442#3,454708#0  
frame35 #-0,1057502#1,112063#3,495593#-0,09920008#0,9180236#3,498447# 0,02848571#0,8410066#3,033893#-0,1931279#0,8211741#3,034907#0,05976835#0,8267828#3,078342#-0,2706303#0,8952782#3,097831#0,2171693#0,8323156#3,242039#-0,3861306#0,8342724#3,248934#0,08088999#0,7797881#3,43025#-0,2628801#0,7931254#3,448844#-0,08367715#0,5540546#3,499597#-0,08391055#0,491385#3,442087#-0,002857859#0,4106188#3,427016#-0,1620471#0,4142125#3,432674#0,02573917#-0,1264158#3,460982#-0,1626917#-0,122828#3,453531#0,003858716#-0,4837493#3,490521#-0,1159089#-0,4940076#3,499121#0,008763375#-0,5749665#3,447253#-0,109911#-0,5705574#3,454604#0  
frame36 #-0,1027092#1,114692#3,488668#-0,09375647#0,9180771#3,48749# -0,007623233#0,8584694#3,062756#-0,2069783#0,8273754#3,090294#0,03798476#0,8380051#3,114353#-0,2424653#0,8388785#3,11695#0,2418244#0,8285823#3,280021#-0,4084925#0,8355877#3,262329#0,08494791#0,7855538#3,426994#-0,277202#0,8035336#3,443452#-0,08398987#0,5614042#3,496943#-0,08442636#0,499849#3,440453#-0,002597253#0,4154496#3,426248#-0,1635839#0,4186663#3,431883#0,02560492#-0,1264092#3,461058#-0,1629245#-0,1225789#3,452988#0,002856995#-0,4862942#3,489889#-0,116744#-0,491179#3,497931#0,009004382#-0,5750555#3,447129#-0,1101837#-0,5704297#3,453079#0  
frame37 #-0,1028091#1,117122#3,485705#-0,09363008#0,920068#3,482658# 0,005500063#0,8447989#3,097314#-0,2242695#0,8343431#3,151649#0,04812019#0,8254021#3,151845#-0,2050133#0,7961457#3,151403#0,2465604#0,8278136#3,28144#-0,4243221#0,8434962#3,276101#0,09614247#0,7936166#3,421883#-0,2836986#0,8044735#3,442576#-0,08313543#0,5696056#3,494556#-0,08413665#0,5088189#3,439164#0,001358655#0,422294#3,425465#-0,1654997#0,4218319#3,431017#0,02533488#-0,1267165#3,46095#-0,1623681#-0,1239281#3,452938#0,001711018#-0,4873233#3,489762#-0,1156696#-0,4925839#3,497239#0,008404473#-0,5772072#3,447971#-0,1098316#-0,5701386#3,452296#0  
frame38 #-0,1016131#1,115728#3,472567#-0,09264661#0,9185458#3,479126# 0,00905028#0,8458006#3,102458#-0,1425348#0,7920715#3,148678#0,05179118#0,8262902#3,156949#-0,2146257#0,8049292#3,179668#0,2587073#0,8275907#3,294201#-0,4308984#0,8435023#3,286401#0,09883127#0,7942964#3,422354#-0,2869715#0,8021134#3,440541#-0,08329589#0,5700041#3,493709#-0,08407313#0,5088986#3,438649#0,001830747#0,4222246#3,42485#-0,1660669#0,4212296#3,430208#0,02506007#-0,1277246#3,461001#-0,1622508#-0,1269967#3,452674#0,0003560832#-0,4884472#3,48835#-0,115745#-0,4940061#3,496644#0,007755411#-0,5775004#3,446712#-0,1098143#-0,570157#3,452163#0  
frame39 #-0,1023566#1,108331#3,468599#-0,09347506#0,9135593#3,47164# -0,01568727#0,8373286#3,180586#-0,2102113#0,8096545#3,235781#0,02724638#0,818206#3,235094#-0,2533427#0,8652893#3,250763#0,2621403#0,8276984#3,298593#-0,4374825#0,8428535#3,289314#0,09870256#0,7948549#3,421509#-0,289048#0,7995856#3,438628#-0,08370049#0,5703118#3,49151#-0,08430383#0,508772#3,437457#0,001678738#0,4222341#3,423908#-0,1663042#0,4208344#3,429446#0,02544262#-0,1284256#3,461097#-0,162107#-0,1273477#3,452572#0,001477695#-0,4879357#3,486545#-0,1166945#-0,4940934#3,496412#0,007100773#-0,5768191#3,446716#-0,1097387#-0,5701677#3,452086#0  
frame40 #-0,1020166#1,107908#3,468093#-0,09232748#0,9134349#3,470109# -0,01663741#0,83884#3,204765#-0,1790652#0,7506042#3,272171#0,02631856#0,8197075#3,2593#-0,222219#0,8062679#3,287162#0,2689317#0,829266#3,307414#-0,4458968#0,8421717#3,299078#0,09982589#0,7952893#3,418465#-0,2886753#0,7988625#3,434442#-0,08359872#0,5702481#3,490385#-0,08418661#0,5085643#3,436981#0,001699453#0,4221735#3,423851#-0,1663425#0,420464#3,428666#0,02528407#-0,128984#3,461074#-0,1621311#-0,1275348#3,452486#0,001352157#-0,48816#3,486629#-0,1200734#-0,4904628#3,493676#0,007149782#-0,5768973#3,446723#-0,1098356#-0,5696374#3,451472#0  
frame41 #-0,1027054#1,10758#3,465136#-0,09061673#0,910341#3,468433# 0,04741576#0,9022889#3,269438#-0,1775342#0,7556623#3,27205#0,1102173#0,9273471#3,29372#-0,2205887#0,8111979#3,287005#0,271369#0,8320945#3,311047#-0,447175#0,8403042#3,305622#0,09547202#0,8052295#3,408748#-0,285831#0,8027183#3,428635#-0,08270814#0,5699272#3,488964#-0,08407436#0,5083758#3,436282#0,001177481#0,4225106#3,423248#-0,1659023#0,4207108#3,427982#0,02520783#-0,1288633#3,461295#-0,1622113#-0,1275896#3,452391#0,001960432#-0,4881831#3,487524#-0,1203037#-0,4902981#3,493917#0,007802838#-0,5756422#3,444533#-0,1101016#-0,5695444#3,450965#0  
frame42 #-0,1021798#1,099248#3,457758#-0,09039676#0,9102889#3,467924# 0,05950521#0,9193183#3,295611#-0,1760804#0,8049734#3,296533#0,1221585#0,9443173#3,319836#-0,2190333#0,8603779#3,311454#0,2713111#0,8326461#3,312557#-0,4480544#0,8396716#3,311503#0,09287868#0,8277743#3,409724#-0,2828008#0,8061829#3,427502#-0,08252975#0,5709321#3,48779#-0,08398502#0,5097965#3,435516#-0,0002469181#0,4269979#3,422218#-0,1649494#0,4230196#3,427368#0,0251577#-0,128848#3,461195#-0,1626508#-0,1276335#3,452342#0,001915006#-0,4883326#3,4875#-0,1177882#-0,4947471#3,49141#0,007882637#-0,5755539#3,444455#-0,1100722#-0,5695431#3,450937#0  
frame43 #-0,1021551#1,099091#3,452775#-0,09275576#0,9099455#3,467277# 0,0595445#0,9309855#3,30379#-0,27343#1,013279#3,329734#0,122053#0,9559267#3,327959#-0,3168107#0,9702052#3,322046#0,2660204#0,838396#3,309723#-0,4469528#0,840983#3,312703#0,09117737#0,829199#3,411171#-0,2781381#0,8110394#3,425967#-0,08311442#0,5709325#3,486763#-0,08396236#0,5097917#3,434823#-0,0003100591#0,4276532#3,421961#-0,1638952#0,4240494#3,425682#0,02500562#-0,1288748#3,46135#-0,1627102#-0,1275753#3,452263#0,001766453#-0,4819651#3,488308#-0,1174779#-0,4937743#3,493602#0,00847507#-0,5757#3,444903#-0,1082124#-0,5699605#3,451945#0  
frame44 #-0,1021693#1,099003#3,452043#-0,09741905#0,9075767#3,468419# 0,05411209#0,9472858#3,317237#-0,2808439#1,02072#3,356681#0,1164334#0,9721523#3,341333#-0,321428#0,9770366#3,341727#0,2502196#0,8638079#3,288908#-0,4431803#0,8459849#3,310572#0,08818807#0,8263382#3,414994#-0,275806#0,8067995#3,426288#-0,08543295#0,569245#3,485976#-0,08547889#0,5084754#3,434055#-0,001655449#0,427603#3,421356#-0,1643775#0,4237912#3,425308#0,02518857#-0,1287121#3,461263#-0,1626309#-0,1272563#3,452014#0,004010327#-0,4806895#3,493324#-0,1173316#-0,4936502#3,493688#0,009036894#-0,5753565#3,445473#-0,1088057#-0,5697168#3,453477#0  
frame45 #-0,1028791#1,098532#3,451247#-0,09613209#0,9035648#3,467151# 0,05851434#0,9535664#3,315262#-0,289902#1,031435#3,370894#0,1206751#0,9783689#3,339296#-0,3259646#0,9865641#3,349644#0,2464338#0,8643873#3,281726#-0,4341522#0,8519514#3,299614#0,08361942#0,8177905#3,413464#-0,2709324#0,7946695#3,425252#-0,08567466#0,5579042#3,485242#-0,08630893#0,4947922#3,43396#-0,006954198#0,4179771#3,421804#-0,1620066#0,414815#3,426906#0,02484649#-0,1292578#3,461543#-0,1625404#-0,1268663#3,45192#0,004017883#-0,4807021#3,49325#-0,1175901#-0,4898849#3,492301#0,01088642#-0,5743823#3,443929#-0,1091995#-0,5697151#3,453063#0  
frame46 #-0,1025452#1,097621#3,450465#-0,09505196#0,8968306#3,469621# 0,06331409#0,971862#3,308617#-0,2718205#1,070008#3,414785#0,125282#0,9965875#3,332577#-0,3105139#1,018636#3,3797#0,2363425#0,8682067#3,275388#-0,4265942#0,8645197#3,288154#0,07753401#0,7910218#3,411733#-0,266414#0,7841151#3,42631#-0,0849893#0,5487335#3,485105#-0,08581743#0,4859117#3,43315#-0,006762307#0,4126211#3,421189#-0,1615932#0,4072925#3,425749#0,02484271#-0,1295#3,462056#-0,1619985#-0,128#3,452617#0,003325203#-0,4815755#3,491181#-0,1163875#-0,4961125#3,494459#0,01071173#-0,5760298#3,445802#-0,1072183#-0,5719736#3,455544#0  
frame47 #-0,1025716#1,097589#3,450615#-0,09425113#0,8940859#3,47082# 0,05410833#0,9895694#3,271769#-0,2780784#1,070347#3,40439#0,1158434#1,014202#3,295638#-0,3117044#1,019939#3,368014#0,2215172#0,870703#3,264132#-0,4125825#0,8687159#3,272603#0,07374331#0,7870629#3,411921#-0,2661483#0,7834607#3,427189#-0,08447865#0,5438146#3,485282#-0,08541008#0,4807689#3,432887#-0,008627176#0,4075499#3,419807#-0,15938#0,403475#3,42635#0,02457039#-0,1296686#3,462831#-0,1620876#-0,1280518#3,452725#0,003120106#-0,4817415#3,491297#-0,1157513#-0,4985499#3,496825#0,009429066#-0,5774035#3,447838#-0,1083107#-0,5721265#3,455211#0  
frame48 #-0,1024334#1,099188#3,449422#-0,09077007#0,8934528#3,473183# 0,07406938#1,018373#3,23753#-0,3101513#1,102755#3,340889#0,1356349#1,042938#3,261334#-0,3334421#1,044727#3,315674#0,2118273#0,8766921#3,256022#-0,4033145#0,8706411#3,253753#0,074256#0,7870419#3,41134#-0,2610147#0,7779455#3,427696#-0,08380412#0,5413801#3,485767#-0,08543111#0,4780476#3,433017#-0,01026619#0,4042236#3,419626#-0,159052#0,4020223#3,426475#0,02392481#-0,1319234#3,463169#-0,1614039#-0,1308706#3,453646#0,002107988#-0,4850565#3,489768#-0,1105832#-0,5040667#3,493582#0,004140468#-0,5802383#3,44557#-0,1078783#-0,573734#3,454999#0  
frame49 #-0,1040779#1,094923#3,456643#-0,08803672#0,8959873#3,482622# 0,1225683#1,123637#3,2155#-0,3350238#1,117051#3,272843#0,1330379#1,057712#3,193084#-0,3443915#1,059029#3,255258#0,1811737#0,879979#3,23822#-0,3724948#0,884965#3,216238#0,06771553#0,7804438#3,413305#-0,2581747#0,7779327#3,427819#-0,08454509#0,533995#3,489183#-0,08658315#0,4683525#3,435734#-0,01518627#0,3967292#3,423676#-0,1580977#0,3982623#3,426929#0,02321314#-0,133744#3,463603#-0,1610178#-0,1324714#3,455024#0,003498236#-0,4877448#3,486328#-0,1109602#-0,5032741#3,494138#0,004621899#-0,5795203#3,445112#-0,1086143#-0,574495#3,454664#0  
frame50 #-0,1053146#1,094045#3,464132#-0,0883541#0,8955839#3,483224# 0,1252097#1,121148#3,179909#-0,3377648#1,119725#3,266884#0,1357383#1,057033#3,15986#-0,3456149#1,060997#3,249973#0,1696308#0,8715549#3,232057#-0,3691653#0,8848113#3,212987#0,06348162#0,7796597#3,41448#-0,2575366#0,7778903#3,428196#-0,0847822#0,5322648#3,489859#-0,08663898#0,46685#3,436056#-0,01587291#0,3959792#3,424609#-0,1572338#0,3969472#3,426719#0,02296911#-0,1349082#3,464284#-0,1609287#-0,132594#3,455544#0,003948082#-0,4867421#3,488064#-0,1140009#-0,5039814#3,495072#0,004027563#-0,5796099#3,444915#-0,1085459#-0,5743584#3,454817#0  
frame51 #-0,1060054#1,09818#3,468981#-0,08802835#0,8960038#3,484068# 0,1176899#1,152965#3,149695#-0,3129521#1,18536#3,235349#0,1306196#1,079035#3,145662#-0,322375#1,106575#3,227531#0,1562328#0,9016798#3,203603#-0,3506435#0,8702203#3,217831#0,06065211#0,7793121#3,415114#-0,2542832#0,7771652#3,433253#-0,08344691#0,5308169#3,490694#-0,08596958#0,4650817#3,436682#-0,0160357#0,3956589#3,424977#-0,1550002#0,39514#3,427757#0,0224902#-0,1362008#3,465787#-0,1609197#-0,1326749#3,455751#0,003755372#-0,4883611#3,488606#-0,1160496#-0,504893#3,501282#0,004533943#-0,5792871#3,444528#-0,1078219#-0,5748561#3,455372#0  
frame52 #-0,1073023#1,096946#3,471768#-0,08901386#0,8956247#3,484779# 0,117896#1,142588#3,050482#-0,3112423#1,18059#3,135899#0,1254858#1,085145#3,05679#-0,3367755#1,094117#3,125844#0,1478697#0,8989128#3,193072#-0,3417174#0,8613823#3,214926#0,05412314#0,7768924#3,417581#-0,2496537#0,7726294#3,439109#-0,08236163#0,5276214#3,492368#-0,08512311#0,4611886#3,438355#-0,01635658#0,3944289#3,426181#-0,151982#0,3925194#3,4303#0,02256897#-0,1366393#3,467015#-0,1613361#-0,1313151#3,456186#0,004626579#-0,4865737#3,489456#-0,1174516#-0,4997498#3,500247#0,004652052#-0,5787306#3,44354#-0,1079868#-0,5728413#3,45302#0  
frame53 #-0,1068817#1,101778#3,484877#-0,09009656#0,8980102#3,499039# 0,132081#1,064271#2,923234#-0,3244987#1,073154#2,970786#0,1387043#0,9831436#2,96353#-0,3267564#1,011547#3,00397#0,1273278#0,8418191#3,16394#-0,3190709#0,8249928#3,186432#0,04977556#0,7751752#3,420891#-0,2432157#0,7658223#3,442739#-0,08181377#0,5210081#3,496799#-0,08478108#0,4542844#3,441768#-0,01780004#0,3916139#3,428895#-0,149829#0,3883908#3,432647#0,02252206#-0,1367332#3,46724#-0,1612277#-0,1313394#3,456454#0,005238404#-0,4866785#3,490864#-0,1177453#-0,498052#3,49918#0,008843806#-0,5754789#3,450579#-0,1077684#-0,5722454#3,453152#0  
frame54 #-0,107012#1,096562#3,489892#-0,08873861#0,8962784#3,508536# 0,1521139#0,939595#2,876032#-0,3207228#0,9573503#2,882594#0,1434869#0,8695751#2,959993#-0,3230006#0,8927914#2,953078#0,1279546#0,7468225#3,187002#-0,3021716#0,7772667#3,172469#0,04436227#0,7724211#3,427666#-0,2416235#0,764033#3,443902#-0,08295464#0,5144818#3,501437#-0,08536144#0,4478891#3,445109#-0,02067475#0,3862771#3,433015#-0,1490636#0,3849592#3,434513#0,02251387#-0,1367118#3,467324#-0,160714#-0,1311321#3,456848#0,005171846#-0,4865168#3,490455#-0,11848#-0,4934865#3,496477#0,007775641#-0,5738217#3,446709#-0,1084339#-0,5710991#3,450358#0  
frame55 #-0,1062778#1,096122#3,491469#-0,08822916#0,8960978#3,511091# 0,1548727#0,8116671#2,854561#-0,320273#0,8294745#2,861546#0,1565117#0,7844753#2,919183#-0,3171851#0,792121#2,920819#0,1225508#0,7157374#3,165024#-0,2969808#0,7248715#3,177861#0,04661469#0,7579391#3,429925#-0,2382175#0,7644036#3,448026#-0,08278344#0,5111713#3,503485#-0,08517268#0,4438844#3,44668#-0,0217322#0,3817851#3,434565#-0,1478589#0,3813274#3,436255#0,02244867#-0,1383685#3,468874#-0,1603726#-0,1315233#3,457445#0,004695816#-0,4858407#3,491709#-0,1178017#-0,491842#3,499211#0,008313977#-0,5741278#3,445602#-0,1079013#-0,5698835#3,450222#0  
frame56 #-0,1045214#1,071338#3,497234#-0,08957241#0,8331301#3,509396# 0,1616255#0,7578551#2,846946#-0,3233941#0,7665161#2,838132#0,1546019#0,7390818#2,903004#-0,3059937#0,7204168#2,981046#0,1145068#0,6948521#3,164365#-0,2919473#0,6967108#3,181045#0,05055002#0,7610584#3,428899#-0,2352141#0,7589085#3,448481#-0,0819216#0,5003334#3,505029#-0,08484253#0,4400861#3,447835#-0,02178567#0,3770194#3,436328#-0,1467335#0,376402#3,436946#0,02320146#-0,1415648#3,470647#-0,1592584#-0,1326305#3,458357#0,005105379#-0,4864158#3,491642#-0,1178918#-0,4916784#3,499244#0,008039149#-0,5752369#3,445781#-0,1078872#-0,5699243#3,450216#0  
frame57 #-0,1043634#1,073181#3,496941#-0,08929735#0,8335764#3,509758# 0,1583253#0,6430524#2,833255#-0,3089693#0,6797782#2,860333#0,1519909#0,6474894#2,903099#-0,3195532#0,6402715#2,917474#0,1162929#0,6831722#3,168206#-0,2911941#0,693403#3,180424#0,05259498#0,7628458#3,430452#-0,2342045#0,7599999#3,448389#-0,08119808#0,4976221#3,506335#-0,08379744#0,4379254#3,449092#-0,02096816#0,3752765#3,437573#-0,1450748#0,3733598#3,438135#0,02315257#-0,1429437#3,470535#-0,1581565#-0,1382309#3,458956#0,00662765#-0,4850397#3,493884#-0,1185757#-0,4908185#3,500696#0,007414618#-0,575354#3,44243#-0,10888#-0,5698164#3,451066#0  
frame58 #-0,1036186#1,075115#3,498573#-0,08858387#0,8338826#3,510051# 0,1701629#0,591361#2,876407#-0,34088#0,5891645#2,852869#0,1756386#0,5987457#2,917209#-0,3300771#0,6086582#2,925972#0,1242078#0,6840303#3,167424#-0,2908188#0,6900715#3,179858#0,05933643#0,7644629#3,429318#-0,2338007#0,7600193#3,447088#-0,08050365#0,4957142#3,506794#-0,08313142#0,4363978#3,449524#-0,01939333#0,372322#3,437974#-0,1449027#0,3705978#3,438395#0,02329815#-0,1435117#3,470839#-0,15815#-0,1395726#3,458962#0,007344278#-0,4846635#3,494358#-0,1161293#-0,4919621#3,502972#0,007377243#-0,5745035#3,439622#-0,1092266#-0,5697799#3,451511#0  
frame59 #-0,1039827#1,076476#3,498168#-0,08854173#0,8340312#3,509563# 0,1586166#0,4473053#2,903765#-0,341847#0,468283#2,891488#0,1534665#0,5033293#2,968483#-0,326047#0,5376449#3,031616#0,138016#0,6714014#3,176437#-0,3070678#0,6468285#3,277583#0,06542289#0,7626115#3,43286#-0,2375662#0,7580062#3,442389#-0,08158816#0,4947236#3,506566#-0,08270479#0,43566#3,449339#-0,01698728#0,3696805#3,437918#-0,1453543#0,3668967#3,437069#0,02369771#-0,1439535#3,471199#-0,157971#-0,1406046#3,458952#0,007099514#-0,4848714#3,494765#-0,1191541#-0,4855315#3,502149#0,007660971#-0,574571#3,439562#-0,1092623#-0,5691706#3,450794#0  
frame60 #-0,1017621#1,078649#3,49359#-0,08797198#0,8348055#3,504613# 0,1583366#0,4064804#2,980692#-0,3130516#0,4215684#3,037677#0,1378047#0,4654217#3,120915#-0,3064896#0,4663494#3,121773#0,1323621#0,5851174#3,282296#-0,2971879#0,5792434#3,288234#0,06888795#0,7603593#3,431963#-0,2420035#0,7501713#3,436853#-0,08153479#0,4944289#3,504882#-0,08198646#0,4352061#3,448073#-0,01480489#0,3681148#3,436186#-0,1454806#0,3649635#3,43538#0,0236696#-0,1451003#3,471133#-0,1563947#-0,146899#3,458435#0,003599672#-0,4877148#3,492864#-0,1106565#-0,5008937#3,502613#0,006147391#-0,5799549#3,447101#-0,1074744#-0,5711036#3,454293#0  
frame61 #-0,1025952#1,078329#3,486491#-0,08749267#0,8333979#3,497874# 0,1666621#0,3420832#3,057346#-0,300466#0,3373483#3,072438#0,1508497#0,386111#3,147495#-0,3115083#0,4061853#3,165939#0,1421225#0,5290007#3,286899#-0,3075727#0,544872#3,310201#0,07839935#0,7497756#3,428308#-0,2468079#0,7486029#3,437618#-0,08060178#0,4941415#3,502248#-0,08139806#0,4348469#3,446115#-0,01195331#0,3650587#3,433424#-0,1466075#0,3623718#3,432678#0,02434788#-0,1460263#3,47047#-0,1559748#-0,1490137#3,458049#0,003777812#-0,4863649#3,492349#-0,1107602#-0,5003105#3,502619#0,005823051#-0,5792077#3,445734#-0,1072599#-0,5709896#3,453141#0  
frame62 #-0,101638#1,079599#3,482631#-0,08819051#0,8326447#3,490596# 0,1667478#0,3181138#3,155376#-0,3099648#0,3057402#3,148959#0,1593748#0,3770351#3,230211#-0,3161197#0,3664504#3,222461#0,149072#0,5272685#3,361223#-0,2961096#0,4903125#3,380042#0,08147565#0,747121#3,430246#-0,250788#0,7430711#3,433828#-0,08124596#0,4935073#3,496097#-0,08092663#0,4345025#3,440389#-0,009818076#0,3623598#3,427418#-0,1478676#0,3602543#3,427092#0,02386839#-0,14718#3,469816#-0,1557431#-0,1508906#3,457644#-0,0002852539#-0,4952859#3,486552#-0,1104017#-0,5043399#3,49747#0,006608734#-0,5807945#3,447366#-0,1074255#-0,5719179#3,45393#0  
frame63 #-0,1018272#1,094731#3,476554#-0,08924498#0,8717006#3,478507# 0,1706702#0,281463#3,143536#-0,3017877#0,2614664#3,143953#0,1612288#0,3592631#3,236716#-0,3174581#0,3418097#3,244256#0,1449858#0,5057072#3,372736#-0,2946289#0,486075#3,381804#0,08246656#0,7460112#3,428903#-0,2535274#0,7407378#3,43187#-0,0808612#0,4952012#3,491237#-0,08009914#0,4320256#3,434535#-0,00763016#0,3586798#3,422579#-0,1486413#0,3556956#3,420752#0,02403745#-0,147318#3,469509#-0,1557481#-0,1518853#3,457225#0,002310558#-0,4923752#3,488148#-0,112041#-0,5014554#3,498831#0,004388876#-0,5797862#3,444473#-0,1088917#-0,5710278#3,454223#0  
frame64 #-0,100801#1,093246#3,47013#-0,09054866#0,8738402#3,476576# 0,1691529#0,2732956#3,159136#-0,3077498#0,2691872#3,184669#0,1598905#0,34434#3,247691#-0,3159622#0,3391855#3,249248#0,1397237#0,4943843#3,37982#-0,2995034#0,4846089#3,387562#0,08247943#0,746931#3,429457#-0,2556264#0,7403504#3,42997#-0,0811319#0,4972381#3,4872#-0,07969778#0,4326841#3,431434#-0,006889075#0,3589278#3,420889#-0,1484232#0,3556513#3,418148#0,02450087#-0,1465063#3,468181#-0,1557937#-0,1513352#3,456028#0,002539789#-0,4916565#3,489361#-0,1113132#-0,5014045#3,498127#0,004786097#-0,579761#3,444704#-0,1106974#-0,5698761#3,451062#0  
frame65 #-0,1050261#1,079926#3,439684#-0,09117287#0,8748057#3,467303# 0,1587863#0,2800339#3,270216#-0,2996571#0,2586095#3,275701#0,1498656#0,3488558#3,336373#-0,2956085#0,3162468#3,344544#0,1592725#0,5051555#3,462644#-0,3277214#0,4952352#3,457314#0,08270115#0,7468864#3,428993#-0,260224#0,7388287#3,427134#-0,08174832#0,5002381#3,478186#-0,07982427#0,4346469#3,423358#-0,005644452#0,3595509#3,415262#-0,1500615#0,3558735#3,410062#0,02435065#-0,1463933#3,466534#-0,1557591#-0,1511937#3,453269#0,003876179#-0,4858576#3,490913#-0,1169873#-0,4925333#3,498486#0,004186152#-0,5785643#3,44308#-0,1107256#-0,5698704#3,451104#0  
frame66 #-0,1043965#1,074463#3,433888#-0,09133964#0,8749846#3,460009# 0,1552315#0,3034951#3,276355#-0,3016862#0,2654721#3,278032#0,1508351#0,3645969#3,340616#-0,2926234#0,3106589#3,337896#0,1695034#0,5381941#3,497345#-0,3271178#0,4941415#3,462094#0,08455276#0,7489362#3,429119#-0,2607874#0,7375069#3,422852#-0,08295728#0,5014681#3,471583#-0,08050098#0,4355105#3,416801#-0,005584394#0,3596269#3,409482#-0,1516349#0,3560922#3,403407#0,02413734#-0,146745#3,464993#-0,1567745#-0,1511018#3,451399#-0,001448031#-0,4885637#3,489068#-0,1177277#-0,495012#3,49739#0,006634105#-0,5783696#3,443372#-0,1114946#-0,5705958#3,451077#0  
frame67 #-0,1008359#1,076598#3,416392#-0,0911989#0,8775986#3,452189# 0,1330533#0,3582361#3,271218#-0,3168841#0,3134438#3,269264#0,1382281#0,4084804#3,340595#-0,2894656#0,3172919#3,33431#0,1694747#0,5378565#3,495172#-0,3272934#0,5003953#3,465724#0,08676963#0,7515587#3,429906#-0,2611358#0,73981#3,42047#-0,08375121#0,5049202#3,466508#-0,08088306#0,4383596#3,412147#-0,005497778#0,3615483#3,405473#-0,152537#0,3582787#3,399539#0,02374972#-0,1457681#3,462711#-0,1572649#-0,1510551#3,451238#-0,001587523#-0,4881406#3,489042#-0,1180913#-0,4950564#3,49821#0,00675149#-0,5781491#3,443662#-0,1122909#-0,5712011#3,451691#0  
frame68 #-0,1029305#1,075456#3,405009#-0,08959834#0,8793651#3,446369# 0,1220338#0,3451104#3,231212#-0,3072281#0,3280714#3,30615#0,1279963#0,3993951#3,304625#-0,299165#0,3746691#3,358663#0,1749206#0,5467747#3,499858#-0,341764#0,5576962#3,506269#0,087301#0,7544937#3,430849#-0,2618766#0,7421869#3,420555#-0,08334581#0,5073321#3,46339#-0,08051695#0,4403009#3,409434#-0,005051581#0,3637579#3,40166#-0,1525019#0,3594028#3,398447#0,02340337#-0,1462558#3,461551#-0,158403#-0,150413#3,450244#-0,002470972#-0,4879042#3,489564#-0,1188392#-0,4948062#3,498152#0,005076773#-0,5772241#3,442998#-0,1125932#-0,5713305#3,452121#0  
