frame1 #-0,1131623#1,068678#3,41602#-0,08892075#0,885834#3,42789# 0,4929415#0,4136955#3,575498#-0,6609156#0,3342061#3,556997#0,4486299#0,4838433#3,532707#-0,6328107#0,3961923#3,545634#0,2737974#0,6397027#3,509533#-0,459055#0,5829005#3,507111#0,08791345#0,7724236#3,418306#-0,2667091#0,7602437#3,422439#-0,08312573#0,5209929#3,442368#-0,0825692#0,4513788#3,406865#-0,001615651#0,3745351#3,401887#-0,1611958#0,3690541#3,399038#0,02370037#-0,1636108#3,470692#-0,1634912#-0,160864#3,45542#-0,00143967#-0,5023858#3,490699#-0,1150163#-0,510438#3,498802#0,002508818#-0,5763732#3,449844#-0,1140891#-0,5761248#3,454912#0  
frame12 #-0,1106849#1,112015#3,484642#-0,08953871#0,8967268#3,494527# 0,4473149#0,7776482#3,021376#-0,586416#0,7204284#3,033697#0,4023935#0,7747867#3,085085#-0,5293589#0,7287803#3,105883#0,2746435#0,7820216#3,254522#-0,4137198#0,7640772#3,280872#0,09083782#0,7810944#3,42809#-0,2681248#0,7749408#3,447206#-0,08350778#0,5143682#3,490275#-0,0850899#0,4454607#3,442554#-0,004516179#0,3696613#3,429677#-0,1639786#0,3657959#3,432006#0,02320721#-0,1516287#3,472823#-0,1676033#-0,1488039#3,460808#0,002470988#-0,4834477#3,490659#-0,1174149#-0,4926054#3,501693#0,007267345#-0,5730014#3,448475#-0,114592#-0,5722352#3,452639#0  
frame13 #-0,1094614#1,10844#3,491099#-0,09051278#0,8956002#3,499017# 0,4140944#0,7846995#2,967291#-0,5591996#0,73744#2,988182#0,3433996#0,7911513#3,06973#-0,5063791#0,7513409#3,059038#0,2248762#0,7921335#3,245198#-0,4012958#0,7696146#3,242594#0,08512064#0,7815398#3,428118#-0,2666846#0,7742473#3,447859#-0,08341162#0,511807#3,493188#-0,08507837#0,4429959#3,444113#-0,005409317#0,3682642#3,431305#-0,1629822#0,3644302#3,432939#0,02338439#-0,14955#3,472556#-0,1667121#-0,1451221#3,461674#0,004084024#-0,4853503#3,489918#-0,1170518#-0,4912241#3,50278#0,008249738#-0,576463#3,448351#-0,1145869#-0,5717648#3,452872#0  
frame14 #-0,1090388#1,106338#3,495679#-0,09115559#0,8950741#3,501073# 0,3483805#0,8127178#2,994374#-0,5449362#0,7552105#2,9205#0,2940199#0,8142244#3,048801#-0,4959247#0,7584197#3,022156#0,2176597#0,7943283#3,246111#-0,3877976#0,7701386#3,230273#0,08000633#0,7810114#3,428349#-0,2613007#0,7731527#3,448957#-0,08340476#0,5097111#3,495354#-0,08525448#0,440704#3,445173#-0,006852156#0,3671699#3,432933#-0,1621185#0,3637726#3,433435#0,02364672#-0,149203#3,472687#-0,1665511#-0,1450353#3,461805#0,002442423#-0,4869601#3,489919#-0,1186551#-0,4929973#3,500255#0,006222803#-0,5789647#3,448156#-0,1125202#-0,5734046#3,450873#0  
frame15 #-0,1094165#1,106479#3,497276#-0,09078777#0,8948703#3,506048# 0,284571#0,8276668#2,976806#-0,4484708#0,8137062#2,960171#0,2675499#0,8196691#3,047149#-0,4311547#0,7821976#3,026798#0,1806174#0,8006679#3,238054#-0,379258#0,7765146#3,231843#0,07017907#0,7849226#3,429462#-0,2595008#0,7732984#3,449672#-0,08329944#0,5078955#3,497358#-0,08539236#0,4392086#3,445979#-0,008436087#0,3670025#3,433456#-0,1609073#0,3632413#3,434402#0,02345921#-0,1471939#3,472799#-0,1668519#-0,1447854#3,462161#0,003365037#-0,4843049#3,493115#-0,1202503#-0,4901754#3,501711#0,005827298#-0,5741736#3,444609#-0,1126652#-0,5730828#3,451202#0  
frame16 #-0,1084409#1,107294#3,498671#-0,09092605#0,8963349#3,510018# 0,2700489#0,8312311#2,895713#-0,4056223#0,8029974#3,006385#0,2513312#0,829273#2,974008#-0,4117372#0,7880038#3,019437#0,1703703#0,811932#3,16828#-0,3706257#0,7780576#3,227279#0,06735851#0,786595#3,431355#-0,2540607#0,7725203#3,44839#-0,08388963#0,5058405#3,499452#-0,08582778#0,4366817#3,44699#-0,01069023#0,3658242#3,435594#-0,1603203#0,362788#3,434501#0,02333749#-0,146766#3,473203#-0,1659699#-0,1441926#3,463115#0,004583566#-0,4865769#3,492266#-0,1205695#-0,4914752#3,501096#0,006008549#-0,5763272#3,443639#-0,1114023#-0,5735594#3,452227#0  
frame17 #-0,108369#1,114106#3,50962#-0,0911136#0,8968998#3,514258# 0,2381185#0,8394548#2,883549#-0,4027086#0,8139176#2,884354#0,1899323#0,82921#2,994341#-0,3788422#0,8059747#3,036095#0,1607728#0,8045243#3,202034#-0,3163375#0,792084#3,236834#0,06165189#0,7898154#3,433096#-0,2498343#0,770774#3,449336#-0,08305655#0,5042875#3,501088#-0,08494865#0,4352626#3,447535#-0,01094151#0,365769#3,436514#-0,1565731#0,3627459#3,433974#0,02294602#-0,1468045#3,473513#-0,1649541#-0,1445521#3,463258#0,003898493#-0,4878755#3,492441#-0,1205167#-0,4971465#3,50381#0,004768211#-0,5768017#3,444975#-0,1115654#-0,5743847#3,452865#0  
frame18 #-0,1080873#1,113371#3,510848#-0,09099148#0,8979899#3,517502# 0,1932175#0,8505225#2,872195#-0,3864471#0,8268871#2,85125#0,1761798#0,8316809#3,013148#-0,3515623#0,8224967#2,999325#0,1370376#0,8012848#3,216932#-0,3146815#0,7911265#3,238306#0,05813036#0,7876309#3,434587#-0,246224#0,7702909#3,448793#-0,08244516#0,5018696#3,502788#-0,08378292#0,4321497#3,448122#-0,01117586#0,3650841#3,437376#-0,1539988#0,3617389#3,433781#0,02297793#-0,1446394#3,473242#-0,1643996#-0,14392#3,463317#0,003814471#-0,4833026#3,496105#-0,1193307#-0,497849#3,500443#0,004926668#-0,573586#3,444513#-0,1100849#-0,5738285#3,452928#0  
frame19 #-0,1081143#1,11284#3,510797#-0,09168177#0,8986325#3,519057# 0,1692555#0,8558687#2,86516#-0,3465#0,8409811#2,882319#0,1427195#0,8419239#2,999496#-0,3031424#0,8273216#3,037327#0,1291154#0,8098819#3,205778#-0,3123868#0,792921#3,24346#0,05066378#0,7834822#3,436002#-0,2418095#0,7694407#3,452015#-0,08203425#0,4998002#3,503975#-0,08354723#0,4294391#3,448412#-0,01231597#0,3644836#3,43839#-0,1522443#0,3610401#3,433617#0,02297808#-0,1444232#3,473456#-0,1633759#-0,1426918#3,463079#0,002897335#-0,4835857#3,496003#-0,1189841#-0,499295#3,500486#0,005023565#-0,5745175#3,444725#-0,1096688#-0,573733#3,453147#0  
frame20 #-0,1078869#1,112479#3,510813#-0,09178633#0,8988241#3,519584# 0,1228973#0,8590059#2,860484#-0,3009489#0,8585325#2,944588#0,1059844#0,8379467#3,041542#-0,2892772#0,8414481#3,048157#0,1409326#0,8196347#3,247557#-0,2978643#0,7952315#3,250258#0,04318164#0,7821033#3,438556#-0,2263491#0,7723438#3,456873#-0,08106238#0,4975635#3,504433#-0,08296503#0,4265839#3,447971#-0,01365784#0,3644429#3,438702#-0,1488717#0,3612075#3,433214#0,02244332#-0,1423614#3,472799#-0,1633845#-0,138939#3,462374#0,002878872#-0,4837351#3,495594#-0,1184084#-0,4958593#3,499702#0,005545804#-0,5755818#3,445116#-0,1101412#-0,5725489#3,452602#0  
frame21 #-0,1080575#1,109754#3,507141#-0,09007683#0,8968006#3,520454# 0,0992036#0,8630512#2,84785#-0,2669325#0,8692238#2,845224#0,09188646#0,8493739#2,977539#-0,2663734#0,8458802#3,042856#0,1002259#0,8192279#3,182598#-0,2890443#0,7963943#3,250581#0,04041022#0,7827778#3,439044#-0,221801#0,7647685#3,457728#-0,07967091#0,4968122#3,50494#-0,08228567#0,4263884#3,447887#-0,01220464#0,3665329#3,438011#-0,148249#0,3622497#3,434762#0,02449356#-0,1367965#3,472108#-0,1632023#-0,1367382#3,461925#0,003639367#-0,4819407#3,493706#-0,1210973#-0,4918821#3,498117#0,006566322#-0,574475#3,443468#-0,1107337#-0,5707273#3,451254#0  
