frame1 #-0,1122307#1,0945#3,575987#-0,1233179#0,915862#3,576149# -0,00591716#0,8244362#2,937646#-0,227871#0,8170401#2,971425#0,04133929#0,8065826#3,094099#-0,2688971#0,8097798#3,103679#0,07118344#0,7689425#3,31562#-0,3180973#0,7659188#3,32026#-0,001763993#0,7376374#3,5062#-0,2412701#0,7878619#3,516844#-0,115611#0,5631493#3,547127#-0,1136838#0,5062494#3,488782#-0,05851498#0,44053#3,485891#-0,1662927#0,4631311#3,465031#-0,004315613#-0,1388772#3,517884#-0,1894679#-0,1425934#3,51449#-0,01435695#-0,4978831#3,564219#-0,1259153#-0,5170822#3,561673#-0,01221909#-0,5336244#3,498593#-0,1594373#-0,5873756#3,528777#0  
frame12 #-0,1474621#1,082965#3,514513#-0,1190272#0,890759#3,548808# 0,09419329#0,2623786#3,323916#-0,3212572#0,2460417#3,33736#0,09605187#0,3291072#3,382865#-0,3287551#0,3132751#3,395279#0,10241#0,5082704#3,481059#-0,3448704#0,5107425#3,525193#0,04222582#0,7680181#3,500769#-0,2802501#0,7545043#3,490087#-0,1118123#0,52355#3,550516#-0,1091093#0,4595857#3,497378#-0,03804462#0,3879407#3,492863#-0,1783071#0,3837796#3,478811#-0,001636825#-0,1525642#3,547641#-0,1830823#-0,1544273#3,538107#-0,02962691#-0,4974676#3,567295#-0,1283981#-0,5062454#3,570664#-0,02606788#-0,5342115#3,49866#-0,1552261#-0,5799182#3,527249#0  
frame13 #-0,1491736#1,08736#3,511271#-0,1207701#0,8886626#3,54094# 0,1040311#0,3005626#3,355956#-0,3127118#0,2369537#3,379609#0,1012913#0,3631242#3,401676#-0,3200762#0,3036225#3,42304#0,11709#0,5251094#3,532329#-0,3529264#0,5160345#3,546284#0,04201773#0,7640729#3,49425#-0,2834856#0,7534981#3,487264#-0,1122701#0,5244826#3,548394#-0,109796#0,45996#3,495678#-0,03804321#0,3883621#3,491792#-0,1791815#0,3836797#3,4777#-0,001753989#-0,153717#3,546776#-0,183965#-0,1561152#3,535938#-0,02631087#-0,5038161#3,566983#-0,1195755#-0,516241#3,567035#-0,02349773#-0,5406191#3,498381#-0,1593234#-0,5860312#3,527348#0  
frame14 #-0,1471959#1,088221#3,491808#-0,1308178#0,8883601#3,481207# 0,06773411#0,4106958#3,302861#-0,298544#0,3727987#3,452729#0,07138874#0,4820358#3,358219#-0,303497#0,4367855#3,503865#0,1122204#0,6119375#3,593096#-0,3425419#0,6543648#3,629245#0,0349419#0,7884242#3,493557#-0,2865648#0,7704326#3,489697#-0,1157117#0,5416236#3,524498#-0,1124966#0,4726824#3,481078#-0,0395898#0,4020864#3,480681#-0,180465#0,3943838#3,470366#0,0006312693#-0,1488116#3,54006#-0,1837996#-0,1534931#3,532805#-0,02593557#-0,5040901#3,565601#-0,1229398#-0,5112633#3,564814#-0,02385386#-0,5420027#3,497747#-0,156241#-0,5846341#3,532601#0  
frame15 #-0,1482078#1,089569#3,479503#-0,1299218#0,8886622#3,480725# 0,1055686#0,4830225#3,36303#-0,2972838#0,3682187#3,447417#0,08931544#0,542883#3,388132#-0,3022367#0,4322054#3,498553#0,1281135#0,6682214#3,635048#-0,3412816#0,6497847#3,623922#0,03363983#0,791458#3,490376#-0,2865106#0,770543#3,489747#-0,1154253#0,5419425#3,519104#-0,1129171#0,4733729#3,478671#-0,04069689#0,403111#3,478137#-0,1805952#0,3961235#3,46879#0,0008030189#-0,1488297#3,539879#-0,1824078#-0,1545445#3,53074#-0,0251539#-0,5038707#3,565525#-0,1287847#-0,5091394#3,564926#-0,02382777#-0,5415753#3,497907#-0,152489#-0,578435#3,528612#0  
frame16 #-0,1465392#1,08609#3,473055#-0,1284084#0,8886898#3,480031# 0,1055519#0,4814408#3,363373#-0,303335#0,3497376#3,409108#0,08927409#0,541392#3,388513#-0,3082879#0,4137245#3,460244#0,1182058#0,6688664#3,633601#-0,3478632#0,630089#3,58668#0,03374668#0,7926196#3,491431#-0,2862679#0,7711729#3,489757#-0,1147796#0,5417202#3,514593#-0,112307#0,4733602#3,476816#-0,04045371#0,403348#3,476825#-0,1798213#0,3965112#3,467367#0,001153293#-0,1486512#3,540077#-0,1818933#-0,1545653#3,53004#-0,02350849#-0,5035642#3,564164#-0,1267699#-0,5087619#3,565717#-0,02196877#-0,5410774#3,496769#-0,1532097#-0,5789412#3,52767#0  
frame17 #-0,145728#1,082904#3,46795#-0,1251538#0,8869539#3,477618# 0,1050396#0,4862196#3,364284#-0,3269396#0,3782343#3,461359#0,08873594#0,5462661#3,389464#-0,3318926#0,4422211#3,512496#0,1191261#0,6671237#3,629553#-0,3709375#0,6598004#3,637866#0,03561279#0,7932646#3,493782#-0,2857395#0,7716494#3,489481#-0,1142187#0,5404376#3,508516#-0,1118391#0,4725208#3,472958#-0,04027098#0,4026639#3,472912#-0,1796413#0,3959172#3,464419#0,001885633#-0,1489843#3,537815#-0,181636#-0,1565847#3,528653#-0,02366067#-0,5034418#3,564081#-0,1279391#-0,5102633#3,567138#-0,02156261#-0,5407454#3,4969#-0,1531139#-0,5801144#3,530195#0  
frame18 #-0,1457005#1,082989#3,468035#-0,1235414#0,8885711#3,478771# 0,1050024#0,4860737#3,364299#-0,3341776#0,379996#3,459118#0,08867716#0,5461997#3,389513#-0,3391306#0,4439828#3,510254#0,1218096#0,6690245#3,633655#-0,3781755#0,6615621#3,635631#0,03535511#0,7934547#3,49344#-0,2854756#0,7715548#3,488942#-0,113638#0,5399064#3,505941#-0,1112284#0,4717986#3,471472#-0,03997267#0,4026777#3,470205#-0,1788545#0,3952855#3,463358#0,003468803#-0,1496933#3,535799#-0,1803078#-0,1578676#3,525928#-0,02168186#-0,5021243#3,560757#-0,1296194#-0,5097156#3,565797#-0,007528412#-0,5791425#3,519354#-0,1535265#-0,5809605#3,527149#0  
frame19 #-0,1444323#1,08301#3,469861#-0,1229744#0,8886511#3,47892# 0,1058945#0,4867846#3,366657#-0,3006887#0,3564092#3,412017#0,08954795#0,5469891#3,391904#-0,3056416#0,420396#3,463153#0,1367449#0,6741124#3,633921#-0,3446865#0,6379753#3,588534#0,0380659#0,7912408#3,495441#-0,2835494#0,7725109#3,484264#-0,1135024#0,5388043#3,503107#-0,1103493#0,4705965#3,469483#-0,0388881#0,401208#3,468808#-0,1780202#0,3940279#3,459813#0,003814285#-0,1510628#3,532624#-0,179928#-0,158599#3,523996#-0,008183878#-0,4955477#3,552407#-0,1286381#-0,5118367#3,565597#-0,004103481#-0,5794678#3,521151#-0,1529532#-0,5788872#3,520619#0  
frame20 #-0,1447137#1,083058#3,468305#-0,1220451#0,8889415#3,479411# 0,1074812#0,491384#3,372385#-0,3017348#0,3557255#3,410877#0,09131216#0,5509347#3,397358#-0,3066878#0,4197123#3,462013#0,1428987#0,6797867#3,636336#-0,3457327#0,6372916#3,587401#0,03819481#0,7914398#3,495504#-0,2836085#0,7724435#3,484393#-0,1130853#0,5384007#3,50123#-0,1100554#0,4701881#3,468231#-0,03855271#0,4007551#3,46664#-0,1778819#0,3936057#3,45889#0,004153982#-0,1507055#3,532469#-0,179785#-0,1588916#3,524065#0,04301849#-0,4566169#3,510916#-0,1266163#-0,5127544#3,566175#-0,005967729#-0,5275068#3,542056#-0,1565302#-0,5800995#3,520361#0  
frame21 #-0,1433233#1,07776#3,465858#-0,1201555#0,8890818#3,480476# 0,1003039#0,4902497#3,356955#-0,272474#0,2846831#3,277322#0,08429901#0,5491956#3,381674#-0,2774269#0,3486699#3,328458#0,1317246#0,6708905#3,624495#-0,3164718#0,5662492#3,45385#0,03862695#0,7917371#3,495408#-0,283287#0,7726423#3,484318#-0,1124332#0,5377523#3,500154#-0,1095505#0,4695389#3,467724#-0,03815398#0,4002469#3,466406#-0,1775086#0,3929339#3,45797#0,005698489#-0,1478192#3,529041#-0,1798118#-0,1588516#3,52413#0,04421019#-0,4524786#3,510736#-0,1243816#-0,5126193#3,566594#-0,006121904#-0,5265076#3,538454#-0,1594544#-0,5824621#3,524443#0  
