frame12 #0,2553479#0,9809668#3,55337#0,3209741#0,8142466#3,557805# 0,4215983#0,2473857#3,335281#0,1244379#0,5143839#3,379112#0,4770483#0,3140202#3,377232#0,1171119#0,5850236#3,374285#0,5734453#0,4917611#3,447793#0,05789099#0,8552058#3,337086#0,4423049#0,6840154#3,44591#0,1642606#0,7188835#3,578045#0,3167976#0,4388269#3,568458#0,2907704#0,3724931#3,518514#0,3489363#0,3027269#3,485658#0,2228936#0,3082764#3,53684#0,3340331#-0,1832315#3,497899#0,1323713#-0,1444908#3,617469#0,3822435#-0,5448787#3,488592#-0,01809037#-0,5614293#3,614678#0,3138681#-0,609733#3,498294#-0,04957351#-0,5990903#3,548518#1  
frame13 #0,2536124#0,980337#3,554523#0,3185227#0,8117819#3,556699# 0,4183149#0,2373729#3,335643#0,1182805#0,5138887#3,382482#0,4777738#0,2974046#3,382256#0,1169661#0,5846764#3,373842#0,5733176#0,4917229#3,447865#0,06174789#0,8502579#3,332237#0,4415962#0,6818313#3,445538#0,1639393#0,7202857#3,57729#0,3161899#0,4389938#3,568743#0,2902977#0,3726075#3,518892#0,3482833#0,3035092#3,486897#0,2227007#0,3081754#3,536858#0,3336641#-0,1830649#3,498972#0,1299696#-0,1723557#3,618986#0,3825154#-0,5449641#3,488702#-0,01907443#-0,5629044#3,613663#0,3138408#-0,6095442#3,500184#-0,02725199#-0,6239204#3,579942#1  
frame14 #0,2540545#0,9767914#3,552933#0,3182616#0,8110192#3,556395# 0,4370727#0,2298856#3,345899#0,121271#0,5143144#3,386932#0,4933801#0,2997737#3,38254#0,1169929#0,5845705#3,373525#0,5714725#0,4886476#3,447752#0,06699809#0,840179#3,325056#0,4421966#0,6813306#3,445773#0,1650894#0,7202239#3,575384#0,3157432#0,4392959#3,568983#0,2900832#0,3731533#3,519248#0,3480972#0,3047195#3,487686#0,222591#0,308365#3,536908#0,3350983#-0,1805286#3,499556#0,1294857#-0,1741709#3,6197#0,3828269#-0,5446075#3,488714#-0,02008036#-0,5661738#3,615903#0,3139197#-0,6094298#3,500097#-0,0512133#-0,6041082#3,54914#1  
frame15 #0,2539408#0,9756143#3,55312#0,3183125#0,8107253#3,556325# 0,4406583#0,2248513#3,346997#0,1141968#0,5087241#3,366813#0,4934304#0,3007171#3,382224#0,1177211#0,5814543#3,373268#0,5712791#0,4895976#3,447578#0,09400834#0,7981492#3,309104#0,4421938#0,6813769#3,445729#0,165225#0,7201105#3,57526#0,3154713#0,4392118#3,569403#0,2897707#0,3730105#3,519986#0,3479411#0,3049472#3,488476#0,2220707#0,3079762#3,537736#0,3345089#-0,1807868#3,500182#0,1287778#-0,1775253#3,620434#0,3836441#-0,5449491#3,489019#-0,01851591#-0,567861#3,614564#0,3151934#-0,609981#3,503011#-0,04970979#-0,6058707#3,547698#1  
frame16 #0,2546962#0,9741196#3,555125#0,3172031#0,8086799#3,555163# 0,4468093#0,2164524#3,360302#0,1104144#0,5059028#3,369021#0,4943275#0,30047#3,382068#0,1180176#0,5784808#3,373857#0,5695355#0,4907375#3,445722#0,09614219#0,7936574#3,306785#0,4387233#0,6769659#3,445536#0,1652753#0,7209657#3,576116#0,3146529#0,4386329#3,569887#0,2887343#0,3722007#3,521371#0,346913#0,3044783#3,489938#0,2211275#0,3072183#3,539642#0,3357931#-0,178853#3,500178#0,1286319#-0,1770464#3,620261#0,38456#-0,5452731#3,490468#-0,008913387#-0,5689558#3,607436#0,3152691#-0,6100612#3,503459#-0,04063337#-0,6071188#3,540582#1  
frame17 #0,2538348#0,9747587#3,554823#0,3144916#0,807593#3,55453# 0,4518434#0,2013211#3,358989#0,1116264#0,4776872#3,383661#0,4954602#0,287225#3,378151#0,1176038#0,5496304#3,391399#0,5539279#0,4825666#3,444255#0,1107336#0,7262228#3,290653#0,4369167#0,6762642#3,445041#0,1634604#0,7227412#3,577669#0,3130926#0,4412569#3,569095#0,2871694#0,3760766#3,521016#0,3479349#0,3092733#3,488803#0,2170271#0,3116532#3,539733#0,3533148#-0,1717037#3,491725#0,1285992#-0,177097#3,619747#0,3854195#-0,5449226#3,49017#-0,01094201#-0,5688379#3,606491#0,3258001#-0,6107236#3,524052#-0,04281936#-0,6067563#3,540224#1  
frame18 #0,2527992#0,9734836#3,552228#0,3121201#0,8070602#3,551839# 0,4560702#0,1995826#3,361505#0,0991895#0,4426374#3,477029#0,4964501#0,2867389#3,379274#0,1035865#0,5102778#3,42672#0,5518252#0,4834945#3,442251#0,1167777#0,713199#3,28939#0,4357589#0,6750782#3,444161#0,1701451#0,7146344#3,568628#0,3119121#0,4419058#3,56824#0,2868886#0,3763029#3,520528#0,3477687#0,3100505#3,488189#0,2167089#0,3125771#3,539714#0,3530054#-0,1725998#3,493385#0,1280151#-0,1776521#3,619552#0,3869787#-0,5447003#3,489263#-0,0118754#-0,5709866#3,606392#0,3156706#-0,6065184#3,502288#-0,04306012#-0,6090367#3,539741#1  
frame19 #0,2563474#0,9712189#3,549131#0,3090457#0,8049788#3,550075# 0,452602#0,1966504#3,356721#0,07646923#0,4592175#3,45425#0,4935499#0,2826453#3,378182#0,08711351#0,5142343#3,405773#0,5475572#0,4798129#3,440192#0,1190463#0,6792848#3,273903#0,4352867#0,6719888#3,442602#0,1652735#0,6666389#3,557714#0,3099788#0,4408412#3,567827#0,286337#0,3748178#3,520574#0,3475135#0,3087732#3,487623#0,2165351#0,3096659#3,54121#0,3532992#-0,1725961#3,493104#0,1282456#-0,1787512#3,619898#0,3870849#-0,5434887#3,488951#-0,01220075#-0,5737178#3,603026#0,3162649#-0,6068877#3,500781#-0,06716913#-0,6181796#3,606764#1  
frame20 #0,2563402#0,9712667#3,546827#0,3085684#0,8056186#3,548121# 0,4342815#0,1790811#3,349515#0,1795122#0,7290266#3,21927#0,4723108#0,2668785#3,369006#0,1594075#0,6947134#3,237566#0,5310265#0,4589445#3,436576#0,02561876#0,5298547#3,405234#0,434918#0,6710641#3,441059#0,1554029#0,6323799#3,557907#0,3098041#0,4399134#3,566531#0,2864462#0,3727825#3,520272#0,3484057#0,3066121#3,486713#0,2163622#0,3034434#3,542282#0,3523947#-0,1757792#3,494738#0,1279227#-0,1804292#3,619594#0,3866571#-0,5433122#3,48949#-0,0122543#-0,5758359#3,596586#0,3165824#-0,6067576#3,508846#-0,06967652#-0,6176101#3,603223#1  
frame21 #0,2572283#0,9707645#3,547315#0,3101908#0,8078585#3,541265# 0,5191787#0,1991008#3,354954#0,2012064#0,6883014#3,213889#0,4766558#0,2545717#3,371594#0,1408518#0,6734108#3,26069#0,515878#0,4532488#3,425151#0,01510632#0,5591943#3,401405#0,4349672#0,6703826#3,439064#0,1513011#0,635699#3,562906#0,3094029#0,440289#3,564471#0,2859072#0,3722545#3,520002#0,3480112#0,3058415#3,486663#0,2147922#0,3017146#3,542249#0,3480091#-0,1798801#3,498004#0,1262465#-0,152182#3,616692#0,3860453#-0,5431699#3,489531#-0,01079201#-0,577681#3,595366#0,3154302#-0,6076385#3,501548#-0,05970027#-0,6280469#3,583326#1  
