frame12 #0,03517646#0,9593967#3,744886#0,02642663#0,7776253#3,710175# -0,4152436#0,8798999#3,416543#-0,3026245#0,9287794#3,470044#-0,392749#0,8025569#3,443756#-0,303722#0,8482448#3,497274#-0,2383747#0,6319688#3,526623#-0,2886408#0,6217033#3,524903#0,01001269#0,6939102#3,622511#-0,07118744#0,6152325#3,565338#0,03494348#0,3932486#3,717652#0,05971375#0,3232182#3,675071#0,07410257#0,2815624#3,699762#0,04595036#0,2877378#3,638873#-0,1736583#-0,2083751#3,615733#-0,04729492#-0,23257#3,811034#-0,062255#-0,5794585#3,59059#-0,05759612#-0,5259364#3,672308#-0,1342097#-0,5937281#3,542295#-0,1047228#-0,5516419#3,602797#1  
frame13 #0,04043743#0,9611111#3,745283#0,0187346#0,7781602#3,712688# -0,3545955#0,8620006#3,523692#-0,2830707#0,9854514#3,522186#-0,3317102#0,7833144#3,551378#-0,2880176#0,9025095#3,545721#-0,2312895#0,6170319#3,531686#-0,297064#0,6369039#3,540062#0,002320662#0,6944451#3,625024#-0,07794526#0,6130614#3,570345#0,02668626#0,3932207#3,716542#0,05250007#0,3235613#3,67272#0,06756015#0,2787044#3,701173#0,03999482#0,2847592#3,631359#-0,1740664#-0,2045484#3,616715#-0,06137586#-0,2312786#3,806354#-0,06884962#-0,5963152#3,644132#-0,05053391#-0,5315241#3,693014#-0,1458694#-0,6077932#3,600167#-0,1215296#-0,5548688#3,643909#1  
frame14 #0,0543964#0,9530993#3,751678#0,008768047#0,7717192#3,71789# -0,3536317#0,8357094#3,536246#-0,2710235#0,9878275#3,536188#-0,3303352#0,7556093#3,564429#-0,2838865#0,9141775#3,562019#-0,1010712#0,6189357#3,585894#-0,3324192#0,6544009#3,571382#0,1533754#0,6218391#3,692734#-0,08436126#0,6086714#3,580123#0,0002003964#0,3918698#3,711516#0,01937901#0,3246088#3,662847#0,06663731#0,2680991#3,683195#-0,03685766#0,2691918#3,628236#-0,01435648#-0,1920724#3,801909#-0,1954201#-0,1882148#3,742113#-0,04655975#-0,5867317#3,689494#-0,03986222#-0,4658526#3,753536#-0,1281504#-0,596764#3,649994#-0,1122458#-0,4984925#3,708668#1  
frame15 #-0,03503747#0,9469451#3,781425#-0,007045381#0,7605429#3,719368# -0,3104934#0,8297538#3,617018#-0,2475753#0,9878569#3,601338#-0,3055965#0,7680253#3,635462#-0,2732337#0,9135531#3,634605#-0,08080016#0,6235293#3,615362#-0,3374485#0,6638135#3,648697#0,1772966#0,6110461#3,715717#-0,08920412#0,604885#3,58753#-0,01599052#0,3831585#3,710214#0,005486182#0,3167263#3,662038#0,06189247#0,2552876#3,679618#-0,058205#0,2489545#3,625267#-0,01582524#-0,192351#3,802011#-0,3270264#-0,2244425#3,689308#-0,04709025#-0,5750201#3,685734#-0,04425098#-0,4824941#3,736163#-0,1322078#-0,5835611#3,649072#-0,1250978#-0,5064161#3,696748#1  
frame16 #-0,03139969#0,935791#3,782309#-0,02347356#0,7445804#3,725286# -0,329104#0,8366448#3,695772#-0,2437482#0,9374254#3,698521#-0,3241836#0,7746208#3,714304#-0,2842903#0,8608412#3,712869#-0,1475894#0,6377395#3,629008#-0,3417909#0,6697232#3,719947#0,1165399#0,5885882#3,682048#-0,1274972#0,5777219#3,608575#-0,03637847#0,3366195#3,701636#-0,02223413#0,2663729#3,647486#0,03918034#0,2203089#3,656926#-0,08100013#0,1993143#3,616085#-0,02494574#-0,1989872#3,79232#-0,3324421#-0,2175486#3,688998#-0,04802231#-0,5765815#3,685981#-0,08026718#-0,4422591#3,759448#-0,02603198#-0,6139189#3,6161#-0,1623338#-0,4721931#3,723248#1  
frame17 #-0,04192788#0,9515529#3,777154#-0,07699468#0,7599485#3,742259# -0,2728571#0,7880476#3,67242#-0,2256266#0,9504884#3,787498#-0,2679195#0,7258073#3,691017#-0,2663102#0,8736371#3,801895#-0,1489811#0,6012288#3,600675#-0,3508099#0,669122#3,728822#0,1158316#0,5799054#3,682154#-0,1990729#0,6063074#3,638437#-0,05540957#0,3485568#3,703182#-0,04334832#0,2790688#3,646166#0,03437184#0,2191929#3,653404#-0,1171678#0,2082746#3,61246#-0,02891938#-0,1984836#3,786933#-0,3264382#-0,2078425#3,68431#-0,09459254#-0,6041633#3,645986#-0,07838243#-0,4443215#3,760578#-0,03184444#-0,6256502#3,671444#-0,164165#-0,4721368#3,727319#1  
frame18 #-0,1353548#0,8811128#3,777392#-0,07416754#0,6961133#3,730164# 0,04143709#0,7439216#3,815433#-0,2399719#0,9739745#3,901091#0,04639108#0,6814736#3,834091#-0,2807912#0,8968667#3,915537#0,1546299#0,5148309#3,845597#-0,3471199#0,6801504#3,827098#0,0934369#0,5566304#3,686419#-0,1954556#0,590646#3,649158#-0,06109603#0,3364488#3,697026#-0,04897899#0,2732102#3,640782#0,01768#0,2092318#3,642477#-0,1167384#0,2050792#3,60748#-0,03763925#-0,2011573#3,785038#-0,3007325#-0,1920332#3,658486#-0,05549323#-0,5633171#3,692456#-0,1078802#-0,5702625#3,697588#-0,04291148#-0,6008105#3,619835#-0,118231#-0,6439389#3,712688#1  
frame19 #-0,1370763#0,8765401#3,791607#-0,08578094#0,6893911#3,728966# 0,2163943#0,650051#3,948761#-0,1929132#0,844816#3,933854#0,2213611#0,5874422#3,967468#-0,2338376#0,7675098#3,948337#0,2741707#0,4580471#3,838114#-0,3352886#0,6195115#3,784303#0,09160322#0,5573431#3,691388#-0,1939536#0,584841#3,647303#-0,06929359#0,3201106#3,690951#-0,0553467#0,2592906#3,634045#0,009855204#0,1919488#3,636885#-0,1156057#0,1973202#3,600193#-0,04213754#-0,211194#3,787296#-0,2838682#-0,2211678#3,658478#-0,04939263#-0,5527822#3,695743#-0,09021147#-0,6009748#3,697691#-0,03513662#-0,5906155#3,622947#-0,1127868#-0,6638554#3,721059#1  
frame20 #-0,1314752#0,8448306#3,7817#-0,08858977#0,6550061#3,721943# 0,1921812#0,626036#3,962534#-0,1722734#0,7851935#3,836668#0,1971603#0,5632715#3,981287#-0,2132996#0,7076949#3,851187#0,2498819#0,4352756#3,851883#-0,3618674#0,5546694#3,713247#0,08066331#0,5370808#3,695188#-0,1888222#0,5731331#3,643065#-0,07525168#0,3043951#3,686546#-0,05970993#0,247368#3,630268#0,003026782#0,1834606#3,634896#-0,1155555#0,1876572#3,595068#-0,04210913#-0,2135157#3,789022#-0,2536703#-0,2145378#3,664026#-0,05123438#-0,5486593#3,69746#-0,07498906#-0,5953787#3,697629#-0,03322187#-0,5866713#3,6251#-0,1039027#-0,6591328#3,684949#1  
frame21 #-0,2448074#0,8270519#3,774215#-0,138081#0,6615799#3,739337# 0,1171794#0,57648#3,924545#-0,1772768#0,7144914#3,87249#0,1221704#0,5135643#3,943344#-0,2184017#0,6368062#3,887044#0,1852684#0,3797325#3,826006#-0,3408388#0,4816996#3,759571#0,07437644#0,5166664#3,71346#-0,2438291#0,5145586#3,616629#-0,08838311#0,2951191#3,686335#-0,06695557#0,2399522#3,629824#0,002823483#0,1678278#3,634655#-0,1272341#0,1702457#3,586391#-0,09956957#-0,2470661#3,794097#-0,3133026#-0,2268278#3,688987#-0,0633089#-0,5574326#3,703922#-0,07062683#-0,5830006#3,688281#-0,04036923#-0,5961363#3,633896#-0,09672422#-0,6478447#3,699216#1  
frame22 #-0,2794309#0,8028688#3,763116#-0,1572969#0,6454971#3,726392# 0,1072138#0,546388#3,944996#-0,2058955#0,6967954#3,862211#0,1122278#0,4831834#3,963881#-0,2472093#0,6187536#3,876832#0,1750281#0,349983#3,847258#-0,4203414#0,4462835#3,796296#0,06052085#0,4851557#3,713223#-0,2953755#0,4889466#3,676857#-0,0999571#0,2884938#3,686803#-0,08334944#0,232874#3,628415#-0,002431994#0,1566115#3,635893#-0,1430907#0,1577284#3,579677#-0,08353616#-0,2415104#3,806194#-0,3055899#-0,219023#3,683543#-0,1156743#-0,5549658#3,732188#-0,07459795#-0,5817744#3,690236#-0,06049573#-0,6071719#3,672892#-0,0814302#-0,6520523#3,680883#1  
