frame1 #-0,5237741#0,8219861#3,156942#-0,4715976#0,6461099#3,204915# -0,5368201#0,2011311#2,995196#-0,9382527#0,3104459#2,988651#-0,4458085#0,224316#3,042294#-0,8802229#0,3023432#3,086753#-0,2653787#0,3634721#3,077426#-0,7306931#0,3489246#3,267842#-0,3285518#0,5510738#3,157319#-0,6160389#0,5044696#3,300758#-0,3957547#0,2763196#3,265374#-0,3805861#0,2023615#3,280956#-0,3016285#0,1432559#3,261548#-0,4309977#0,122284#3,319736#-0,1344583#-0,2153743#3,213058#-0,5336809#-0,2425371#3,321368#0,04205381#-0,5668073#3,341282#-0,4464816#-0,5937511#3,280704#0,117895#-0,6325428#3,315185#-0,4759109#-0,6571313#3,249208#0  
frame12 #-0,4660658#0,9086708#3,1771#-0,4681963#0,707357#3,20537# -0,4451603#0,3884309#3,070129#-0,5812398#0,5392298#2,933067#-0,3618413#0,4107405#3,098285#-0,5899296#0,5310202#2,950657#-0,1938973#0,434229#3,28239#-0,7725477#0,4721429#3,025759#-0,2822129#0,6194078#3,271011#-0,600492#0,5623522#3,177841#-0,4384159#0,3391693#3,247886#-0,4329481#0,2673968#3,259846#-0,351509#0,2001489#3,269858#-0,5050654#0,1874992#3,252379#-0,4289919#-0,2263433#3,312286#-0,508627#-0,2380681#3,236176#-0,4268167#-0,6079673#3,252481#-0,6795481#-0,5910652#3,370848#-0,5203271#-0,6512867#3,281126#-0,6537652#-0,6642056#3,355476#0  
frame13 #-0,4485556#0,8971887#3,183264#-0,4674547#0,7072579#3,205956# -0,3513312#0,4567992#3,092366#-0,5116648#0,5481313#2,950143#-0,3132463#0,4521023#3,137682#-0,5793579#0,5383751#2,944948#-0,1989914#0,4380113#3,28727#-0,7682756#0,4757193#3,016056#-0,2860947#0,6289538#3,297092#-0,5922307#0,5529148#3,157305#-0,4383125#0,3397291#3,247347#-0,4328764#0,2678988#3,259079#-0,3524487#0,2019606#3,274461#-0,5033718#0,1889363#3,247133#-0,4468053#-0,1554337#3,286427#-0,493311#-0,2287946#3,245127#-0,4269282#-0,5970968#3,252075#-0,6822596#-0,5898256#3,374009#-0,5137453#-0,6604232#3,243406#-0,6543193#-0,6584265#3,344095#0  
frame14 #-0,4314871#0,9010187#3,194154#-0,4660115#0,7102821#3,206152# -0,4303767#0,4430677#2,98286#-0,5234078#0,597147#2,956617#-0,3276466#0,459932#3,081158#-0,5799583#0,6039435#2,919795#-0,2388#0,4500504#3,317395#-0,7290582#0,4902874#2,948042#-0,2934124#0,6362346#3,318758#-0,5777315#0,5483012#3,10522#-0,4397805#0,34934#3,244739#-0,4349261#0,2779033#3,255631#-0,3583762#0,210668#3,283202#-0,5017834#0,202229#3,232907#-0,4522898#-0,1856724#3,288036#-0,4870551#-0,1923555#3,200202#-0,4233193#-0,6033589#3,23635#-0,6807675#-0,5493149#3,365997#-0,4505138#-0,6658807#3,161125#-0,6604016#-0,6540668#3,350001#0  
frame15 #-0,4229904#0,8986475#3,19672#-0,4626927#0,7136874#3,20643# -0,4254403#0,4507435#3,001947#-0,5220247#0,622803#2,94623#-0,3265828#0,4673018#3,093908#-0,576701#0,6353029#2,908574#-0,2410395#0,4556846#3,331432#-0,7089436#0,5194872#2,897629#-0,2952732#0,6369646#3,32373#-0,5631316#0,5583536#3,097095#-0,4396079#0,3519992#3,243169#-0,4351442#0,2803684#3,253739#-0,3637417#0,2182176#3,286885#-0,4989927#0,2059504#3,225043#-0,5488224#-0,2386545#3,366204#-0,4492504#-0,2296091#3,18131#-0,3496045#-0,4670061#3,201965#-0,6801629#-0,5534709#3,366176#-0,3826847#-0,5682349#3,183382#-0,6636414#-0,651257#3,352451#0  
frame16 #-0,3927158#0,9004835#3,205106#-0,4537786#0,7220067#3,206293# -0,4358084#0,5019467#3,095739#-0,5003091#0,6966223#2,947762#-0,3377618#0,5182502#3,188924#-0,5446174#0,6620295#2,911125#-0,2553992#0,5060334#3,427501#-0,6552987#0,5326459#2,874515#-0,2975488#0,6286931#3,332672#-0,5332214#0,5802782#3,090061#-0,4342155#0,361246#3,236274#-0,4302818#0,2894926#3,245352#-0,3670627#0,2220783#3,292276#-0,480928#0,2198323#3,195371#-0,5584469#-0,2458768#3,352139#-0,4170001#-0,1920662#3,155221#-0,3314413#-0,59443#3,216194#-0,6606808#-0,5141232#3,340924#-0,3200642#-0,6539082#3,147558#-0,6632758#-0,6213925#3,349582#0  
frame17 #-0,3847979#0,9047861#3,208949#-0,4488255#0,734989#3,205282# -0,2086008#0,6280598#3,262444#-0,4738818#0,7274262#2,948098#-0,2247679#0,6036006#3,319302#-0,5172994#0,6890138#2,914706#-0,2732693#0,5302228#3,503237#-0,6146513#0,5640315#2,846098#-0,3017189#0,6541108#3,36767#-0,5127665#0,5934707#3,089105#-0,4189427#0,3896205#3,228707#-0,41243#0,3211084#3,236178#-0,3603829#0,2388012#3,299302#-0,452098#0,2440626#3,173801#-0,3883278#-0,2686432#3,197144#-0,5400023#-0,2437589#3,305035#-0,28634#-0,5900074#3,208944#-0,7193435#-0,5863013#3,388132#-0,2520786#-0,6436288#3,144753#-0,6637982#-0,6515613#3,351647#0  
frame18 #-0,3713009#0,9113078#3,213371#-0,4386088#0,7490302#3,198836# -0,2235151#0,7318587#3,309269#-0,4321385#0,7529191#2,953797#-0,2379942#0,6952721#3,353442#-0,4740963#0,7139119#2,919577#-0,2814313#0,5855121#3,49929#-0,5701955#0,5707419#2,890924#-0,2970559#0,6592433#3,364785#-0,4936196#0,6067439#3,088768#-0,411476#0,3979284#3,224392#-0,4059669#0,327922#3,232581#-0,352036#0,2477306#3,3024#-0,4464732#0,2475499#3,167362#-0,3853972#-0,1400155#3,165335#-0,4829446#-0,183833#3,260831#-0,2321503#-0,5644852#3,177328#-0,7057129#-0,5533018#3,372442#-0,1768249#-0,6360589#3,119225#-0,6691238#-0,6517838#3,349591#0  
frame19 #-0,3545893#0,9095935#3,221831#-0,4276552#0,7511641#3,201499# -0,2248785#0,7430166#3,330115#-0,3914062#0,8051866#2,888516#-0,2412726#0,7105592#3,376819#-0,4332639#0,7662725#2,854378#-0,290455#0,613187#3,530218#-0,5294188#0,6230195#2,825658#-0,3110428#0,6572443#3,376203#-0,4752812#0,6064405#3,085003#-0,3856491#0,4218423#3,221941#-0,3760449#0,3585949#3,228451#-0,3333798#0,2665255#3,31763#-0,3996845#0,2682025#3,139137#-0,2481212#-0,2119998#3,129491#-0,4883935#-0,1771978#3,273879#-0,1573989#-0,6005464#3,147082#-0,7117365#-0,5608982#3,325989#-0,1021703#-0,6416176#3,097875#-0,6679028#-0,6550192#3,345208#0  
frame20 #-0,3372949#0,907485#3,218861#-0,4107085#0,7503618#3,200191# -0,2285083#0,8017735#3,3851#-0,3372062#0,8038751#2,87923#-0,2425535#0,7544235#3,41777#-0,3789738#0,7650447#2,845165#-0,2846893#0,6123734#3,529032#-0,5001169#0,6388705#2,827377#-0,3094609#0,656265#3,376539#-0,4497783#0,6023287#3,084657#-0,3750811#0,409888#3,207689#-0,3668967#0,3406805#3,210099#-0,3222548#0,2537794#3,294978#-0,3974798#0,2637493#3,127663#-0,2484047#-0,1905893#3,113485#-0,4862209#-0,1759554#3,281147#-0,07833017#-0,6057653#3,103416#-0,7144306#-0,5577954#3,315704#0,00583256#-0,6323708#3,041936#-0,6827924#-0,6602077#3,324746#0  
frame21 #-0,276284#0,8820258#3,233938#-0,342778#0,7184799#3,214606# -0,3868452#0,7042745#3,50698#-0,2281463#0,8156363#2,850322#-0,3182072#0,725275#3,520439#-0,2697331#0,776974#2,816405#-0,2178868#0,5795148#3,54229#-0,4007415#0,6595546#2,850454#-0,2471614#0,6209439#3,393792#-0,4124345#0,5491474#3,061551#-0,3281216#0,3596705#3,168215#-0,3251903#0,2879086#3,162164#-0,2770453#0,2333553#3,199297#-0,3721194#0,2359365#3,110986#-0,1519344#-0,2678238#3,088391#-0,4537543#-0,1713889#3,28184#0,1170086#-0,6137822#2,991993#-0,7038729#-0,5396991#3,282473#0,1929411#-0,6539318#2,955778#-0,6858304#-0,6447824#3,293584#0  
