frame1 #-0,5237741#0,8219861#3,156942#-0,4715976#0,6461099#3,204915# -0,5368201#0,2011311#2,995196#-0,9382527#0,3104459#2,988651#-0,4458085#0,224316#3,042294#-0,8802229#0,3023432#3,086753#-0,2653787#0,3634721#3,077426#-0,7306931#0,3489246#3,267842#-0,3285518#0,5510738#3,157319#-0,6160389#0,5044696#3,300758#-0,3957547#0,2763196#3,265374#-0,3805861#0,2023615#3,280956#-0,3016285#0,1432559#3,261548#-0,4309977#0,122284#3,319736#-0,1344583#-0,2153743#3,213058#-0,5336809#-0,2425371#3,321368#0,04205381#-0,5668073#3,341282#-0,4464816#-0,5937511#3,280704#0,117895#-0,6325428#3,315185#-0,4759109#-0,6571313#3,249208#0  
frame32 #-0,1292766#0,747954#3,137374#-0,09665579#0,5780827#3,062644# -0,139982#0,5681016#3,364522#0,3866588#0,7192822#2,956#-0,07108734#0,5887291#3,378003#0,3446561#0,6796404#2,965108#0,02823539#0,4391176#3,390229#0,2186477#0,5607147#3,005685#-0,001039276#0,4805467#3,241829#0,05426238#0,5531389#2,970974#-0,0656444#0,2104387#2,959368#-0,05928999#0,1363158#2,941579#-0,06715733#0,105905#2,941577#-0,04681148#0,1278336#2,929728#0,2741002#-0,2581108#2,954613#-0,3820003#-0,2661377#3,036172#0,3757022#-0,5892027#2,839586#-0,4902244#-0,5733775#2,96964#0,456643#-0,6286222#2,859304#-0,4092835#-0,612797#2,989358#0  
frame33 #-0,1082477#0,751521#3,130116#-0,09054561#0,5782005#3,059289# 0,1697943#0,6247349#3,004962#0,3919844#0,7205414#2,952893#0,1778437#0,5704514#3,025572#0,3500279#0,6806686#2,96217#0,2019922#0,407601#3,100666#0,2241583#0,5610503#3,003266#0,005070907#0,4806644#3,238475#0,05935079#0,553455#2,968419#-0,06252505#0,204036#2,953744#-0,0568417#0,1283221#2,935336#-0,06267821#0,1011785#2,935281#-0,04799233#0,1146854#2,922895#0,2664881#-0,2565799#2,9499#-0,3820973#-0,2656158#3,027693#0,3844853#-0,5860195#2,839367#-0,4959163#-0,5701915#2,963941#0,4655051#-0,6257806#2,858647#-0,4148965#-0,6099526#2,983221#0  
frame34 #-0,1089486#0,7506954#3,130229#-0,08833023#0,5772318#3,059321# 0,1637589#0,5927912#2,972343#0,3943326#0,7208467#2,952378#0,1705637#0,5409034#2,999157#0,3524358#0,6806926#2,961863#0,1909779#0,3852401#3,092876#0,2267455#0,5602303#3,003593#0,007286288#0,4796958#3,238507#0,0614256#0,5526114#2,968579#-0,05975555#0,1998291#2,948773#-0,05409567#0,1235703#2,929084#-0,05873738#0,09733607#2,9284#-0,04658091#0,1099784#2,917188#0,2665592#-0,2564443#2,949524#-0,3824914#-0,267705#3,025029#0,3879795#-0,5850897#2,839561#-0,5077859#-0,5756853#2,960363#0,4689413#-0,6248797#2,858756#-0,4268241#-0,6154752#2,979558#0  
frame35 #-0,1043763#0,7490543#3,130949#-0,08299264#0,5754752#3,058649# 0,1562094#0,56027#2,930444#-0,2988135#0,1945809#3,168406#0,1623259#0,5126966#2,964619#-0,2577#0,2392977#3,089833#0,1806756#0,3699766#3,080433#-0,1007542#0,3976206#3,016849#0,01262388#0,4779392#3,237834#0,06663162#0,5509813#2,968076#-0,05746382#0,1966184#2,944207#-0,05238161#0,1202542#2,923878#-0,05669193#0,09460834#2,920976#-0,04539947#0,1063651#2,913439#0,2488961#-0,2408536#2,946506#-0,3823949#-0,2693184#3,022978#0,3886228#-0,5849228#2,839676#-0,5114052#-0,5775272#2,95816#0,4694281#-0,6249985#2,858582#-0,4305999#-0,6176028#2,977066#0  
frame36 #-0,09722903#0,7482575#3,13427#-0,08042577#0,5744901#3,058136# 0,3499932#0,1274918#3,07353#-0,2902309#0,0797479#3,247654#0,3047038#0,1832458#3,071348#-0,2172661#0,217591#3,093712#0,1688355#0,3505076#3,078104#-0,1044369#0,3917997#2,987704#0,01519075#0,4769542#3,237322#0,0691714#0,5500461#2,967641#-0,05652353#0,1897764#2,94157#-0,05204808#0,1118233#2,920876#-0,05464718#0,09087539#2,918024#-0,04867306#0,09055415#2,910963#0,2413928#-0,2400673#2,943231#-0,3807246#-0,270236#3,020579#0,3896489#-0,5855557#2,83939#-0,5283013#-0,6035895#2,949988#0,4698995#-0,6255769#2,858031#-0,5275884#-0,6754202#2,919969#0  
frame37 #-0,09549609#0,7459395#3,137079#-0,08342112#0,5744805#3,048305# 0,3279611#0,08404899#3,116663#-0,2763718#0,07315211#3,159798#0,2848488#0,1491624#3,099689#-0,2171251#0,1943989#3,042748#0,1555119#0,3445026#3,06208#-0,1004594#0,3798665#2,958748#0,01219537#0,4769444#3,227491#0,06621602#0,5500904#2,95801#-0,05722934#0,187234#2,938569#-0,05239008#0,1093714#2,918938#-0,0561622#0,09011682#2,915269#-0,04702185#0,08607425#2,909863#0,2428298#-0,2352546#2,943224#-0,3794377#-0,2705214#3,019524#0,3918449#-0,5855285#2,839526#-0,504613#-0,5848806#2,955323#0,4719434#-0,6251403#2,858357#-0,4245145#-0,6244924#2,974154#0  
frame38 #-0,08898355#0,7456111#3,143379#-0,07745238#0,5730881#3,056397# 0,3069125#0,06291734#3,048917#-0,3136937#-2,473593E-05#3,032348#0,2668242#0,1322262#3,047892#-0,3077145#0,0591925#3,005216#0,1465594#0,340153#3,058141#-0,2897771#0,2368442#2,937143#0,01816419#0,4755521#3,235583#-0,1756054#0,4480791#2,956136#-0,05635865#0,1882168#2,940465#-0,05183131#0,1107536#2,920625#0,002154203#0,08123197#2,908445#-0,09772371#0,06392975#2,915919#0,2421643#-0,2351896#2,942847#-0,3791243#-0,2707932#3,018816#0,3948426#-0,586922#2,839258#-0,5120513#-0,590179#2,952985#0,4635702#-0,6255803#2,793926#-0,4433237#-0,6288372#2,907652#0  
frame39 #-0,09321053#0,7429658#3,142585#-0,06211527#0,5687945#3,070545# 0,2590688#0,03982965#3,066217#-0,3116333#-0,01621434#3,033534#0,229403#0,114164#3,05994#-0,3051222#0,04691212#2,995856#0,1404056#0,337167#3,054446#-0,2855889#0,2362915#2,89616#0,03350124#0,4712585#3,249731#-0,1745756#0,4473868#2,955811#-0,05205026#0,189093#2,945215#-0,048927#0,1122155#2,924174#0,003935277#0,07875466#2,910513#-0,09668023#0,06472205#2,916025#0,2596942#-0,2252716#2,937614#-0,3827475#-0,2911615#3,016171#0,4314439#-0,6252729#2,84538#-0,5264117#-0,6079601#2,949975#0,3873674#-0,6871297#2,830032#-0,4578022#-0,6464398#2,9039#0  
frame40 #-0,08278663#0,7424405#3,146484#-0,0574538#0,5668702#3,073736# 0,1681699#0,1546458#2,868631#-0,3030877#-0,01479258#3,02126#0,2049702#0,1468472#2,921327#-0,2982599#0,05100873#2,975155#0,1257505#0,3517949#3,034824#-0,2837764#0,2484127#2,850194#0,03816272#0,4693341#3,252922#-0,1721205#0,4478254#2,954351#-0,04725666#0,1890572#2,947482#-0,0447349#0,1127951#2,92592#0,008276491#0,07814813#2,909744#-0,09410626#0,06388269#2,916778#0,2556405#-0,2386418#2,943655#-0,3800709#-0,2869076#3,015235#0,4014159#-0,5874079#2,840068#-0,5256461#-0,6074146#2,948664#0,4699083#-0,6256912#2,794488#-0,4571537#-0,6456978#2,903084#0  
frame41 #-0,08153001#0,7649818#3,152279#-0,06409311#0,5888132#3,074495# 0,1923489#0,1383923#2,855915#-0,244913#0,09661029#2,97464#0,1702289#0,1772362#2,944182#-0,2834177#0,106526#2,911277#0,1040906#0,4033408#3,013747#-0,2727634#0,3118763#2,796701#0,03152341#0,4912772#3,253681#-0,1677453#0,4495893#2,9506#-0,04538108#0,1898238#2,950202#-0,04154225#0,1121162#2,929636#0,01054903#0,0797063#2,912097#-0,08781233#0,05909215#2,923268#0,3086658#-0,2556044#2,95582#-0,3794135#-0,2873716#3,014365#0,4027436#-0,5862749#2,840236#-0,5114626#-0,5921302#2,949756#0,4719767#-0,6243685#2,796087#-0,4422296#-0,6302239#2,905607#0  
frame42 #-0,0648009#0,748102#3,157303#-0,04910886#0,5704485#3,083109# 0,1859533#0,1402135#2,850271#-0,2479229#0,0910603#2,848721#0,1687025#0,1704395#2,941534#-0,2539133#0,1468492#2,827985#0,1084729#0,3982491#3,013439#-0,2718846#0,3142157#2,779172#0,04650766#0,4729125#3,262294#-0,1589579#0,4489168#2,943792#-0,04424419#0,1885204#2,952285#-0,04128052#0,1115145#2,930861#0,01032905#0,07879005#2,912923#-0,08784956#0,05894145#2,923504#0,2771138#-0,216368#2,952462#-0,3795016#-0,287569#3,014587#0,4055607#-0,5821763#2,841068#-0,5099739#-0,5900164#2,95066#0,4756373#-0,6201363#2,798412#-0,4398973#-0,6279764#2,908004#0  
frame43 #-0,05955908#0,7468976#3,158619#-0,04636073#0,5685053#3,083708# 0,1814622#0,09353856#2,918036#-0,2520933#0,1056877#2,847933#0,1628004#0,1700079#2,93792#-0,2549666#0,1601617#2,822929#0,106815#0,3994158#3,010985#-0,2635864#0,3235837#2,761327#0,04925578#0,4709692#3,262893#-0,1495365#0,4509788#2,938079#-0,04350385#0,1878818#2,952486#-0,04109581#0,1112376#2,93088#0,01010126#0,07839453#2,912835#-0,08765826#0,05886209#2,922954#0,2798898#-0,2166124#2,953705#-0,3796974#-0,2875102#3,01446#0,4078179#-0,5796144#2,842127#-0,5042586#-0,5852595#2,949095#0,4790162#-0,6174861#2,801321#-0,4330603#-0,6231312#2,908289#0  
frame44 #-0,05575074#0,7612053#3,167266#-0,05613409#0,5852156#3,077437# 0,1737748#0,1031589#2,909256#-0,2507926#0,1061588#2,85032#0,1549256#0,1795605#2,930243#-0,2537265#0,1601342#2,823067#0,09837799#0,4087654#3,00664#-0,2625282#0,3220603#2,754745#0,03948244#0,4876796#3,256622#-0,1463323#0,4506846#2,934664#-0,04337275#0,187905#2,952389#-0,04066927#0,1106852#2,93062#0,009840375#0,07836602#2,91281#-0,08587831#0,05883402#2,922431#0,2805267#-0,2170322#2,953719#-0,3816344#-0,2906705#3,013907#0,4086862#-0,578402#2,843341#-0,5049021#-0,587263#2,948912#0,4805847#-0,6162038#2,80369#-0,4330035#-0,6250647#2,909261#0  
frame45 #-0,05611557#0,752091#3,163602#-0,04717685#0,5737826#3,081169# 0,1969277#0,1282039#2,843752#-0,2483182#0,1070968#2,846161#0,1740002#0,1970511#2,881199#-0,2511796#0,1609387#2,819038#0,1052179#0,4035925#3,006992#-0,2597638#0,3224642#2,751124#0,04843969#0,4762465#3,260355#-0,1416055#0,4510949#2,931184#-0,04171014#0,1862443#2,952123#-0,03955135#0,1092786#2,930082#0,01018799#0,07736172#2,91215#-0,08505739#0,05810333#2,921601#0,2811521#-0,2173558#2,953901#-0,3811547#-0,2901988#3,013312#0,4108096#-0,5786089#2,843874#-0,504779#-0,5863042#2,94872#0,4829982#-0,6164342#2,804698#-0,4325904#-0,6241295#2,909543#0  
frame46 #-0,05215724#0,7498094#3,162933#-0,03985333#0,5707712#3,08205# 0,189932#0,121782#2,84517#-0,2456465#0,1063222#2,84368#0,1708338#0,1922718#2,88213#-0,2491592#0,1604384#2,816863#0,1135393#0,4037413#3,00648#-0,2596973#0,322787#2,749879#0,0557632#0,4732351#3,261236#-0,1382633#0,4610952#2,929622#-0,03933115#0,1867283#2,951442#-0,03796965#0,1099865#2,929183#0,01098672#0,07707976#2,911395#-0,08343595#0,06003838#2,918899#0,2806432#-0,2167283#2,952202#-0,3797787#-0,2899093#3,012052#0,4122449#-0,5778812#2,844379#-0,5122311#-0,601154#2,942712#0,4843013#-0,6156774#2,805348#-0,4401748#-0,6389502#2,903682#0  
frame47 #-0,05021461#0,7569768#3,16455#-0,0445074#0,5818254#3,066604# 0,1827354#0,1092158#2,867385#-0,2479397#0,1079753#2,841042#0,1664046#0,184439#2,895726#-0,2504549#0,1629077#2,815509#0,1174125#0,4101084#2,994239#-0,2580006#0,3277047#2,7524#0,0511091#0,4842895#3,24579#-0,1384892#0,4579725#2,927431#-0,03789071#0,1884026#2,948917#-0,03646394#0,1108838#2,927609#0,01114303#0,07715433#2,911052#-0,07974282#0,06257446#2,91625#0,2603665#-0,229286#2,940583#-0,3787026#-0,2899952#3,012099#0,413642#-0,5788414#2,844737#-0,5109184#-0,594111#2,945326#0,4849793#-0,6166936#2,804675#-0,4395811#-0,6319631#2,905264#0  
frame48 #-0,04812868#0,7564045#3,161401#-0,03733358#0,577886#3,073543# 0,178746#0,1115995#2,830219#-0,2509066#0,1018688#2,838159#0,1784431#0,1752369#2,930393#-0,2524278#0,1597264#2,815337#0,1233489#0,4092533#2,999143#-0,2569914#0,3332991#2,760377#0,05828289#0,4803501#3,252728#-0,1375387#0,4547862#2,925342#-0,0351964#0,1898722#2,949327#-0,03402535#0,1127831#2,927618#0,01208673#0,07708704#2,910916#-0,07706426#0,0660427#2,915478#0,2775849#-0,2206827#2,946003#-0,376519#-0,2879525#3,010748#0,4134263#-0,5810591#2,843622#-0,5129901#-0,5938928#2,946025#0,4846407#-0,6188616#2,803516#-0,4417757#-0,6316953#2,905919#0  
frame49 #-0,04472188#0,7559247#3,161059#-0,03537021#0,576516#3,074065# 0,1801194#0,1121809#2,830484#-0,2512024#0,1013533#2,83505#0,1787691#0,1738133#2,928643#-0,252615#0,1598683#2,813183#0,1251705#0,4084915#2,998751#-0,2568527#0,3354134#2,761106#0,06024627#0,47898#3,253251#-0,1370083#0,4517117#2,924939#-0,02668525#0,1915587#2,947336#-0,02398787#0,1153412#2,924864#0,0218216#0,07789771#2,907179#-0,06660181#0,0684019#2,912184#0,2817425#-0,220581#2,947974#-0,3755371#-0,2881659#3,009912#0,4146078#-0,5813572#2,8437#-0,5128383#-0,5939493#2,945955#0,4856701#-0,6190155#2,803385#-0,441776#-0,6316075#2,90564#0  
frame50 #-0,0997058#0,7842737#3,101952#-0,0277766#0,6145064#3,089118# 0,1934639#0,1177815#2,918039#-0,2515466#0,09990455#2,83318#0,1772318#0,1960253#2,939407#-0,2527624#0,1587464#2,811839#0,1285355#0,4307567#3,017062#-0,2564099#0,335272#2,761369#0,06783989#0,5169703#3,268304#-0,1364857#0,4506718#2,924766#-0,02090508#0,1983123#2,94995#-0,01934829#0,1186892#2,926414#0,02573311#0,08022157#2,907912#-0,06231951#0,06980112#2,913584#0,2845774#-0,219189#2,948511#-0,3736785#-0,2883433#3,009028#0,4158237#-0,5794972#2,844236#-0,5124846#-0,5945441#2,94614#0,4861768#-0,6171989#2,802889#-0,4421314#-0,6322458#2,904794#0  
frame51 #-0,1015559#0,7845028#3,099674#-0,0282088#0,6148387#3,088638# 0,1872959#0,1707501#2,786182#-0,2496607#0,09836439#2,831583#0,1784455#0,1950232#2,938737#-0,2521411#0,1570113#2,809257#0,1288404#0,4306991#3,01585#-0,2595823#0,3329518#2,755861#0,0674077#0,5173026#3,267823#-0,1363215#0,4504543#2,924752#-0,02079912#0,198295#2,950192#-0,01901099#0,1181718#2,926796#0,0276855#0,08135182#2,907993#-0,06331965#0,06346254#2,915559#0,2902856#-0,2206079#2,950305#-0,3727015#-0,2942436#3,009532#0,4151515#-0,5799447#2,843351#-0,5133885#-0,5972469#2,944134#0,4854424#-0,6176035#2,802074#-0,4430977#-0,6349058#2,902857#0  
frame52 #-0,1062196#0,7361589#3,086883#-0,01694149#0,5724549#3,072364# 0,193795#0,1006078#2,85586#-0,2468581#0,09590556#2,830353#0,1799562#0,1765571#2,886779#-0,2495002#0,1548987#2,808025#0,1384398#0,404405#2,993132#-0,2574264#0,3318781#2,754636#0,078675#0,4749189#3,25155#-0,1361612#0,4500686#2,924474#-0,01855339#0,1943022#2,949301#-0,01754227#0,1157724#2,926547#0,03111264#0,08024505#2,907186#-0,06394797#0,05798239#2,915229#0,2909955#-0,2193959#2,950543#-0,3715005#-0,2927094#3,009435#0,4153422#-0,5795972#2,843297#-0,5136003#-0,5977221#2,944005#0,4844726#-0,6173777#2,800433#-0,4444699#-0,6355026#2,901141#0  
frame53 #-0,1221127#0,7466288#3,083576#-0,03505024#0,5815747#3,057823# 0,2088136#0,09132984#2,902078#-0,2430343#0,09454823#2,824984#0,189137#0,170545#2,918782#-0,246349#0,1541682#2,803249#0,1301073#0,4081905#2,982508#-0,2562931#0,3330281#2,751657#0,06056631#0,4840387#3,237009#-0,1332926#0,4494686#2,923196#-0,01640245#0,1921361#2,945673#-0,01342719#0,1130338#2,92366#0,03213333#0,07932056#2,906316#-0,0533419#0,05968494#2,912552#0,2910098#-0,2193448#2,951032#-0,3670076#-0,288932#3,008103#0,4156582#-0,5796335#2,843343#-0,5150089#-0,5962963#2,944343#0,4856893#-0,6172051#2,80199#-0,4449778#-0,6338679#2,90299#0  
frame54 #-0,1228533#0,7493167#3,084256#-0,03628572#0,5831809#3,057408# 0,1678712#0,1683953#2,760492#-0,2385961#0,0917192#2,820782#0,1862908#0,172813#2,907672#-0,242822#0,1524282#2,799624#0,1295748#0,4094729#2,981543#-0,2554998#0,3345551#2,749782#0,05933082#0,4856448#3,236593#-0,132299#0,4488203#2,92178#-0,0159567#0,1914163#2,944585#-0,01251783#0,1120678#2,922885#0,03252315#0,07857181#2,905621#-0,05218476#0,05964231#2,912418#0,2912924#-0,2190615#2,952128#-0,3674457#-0,2947965#3,008561#0,4155844#-0,5796614#2,843615#-0,5154274#-0,6007903#2,945719#0,4857795#-0,6171681#2,802662#-0,4452323#-0,6382971#2,904766#0  
frame55 #-0,1180832#0,7396736#3,084636#-0,02685134#0,5770526#3,062543# 0,1445861#0,2407177#2,752127#-0,2354414#0,09248702#2,817425#0,1710563#0,2175185#2,808502#-0,2401261#0,1529078#2,796619#0,1343114#0,4059617#2,983979#-0,2541803#0,33417#2,747847#0,06876525#0,4795165#3,241729#-0,1301849#0,4483062#2,920539#-0,01443517#0,189712#2,944385#-0,01164644#0,1110771#2,922784#0,03400446#0,07700078#2,905145#-0,05216414#0,0589969#2,912311#0,29143#-0,2189148#2,952464#-0,366302#-0,2934172#3,008765#0,415972#-0,579864#2,843745#-0,5155239#-0,5999333#2,945803#0,4859179#-0,6173738#2,802561#-0,445578#-0,6374432#2,904619#0  
frame56 #-0,114375#0,7372448#3,084024#-0,02125862#0,5764468#3,064048# 0,1884136#0,1402041#2,772413#-0,2311036#0,09348406#2,825618#0,1755719#0,2065258#2,821979#-0,2373191#0,1484185#2,79771#0,1370469#0,405491#2,984337#-0,2559656#0,313222#2,727648#0,07435793#0,4789107#3,243234#-0,1292586#0,4472297#2,91871#-0,01103802#0,1905528#2,943954#-0,008589676#0,1124611#2,92239#0,03712038#0,07698813#2,904285#-0,05042549#0,06017451#2,911639#0,3104402#-0,2325995#2,956785#-0,3687411#-0,3013619#3,009835#0,4161087#-0,5800638#2,843837#-0,5169657#-0,6033614#2,944426#0,4857024#-0,617547#2,802308#-0,447372#-0,6408446#2,902897#0  
frame57 #-0,1131085#0,7376031#3,082623#-0,01910605#0,576138#3,064651# 0,1775152#0,1832974#2,759751#-0,2292499#0,09303792#2,82547#0,1774169#0,1870055#2,850785#-0,2357633#0,1479471#2,797382#0,138546#0,4048513#2,984449#-0,2553033#0,3126747#2,726791#0,07651047#0,4786019#3,243837#-0,1273908#0,4473841#2,91796#-0,01003869#0,1903749#2,943876#-0,007877162#0,1124269#2,922361#0,03796597#0,07695954#2,904226#-0,05018135#0,06011242#2,911551#0,2998332#-0,2249608#2,956368#-0,3650059#-0,2933072#3,008939#0,4150191#-0,5816895#2,843393#-0,5170503#-0,6032968#2,944505#0,4846167#-0,6191405#2,802016#-0,4474527#-0,6407478#2,903128#0  
frame58 #-0,1276566#0,7639951#3,067268#-0,01100984#0,6294352#3,083575# 0,1785324#0,1849738#2,759115#-0,2300442#0,09484489#2,81924#0,1765751#0,2331614#2,852392#-0,2356351#0,1526624#2,794919#0,1395713#0,4377849#3,008568#-0,2524077#0,326115#2,735664#0,08460668#0,5318992#3,262761#-0,1270679#0,447253#2,917666#-0,003426274#0,200657#2,948563#-0,002143118#0,1184693#2,925739#0,04592032#0,08384787#2,906893#-0,04770472#0,06137761#2,913421#0,2983809#-0,2226812#2,956555#-0,3654569#-0,2980054#3,009874#0,4152946#-0,5820181#2,843597#-0,5171687#-0,602326#2,944816#0,484089#-0,6195247#2,801086#-0,4483743#-0,6398326#2,902305#0  
frame59 #-0,1266876#0,7650632#3,066149#-0,01092635#0,6296884#3,083583# 0,1793244#0,1867502#2,754528#-0,2311448#0,0925647#2,818527#0,1764891#0,2346836#2,849225#-0,235805#0,1521655#2,795098#0,140457#0,4378346#3,008396#-0,2497858#0,330968#2,738547#0,08469018#0,5321524#3,262768#-0,1059455#0,4572173#2,917025#-0,001878966#0,2026966#2,94921#-0,0004093869#0,1198522#2,926356#0,04597802#0,08468471#2,907486#-0,04061735#0,06781816#2,915591#0,2969115#-0,2217088#2,9566#-0,3625845#-0,2915992#3,007163#0,4163903#-0,5805216#2,844553#-0,5173627#-0,6008344#2,946525#0,48735#-0,6178398#2,805693#-0,446403#-0,6381525#2,907666#0  
frame60 #-0,1231954#0,7681059#3,064728#-0,0109838#0,6300513#3,083755# 0,1799305#0,1859394#2,75702#-0,2312201#0,09185588#2,817891#0,1765463#0,2348605#2,848715#-0,235795#0,1521707#2,795164#0,1407972#0,4379526#3,008458#-0,2495194#0,3331152#2,740748#0,08463272#0,5325152#3,262941#-0,1031397#0,4581482#2,917921#-0,001432948#0,2033641#2,949604#0,0001056011#0,1201649#2,926689#0,04589166#0,08518139#2,907976#-0,03952154#0,06871934#2,916107#0,3215217#-0,2474867#2,954864#-0,3637022#-0,2955464#3,006559#0,4158528#-0,5810789#2,844393#-0,5177486#-0,6023011#2,946756#0,4869999#-0,6183541#2,805963#-0,4466015#-0,6395763#2,908325#0  
frame61 #-0,1223008#0,7690951#3,063534#-0,0110937#0,6303116#3,083764# 0,1804983#0,1870313#2,756746#-0,2309518#0,09336092#2,817497#0,1770986#0,2342516#2,848533#-0,2355699#0,1532103#2,794986#0,1422625#0,4375023#3,008789#-0,2494243#0,3327584#2,741252#0,08452283#0,5327755#3,262949#-0,1173021#0,4578602#2,915664#-0,001564383#0,2064816#2,950624#0,0001125944#0,123147#2,927826#0,04599383#0,08592174#2,908416#-0,04032619#0,07001032#2,916797#0,2976241#-0,2330112#2,956825#-0,3636373#-0,2956837#3,006558#0,4160144#-0,5811238#2,844395#-0,5177863#-0,6025898#2,946645#0,4859307#-0,6184473#2,803974#-0,44787#-0,6399133#2,906224#0  
frame62 #-0,1230444#0,7695455#3,061762#-0,01174191#0,6309216#3,083216# 0,1806327#0,1871422#2,756377#-0,2309396#0,08495982#2,821508#0,1779252#0,2346979#2,8475#-0,2354081#0,1473546#2,7982#0,1421242#0,4380038#3,008011#-0,2488138#0,3345388#2,742107#0,08387461#0,5333855#3,262402#-0,1223536#0,4606718#2,914758#-0,001691397#0,2089247#2,950736#0,0002008384#0,1255734#2,928043#0,04604284#0,08697395#2,908953#-0,04072763#0,07203139#2,916327#0,2693764#-0,2336377#2,950072#-0,3642707#-0,2985187#3,007087#0,4161516#-0,5811862#2,844397#-0,5180861#-0,6049148#2,945974#0,4856633#-0,6184953#2,803445#-0,4485745#-0,642224#2,905022#0  
frame63 #-0,1214613#0,7709323#3,059637#-0,01165862#0,6312906#3,083295# 0,1821842#0,1913578#2,755148#-0,2316591#0,08601959#2,820589#0,1797691#0,2332195#2,849118#-0,236027#0,1481153#2,7974#0,1432873#0,4385227#3,007616#-0,2491307#0,3344026#2,741723#0,0839579#0,5337546#3,262481#-0,1224437#0,4624757#2,914932#-0,001808126#0,2101989#2,951318#4,189069E-05#0,1267598#2,928674#0,0456901#0,08737962#2,909164#-0,04144056#0,07305218#2,917109#0,3074808#-0,2374733#2,955357#-0,3647168#-0,2998235#3,006548#0,4165533#-0,5813238#2,844083#-0,518374#-0,6063614#2,945522#0,4859374#-0,61856#2,803236#-0,44899#-0,6435976#2,904675#0  
frame64 #-0,1216438#0,7714746#3,059214#-0,01187594#0,6315619#3,083295# 0,1800442#0,1893286#2,754919#-0,2316768#0,08584332#2,820662#0,178676#0,2322648#2,849149#-0,2359822#0,1480274#2,797467#0,1433701#0,4382119#3,007561#-0,2488982#0,3345796#2,741795#0,08374057#0,5340258#3,262481#-0,1213221#0,4602252#2,914595#-0,001977519#0,2102233#2,951407#-0,0001320193#0,1267013#2,928754#0,04516459#0,08727556#2,909296#-0,04159415#0,07304182#2,91716#0,2687543#-0,2344158#2,952122#-0,3656382#-0,3005796#3,006616#0,4165994#-0,5815859#2,844086#-0,5188401#-0,6077191#2,945153#0,4859954#-0,618775#2,803429#-0,4494442#-0,6449082#2,904495#0 
frame65 #-0,1203846#0,7724832#3,058017#-0,01154738#0,6319096#3,083187# 0,1757355#0,1670627#2,77085#-0,2312278#0,08638135#2,819812#0,1753981#0,2210795#2,863461#-0,2358313#0,1484#2,796794#0,1434804#0,4372783#3,00754#-0,2496418#0,3344558#2,741685#0,08406915#0,5343736#3,262373#-0,1223074#0,4596263#2,914192#-0,001990942#0,2109946#2,951271#-0,0002115198#0,1274389#2,928592#0,04515906#0,08757703#2,909287#-0,04206488#0,07348192#2,916672#0,2667954#-0,238851#2,950573#-0,3644329#-0,2933166#3,004864#0,4162833#-0,5834177#2,843527#-0,5193372#-0,6072481#2,944263#0,4854769#-0,6205751#2,802718#-0,4501435#-0,6444055#2,903455#0  
