frame1 #-0,04710501#0,8750433#3,271024#0,003079652#0,6800335#3,294086# -0,221911#0,2691205#2,98351#-0,6104445#0,4972347#3,156149#-0,1240689#0,2848142#3,001886#-0,5286115#0,4567601#3,198837#0,09509635#0,3843109#3,038527#-0,3653217#0,4253073#3,280611#0,124687#0,5555934#3,179046#-0,1813964#0,5281964#3,343524#0,03322203#0,2943168#3,305273#0,01014419#0,2226362#3,257798#0,0801868#0,1528#3,216684#-0,05755074#0,1404713#3,282037#0,2752061#-0,2269121#3,236159#-0,2434971#-0,240261#3,2885#-0,07852349#-0,4716891#3,273704#-0,2961225#-0,5919958#3,29095#0,04296583#-0,5047434#3,277964#-0,3441569#-0,6424258#3,206394#0  
frame12 #-0,1585797#0,805334#3,231921#-0,1024926#0,6320039#3,261429# -0,2461954#0,1988091#2,906764#-0,680764#0,451893#3,035478#-0,1085222#0,2514557#2,955981#-0,5764049#0,3681199#3,134078#0,08105575#0,3809103#3,016847#-0,423009#0,3496263#3,258854#0,0333836#0,5204901#3,154521#-0,2617276#0,4897135#3,320579#-0,02678106#0,2674487#3,296976#-0,03453877#0,1930477#3,26461#0,039531#0,1329518#3,232836#-0,08475394#0,1123777#3,290815#0,2267574#-0,2181431#3,208143#-0,2560784#-0,2330477#3,289396#0,4725192#-0,5477638#3,265959#-0,2874169#-0,5819438#3,281625#0,429619#-0,5972015#3,191365#-0,2668052#-0,6565272#3,315213#0  
frame13 #-0,1811495#0,8062523#3,229946#-0,1150386#0,6269318#3,256599# -0,2475534#0,1945161#2,903619#-0,6801922#0,43037#3,028749#-0,09990174#0,2454805#2,946927#-0,593294#0,3904759#3,1039#0,07632735#0,387982#3,017484#-0,4236#0,3466847#3,260721#0,02497009#0,5198538#3,157767#-0,2681829#0,4862306#3,317354#-0,03653851#0,2642146#3,29406#-0,04207744#0,1890147#3,265414#0,03199265#0,1298017#3,234864#-0,09312685#0,1060547#3,292871#0,2250453#-0,2190091#3,208055#-0,2614759#-0,2320631#3,294424#0,4715685#-0,5462167#3,26301#-0,2873594#-0,5821908#3,281421#0,4298487#-0,596433#3,187582#-0,3290793#-0,6324071#3,205993#0  
frame14 #-0,2076598#0,7960812#3,215576#-0,1591061#0,612551#3,255164# -0,2053026#0,2040861#2,904803#-0,6868069#0,4146609#3,006409#-0,107247#0,2261665#2,939785#-0,5544223#0,3041273#3,134626#0,06622543#0,3707517#3,011424#-0,4282478#0,3411346#3,260191#-0,01682351#0,5117225#3,170513#-0,3059694#0,4762166#3,312313#-0,06967644#0,2557131#3,297368#-0,06954819#0,1803901#3,272908#0,005494582#0,1234055#3,244153#-0,1169315#0,09592661#3,30185#0,2421658#-0,2623677#3,227773#-0,2725738#-0,2287994#3,301032#0,5085654#-0,5966358#3,26198#-0,2874224#-0,5788153#3,281072#0,4717382#-0,6466866#3,187094#-0,3242497#-0,6288661#3,206187#0  
frame15 #-0,2672926#0,7910552#3,195372#-0,2107113#0,618008#3,234868# -0,2074099#0,1553726#2,863144#-0,681538#0,3528206#2,954765#-0,03958812#0,2361716#2,971927#-0,5584905#0,2767073#3,136363#0,05791615#0,3723002#3,025465#-0,4426993#0,3248482#3,268393#-0,06755742#0,5226643#3,179252#-0,3592215#0,4748773#3,306385#-0,1113127#0,2578777#3,297315#-0,1049947#0,1804267#3,279545#-0,01951113#0,1222775#3,252237#-0,1585589#0,09719491#3,31543#0,2043941#-0,2322627#3,252579#-0,2980381#-0,2298854#3,306825#0,4660176#-0,5497168#3,263633#-0,2869526#-0,5796599#3,280645#0,4342408#-0,6021079#3,187869#-0,3187294#-0,6320511#3,20488#0  
frame16 #-0,2937179#0,7944002#3,181632#-0,2615279#0,6256834#3,231198# -0,119518#0,1815688#2,95418#-0,6429802#0,29052#2,929623#-0,04101096#0,233674#2,99951#-0,5712942#0,2495889#3,121861#0,04702954#0,370144#3,073359#-0,4899828#0,3075087#3,277469#-0,09976918#0,5306616#3,18782#-0,4112839#0,4896527#3,302847#-0,1576453#0,2641912#3,301105#-0,1473563#0,1862776#3,288194#-0,07188004#0,1289956#3,275826#-0,1835344#0,1026252#3,315535#0,1988411#-0,23506#3,257242#-0,3114909#-0,2271469#3,30887#0,4518256#-0,5762467#3,251635#-0,3100118#-0,5631463#3,274968#0,4249474#-0,6289084#3,17554#-0,33689#-0,615808#3,198873#0  
frame17 #-0,312759#0,8047482#3,18114#-0,2657908#0,6266501#3,228409# -0,1163774#0,1890543#2,974489#-0,6084456#0,247802#2,932431#-0,0461201#0,2386358#3,032846#-0,5612288#0,250801#3,096591#0,04576352#0,37526#3,10513#-0,5208578#0,2794462#3,278256#-0,1080208#0,5362348#3,189182#-0,4158225#0,4908956#3,299792#-0,1862407#0,2763499#3,298438#-0,1821776#0,2031188#3,289429#-0,08458867#0,1410986#3,276523#-0,2512611#0,1209347#3,3191#0,1836118#-0,2388752#3,25508#-0,3171335#-0,2286299#3,309396#0,4352871#-0,5863312#3,262118#-0,2945188#-0,5915796#3,271605#0,409063#-0,6387738#3,185342#-0,320743#-0,6440222#3,194829#0  
frame18 #-0,3224997#0,8101497#3,176476#-0,2768696#0,6304057#3,228237# -0,1185607#0,1922939#2,987346#-0,5602718#0,2093948#2,955961#-0,05903346#0,2378458#3,058216#-0,546296#0,2344625#3,059057#0,03040691#0,3972465#3,156357#-0,5212977#0,2785756#3,278193#-0,1235434#0,5459443#3,190645#-0,4280269#0,4952572#3,29518#-0,2025803#0,2862914#3,297549#-0,1951776#0,2129437#3,290333#-0,1054523#0,1601318#3,281002#-0,25983#0,1277309#3,317626#0,1399391#-0,2170745#3,231815#-0,3382952#-0,2199775#3,317182#0,3818085#-0,5684916#3,278347#-0,2878611#-0,6017838#3,272224#0,391#-0,6467457#3,318364#-0,3126856#-0,6542931#3,194995#0  
frame19 #-0,341462#0,8218189#3,179292#-0,2875426#0,6419723#3,225834# -0,1172695#0,1917872#3,020403#-0,5299329#0,2038901#2,958118#-0,05671138#0,2532512#3,076095#-0,5281733#0,2087817#2,989452#0,02873658#0,3998578#3,15858#-0,506085#0,2762864#3,220295#-0,1314497#0,5550867#3,197286#-0,4388588#0,5030837#3,289665#-0,2114864#0,2898975#3,295502#-0,2025202#0,216013#3,290348#-0,1180322#0,1625553#3,285742#-0,2638053#0,1311532#3,314136#0,1111828#-0,2148401#3,229095#-0,3341957#-0,2172975#3,318565#0,2514608#-0,5878397#3,350656#-0,2878052#-0,6033221#3,27371#0,3115751#-0,644184#3,338876#-0,309547#-0,6559227#3,195307#0  
frame20 #-0,3476222#0,826906#3,185202#-0,2972502#0,650902#3,228624# -0,1157541#0,202831#3,045256#-0,4770001#0,1893078#2,973505#-0,05773201#0,2625373#3,104322#-0,5376602#0,2342927#3,079287#0,0237377#0,4188213#3,185797#-0,5272599#0,3476306#3,283937#-0,1362596#0,5648981#3,204699#-0,448279#0,5098171#3,288154#-0,2216083#0,2972944#3,293918#-0,2113583#0,2234671#3,289979#-0,1247542#0,1676224#3,286495#-0,2704516#0,1373626#3,310697#0,07502393#-0,2415978#3,218349#-0,3441031#-0,2114138#3,309581#0,1537972#-0,5823826#3,393459#-0,2867619#-0,6029932#3,273293#0,2362318#-0,6287618#3,389249#-0,3057515#-0,6544999#3,195042#0  
frame21 #-0,3553511#0,847348#3,188148#-0,3016279#0,6564189#3,226641# -0,1064183#0,2197235#3,063734#-0,4259505#0,1839111#2,998666#-0,05324366#0,2807331#3,125267#-0,4673246#0,2140334#3,078233#0,02658566#0,4312311#3,218816#-0,5218982#0,3287492#3,296156#-0,1423749#0,5809601#3,214222#-0,4612456#0,5254573#3,274698#-0,241599#0,3123177#3,29199#-0,2338664#0,2414366#3,290079#-0,1414012#0,1799731#3,289854#-0,3051446#0,1610897#3,306925#0,02064675#-0,1940132#3,217157#-0,3516367#-0,2179994#3,304671#0,04408483#-0,5680213#3,4204#-0,2857775#-0,6025845#3,272554#0,1359621#-0,6273786#3,416477#-0,2988662#-0,6534983#3,193212#0  
