frame1 #-0,04710501#0,8750433#3,271024#0,003079652#0,6800335#3,294086# -0,221911#0,2691205#2,98351#-0,6104445#0,4972347#3,156149#-0,1240689#0,2848142#3,001886#-0,5286115#0,4567601#3,198837#0,09509635#0,3843109#3,038527#-0,3653217#0,4253073#3,280611#0,124687#0,5555934#3,179046#-0,1813964#0,5281964#3,343524#0,03322203#0,2943168#3,305273#0,01014419#0,2226362#3,257798#0,0801868#0,1528#3,216684#-0,05755074#0,1404713#3,282037#0,2752061#-0,2269121#3,236159#-0,2434971#-0,240261#3,2885#-0,07852349#-0,4716891#3,273704#-0,2961225#-0,5919958#3,29095#0,04296583#-0,5047434#3,277964#-0,3441569#-0,6424258#3,206394#0  
frame32 #-0,08619273#0,9486592#3,26776#-0,1393223#0,8216024#3,332117# -0,007246379#0,870733#3,76827#0,1030433#0,8919339#2,965264#0,01698861#0,8360115#3,727995#0,04434273#0,9125071#2,995221#0,08969355#0,7318468#3,620919#-0,08158685#0,7932706#3,034662#-0,02943382#0,836982#3,573813#-0,1487101#0,640259#3,22559#-0,1263095#0,4189638#3,330349#-0,1151453#0,3389704#3,330122#-0,06967961#0,287817#3,336581#-0,1554199#0,2864957#3,320282#-0,2512499#-0,165567#3,429214#-0,1225643#-0,1619456#3,275978#-0,4968778#-0,5795364#3,390086#0,1817853#-0,4735051#3,197011#-0,4150301#-0,6213558#3,3625#0,263633#-0,5153246#3,169425#0  
frame33 #-0,05010765#0,9875102#3,337571#-0,06435225#0,8322397#3,374839# 0,1670888#0,6960713#3,217395#0,1808641#0,9024172#2,977266#0,10282#0,666634#3,216753#0,1235176#0,9242725#3,006946#0,05078953#0,7738095#3,361619#-0,003766052#0,8037539#3,046605#0,04553624#0,8476192#3,616535#-0,07088926#0,6507423#3,237419#-0,09402423#0,489075#3,346873#-0,09115859#0,4201576#3,342072#-0,06021454#0,3678902#3,283562#-0,1306257#0,3414036#3,38581#-0,1995984#-0,1039206#3,387933#-0,2603567#-0,1454504#3,418111#-0,4826405#-0,6002103#3,36036#0,1105292#-0,3593833#3,292613#-0,5511067#-0,6627195#3,323206#0,1935353#-0,4040806#3,271469#0  
frame34 #0,02953743#0,9711914#3,344205#0,0239137#0,8123478#3,377261# 0,3289467#0,6256369#3,365862#0,2452627#0,74672#2,993426#0,264534#0,5961336#3,365219#0,1899422#0,7693893#3,025094#0,155068#0,736021#3,370744#0,05108816#0,6601269#3,018788#0,1338022#0,8277273#3,618957#0,0875342#0,6140359#3,213438#-0,02103544#0,4429926#3,341039#-0,02091596#0,3682745#3,336542#-0,008016111#0,3397014#3,335202#-0,04365624#0,2993705#3,325944#-0,1855629#-0,1325877#3,399967#-0,1988852#-0,1790839#3,400122#-0,4624511#-0,5952566#3,341637#0,1706634#-0,3949771#3,273512#-0,3774157#-0,6418619#3,33874#0,2556988#-0,4415824#3,270614#0  
frame35 #0,09292081#0,9578458#3,389712#0,04728614#0,7838545#3,366931# 0,1627323#1,02022#3,37592#0,242195#0,7766857#3,045991#0,1982776#0,9729129#3,377289#0,1866999#0,799223#3,077622#0,3049137#0,8309926#3,395056#0,04807125#0,6900283#3,071582#0,1571746#0,799234#3,608627#0,08446649#0,6440016#3,265987#0,0712359#0,3983441#3,29712#0,08412152#0,3232607#3,284386#0,1149829#0,2913909#3,272758#0,05871583#0,2807644#3,280583#-0,1203056#-0,1547328#3,353066#-0,1080403#-0,1411228#3,330819#-0,3629134#-0,5458431#3,315778#0,2289639#-0,4158853#3,242576#-0,2766775#-0,5860573#3,295761#0,3151999#-0,4560995#3,222559#0  
frame36 #0,1349529#0,9453115#3,415115#0,09294919#0,7342964#3,363284# 0,2280675#1,011896#3,441695#0,1606031#0,7816343#3,128211#0,2582546#0,9619986#3,432508#0,1047885#0,8039292#3,159777#0,348816#0,8123057#3,418612#-0,03342777#0,6948596#3,154232#0,2028377#0,7496759#3,60498#0,002874628#0,6489502#3,348216#0,07979832#0,3962344#3,300195#0,08787528#0,3239726#3,284667#0,1435916#0,2690264#3,229188#0,05410925#0,2577442#3,307677#-0,1038601#-0,1620708#3,338822#-0,1766384#-0,1965985#3,345077#-0,310336#-0,5302655#3,29411#-0,3372512#-0,4706866#3,260219#-0,2417411#-0,5723031#3,239986#-0,2686562#-0,5127242#3,206095#0  
frame37 #0,1754065#0,8535916#3,369966#0,1334028#0,6425765#3,318131# 0,3515736#0,9627256#3,469627#0,1054339#0,6710191#3,119867#0,3674201#0,9062181#3,50871#0,04928514#0,6930594#3,151367#0,3892696#0,7205858#3,373457#-0,08850016#0,5841218#3,146336#0,2432913#0,657956#3,559828#-0,0522946#0,538335#3,339876#0,143953#0,3163425#3,270515#0,1537014#0,2538984#3,252543#0,2196703#0,1939817#3,225086#0,09518143#0,1711823#3,250916#-0,07733919#-0,2158836#3,307801#-0,1415922#-0,2782397#3,323572#-0,2561164#-0,5694975#3,279028#-0,2954491#-0,5351561#3,182538#-0,3594127#-0,6137036#3,275978#-0,2454749#-0,5782675#3,110449#0  
frame38 #0,2191657#0,8466635#3,381044#0,1949637#0,6107817#3,320386# 0,4284118#0,8754791#3,492191#0,1678535#0,6433848#3,143613#0,4442713#0,8189257#3,531306#0,1056304#0,6606226#3,174288#0,4661852#0,6327455#3,395615#-0,1066813#0,5810344#3,181614#0,3048522#0,6261612#3,562082#0,04963861#0,5178961#3,262881#0,2063992#0,2748736#3,255985#0,2188018#0,2106535#3,236746#0,2778146#0,1581527#3,225026#0,1670139#0,1418836#3,218975#-0,09040962#-0,192384#3,309708#-0,1048554#-0,2866666#3,309999#-0,1433216#-0,5599777#3,267518#-0,1629262#-0,5707083#3,151397#-0,07692839#-0,6022851#3,208576#-0,09653305#-0,6130157#3,092455#0  
frame39 #0,2611443#0,8443822#3,399808#0,2140909#0,6117316#3,329773# 0,5627105#0,2755763#3,547275#0,2040153#0,4576509#3,272158#0,5314587#0,3167214#3,518331#0,15627#0,4227852#3,275641#0,4377033#0,4401569#3,445165#0,01303426#0,3181881#3,29976#0,3239794#0,6271111#3,571469#0,1048956#0,5216267#3,237398#0,2164013#0,2638891#3,257823#0,2293846#0,196007#3,23886#0,2850235#0,1499088#3,224837#0,1753486#0,1312993#3,223751#-0,09017465#-0,1924689#3,308706#-0,09651926#-0,3023125#3,30867#-0,1439326#-0,5571215#3,266551#-0,1818141#-0,5753701#3,146584#-0,06944053#-0,5991544#3,216881#-0,1073221#-0,617403#3,096914#0  
frame40 #0,2581018#0,8418632#3,405789#0,2106495#0,6076918#3,338401# 0,4069842#0,2891071#3,212069#0,1624328#0,1820719#3,335822#0,4021261#0,329295#3,25553#0,1258051#0,2101299#3,298423#0,387552#0,4498586#3,399581#0,01592182#0,2943039#3,199897#0,3205381#0,6230713#3,580097#0,1032821#0,5188568#3,234232#0,2104987#0,2521704#3,267893#0,2225023#0,1826569#3,249219#0,2757424#0,1341717#3,239974#0,1715371#0,1236652#3,230931#-0,1160426#-0,2024248#3,314918#-0,1074778#-0,3099068#3,311129#-0,1804121#-0,5654384#3,277199#-0,1833022#-0,5827057#3,14303#-0,1045722#-0,6076102#3,229334#-0,1074623#-0,6248775#3,095165#0  
frame41 #0,2466747#0,8409375#3,413292#0,2068462#0,6043403#3,343648# 0,4023877#0,2893389#3,211302#0,1633624#0,1828474#3,332555#0,3977886#0,3295475#3,25501#0,1258549#0,210069#3,295132#0,383991#0,4501733#3,399807#0,0133327#0,2917338#3,196535#0,3167347#0,6197199#3,585344#0,09726428#0,5182904#3,232455#0,2083059#0,2497645#3,271599#0,2205247#0,1807235#3,252638#0,2739097#0,1325061#3,243711#0,1698809#0,1216012#3,234296#-0,1204369#-0,2060014#3,315899#-0,1137836#-0,3126653#3,312361#-0,1801816#-0,5648465#3,277123#-0,1823373#-0,5884399#3,146248#-0,1039096#-0,6070101#3,229542#-0,1060653#-0,6306036#3,098668#0  
frame42 #0,239114#0,8538973#3,413191#0,1929499#0,616972#3,346456# 0,3262134#0,4653887#3,142453#0,1603333#0,2126939#3,285997#0,3421369#0,4086069#3,181726#0,1199615#0,2370866#3,249327#0,354462#0,4747938#3,384349#-0,001153938#0,3102648#3,152987#0,3028384#0,6323516#3,588151#0,08883138#0,5309638#3,224552#0,1961015#0,2542123#3,276462#0,2082986#0,1840456#3,258303#0,2601379#0,1375186#3,251395#0,1580964#0,1259629#3,240808#-0,1244154#-0,2188087#3,312882#-0,1305328#-0,3094091#3,314564#-0,1867131#-0,5792915#3,274827#-0,1758907#-0,5962914#3,161875#-0,1090845#-0,6214758#3,229273#-0,09826208#-0,6384758#3,116321#0  
frame43 #0,1951905#0,8752481#3,389931#0,151692#0,6369399#3,322884# 0,3723658#0,3792968#3,073915#0,09457292#0,2547276#3,232299#0,3660389#0,4450205#3,099656#0,03234982#0,2719654#3,262974#0,3244953#0,5309082#3,336839#-0,05573694#0,3664799#3,089689#0,2615805#0,6523194#3,56458#0,06772399#0,5545969#3,208336#0,1530109#0,2688961#3,263949#0,165804#0,1970883#3,248308#0,2124154#0,1524554#3,244838#0,1211327#0,1441445#3,231984#-0,1590466#-0,2037804#3,312724#-0,1505205#-0,3036095#3,313883#-0,2160991#-0,5592036#3,273589#-0,1834613#-0,589726#3,161527#-0,2910912#-0,6433498#3,255179#-0,1044044#-0,6321619#3,118961#0  
frame44 #0,1617223#0,8791518#3,404711#0,1505569#0,6388879#3,319129# 0,3820274#0,3949623#3,025271#0,09886328#0,2580907#3,215795#0,3338366#0,4696438#3,080061#0,03664018#0,2753285#3,24647#0,3197834#0,542197#3,325918#-0,05187381#0,3492129#3,087134#0,2604454#0,6542674#3,560825#0,0607588#0,5494283#3,195196#0,1521942#0,2691849#3,262311#0,1649681#0,1971486#3,246912#0,2125078#0,1519459#3,243287#0,1192646#0,1437191#3,230604#-0,1594711#-0,2031754#3,312847#-0,1546261#-0,3056432#3,313423#-0,2165126#-0,5586147#3,273703#-0,1907039#-0,5917807#3,161825#-0,2919517#-0,6417795#3,253754#-0,1118877#-0,6342055#3,119139#0  
frame45 #0,1608117#0,8816165#3,395007#0,1480792#0,642519#3,299679# 0,3892669#0,3770977#3,074304#0,1018206#0,2586859#3,187382#0,3605211#0,4418738#3,076157#0,03959751#0,2759237#3,218057#0,319507#0,5400555#3,309656#-0,05411113#0,3463584#3,086215#0,2579677#0,6578985#3,541375#0,05001542#0,5529755#3,191224#0,1494844#0,2707008#3,256279#0,1620971#0,1981564#3,242278#0,2117891#0,1515928#3,240418#0,1140471#0,1430447#3,225717#-0,1599084#-0,2030399#3,313075#-0,1595191#-0,3084815#3,313493#-0,2169428#-0,5584854#3,273917#-0,1990945#-0,5898461#3,152452#-0,2912033#-0,6416064#3,250813#-0,1220914#-0,6326006#3,107283#0  
frame46 #0,1620872#0,8844867#3,392884#0,1486901#0,6448771#3,296491# 0,3439135#0,3712075#3,08087#0,102511#0,2588292#3,185853#0,360829#0,4393583#3,074544#0,04028784#0,2760671#3,216529#0,3195384#0,536194#3,309259#-0,05671892#0,3410927#3,083441#0,2585787#0,6602567#3,538188#0,04713744#0,5494119#3,186149#0,1499107#0,27213#3,253197#0,1623438#0,1992517#3,239642#0,2134631#0,1518266#3,23731#0,1135085#0,1426774#3,22378#-0,1609698#-0,2027951#3,313139#-0,1618472#-0,3104855#3,313266#-0,217995#-0,5582485#3,273974#-0,2020112#-0,5894226#3,147271#-0,2968931#-0,6385117#3,257391#-0,1253534#-0,6321953#3,101662#0  
frame47 #0,1651286#0,8865698#3,394031#0,1507104#0,646165#3,294779# 0,3706316#0,360155#3,086841#0,1034592#0,2592196#3,185749#0,3658072#0,4291905#3,076563#0,04123612#0,2764575#3,216425#0,3229033#0,5374302#3,306755#-0,05307201#0,3495379#3,083296#0,260599#0,6615447#3,536475#0,05952609#0,5554506#3,183311#0,1501319#0,2715262#3,248918#0,1622836#0,1979459#3,235163#0,212813#0,1507913#3,232539#0,1138171#0,1430679#3,220502#-0,1646548#-0,2020159#3,311514#-0,1655473#-0,3132109#3,312335#-0,221668#-0,5574859#3,272332#-0,2018412#-0,5926487#3,146354#-0,2931673#-0,6427262#3,25056#-0,1243061#-0,6352557#3,102868#0  
frame48 #0,1728202#0,8897687#3,39144#0,1534712#0,6486338#3,293351# 0,3709642#0,3605786#3,087708#0,1055912#0,2595421#3,188479#0,3689436#0,4291286#3,075212#0,04336803#0,2767799#3,219154#0,3263339#0,5431406#3,303018#-0,04371984#0,3493555#3,086841#0,2633598#0,6640135#3,535048#0,06717794#0,5590388#3,179985#0,1513113#0,2726788#3,24623#0,1632847#0,1988665#3,232532#0,2129905#0,1514417#3,2309#0,1159199#0,1454834#3,216339#-0,1645956#-0,2019645#3,311199#-0,1644469#-0,3132099#3,307761#-0,2216083#-0,5574362#3,272009#-0,2116192#-0,5989332#3,158944#-0,2937073#-0,6403468#3,244767#-0,1336044#-0,6415065#3,116625#0  
