frame1 #0,03271544#0,9018338#3,44144#0,08223002#0,7250485#3,43132# -0,1897462#0,3016505#3,146863#-0,5014955#0,5914351#3,411207#-0,09813488#0,3184126#3,148241#-0,4641457#0,5414395#3,382138#0,10353#0,4223078#3,184796#-0,2920312#0,5159091#3,465348#0,1915591#0,6075624#3,342415#-0,1176444#0,5985841#3,536266#0,08854542#0,3490592#3,44048#0,07896161#0,2745919#3,428516#0,1479875#0,2015105#3,39732#0,008845918#0,1974703#3,454043#0,317404#-0,2218776#3,406079#-0,1841612#-0,2221875#3,481352#0,5063124#-0,566945#3,399979#-0,2763223#-0,5721642#3,463529#0,4680924#-0,6043592#3,341526#-0,3145423#-0,6095784#3,405076#0  
frame35 #-0,1933993#0,8856732#3,301452#-0,2304858#0,7380479#3,347718# -0,2654917#0,5724614#3,426597#0,0882961#0,9251274#3,165401#-0,213918#0,5875458#3,470917#0,03230675#0,8558031#3,13474#-0,09138001#0,5884824#3,690611#-0,1043672#0,7167144#3,101283#-0,08459134#0,6823646#3,546132#-0,2711376#0,6164061#3,268169#-0,200863#0,3473148#3,35926#-0,191469#0,2682835#3,363071#-0,1380845#0,2214269#3,363474#-0,2343899#0,2250422#3,360112#-0,3223366#-0,2532777#3,492136#-0,02838153#-0,1998421#3,302744#-0,4075969#-0,5653125#3,524412#-0,3510553#-0,4773144#3,405523#-0,4527436#-0,6441324#3,465083#-0,2799591#-0,5194014#3,359978#0  
frame36 #-0,166473#0,8748394#3,316718#-0,2045953#0,6879347#3,376765# -0,2395223#0,5223849#3,455671#0,1181935#0,9397799#3,217021#-0,1880752#0,5374322#3,499882#0,06234163#0,8706259#3,186436#-0,06548947#0,5383692#3,719657#-0,04067219#0,7504051#3,12087#-0,0587008#0,6322514#3,575179#-0,2021604#0,6202939#3,252628#-0,1854122#0,308736#3,355788#-0,1785865#0,2340823#3,354527#-0,1401551#0,202004#3,35802#-0,2144402#0,2077255#3,34966#-0,3080664#-0,2496035#3,488384#-0,0321369#-0,2882015#3,292415#-0,4054876#-0,5585993#3,523714#-0,3870214#-0,5130609#3,416186#-0,4648285#-0,6270694#3,463691#-0,4335079#-0,6069852#3,444987#0  
frame37 #-0,1418647#0,8922743#3,330483#-0,1642982#0,6876307#3,405792# -0,1995759#0,5221134#3,484#0,2011187#0,9770462#3,295493#-0,1482524#0,5371246#3,528105#0,145401#0,9080583#3,264981#-0,02519236#0,5380652#3,748679#-0,03493902#0,7578251#3,226111#-0,01840369#0,6319475#3,604206#-0,248665#0,6637969#3,311235#-0,1797721#0,3751101#3,364218#-0,1801319#0,3128473#3,357127#-0,1436662#0,2527968#3,330985#-0,2214366#0,2593552#3,364295#-0,2899367#-0,2295906#3,479821#-0,09243448#-0,1685431#3,332222#-0,3871276#-0,5424997#3,49828#-0,3861369#-0,4964257#3,386027#-0,4386308#-0,6202132#3,441966#-0,3175403#-0,5388337#3,336364#0  
frame38 #-0,1109503#0,9970833#3,343501#-0,1556125#0,7902781#3,409713# -0,1912159#0,6247926#3,487247#0,1941673#0,937298#3,314241#-0,140013#0,6397685#3,531248#0,1385805#0,8684722#3,283801#-0,01650663#0,6407126#3,752581#-0,04333661#0,7248056#3,250711#-0,009717956#0,7345948#3,608127#-0,259647#0,6548947#3,359286#-0,1714711#0,38504#3,366121#-0,1694965#0,3137043#3,354866#-0,1053796#0,2521865#3,320939#-0,219981#0,2576782#3,364676#-0,2756228#-0,2241844#3,466503#-0,08163477#-0,1709083#3,328764#-0,3644722#-0,5405463#3,479461#-0,3814445#-0,4993413#3,354946#-0,422511#-0,5917577#3,402325#-0,3208492#-0,5421008#3,29554#0  
frame39 #-0,04439142#0,982887#3,332883#-0,1193189#0,7725743#3,375309# -0,1551953#0,6071203#3,452249#0,1537359#0,9054025#3,327463#-0,1041102#0,6220617#3,496149#0,09827696#0,836735#3,297093#0,01978688#0,6230088#3,718152#-0,07371531#0,6916772#3,261494#0,02657555#0,716891#3,573723#-0,2857637#0,6094881#3,372084#-0,1269084#0,3817634#3,341581#-0,1209858#0,3052573#3,325823#-0,04994801#0,22562#3,324662#-0,1925525#0,2365814#3,30687#-0,2689815#-0,2329279#3,464278#-0,2671736#-0,1562597#3,420617#-0,3486581#-0,5509678#3,479203#-0,4372873#-0,5635253#3,364997#-0,4120972#-0,595335#3,401569#-0,3916981#-0,6066477#3,293227#0  
frame40 #0,03570574#0,924824#3,381145#-0,06808815#0,7599221#3,349493# 0,07323866#0,876449#3,511313#0,1499591#0,8864766#3,343811#0,1195988#0,7978675#3,532459#0,09431526#0,8175802#3,313339#0,07101768#0,6103566#3,692328#-0,03117457#0,6887693#3,256747#0,07780635#0,7042388#3,547908#-0,2446374#0,5908029#3,344565#-0,06834717#0,3820503#3,316433#-0,05888652#0,3091213#3,296657#0,02231985#0,2364275#3,268642#-0,1369337#0,2270426#3,301763#-0,2064065#-0,2175921#3,4089#-0,2465525#-0,1461684#3,341475#-0,2819571#-0,5362173#3,429873#-0,4184965#-0,5562173#3,367441#-0,3686597#-0,5837849#3,379683#-0,4622799#-0,6378316#3,330433#0  
frame41 #0,04418441#0,9244879#3,380037#-0,06122511#0,7604249#3,345111# 0,1300955#0,8792794#3,526916#0,1912003#0,8580069#3,313175#0,166382#0,7935573#3,540754#0,1352874#0,7887774#3,282557#0,07788073#0,6108594#3,687922#0,01504378#0,6629535#3,223983#0,0846694#0,7047416#3,543526#-0,2020709#0,5697082#3,307284#-0,04762571#0,3648444#3,304641#-0,02959274#0,2873822#3,2803#0,04919425#0,2183361#3,248133#-0,09941906#0,2055978#3,288939#-0,185746#-0,2048243#3,40244#-0,251739#-0,1497971#3,338251#-0,261419#-0,5239659#3,423467#-0,4272121#-0,5588199#3,366623#-0,3497949#-0,5773755#3,381762#-0,4603709#-0,6405124#3,33082#0  
frame42 #0,09194966#0,8493221#3,394124#-0,01962918#0,7111825#3,332037# 0,1848887#0,8654046#3,561983#0,1936881#0,8608161#3,318201#0,2025053#0,7735834#3,575539#0,1375587#0,7913185#3,287463#0,1194766#0,561617#3,674842#0,01758292#0,6656097#3,228824#0,1262653#0,6554992#3,530452#-0,1997997#0,5722494#3,3122#-0,02192122#0,3526838#3,295109#-0,009390777#0,2835528#3,269268#0,06669567#0,2148922#3,236798#-0,07720925#0,2009745#3,274112#0,2556049#-0,1880765#3,218124#-0,2352718#-0,1527605#3,323088#0,3822705#-0,5629503#3,167781#-0,4011927#-0,567459#3,353604#0,4300173#-0,6062152#3,095368#-0,353446#-0,610724#3,281191#0  
frame43 #0,1322739#0,894097#3,371171#0,02023727#0,7553906#3,308937# 0,3007911#0,8743627#3,645176#0,1332603#0,8906005#3,408879#0,3100697#0,7933946#3,597123#0,0770498#0,8210024#3,378098#0,1593431#0,6058251#3,6517#0,01162492#0,6850876#3,293124#0,1661318#0,6997073#3,507352#-0,1556311#0,6212708#3,298383#0,03163101#0,3552724#3,266674#0,04940346#0,2809848#3,235616#0,1285393#0,2162396#3,215183#-0,02070592#0,1989096#3,229047#0,331612#-0,2274542#3,207441#-0,2066846#-0,2501478#3,303293#0,4113145#-0,5814034#3,155503#-0,3754604#-0,5582768#3,320189#0,4460593#-0,6504946#3,183756#-0,3289889#-0,6014748#3,246998#0  
frame44 #0,1364609#0,8504225#3,379906#0,05825848#0,6972032#3,285781# 0,3784769#0,7805582#3,664636#0,2052079#0,8875981#3,37919#0,3695545#0,7203826#3,630337#0,1490718#0,8180921#3,348449#0,1973643#0,5476377#3,628537#0,0105495#0,7073426#3,328005#0,204153#0,6415199#3,484195#-0,04482856#0,5866415#3,232877#0,05840163#0,301142#3,239129#0,08153076#0,2277396#3,209049#0,146019#0,1765208#3,196792#0,02209938#0,1675936#3,200121#0,3496555#-0,2341121#3,201229#-0,1850012#-0,2211482#3,278166#0,4572491#-0,576512#3,130293#-0,333828#-0,572327#3,267349#0,519272#-0,6186224#3,069825#-0,2718052#-0,6144375#3,206881#0  
frame45 #0,153583#0,865481#3,389845#0,06551576#0,7235376#3,280742# 0,567467#0,7814955#3,379628#0,2008479#0,8825412#3,38025#0,5585562#0,7213982#3,345373#0,1447847#0,8131256#3,349549#0,3869469#0,5492361#3,343647#0,007088806#0,7029873#3,327099#0,2111156#0,576507#3,216748#-0,04423162#0,5823464#3,231085#0,07976632#0,291708#3,24134#0,08115079#0,208508#3,196988#0,1471712#0,1523446#3,182872#0,0189571#0,1514593#3,189164#0,3574379#-0,2315662#3,201626#-0,184535#-0,2349598#3,276446#0,4675319#-0,5632889#3,124843#-0,2961721#-0,5759683#3,229048#0,4632772#-0,6072218#3,039754#-0,2804619#-0,6386358#3,179404#0  
frame46 #0,1560908#0,8647162#3,388261#0,0644491#0,7241512#3,279861# 0,5747891#0,7453608#3,416184#0,1745311#0,8661025#3,385472#0,5658897#0,6853404#3,381973#0,1185397#0,7967756#3,35481#0,3791035#0,5348216#3,35277#0,01599636#0,6749198#3,28457#0,2071488#0,5767459#3,212621#-0,09425221#0,5518548#3,240193#0,08182105#0,2904398#3,2402#0,08149235#0,2082419#3,195097#0,1522347#0,1501101#3,177002#0,01634612#0,1462057#3,186108#0,3650395#-0,2278435#3,204324#-0,1812462#-0,2461693#3,270707#0,4730719#-0,5591639#3,122514#-0,2838191#-0,5891432#3,185097#0,4639634#-0,6029541#3,038092#-0,2969057#-0,6543652#3,138519#0  
frame47 #0,185213#0,8447334#3,364359#0,076131#0,7135193#3,262453# 0,5796748#0,7008221#3,392872#0,1776819#0,8407269#3,393553#0,5707866#0,6408772#3,358704#0,1217608#0,7714872#3,362931#0,3813198#0,4935955#3,330136#0,03499871#0,6284754#3,310057#0,2084017#0,5610201#3,199642#-0,09299152#0,5489599#3,238803#0,08892284#0,2819544#3,232842#0,08571011#0,2020469#3,189175#0,1596826#0,1398646#3,171363#0,01732644#0,135666#3,180321#0,3716287#-0,2287034#3,206432#-0,1776011#-0,2494854#3,264869#0,4768192#-0,5609074#3,124153#-0,2845694#-0,5850407#3,17801#0,4651608#-0,6046163#3,040266#-0,2962278#-0,6287497#3,094123#0  
frame48 #0,1944937#0,8384943#3,362243#0,08344887#0,7073265#3,262726# 0,5848536#0,6341929#3,346407#0,002376933#0,546745#3,451177#0,5759764#0,5743223#3,312282#-0,05347476#0,4775912#3,420592#0,3841072#0,4255342#3,292285#-0,1582708#0,3583558#3,347213#0,2153873#0,550611#3,193325#-0,08422209#0,5397531#3,227357#0,09256097#0,2762263#3,229451#0,08931199#0,1973321#3,183137#0,162834#0,1346519#3,165176#0,01930988#0,1296528#3,17422#0,3801675#-0,2303905#3,207847#-0,176895#-0,2524224#3,254685#0,4788567#-0,5598447#3,124583#-0,2843542#-0,5835471#3,176296#0,463666#-0,6465136#3,109322#-0,2945698#-0,6271418#3,092381#0  
frame49 #0,167669#0,8626229#3,359506#0,08772451#0,7089799#3,262995# 0,5852831#0,6040682#3,333262#-0,2300074#0,1338794#3,370231#0,5764189#0,5442857#3,299187#-0,2124896#0,187306#3,347115#0,3813912#0,3969314#3,279575#-0,1599361#0,3475857#3,291811#0,2221647#0,5457183#3,191425#-0,04733459#0,5348116#3,204711#0,09404808#0,271975#3,22867#0,09310444#0,1920397#3,179906#0,1644811#0,1313715#3,16372#0,0228022#0,1270972#3,171508#0,3841177#-0,231194#3,209231#-0,176514#-0,2536496#3,250537#0,4864155#-0,5517132#3,129653#-0,2864111#-0,5821559#3,176614#0,463117#-0,645745#3,108483#-0,2910742#-0,6257133#3,092278#0  
frame50 #0,08932143#0,8910409#3,301029#0,08756343#0,7089746#3,263331# 0,4307057#0,383792#3,465961#-0,162799#0,1273131#3,487787#0,421856#0,3241068#3,431941#-0,1620265#0,1759249#3,420897#0,3701449#0,3634564#3,240147#-0,1597088#0,3217604#3,234284#0,221753#0,5475193#3,192623#-0,04788596#0,5353447#3,203401#0,09512442#0,2713611#3,229784#0,09500604#0,1917909#3,179475#0,1673816#0,1325466#3,16346#0,02505863#0,1268182#3,170931#0,3834235#-0,2299441#3,209114#-0,1789609#-0,255055#3,248083#0,4874136#-0,5507416#3,130309#-0,2895002#-0,5813346#3,176402#0,4627377#-0,6454592#3,106729#-0,2934194#-0,6248645#3,092078#0  
frame51 #0,09228908#0,8939643#3,302585#0,08990191#0,7115879#3,266176# 0,4321769#0,1732575#3,374157#-0,1767961#0,06775079#3,37219#0,3706023#0,1631902#3,344383#-0,1726487#0,1305428#3,317909#0,3575242#0,3390317#3,182204#-0,1602064#0,3189188#3,169146#0,2216982#0,5473998#3,192755#-0,0429786#0,5389512#3,197936#0,09234526#0,2671986#3,230294#0,09102419#0,1854612#3,177778#0,1608649#0,1286131#3,162042#0,02260858#0,1235457#3,169848#0,3839041#-0,2304775#3,209414#-0,1804904#-0,2565825#3,246814#0,487078#-0,5510273#3,1295#-0,2917349#-0,5815802#3,17625#0,4624933#-0,644644#3,106642#-0,2936431#-0,6250783#3,091918#0  
frame52 #0,08733092#0,9165958#3,30097#0,08083089#0,7347844#3,278039# 0,3771801#0,1227424#3,351561#-0,1362483#0,06544116#3,285491#0,3521745#0,154115#3,29543#-0,1402714#0,1346024#3,238699#0,3359982#0,3509328#3,154933#-0,1523405#0,3420863#3,112428#0,2041726#0,5640364#3,1931#-0,03706785#0,5582266#3,193936#0,08790135#0,2680949#3,232132#0,08775035#0,186171#3,178054#0,1509342#0,1324361#3,162337#0,02105867#0,1278993#3,17082#0,3830177#-0,2317527#3,20804#-0,1824467#-0,2570351#3,245942#0,487372#-0,5520454#3,129256#-0,2936887#-0,5818776#3,176807#0,4624351#-0,645062#3,107362#-0,2940555#-0,6253741#3,092535#0  
frame53 #0,07583331#0,8966821#3,277627#0,07445285#0,7147106#3,255722# 0,3486202#0,1674522#3,232907#-0,1143043#0,1104482#3,237452#0,3236676#0,1987581#3,176896#-0,1248263#0,176082#3,19074#0,340621#0,3541529#3,091507#-0,1563925#0,3729835#3,064728#0,2036896#0,5491628#3,182486#-0,09396639#0,5314774#3,165387#0,08099207#0,2702981#3,233623#0,08234097#0,1888629#3,180109#0,1501766#0,1320839#3,163062#0,01082166#0,1263656#3,175161#0,3804928#-0,2345243#3,20408#-0,1882933#-0,2571397#3,244391#0,4889089#-0,5604242#3,129611#-0,2951167#-0,5819001#3,174626#0,4697822#-0,6503143#3,112441#-0,290589#-0,6252686#3,09056#0  
frame54 #0,08427865#0,9015015#3,264663#0,07308323#0,7223949#3,260048# 0,2929665#0,1398171#3,18476#-0,1243234#0,2048671#3,145796#0,2903737#0,1988612#3,149542#-0,1315732#0,2689433#3,115893#0,3396907#0,358204#3,082906#-0,1533229#0,461172#3,040315#0,2044874#0,5555313#3,180962#-0,04846972#0,5773255#3,17575#0,08101105#0,2737911#3,235729#0,08268106#0,1929036#3,181535#0,1511947#0,1367205#3,164996#0,0130677#0,1342839#3,177345#0,3804055#-0,2358151#3,202805#-0,1902442#-0,2573994#3,243512#0,4893457#-0,5628459#3,128866#-0,2956629#-0,5817833#3,174567#0,4928558#-0,6061348#3,044905#-0,2921529#-0,6250721#3,090606#0  
frame55 #0,07423222#0,8823401#3,241992#0,06086551#0,7062103#3,249952# 0,3108935#0,1687034#3,205803#-0,1216246#0,1942611#3,163019#0,3084074#0,2278133#3,17074#-0,1277738#0,2465059#3,130581#0,3364317#0,3711285#3,070638#-0,1462212#0,4032401#3,047408#0,1997527#0,5560179#3,178165#-0,06846173#0,5660335#3,173237#0,07854412#0,2727089#3,23587#0,08134371#0,1925761#3,181602#0,1504562#0,136128#3,165187#0,01235827#0,1336261#3,177623#0,3795648#-0,2364583#3,201985#-0,1933206#-0,2566677#3,242135#0,4887764#-0,5648293#3,12878#-0,2994137#-0,5820342#3,174858#0,4912752#-0,6080855#3,044971#-0,2969149#-0,6252904#3,091049#0  
frame56 #0,07825757#0,8732275#3,23344#0,06522934#0,6944288#3,233254# 0,3127714#0,187469#3,191705#-0,1400765#0,157754#3,225104#0,3102874#0,2465304#3,15667#-0,1419169#0,2026922#3,182336#0,338578#0,4112731#3,048292#-0,147438#0,3375066#3,068176#0,2032872#0,5588046#3,169827#-0,07289854#0,5671229#3,167901#0,07935376#0,2753733#3,236798#0,08163254#0,1960871#3,182092#0,1534189#0,1377633#3,166216#0,01167449#0,1352361#3,178358#0,3795562#-0,2363997#3,202112#-0,1964804#-0,2538174#3,238333#0,4882538#-0,5649985#3,128189#-0,3120152#-0,5792831#3,176609#0,489545#-0,6082584#3,044864#-0,310724#-0,622543#3,093284#0  
frame57 #0,07479681#0,8837157#3,245966#0,05591078#0,7025571#3,235888# 0,2991749#0,1684396#3,162472#-0,1683156#0,1551536#3,199988#0,2966943#0,2274197#3,127485#-0,1691575#0,2150378#3,159655#0,343105#0,3807647#3,045228#-0,1716832#0,3946903#3,052812#0,2044264#0,5606607#3,168472#-0,0765259#0,5755115#3,171895#0,07402454#0,2858811#3,232942#0,0771079#0,2114193#3,17832#0,1501298#0,1479894#3,16312#0,008965813#0,1462597#3,174649#0,3787371#-0,2364648#3,20262#-0,1985098#-0,2527914#3,236878#0,4858098#-0,5690176#3,128427#-0,3166697#-0,5787391#3,175116#0,4857655#-0,6118788#3,045598#-0,3167141#-0,6216003#3,092287#0  
frame58 #0,08422478#0,8984408#3,256312#0,06877831#0,7155486#3,241037# 0,307629#0,1631143#3,172732#-0,1649746#0,1541806#3,193919#0,305151#0,2220328#3,137783#-0,1664584#0,2143161#3,155131#0,3443253#0,3741404#3,049751#-0,1709099#0,3947224#3,05293#0,2067546#0,5608644#3,16701#-0,07553589#0,5755273#3,172308#0,07545872#0,289896#3,234199#0,0766983#0,2139947#3,177863#0,1492946#0,1508186#3,162648#0,006539047#0,1499642#3,173341#0,378178#-0,2368519#3,202343#-0,1988681#-0,2528111#3,237044#0,4856306#-0,5705878#3,128758#-0,3202122#-0,5795297#3,173536#0,4850465#-0,6132248#3,04625#-0,3207963#-0,6221668#3,091028#0  
frame59 #0,08329706#0,8996605#3,254242#0,06985665#0,7165473#3,240496# 0,3091148#0,1684006#3,169045#-0,1576719#0,1585023#3,1735#0,3066382#0,227286#3,134115#-0,1614406#0,2174693#3,139175#0,3406031#0,3815394#3,045545#-0,1727468#0,3943703#3,050365#0,2058463#0,5611449#3,166616#-0,0763033#0,5759572#3,172869#0,0757824#0,2899391#3,234385#0,07673832#0,2139547#3,177777#0,149431#0,150921#3,16246#0,006426072#0,1498713#3,173325#0,3777535#-0,2372361#3,202398#-0,1992318#-0,2528887#3,23682#0,4854338#-0,5764#3,129467#-0,3203899#-0,5791666#3,173686#0,4845598#-0,6189618#3,047128#-0,3212639#-0,6217284#3,091346#0  
frame60 #0,07516953#0,8946877#3,244659#0,06589724#0,713424#3,243771# 0,3012235#0,1742046#3,156595#-0,1506618#0,1599579#3,156555#0,2987494#0,2330288#3,121701#-0,1562251#0,2184411#3,125917#0,3262558#0,4275759#3,042154#-0,172915#0,3938907#3,048182#0,1994664#0,5648892#3,16454#-0,08215837#0,5710462#3,173502#0,07646883#0,2892678#3,234697#0,07687818#0,2138912#3,177254#0,1498072#0,1524753#3,160873#0,006879106#0,1490475#3,172596#0,3764293#-0,2379855#3,200952#-0,200228#-0,2522643#3,235985#0,4823356#-0,5799618#3,127565#-0,3201429#-0,5766324#3,173856#0,4802529#-0,6222958#3,045604#-0,3222256#-0,6189665#3,091896#0  
frame61 #0,07980949#0,8831902#3,213034#0,06019209#0,7068194#3,228559# 0,3025135#0,1796497#3,161243#-0,1489366#0,1551924#3,164713#0,3000416#0,238421#3,126381#-0,1554674#0,2119384#3,130177#0,3300788#0,4288679#3,037483#-0,1750595#0,3821765#3,040754#0,1928695#0,5716123#3,162729#-0,08485656#0,5703586#3,17081#0,076728#0,2897407#3,230962#0,0775672#0,2138133#3,173916#0,1508341#0,1530794#3,159407#0,007959235#0,1488383#3,167303#0,3731462#-0,2385598#3,200159#-0,2011877#-0,2528057#3,234534#0,4843139#-0,5771554#3,127892#-0,324798#-0,5786248#3,172379#0,4821149#-0,6194125#3,046415#-0,326997#-0,6208819#3,090903#0  
frame62 #0,09340378#0,8857526#3,217722#0,07225038#0,7077932#3,228423# 0,2983125#0,1651592#3,178508#-0,1532554#0,1564187#3,158184#0,2958418#0,2239031#3,143662#-0,15796#0,2310776#3,118949#0,3330373#0,4300766#3,035613#-0,1720736#0,4550543#3,015438#0,1942627#0,5681139#3,160852#-0,08462137#0,56712#3,165272#0,07744638#0,2854721#3,22496#0,07762327#0,2092846#3,166314#0,1485184#0,1483876#3,15317#0,008234272#0,1446101#3,157688#0,3727576#-0,2392905#3,199582#-0,2012566#-0,25291#3,233992#0,4846092#-0,5777428#3,128042#-0,3257294#-0,5789742#3,171846#0,4835534#-0,6198062#3,046669#-0,3267851#-0,6210376#3,090474#0  
frame63 #0,08086869#0,8866496#3,202742#0,06883354#0,7107404#3,223216# 0,3041311#0,1651378#3,183254#-0,1337063#0,1627234#3,160133#0,3016613#0,2238596#3,148421#-0,1441448#0,2358791#3,119507#0,3322271#0,4306616#3,03632#-0,1754604#0,4553463#3,011826#0,2008359#0,5665695#3,158361#-0,08580589#0,5679415#3,159063#0,07555839#0,2893377#3,220326#0,07686381#0,2135267#3,162122#0,149164#0,1499465#3,151309#0,006276904#0,1481569#3,152581#0,3726822#-0,2400322#3,198628#-0,1998887#-0,2536158#3,230471#0,4849118#-0,5781634#3,127847#-0,3260995#-0,5796828#3,171915#0,4851048#-0,6201359#3,046649#-0,3259065#-0,6216553#3,090717#0  
frame64 #0,06177381#0,8990627#3,211053#0,06333517#0,7182209#3,217876# 0,3047134#0,1949719#3,138179#-0,1280415#0,1760633#3,16619#0,3167449#0,2564202#3,069964#-0,139008#0,2245262#3,12855#0,3305469#0,4369966#3,037556#-0,1719075#0,3699149#3,029835#0,1975835#0,5666692#3,156818#-0,08814147#0,5687182#3,153906#0,07333879#0,2924287#3,216646#0,0758249#0,2158957#3,158808#0,1478419#0,1526036#3,149536#0,006351363#0,1515931#3,147553#0,3722531#-0,2405412#3,197234#-0,1987939#-0,2545413#3,226178#0,4849179#-0,5787559#3,127773#-0,3261661#-0,5800169#3,172081#0,4862078#-0,6206877#3,046726#-0,346227#-0,6510968#3,129898#0  
