frame1 #0,03271544#0,9018338#3,44144#0,08223002#0,7250485#3,43132# -0,1897462#0,3016505#3,146863#-0,5014955#0,5914351#3,411207#-0,09813488#0,3184126#3,148241#-0,4641457#0,5414395#3,382138#0,10353#0,4223078#3,184796#-0,2920312#0,5159091#3,465348#0,1915591#0,6075624#3,342415#-0,1176444#0,5985841#3,536266#0,08854542#0,3490592#3,44048#0,07896161#0,2745919#3,428516#0,1479875#0,2015105#3,39732#0,008845918#0,1974703#3,454043#0,317404#-0,2218776#3,406079#-0,1841612#-0,2221875#3,481352#0,5063124#-0,566945#3,399979#-0,2763223#-0,5721642#3,463529#0,4680924#-0,6043592#3,341526#-0,3145423#-0,6095784#3,405076#0  
frame12 #-0,1606044#0,8625816#3,351243#-0,1114748#0,6777077#3,394989# -0,1344075#0,2424665#3,093575#-0,6830763#0,4981509#3,165655#-0,04847354#0,2849791#3,12851#-0,5843083#0,4307716#3,280429#0,08640733#0,4096694#3,168309#-0,4412194#0,4145595#3,392491#0,02929766#0,5816556#3,301722#-0,2717469#0,5522994#3,448376#-0,04714251#0,315996#3,429682#-0,04156063#0,2419391#3,424813#0,03096359#0,1785074#3,399894#-0,09074111#0,1598712#3,454924#0,2805627#-0,2640134#3,3927#-0,2434694#-0,206138#3,433698#0,4914077#-0,5664816#3,373407#-0,2591515#-0,5626896#3,399218#0,4585887#-0,6114781#3,306598#-0,3052072#-0,6388713#3,353609#0  
frame13 #-0,1747576#0,8680484#3,336531#-0,1266231#0,6787957#3,387602# -0,205653#0,2120235#3,066992#-0,6843449#0,4913284#3,150174#-0,09830792#0,2621783#3,113468#-0,604109#0,4526426#3,208303#0,07903627#0,4115354#3,172149#-0,4440656#0,4152646#3,392052#0,02292951#0,5881025#3,306063#-0,2856922#0,5556145#3,441667#-0,05897789#0,319102#3,427623#-0,05176985#0,2453615#3,424838#0,0239873#0,1805185#3,400491#-0,1018498#0,1621264#3,456476#0,2282671#-0,2011579#3,397818#-0,2460034#-0,2038156#3,436048#0,431713#-0,5587931#3,385692#-0,2637826#-0,5650091#3,398133#0,4017055#-0,6046816#3,317295#-0,2930923#-0,6413052#3,362958#0  
frame14 #-0,1893888#0,8794699#3,32311#-0,147602#0,682034#3,364517# -0,2001125#0,2444225#3,076408#-0,6913412#0,4818004#3,082664#-0,1223858#0,301937#3,101512#-0,5806956#0,4165178#3,236962#0,07409433#0,4197173#3,172909#-0,4505535#0,4206443#3,389008#0,000835327#0,5958395#3,309318#-0,3166223#0,5571106#3,430384#-0,08167651#0,3227451#3,424752#-0,07449511#0,2488782#3,42667#-0,0007749312#0,1867745#3,410205#-0,1279274#0,1640993#3,459077#0,2217026#-0,2039883#3,397424#-0,2552457#-0,1996389#3,441073#0,384072#-0,5677041#3,401265#-0,2623439#-0,5661017#3,399733#0,4623002#-0,6221941#3,392412#-0,2879985#-0,6136932#3,330412#0  
frame15 #-0,2056252#0,8822844#3,327768#-0,1547244#0,6853534#3,363233# -0,1602966#0,2557448#3,116733#-0,6911866#0,4810691#3,080761#-0,08262053#0,2894587#3,168815#-0,5821745#0,4153652#3,236287#0,07016541#0,4239549#3,178439#-0,4593101#0,4252216#3,385621#-0,004073277#0,5978218#3,311517#-0,3285033#0,5616026#3,421965#-0,098653#0,3272259#3,423392#-0,09144#0,2535692#3,427025#-0,011425#0,1902914#3,413122#-0,1512813#0,1683264#3,456998#0,1811231#-0,2043657#3,392285#-0,2599558#-0,1997432#3,446555#0,3150429#-0,5772489#3,430623#-0,2629989#-0,5716404#3,398013#0,3853119#-0,6301546#3,417493#-0,3089009#-0,6583142#3,372458#0  
frame16 #-0,2145233#0,8859527#3,316114#-0,1723042#0,6972318#3,355812# -0,1391957#0,2667486#3,124772#-0,6873893#0,4791143#3,066194#-0,05227277#0,3041285#3,154001#-0,616531#0,3826766#3,212395#0,06936876#0,4289342#3,18359#-0,4989924#0,4224426#3,350021#-0,01899776#0,6060739#3,315527#-0,3526114#0,5716001#3,405101#-0,1184266#0,3356408#3,423153#-0,1106943#0,2615932#3,429304#-0,03065665#0,1965412#3,422286#-0,1717977#0,1783235#3,456372#0,1528663#-0,2068062#3,385559#-0,2710966#-0,1979849#3,450106#0,2623784#-0,581301#3,460997#-0,2625175#-0,5723722#3,397655#0,3023714#-0,6394805#3,43733#-0,3096996#-0,6580151#3,373409#0  
frame17 #-0,2178705#0,8898175#3,314901#-0,1798578#0,7009158#3,352015# -0,1415187#0,2772171#3,127266#-0,6676163#0,4685243#3,031896#-0,05394824#0,3108727#3,157709#-0,6130672#0,4522491#3,126761#0,06810793#0,4330091#3,202947#-0,5017474#0,4222847#3,346352#-0,02579551#0,6108651#3,321783#-0,3568071#0,5775492#3,404016#-0,1338961#0,3390443#3,421808#-0,1274402#0,2649809#3,429794#-0,0460226#0,199757#3,426009#-0,1927701#0,1822905#3,455301#0,1143664#-0,2112923#3,382337#-0,2918744#-0,2071218#3,443176#0,1581979#-0,5914561#3,49304#-0,2625078#-0,5723741#3,39764#0,2405362#-0,6510751#3,488308#-0,3111507#-0,6586422#3,374228#0  
frame18 #-0,2282511#0,9026256#3,316953#-0,1905656#0,7053802#3,351017# -0,138604#0,3104837#3,149817#-0,6593707#0,4712785#3,023705#-0,04455183#0,3330127#3,169354#-0,5915797#0,4474239#3,110353#0,06979492#0,4539895#3,238887#-0,5033959#0,4248018#3,34375#-0,03090987#0,6158733#3,325101#-0,3658925#0,5851755#3,396318#-0,1535674#0,3489546#3,420323#-0,1481016#0,2763144#3,429006#-0,06168073#0,2088618#3,428725#-0,2197082#0,1945024#3,45068#0,05592082#-0,184666#3,381533#-0,2992184#-0,208718#3,438764#0,02572196#-0,5673141#3,525179#-0,2608556#-0,574586#3,397357#0,0963692#-0,613312#3,523513#-0,308505#-0,6564217#3,372001#0  
frame19 #-0,2347225#0,9180239#3,3222#-0,2124721#0,7155832#3,345024# -0,1417104#0,3395985#3,159567#-0,5910865#0,4979658#2,993203#-0,08833691#0,3561203#3,206141#-0,5753138#0,4718845#3,064038#0,06685086#0,4582713#3,269326#-0,5377986#0,4219545#3,307879#-0,04587604#0,6386861#3,348001#-0,3970653#0,5897638#3,363989#-0,184212#0,3625526#3,415012#-0,1787813#0,2907144#3,424536#-0,08946474#0,2216476#3,43343#-0,2551204#0,2041314#3,438773#-0,0379034#-0,2093253#3,416035#-0,3176989#-0,2356722#3,411728#-0,1336976#-0,5480878#3,487054#-0,2617897#-0,5769272#3,394115#-0,1353291#-0,5964386#3,411737#-0,3001547#-0,6503965#3,37385#0  
frame20 #-0,2440276#0,9255633#3,326674#-0,2180949#0,723392#3,345354# -0,0897316#0,3994664#3,150798#-0,5601292#0,5113534#2,983357#-0,08289568#0,3709285#3,217178#-0,562493#0,4768235#3,060987#0,06797583#0,4735824#3,293685#-0,538132#0,4180503#3,305085#-0,05046524#0,6461928#3,363581#-0,3976256#0,5915596#3,361285#-0,1917978#0,3657522#3,414002#-0,1865435#0,29334#3,42401#-0,1005532#0,2247551#3,435154#-0,2628109#0,2068496#3,436054#-0,09923254#-0,206544#3,420698#-0,3212286#-0,2398573#3,401316#-0,2004231#-0,543895#3,450733#-0,2705209#-0,5773233#3,405617#-0,2567854#-0,6159678#3,400452#-0,2999345#-0,6501977#3,37418#0  
frame21 #-0,2482501#0,9302727#3,326614#-0,2205376#0,7259016#3,345901# -0,1587896#0,3864331#3,157967#-0,5253863#0,5147247#2,999484#-0,08459892#0,3836282#3,213011#-0,5354691#0,489943#3,0518#0,0643701#0,4950957#3,346999#-0,5359223#0,4284393#3,296454#-0,05618527#0,6572686#3,381901#-0,400436#0,5909225#3,351716#-0,2064978#0,3695431#3,412331#-0,2043038#0,2973165#3,422312#-0,122292#0,2269345#3,437611#-0,2844244#0,2119844#3,428634#-0,1353448#-0,2298773#3,425871#-0,3179141#-0,2474419#3,388946#-0,2146409#-0,539737#3,4455#-0,2822149#-0,5901594#3,423504#-0,2662818#-0,6183295#3,39754#-0,3064389#-0,6533914#3,380375#0  
