frame1 #-0,1111672#0,850821#3,263363#-0,04158759#0,6606037#3,289803# -0,1386648#0,2305405#3,025342#-0,6803671#0,478765#3,142662#-0,04456399#0,264973#3,020736#-0,6133771#0,4663299#3,174135#0,08271506#0,3694981#3,058002#-0,4124072#0,4290248#3,281938#0,07593743#0,5324188#3,167881#-0,2323434#0,528151#3,342153#-0,01553299#0,3093585#3,299679#-0,03566294#0,2433568#3,260202#0,03477499#0,1686269#3,221119#-0,1039514#0,1667064#3,28369#0,2306433#-0,2220723#3,242629#-0,3268438#-0,2479979#3,288987#-0,1297511#-0,4591801#3,255284#-0,3910098#-0,5679502#3,273047#-0,009227723#-0,4932567#3,261153#-0,4400454#-0,6185127#3,189821#0  
frame12 #-0,09446217#0,8582609#3,259907#-0,04084712#0,6594672#3,289597# -0,2382587#0,2065695#3,039904#-0,7166158#0,5212983#3,127601#-0,1343824#0,2311379#3,047855#-0,5924932#0,4534135#3,190994#0,07683442#0,3493455#3,05971#-0,4283437#0,4264848#3,273492#0,0764931#0,531844#3,168769#-0,2291877#0,5323724#3,347548#-0,009483822#0,2793486#3,301601#-0,03077282#0,2062801#3,260997#0,03992997#0,1362205#3,222678#-0,1006739#0,128251#3,28565#0,2261507#-0,2180661#3,242665#-0,3238039#-0,2456722#3,294742#0,476362#-0,5575728#3,268137#-0,3956517#-0,5750595#3,277599#0,4314964#-0,6030342#3,194344#-0,4405174#-0,6205208#3,203805#0  
frame13 #-0,09272482#0,8492994#3,258242#-0,04036229#0,6585108#3,287539# -0,2437721#0,2075275#3,037677#-0,7171562#0,5212906#3,127744#-0,1327215#0,2323037#3,047738#-0,643465#0,4782234#3,161417#0,07772887#0,3525155#3,058586#-0,4298274#0,4250561#3,271326#0,07751307#0,530637#3,166499#-0,2285025#0,5324855#3,347185#-0,009414755#0,2796086#3,301159#-0,03050324#0,206538#3,261192#0,04007282#0,1368508#3,222843#-0,09911361#0,127388#3,286862#0,2297049#-0,2207454#3,243425#-0,320075#-0,2463497#3,295822#0,4751274#-0,5555469#3,268194#-0,3958767#-0,5755714#3,279761#0,4300557#-0,6010154#3,194721#-0,4409484#-0,6210399#3,206288#0  
frame14 #-0,09524#0,8550624#3,255685#-0,04087414#0,6590614#3,28406# -0,2462737#0,2100271#3,037825#-0,7172056#0,5227958#3,127049#-0,1308346#0,2412888#3,046709#-0,6381209#0,4767148#3,162015#0,0807049#0,3597462#3,057832#-0,4302751#0,4249845#3,27092#0,0776649#0,531182#3,165613#-0,2279134#0,5330948#3,346267#-0,01004027#0,2813501#3,300141#-0,0307833#0,208749#3,261437#0,04134803#0,1402453#3,223734#-0,1003733#0,1291565#3,287737#0,2309647#-0,2209314#3,242898#-0,3183531#-0,2468301#3,296276#0,4732727#-0,5534712#3,268663#-0,3939971#-0,5765801#3,279492#0,4278122#-0,5994924#3,194629#-0,4601875#-0,6615981#3,269718#0  
frame15 #-0,09685724#0,8568022#3,254123#-0,0409123#0,660434#3,282992# -0,2490556#0,2122922#3,037707#-0,7169111#0,5224949#3,125211#-0,1287258#0,2447853#3,046956#-0,5888981#0,4620834#3,16748#0,08309489#0,3626422#3,059503#-0,4302328#0,424941#3,270905#0,07761709#0,5315736#3,164344#-0,2276136#0,5328434#3,345358#-0,009903371#0,2822913#3,299454#-0,0300791#0,209535#3,261711#0,04150204#0,1408065#3,223841#-0,09790807#0,1294859#3,288726#0,2320947#-0,2208771#3,24274#-0,3158144#-0,2485019#3,296815#0,4732986#-0,5534342#3,268602#-0,3919629#-0,5770348#3,280494#0,4274642#-0,5998178#3,194205#-0,4520087#-0,6588628#3,263025#0  
frame16 #-0,09968324#0,8548017#3,251882#-0,04114102#0,6610222#3,282621# -0,2090075#0,2367878#3,036997#-0,7103566#0,5173647#3,12455#-0,1301048#0,2478893#3,046894#-0,58843#0,4618053#3,17046#0,08320813#0,3630132#3,058976#-0,4302492#0,4248104#3,270765#0,07752289#0,5335477#3,163484#-0,2273947#0,5329374#3,344895#-0,009277321#0,2829386#3,298589#-0,02861181#0,2100749#3,261621#0,04270192#0,1416389#3,22387#-0,0946294#0,1294188#3,288389#0,234646#-0,2227734#3,242565#-0,3130229#-0,2485835#3,296712#0,4707107#-0,5528252#3,267973#-0,3901269#-0,5768594#3,280398#0,4243866#-0,5996431#3,193069#-0,436451#-0,6236773#3,205493#0  
frame17 #-0,1002203#0,8544065#3,25177#-0,0418017#0,6607539#3,281258# -0,21104#0,2370522#3,037003#-0,705443#0,5127173#3,128076#-0,1315853#0,2488434#3,045532#-0,5963324#0,4598781#3,172811#0,08277596#0,3628152#3,057866#-0,4320316#0,4108123#3,272436#0,07812213#0,53457#3,1622#-0,2268928#0,5330389#3,344141#-0,009174358#0,2834334#3,297626#-0,0278362#0,2105239#3,261503#0,04353892#0,142675#3,223808#-0,09312399#0,1290851#3,288375#0,2472108#-0,2470861#3,240591#-0,3101367#-0,2487026#3,296062#0,4690253#-0,5523412#3,267642#-0,3878266#-0,5776926#3,279012#0,422657#-0,5992239#3,192871#-0,4301482#-0,6481184#3,25206#0  
frame18 #-0,1074697#0,8526976#3,24643#-0,04277545#0,6615512#3,279658# -0,2099106#0,2400901#3,036665#-0,7094643#0,514091#3,12297#-0,1300259#0,252318#3,042801#-0,6037232#0,4586225#3,171756#0,08414974#0,3672537#3,056872#-0,4328889#0,4130024#3,269942#0,07747736#0,5359122#3,161453#-0,2267379#0,5333626#3,343605#-0,008227242#0,284502#3,296014#-0,02590769#0,2114509#3,260715#0,04492974#0,1439152#3,223165#-0,08895354#0,1296403#3,287416#0,2469834#-0,2402878#3,237337#-0,306619#-0,2492679#3,296024#0,468214#-0,5518818#3,26724#-0,38779#-0,5780634#3,278869#0,4217721#-0,5988512#3,192639#-0,434232#-0,6250328#3,204268#0  
frame19 #-0,1238396#0,8431627#3,238858#-0,0465477#0,6597932#3,27978# -0,2158239#0,2373473#3,032591#-0,7056187#0,5047283#3,12375#-0,13536#0,2494224#3,039905#-0,5934904#0,4465656#3,177924#0,07912462#0,3644229#3,050882#-0,4348776#0,4114501#3,269403#0,07605785#0,5361301#3,160058#-0,2277873#0,5311817#3,342191#-0,008568512#0,2847247#3,295299#-0,02575593#0,2115994#3,260549#0,04531985#0,1455421#3,223165#-0,08816337#0,129145#3,286499#0,2476874#-0,2459433#3,231482#-0,3046393#-0,2496537#3,296097#0,4678196#-0,5518734#3,267404#-0,3846858#-0,5824019#3,276344#0,4212621#-0,5990232#3,192732#-0,4342346#-0,6509415#3,254997#0  
frame20 #-0,1347531#0,8372403#3,234547#-0,0524474#0,6571655#3,278328# -0,1801997#0,2342207#3,022363#-0,7102846#0,4989696#3,120222#-0,07525384#0,2666109#3,017642#-0,6010909#0,4422574#3,178987#0,07858809#0,3645659#3,050249#-0,4350896#0,4104334#3,270028#0,0739922#0,5370283#3,1585#-0,2299621#0,5292069#3,340543#-0,009047369#0,284818#3,294348#-0,02554828#0,2114046#3,260302#0,04593029#0,1454704#3,222682#-0,08740645#0,1280762#3,286253#0,2422768#-0,2380002#3,224385#-0,3038484#-0,2492966#3,295317#0,4668235#-0,550622#3,265413#-0,3843247#-0,5825804#3,276097#0,4202459#-0,5981162#3,190635#-0,4401069#-0,6530129#3,254543#0  
frame21 #-0,1489644#0,8315485#3,233596#-0,06429243#0,6571686#3,277233# -0,2140597#0,236063#3,024902#-0,7095362#0,4902603#3,115894#-0,1334494#0,2412725#3,029074#-0,5950602#0,4218453#3,176153#0,07476204#0,3676208#3,048437#-0,4354078#0,4064181#3,272177#0,06695503#0,537522#3,159437#-0,2348859#0,5220137#3,337437#-0,01117908#0,284954#3,293364#-0,02597587#0,211147#3,260114#0,04532022#0,1459416#3,222852#-0,08702127#0,1272797#3,285644#0,2299905#-0,2293136#3,212242#-0,3039832#-0,2486082#3,29473#0,4661925#-0,5510981#3,26494#-0,3826689#-0,5820962#3,275517#0,4201831#-0,5990605#3,189867#-0,436295#-0,6516793#3,256761#0  
