frame1 #-0,1122321#0,8061563#3,338648#-0,05088986#0,6488425#3,389635# -0,2789947#0,183312#3,04082#-0,6780456#0,5062038#3,162033#-0,1851618#0,2182591#3,048133#-0,5998491#0,4671789#3,211447#-0,01358438#0,3380469#3,087906#-0,4315253#0,4184061#3,342825#0,0745289#0,5366302#3,249496#-0,2317293#0,5296762#3,446505#-0,009612411#0,2736498#3,392922#-0,03545292#0,2045062#3,344255#0,0361207#0,1293471#3,29863#-0,1016955#0,1262178#3,369304#0,226866#-0,2258028#3,33438#-0,3061255#-0,2328952#3,37751#-0,2379174#-0,544147#3,381272#-0,4012319#-0,6404293#3,385781#-0,1139263#-0,5629326#3,376545#-0,4345427#-0,6713533#3,304923#0  
frame32 #-0,2552378#0,9706398#3,393386#-0,3237648#0,8114044#3,377514# -0,05575438#0,3940059#3,318017#-0,1789129#0,7555707#3,159926#-0,08977441#0,4156954#3,363923#-0,2188366#0,7096871#3,128764#-0,1918345#0,4807638#3,515346#-0,3644885#0,5522553#3,10478#-0,1845494#0,7286752#3,546828#-0,4106953#0,6652769#3,274008#-0,2954269#0,3907115#3,380153#-0,2834371#0,3060346#3,377708#-0,213182#0,2694775#3,380715#-0,3460703#0,2346633#3,371624#-0,09951998#-0,2168666#3,286323#-0,4361144#-0,2535536#3,455372#0,00510165#-0,6026286#3,255313#-0,5624747#-0,6000093#3,428728#0,0980715#-0,5904908#3,195744#-0,4509214#-0,5989487#3,389272#0  
frame33 #-0,2305652#0,9778749#3,37845#-0,3114162#0,8221468#3,344362# -0,04306402#0,40497#3,284362#-0,1313239#0,6798599#2,99713#-0,07717515#0,4265399#3,330343#-0,1713941#0,6338079#2,965854#-0,1795085#0,4912496#3,481998#-0,2934502#0,56051#3,0954#-0,1722181#0,7394177#3,513664#-0,4025725#0,6682694#3,274401#-0,291686#0,3782572#3,363424#-0,2806034#0,2893041#3,361801#-0,2125536#0,2218167#3,353297#-0,3440729#0,2355437#3,366236#-0,08902512#-0,2495507#3,282122#-0,4356189#-0,2536082#3,455168#0,06922345#-0,5881795#3,227216#-0,5616567#-0,598851#3,428599#0,140521#-0,5958616#3,177111#-0,4495779#-0,5954326#3,390721#0  
frame34 #-0,213338#0,9620434#3,319868#-0,3066168#0,8253678#3,339949# -0,0369338#0,4084111#3,278224#-0,04840082#0,7428988#2,954766#-0,07139618#0,4295494#3,324637#-0,08861381#0,6966827#2,923378#-0,1747833#0,4929641#3,477591#-0,2550818#0,6535509#3,118317#-0,1674209#0,7426378#3,509252#-0,4080418#0,6839811#3,34041#-0,2892793#0,3827103#3,35919#-0,2806441#0,2939179#3,358068#-0,2071316#0,2285945#3,359117#-0,3531218#0,2469417#3,345244#-0,06981489#-0,2458493#3,282956#-0,3881395#-0,1932366#3,448225#0,1304359#-0,5711233#3,203779#-0,5595919#-0,5972791#3,425364#0,2059119#-0,6099637#3,182#-0,5110507#-0,6701804#3,428306#0  
frame35 #-0,1617339#0,8940939#3,249437#-0,2496509#0,7909501#3,322456# 0,02052567#0,3740965#3,260164#-0,02700977#0,767671#3,014863#-0,01406522#0,395075#3,306728#-0,06736189#0,7212951#2,983367#-0,1178379#0,4580103#3,460128#-0,2422855#0,6709157#3,168962#-0,1104565#0,7082201#3,491758#-0,4185166#0,6607573#3,373409#-0,2693243#0,4040152#3,331525#-0,2674994#0,3295955#3,324314#-0,1838033#0,2537336#3,315406#-0,3547964#0,255279#3,337787#-0,02050626#-0,230185#3,264283#-0,3829548#-0,1915904#3,446421#0,2016404#-0,5692461#3,183804#-0,5550236#-0,5949122#3,406305#0,2354944#-0,6185248#3,099657#-0,5133117#-0,6701163#3,423707#0  
frame36 #-0,1687675#0,9168953#3,280281#-0,2561613#0,7979832#3,338274# 0,01447655#0,3812347#3,275461#-0,03022692#0,8181046#3,083805#-0,02023342#0,4020592#3,322173#-0,07071452#0,7715729#3,052204#-0,1243633#0,4645327#3,475989#-0,2483155#0,7238868#3,236535#-0,1169668#0,7152532#3,507577#-0,4282811#0,7083479#3,437483#-0,2504878#0,4547961#3,345563#-0,2463912#0,385612#3,338833#-0,1439883#0,3237753#3,334487#-0,3441795#0,3093739#3,335456#-0,01905084#-0,1720467#3,26279#-0,3769686#-0,1885703#3,447439#0,2557105#-0,5723385#3,168657#-0,5474304#-0,5940445#3,355378#0,2380752#-0,6574713#3,181199#-0,5263739#-0,6429255#3,266796#0  
frame37 #-0,1251953#0,9789373#3,34588#-0,2126614#0,8306509#3,392457# 0,05832822#0,4139717#3,329282#0,05054443#0,8750193#3,110833#0,02352758#0,4346864#3,376106#0,009796262#0,8281881#3,079028#-0,08087432#0,4968305#3,530227#-0,1676817#0,8158088#3,270125#-0,07346691#0,747921#3,561759#-0,3409075#0,8538708#3,474916#-0,2038206#0,4891658#3,343959#-0,1958674#0,4247744#3,319744#-0,1202903#0,3552511#3,282929#-0,2676874#0,3586144#3,327209#0,03027187#-0,1361203#3,209713#-0,3135307#-0,1495855#3,398968#0,3532#-0,5981598#3,136241#-0,4488607#-0,5753385#3,321989#0,3057812#-0,6713395#3,129428#-0,4115428#-0,6214516#3,237909#0  
frame38 #-0,1273254#0,9795423#3,330178#-0,1927831#0,8345267#3,392177# 0,07844338#0,4177063#3,32869#0,1118981#0,8535975#3,166313#0,0435835#0,4384562#3,375594#0,07102461#0,8066223#3,13441#-0,06099612#0,5007061#3,529951#-0,1268934#0,8060346#3,303566#-0,0535887#0,7517967#3,56148#-0,3273705#0,8567427#3,473854#-0,1887209#0,4837827#3,342345#-0,1785539#0,4183273#3,314031#-0,1084563#0,3458468#3,275787#-0,2404829#0,3518887#3,320985#0,04832171#-0,1458789#3,20234#-0,3121513#-0,1557823#3,391503#0,2848066#-0,5968661#3,119665#-0,4492593#-0,5740995#3,319378#0,3217267#-0,6430538#3,035337#-0,4123392#-0,6202872#3,23505#0  
frame39 #-0,2201518#0,8593652#3,468441#-0,2726011#0,7160933#3,542468# -0,001096901#0,2991077#3,478606#0,03017013#0,7332171#3,311261#-0,03602619#0,319899#3,525604#-0,01082562#0,6861014#3,279263#-0,140814#0,3822728#3,680242#-0,2076644#0,685688#3,450586#-0,1334066#0,6333634#3,71177#-0,4063849#0,7386749#3,623354#-0,2021651#0,4422163#3,386858#-0,1778749#0,4070816#3,334123#-0,1068783#0,343632#3,277314#-0,2283326#0,3486005#3,322224#0,08181215#-0,1383483#3,196495#-0,3051432#-0,1633273#3,375298#0,2851055#-0,5872418#3,114109#-0,4485202#-0,5722684#3,319596#0,3961226#-0,6297223#3,123229#-0,4046988#-0,649331#3,265858#0 
frame40 #-0,1893878#0,839338#3,437895#-0,2418371#0,6960661#3,51192# 0,02981097#0,2789948#3,447863#0,06145696#0,7133077#3,280487#-0,005154289#0,2998075#3,494909#0,02034196#0,666055#3,248396#-0,1100501#0,3622456#3,649693#-0,1766955#0,6656061#3,419887#-0,1026426#0,6133361#3,681223#-0,3756209#0,7186477#3,592806#-0,1674349#0,4059108#3,360212#-0,1422601#0,3612794#3,316974#-0,0642302#0,2945442#3,263866#-0,1853578#0,3098856#3,296629#0,1369953#-0,1849861#3,185804#-0,289239#-0,1978946#3,360172#0,2819557#-0,5809739#3,115276#-0,4489196#-0,5727727#3,31854#0,3916796#-0,6284142#3,123818#-0,403351#-0,6435489#3,257102#0  
frame41 #-0,142464#0,7796441#3,399618#-0,1949133#0,6363723#3,473643# 0,2910029#0,8085147#3,217693#0,02983772#0,747331#3,159362#0,2381931#0,78518#3,279048#-0,01139359#0,6999446#3,12718#0,07976384#0,7151757#3,47676#-0,1761606#0,6518126#3,326341#-0,05571888#0,5536423#3,642945#-0,3286972#0,6589539#3,554529#-0,1278886#0,3578357#3,326882#-0,1040468#0,3154321#3,284488#-0,03217773#0,2458684#3,252388#-0,1451509#0,2763343#3,247925#0,1910894#-0,2263734#3,184424#-0,2813556#-0,2214613#3,331534#0,3576254#-0,5942646#3,118362#-0,4490013#-0,5725276#3,317426#0,4570988#-0,6588923#3,134194#-0,4034942#-0,6431845#3,256055#0  
frame42 #-0,02195311#0,8841842#3,251768#-0,07440242#0,7409123#3,32577# 0,368241#0,7373188#3,182069#0,1716615#0,7439682#3,064725#0,3331439#0,7582099#3,229292#0,1303167#0,6964513#3,032455#0,227853#0,8208832#3,384616#-0,002134413#0,6256316#3,158027#0,06479202#0,6581824#3,495072#-0,2321741#0,5687924#3,274671#-0,05747591#0,3587666#3,25794#-0,03967124#0,2890241#3,225571#0,03734177#0,2263226#3,20049#-0,1062642#0,21615#3,216494#0,2260262#-0,2490956#3,182284#-0,248829#-0,2119179#3,284728#0,3605432#-0,59601#3,118553#-0,4433442#-0,5654712#3,306469#0,4515964#-0,6604049#3,130204#-0,3900498#-0,6115446#3,230175#0  
frame43 #-0,03787155#0,8935355#3,262599#0,00798275#0,7260216#3,258797# 0,3034409#0,8506244#3,645914#0,08281485#0,7139382#2,927658#0,3118244#0,7930387#3,605213#0,08652887#0,6911879#2,986042#0,3324417#0,6767079#3,405697#0,09767091#0,622937#3,174889#0,1471772#0,6432917#3,428099#-0,08496828#0,5785514#3,21329#0,03200909#0,3139324#3,199918#0,05953094#0,2399485#3,164398#0,1207393#0,1941108#3,148123#0,009523453#0,1801679#3,157186#0,3296263#-0,2365123#3,190162#-0,2195091#-0,2463091#3,225122#0,4002047#-0,5933173#3,120455#-0,3902152#-0,5923851#3,215382#0,4618554#-0,6380503#3,052046#-0,3285646#-0,6371182#3,146973#0  
frame44 #-0,01727103#0,8320323#3,273424#0,03782218#0,6631715#3,237123# 0,3304144#0,7726456#3,600984#0,1705437#0,7390257#3,023524#0,3387814#0,7151735#3,560364#0,1291394#0,6914405#2,991207#0,3090134#0,6530402#3,329777#0,0709713#0,6153481#3,166215#0,1815506#0,5758359#3,201167#-0,1079347#0,5643654#3,217354#0,05853803#0,3016515#3,198609#0,06191916#0,2341945#3,15705#0,1332137#0,1731405#3,134863#0,003506945#0,1648309#3,141706#0,3360851#-0,2359474#3,190596#-0,2126742#-0,2373441#3,217212#0,4139113#-0,5922956#3,117709#-0,3535053#-0,5945997#3,179127#0,40831#-0,6388017#3,027254#-0,3591067#-0,6411058#3,088672#0  
frame45 #-0,004450422#0,8342323#3,252068#0,03763662#0,6629169#3,234008# 0,3334582#0,7577146#3,587279#0,1930299#0,7316372#3,02206#0,3418089#0,7003543#3,546738#0,151706#0,6841445#2,989806#0,3121524#0,6384538#3,317067#0,07083859#0,6012781#3,150219#0,1867672#0,572132#3,200083#-0,1077289#0,5594684#3,213124#0,06147302#0,2952553#3,193925#0,06512165#0,2286577#3,149984#0,1379716#0,1673578#3,130179#0,0035811#0,1592196#3,136573#0,3456393#-0,2370467#3,192072#-0,2092738#-0,241068#3,213263#0,4218052#-0,592994#3,117859#-0,345428#-0,5900633#3,173534#0,4172397#-0,6392663#3,027893#-0,3478605#-0,6553827#3,117522#0  
frame46 #0,06108971#0,8277118#3,254094#0,06282994#0,6501045#3,230194# 0,3435643#0,7309867#3,55793#0,2097875#0,7058095#3,03529#0,3518831#0,6738451#3,517543#0,1686211#0,6584978#3,003159#0,3247555#0,6127354#3,289292#0,06380531#0,581777#3,149377#0,2001787#0,5602965#3,189102#-0,1111397#0,5311588#3,21181#0,0755056#0,2867618#3,188432#0,07589127#0,2214333#3,140429#0,1516123#0,1564854#3,119733#0,009727992#0,1496489#3,127246#0,3564898#-0,2406288#3,190754#-0,1955772#-0,2373458#3,198331#0,4325678#-0,5758427#3,111865#-0,3206217#-0,5813494#3,146539#0,4241968#-0,6218601#3,023034#-0,3289926#-0,6273668#3,057709#0  
frame47 #0,05267465#0,8688984#3,227099#0,06622226#0,6957318#3,22834# 0,3434275#0,7026285#3,554326#0,220695#0,698696#3,021401#0,3517308#0,6455936#3,514014#0,1796058#0,6514728#2,98933#0,3314104#0,5841975#3,286166#0,06667717#0,574634#3,127618#0,2070362#0,5499219#3,180747#-0,1049441#0,5293273#3,206194#0,07801571#0,2862916#3,187863#0,07867378#0,2177706#3,137149#0,1533365#0,1530951#3,118198#0,01155135#0,1469255#3,123779#0,3596485#-0,242413#3,190143#-0,1926076#-0,2350197#3,192671#0,4391451#-0,5713882#3,112247#-0,321483#-0,5800239#3,142347#0,4307353#-0,6170721#3,023658#-0,3298928#-0,6257077#3,053758#0  
frame48 #0,06944315#0,8296087#3,257385#0,06588243#0,650687#3,238676# 0,2242782#0,1792366#3,161014#-0,154399#0,1872426#3,018499#0,2674532#0,2004459#3,110691#-0,1592069#0,2487641#3,007417#0,3052702#0,350721#3,017855#-0,1736306#0,4333283#2,987941#0,1949729#0,5213107#3,144809#-0,09049489#0,5399079#3,145758#0,06428061#0,2558978#3,198435#0,06422029#0,1885104#3,141302#0,129875#0,1298442#3,126321#-0,004025002#0,1292473#3,126343#0,3597845#-0,2431757#3,179981#-0,2325028#-0,2519181#3,189479#0,4369094#-0,5737973#3,099576#-0,3546168#-0,5727482#3,119053#0,4385669#-0,6190555#3,011778#-0,3529593#-0,6180064#3,031255#0  
frame49 #0,06833073#0,8796341#3,240969#0,05219889#0,7054916#3,24501# 0,2231506#0,1854046#3,15543#-0,1338533#0,1588887#2,87911#0,2662415#0,2065725#3,105206#-0,1437925#0,2139027#2,907558#0,2845952#0,3551199#3,004937#-0,17361#0,3789446#3,006691#0,1750646#0,5454503#3,140655#-0,09130569#0,541006#3,144787#0,06188809#0,2597962#3,200445#0,0616684#0,1891571#3,14211#0,1266466#0,1316649#3,128014#-0,00538637#0,1293752#3,127246#0,3597487#-0,2433107#3,180755#-0,2378323#-0,2542554#3,192283#0,4370744#-0,5726606#3,099652#-0,3564346#-0,5726019#3,119935#0,435805#-0,6177523#3,011907#-0,357704#-0,6176936#3,03219#0  
frame50 #0,06045414#0,878495#3,239807#0,05028378#0,7035711#3,242998# 0,2133104#0,1868008#3,149626#-0,1575662#0,2136832#2,996207#0,2563097#0,2079238#3,099508#-0,1633573#0,2753674#2,986748#0,2754028#0,3564195#2,999538#-0,1807305#0,4604202#2,972139#0,1682053#0,543624#3,128911#-0,09289807#0,543445#3,14319#0,05986096#0,2608724#3,200896#0,05812889#0,1890142#3,142279#0,1226256#0,1327392#3,127761#-0,007782274#0,1288946#3,128922#0,3571628#-0,2428729#3,181026#-0,2400002#-0,253919#3,194768#0,4366147#-0,5723313#3,099304#-0,3582337#-0,5704544#3,122854#0,4320801#-0,617336#3,011809#-0,3627682#-0,615459#3,035359#0  
frame51 #0,03135922#0,8797435#3,239739#0,04457698#0,7042647#3,24077# 0,1855513#0,2079264#3,106332#-0,03927863#0,1856547#2,960718#0,2284688#0,2290092#3,05631#-0,07769247#0,2350961#2,964256#0,2556114#0,3959326#2,987674#-0,192934#0,3834203#2,988653#0,1476417#0,5687373#3,133687#-0,09524333#0,5461155#3,14035#0,05514032#0,2641034#3,202093#0,0547329#0,1907364#3,143174#0,1160138#0,1374216#3,129628#-0,008831954#0,1312636#3,130783#0,3491284#-0,2401555#3,18148#-0,2421938#-0,2531839#3,197369#0,4368189#-0,5720236#3,099231#-0,360115#-0,5650451#3,123944#0,4329546#-0,61693#3,011805#-0,3639792#-0,6099515#3,036517#0  
frame52 #0,01347604#0,8744853#3,208667#0,02499096#0,6978928#3,210806# 0,2010762#0,1921914#3,203012#-0,203724#0,1540766#3,162771#0,2438602#0,2132086#3,153146#-0,2105055#0,213106#3,12001#0,2781149#0,3826238#2,998087#-0,23085#0,3901942#3,00558#0,1535145#0,5515998#3,118192#-0,1116992#0,5494508#3,133142#0,04480929#0,2731898#3,200702#0,04452699#0,1974085#3,142947#0,1105344#0,1414016#3,130545#-0,01874792#0,1356494#3,134014#0,3458852#-0,2436839#3,182787#-0,2465347#-0,251077#3,197476#0,4281866#-0,5668512#3,09525#-0,3624051#-0,5590936#3,122496#0,4233936#-0,6115921#3,008188#-0,367198#-0,6038345#3,035434#0  
frame53 #0,01160381#0,8735171#3,210292#0,02277548#0,6951584#3,20648# 0,1932539#0,2069229#3,17012#-0,1940806#0,1634834#3,095935#0,2360379#0,2279401#3,120253#-0,2033445#0,2192508#3,068344#0,2782341#0,3837605#2,995336#-0,2311363#0,3865531#2,999449#0,1517351#0,5527591#3,116456#-0,1153066#0,5487924#3,128475#0,04070998#0,27318#3,198991#0,04121533#0,1976359#3,141631#0,1073763#0,1414146#3,12928#-0,02142198#0,1356533#3,133727#0,3448116#-0,2447608#3,182771#-0,2479114#-0,2500764#3,196635#0,4276366#-0,5674124#3,096254#-0,3626244#-0,5591199#3,121775#0,4237843#-0,6121407#3,00922#-0,3664767#-0,6038482#3,03474#0  
frame54 #0,01088652#0,8725732#3,206132#0,02053095#0,6947103#3,205702# 0,1933248#0,2024292#3,164605#-0,1969999#0,1649411#3,096777#0,2361088#0,2234464#3,114738#-0,2045207#0,2205034#3,068233#0,2763126#0,3835569#2,995148#-0,2270831#0,3871903#2,99649#0,1521351#0,5539126#3,115363#-0,1166821#0,5483952#3,125991#0,03897778#0,2735837#3,197284#0,03996284#0,1984399#3,13979#0,1066586#0,1418123#3,127677#-0,02261102#0,1359646#3,131812#0,3449609#-0,2448677#3,182814#-0,2483755#-0,2501117#3,196477#0,4299806#-0,5591499#3,099069#-0,3629653#-0,5593779#3,121831#0,4265404#-0,6038632#3,012006#-0,3664055#-0,6040912#3,034768#0  
frame55 #0,01355925#0,8744993#3,291476#0,01843763#0,696951#3,206699# 0,1929652#0,2011483#3,162771#-0,1995981#0,1635627#3,092057#0,2357492#0,2221655#3,112905#-0,2055856#0,2197101#3,064285#0,2749366#0,3837032#2,986236#-0,2235481#0,3881523#2,994867#0,1509846#0,5535491#3,113559#-0,1168104#0,5482807#3,123725#0,03811087#0,2733786#3,196465#0,0392538#0,1981781#3,13847#0,1058256#0,1417931#3,126432#-0,02296817#0,1358634#3,130173#0,3448099#-0,2450623#3,182805#-0,2489273#-0,2497394#3,195644#0,427507#-0,5626933#3,099448#-0,3640811#-0,5598794#3,120802#0,4242166#-0,6073864#3,01237#-0,3673715#-0,6045725#3,033724#0  
frame56 #0,006062279#0,881574#3,28202#0,01954696#0,7018707#3,206556# 0,1965503#0,1965596#3,158317#-0,1898952#0,1475459#3,042974#0,2393343#0,2175768#3,108451#-0,1964365#0,2077066#3,025653#0,274137#0,3867565#2,98145#-0,2160606#0,3881885#2,987624#0,1495228#0,5518866#3,10389#-0,1136253#0,5547076#3,117917#0,0379915#0,2734516#3,191507#0,03833662#0,1979635#3,131871#0,1037126#0,1420998#3,117609#-0,02317815#0,1368934#3,124398#0,3452454#-0,2459759#3,181895#-0,2497773#-0,2497629#3,193774#0,4331862#-0,5739006#3,096552#-0,3682396#-0,5625172#3,118664#0,4289759#-0,6184508#3,009705#-0,3724499#-0,6070675#3,031817#0  
frame57 #0,003865471#0,8817102#3,274789#0,02082115#0,7013417#3,203607# 0,1982974#0,1983069#3,157759#-0,1919354#0,1513961#3,052216#0,2410814#0,2193241#3,107893#-0,1977506#0,2106219#3,031667#0,2751629#0,3853881#2,979328#-0,2151963#0,3882992#2,983968#0,1498959#0,5526668#3,102528#-0,112776#0,5559891#3,116503#0,03576715#0,2737111#3,186822#0,03532114#0,1987956#3,126921#0,09991591#0,1425409#3,112222#-0,02662132#0,1385572#3,119652#0,3445765#-0,2466759#3,180875#-0,24953#-0,2495298#3,19188#0,4310279#-0,5739846#3,094027#-0,3683267#-0,5624853#3,118505#0,4268697#-0,6184695#3,007277#-0,3724849#-0,6069703#3,031756#0  
frame58 #0,002579356#0,8827678#3,275417#0,02173838#0,7025529#3,203615# 0,1837642#0,2131499#3,114671#-0,2024569#0,214284#3,028512#0,2264551#0,2338873#3,064991#-0,2042222#0,2742858#3,00954#0,2767596#0,3851899#2,977726#-0,2095179#0,454291#2,966583#0,1498957#0,5525202#3,100647#-0,07136862#0,5650659#3,108667#0,03557928#0,2708687#3,185233#0,03667673#0,1943977#3,124516#0,098984#0,1414113#3,110565#-0,0232556#0,1378489#3,118801#0,3444853#-0,247017#3,180081#-0,2493321#-0,2495541#3,190413#0,4300122#-0,565975#3,093856#-0,3680774#-0,5631137#3,118398#0,428128#-0,6104153#3,007074#-0,3699616#-0,607554#3,031615#0  
frame59 #0,001643449#0,8824322#3,275922#0,02195111#0,7023261#3,202181# 0,182092#0,2172226#3,101687#-0,1926577#0,1672755#3,095789#0,224876#0,2382398#3,05182#-0,1978533#0,2233723#3,061934#0,2764537#0,3966737#2,961#-0,2134404#0,3916628#2,974352#0,1507612#0,5536555#3,099673#-0,09135031#0,5621408#3,104933#0,03704284#0,2689521#3,181458#0,03925652#0,1929393#3,120387#0,100698#0,1414533#3,106694#-0,0185877#0,1370189#3,114896#0,3437753#-0,2472977#3,177749#-0,2501319#-0,2499101#3,187298#0,4279777#-0,5702133#3,09293#-0,367489#-0,5642599#3,118126#0,4270738#-0,61462#3,006175#-0,3683929#-0,6086667#3,031371#0  
