frame1 #-0,1122321#0,8061563#3,338648#-0,05088986#0,6488425#3,389635# -0,2789947#0,183312#3,04082#-0,6780456#0,5062038#3,162033#-0,1851618#0,2182591#3,048133#-0,5998491#0,4671789#3,211447#-0,01358438#0,3380469#3,087906#-0,4315253#0,4184061#3,342825#0,0745289#0,5366302#3,249496#-0,2317293#0,5296762#3,446505#-0,009612411#0,2736498#3,392922#-0,03545292#0,2045062#3,344255#0,0361207#0,1293471#3,29863#-0,1016955#0,1262178#3,369304#0,226866#-0,2258028#3,33438#-0,3061255#-0,2328952#3,37751#-0,2379174#-0,544147#3,381272#-0,4012319#-0,6404293#3,385781#-0,1139263#-0,5629326#3,376545#-0,4345427#-0,6713533#3,304923#0  
frame12 #-0,1721337#0,8090963#3,33438#-0,1040526#0,6437825#3,380246# -0,2737983#0,1834431#3,017645#-0,7087455#0,4914712#3,163828#-0,2207862#0,2147672#3,032128#-0,6291634#0,4275456#3,228747#-0,02608523#0,3603759#3,094215#-0,4409392#0,4002205#3,360546#0,01578615#0,5340266#3,25796#-0,2658266#0,5104442#3,441218#-0,03442394#0,2708418#3,393089#-0,0550306#0,1983106#3,346774#0,01490103#0,1356198#3,303514#-0,1104769#0,1158136#3,373605#0,2122174#-0,2262868#3,313291#-0,3226209#-0,2402157#3,371315#0,4770212#-0,5627121#3,35032#-0,3649648#-0,5583923#3,363952#0,4246486#-0,6127394#3,273103#-0,4204216#-0,6517051#3,3231#0  
frame13 #-0,2100437#0,8049448#3,324492#-0,160311#0,6214811#3,353853# -0,3158892#0,1636545#3,003376#-0,7381535#0,459413#3,134466#-0,2329881#0,1896601#3,016346#-0,6491948#0,4053093#3,201405#-0,04583662#0,3367887#3,095365#-0,4593967#0,3763624#3,37054#-0,02230154#0,51498#3,256204#-0,3201392#0,48862#3,433895#-0,07529373#0,2594092#3,387221#-0,08721147#0,1843852#3,348038#-0,01199832#0,1255665#3,311365#-0,1397908#0,09829845#3,376467#0,2050861#-0,2462499#3,306127#-0,3258121#-0,2335901#3,37661#0,4802299#-0,569591#3,349546#-0,3626473#-0,5594806#3,364273#0,4322904#-0,6220476#3,271135#-0,4258032#-0,6544376#3,321799#0  
frame14 #-0,2905093#0,7805196#3,289884#-0,2303967#0,6061528#3,338678# -0,371551#0,1244053#2,952286#-0,7793418#0,4107106#3,088554#-0,2152749#0,1881213#3,019604#-0,6745023#0,3474712#3,195285#-0,0919409#0,3398433#3,12284#-0,5026898#0,3400751#3,381388#-0,09025924#0,5112903#3,259751#-0,3866944#0,4768451#3,421777#-0,1582032#0,2520695#3,389338#-0,1668123#0,1767676#3,363302#-0,09065108#0,1171766#3,334918#-0,2261601#0,09119236#3,397023#0,194363#-0,2589218#3,312983#-0,3560509#-0,2396149#3,390612#0,4796405#-0,5799102#3,34681#-0,3645381#-0,5593132#3,360453#0,4358114#-0,6341163#3,267202#-0,4274111#-0,6544755#3,31804#0  
frame15 #-0,3057659#0,7870952#3,282967#-0,2644975#0,6200188#3,335867# -0,3699172#0,1245128#2,951078#-0,7915379#0,4028705#3,085978#-0,2189586#0,1847218#3,019603#-0,6738601#0,3536525#3,201186#-0,118533#0,3081381#3,115804#-0,5028546#0,3275838#3,38486#-0,1073324#0,5205748#3,259316#-0,4308471#0,4914945#3,416044#-0,1786306#0,2634604#3,385244#-0,1799627#0,1872346#3,361728#-0,09811954#0,125157#3,334377#-0,2343244#0,09746149#3,394365#0,1886398#-0,2609554#3,31767#-0,3672548#-0,2322446#3,391828#0,4733349#-0,5824863#3,341546#-0,3620265#-0,5640929#3,359214#0,4338206#-0,6373046#3,260385#-0,4273003#-0,656654#3,315767#0  
frame16 #-0,3241528#0,8003923#3,269717#-0,2778023#0,6256267#3,333009# -0,3704264#0,1261019#2,9442#-0,8065992#0,3947701#3,072115#-0,1850713#0,2217229#3,045675#-0,7135161#0,356184#3,157387#-0,09432388#0,3452986#3,150441#-0,5438531#0,3590092#3,342599#-0,1265579#0,5275354#3,259749#-0,4340255#0,4928181#3,412239#-0,200509#0,2706826#3,381076#-0,2011809#0,1954814#3,361061#-0,1241936#0,1394195#3,338592#-0,2562858#0,1083298#3,389171#0,1578125#-0,2509047#3,326632#-0,3824961#-0,2241454#3,389735#0,4420069#-0,579403#3,333252#-0,3613656#-0,5649923#3,355831#0,4019961#-0,6339812#3,252606#-0,4271722#-0,6564925#3,314084#0  
frame17 #-0,3632289#0,8596345#3,256938#-0,3365459#0,663609#3,321711# -0,3595899#0,1519833#2,943927#-0,824769#0,3708056#3,01135#-0,19069#0,2452718#3,058408#-0,7593611#0,3430008#3,109857#-0,1001658#0,3877769#3,165375#-0,6141765#0,3572079#3,312476#-0,1689391#0,5626485#3,274156#-0,4952389#0,5375546#3,371166#-0,2699103#0,3078321#3,377465#-0,264877#0,2334519#3,363308#-0,1711094#0,1673863#3,347759#-0,3279458#0,1478348#3,386321#0,03824211#-0,203258#3,322675#-0,4064724#-0,2254044#3,378716#0,2376075#-0,5686042#3,386472#-0,3664158#-0,5697672#3,35747#0,212359#-0,6230164#3,300788#-0,4024271#-0,6442536#3,324928#0  
frame18 #-0,3675727#0,8695952#3,256404#-0,3436042#0,6803116#3,320991# -0,2500675#0,2224831#3,024489#-0,8127253#0,3658477#2,986862#-0,1944071#0,2638839#3,08198#-0,7495487#0,3363532#3,096223#-0,0986291#0,4012202#3,192109#-0,619537#0,3669133#3,311459#-0,1781972#0,5841633#3,28486#-0,5062332#0,5469646#3,355274#-0,2842444#0,3181787#3,371659#-0,2773169#0,2437618#3,361397#-0,1891084#0,1810059#3,351439#-0,3439611#0,1584652#3,379168#-0,0323092#-0,2092289#3,317598#-0,4193352#-0,2285105#3,372187#0,09160017#-0,5690027#3,426624#-0,3685911#-0,5748095#3,3536#0,1787068#-0,6322743#3,435431#-0,4029968#-0,6497215#3,323216#0  
frame19 #-0,3716834#0,883226#3,261245#-0,3479199#0,686283#3,318497# -0,2257664#0,2329964#3,031896#-0,7994394#0,3680866#2,970209#-0,1687891#0,2799308#3,083616#-0,7337251#0,3407571#3,084346#-0,09597872#0,4081009#3,19851#-0,6239526#0,3733659#3,311156#-0,1799451#0,5923516#3,294603#-0,5125471#0,5559992#3,344795#-0,2949838#0,3244529#3,368546#-0,287739#0,2503799#3,360371#-0,1975683#0,186377#3,354179#-0,3587922#0,1653407#3,374921#-0,07711557#-0,2184794#3,32175#-0,4259727#-0,2248145#3,37035#0,001523282#-0,5851459#3,480717#-0,3694509#-0,5755983#3,352779#0,07412233#-0,6377969#3,466079#-0,4037855#-0,6505619#3,324699#0  
frame20 #-0,3727192#0,8936867#3,266026#-0,3520736#0,7011698#3,321531# -0,2008145#0,2675888#3,057701#-0,7789348#0,3695859#2,959979#-0,1486732#0,3110418#3,117284#-0,7192356#0,3544195#3,073129#-0,09027917#0,442059#3,236362#-0,6215481#0,4259344#3,295004#-0,1829924#0,6082854#3,306525#-0,5153463#0,5673709#3,341218#-0,3071361#0,3368583#3,368133#-0,300371#0,2628066#3,361268#-0,2131236#0,1989124#3,358509#-0,3717065#0,1779268#3,37258#-0,1309644#-0,2115109#3,325231#-0,4277681#-0,2261557#3,37038#-0,112839#-0,5607502#3,481578#-0,3642051#-0,5737084#3,352037#-0,03553837#-0,6279732#3,539802#-0,4022711#-0,6475613#3,325924#0  
frame21 #-0,3761876#0,89949#3,27178#-0,3554101#0,7067329#3,321003# -0,1956165#0,2745225#3,063804#-0,7550697#0,379223#2,938622#-0,1491737#0,3136475#3,130952#-0,6979819#0,3640408#3,064558#-0,08410572#0,4393378#3,25163#-0,6208929#0,4299329#3,295828#-0,185793#0,6151866#3,312275#-0,5181014#0,5736625#3,337884#-0,3174072#0,3440115#3,366648#-0,3114836#0,2703111#3,361542#-0,2244229#0,2056831#3,362053#-0,3851247#0,1862596#3,3699#-0,1642168#-0,2044183#3,330352#-0,4321074#-0,2277862#3,367407#-0,2152124#-0,5662419#3,482853#-0,3669117#-0,573723#3,349501#-0,2211731#-0,6186445#3,393811#-0,4223779#-0,656141#3,315015#0  
