frame1 #-0,03459375#1,029287#3,361331#-0,07645808#0,8105193#3,395631# -0,03710251#0,1569803#3,279321#-0,1138414#0,2409963#3,23484#-0,001891747#0,2481991#3,248944#-0,1663749#0,3024626#3,288348#0,1078008#0,4294603#3,463497#-0,3239754#0,4868615#3,464126#0,08088873#0,6284621#3,353164#-0,2003409#0,6558197#3,338348#-0,09217942#0,3896338#3,397549#-0,09081364#0,3156059#3,334794#-0,02936883#0,2462973#3,331727#-0,1559221#0,2586083#3,318442#0,09673271#-0,2642425#3,326719#-0,3008358#-0,2400925#3,331097#0,1830666#-0,5910975#3,252427#-0,4473244#-0,6148886#3,316592#0,177118#-0,6664267#3,195515#-0,4398871#-0,6650509#3,217525#0  
frame2 #-0,03285744#1,012494#3,436271#-0,07581191#0,7818675#3,378802# -0,07622956#0,1562476#3,250185#-0,2577998#0,201261#3,299945#-0,05950776#0,2565783#3,250185#-0,2096746#0,2878778#3,276981#0,1110666#0,4205452#3,434809#-0,3086913#0,4832107#3,483809#0,07617225#0,6237191#3,341765#-0,1997716#0,6546068#3,340564#-0,08661762#0,3799407#3,390954#-0,08780844#0,3074986#3,329338#-0,02733121#0,2393191#3,326485#-0,1519489#0,2528217#3,314593#0,09616385#-0,2345178#3,322905#-0,2998284#-0,2444382#3,333691#0,1817512#-0,5887017#3,256561#-0,4542943#-0,6051942#3,314754#0,1782754#-0,6636302#3,199948#-0,4517698#-0,6561294#3,216659#0  
frame3 #-0,04223861#1,02186#3,429601#-0,06761725#0,7902366#3,381409# -0,03791508#0,2143312#3,20544#-0,233685#0,1702723#3,269139#-0,01393913#0,2779704#3,237703#-0,2453393#0,2683249#3,294051#0,1441778#0,4500054#3,410957#-0,2868928#0,4905156#3,478014#0,07589802#0,6187341#3,327638#-0,1980505#0,6575269#3,348845#-0,08013941#0,3775541#3,389151#-0,08555957#0,3041157#3,32688#-0,02501941#0,232901#3,319499#-0,1503258#0,2513803#3,314291#0,09756961#-0,2309038#3,320701#-0,2947058#-0,2385705#3,335055#0,1728617#-0,5853739#3,260114#-0,4551254#-0,5994348#3,312813#0,1815739#-0,6632156#3,209581#-0,460387#-0,64992#3,215604#0  
frame4 #-0,03702428#1,022157#3,421543#-0,06658286#0,7920889#3,385401# 0,05517961#0,1905139#3,243011#-0,2018653#0,1534684#3,246389#0,00488542#0,2776831#3,234387#-0,1861425#0,2523642#3,259609#0,1555474#0,4559122#3,397972#-0,2465438#0,4633613#3,443069#0,06887964#0,6209166#3,31081#-0,1926915#0,6577711#3,350858#-0,07420791#0,3751053#3,387564#-0,08324088#0,3013143#3,324719#-0,02461833#0,2323969#3,315513#-0,1451781#0,2500474#3,314027#0,09917039#-0,2279088#3,316262#-0,290044#-0,2320189#3,337287#0,1713364#-0,5855543#3,260504#-0,4502029#-0,5829909#3,301408#0,1586868#-0,6357685#3,164325#-0,4628524#-0,6332051#3,205229#0  
frame5 #-0,04309947#1,020209#3,374681#-0,06532694#0,7947415#3,385806# 0,2803168#0,6638338#3,545042#-0,273016#0,1132703#3,269675#0,2309218#0,617522#3,512685#-0,2523889#0,2089915#3,296516#0,2066599#0,4998038#3,333101#-0,2506368#0,44252#3,466185#0,05005021#0,6202315#3,27862#-0,1472227#0,6476911#3,335658#-0,06396519#0,3733739#3,383866#-0,07968776#0,2988718#3,321889#-0,02694693#0,2368586#3,304748#-0,1278398#0,2524298#3,31965#0,09818124#-0,2254755#3,313433#-0,2836732#-0,2518915#3,338095#0,1722809#-0,585292#3,2625#-0,4514431#-0,5812751#3,297425#0,1465469#-0,6356761#3,168392#-0,4771771#-0,6316593#3,203317#0  
frame6 #-0,06107815#1,018646#3,368353#-0,06532829#0,7952285#3,38553# 0,3128709#0,6573772#3,522806#-0,04588461#0,2005783#3,172626#0,2435249#0,6324356#3,510606#-0,1207176#0,198219#3,214144#0,2334056#0,5060275#3,279105#-0,2224594#0,4161937#3,371666#0,01621293#0,6335493#3,256902#-0,1869374#0,6340653#3,368458#-0,05055219#0,3724007#3,377682#-0,07872257#0,2971002#3,320622#-0,02833438#0,2388806#3,299976#-0,1260711#0,2498164#3,321476#0,103046#-0,2270274#3,307659#-0,2798228#-0,2546997#3,339264#0,1720234#-0,585279#3,263043#-0,4514323#-0,581652#3,296252#0,1237686#-0,6349603#3,178725#-0,4996871#-0,6313334#3,211934#0  
frame7 #-0,04967426#1,016693#3,366658#-0,06560688#0,7954959#3,385355# 0,2676595#0,6759436#3,520639#0,08403219#0,4586103#3,265858#0,2593767#0,639245#3,45681#0,03646843#0,5059847#3,29721#0,2329086#0,5219722#3,267973#-0,2213351#0,4184826#3,373641#0,01044513#0,6438664#3,244247#-0,1787083#0,6292486#3,361355#-0,046742#0,3665266#3,374024#-0,07777768#0,2888914#3,318509#-0,03081517#0,2391127#3,29745#-0,1215824#0,2389999#3,324081#0,1051336#-0,2294641#3,305415#-0,2765667#-0,2590916#3,341214#0,1727992#-0,5885384#3,266549#-0,4514782#-0,5823948#3,295882#0,1194151#-0,6378319#3,18589#-0,5048623#-0,6316883#3,215224#0  
frame8 #-0,06049148#1,013367#3,360356#-0,06611221#0,7958571#3,384912# 0,3112936#0,5941955#3,503297#0,3001355#0,6380666#3,301136#0,3079422#0,6571647#3,466328#0,2406769#0,624038#3,270803#0,2163924#0,5443041#3,245847#0,06230114#0,5819525#3,194953#-0,03747192#0,6495956#3,242303#-0,1763841#0,6283509#3,357048#-0,04035338#0,3637311#3,367805#-0,0778486#0,2848908#3,316866#-0,03875551#0,2411571#3,292016#-0,1177036#0,2372837#3,325468#0,1015964#-0,2306527#3,304875#-0,2748201#-0,262042#3,343375#0,1733049#-0,5895284#3,268194#-0,4531268#-0,5812678#3,293944#0,1090597#-0,6377008#3,196751#-0,517372#-0,6294402#3,222501#0  
frame9 #-0,04610924#1,014419#3,372716#-0,06771225#0,7950774#3,383634# 0,303058#0,6880577#3,529517#0,2883209#0,6906124#3,361742#0,3078768#0,6684028#3,459665#0,2344422#0,663958#3,313647#0,211199#0,5442823#3,237948#0,07280621#0,5839949#3,184643#-0,05134714#0,6497949#3,238673#-0,173078#0,6246735#3,351775#-0,03883005#0,3138982#3,354105#-0,07850184#0,2270168#3,305113#-0,05369797#0,2052366#3,279653#-0,1023791#0,1875784#3,321902#0,1097424#-0,2451281#3,301963#-0,2704104#-0,265489#3,350281#0,1744986#-0,5882449#3,269999#-0,4548419#-0,5802805#3,293576#0,1060781#-0,6360841#3,203015#-0,5232624#-0,6281198#3,226591#0  
frame10 #-0,05957519#1,013397#3,370624#-0,07292776#0,7952768#3,384662# 0,2365449#0,6634223#3,524099#0,3110133#0,6335434#3,043784#0,303952#0,6797577#3,4551#0,2586609#0,6610911#3,08537#0,1866133#0,5617812#3,232586#0,04934882#0,6178336#3,119388#-0,08246152#0,667188#3,235355#-0,1683634#0,6221351#3,341432#-0,03347551#0,31863#3,349123#-0,0786175#0,2313275#3,306471#-0,05571285#0,2131366#3,28443#-0,1007322#0,1991675#3,320904#0,1105929#-0,2496642#3,300906#-0,2729298#-0,2701461#3,359586#0,175045#-0,5884427#3,270015#-0,4555551#-0,5816813#3,293336#0,09823593#-0,635139#3,215842#-0,5323641#-0,6283776#3,239163#0  
frame11 #-0,06319566#1,017568#3,378433#-0,0802176#0,79953#3,387506# 0,3375661#0,7542588#3,512986#0,2710853#0,7419645#3,160645#0,1970128#0,656662#3,469675#0,2289311#0,7107096#3,111638#0,05127972#0,5036769#3,282279#0,01977183#0,6344839#3,07459#-0,08687566#0,6718532#3,23706#-0,1672629#0,6097224#3,32887#-0,03374115#0,320884#3,351463#-0,07744986#0,2329731#3,307515#-0,05506589#0,2158063#3,287214#-0,09840375#0,200382#3,32036#0,1036914#-0,2557212#3,297511#-0,2803472#-0,2780094#3,374738#0,1731835#-0,5910971#3,271442#-0,4549567#-0,5842932#3,294656#0,09903497#-0,6372364#3,216466#-0,5291053#-0,6304326#3,239681#0  
frame12 #-0,06727936#1,017208#3,380343#-0,08326655#0,800743#3,391741# 0,346556#0,8142201#3,5537#0,2450638#0,7524259#3,097187#0,2962993#0,7730629#3,583014#0,1830025#0,7081412#3,050569#0,04918417#0,701303#3,464078#-0,03639573#0,6262136#3,136088#-0,08898616#0,6736457#3,240642#-0,217246#0,5863256#3,390051#-0,03511075#0,3258506#3,354227#-0,07847811#0,2382665#3,309729#-0,05349657#0,2186352#3,2931#-0,1017056#0,201986#3,317798#0,1039088#-0,2624576#3,297548#-0,2808399#-0,2775883#3,375643#0,176904#-0,5928738#3,270572#-0,4554645#-0,5845581#3,294843#0,1046208#-0,6377395#3,21733#-0,5277476#-0,6294238#3,241602#0  
frame13 #-0,07642408#1,019472#3,378944#-0,08739181#0,8031898#3,394495# 0,3287215#0,8325841#3,520187#0,2757624#0,7935584#3,114117#0,2749636#0,7817929#3,582761#0,2113848#0,7502219#3,056129#0,02174438#0,7085472#3,477347#-0,04368396#0,6343876#3,128401#-0,09258433#0,6766109#3,243204#-0,2155989#0,5873169#3,387649#-0,03932139#0,3325623#3,356339#-0,08283444#0,2456714#3,311747#-0,05623898#0,2230977#3,294419#-0,1063861#0,2059447#3,318605#0,1031445#-0,2653298#3,298129#-0,2831135#-0,2769513#3,377388#0,1772341#-0,5961153#3,268645#-0,4573385#-0,5873347#3,299897#0,1052767#-0,6404817#3,216458#-0,5292958#-0,6317011#3,24771#0  
frame14 #-0,1089364#1,024014#3,383751#-0,0914894#0,8077128#3,399372# 0,3039772#0,8160411#3,562844#0,3123205#0,8268437#3,116619#0,2526996#0,8078875#3,610314#0,2058892#0,7749125#3,075326#0,01766574#0,7204551#3,480903#-0,05102059#0,6456248#3,12529#-0,09637852#0,6816609#3,248024#-0,2157565#0,5866267#3,386662#-0,04167431#0,3364829#3,358668#-0,08485217#0,2492862#3,313536#-0,05767901#0,2255348#3,297486#-0,1092826#0,2083423#3,318248#-0,01795446#-0,2454402#3,32983#-0,286627#-0,2757929#3,380041#0,1776576#-0,6006789#3,268549#-0,4583735#-0,5875928#3,300065#0,1052169#-0,6453463#3,215978#-0,5308142#-0,6322603#3,247494#0  
frame15 #-0,09998045#1,029289#3,404756#-0,09793304#0,8076235#3,402984# 0,2999067#0,840493#3,592438#0,2480313#0,8317392#3,058102#0,2391276#0,8146302#3,617683#0,1987489#0,7810729#3,060216#0,007271416#0,7246688#3,48524#-0,05470763#0,6496592#3,123274#-0,1024231#0,6818354#3,25146#-0,2154155#0,5858909#3,38597#-0,04307383#0,3374203#3,359682#-0,0860788#0,2498455#3,314683#-0,05974067#0,226325#3,300288#-0,1103034#0,2090944#3,318429#0,09811709#-0,276207#3,305775#-0,2891774#-0,2746477#3,381395#0,1776176#-0,6013401#3,268663#-0,4588155#-0,5874467#3,299773#0,1041567#-0,6463656#3,216627#-0,5322765#-0,6324723#3,247737#0  
frame16 #-0,0868203#1,027673#3,387504#-0,09975272#0,8109455#3,405869# 0,2790222#0,8250954#3,580441#0,2313672#0,8193681#3,062651#0,2269101#0,8308139#3,628367#0,1811978#0,7912899#3,020938#0,004379101#0,7321835#3,48771#-0,06010483#0,6554502#3,120146#-0,1042238#0,6853478#3,254385#-0,2142146#0,5871945#3,385862#-0,0509584#0,3410911#3,361559#-0,09593154#0,2543134#3,316739#-0,07189874#0,2303009#3,304688#-0,12074#0,2154242#3,317767#-0,0125889#-0,2552702#3,334203#-0,2957307#-0,2762158#3,383007#0,179574#-0,6057502#3,270409#-0,4582523#-0,5885511#3,300225#0,1050025#-0,6507777#3,218867#-0,5328239#-0,6335786#3,248682#0  
frame17 #-0,0854969#1,032447#3,387678#-0,09818757#0,8143969#3,402822# 0,259126#0,8845745#3,713783#0,2699655#0,8648543#2,971897#0,1931676#0,8488631#3,653286#0,241146#0,8364608#2,971034#-0,004707694#0,7417291#3,487425#-0,003057435#0,6855711#3,013654#-0,1025899#0,6889346#3,251269#-0,1376809#0,5961602#3,284031#-0,04866574#0,3408968#3,36289#-0,09255306#0,2523987#3,319551#-0,07172802#0,2305909#3,31668#-0,1097347#0,2145606#3,316204#0,03788248#-0,2700119#3,315746#-0,2989526#-0,2778831#3,383294#0,1778622#-0,6083804#3,271237#-0,4583183#-0,5889#3,299879#0,102882#-0,6538092#3,219679#-0,5332985#-0,6343288#3,248321#0  
frame18 #-0,1107613#1,036808#3,393572#-0,1101584#0,8177318#3,406441# 0,253368#0,9025756#3,719744#0,2505774#0,8644395#2,950514#0,1888938#0,8653094#3,658273#0,1678538#0,8183678#2,931578#0,005933329#0,7587225#3,477856#-0,06661993#0,6673988#3,006898#-0,1145128#0,6923236#3,25489#-0,1369126#0,5955827#3,284268#-0,04831902#0,3421014#3,356904#-0,09590561#0,251377#3,319944#-0,08840299#0,231141#3,319833#-0,1095884#0,2148566#3,31556#0,03782842#-0,2700162#3,315789#-0,3102081#-0,3302543#3,360355#0,177134#-0,6084248#3,271357#-0,4685544#-0,5925666#3,290588#0,09525823#-0,6542023#3,231276#-0,479176#-0,6785407#3,294299#0  
frame19 #-0,1098743#1,039359#3,39276#-0,111953#0,819066#3,40156# 0,2226731#0,9102417#3,733869#0,224269#0,88574#2,897353#0,1586599#0,8719229#3,672281#0,1520012#0,8326839#2,898074#-0,001839101#0,7633303#3,474503#-0,06755072#0,6697353#3,005203#-0,1163008#0,6936775#3,250013#-0,1393193#0,5941923#3,279162#-0,04876155#0,342243#3,35838#-0,09516446#0,2509794#3,320597#-0,08504882#0,2277447#3,325958#-0,1060621#0,2147697#3,311696#0,03523984#-0,270483#3,315192#-0,311397#-0,3311695#3,360797#0,1774884#-0,6099414#3,271063#-0,4698075#-0,5909821#3,288291#0,09698567#-0,6558166#3,229016#-0,4787299#-0,67668#3,2958#0  
frame20 #-0,1126128#1,037495#3,395495#-0,1183347#0,8168399#3,403906# 0,2169617#0,9117655#3,732665#0,224573#0,8958861#2,887874#0,1540762#0,8728352#3,671172#0,1437459#0,838016#2,879115#-0,01007064#0,7622917#3,477276#-0,06820333#0,6729374#2,999316#-0,1226703#0,6914692#3,252359#-0,1406741#0,5926822#3,278969#-0,05037921#0,3413981#3,355705#-0,09771524#0,2494615#3,320366#-0,08905821#0,2276605#3,323743#-0,1065727#0,2148581#3,311788#0,03014902#-0,2715583#3,312902#-0,3123834#-0,3328925#3,362131#0,1786609#-0,6110065#3,271878#-0,4699589#-0,5911057#3,28858#0,09712619#-0,6563914#3,234976#-0,4789287#-0,6756321#3,295651#0  
