frame1 #-0,08605117#1,004703#3,294442#-0,0593654#0,7833279#3,308709# 0,3526818#0,7427686#3,399982#0,3279673#0,7589827#3,406496#0,289342#0,707854#3,384715#0,2910383#0,6976633#3,388052#0,05894707#0,6263573#3,410442#0,1764431#0,5911462#3,208227#-0,0304681#0,6585746#3,173217#-0,1030022#0,6347839#3,211787#-0,05936149#0,3227515#3,283616#-0,09450661#0,2436728#3,224345#-0,07984252#0,2235938#3,200228#-0,1124828#0,212888#3,239046#0,1149486#-0,244074#3,236469#-0,2508373#-0,2731195#3,295784#0,207979#-0,5942843#3,228835#-0,4514155#-0,5995113#3,203957#0,1560725#-0,643123#3,146755#-0,4600826#-0,6909232#3,193647#0  
frame12 #-0,118484#1,038494#3,227776#-0,1238731#0,819612#3,292821# 0,118964#0,922218#3,71273#0,2182633#0,9201#2,757597#0,04938705#0,8582007#3,659936#0,1267975#0,8423641#2,77836#0,05668139#0,819613#3,374159#-0,0920877#0,6698457#2,912405#-0,02585696#0,7031241#3,135808#-0,1312846#0,5811018#3,161283#-0,06783971#0,3467028#3,30728#-0,07620533#0,258711#3,249161#-0,04761624#0,2157204#3,264763#-0,097766#0,2207222#3,219269#0,1115241#-0,2825362#3,227216#-0,2901502#-0,3659239#3,301507#0,2171834#-0,5917084#3,221236#-0,4614739#-0,6102691#3,209026#0,1889366#-0,638046#3,137895#-0,4897207#-0,6566067#3,125685#0  
frame13 #-0,1129519#1,032128#3,222078#-0,1276122#0,8156731#3,292069# 0,1230951#0,9315374#3,719244#0,2195526#0,9187039#2,763662#0,05613139#0,8748438#3,655705#0,1263257#0,8404465#2,785501#0,05502295#0,8175274#3,372383#-0,09281807#0,6687641#2,92171#-0,02959604#0,6991853#3,135056#-0,1535786#0,5847992#3,159423#-0,07468464#0,3459713#3,299173#-0,08160122#0,2594954#3,239585#-0,0531617#0,2148814#3,252936#-0,1025051#0,2225925#3,213616#0,1110962#-0,2828309#3,227456#-0,2947366#-0,3728229#3,301731#0,2159465#-0,5907602#3,221182#-0,4634292#-0,6145267#3,207247#0,1914458#-0,636086#3,137801#-0,4879299#-0,6598525#3,123866#0  
frame14 #-0,1008654#1,001511#3,22729#-0,1464761#0,8019561#3,318313# 0,1398098#0,9584639#3,792664#0,2465192#0,9468306#2,785318#0,05668027#0,8841634#3,672481#0,1290786#0,8406894#2,788648#0,04376837#0,8108392#3,392886#-0,09191588#0,668851#2,921552#-0,04845995#0,6854683#3,1613#-0,1947493#0,6476221#3,149324#-0,09318412#0,3440643#3,303169#-0,08236984#0,2630919#3,241364#-0,05208643#0,2195442#3,254553#-0,1051503#0,2289536#3,216087#0,1109937#-0,2832084#3,227547#-0,298023#-0,3695242#3,30218#0,2151094#-0,5904893#3,221142#-0,4620587#-0,6108156#3,207711#0,2189395#-0,6355784#3,13287#-0,4582286#-0,6559047#3,119439#0  
frame15 #-0,1019387#0,9986539#3,233291#-0,1471517#0,7958366#3,322251# 0,0944424#0,9161676#3,747113#0,2532904#0,9447031#2,788594#0,02991398#0,8551561#3,684031#0,1305351#0,8391423#2,78757#0,04202779#0,8083225#3,397361#-0,09235722#0,6686532#2,923243#-0,04913557#0,6793487#3,165238#-0,1323484#0,5756695#3,166851#-0,08315766#0,3414056#3,303929#-0,08491239#0,2600955#3,241844#-0,05899449#0,2153758#3,25773#-0,1053752#0,2273415#3,214799#0,1106476#-0,2837342#3,227675#-0,2993491#-0,3721188#3,302348#0,2143729#-0,5898703#3,220987#-0,462465#-0,6107537#3,207912#0,1955056#-0,6358553#3,133283#-0,4813324#-0,6567387#3,120208#0  
frame16 #-0,1023843#0,9995728#3,233251#-0,1472038#0,7958612#3,322421# 0,08240978#0,9066339#3,76983#0,252188#0,9441199#2,790284#0,03321786#0,852162#3,688306#0,1449888#0,8487304#2,781751#0,03620332#0,8093506#3,399945#-0,08066894#0,6738527#2,90793#-0,04918768#0,6793733#3,165408#-0,1334666#0,5630765#3,167688#-0,08325163#0,3402346#3,303696#-0,08651684#0,2583696#3,241403#-0,06126914#0,2136567#3,257329#-0,1059714#0,2240315#3,213126#0,07763333#-0,2613726#3,23331#-0,3004983#-0,3752427#3,30175#0,2145138#-0,5896448#3,221036#-0,4636246#-0,6128457#3,211224#0,1931336#-0,6361876#3,132797#-0,4850049#-0,6593885#3,122985#0  
frame17 #-0,1024709#0,9981787#3,233646#-0,1476746#0,7951397#3,324589# 0,1006137#0,9144725#3,734829#0,2276393#0,9204416#2,77316#0,05016729#0,8725463#3,687035#0,1411616#0,8461242#2,787798#0,03642087#0,8095883#3,401984#-0,08389785#0,6721854#2,918112#-0,04965844#0,6786519#3,167576#-0,1438546#0,5771388#3,155191#-0,09330388#0,3382913#3,305051#-0,0872238#0,2579836#3,241144#-0,06147633#0,2136216#3,257534#-0,1071554#0,2221534#3,210339#0,1065902#-0,278995#3,231517#-0,3014745#-0,3764381#3,302168#0,2147185#-0,5902631#3,221297#-0,4633217#-0,6126681#3,212734#0,2095426#-0,637148#3,129705#-0,4684975#-0,6595531#3,121143#0  
frame18 #-0,109092#1,000491#3,241524#-0,147894#0,7921979#3,328159# 0,1284791#0,9387215#3,729213#0,2521629#0,9464409#2,785312#0,05008917#0,8719903#3,690376#0,1419625#0,8472245#2,791039#0,03940056#0,8105211#3,403781#-0,08453323#0,672031#2,919627#-0,04987789#0,67571#3,171145#-0,142544#0,5603346#3,160995#-0,09067833#0,3384458#3,305515#-0,08736208#0,2584363#3,241505#-0,06174565#0,2131951#3,260518#-0,106133#0,2207452#3,206702#0,1067287#-0,2785874#3,231033#-0,3024021#-0,3779881#3,303013#0,2145805#-0,590109#3,220955#-0,463332#-0,6124157#3,212915#0,2042663#-0,6375145#3,128793#-0,4736461#-0,6598213#3,120754#0  
frame19 #-0,1220213#1,068883#3,24028#-0,1091724#0,833002#3,278112# 0,1052962#0,9171266#3,713276#0,2414245#0,9369057#2,781669#0,03863002#0,8427617#3,664949#0,1417481#0,8475639#2,793802#0,05451024#0,829813#3,371541#-0,08535817#0,6713143#2,922743#-0,01115631#0,7165141#3,121098#-0,1456337#0,5756769#3,159131#-0,07499163#0,3560665#3,296727#-0,08761843#0,2669659#3,239114#-0,05999024#0,2166541#3,260393#-0,1092908#0,2234962#3,20519#0,107128#-0,2792032#3,23117#-0,3052934#-0,3740676#3,303394#0,2144948#-0,5895253#3,221135#-0,4604092#-0,6103463#3,212953#0,1814651#-0,6384301#3,134014#-0,4934388#-0,6592511#3,125832#0  
frame20 #-0,1092976#1,057157#3,236267#-0,115144#0,8252164#3,286643# 0,1182146#0,9319731#3,711991#0,232174#0,9288679#2,780901#0,04410085#0,8602232#3,671082#0,1517632#0,8556894#2,788027#0,05151972#0,8256196#3,378446#-0,07687472#0,6769085#2,911684#-0,01712784#0,7087286#3,12963#-0,1427921#0,569445#3,160002#-0,07589349#0,3543414#3,296442#-0,08783375#0,2661279#3,238182#-0,06016257#0,2160537#3,259543#-0,1097339#0,2206818#3,203231#0,1070141#-0,2775385#3,231172#-0,304993#-0,3756082#3,303641#0,2143942#-0,5878741#3,221057#-0,4602377#-0,6100897#3,2134#0,1826027#-0,636902#3,132544#-0,4920292#-0,6591176#3,124887#0  
frame21 #-0,1037975#1,050002#3,249358#-0,1278686#0,8167362#3,295245# 0,1277797#0,9430274#3,723347#0,229861#0,9267839#2,781983#0,05042689#0,877919#3,675441#0,1550194#0,8591802#2,788063#0,04196182#0,8203624#3,385585#-0,07500122#0,6791365#2,908908#-0,02985246#0,7002483#3,138232#-0,1411791#0,5642675#3,162621#-0,07735883#0,3488937#3,298878#-0,08800511#0,2635257#3,237689#-0,06049838#0,2139438#3,26027#-0,1080234#0,2166651#3,19869#0,1077077#-0,2788844#3,230766#-0,3052063#-0,3735931#3,304085#0,2144451#-0,5870861#3,22084#-0,457676#-0,6064312#3,212621#0,1822084#-0,6365645#3,131155#-0,4899127#-0,6559096#3,122936#0  
frame22 #-0,1070885#1,030722#3,243022#-0,1415706#0,8063102#3,302872# 0,09085279#0,9218599#3,732322#0,2390372#0,9392438#2,78353#0,05070324#0,8802109#3,674279#0,1935166#0,8896379#2,770094#0,03318195#0,8129349#3,388582#-0,03428041#0,7048617#2,879267#-0,04355446#0,6898223#3,145859#-0,140936#0,5639648#3,162625#-0,08004978#0,349327#3,299585#-0,08922653#0,2652305#3,23812#-0,06420973#0,2174507#3,263737#-0,107727#0,21688#3,197926#0,1078836#-0,2787879#3,230921#-0,306535#-0,3780557#3,303951#0,2144128#-0,5870067#3,221024#-0,4591689#-0,6092284#3,211963#0,1846369#-0,6358662#3,131392#-0,4889448#-0,6580878#3,122332#0  
frame23 #-0,1119935#1,006694#3,238741#-0,1466954#0,7944256#3,322547# 0,1028176#0,9329898#3,729114#0,1958557#0,9081595#2,812316#0,03093731#0,8550991#3,695764#0,1405194#0,8492655#2,797682#0,03138834#0,8076642#3,405049#-0,08687919#0,6749381#2,930431#-0,04867931#0,6779377#3,165534#-0,1403584#0,5639037#3,162769#-0,08750638#0,3437476#3,302614#-0,08880336#0,2632982#3,238762#-0,06392566#0,2162279#3,26426#-0,1065435#0,2157115#3,197892#0,1080696#-0,2785657#3,2307#-0,3078206#-0,3746646#3,304041#0,2147687#-0,5878526#3,220867#-0,4571341#-0,6067234#3,211959#0,1978102#-0,6366196#3,127065#-0,4740926#-0,6554903#3,118158#0  
frame24 #-0,1022222#1,015847#3,247512#-0,1446001#0,7984811#3,321215# 0,1122342#0,9387135#3,726506#0,2319043#0,9306042#2,779594#0,03499899#0,8650498#3,695144#0,1582577#0,8622774#2,78607#0,03310295#0,8109738#3,404896#-0,07150296#0,6808574#2,904313#-0,04658399#0,6819932#3,164201#-0,1403379#0,5639176#3,162872#-0,0873666#0,3433268#3,302158#-0,08980045#0,2620846#3,237935#-0,06459037#0,2151138#3,262359#-0,1076364#0,2152421#3,19777#0,1085642#-0,2787193#3,230942#-0,3076833#-0,3754785#3,303768#0,215232#-0,5891629#3,22219#-0,457036#-0,6064522#3,212048#0,1970598#-0,6374601#3,129581#-0,4752081#-0,6547493#3,119438#0  
frame25 #-0,1427479#1,069189#3,252972#-0,1131357#0,8313776#3,285548# 0,08432998#0,9223754#3,712082#0,2313103#0,9301465#2,779455#0,03949827#0,865468#3,672863#0,1587418#0,8632461#2,785827#0,0514086#0,8302722#3,379442#-0,07146793#0,6814059#2,904394#-0,01511956#0,7148897#3,128535#-0,1406226#0,5638628#3,16289#-0,07239628#0,3523183#3,297218#-0,0864962#0,2648619#3,237385#-0,05722021#0,2162247#3,262863#-0,1074007#0,2151126#3,197689#0,1085885#-0,2787309#3,231001#-0,3077693#-0,3769242#3,304577#0,2152782#-0,5893579#3,2222#-0,4567068#-0,6068158#3,211957#0,1802413#-0,6387134#3,134317#-0,4917436#-0,6561714#3,124074#0  
