frame1 #-0,2391709#1,0145#3,509874#-0,1872834#0,7890012#3,468924# -0,07369678#0,1885576#3,220126#-0,07433265#0,1962408#3,261842#-0,05863819#0,2313527#3,284504#-0,1570998#0,2523102#3,298715#-0,01346244#0,3597381#3,493167#-0,4054012#0,4205182#3,42486#-0,06636843#0,6597513#3,473195#-0,3046049#0,6281034#3,366874#-0,1930381#0,3602176#3,445937#-0,1681422#0,2881407#3,3827#-0,1121542#0,2328604#3,403731#-0,2193606#0,2186189#3,336314#0,03477085#-0,2170738#3,348166#-0,3526033#-0,2598406#3,353546#0,1509328#-0,5760241#3,287915#-0,4632715#-0,616994#3,333773#0,02752373#-0,5918332#3,302361#-0,5163243#-0,6881172#3,307359#0  
frame2 #-0,2358033#1,01396#3,51393#-0,1866421#0,7876156#3,466796# -0,08132052#0,07500136#3,159142#-0,06917357#0,1928056#3,258802#-0,07167904#0,1387021#3,210585#-0,1533403#0,2506463#3,303659#-0,0427546#0,3298042#3,380259#-0,4058403#0,4241683#3,453577#-0,05362378#0,6587809#3,470648#-0,3150573#0,6277815#3,376583#-0,1899454#0,3638361#3,44484#-0,1696069#0,2946203#3,379926#-0,1099185#0,2383174#3,395921#-0,2253058#0,2241065#3,336895#0,03358464#-0,2169983#3,345125#-0,3525919#-0,2597042#3,352799#0,1499442#-0,5769017#3,285132#-0,4646895#-0,6166028#3,33424#0,1826727#-0,6263937#3,193695#-0,5185779#-0,6875424#3,308787#0  
frame3 #-0,1601666#0,9994177#3,535761#-0,1781662#0,7717229#3,457469# -0,07787289#0,1945994#3,247421#-0,1059573#0,2355832#3,270087#-0,04410959#0,2644481#3,312806#-0,1779244#0,2849982#3,321787#0,0571803#0,4739942#3,524061#-0,3938256#0,433243#3,491988#-0,03874522#0,657854#3,466473#-0,3137789#0,6315883#3,382558#-0,1862331#0,366198#3,44281#-0,1682781#0,2985477#3,377252#-0,1055353#0,2422062#3,387262#-0,2262588#0,2289481#3,338395#0,03188265#-0,2176344#3,34031#-0,3536776#-0,2594689#3,352583#0,1460021#-0,5789537#3,286282#-0,4590867#-0,6094475#3,339536#0,1743242#-0,6283889#3,193781#-0,5097026#-0,6812012#3,310959#0  
frame4 #-0,1629327#0,9977047#3,535118#-0,1767478#0,7697992#3,455744# -0,03386859#0,1955759#3,293422#-0,1672854#0,2353557#3,27264#-0,07565697#0,2515806#3,268774#-0,2275879#0,2966661#3,323941#-0,2542794#0,4913069#3,31325#-0,4084951#0,4805972#3,492837#-0,02464767#0,6514971#3,451551#-0,3141075#0,6363611#3,395265#-0,1792883#0,3668207#3,441803#-0,166821#0,2998421#3,375453#-0,1001115#0,2411499#3,379053#-0,2263784#0,2305312#3,339384#0,03132783#-0,216976#3,338492#-0,3537729#-0,2595178#3,355852#0,1437891#-0,5793918#3,287007#-0,4674042#-0,6137403#3,336003#0,1626422#-0,6291039#3,192199#-0,4485511#-0,6634523#3,241195#0  
frame5 #-0,1066789#0,9975765#3,510712#-0,1732505#0,7767331#3,456832# -0,05113339#0,1863232#3,278859#-0,3420387#0,1465951#3,283737#-0,03911783#0,2830654#3,301685#-0,3265936#0,2453216#3,289979#-0,247034#0,4946634#3,307464#-0,389823#0,4679465#3,49073#-0,0171902#0,651943#3,439358#-0,3139942#0,6385925#3,404927#-0,1723663#0,3710041#3,440253#-0,1645541#0,3037916#3,373445#-0,09670505#0,2432727#3,374526#-0,2264299#0,2335455#3,34016#0,03129709#-0,2171631#3,338031#-0,3542483#-0,2591138#3,358026#0,1395317#-0,5781521#3,288052#-0,4666979#-0,6131997#3,335263#0,1508146#-0,6280036#3,192187#-0,4554149#-0,6630512#3,239397#0  
frame6 #-0,08765987#1,0324#3,480245#-0,1421013#0,8126352#3,463368# 0,2294699#0,5815613#3,635284#-0,2487887#0,150697#3,237244#0,1577231#0,5707881#3,627876#-0,3248836#0,2013843#3,274334#0,05414363#0,4639361#3,462929#-0,3122469#0,3963116#3,387701#-0,01792774#0,646147#3,380594#-0,2511046#0,6716774#3,410416#-0,1555579#0,3729028#3,435346#-0,1612302#0,3038738#3,367816#-0,1024291#0,2457509#3,35056#-0,2159885#0,248922#3,346359#0,03005677#-0,2184817#3,33936#-0,3501631#-0,2532467#3,368987#0,1170699#-0,5847297#3,295885#-0,4515641#-0,5556815#3,31369#0,1076762#-0,6321#3,205224#-0,4609579#-0,6030518#3,223029#0  
frame7 #-0,1215402#1,032448#3,456078#-0,1429395#0,8122874#3,461626# 0,2220262#0,597522#3,588591#-0,2657706#0,134308#3,254312#0,1543427#0,5718281#3,591889#-0,32485#0,2069443#3,283421#0,06226309#0,4813749#3,433837#-0,3125417#0,3999285#3,394656#-0,02831512#0,6531922#3,369049#-0,2860427#0,6673046#3,436443#-0,1476638#0,3778325#3,431493#-0,1619518#0,3084998#3,365437#-0,105162#0,2516266#3,343204#-0,2186568#0,2547985#3,35267#0,02765158#-0,2237928#3,341419#-0,3456038#-0,2511314#3,377737#0,1218633#-0,5900888#3,309381#-0,452962#-0,5604117#3,311236#0,100149#-0,6353896#3,22485#-0,4746763#-0,6057124#3,226705#0  
frame8 #-0,1140146#1,031415#3,449448#-0,1413474#0,8102096#3,456941# 0,1980825#0,6360946#3,658194#-0,3752094#0,01411892#3,322208#0,1709285#0,6003695#3,601265#-0,3595628#0,1097107#3,337554#0,08946662#0,4931939#3,445618#-0,3126233#0,396486#3,39873#-0,03663468#0,6558257#3,352316#-0,2163691#0,6713351#3,398181#-0,1456302#0,3735189#3,42753#-0,1598077#0,3019477#3,360784#-0,1102941#0,25052#3,338964#-0,2093675#0,254844#3,355556#0,02619603#-0,2427916#3,345996#-0,3434562#-0,2527362#3,382143#0,1238629#-0,591782#3,311029#-0,4535728#-0,5596455#3,308737#0,1004913#-0,6705453#3,288512#-0,4745581#-0,6058136#3,222294#0  
frame9 #-0,1139969#1,027486#3,447228#-0,140106#0,8085005#3,450811# 0,2817567#0,6641123#3,507043#-0,322073#0,03709394#3,291839#0,2197829#0,648951#3,54104#-0,3106973#0,1312575#3,292169#0,119481#0,5047016#3,420255#-0,2965843#0,4174065#3,398318#-0,06167948#0,6596532#3,331739#-0,1790068#0,6897342#3,379524#-0,1428478#0,3583117#3,419677#-0,1652333#0,2811153#3,354421#-0,1354355#0,2420985#3,329808#-0,2012309#0,2490309#3,359709#0,02268993#-0,2524774#3,346429#-0,3438991#-0,2583664#3,392566#0,1257271#-0,5929052#3,314426#-0,457927#-0,5677018#3,305785#0,1038962#-0,670378#3,294071#-0,4875025#-0,6125249#3,224197#0  
frame10 #-0,119576#1,026205#3,435362#-0,1384572#0,8093641#3,446188# 0,2510285#0,7091824#3,511983#-0,313946#0,05139424#3,295421#0,2231571#0,6609886#3,463546#-0,3025053#0,1478425#3,296544#0,1395429#0,5164069#3,333447#-0,2925923#0,4314693#3,407516#-0,09233271#0,6570601#3,314453#-0,2280951#0,64068#3,404076#-0,1285248#0,3533193#3,412941#-0,1642374#0,2727889#3,355248#-0,1340189#0,2351774#3,332299#-0,1998354#0,2439451#3,361715#0,02244599#-0,2525378#3,34625#-0,3452135#-0,2630412#3,402408#0,1263826#-0,5883758#3,318235#-0,4686606#-0,5776427#3,313108#0,07624492#-0,6316454#3,248995#-0,5187983#-0,6209123#3,243868#0  
frame11 #-0,1224238#1,025522#3,434435#-0,1382717#0,8083434#3,440606# 0,2473295#0,6956258#3,528207#-0,3037606#0,08706165#3,290065#0,2196088#0,6527439#3,461004#-0,2924362#0,1801845#3,290064#0,1364467#0,5240985#3,274595#-0,2959815#0,4303266#3,406666#-0,09517955#0,65716#3,311499#-0,2290225#0,6367397#3,402738#-0,1269318#0,3520655#3,411305#-0,1635362#0,2714171#3,354663#-0,1330124#0,233966#3,331839#-0,198948#0,2425821#3,361964#0,02211392#-0,2529224#3,346241#-0,3473021#-0,2658738#3,409621#0,1267979#-0,5883511#3,319993#-0,4942428#-0,5754296#3,304173#0,07625327#-0,6308169#3,252898#-0,5447874#-0,6178954#3,237077#0  
