frame12 #0,07210013#1,017622#3,17364#0,0548043#0,8052748#3,188069# 0,4986554#0,8704477#3,360522#0,3976873#0,8003512#2,934159#0,3830157#0,8020601#3,424951#0,3531565#0,7633739#2,893317#0,1720949#0,7008073#3,274528#0,1602634#0,6779279#2,925487#0,04723365#0,649905#3,050832#-0,04092124#0,630681#3,152753#0,06556668#0,344819#3,172623#0,02157809#0,2564888#3,133589#0,04618181#0,2243611#3,130284#-0,003164577#0,2536186#3,130186#0,2192252#-0,2553741#3,158137#-0,1361982#-0,2636654#3,213737#0,3646049#-0,6028579#3,148723#-0,2865946#-0,5889469#3,161373#0,303592#-0,6412378#3,100693#-0,284728#-0,6625101#3,16373#0  
frame13 #0,0669474#1,017971#3,174683#0,0469221#0,8044335#3,185941# 0,4395146#0,850673#3,330723#0,379454#0,8194365#2,96073#0,3813142#0,8266598#3,405322#0,3502199#0,792649#2,910728#0,1659429#0,713989#3,269472#0,1689615#0,6954405#2,876891#0,0418922#0,6486503#3,049188#0,004227793#0,6084124#3,082105#0,06071833#0,3425568#3,177172#0,01937797#0,2544799#3,136612#0,03511117#0,2233711#3,132725#0,0001311199#0,2528325#3,138991#0,2160576#-0,2564417#3,153519#-0,1372882#-0,2650476#3,214402#0,3673068#-0,6056629#3,146574#-0,2875094#-0,5908211#3,160904#0,3103499#-0,6439403#3,095311#-0,2835006#-0,6634585#3,163884#0  
frame14 #0,05265221#1,022484#3,175259#0,03628451#0,8065165#3,180818# 0,4329747#0,8797205#3,304693#0,4451099#0,8679291#2,987948#0,3753437#0,8488271#3,378086#0,3932832#0,8417658#2,944266#0,1556283#0,719296#3,26385#0,1603799#0,7109027#2,857448#0,03229224#0,6500633#3,044296#0,00418464#0,6072475#3,080158#0,04044107#0,3603631#3,183663#-0,01366548#0,281502#3,160029#-0,008636834#0,2368978#3,146984#-0,02103927#0,2932417#3,17142#0,212806#-0,2580705#3,149502#-0,1365394#-0,2658203#3,214739#0,3708411#-0,6129591#3,144122#-0,2889452#-0,5921915#3,161377#0,3048589#-0,6502705#3,10598#-0,2741087#-0,6644682#3,187618#0  
frame15 #0,05036776#1,024361#3,173204#0,0342521#0,8079859#3,181065# 0,4034959#0,8889127#3,329347#0,4213713#0,8730771#2,922232#0,3455676#0,8578598#3,40312#0,3590502#0,8460678#2,850476#0,1419112#0,7226505#3,269231#0,1524436#0,7233354#2,840823#0,0303468#0,6513617#3,044491#0,0002768401#0,6009945#3,077263#0,09645903#0,3249065#3,181736#0,06450322#0,2284004#3,145146#0,06930945#0,2068795#3,149901#0,06177652#0,217319#3,137563#0,2102402#-0,2607402#3,145026#-0,1364568#-0,2678788#3,215931#0,371088#-0,6123739#3,142849#-0,2894855#-0,5921543#3,161677#0,3139758#-0,6518251#3,09498#-0,2776254#-0,6610157#3,178806#0  
frame16 #0,02977548#1,031882#3,176743#0,02257306#0,8145568#3,186339# 0,3698306#0,9277663#3,418588#0,4271486#0,9134067#2,869131#0,3379223#0,8628862#3,40622#0,3767583#0,8649784#2,846859#0,1322654#0,7280681#3,274111#0,131767#0,7207615#2,826847#0,0187663#0,6576694#3,049622#-0,005532556#0,5955642#3,073651#0,08179057#0,3331679#3,172065#0,04584049#0,2406885#3,13145#0,05423529#0,2127261#3,139787#0,03913008#0,2331605#3,117921#0,2066446#-0,2624984#3,142243#-0,1353519#-0,2577102#3,215471#0,3710174#-0,6124535#3,14262#-0,2906713#-0,5926924#3,161478#0,3119065#-0,6517562#3,094899#-0,3497822#-0,6319951#3,113757#0  
frame17 #0,03477621#1,013068#3,175015#-0,01008359#0,804038#3,20038# 0,3460289#0,9261984#3,415735#0,41046#0,9175669#2,829409#0,3019995#0,8671947#3,416678#0,360101#0,8767164#2,794536#0,1000245#0,7247075#3,286078#0,1185905#0,7225444#2,820217#-0,01406775#0,6470165#3,063665#-0,01005911#0,5921758#3,069738#0,09151017#0,3425946#3,143687#0,04581799#0,2448798#3,130133#0,05137885#0,2151277#3,140923#0,04532046#0,2380802#3,110888#0,202031#-0,2653491#3,137938#-0,1095889#-0,1861513#3,233903#0,3712349#-0,6150091#3,142703#-0,2753433#-0,5573501#3,165824#0,2970093#-0,6563362#3,13734#-0,3495688#-0,5986773#3,160461#0  
frame18 #-0,01335447#1,062893#3,172835#0,03501868#0,8456925#3,17038# 0,3513831#0,9696215#3,423418#0,3836021#0,9361172#2,804274#0,3128269#0,9061371#3,41964#0,3414366#0,8795469#2,780758#0,1294019#0,7614343#3,265628#0,1027168#0,7192329#2,815051#0,03110612#0,6886817#3,033622#-0,01702341#0,587038#3,07043#0,07619028#0,3373775#3,174785#0,04571453#0,2450335#3,130156#0,05294681#0,2098908#3,128294#0,04030441#0,2341477#3,122136#0,199719#-0,26694#3,135672#-0,09130478#-0,1863212#3,228311#0,3712457#-0,6159697#3,142161#-0,2716865#-0,5551918#3,166232#0,3179164#-0,6558594#3,08691#-0,3250158#-0,5950814#3,110981#0  
frame19 #0,02361115#1,040776#3,162781#0,002294574#0,825362#3,187789# 0,3136727#0,974157#3,444911#0,3652495#0,9381731#2,73193#0,2759094#0,9119781#3,441211#0,3057874#0,8905389#2,712141#0,1142703#0,7627728#3,269006#0,08804253#0,7172226#2,803761#-0,001617979#0,6683513#3,051032#-0,01989035#0,5881301#3,067394#0,0766883#0,3630697#3,177346#0,04651456#0,2772565#3,136994#0,0535114#0,2379242#3,163784#0,04405958#0,2517188#3,109474#0,1967729#-0,2691774#3,131148#-0,096638#-0,1850861#3,230252#0,3719015#-0,6181067#3,140707#-0,2742186#-0,5586478#3,165607#0,3146275#-0,6590446#3,088582#-0,3314926#-0,5995857#3,113482#0  
frame20 #0,05245475#0,9029037#3,387775#0,08618059#0,793575#3,559589# 0,4017119#1,077187#3,609927#0,271777#0,8540079#2,835802#0,3760303#1,013998#3,636782#0,2128737#0,7950178#2,889529#0,2215047#0,8218732#3,567263#0,09859356#0,6543095#3,129998#0,08226804#0,6365643#3,422832#0,06007593#0,5607259#3,430202#0,1040397#0,34693#3,228418#0,04755258#0,2759495#3,141869#0,05248943#0,2431553#3,155147#0,04525226#0,2604738#3,124726#0,1943152#-0,2701607#3,128279#-0,08850779#-0,1864502#3,227419#0,3598132#-0,6111242#3,131733#-0,2731476#-0,559902#3,165497#0,2816134#-0,6473217#3,117056#-0,3513474#-0,5960995#3,15082#0  
frame21 #0,08108823#0,985387#3,206805#0,06956326#0,7601858#3,194582# 0,3211253#0,9049713#3,431482#0,3112908#0,9511278#2,669953#0,2729301#0,8720759#3,474989#0,2383947#0,8866298#2,655001#0,1855647#0,6978244#3,275199#0,05113348#0,7082717#2,788722#0,06565071#0,603175#3,057824#-0,02104505#0,5759162#3,065298#0,07536906#0,3461109#3,206778#0,06248372#0,2710151#3,147655#0,09617606#0,2310487#3,119258#0,04910235#0,2524588#3,181945#0,1903906#-0,272338#3,125308#-0,1124594#-0,1817685#3,234329#0,3721663#-0,6278834#3,136383#-0,279257#-0,5682629#3,164461#0,4439563#-0,6647156#3,14967#-0,2889677#-0,6079128#3,088018#0  
frame22 #-0,005898289#0,965309#3,212002#0,06305348#0,7493036#3,184992# 0,2420187#0,9210114#3,478168#0,2688743#0,9563771#2,633457#0,2066285#0,8600948#3,48427#0,2067067#0,8828158#2,643354#0,1023566#0,6995724#3,283421#0,0220896#0,7014953#2,785134#0,05914093#0,5922929#3,048235#-0,02001125#0,5733066#3,068772#0,0856148#0,3445469#3,194966#0,07519064#0,2697463#3,140202#0,1029057#0,2348374#3,133087#0,07081195#0,2642526#3,152667#0,1861052#-0,2746084#3,124778#-0,1138795#-0,1804025#3,233551#0,3787299#-0,6289771#3,135668#-0,2833646#-0,5730374#3,163058#0,4471675#-0,6646232#3,148481#-0,3047793#-0,6121094#3,09045#0  
frame23 #-0,03274478#1,045038#3,190958#-0,04725922#0,8267154#3,213734# 0,2291771#0,9467089#3,567402#0,2493922#0,9397228#2,625119#0,1824004#0,8966074#3,499602#0,1555169#0,8338088#2,682425#0,04207015#0,746303#3,310928#-0,02225131#0,6621298#2,847418#-0,05117177#0,6697046#3,076977#-0,02324132#0,5703635#3,069404#0,07206119#0,3550185#3,102374#0,05337#0,2428158#3,133747#0,05461599#0,2192983#3,134427#0,05297479#0,2312383#3,123285#0,1858845#-0,275309#3,124942#-0,1222406#-0,1984155#3,243062#0,3825831#-0,6300355#3,136006#-0,2921982#-0,5915587#3,161986#0,4473585#-0,6645497#3,146868#-0,2818593#-0,6605994#3,186536#0  
frame24 #-0,03346683#1,04982#3,193904#-0,0449244#0,8294172#3,21436# 0,2854944#1,010834#3,73518#0,2550319#0,9401897#2,630649#0,1834603#0,8994867#3,504183#0,1564276#0,8334576#2,683393#0,04393391#0,7502744#3,312571#-0,02435571#0,6622937#2,84757#-0,04883695#0,6724065#3,077602#-0,02415242#0,5698615#3,070193#0,07966666#0,3599196#3,112345#0,05320128#0,2507496#3,134996#0,05470399#0,2216822#3,129613#0,05649638#0,2357162#3,13345#0,1859176#-0,2754653#3,125212#-0,1143423#-0,1945562#3,241069#0,384963#-0,6316744#3,137025#-0,2910234#-0,588926#3,16241#0,4505272#-0,665965#3,14717#-0,3483252#-0,6358453#3,209683#0 
frame25 #-0,03172934#1,05063#3,191131#-0,0431892#0,8294967#3,212674# 0,2155229#0,9382233#3,587166#0,2577074#0,9400316#2,638997#0,1890888#0,9099094#3,501195#0,2134842#0,8826936#2,644964#0,05107886#0,7621846#3,306162#0,02679333#0,6999799#2,788753#-0,04710175#0,672486#3,075917#-0,02575052#0,5665858#3,070456#0,08752784#0,3613775#3,128032#0,05234667#0,2550484#3,134642#0,05343848#0,2259763#3,134258#0,05706336#0,2380035#3,126985#0,1861101#-0,2754975#3,125805#-0,1130172#-0,1938434#3,241733#0,3820147#-0,6274064#3,135826#-0,2911593#-0,5891371#3,162315#0,3109592#-0,6743995#3,160788#-0,3622148#-0,6361302#3,187277#0  
frame26 #-0,0289319#1,051502#3,191127#-0,04234398#0,8302824#3,21161# 0,2412757#0,9589568#3,574543#0,2594027#0,9391181#2,641066#0,1988374#0,914661#3,499411#0,2153638#0,8778652#2,648953#0,07152244#0,7817735#3,288795#0,03306183#0,6845593#2,782351#-0,04625653#0,6732717#3,074852#-0,02570436#0,5663565#3,070683#0,08851755#0,3640827#3,133538#0,05234296#0,2591869#3,135928#0,05280744#0,2302157#3,140674#0,05821388#0,2395675#3,125137#0,1864165#-0,2757714#3,126447#-0,109129#-0,1907609#3,244438#0,3833398#-0,6271756#3,136303#-0,2898968#-0,5862934#3,162835#0,3105601#-0,6736133#3,154559#-0,3626764#-0,6327311#3,18109#0  
frame27 #-0,02562608#1,047101#3,190437#-0,04199268#0,8259073#3,210805# 0,2409669#0,965275#3,567522#0,2613173#0,9360743#2,643435#0,1985791#0,9185943#3,493842#0,217383#0,876261#2,650513#0,07141577#0,7785521#3,287599#0,03308276#0,6839231#2,78227#-0,04590523#0,6688966#3,074048#-0,02540208#0,5648676#3,070245#0,08770166#0,3664319#3,133998#0,05220183#0,2634063#3,138738#0,0528212#0,2338071#3,151726#0,05894479#0,2408914#3,123339#0,1867772#-0,2760432#3,127013#-0,1185664#-0,1939765#3,245082#0,3837418#-0,6274343#3,136216#-0,2917538#-0,5921994#3,162004#0,3111041#-0,6742679#3,156635#-0,3643914#-0,639033#3,182423#0  
