frame1 #0,4027919#1,013165#3,314678#0,352942#0,7910268#3,250928# 0,3728422#0,1640119#3,028392#0,1891876#0,1720104#3,114373#0,4170109#0,2270475#3,085111#0,155888#0,2401748#3,159888#0,5495173#0,4161545#3,270743#0,1152938#0,4477672#3,36909#0,4924431#0,6163111#3,188932#0,1934993#0,6323662#3,230178#0,3342442#0,3670581#3,250287#0,3218304#0,2935917#3,186663#0,3848782#0,2225945#3,164119#0,2503535#0,2298193#3,187603#0,5173249#-0,2328077#3,183936#0,135487#-0,2571148#3,205068#0,6146854#-0,5756006#3,210737#0,01910628#-0,5802344#3,143501#0,6024064#-0,6247779#3,115976#0,006827315#-0,6294118#3,048739#0  
frame2 #0,3893813#1,015516#3,279898#0,3524601#0,7908391#3,251584# 0,4146989#0,157993#3,045442#0,3005621#0,2433326#3,172917#0,4438213#0,220592#3,067625#0,2844033#0,3140274#3,172917#0,552518#0,4200765#3,253335#0,123664#0,4570884#3,373557#0,4828789#0,6152541#3,17272#0,1968594#0,6296602#3,233461#0,3381514#0,366123#3,249177#0,3217608#0,2926584#3,185878#0,3837945#0,2227981#3,162576#0,2512548#0,2295386#3,187209#0,5171293#-0,2331065#3,183933#0,1362034#-0,2561201#3,205745#0,6249682#-0,5827215#3,210736#0,01626359#-0,5729387#3,141065#0,6089695#-0,6231501#3,133742#0,0002648998#-0,6133673#3,064071#0  
frame3 #0,3005875#0,9831513#3,208426#0,3452568#0,7718436#3,23769# 0,6975352#0,6039659#3,477613#0,3368823#0,1772695#3,132149#0,6690127#0,5640139#3,400792#0,3257876#0,2493845#3,132149#0,583445#0,4441578#3,185863#0,1791725#0,404084#3,319066#0,4257154#0,6040245#3,104248#0,1935099#0,5686566#3,233046#0,3447012#0,3469736#3,232147#0,3105119#0,2728527#3,175691#0,3600458#0,2183233#3,15153#0,2501573#0,2158603#3,181919#0,5209806#-0,2450186#3,173885#0,1329535#-0,2656798#3,21636#0,66297#-0,5921417#3,19271#-0,07323789#-0,592059#3,159204#0,6419873#-0,6637549#3,204718#-0,1145455#-0,6322787#3,091505#0  
frame4 #0,3475102#0,9558175#3,227613#0,3382777#0,737684#3,222502# 0,7704783#0,6715859#3,338941#0,7708913#0,5218863#3,06234#0,6750332#0,5806677#3,260591#0,7096586#0,5514598#3,070233#0,5939266#0,4775253#3,037615#0,521453#0,5071402#3,030238#0,4018405#0,6038629#3,071886#0,2948176#0,5735365#3,124606#0,3322554#0,3047364#3,219616#0,2959591#0,2285081#3,163469#0,3140531#0,2039901#3,142111#0,2693082#0,1954409#3,178494#0,5213007#-0,2390093#3,158462#0,1314808#-0,2716348#3,232995#0,6644454#-0,5888255#3,182687#-0,08724795#-0,5875828#3,163623#0,6417956#-0,6646532#3,189742#-0,1285182#-0,6299289#3,09123#0  
frame5 #0,3426025#0,9503912#3,217769#0,338596#0,7337338#3,221338# 0,772061#0,674747#3,329756#0,7628791#0,5572518#3,021931#0,6723995#0,5822767#3,260179#0,7013205#0,5594441#2,99763#0,5907838#0,4787579#3,037207#0,5043902#0,5196177#3,000911#0,3974284#0,6077126#3,067035#0,286225#0,5735116#3,126041#0,3320003#0,3065706#3,219366#0,2937382#0,2327118#3,165067#0,3133215#0,2090931#3,144095#0,267085#0,1966692#3,178727#0,5213745#-0,2400224#3,157309#0,1235425#-0,2753104#3,243487#0,6641252#-0,5869934#3,179883#-0,0876509#-0,5872216#3,16341#0,643476#-0,6642599#3,189719#-0,1320408#-0,6300924#3,091446#0  
frame6 #0,3394088#0,9477566#3,214693#0,3388054#0,7319627#3,22067# 0,7671322#0,6713257#3,333353#0,7517856#0,5664011#2,947576#0,6709266#0,5835962#3,259856#0,6919383#0,5840777#2,962396#0,5890168#0,4796809#3,036736#0,5002154#0,5231869#2,964978#0,3955148#0,6097285#3,06454#0,290152#0,5702345#3,117099#0,3295514#0,2874826#3,218095#0,2930339#0,207396#3,162723#0,3119478#0,1854949#3,137465#0,2681488#0,159417#3,179884#0,5217304#-0,2484877#3,156768#0,1193665#-0,2775331#3,246899#0,6647679#-0,5885967#3,178817#-0,08846983#-0,5877394#3,164414#0,6211811#-0,6319214#3,10548#-0,1320565#-0,6310641#3,091077#0  
frame7 #0,3344345#0,9464505#3,215926#0,3384081#0,731924#3,220355# 0,8394699#0,755846#3,368754#0,6914557#0,6628463#2,933108#0,7297359#0,7064327#3,365661#0,6406427#0,6536257#2,898783#0,4860242#0,6313837#3,286589#0,4530123#0,5907452#2,878986#0,3913361#0,6156371#3,062212#0,2814489#0,5704208#3,112885#0,3283202#0,2884332#3,21935#0,2937093#0,2093739#3,163727#0,3161132#0,1778785#3,136117#0,2657141#0,1742307#3,185396#0,5198172#-0,2529784#3,158185#0,1211051#-0,2696018#3,252065#0,6656835#-0,5913288#3,177273#-0,0906864#-0,5865492#3,16424#0,6226181#-0,6362455#3,100226#-0,1337518#-0,6314659#3,087194#0  
frame8 #0,3202428#0,9550377#3,22188#0,336687#0,7392247#3,21619# 0,8580051#0,8451777#3,461347#0,6818125#0,7303864#2,904046#0,7047727#0,7683225#3,407111#0,6136515#0,7043353#2,857974#0,5013638#0,6750692#3,268687#0,4364758#0,6105161#2,866965#0,3880495#0,6287396#3,056137#0,2695563#0,5592245#3,104318#0,3149638#0,3088877#3,229549#0,2797423#0,2331288#3,176733#0,3009749#0,2089944#3,175263#0,2491589#0,2003164#3,182743#0,5183312#-0,2536298#3,158654#0,1112689#-0,3555974#3,220029#0,6654428#-0,5908845#3,177925#-0,1048275#-0,5753449#3,155981#0,6236562#-0,6369779#3,098009#-0,1312377#-0,6555929#3,172525#0  
frame9 #0,3115343#0,9570353#3,222843#0,3347414#0,7414053#3,215598# 0,8130059#0,8447367#3,501322#0,7070957#0,7613644#2,901594#0,6758236#0,7713485#3,437417#0,6356282#0,7286395#2,862818#0,4981255#0,6809347#3,268221#0,4264191#0,6202831#2,865594#0,3858225#0,631277#3,055598#0,2673878#0,5562991#3,105523#0,3024265#0,3239121#3,235725#0,2642707#0,2511519#3,186419#0,2863012#0,2235762#3,18487#0,2364621#0,212083#3,184349#0,5174922#-0,2561358#3,159609#0,1114257#-0,3540075#3,220376#0,6665212#-0,5923784#3,179095#-0,1036945#-0,5717807#3,15572#0,6228866#-0,6387565#3,09943#-0,1260999#-0,6525045#3,178008#0  
frame10 #0,3169082#0,9652961#3,212941#0,3186657#0,7490584#3,217819# 0,8316549#0,9849892#3,621361#0,6877918#0,8204227#2,805562#0,6035164#0,8201106#3,451754#0,6147358#0,770959#2,784#0,4408995#0,6936682#3,286986#0,3956386#0,6415555#2,844521#0,3694894#0,639291#3,057976#0,276285#0,555618#3,103992#0,3409657#0,3109851#3,208555#0,3147701#0,231062#3,15716#0,3342732#0,2040456#3,146783#0,2961679#0,2012935#3,158972#0,5167458#-0,2644879#3,162782#0,114505#-0,3537663#3,2193#0,6678451#-0,5935866#3,181964#-0,09952471#-0,5657237#3,155751#0,6169713#-0,6409833#3,10438#-0,1242597#-0,6523601#3,185605#0  
frame11 #0,3163265#0,9667118#3,211718#0,3093257#0,7502124#3,212638# 0,7928248#1,005876#3,6944#0,676524#0,8622295#2,739261#0,5670285#0,8198393#3,466969#0,5875165#0,8025837#2,732807#0,4306601#0,6949166#3,281465#0,381555#0,6504446#2,841093#0,3601645#0,6404622#3,052822#0,2633229#0,5604985#3,098652#0,3436353#0,3126901#3,208963#0,3297496#0,2322326#3,15822#0,3442538#0,2074005#3,14749#0,3257659#0,1980855#3,162163#0,5187938#-0,2666254#3,165314#0,1196861#-0,3460037#3,227712#0,6681287#-0,5944355#3,18311#-0,08983138#-0,5584505#3,157519#0,6211265#-0,6425663#3,103061#-0,1368336#-0,6065813#3,07747#0  
