frame1 #-0,2561446#0,8740786#3,200619#-0,2395385#0,6774978#3,256651# -0,3932871#0,4977993#2,887446#-0,2184921#0,4869379#3,144893#-0,2889219#0,513905#2,876541#-0,2856998#0,447411#3,153721#-0,113653#0,5153252#2,952608#-0,4463183#0,375153#3,34709#-0,09273662#0,5079513#3,216035#-0,3892806#0,5322286#3,263856#-0,2275745#0,3220029#3,271141#-0,2325382#0,2553827#3,229397#-0,1646877#0,181896#3,209094#-0,2981325#0,1928208#3,23663#0,06033834#-0,2478883#3,216926#-0,5238394#-0,2451009#3,215831#0,1887262#-0,5682272#3,242358#-0,602158#-0,5813996#3,196786#0,1766316#-0,6095624#3,164268#-0,6142526#-0,6227348#3,118696#1  
frame12 #-0,242377#0,8765893#3,210896#-0,2284062#0,6786088#3,259234# -0,4388911#0,4797384#2,919337#-0,2232592#0,4560848#3,180051#-0,3694789#0,4938519#2,917104#-0,2863516#0,4375953#3,153599#-0,116486#0,5170881#2,93428#-0,4365301#0,3597969#3,362618#-0,07731371#0,5644249#3,181695#-0,3885788#0,5490886#3,2644#-0,2176569#0,3266178#3,271117#-0,227746#0,2611492#3,230385#-0,1582758#0,1920248#3,21014#-0,2963624#0,1908383#3,236303#0,05652634#-0,2306075#3,221104#-0,5238332#-0,2457912#3,214806#0,1970512#-0,5730813#3,24372#-0,6036392#-0,5898466#3,202238#0,1765317#-0,6131574#3,169631#-0,6241587#-0,6299226#3,12815#1  
frame13 #-0,241879#0,8773825#3,210608#-0,2279731#0,6786648#3,258925# -0,438815#0,4754139#2,916209#-0,2215497#0,4598882#3,181852#-0,3694104#0,4889882#2,916738#-0,2842711#0,4405342#3,155528#-0,1157182#0,5152276#2,9345#-0,435158#0,3650402#3,365474#-0,08776663#0,5642108#3,182322#-0,3901399#0,552229#3,26263#-0,2175875#0,3265937#3,271179#-0,2277388#0,2611106#3,230287#-0,1589435#0,192457#3,210179#-0,2959388#0,190975#3,235859#0,05839999#-0,2341307#3,220669#-0,5235101#-0,2452664#3,214929#0,1968649#-0,5731282#3,243581#-0,6027837#-0,586586#3,201791#0,1763767#-0,6133017#3,169298#-0,6232719#-0,6267595#3,127507#1  
frame14 #-0,2427021#0,8753697#3,210365#-0,2277187#0,6778689#3,258143# -0,439851#0,4619375#2,917608#-0,2148452#0,4714108#3,174029#-0,3714873#0,4789185#2,92122#-0,2760793#0,4471043#3,148838#-0,1151962#0,5128833#2,935118#-0,429862#0,3746602#3,3576#-0,08710132#0,5639981#3,182037#-0,3943468#0,5560776#3,264096#-0,2174792#0,3268155#3,271227#-0,2276666#0,2614319#3,230299#-0,1587926#0,1926497#3,210609#-0,2959904#0,1909765#3,235612#0,05901132#-0,2355631#3,220532#-0,5235029#-0,2451964#3,215049#0,1965169#-0,5740684#3,244391#-0,6007706#-0,5858775#3,202713#0,1759885#-0,6143389#3,169977#-0,621299#-0,626148#3,128299#1  
frame15 #-0,2432379#0,8732916#3,209496#-0,2293293#0,6742268#3,257751# -0,4131418#0,4575039#2,927108#-0,2241603#0,479801#3,166788#-0,3440377#0,4709101#2,927527#-0,2818282#0,4499714#3,139587#-0,09174494#0,5097666#2,970124#-0,430076#0,3894748#3,353907#-0,08578342#0,5664918#3,183957#-0,3954688#0,5576177#3,263433#-0,2177934#0,3268909#3,27134#-0,2274927#0,2617805#3,230186#-0,1585789#0,1929273#3,210744#-0,2955597#0,1909393#3,234997#0,05933557#-0,2363968#3,220545#-0,5233592#-0,2451519#3,215144#0,1958258#-0,5725263#3,242103#-0,6012763#-0,5909656#3,199977#0,1760442#-0,6127971#3,16752#-0,6210579#-0,6312364#3,125394#1  
frame16 #-0,2453132#0,8713996#3,209596#-0,2306557#0,6717694#3,2566# -0,4049961#0,4452631#2,929908#-0,2394041#0,4760093#3,197026#-0,3363399#0,4578379#2,938215#-0,2949683#0,4432281#3,169119#-0,08654793#0,506403#2,976652#-0,434639#0,3928702#3,39068#-0,08657575#0,5662758#3,182569#-0,3973275#0,558033#3,264199#-0,2176255#0,3269576#3,270989#-0,2274633#0,2618905#3,22998#-0,1585288#0,1930318#3,210725#-0,2953765#0,1907533#3,234483#0,05823312#-0,2283708#3,221031#-0,5234104#-0,2454992#3,214913#0,1956782#-0,5718218#3,241345#-0,6027861#-0,5944565#3,198971#0,175525#-0,6120446#3,167043#-0,6229393#-0,6346793#3,124669#1  
frame17 #-0,2485327#0,8693082#3,210821#-0,2308058#0,6714644#3,256556# -0,3982919#0,4216265#2,927976#-0,2373266#0,4699127#3,185245#-0,3320347#0,4429795#2,936719#-0,2981237#0,4396224#3,167678#-0,08697651#0,5058229#2,977221#-0,4316473#0,3949023#3,392978#-0,09201374#0,5692564#3,180494#-0,3982431#0,5576165#3,265934#-0,2169226#0,3267733#3,270383#-0,2273304#0,2618085#3,229489#-0,1585921#0,1933261#3,210568#-0,2945668#0,1905747#3,233074#0,0591791#-0,2330734#3,221201#-0,5229839#-0,2454351#3,214367#0,1957323#-0,5715722#3,241491#-0,6036254#-0,5956863#3,198857#0,1743842#-0,6116675#3,167738#-0,6249735#-0,6357816#3,125104#1  
frame18 #-0,2490214#0,8692106#3,210684#-0,2298031#0,6708696#3,254357# -0,4070558#0,4112356#2,932266#-0,2345375#0,4669611#3,18989#-0,3399642#0,4314371#2,930964#-0,2969787#0,4374239#3,178069#-0,09851705#0,503454#2,974714#-0,4249938#0,3921928#3,40586#-0,08978451#0,5686877#3,180579#-0,3986362#0,5586873#3,268469#-0,2165356#0,3271718#3,269479#-0,2271488#0,2622035#3,228986#-0,1584999#0,1934062#3,210619#-0,2945581#0,1907851#3,232117#0,06132283#-0,2369706#3,221275#-0,5221097#-0,2451002#3,213919#0,1957682#-0,5715384#3,24145#-0,6038548#-0,598607#3,20338#0,1741475#-0,6115562#3,168049#-0,6234309#-0,6622201#3,172435#1  
frame19 #-0,2489563#0,8695893#3,210337#-0,2299512#0,670646#3,253828# -0,3970116#0,4065589#2,947064#-0,2272845#0,4802411#3,184441#-0,3326751#0,4316281#2,935458#-0,2918525#0,4532136#3,186129#-0,09378069#0,508918#2,97594#-0,4240421#0,4120277#3,410716#-0,08948366#0,5690069#3,178879#-0,3984156#0,5595043#3,269932#-0,2163254#0,3271692#3,268824#-0,2272299#0,2622208#3,228699#-0,1585889#0,1934619#3,210679#-0,2946285#0,1908145#3,231312#0,06153201#-0,2383105#3,221643#-0,5214165#-0,2448736#3,21358#0,1973066#-0,57128#3,24234#-0,6019152#-0,5941673#3,203008#0,1750565#-0,6111767#3,169385#-0,6199462#-0,6587425#3,173715#1  
frame20 #-0,2471416#0,8712996#3,208619#-0,2282321#0,6739225#3,249492# -0,3975738#0,4066639#2,956525#-0,2485149#0,4769304#3,170046#-0,3345526#0,4315679#2,939084#-0,2974634#0,4427489#3,206539#-0,09423544#0,5091801#2,971961#-0,4302731#0,3893224#3,428872#-0,09011929#0,5717789#3,174606#-0,3981464#0,5616024#3,272249#-0,2154522#0,3281609#3,267718#-0,2270766#0,2625939#3,228651#-0,1586067#0,1938416#3,211038#-0,2943398#0,1916273#3,231634#0,06186759#-0,2281289#3,223493#-0,5201498#-0,244929#3,213994#0,1982724#-0,5718001#3,241731#-0,6019398#-0,5944102#3,202851#0,1745119#-0,6118584#3,169291#-0,6257003#-0,6344686#3,130411#1  
frame21 #-0,2449017#0,8710864#3,207745#-0,227275#0,6720752#3,244311# -0,4180288#0,4082012#2,965002#-0,2486498#0,4761497#3,232308#-0,3568143#0,441614#2,959024#-0,3077383#0,4460598#3,209892#-0,1099533#0,5035798#2,957308#-0,4302442#0,400549#3,442189#-0,08766668#0,5719849#3,172623#-0,4009022#0,564659#3,275526#-0,2149936#0,3292394#3,2662#-0,2266199#0,2635329#3,228641#-0,1577346#0,1942279#3,211982#-0,2943159#0,1918089#3,231749#0,06368823#-0,2243878#3,224207#-0,5192684#-0,2449412#3,213764#0,2001221#-0,5717181#3,241712#-0,6007732#-0,5912765#3,203062#0,1756579#-0,6120142#3,169502#-0,6252375#-0,6315727#3,130852#1  
