frame1 #-0,2826132#0,8033536#3,176345#-0,2585735#0,6161346#3,208074# -0,395202#0,3360728#2,780473#-0,243103#0,3696198#3,128109#-0,2878209#0,3795824#2,801046#-0,3150228#0,3436263#3,086676#-0,1078196#0,4333308#2,911576#-0,4734464#0,265485#3,325071#-0,1244393#0,5477284#3,152629#-0,449644#0,4997463#3,25681#-0,2545487#0,2768703#3,216482#-0,2544263#0,2090203#3,219213#-0,1804968#0,1453603#3,210281#-0,3268389#0,1237683#3,227465#0,05942335#-0,2488418#3,204493#-0,5600631#-0,277388#3,202995#0,2087817#-0,5933189#3,190538#-0,6724497#-0,6367555#3,199584#0,1856183#-0,633939#3,11963#-0,7143338#-0,6923656#3,18046#1  
frame2 #-0,2716908#0,8071275#3,181684#-0,2601943#0,6131986#3,210696# -0,4262057#0,3161925#2,810938#-0,2543564#0,3641358#3,120138#-0,3598813#0,3523958#2,814641#-0,3197258#0,3421459#3,089048#-0,1067756#0,4364175#2,916745#-0,47442#0,2618291#3,326487#-0,1218049#0,5437933#3,149521#-0,4491205#0,4989371#3,255476#-0,2547702#0,274713#3,217604#-0,2545454#0,2068129#3,219907#-0,1800902#0,1424264#3,210643#-0,3270376#0,1216212#3,227992#0,05940665#-0,2491464#3,204399#-0,5584113#-0,2705203#3,203237#0,2082743#-0,5948527#3,193064#-0,6741503#-0,6168371#3,20845#0,1837415#-0,6372811#3,118874#-0,7171128#-0,674715#3,185721#1  
frame3 #-0,2740285#0,8092744#3,184618#-0,2600412#0,6132641#3,21149# -0,4244153#0,3177266#2,812783#-0,2560373#0,3641333#3,117735#-0,3590146#0,3538777#2,818469#-0,3208498#0,3409418#3,088105#-0,1064665#0,4356357#2,916644#-0,4765444#0,2604923#3,324703#-0,1223544#0,5452331#3,150391#-0,4496116#0,4985121#3,25511#-0,2547331#0,2746739#3,217836#-0,2545874#0,2067829#3,219841#-0,1801409#0,1424489#3,210514#-0,3272287#0,1212788#3,227849#0,05967671#-0,2493492#3,203765#-0,5572623#-0,2678704#3,20372#0,2089756#-0,5941698#3,192803#-0,6738657#-0,6166259#3,20845#0,1850343#-0,6359012#3,119635#-0,7161746#-0,6745559#3,188591#1  
frame4 #-0,2682989#0,8154738#3,18946#-0,2622041#0,6105016#3,215418# -0,3917417#0,339806#2,837468#-0,2509641#0,3664055#3,107421#-0,249139#0,3838822#2,840983#-0,3176066#0,3430586#3,081791#-0,07691941#0,4418597#2,95452#-0,4816409#0,2608632#3,307599#-0,1247624#0,5472782#3,152593#-0,4492367#0,4931534#3,251921#-0,2550962#0,2708639#3,219933#-0,2553353#0,2027388#3,219395#-0,1808633#0,1407604#3,209851#-0,3274133#0,1150936#3,225905#0,05879743#-0,249095#3,202261#-0,5617598#-0,267984#3,198599#0,2114811#-0,5983077#3,196728#-0,6788071#-0,6113441#3,202283#0,187924#-0,6405344#3,121897#-0,74091#-0,6801445#3,172533#1  
frame5 #-0,2768265#0,794409#3,191496#-0,2629307#0,6080307#3,218354# -0,391771#0,3424713#2,83717#-0,2523851#0,3645511#3,107687#-0,2665023#0,3845624#2,847447#-0,3191021#0,3414967#3,081542#-0,08123484#0,4457368#2,958324#-0,4813315#0,2589198#3,304513#-0,1260832#0,5499904#3,15519#-0,4490373#0,4921178#3,251741#-0,2542105#0,2675245#3,220955#-0,2542933#0,1991053#3,219045#-0,1787017#0,1340279#3,208101#-0,3266968#0,1139665#3,225509#0,05886596#-0,2490931#3,20191#-0,5633775#-0,2684938#3,197501#0,2115438#-0,5993257#3,196798#-0,6786721#-0,6179585#3,202075#0,1885304#-0,6410927#3,122302#-0,7081121#-0,6808869#3,173335#1  
frame6 #-0,2692182#0,7998644#3,185965#-0,2618227#0,6072734#3,219726# -0,3891241#0,3473701#2,831567#-0,2562943#0,3638254#3,109528#-0,296029#0,3777163#2,837867#-0,3212023#0,3417349#3,082945#-0,08507504#0,4451379#2,958118#-0,4819961#0,262136#3,303364#-0,1249141#0,5517251#3,153247#-0,4474202#0,4901409#3,247268#-0,2534037#0,2658988#3,222494#-0,2539752#0,1974607#3,218626#-0,1785868#0,132124#3,207428#-0,3264233#0,1134054#3,224773#0,05814476#-0,2466353#3,200875#-0,5566081#-0,2617493#3,1989#0,2094329#-0,5810888#3,195625#-0,66393#-0,5720245#3,200765#0,1866514#-0,6235524#3,121178#-0,6867114#-0,6144881#3,126318#1  
frame7 #-0,2680773#0,8094317#3,187629#-0,2597868#0,6085327#3,21864# -0,3872184#0,3495132#2,830201#-0,2580576#0,3614124#3,111525#-0,2633147#0,3856376#2,854452#-0,3224982#0,3407884#3,08484#-0,02975916#0,4401203#2,994004#-0,4816776#0,2616259#3,302639#-0,1249997#0,5529118#3,155235#-0,4462592#0,4907897#3,246416#-0,2531663#0,2659971#3,222878#-0,2539722#0,1975257#3,218409#-0,1786532#0,1321762#3,207384#-0,3267059#0,1143351#3,223931#0,05795117#-0,2451913#3,200227#-0,5561584#-0,2602751#3,198885#0,2087477#-0,5703628#3,191797#-0,6621282#-0,5727158#3,201118#0,1863949#-0,6130919#3,11676#-0,6844809#-0,6154448#3,126081#1  
frame8 #-0,2702385#0,8033345#3,187408#-0,2590632#0,608384#3,217786# -0,3902445#0,3423012#2,831539#-0,253617#0,3576526#3,110527#-0,3226795#0,3669111#2,839137#-0,3199298#0,3436026#3,085355#-0,07176828#0,4368668#2,931318#-0,4833958#0,2650489#3,30146#-0,1227324#0,5545865#3,158177#-0,4441936#0,4910952#3,24315#-0,2515493#0,2663269#3,22324#-0,2524051#0,1981322#3,217705#-0,1773961#0,1316352#3,207531#-0,3237449#0,1171746#3,222258#0,04647025#-0,216504#3,199973#-0,5557567#-0,2592487#3,198775#0,2082289#-0,5693979#3,191481#-0,6663407#-0,5803888#3,198969#0,1872695#-0,6122015#3,115961#-0,6873001#-0,6231923#3,123448#1  
frame9 #-0,2612661#0,8052266#3,18279#-0,2570687#0,6074278#3,218176# -0,3515922#0,3545156#2,819687#-0,252595#0,3590977#3,120023#-0,2569568#0,3820138#2,832684#-0,3168451#0,3413417#3,089124#-0,0796625#0,4380218#2,921781#-0,4814462#0,2621591#3,303439#-0,1182512#0,5541928#3,164934#-0,4433599#0,4902581#3,243313#-0,2502576#0,2665345#3,223915#-0,2512972#0,198678#3,217193#-0,176735#0,1315735#3,207775#-0,3221917#0,1178868#3,220057#0,0536128#-0,2305639#3,199427#-0,5571345#-0,2596428#3,198#0,2084535#-0,5675552#3,192187#-0,66797#-0,5830043#3,200329#0,1892325#-0,6101308#3,116496#-0,687191#-0,6255798#3,124638#1  
frame10 #-0,2522262#0,8057578#3,180246#-0,2551633#0,6065224#3,215515# -0,3904615#0,3406011#2,844832#-0,08647101#0,4441712#2,903522#-0,3198735#0,358033#2,838609#-0,1754#0,4025568#2,963111#-0,06976538#0,4364238#2,928223#-0,3434687#0,3190352#3,174535#-0,1134501#0,5507494#3,159157#-0,4402041#0,4907081#3,243849#-0,2477669#0,2666977#3,223757#-0,2494777#0,1990072#3,215595#-0,1756916#0,1311334#3,207059#-0,3202438#0,118922#3,218119#0,05438175#-0,2344169#3,200126#-0,5533901#-0,2570202#3,199612#0,2083882#-0,5671489#3,194701#-0,6684431#-0,5882239#3,202269#0,1881315#-0,6093061#3,120194#-0,6886999#-0,6303811#3,127762#1  
frame11 #-0,2512661#0,8052369#3,179086#-0,2523327#0,6066132#3,213827# -0,3993646#0,3201167#2,837883#-0,09657968#0,4324514#2,894072#-0,3305901#0,3402006#2,848089#-0,1857831#0,3874222#2,973029#-0,07783775#0,4215693#2,929618#-0,3400103#0,3129166#3,200262#-0,1125936#0,5439646#3,16057#-0,4360044#0,4904635#3,244359#-0,2458916#0,2660995#3,223426#-0,2479149#0,1982688#3,214985#-0,1747122#0,1301326#3,206961#-0,3176656#0,1196353#3,217316#0,05653583#-0,2363711#3,20072#-0,552835#-0,2567771#3,19959#0,2086806#-0,5672418#3,195513#-0,6671025#-0,5838925#3,206003#0,1886413#-0,6091404#3,121536#-0,6871418#-0,625791#3,132025#1  
