frame1 #-0,2366209#0,8992751#3,176786#-0,2282429#0,6903648#3,208458# -0,2701806#0,4173834#2,836231#-0,0359955#0,4705574#2,940142#-0,1766501#0,4073789#2,864062#-0,2857246#0,4088717#3,080208#-0,0256859#0,4618239#2,975271#-0,4669798#0,365515#3,266586#-0,07429057#0,595794#3,161098#-0,4175503#0,572764#3,210741#-0,2298922#0,3446156#3,218478#-0,2320677#0,2758057#3,211126#-0,1555481#0,203609#3,209086#-0,310015#0,1932455#3,209201#0,04484577#-0,248741#3,236763#-0,4966035#-0,239483#3,235183#0,1805334#-0,5578951#3,232896#-0,6341961#-0,5892319#3,223246#0,2654191#-0,6382278#3,200274#-0,6911799#-0,652647#3,19541#1  
frame2 #-0,2394218#0,8850308#3,177683#-0,231026#0,6859322#3,210074# -0,3400179#0,4517445#2,84304#-0,04210132#0,4940418#2,947238#-0,2584993#0,4439835#2,868281#-0,2823212#0,4067584#3,084498#-0,02336088#0,4625598#2,970187#-0,4652401#0,3564138#3,271573#-0,07546841#0,5976442#3,159326#-0,4177929#0,568267#3,209772#-0,2305253#0,3421127#3,21979#-0,232453#0,2735932#3,212365#-0,155701#0,2030886#3,209771#-0,3098955#0,188656#3,211202#0,04514325#-0,2327415#3,231062#-0,4989432#-0,2403614#3,233923#0,184038#-0,560831#3,231928#-0,6357268#-0,5914811#3,225626#0,2687306#-0,6419621#3,200812#-0,6980177#-0,6536653#3,195976#1  
frame3 #-0,2465645#0,8780035#3,178642#-0,2442204#0,6674544#3,201568# -0,3615152#0,3771805#2,814343#-0,1102426#0,4635954#2,902805#-0,2308305#0,423124#2,831398#-0,1652039#0,4409136#2,967727#-0,04629135#0,4602642#2,953929#-0,3300876#0,372868#3,175901#-0,08752522#0,5919306#3,142763#-0,4290095#0,5390333#3,228854#-0,2360237#0,3285185#3,218529#-0,2375285#0,2603446#3,21366#-0,1596783#0,1947692#3,209733#-0,3134972#0,1710222#3,21732#0,05195335#-0,2344003#3,219908#-0,5159218#-0,2517658#3,22752#0,1894328#-0,5646629#3,214803#-0,6429358#-0,5877522#3,225473#0,165415#-0,6180782#3,121615#-0,702628#-0,6558207#3,197934#1  
frame4 #-0,2671469#0,8299559#3,172977#-0,2478532#0,6465325#3,199944# -0,3650532#0,3678666#2,801437#-0,06678245#0,5025621#2,933063#-0,2307023#0,4194659#2,826154#-0,1665139#0,439184#2,968489#-0,06697478#0,4492432#2,943321#-0,3296816#0,3669467#3,178251#-0,09181082#0,5882069#3,14346#-0,4312367#0,5323676#3,23266#-0,2388078#0,3183909#3,219289#-0,239795#0,2519787#3,215895#-0,1622522#0,1879328#3,211503#-0,3149606#0,1619756#3,221323#0,05473726#-0,2383041#3,217278#-0,5250566#-0,2529649#3,222498#0,1918302#-0,5678917#3,211664#-0,6432148#-0,5878958#3,225218#0,1669995#-0,6217804#3,118625#-0,7037193#-0,6544564#3,192298#1  
frame5 #-0,2663056#0,834228#3,176574#-0,2483165#0,6432013#3,201175# -0,368346#0,3567375#2,792713#-0,2651496#0,3882072#3,01342#-0,2855264#0,3816441#2,807723#-0,31679#0,3671443#3,083037#-0,08334588#0,4467205#2,917203#-0,4717113#0,3039555#3,305208#-0,0965565#0,5788369#3,143824#-0,4318185#0,529353#3,233875#-0,2427156#0,3077035#3,221534#-0,2443074#0,2398612#3,219653#-0,1686365#0,1744968#3,215669#-0,3184875#0,1532854#3,224843#0,0553176#-0,2401553#3,215495#-0,5296667#-0,2512555#3,219418#0,2002802#-0,574205#3,203899#-0,6431666#-0,5885139#3,225626#0,1752009#-0,6277113#3,111889#-0,7016307#-0,6542819#3,195286#1  
frame6 #-0,2672109#0,8326455#3,177195#-0,249492#0,6392879#3,19965# -0,3738101#0,3464863#2,78193#-0,2621429#0,3574466#3,141885#-0,2858788#0,3811915#2,807476#-0,3221469#0,3539525#3,102707#-0,08848387#0,4427375#2,910957#-0,4727056#0,2841444#3,330061#-0,1025949#0,5696621#3,14183#-0,4339316#0,5246133#3,23782#-0,2458105#0,2987542#3,220683#-0,2475875#0,230122#3,220146#-0,1727112#0,1648252#3,216285#-0,3213165#0,1452344#3,226419#0,05479461#-0,2400436#3,213198#-0,5323681#-0,2501095#3,217591#0,1965901#-0,569702#3,202333#-0,6482003#-0,5907857#3,216849#0,1698844#-0,6229078#3,111559#-0,7074855#-0,6597093#3,20108#1  
frame7 #-0,2690035#0,817523#3,177408#-0,2529437#0,632282#3,205044# -0,3745893#0,3438889#2,781114#-0,2628215#0,3612088#3,134305#-0,2857554#0,3810782#2,807488#-0,3225716#0,3544577#3,098672#-0,09752318#0,4501643#2,907207#-0,4751255#0,2849896#3,327073#-0,1049499#0,5687354#3,142532#-0,4381596#0,5162629#3,24379#-0,2481032#0,2923665#3,221368#-0,2494831#0,2240828#3,22085#-0,1742316#0,1606476#3,21629#-0,3234635#0,1362939#3,226552#0,0493195#-0,2173082#3,210812#-0,535466#-0,2503678#3,215938#0,1965244#-0,5687431#3,202051#-0,6526994#-0,5915374#3,21501#0,1688029#-0,6209152#3,112712#-0,7119799#-0,6575703#3,194664#1  
frame8 #-0,2683191#0,8185297#3,177557#-0,2520933#0,6311117#3,205457# -0,37597#0,341611#2,783902#-0,2641261#0,360496#3,129615#-0,2891906#0,3786259#2,807812#-0,3232997#0,3524421#3,096561#-0,09963053#0,4500889#2,915987#-0,474668#0,2825196#3,326572#-0,109109#0,5622211#3,146853#-0,440702#0,510685#3,247015#-0,2486463#0,2908285#3,221447#-0,2500817#0,2224726#3,221573#-0,1752625#0,1588402#3,217051#-0,324285#0,134816#3,22736#0,04941282#-0,2254927#3,209113#-0,5400728#-0,2507436#3,214546#0,1961268#-0,5682932#3,200893#-0,6565589#-0,5913545#3,212866#0,168842#-0,6199113#3,112439#-0,6838436#-0,6429726#3,124412#1  
frame9 #-0,2722166#0,8057686#3,182388#-0,2595845#0,6177245#3,209309# -0,395882#0,3345078#2,809068#-0,2707978#0,3598516#3,132109#-0,2965287#0,3750886#2,821124#-0,3250088#0,3421022#3,098166#-0,08960717#0,4571798#2,944809#-0,4742987#0,2666288#3,328806#-0,119046#0,5504014#3,148492#-0,4466326#0,5028425#3,252504#-0,2524925#0,2813588#3,220839#-0,2528166#0,213917#3,221669#-0,1779333#0,1464359#3,213686#-0,3260916#0,1303774#3,229022#0,05005928#-0,2305735#3,205629#-0,5445507#-0,2519093#3,211728#0,1962394#-0,5674612#3,195524#-0,6638774#-0,5869766#3,208215#0,1682664#-0,6176442#3,109582#-0,6918503#-0,6371596#3,122273#1  
frame10 #-0,2729693#0,8106102#3,185949#-0,2596802#0,6151899#3,212106# -0,4094887#0,3263228#2,812328#-0,2701598#0,3592451#3,122858#-0,353712#0,3585307#2,829282#-0,3275031#0,3392608#3,095505#-0,1045527#0,4392704#2,925444#-0,4775334#0,2623414#3,325666#-0,1206284#0,5472579#3,152133#-0,448103#0,5009471#3,252763#-0,2532428#0,2799163#3,220695#-0,2535531#0,2126245#3,221294#-0,1787908#0,1448455#3,212541#-0,3267626#0,1295072#3,228584#0,05347897#-0,2366019#3,203633#-0,546473#-0,2520488#3,210006#0,1949819#-0,5656548#3,193285#-0,6643668#-0,5859777#3,210261#0,1678356#-0,6153588#3,107425#-0,6915131#-0,6356817#3,124401#1  
frame11 #-0,2715354#0,8169397#3,19091#-0,2612852#0,6143864#3,213862# -0,4072148#0,3320487#2,810783#-0,2616769#0,3636172#3,11578#-0,3234758#0,3614943#2,825749#-0,3207322#0,3415678#3,094491#-0,1388647#0,4244653#2,899276#-0,4800321#0,2625011#3,319081#-0,1215976#0,5472232#3,153465#-0,4485227#0,4999974#3,252424#-0,2535571#0,2793277#3,220865#-0,2537882#0,2120769#3,221058#-0,1789121#0,1446222#3,21223#-0,3267918#0,1288707#3,228059#0,05385904#-0,2374164#3,202995#-0,5486591#-0,2524404#3,207943#0,1954084#-0,565649#3,193581#-0,6643699#-0,5846723#3,210004#0,1685583#-0,6152684#3,107531#-0,69122#-0,6342916#3,123953#1  
frame12 #-0,270602#0,8134789#3,191177#-0,2610214#0,6109167#3,216347# -0,3709745#0,350327#2,815267#-0,2606387#0,3612348#3,109137#-0,2834278#0,3812203#2,821386#-0,3218354#0,3406982#3,085426#-0,10666#0,4333462#2,924#-0,480566#0,2590814#3,310641#-0,1226206#0,5404282#3,156507#-0,449356#0,4930295#3,250994#-0,2536551#0,2740036#3,221805#-0,2541205#0,2063894#3,220196#-0,1795966#0,1390185#3,209635#-0,3267631#0,1231027#3,226895#0,05422794#-0,2386224#3,202163#-0,5550155#-0,2548969#3,203406#0,1979269#-0,5652702#3,190468#-0,6702658#-0,5864254#3,206729#0,1721875#-0,61438#3,10449#-0,6960052#-0,6355352#3,120751#1  
frame13 #-0,276301#0,7949831#3,192019#-0,2622942#0,6078601#3,219335# -0,3632448#0,3524686#2,837674#-0,259869#0,3612906#3,10587#-0,2748619#0,3825979#2,8446#-0,3215592#0,340607#3,082287#-0,09949396#0,4493685#2,936535#-0,481122#0,258744#3,304398#-0,1264055#0,5479621#3,157077#-0,4492867#0,4916797#3,250984#-0,2529489#0,2707071#3,222938#-0,2533812#0,2030031#3,219597#-0,1788206#0,1355131#3,208485#-0,3252599#0,1208482#3,22583#0,05480646#-0,2395403#3,201071#-0,5572728#-0,2547501#3,200965#0,201213#-0,5684335#3,190528#-0,6708207#-0,5859277#3,204873#0,1752639#-0,6171501#3,104899#-0,6967698#-0,6346443#3,119244#1  
frame14 #-0,2694299#0,7999505#3,188695#-0,2608731#0,6074798#3,21979# -0,4074713#0,3363816#2,836306#-0,2596466#0,3596956#3,107044#-0,3444777#0,3646672#2,831008#-0,3210693#0,3393748#3,082332#-0,09746028#0,4453291#2,932628#-0,4810988#0,2560402#3,303526#-0,124771#0,5518206#3,159482#-0,4466123#0,4904378#3,247986#-0,2523704#0,2701587#3,22347#-0,2530088#0,2025101#3,219294#-0,1786937#0,1352242#3,208061#-0,3247651#0,1203137#3,225479#0,05474254#-0,2395555#3,201033#-0,5578635#-0,2554191#3,200482#0,2012081#-0,5677545#3,190667#-0,6707853#-0,5869539#3,205527#0,1765222#-0,6163063#3,104822#-0,6954712#-0,6355057#3,119682#1  
frame15 #-0,2675686#0,7992982#3,186017#-0,2600963#0,6068051#3,220632# -0,3955196#0,3446206#2,837701#-0,260493#0,3619496#3,107286#-0,3308984#0,3695783#2,837437#-0,3214366#0,3417617#3,081264#-0,08589343#0,445026#2,948147#-0,4820109#0,2619501#3,302019#-0,12368#0,5527299#3,154942#-0,4459106#0,4900005#3,245721#-0,2512#0,2671376#3,225301#-0,2524828#0,1991619#3,21874#-0,1780831#0,1321421#3,207547#-0,324416#0,1176974#3,224437#0,05495997#-0,2398676#3,20057#-0,5562423#-0,2552138#3,199819#0,2052263#-0,5677758#3,191108#-0,6681466#-0,5808973#3,203154#0,1800707#-0,615936#3,105944#-0,6933022#-0,6290575#3,117991#1  
frame16 #-0,2671476#0,8093722#3,188125#-0,2585782#0,608067#3,219568# -0,3868708#0,3504365#2,828699#-0,2607314#0,3603911#3,108633#-0,2711937#0,3826982#2,867206#-0,321812#0,3413042#3,082379#-0,02967046#0,4395364#2,993653#-0,4817493#0,261554#3,301614#-0,1239913#0,5535735#3,156468#-0,4452123#0,4905245#3,245344#-0,2511193#0,26719#3,225608#-0,2525592#0,1991932#3,218587#-0,1782447#0,1322928#3,207625#-0,3249219#0,118034#3,2239#0,05531288#-0,240189#3,200277#-0,5561163#-0,2551073#3,199749#0,2054229#-0,5644351#3,190505#-0,6646813#-0,579649#3,203153#0,180687#-0,6126502#3,10519#-0,6894171#-0,627864#3,117838#1  
frame17 #-0,2665721#0,8122937#3,187142#-0,2581773#0,6083274#3,21889# -0,3833669#0,3471259#2,83669#-0,2592869#0,3586453#3,109996#-0,3188657#0,3719392#2,84043#-0,3207636#0,3410423#3,083522#-0,0676292#0,438957#2,93742#-0,481712#0,2608538#3,302375#-0,1240993#0,5548589#3,157963#-0,4440404#0,4910728#3,243163#-0,2503406#0,2679231#3,225859#-0,2518737#0,2001402#3,218096#-0,1770711#0,1334387#3,208023#-0,3237374#0,1201171#3,222597#0,05604858#-0,2407249#3,20031#-0,5558511#-0,2550216#3,199544#0,2085129#-0,5710986#3,192726#-0,6669477#-0,5809693#3,203185#0,1846116#-0,6193803#3,10709#-0,6908489#-0,6292511#3,117548#1  
frame18 #-0,2660511#0,8048236#3,186885#-0,2574319#0,6078017#3,218633# -0,3832796#0,3473607#2,825975#-0,2550315#0,3546373#3,114072#-0,1995479#0,3998622#2,853597#-0,3178375#0,341597#3,087591#-0,03736964#0,4491957#2,990081#-0,4811267#0,2607943#3,303406#-0,1205164#0,5557168#3,165307#-0,4437255#0,4900987#3,243025#-0,2497591#0,267642#3,226147#-0,2512088#0,1999429#3,217683#-0,1765017#0,1328849#3,208211#-0,3226488#0,1193159#3,220872#0,05186414#-0,228246#3,199897#-0,5574508#-0,2563519#3,198535#0,209724#-0,571296#3,192791#-0,6686211#-0,5846049#3,202077#0,1879724#-0,6195357#3,106642#-0,6903727#-0,6328447#3,115928#1  
frame19 #-0,2625737#0,8082452#3,186542#-0,2571373#0,6081774#3,219469# -0,3542617#0,3532774#2,820721#-0,255255#0,3579301#3,115013#-0,2631864#0,3780178#2,830073#-0,3174238#0,341383#3,087175#-0,08207136#0,4356101#2,911423#-0,4812399#0,2610696#3,303668#-0,1196324#0,549334#3,171205#-0,44324#0,4904573#3,244034#-0,2497508#0,2674289#3,226543#-0,2511297#0,1996273#3,217564#-0,1765401#0,1326594#3,208123#-0,3225589#0,1189972#3,220594#0,05258137#-0,2317129#3,200342#-0,5577217#-0,2568956#3,198303#0,2096687#-0,5707123#3,19251#-0,668649#-0,5845863#3,203015#0,1892307#-0,6188903#3,106014#-0,689087#-0,6327643#3,11652#1  
frame20 #-0,25801#0,8088376#3,183572#-0,2561756#0,6075367#3,219189# -0,3456281#0,3565011#2,822267#-0,08106378#0,4493091#2,910003#-0,2538372#0,3820624#2,83188#-0,3153757#0,3388969#3,090161#-0,07644893#0,4326914#2,927982#-0,4803978#0,2588715#3,306417#-0,1174738#0,5495852#3,169944#-0,4422623#0,4904487#3,244107#-0,2491512#0,2669092#3,226857#-0,2508499#0,1991554#3,217254#-0,1762797#0,1321337#3,207829#-0,322508#0,1183666#3,220448#0,05223481#-0,2352433#3,200822#-0,5564922#-0,2570616#3,198608#0,2072563#-0,5781219#3,201542#-0,6688734#-0,5839595#3,202834#0,1866082#-0,6261061#3,115436#-0,6895215#-0,6319436#3,116728#1  
frame21 #-0,2535289#0,8070682#3,1822#-0,2549951#0,6073626#3,218441# -0,3386885#0,3568521#2,824513#-0,08533735#0,4433253#2,90167#-0,2475424#0,3828807#2,843446#-0,1745726#0,4019441#2,963826#-0,06796017#0,4341032#2,934905#-0,3437301#0,3175968#3,175302#-0,114008#0,5495945#3,167403#-0,4402377#0,4904243#3,243811#-0,2474698#0,2675656#3,226572#-0,2494646#0,2001026#3,216049#-0,1754624#0,1321185#3,207381#-0,320524#0,1200629#3,218377#0,0561333#-0,2395878#3,200508#-0,5538251#-0,2558559#3,200152#0,2131047#-0,5771482#3,199978#-0,6678976#-0,5869151#3,204207#0,1920993#-0,6247504#3,11462#-0,688903#-0,6345173#3,11885#1  
frame22 #-0,2511686#0,8048207#3,181289#-0,2545091#0,6063977#3,216078# -0,3396533#0,3462952#2,825547#-0,08640251#0,4441693#2,903614#-0,2475112#0,3710733#2,841311#-0,1736782#0,4024062#2,963702#-0,07084487#0,4348651#2,930365#-0,3422537#0,318122#3,175865#-0,1115827#0,5491347#3,161087#-0,4396287#0,4906616#3,24399#-0,2468076#0,2676803#3,226047#-0,2490503#0,2002484#3,215715#-0,1751372#0,1319941#3,207325#-0,3201234#0,1203225#3,218116#0,05686117#-0,240524#3,200651#-0,5528677#-0,2555744#3,20056#0,2124983#-0,5753385#3,199256#-0,6681043#-0,5868883#3,20391#0,1900826#-0,6229975#3,114432#-0,69052#-0,6345472#3,119086#1  
frame23 #-0,2494267#0,8042017#3,178072#-0,2501403#0,6064473#3,212246# -0,3279821#0,3351181#2,827662#-0,1179496#0,4290567#2,923017#-0,2364741#0,3658921#2,835065#-0,1672701#0,4031542#2,995738#-0,0710857#0,4330576#2,945167#-0,3152315#0,3254469#3,227068#-0,1077448#0,5443508#3,158539#-0,4326946#0,4910166#3,245836#-0,2439448#0,268306#3,224036#-0,246649#0,2009017#3,214461#-0,1740978#0,132378#3,207235#-0,3168433#0,1221681#3,216463#0,05856392#-0,2417816#3,201058#-0,5519415#-0,2555229#3,20051#0,2112886#-0,570994#3,196782#-0,6683434#-0,5874091#3,205762#0,1877577#-0,6186354#3,112589#-0,6918743#-0,6350505#3,121569#1  
frame24 #-0,2491425#0,8044289#3,176442#-0,2478155#0,6077861#3,209225# -0,3326102#0,335793#2,856801#-0,09908444#0,4323702#2,878979#-0,2402515#0,3647677#2,864555#-0,1882146#0,3886815#2,977008#-0,05786238#0,4408191#2,961127#-0,3321781#0,317502#3,213#-0,1068226#0,5460173#3,15355#-0,4257854#0,4973469#3,24937#-0,2421896#0,2694506#3,222275#-0,2452979#0,2019494#3,213491#-0,1729812#0,1340609#3,206922#-0,3153996#0,1238125#3,215404#0,05941009#-0,24308#3,201588#-0,5507422#-0,2558#3,200871#0,2130543#-0,5734465#3,197399#-0,6674293#-0,5879938#3,20525#0,1870883#-0,6211515#3,114044#-0,6933952#-0,6356989#3,121896#1  
frame25 #-0,2513048#0,8018998#3,175394#-0,2462875#0,6087028#3,20861# -0,3783539#0,3241788#2,855155#-0,1018828#0,4332043#2,876727#-0,250932#0,3695603#2,868666#-0,1890049#0,392253#2,982542#-0,03710315#0,436244#2,968952#-0,3292404#0,3216681#3,22019#-0,1065776#0,5453222#3,150576#-0,4229917#0,5010437#3,251781#-0,2404521#0,2695874#3,221225#-0,2436562#0,201945#3,212893#-0,1722872#0,1340657#3,206632#-0,3127645#0,1249673#3,214808#0,05954911#-0,2430465#3,201679#-0,5489475#-0,2562092#3,201218#0,2123865#-0,5726223#3,196824#-0,664713#-0,5870289#3,207572#0,1849315#-0,6202964#3,113995#-0,692168#-0,6347029#3,124743#1  
