frame1 #-0,1157184#0,9591349#3,723543#0,00279787#0,7783938#3,593388# 0,3560234#0,2713455#3,413243#-0,03469811#0,5349433#3,162799#0,4014115#0,3441162#3,465882#-0,08425085#0,5105027#3,203506#0,2297808#0,4081762#3,574905#-0,2329091#0,437181#3,340692#0,1484435#0,6271681#3,542672#-0,1219051#0,6307012#3,466048#0,01491457#0,3670241#3,543014#0,03510417#0,3033538#3,474797#0,1000803#0,2415708#3,475816#-0,02157663#0,2431608#3,439458#-0,0163126#-0,2759838#3,651724#0,1146853#-0,2808828#3,423899#0,0142128#-0,5993258#3,325735#0,006769668#-0,6082142#3,312898#0,009714961#-0,691918#3,332848#0,04564858#-0,6926593#3,314159#1  
frame12 #0,110751#1,012163#3,623239#0,04241261#0,7948436#3,531392# 0,2298334#0,2588273#3,523954#0,2390658#0,3275847#3,442823#0,2255687#0,3151#3,474579#0,169496#0,3858676#3,430321#0,1106135#0,3990366#3,254294#-0,03921357#0,5607163#3,407644#0,0767049#0,6217982#3,335646#-0,1279524#0,7230071#3,640039#0,0495428#0,3770414#3,515633#0,001005363#0,3017182#3,479753#0,03879734#0,2275316#3,411089#-0,0442529#0,2396733#3,537095#-0,09108497#-0,3092156#3,769476#0,06826263#-0,2637552#3,395797#-0,1448588#-0,6395253#3,77607#-0,0165218#-0,6249188#3,313481#-0,1056816#-0,6451483#3,656466#-0,09727515#-0,6732618#3,257418#1  
frame13 #0,1352817#0,9831305#3,620263#0,01937851#0,7817765#3,55403# 0,1864485#0,2069004#3,499268#0,1329442#0,3476787#3,290843#0,1790116#0,2569088#3,443495#0,1060032#0,3339322#3,359778#0,08792605#0,3821352#3,276872#-0,07829668#0,5260689#3,434277#0,04962116#0,6102634#3,360934#-0,140745#0,7125329#3,6575#0,04181078#0,4007741#3,531621#-0,008353004#0,3395374#3,496606#0,02703322#0,2570915#3,532076#-0,05340132#0,2819475#3,438689#-0,1175419#-0,2970769#3,797861#0,03201924#-0,2576916#3,382897#-0,141787#-0,6383052#3,775435#-0,01726327#-0,6235875#3,311138#-0,09016261#-0,6390299#3,660168#-0,09936035#-0,6720068#3,256571#1  
frame14 #0,1377186#0,9778146#3,636285#0,01669859#0,7804337#3,558606# 0,1695822#0,2077062#3,520525#0,1405686#0,3056582#3,439941#0,1621228#0,2578659#3,464582#0,08750521#0,3318305#3,393031#0,08554109#0,3807356#3,280908#-0,1148434#0,527819#3,421673#0,04746692#0,6093512#3,364805#-0,144492#0,7100621#3,66429#0,02722953#0,3450247#3,523806#-0,02262847#0,2694405#3,481053#0,01553652#0,2049027#3,487831#-0,06759375#0,2310066#3,453759#-0,1224469#-0,2930767#3,796241#0,0281181#-0,2588552#3,383082#-0,1281539#-0,5916299#3,777227#-0,01591336#-0,6225702#3,308397#-0,07965462#-0,6045327#3,661017#-0,09806837#-0,6708788#3,253325#1  
frame15 #0,1352957#0,9600508#3,666787#0,009009176#0,7653097#3,58893# 0,08031766#0,1791856#3,51411#0,1002012#0,2784759#3,426274#0,0728336#0,2295111#3,457983#0,04203424#0,3028135#3,384284#0,07813622#0,365396#3,310937#-0,1482323#0,5071909#3,449829#0,04020553#0,5949609#3,394373#-0,152446#0,6936696#3,696396#0,01930923#0,3406146#3,544239#-0,03171326#0,2671966#3,502503#0,005981764#0,2057288#3,519519#-0,07842863#0,2238971#3,468292#-0,1420433#-0,3012858#3,803092#0,01762496#-0,2662415#3,383187#-0,1501955#-0,5982462#3,791334#-0,01505415#-0,6197081#3,30457#-0,1278573#-0,6110308#3,66707#-0,09742589#-0,6680256#3,249278#1  
frame16 #0,1373661#0,9629649#3,682965#0,01206183#0,7660995#3,61096# 0,08353975#0,1753021#3,536149#0,09308819#0,2720636#3,445374#0,07603784#0,2257476#3,479888#0,0347826#0,2964592#3,403284#0,08121546#0,366125#3,332993#-0,157751#0,5080299#3,466085#0,0432591#0,5956749#3,416936#-0,1493094#0,694659#3,717427#0,01567672#0,3353627#3,559741#-0,03576275#0,2625756#3,51568#0,005480785#0,2056824#3,520009#-0,08854821#0,2174382#3,50508#-0,1531754#-0,2772138#3,792712#0,01575434#-0,2679584#3,384029#-0,1502561#-0,5897833#3,797807#-0,01527197#-0,6187263#3,304228#-0,09835844#-0,6046579#3,682675#-0,09740013#-0,6671138#3,248188#1  
frame17 #0,1400848#0,9735273#3,749932#0,01315049#0,7765014#3,683168# -0,1138884#0,1142233#3,443562#0,006976627#0,2416804#3,469637#-0,1214049#0,1647666#3,387191#-0,05144211#0,2661233#3,427464#0,08231094#0,3764949#3,404984#-0,1702918#0,5187864#3,534097#0,04429471#0,6060262#3,489019#-0,1480724#0,7051945#3,789844#0,01754232#0,3228366#3,596564#-0,0333555#0,2496227#3,543615#0,005338884#0,1929982#3,533148#-0,08236993#0,2150975#3,52416#-0,1556429#-0,2908821#3,794157#0,01415936#-0,2689636#3,386606#-0,1544745#-0,5836687#3,806628#-0,01883053#-0,6162856#3,303688#-0,1038619#-0,5992246#3,690762#-0,100532#-0,6649489#3,246873#1  
frame18 #0,1324998#0,9691202#3,766088#0,0008886568#0,7751328#3,693369# -0,1278276#0,1102209#3,468672#-0,0009750277#0,2385101#3,472025#-0,1353705#0,160942#3,412103#-0,05959905#0,2630389#3,429704#0,07004911#0,3751262#3,415176#-0,178278#0,5185601#3,538873#0,03203288#0,6046576#3,49922#-0,1603342#0,7038258#3,800045#0,01218613#0,3288568#3,607767#-0,03784285#0,2556764#3,556329#0,005033301#0,2037512#3,548643#-0,08871484#0,2164648#3,537321#-0,1541065#-0,3055933#3,801768#0,0145755#-0,2689489#3,388715#-0,1569536#-0,5979214#3,808209#-0,02044228#-0,6159666#3,303159#-0,1060777#-0,6101883#3,691664#-0,1025815#-0,664673#3,246395#1  
frame19 #0,1119342#0,9485949#3,888309#-0,03117987#0,7764362#3,766559# -0,1433784#0,09910476#3,47261#-0,0914124#0,2282715#3,50391#-0,1509435#0,1499754#3,415875#-0,1502093#0,2528726#3,461464#0,03798059#0,3764296#3,48828#-0,1641006#0,5238745#3,605538#-3,56473E-05#0,605961#3,57241#-0,1924027#0,7051293#3,873234#0,001444057#0,346167#3,647321#-0,04318966#0,2740081#3,586147#-0,001662754#0,2215025#3,586691#-0,08868122#0,2285857#3,549199#-0,1454135#-0,300413#3,794652#0,01587474#-0,2678292#3,392294#-0,1591609#-0,5896169#3,811691#-0,02261081#-0,615447#3,290986#-0,1065209#-0,607267#3,696268#-0,1046531#-0,6644307#3,233767#1  
frame20 #-0,01005805#1,038449#3,905054#-0,03542938#0,8046161#3,83103# -0,1136828#0,119239#3,488518#-0,1851361#0,1902411#3,504611#-0,1212574#0,1701729#3,431711#-0,1668199#0,2790594#3,547037#0,03373108#0,4046095#3,552842#-0,1118714#0,5455142#3,68945#-0,004285157#0,6341409#3,636881#-0,1966522#0,7333092#3,937706#-0,01601103#0,352134#3,669559#-0,06139994#0,2824837#3,604312#-0,02466231#0,2327553#3,58184#-0,1080122#0,2399597#3,599045#-0,1421534#-0,2992338#3,793123#0,01615947#-0,2668061#3,393386#-0,160653#-0,5867872#3,810369#-0,0336821#-0,5914436#3,238509#-0,108142#-0,6051036#3,694789#0,02662392#-0,6557003#3,199239#1  
frame21 #-0,05736794#1,026451#3,963445#-0,05130596#0,8005633#3,843471# -0,1010424#0,09161741#3,477679#-0,2299098#0,17771#3,548567#-0,1086577#0,1428251#3,420567#-0,2043112#0,2685191#3,582883#0,06560666#0,3298961#3,526395#-0,1275155#0,5409465#3,701076#-0,009086968#0,614415#3,620991#-0,2125288#0,7292564#3,950146#-0,01796337#0,3459568#3,678379#-0,06252947#0,2740617#3,612565#-0,02050851#0,2122138#3,56601#-0,1093096#0,1999589#3,622801#-0,1395507#-0,317759#3,811582#0,01703219#-0,2677494#3,393516#-0,1703166#-0,6459094#3,78632#-0,03577128#-0,6113366#3,195973#-0,1018812#-0,6567342#3,677725#-0,1179481#-0,6612979#3,138546#1  
frame22 #-0,1031462#0,9400522#4,027023#-0,104314#0,735954#3,86382# 0,07553756#0,3192293#3,36797#-0,5820244#0,6105291#3,782298#0,03883912#0,3593713#3,421141#-0,530251#0,5862203#3,828313#0,1945361#0,4732893#3,542464#-0,3749306#0,5132939#3,981473#0,01886983#0,5976348#3,696893#-0,2039562#0,6105909#3,787374#-0,04989076#0,3085309#3,696727#-0,06460401#0,2523951#3,615923#-0,01310091#0,2023065#3,576275#-0,1165486#0,1941334#3,609161#-0,123444#-0,3187748#3,824419#0,02595096#-0,2637528#3,331702#-0,1950283#-0,6012685#3,818099#-0,06037482#-0,5935408#3,101426#-0,1704758#-0,6072003#3,692924#0,004306566#-0,6574289#3,076065#1  
frame23 #-0,1447947#0,9002998#3,808198#-0,07459947#0,6966721#3,674131# -0,04994741#0,4825234#3,379545#-0,1756013#0,1444032#3,561402#0,02422604#0,4843892#3,430266#-0,1920051#0,1985504#3,509019#0,2467464#0,4899867#3,597684#-0,2412164#0,360992#3,367128#0,06160254#0,5632763#3,568565#-0,151214#0,5126626#3,517183#-0,02266078#0,2515128#3,568924#-0,005735975#0,1890201#3,489932#0,05021963#0,1530117#3,476308#-0,05141446#0,1353242#3,468314#-0,1094101#-0,3754912#3,790801#0,04704323#-0,3054917#3,193424#-0,1541147#-0,6212686#3,796949#-0,02251267#-0,6180398#2,931144#-0,133404#-0,6285095#3,672779#0,03045688#-0,6870713#2,897754#1  
