frame1 #0,2170362#0,987231#3,672405#0,2112004#0,7841843#3,577267# 0,4708579#0,2787223#3,230923#-0,3653819#0,4602355#3,548337#0,4815865#0,2809757#3,29722#-0,3022889#0,4384943#3,540456#0,4444595#0,4502136#3,391508#-0,159971#0,5657116#3,556822#0,2936125#0,621125#3,453627#0,04062437#0,6501135#3,563506#0,1946894#0,3964353#3,569866#0,1679545#0,3307715#3,514755#0,2190881#0,2635567#3,481264#0,1052434#0,2766016#3,527725#0,1408085#-0,1744594#3,729511#0,2471058#-0,2105229#3,416542#0,1477525#-0,3797156#3,367174#0,1243897#-0,5893828#3,28832#0,136843#-0,4565533#3,348538#0,176088#-0,6498057#3,281485#1  
frame2 #0,2488229#0,9758348#3,645259#0,2111112#0,7884917#3,573522# 0,3428785#0,304238#3,163297#-0,3533386#0,5034735#3,764113#0,3577641#0,2931587#3,222602#-0,3061823#0,5293171#3,727089#0,4236277#0,4456075#3,339013#-0,1647133#0,6068482#3,628584#0,2733601#0,627407#3,437773#0,039922#0,6506199#3,565492#0,1987722#0,3955314#3,558538#0,1679954#0,3289508#3,505002#0,2183389#0,263269#3,471402#0,1066514#0,2755146#3,518201#0,1443917#-0,1409352#3,70242#0,2340733#-0,1756444#3,413965#0,0774326#-0,3871029#3,679952#0,1036902#-0,4834352#3,30325#0,08289392#-0,4371691#3,608966#0,1385312#-0,5621851#3,290601#1  
frame3 #0,2999287#0,9610443#3,635049#0,2196531#0,7876427#3,570084# 0,2216343#0,3772503#3,141486#-0,3237024#0,6066052#3,684352#0,2825595#0,3679974#3,146744#-0,2629918#0,6201096#3,673357#0,3889908#0,4380001#3,299134#-0,08085987#0,6606228#3,652503#0,2631805#0,6297774#3,4171#0,1207718#0,6663579#3,518112#0,1875491#0,3364273#3,5289#0,1468718#0,2611873#3,473715#0,1718449#0,217003#3,446639#0,1102058#0,2328949#3,486066#0,1173868#-0,1662593#3,710519#0,2341119#-0,2195053#3,39636#0,08796718#-0,4165991#3,62857#0,1101456#-0,5357569#3,28827#0,1055738#-0,4659546#3,552912#0,157933#-0,6139839#3,280078#1  
frame4 #0,2955611#0,9610485#3,643723#0,2287721#0,7824121#3,566267# 0,1389402#0,4519715#3,096636#0,1455823#0,6201997#3,515912#0,1879478#0,4475742#3,140449#0,1037478#0,5897264#3,481177#0,3349705#0,4343823#3,284652#0,2668241#0,5184491#3,294358#0,2645444#0,631986#3,412057#0,1337611#0,664721#3,499434#0,1817655#0,3492116#3,535341#0,1393143#0,2828396#3,483115#0,1615836#0,2331312#3,446327#0,1019182#0,2485454#3,504957#0,1075736#-0,1569493#3,706533#0,2151318#-0,2073375#3,397606#0,06182883#-0,4000379#3,622378#0,10723#-0,5233135#3,289455#0,06916457#-0,4519648#3,542321#0,1553978#-0,6054338#3,279688#1  
frame5 #0,2880058#0,9699267#3,650947#0,2286774#0,7818671#3,568901# 0,1961411#0,6460541#3,214102#0,1727379#0,5980641#3,510063#0,2144187#0,5823646#3,220217#0,1293996#0,5664955#3,474079#0,2692514#0,3912958#3,251803#0,2468444#0,4365131#3,281759#0,271716#0,594767#3,371969#0,1620714#0,6424592#3,455606#0,1775805#0,3501977#3,538016#0,1344148#0,2829731#3,486298#0,1511236#0,2314373#3,446186#0,09859013#0,2492226#3,50962#0,09224547#-0,2046037#3,740571#0,222418#-0,2616716#3,387357#0,05613136#-0,4490036#3,664272#0,1210393#-0,5766178#3,278383#0,06259026#-0,4954457#3,574708#0,1825429#-0,6517323#3,266577#1  
frame6 #0,2831185#0,9678995#3,644477#0,2268711#0,779433#3,569005# 0,07494706#0,5723724#3,216822#0,3435945#0,3410438#3,428301#0,1232529#0,5268865#3,222283#0,3006977#0,3097968#3,392683#0,2681705#0,3904287#3,251581#0,1886011#0,4327475#3,295108#0,2706351#0,5938998#3,371102#0,1606349#0,6403151#3,451069#0,1769826#0,3467099#3,541497#0,1359923#0,2761178#3,490523#0,1541231#0,2063586#3,534677#0,1052076#0,2265623#3,444895#0,07247027#-0,2422241#3,785836#0,2157034#-0,2624752#3,384204#0,03675796#-0,4872491#3,700804#0,1185831#-0,5819016#3,273507#0,04738545#-0,5218415#3,605925#0,184048#-0,652918#3,266065#1  
frame7 #0,2741323#0,9611003#3,643876#0,220424#0,7721521#3,579798# 0,008075669#0,4504922#3,208301#0,284944#0,3182128#3,420257#0,07162152#0,4341585#3,218385#0,2490194#0,3359561#3,371336#0,2622591#0,3851575#3,261266#0,1274676#0,453971#3,277697#0,2647236#0,5886286#3,380232#0,1558066#0,6353499#3,451921#0,1789632#0,3364722#3,569106#0,1427105#0,2609283#3,520015#0,1587452#0,2030325#3,547961#0,1103276#0,2219088#3,468484#0,06905781#-0,2450838#3,778792#0,206365#-0,2652519#3,381067#0,04453119#-0,4969426#3,721013#0,1157932#-0,587047#3,269972#0,05381252#-0,5291792#3,625248#0,182689#-0,65236#3,263117#1  
frame8 #0,2703439#0,9545277#3,675291#0,2170899#0,7660136#3,613902# 0,01268061#0,4529102#3,216616#0,2803991#0,3023612#3,433379#0,07412848#0,434589#3,23341#0,2368338#0,3196445#3,39132#0,2584721#0,3796253#3,296239#0,07909578#0,4401017#3,306388#0,2609366#0,5830964#3,414847#0,1437818#0,6297419#3,461294#0,1634815#0,3227637#3,573186#0,1356815#0,2458808#3,515722#0,1559026#0,197206#3,534102#0,1031214#0,2163774#3,479099#0,06806739#-0,2419649#3,770477#0,201184#-0,2663224#3,379652#0,02940297#-0,4917197#3,702784#0,114298#-0,5904924#3,267438#0,03970654#-0,5282722#3,608392#0,1849596#-0,6537865#3,26412#1  
frame9 #0,2695958#0,953661#3,679221#0,2155648#0,7659173#3,61755# 0,009870667#0,4534819#3,226342#0,2520264#0,3127009#3,393577#0,07163917#0,4350053#3,241693#0,1862339#0,32051#3,395651#0,2569447#0,3795754#3,300059#0,03665547#0,4429658#3,328509#0,2594092#0,5830466#3,418405#0,1463727#0,6247971#3,471027#0,1583742#0,2997811#3,577841#0,1266031#0,2177849#3,519179#0,1478018#0,1797771#3,534382#0,09736193#0,1950165#3,487828#0,0595535#-0,2673398#3,782161#0,1974335#-0,2668351#3,379552#0,008103143#-0,5720909#3,738121#0,1132839#-0,5932572#3,266576#0,02304612#-0,590445#3,63884#0,1872674#-0,6550975#3,26657#1  
frame10 #0,3186035#0,9035937#3,739977#0,2037224#0,760966#3,635108# -0,002618045#0,4491493#3,247059#0,2249212#0,3189959#3,398511#0,05930835#0,4305378#3,261718#0,1549941#0,3286961#3,411841#0,2450875#0,3747033#3,317849#-0,007687008#0,4394659#3,367634#0,2475521#0,5781745#3,435879#0,1423894#0,6136692#3,477893#0,1494731#0,2960185#3,578504#0,1214589#0,2162853#3,517849#0,1402563#0,1752963#3,529967#0,09197905#0,1979409#3,489838#0,04726861#-0,2652207#3,773989#0,1913801#-0,2711851#3,377374#-0,009650297#-0,5161241#3,751527#0,1067034#-0,5971144#3,265398#0,01266918#-0,5409698#3,655353#0,1872686#-0,6549683#3,266068#1  
frame11 #0,3224785#0,9057981#3,739801#0,2079848#0,7583618#3,64903# 0,002586983#0,4466698#3,261728#0,1532789#0,3476601#3,380674#0,06427206#0,428031#3,276296#0,08682361#0,356716#3,395153#0,2493273#0,3721146#3,332025#-0,07023992#0,4847323#3,407422#0,2517919#0,5755857#3,4498#0,1142696#0,5980436#3,493098#0,1411626#0,2911511#3,578454#0,1120255#0,2125394#3,515288#0,1320049#0,1627954#3,521411#0,0737934#0,1966924#3,490316#0,03779327#-0,279343#3,778454#0,1901777#-0,2737742#3,377478#-0,01330514#-0,5310539#3,765932#0,1061267#-0,5992066#3,264391#0,004364479#-0,556194#3,669052#0,1885534#-0,6560605#3,267112#1  
frame12 #0,319987#0,9082733#3,766237#0,2083614#0,762641#3,668422# 0,00422395#0,4507832#3,281516#0,1535227#0,3474045#3,383571#0,06559147#0,4321879#3,296067#0,08706741#0,3564604#3,39805#0,249694#0,3764021#3,351637#-0,0767514#0,494161#3,421392#0,2521586#0,5798733#3,469203#0,1037517#0,5955573#3,500641#0,1358487#0,2882307#3,584353#0,1110472#0,210508#3,518293#0,1330041#0,1610004#3,520849#0,07104158#0,1930337#3,501455#0,03264043#-0,2840734#3,784249#0,1887447#-0,2753153#3,378606#-0,01113285#-0,5372774#3,76065#0,1049541#-0,6001712#3,264057#0,002458934#-0,5641637#3,663708#0,1795339#-0,6569262#3,259773#1  
frame13 #0,3163738#0,9057085#3,771452#0,2072488#0,7586844#3,674861# 0,003259078#0,4468525#3,288221#0,1616868#0,337499#3,415843#0,06458914#0,4282512#3,302773#0,09523156#0,3465549#3,430321#0,2485793#0,3724471#3,358252#-0,0729691#0,4902636#3,451773#0,2510439#0,5759184#3,47564#0,1267018#0,606116#3,526554#0,1406462#0,2885366#3,587921#0,1103017#0,2124067#3,523022#0,1320957#0,1642254#3,526816#0,07280406#0,1966601#3,504416#0,03103034#-0,2891576#3,787257#0,1884027#-0,2755326#3,379001#-0,01311797#-0,5421801#3,765808#0,1043981#-0,600018#3,26407#0,00778047#-0,5644967#3,669116#0,1818466#-0,6572509#3,261452#1  
frame14 #0,309212#0,9062781#3,803742#0,2032755#0,7593704#3,703328# -1,560897E-06#0,4473761#3,31709#0,1682243#0,3361548#3,424096#0,06114964#0,4288156#3,331597#0,101769#0,3452107#3,438574#0,2446032#0,373134#3,386867#-0,06643563#0,4893004#3,461188#0,2470678#0,5766052#3,504106#0,1129241#0,6023945#3,533688#0,1297602#0,2916977#3,599978#0,1070772#0,2166831#3,531003#0,132457#0,1703147#3,527833#0,06618287#0,1996366#3,520696#0,0313036#-0,2803696#3,782414#0,186944#-0,273968#3,379686#-0,01099559#-0,5336926#3,760618#0,1038572#-0,5982151#3,26333#0,02213034#-0,5560035#3,667472#0,1779193#-0,6555113#3,253031#1  
frame15 #0,3057629#0,9118694#3,855904#0,1954609#0,7686485#3,755841# -0,006127879#0,4561585#3,370179#0,2302689#0,3133327#3,41838#0,05460104#0,4377219#3,384587#0,1638136#0,3223886#3,432858#0,2367878#0,3824123#3,439501#-0,009033173#0,46278#3,454037#0,2392523#0,5858834#3,556619#0,1191801#0,5966103#3,538385#0,1162006#0,2890826#3,617102#0,108903#0,213697#3,542692#0,1315602#0,1664038#3,550941#0,07091866#0,1984854#3,521731#0,02657486#-0,2968724#3,791314#0,185544#-0,2726856#3,381312#-0,01462332#-0,5504701#3,76641#0,09858384#-0,5895095#3,244817#0,004898561#-0,5667057#3,66831#0,1650089#-0,6538739#3,244758#1  
frame16 #0,2273071#0,9274372#3,915689#0,1917455#0,7709281#3,776111# -0,1452513#0,5197346#3,418615#0,2912107#0,2964175#3,401944#-0,08470671#0,501354#3,43298#0,2247555#0,3054734#3,416422#0,09692699#0,4462122#3,487705#0,05595788#0,4500913#3,439482#0,0993915#0,6496834#3,604711#0,1299828#0,5944339#3,589034#0,1321356#0,3176457#3,559102#0,1123665#0,2081425#3,570268#0,09954001#0,1691687#3,595157#0,1200672#0,1890472#3,542111#0,02294628#-0,3058288#3,791953#0,1797452#-0,2698809#3,379336#-0,02377453#-0,5583607#3,776792#0,09013435#-0,5759423#3,218187#-0,03373416#-0,609796#3,847594#0,1454447#-0,6434872#3,215632#1  
frame17 #0,2390208#0,9393608#3,905458#0,1744628#0,7718712#3,797994# -0,1316772#0,5073783#3,416359#0,3338478#0,3795235#3,643264#-0,07124443#0,4890316#3,430697#0,2927033#0,3780238#3,5967#0,1100538#0,4339917#3,485415#0,1016209#0,4377129#3,438045#0,1125183#0,6374629#3,602561#0,1296428#0,5971463#3,601507#0,1298456#0,2936963#3,554746#0,0853221#0,1789271#3,549088#0,081402#0,1623069#3,546576#0,09348306#0,1808243#3,542748#0,02106766#-0,307475#3,794067#0,1730287#-0,265131#3,376798#-0,02761099#-0,5597583#3,778213#0,09019283#-0,5528848#3,176997#-0,07005011#-0,6082243#3,839703#0,1358703#-0,6389114#3,187419#1  
