frame1 #-0,008969838#1,039164#3,682205#-0,02447264#0,7994286#3,704908# 0,005963184#0,7299975#3,362485#-0,05672753#0,7115603#3,372253#0,09518106#0,7536984#3,344934#-0,1448361#0,7338376#3,348373#0,2462654#0,6257256#3,436052#-0,2852444#0,6414251#3,491768#0,1291944#0,6481015#3,628782#-0,180989#0,6572734#3,64248#-0,01572474#0,469014#3,68248#-0,01599149#0,4156789#3,626863#0,0553024#0,3456264#3,608132#-0,08428016#0,3497537#3,613497#0,09896642#-0,2004484#3,638674#-0,1162005#-0,2107768#3,640935#0,0994017#-0,5385285#3,663636#-0,08849464#-0,5485583#3,692468#0,08488009#-0,6098535#3,616002#-0,08997974#-0,6101323#3,667784#0  
frame2 #-0,0140568#1,029283#3,680336#-0,02510102#0,7992319#3,705959# 0,02768616#0,7747529#3,329581#-0,04328346#0,7322932#3,323065#0,09465814#0,7463458#3,33022#-0,1383916#0,7387207#3,347581#0,2473962#0,6262377#3,437902#-0,2872753#0,6432012#3,484702#0,1189117#0,6648606#3,623379#-0,1802324#0,6567742#3,643659#-0,01421292#0,4677312#3,683052#-0,01602989#0,4139291#3,627416#0,05462709#0,3457978#3,607551#-0,08266995#0,3459222#3,616697#0,09905508#-0,2007566#3,639556#-0,1166134#-0,2102592#3,641248#0,09752784#-0,5441906#3,663336#-0,08839971#-0,5494916#3,691981#0,08508211#-0,6113831#3,616914#-0,09065473#-0,6101278#3,667281#0  
frame3 #-0,004796324#1,076237#3,668833#-0,0266772#0,8769882#3,688375# -0,01159697#0,8060666#3,306577#-0,06100706#0,7763211#3,344023#0,09116562#0,7498235#3,330845#-0,1252834#0,7488158#3,335999#0,2476136#0,6264069#3,440111#-0,2832786#0,654093#3,471698#0,1168215#0,6748763#3,6344#-0,1803388#0,656849#3,64703#-0,01572955#0,4746096#3,685944#-0,01623199#0,4138178#3,631046#0,05384558#0,3468266#3,611097#-0,08282495#0,3450983#3,621266#0,09916748#-0,2010371#3,642706#-0,1169117#-0,2087485#3,644178#0,09739494#-0,546524#3,666402#-0,08656877#-0,5494879#3,692475#0,08413493#-0,614863#3,627747#-0,09155144#-0,60921#3,661772#0  
frame4 #-0,009053899#1,046804#3,677993#-0,03129007#0,8623803#3,698775# -0,01159662#0,8060642#3,307031#-0,05321737#0,7762079#3,327737#0,08984676#0,7524564#3,33121#-0,1188045#0,7544805#3,324576#0,2486479#0,6270547#3,444509#-0,2850747#0,657285#3,455598#0,1168589#0,6773732#3,636751#-0,1784496#0,6575602#3,65024#-0,01551553#0,473468#3,687379#-0,01630651#0,4131803#3,632344#0,05358196#0,3470684#3,612572#-0,08228868#0,3439755#3,622969#0,09948444#-0,2008427#3,643907#-0,116333#-0,207886#3,645045#0,09302729#-0,5462289#3,669914#-0,08706031#-0,5486745#3,693039#0,08447273#-0,6142504#3,627504#-0,09219335#-0,6098608#3,662393#0  
frame5 #-0,009319933#1,03722#3,681911#-0,02914425#0,8603838#3,699495# 0,029547#0,7864643#3,322509#-0,06093517#0,7695438#3,332912#0,08756997#0,7540814#3,329991#-0,1249286#0,7501637#3,332177#0,2492951#0,6273044#3,44333#-0,2909993#0,644607#3,461776#0,1168502#0,6792562#3,638283#-0,1780232#0,6570345#3,650822#-0,01544587#0,4733719#3,688417#-0,01611559#0,4125115#3,632997#0,05347523#0,3472553#3,61333#-0,0816523#0,3420554#3,624502#0,09954968#-0,2011591#3,644674#-0,1163438#-0,207887#3,645765#0,08948198#-0,5489191#3,675588#-0,08694245#-0,5488329#3,693601#0,08454044#-0,6150869#3,629001#-0,09568565#-0,6104443#3,658421#0  
frame6 #-0,008493908#1,03713#3,681197#-0,02872629#0,8609226#3,699094# 0,014664#0,8094879#3,332408#-0,05139162#0,7790245#3,329476#0,08402164#0,7516826#3,324337#-0,116155#0,7626399#3,334609#0,2497155#0,6272891#3,443535#-0,2939873#0,6504841#3,447578#0,1146227#0,6853069#3,643438#-0,1783612#0,6568922#3,650807#-0,01608967#0,4741796#3,688854#-0,0161326#0,4125089#3,63339#0,05298495#0,3486011#3,613434#-0,08157478#0,3414968#3,625539#0,09920473#-0,2020827#3,644987#-0,1165893#-0,2072889#3,646169#0,07074166#-0,5561551#3,681521#-0,08841557#-0,5472651#3,693313#0,07846309#-0,6175128#3,644446#-0,094392#-0,6080159#3,656506#0  
frame7 #-0,008781253#1,037759#3,679237#-0,02746696#0,8605288#3,699357# 0,006443433#0,8018447#3,332051#-0,05795094#0,7763616#3,338009#0,08335255#0,754758#3,325264#-0,1220971#0,7578778#3,3414#0,2499737#0,6267513#3,441888#-0,2929263#0,6421481#3,465404#0,115385#0,6861674#3,643355#-0,1784724#0,6567401#3,651359#-0,01594089#0,4750711#3,689024#-0,0162465#0,4127573#3,633414#0,05252451#0,3499737#3,613025#-0,08173627#0,3414162#3,625861#0,09910114#-0,202075#3,645366#-0,1166449#-0,2072417#3,646544#0,07514811#-0,5543698#3,681862#-0,08983905#-0,5459591#3,695019#0,07973436#-0,6171238#3,640545#-0,09444693#-0,6097491#3,658892#0  
frame8 #-0,00892575#1,037857#3,679931#-0,02698447#0,859688#3,699492# -0,009874054#0,8080565#3,315266#-0,06688149#0,7612939#3,348457#0,08082584#0,7576207#3,322269#-0,1208028#0,7665509#3,386017#0,2499975#0,6268415#3,432954#-0,2932436#0,6333457#3,48716#0,1155797#0,6865413#3,643058#-0,1777875#0,6561377#3,649743#-0,01608031#0,4749864#3,689556#-0,01621071#0,4124199#3,633587#0,05246635#0,3500272#3,613329#-0,08155771#0,3406182#3,626293#0,09930966#-0,2020237#3,646268#-0,1166693#-0,2059793#3,647261#0,08257571#-0,5570927#3,679493#-0,09120101#-0,5455358#3,694627#0,08014755#-0,617307#3,640601#-0,0941987#-0,6092024#3,658331#0  
frame9 #-0,009049948#1,035649#3,679557#-0,02552962#0,8009677#3,702661# -0,01357829#0,8065207#3,317916#-0,07006669#0,772089#3,34946#0,07773302#0,7595751#3,327374#-0,1311957#0,7602817#3,368749#0,2529984#0,6255262#3,430809#-0,3168259#0,6238359#3,442967#0,1163173#0,6872679#3,64278#-0,1794334#0,6557932#3,650031#-0,01551413#0,4717621#3,689223#-0,01608958#0,412206#3,633065#0,05297191#0,3500096#3,613348#-0,08159481#0,339489#3,62535#0,09951757#-0,2012834#3,646597#-0,1165785#-0,2051262#3,646847#0,08275568#-0,5550371#3,679258#-0,09216559#-0,5459493#3,694116#0,08114371#-0,6164174#3,63828#-0,09379178#-0,608923#3,657771#0  
frame10 #-0,01101708#1,038101#3,675844#-0,02976047#0,7989025#3,698964# -0,001359053#0,7958925#3,326888#-0,1022805#0,8001569#3,37559#0,08045281#0,7595242#3,333366#-0,1428848#0,7464191#3,316249#0,2586489#0,6205469#3,432369#-0,3149371#0,6248987#3,448139#0,1158172#0,687187#3,642141#-0,17943#0,6552581#3,64841#-0,01610773#0,4683831#3,687922#-0,01599109#0,4105819#3,631952#0,05332823#0,3481143#3,612376#-0,0813166#0,3392399#3,624559#0,09910916#-0,2037433#3,648002#-0,1164382#-0,2056022#3,646429#0,08547667#-0,55642#3,677394#-0,09217109#-0,5471446#3,693911#0,08224214#-0,6179394#3,639244#-0,09311479#-0,6089472#3,658256#0  
frame11 #-0,009719791#1,051714#3,673061#-0,01732018#0,8711034#3,675991# 0,05908882#0,751857#3,316108#-0,1160206#0,7625819#3,360079#0,114507#0,7237292#3,362851#-0,1812116#0,7129971#3,388844#0,2736597#0,6025455#3,445696#-0,3163339#0,6042551#3,45244#0,1158152#0,6871601#3,638545#-0,1791444#0,6539543#3,648015#-0,01486255#0,4722767#3,68742#-0,01504253#0,408196#3,631007#0,0539486#0,3450118#3,612522#-0,08093084#0,3384037#3,624894#0,09828858#-0,2047684#3,650137#-0,1163991#-0,2056041#3,647053#0,07672122#-0,558678#3,67562#-0,09216359#-0,5471331#3,694173#0,08280772#-0,6174489#3,635736#-0,09513353#-0,6087106#3,663382#0  
frame12 #-0,009519097#1,047689#3,674854#-0,01814985#0,8704265#3,672822# 0,06565157#0,742448#3,338194#-0,1241558#0,7508806#3,357632#0,1141433#0,7227925#3,364148#-0,1299792#0,7360095#3,389783#0,2830943#0,5853881#3,472868#-0,3157317#0,5909802#3,468163#0,1213142#0,6651545#3,612985#-0,1789204#0,6532837#3,648315#-0,0103458#0,4710847#3,684934#-0,01426288#0,4035022#3,629235#0,05489565#0,3393017#3,611771#-0,08061034#0,3343218#3,625204#0,0986958#-0,2053355#3,651608#-0,1164156#-0,2055988#3,647537#0,08160618#-0,5573258#3,67495#-0,0935693#-0,5476174#3,694479#0,08277839#-0,617333#3,636988#-0,09426407#-0,607554#3,664474#0  
frame13 #-0,01451992#1,040174#3,67262#-0,01608378#0,8566724#3,678386# 0,0913562#0,7127992#3,374825#-0,1335441#0,7088751#3,401838#0,1019295#0,7049649#3,380123#-0,1370878#0,6949795#3,424819#0,2837662#0,5702317#3,485097#-0,3115077#0,543446#3,517005#0,1222699#0,6775426#3,594948#-0,1720522#0,6774436#3,620034#-0,01090273#0,4675019#3,68457#-0,01329852#0,3997997#3,628649#0,05555288#0,3345154#3,611449#-0,0800199#0,3325643#3,6249#0,09886897#-0,2062138#3,652294#-0,1162587#-0,2054355#3,647897#0,08154973#-0,5569328#3,675745#-0,09360687#-0,5479455#3,694368#0,08341295#-0,6172584#3,637494#-0,09436502#-0,6078579#3,664162#0  
frame14 #-0,01958995#1,037904#3,676413#-0,01300885#0,8383316#3,683463# 0,09581745#0,6713826#3,381813#-0,1569875#0,6305998#3,385728#0,1358311#0,6447939#3,430026#-0,1802509#0,6086724#3,407925#0,2786899#0,5489348#3,502787#-0,3157197#0,535516#3,518563#0,1428462#0,6951736#3,618575#-0,1800809#0,7034181#3,645724#-0,01061751#0,467931#3,685204#-0,01297138#0,4032719#3,629581#0,05587027#0,3353078#3,611934#-0,08034995#0,3334538#3,625153#0,09903774#-0,2065212#3,653109#-0,1161825#-0,2055157#3,648298#0,08118956#-0,5568349#3,676123#-0,09185334#-0,5478239#3,694418#0,08255342#-0,6183638#3,641169#-0,09339558#-0,6075473#3,663765#0  
frame15 #-0,01932852#1,037866#3,676473#-0,01233486#0,833922#3,683719# 0,1296421#0,6048307#3,380449#-0,179771#0,5676103#3,41318#0,1547361#0,6032972#3,405101#-0,1628692#0,5894704#3,433482#0,2775108#0,5131283#3,52834#-0,3047086#0,5187842#3,552283#0,1432201#0,7003273#3,626321#-0,1828557#0,6986428#3,644983#-0,01145945#0,4686402#3,685524#-0,01304229#0,4054769#3,629792#0,05610564#0,3362951#3,612074#-0,08093747#0,3339214#3,625038#0,09920671#-0,2074793#3,653594#-0,116116#-0,2055632#3,6484#0,08173938#-0,5558327#3,677585#-0,09254812#-0,5461096#3,695382#0,08254838#-0,6171737#3,638472#-0,09353478#-0,6062132#3,663857#0  
frame16 #-0,02426783#1,026356#3,672942#-0,01307189#0,8321974#3,685058# 0,1443921#0,5109687#3,33736#-0,2005606#0,4835743#3,411599#0,1439366#0,5671624#3,431315#-0,2273469#0,4705039#3,422917#0,2739574#0,5226805#3,565523#-0,2975588#0,5508773#3,642002#0,1445354#0,700743#3,632533#-0,1898111#0,697666#3,655602#-0,01082442#0,4696297#3,686362#-0,01321494#0,4074784#3,630688#0,05626328#0,3365186#3,612545#-0,08144243#0,334507#3,62528#0,09979363#-0,2082808#3,654398#-0,115724#-0,2059814#3,650537#0,08584934#-0,554202#3,676052#-0,09215788#-0,545491#3,695305#0,08396935#-0,6144331#3,633345#-0,09242472#-0,607772#3,661982#0  
frame17 #-0,02909146#1,027574#3,667829#-0,0143775#0,8286297#3,683466# 0,1753959#0,4279982#3,348359#-0,2256441#0,3908662#3,392055#0,1867876#0,4432688#3,388441#-0,2391111#0,4003213#3,424494#0,2494479#0,5272654#3,622882#-0,3287016#0,4995362#3,646714#0,1516902#0,6961919#3,637747#-0,1899896#0,6974884#3,656097#-0,01214602#0,4706669#3,68599#-0,01405306#0,4095055#3,630005#0,05626658#0,3366584#3,612465#-0,08353352#0,3354436#3,623814#0,1001156#-0,2085611#3,654769#-0,1151888#-0,2065221#3,651243#0,08578289#-0,5542601#3,67663#-0,09063046#-0,5473619#3,69461#0,08389765#-0,6148278#3,633396#-0,09194423#-0,6065114#3,662549#0  
frame18 #-0,0297309#1,026658#3,667285#-0,01230773#0,8263221#3,678715# 0,2225518#0,345221#3,385946#-0,2404487#0,2916336#3,407296#0,2507068#0,3960193#3,478672#-0,2800199#0,3545333#3,512264#0,2620558#0,5013707#3,644451#-0,2945632#0,4729037#3,667834#0,1514549#0,6966774#3,638567#-0,1894021#0,6969759#3,656923#-0,01179701#0,471303#3,685358#-0,01398889#0,4097337#3,629604#0,05631723#0,3367912#3,612509#-0,0838499#0,3353613#3,622927#0,1003163#-0,2089884#3,655243#-0,1153451#-0,2067651#3,651555#0,08553109#-0,553406#3,677245#-0,0902188#-0,5505093#3,69673#0,08502032#-0,6144634#3,631851#-0,09293088#-0,6070683#3,670386#0  
frame19 #-0,02809062#1,026088#3,660812#-0,0136954#0,8257554#3,676907# 0,2406611#0,281114#3,449486#-0,2519256#0,2183498#3,436935#0,2474549#0,3402072#3,519195#-0,2674885#0,2899981#3,491907#0,2239935#0,4814147#3,653064#-0,2765882#0,4738437#3,678905#0,1508494#0,6967689#3,639278#-0,1894677#0,6968868#3,657078#-0,01178824#0,4718273#3,684871#-0,01386791#0,4101739#3,629174#0,05675212#0,3373091#3,612148#-0,08383328#0,3353758#3,622792#0,1005637#-0,2090495#3,655573#-0,1156091#-0,2070236#3,651717#0,08480027#-0,5536131#3,676743#-0,08938701#-0,5528106#3,696691#0,08511615#-0,6149231#3,632183#-0,09261646#-0,6095335#3,668825#0  
frame20 #-0,02840603#1,026243#3,660561#-0,01500522#0,8251683#3,675226# 0,2417094#0,1819098#3,443539#-0,2567009#0,1497782#3,453676#0,2475946#0,2556976#3,500701#-0,2610649#0,2427954#3,523696#0,2213386#0,4682699#3,654619#-0,2581542#0,4554535#3,679898#0,15082#0,6967238#3,63922#-0,1901995#0,6971448#3,657991#-0,01219699#0,4721517#3,684504#-0,01440739#0,4104149#3,628895#0,05668077#0,3372954#3,612132#-0,08510908#0,3351312#3,622414#0,1009748#-0,2100858#3,655992#-0,1156475#-0,2069774#3,652236#0,08337669#-0,5552264#3,68272#-0,08966051#-0,5526981#3,696042#0,08580385#-0,6153883#3,632702#-0,09346763#-0,6096701#3,666894#0  
frame21 #-0,03608483#1,033728#3,670228#-0,01433463#0,8314809#3,665754# 0,2333946#0,1400686#3,483146#-0,2505181#0,1365414#3,511075#0,2363144#0,2166215#3,540153#-0,2531283#0,221396#3,554797#0,2184215#0,4535632#3,658183#-0,2535593#0,4520797#3,687404#0,1449166#0,6972654#3,635621#-0,190125#0,6970872#3,657907#-0,01211739#0,4725884#3,683684#-0,01529008#0,4088569#3,628407#0,05570007#0,3362067#3,612188#-0,08618632#0,3337855#3,623085#0,1015205#-0,2102045#3,656948#-0,1153232#-0,2070066#3,652676#0,08344001#-0,5534356#3,67855#-0,08985124#-0,5530369#3,696095#0,08609737#-0,614635#3,631195#-0,09379798#-0,6107944#3,666423#0  
frame22 #-0,03716958#1,032349#3,66866#-0,01445937#0,8310354#3,66339# 0,226416#0,1121159#3,54967#-0,2497644#0,115063#3,552265#0,224985#0,1915165#3,608154#-0,2539355#0,2131547#3,561621#0,21801#0,4514292#3,658705#-0,2521186#0,4511037#3,686581#0,1431649#0,697633#3,633948#-0,1903558#0,6971005#3,657069#-0,01192527#0,4724094#3,682984#-0,01526465#0,4083684#3,628285#0,05572211#0,3358127#3,612216#-0,08617185#0,3330511#3,623634#0,1016168#-0,2101643#3,656978#-0,1148936#-0,2083452#3,65305#0,0809636#-0,5549359#3,675939#-0,08914785#-0,55304#3,695971#0,08622688#-0,6147646#3,629201#-0,09374212#-0,6110166#3,664844#0  
frame23 #-0,03832048#1,032639#3,664945#-0,01593358#0,8308126#3,662133# 0,2306355#0,09923336#3,610343#-0,2465471#0,1382984#3,570666#0,2289699#0,1960356#3,629555#-0,249928#0,2043048#3,601556#0,2138086#0,4522472#3,662974#-0,2456174#0,4454153#3,684289#0,1390692#0,6999606#3,630006#-0,1888648#0,6990137#3,656456#-0,01160285#0,4723457#3,682487#-0,01542322#0,4080264#3,628336#0,05529067#0,3357269#3,612542#-0,0859763#0,3329654#3,624061#0,1022606#-0,2101489#3,657327#-0,114732#-0,209023#3,654013#0,07972557#-0,5546189#3,675758#-0,08361206#-0,5513719#3,695689#0,08652489#-0,6150625#3,628881#-0,09762435#-0,6078036#3,66301#0  
frame24 #-0,03884027#1,033123#3,659774#-0,0157581#0,8310691#3,662029# 0,2115437#0,1505464#3,639743#-0,2405325#0,1516876#3,600708#0,2116683#0,2454416#3,66744#-0,2436115#0,217199#3,632918#0,2138182#0,4500775#3,665442#-0,2421107#0,4451098#3,685459#0,1390324#0,6999744#3,629941#-0,1881059#0,6992268#3,655661#-0,01177028#0,4721223#3,68213#-0,01556541#0,4073921#3,628392#0,05505702#0,3353061#3,612824#-0,08612786#0,3325009#3,624381#0,1023889#-0,2100163#3,657308#-0,1144866#-0,2099503#3,654176#0,07749897#-0,5550306#3,674202#-0,08436184#-0,553215#3,696608#0,08894832#-0,6140613#3,626967#-0,0946651#-0,616172#3,678351#0  
frame25 #-0,03778335#1,030843#3,657086#-0,01510914#0,8299242#3,658315# 0,2184447#0,1631405#3,630899#-0,2382678#0,1541822#3,598251#0,2099849#0,233663#3,665123#-0,2413661#0,2195338#3,630212#0,2061324#0,4725229#3,670797#-0,2372082#0,4501699#3,686223#0,1389988#0,6999626#3,629705#-0,1881141#0,6995115#3,65536#-0,01194721#0,4726086#3,681383#-0,01575349#0,4074313#3,628453#0,05455561#0,3353185#3,613751#-0,08664291#0,3326503#3,624909#0,1014855#-0,2103793#3,655627#-0,1141126#-0,2105403#3,654601#0,0775703#-0,5561422#3,674178#-0,08556209#-0,5536898#3,696329#0,08849126#-0,6153993#3,627222#-0,09389746#-0,6161168#3,673781#0  
frame26 #-0,03753431#1,031128#3,656767#-0,0155157#0,8289806#3,653299# 0,2010107#0,2088707#3,646533#-0,226171#0,1853166#3,648497#0,1868648#0,2678762#3,686312#-0,2294035#0,2505485#3,680096#0,2049801#0,49706#3,676807#-0,2306877#0,4514478#3,685031#0,1397946#0,6995752#3,628735#-0,1880757#0,6998423#3,654554#-0,01216591#0,4734614#3,679792#-0,01584703#0,4075913#3,628351#0,05457267#0,3353595#3,613857#-0,08696157#0,3328514#3,625235#0,09820859#-0,2125562#3,654425#-0,1139607#-0,2121527#3,655181#0,08484077#-0,5533823#3,673205#-0,08775354#-0,5544416#3,695678#0,08793277#-0,615608#3,626262#-0,0932185#-0,6164713#3,672124#0  
frame27 #-0,03728564#1,029971#3,653083#-0,01561871#0,8304802#3,650471# 0,1996723#0,1994483#3,64943#-0,2248038#0,1846657#3,642565#0,1854036#0,258464#3,688722#-0,2280258#0,2496874#3,674063#0,2041287#0,4933574#3,678868#-0,2275645#0,4674395#3,680468#0,1396745#0,6995767#3,62837#-0,1877358#0,7013021#3,652965#-0,01270286#0,4740325#3,677958#-0,01602265#0,4076231#3,628168#0,05441658#0,3354598#3,614232#-0,08734054#0,3329419#3,625159#0,09303842#-0,2141333#3,651196#-0,1124626#-0,2119655#3,653708#0,088975#-0,5515093#3,674362#-0,08860333#-0,5549698#3,694251#0,08789986#-0,6152436#3,625705#-0,09339215#-0,6165923#3,670269#0  
frame28 #-0,03892594#1,028751#3,64703#-0,01622193#0,8310224#3,647488# 0,1981095#0,2023462#3,637724#-0,2253992#0,1984613#3,648719#0,1837024#0,2608946#3,677161#-0,228609#0,2632366#3,680097#0,202406#0,497064#3,668716#-0,2237077#0,4626236#3,683915#0,1398601#0,6991888#3,628514#-0,1877677#0,7014195#3,652204#-0,01307964#0,4748067#3,675944#-0,01610971#0,4078293#3,628006#0,05446813#0,3355572#3,614254#-0,08756657#0,3331734#3,625437#0,0891804#-0,2143478#3,648893#-0,1116739#-0,2115727#3,652894#0,08079263#-0,5519542#3,678678#-0,08878601#-0,5568107#3,695111#0,08811817#-0,6152482#3,625733#-0,09324912#-0,6177837#3,670052#0  
frame29 #-0,03435932#1,033754#3,646061#-0,01780038#0,8306319#3,645764# 0,199277#0,2036644#3,637815#-0,2257788#0,1765716#3,643819#0,1848463#0,2620228#3,677124#-0,2289788#0,2411495#3,675101#0,2036595#0,498676#3,668783#-0,2200906#0,4409727#3,683865#0,140061#0,699893#3,628334#-0,1865708#0,7021497#3,650774#-0,01332371#0,4750414#3,673981#-0,0160375#0,4078244#3,627838#0,05471524#0,335664#3,614373#-0,08733294#0,3331729#3,625393#0,08774006#-0,2145764#3,647909#-0,111129#-0,2119095#3,652598#0,08108129#-0,5528433#3,677184#-0,0887831#-0,5568879#3,695154#0,08797988#-0,6150594#3,625743#-0,09272608#-0,616739#3,668015#0  
