frame1 #-0,006965638#1,017509#3,566859#-0,0008471277#0,8342237#3,574339# 0,1604973#0,3732625#3,386408#-0,1407441#0,2893018#3,366897#0,2095074#0,3936593#3,429118#-0,1709401#0,3415129#3,419324#0,2991801#0,5221211#3,567289#-0,261528#0,498146#3,591012#0,1702995#0,7038054#3,566009#-0,1728902#0,6976897#3,581731#0,001669551#0,4511376#3,591288#-0,0006343775#0,3809178#3,53941#0,07661954#0,3050988#3,522933#-0,07781583#0,3023467#3,539083#0,09861305#-0,2317273#3,581568#-0,08655915#-0,2209497#3,572151#0,09995638#-0,583389#3,57986#-0,0366841#-0,5830072#3,580577#0,08190311#-0,6543243#3,522629#-0,06524392#-0,6471423#3,57708#0  
frame2 #-0,006740145#1,020322#3,565806#-0,0008098125#0,8354701#3,572452# 0,1912247#0,2914192#3,401465#-0,1819828#0,2609812#3,406191#0,2333069#0,3473923#3,449018#-0,2084952#0,3190264#3,461806#0,2903523#0,5076292#3,560193#-0,2479067#0,4702324#3,593998#0,170512#0,7035577#3,565183#-0,1728395#0,6977795#3,581207#0,00163583#0,4527867#3,590257#-0,0007193027#0,3825493#3,538625#0,07656828#0,3062868#3,522411#-0,07797848#0,3042504#3,538369#0,09815199#-0,2313806#3,580842#-0,08702496#-0,2226623#3,572372#0,0868641#-0,5832006#3,582224#-0,04302843#-0,5830768#3,577276#0,08374648#-0,6489601#3,521488#-0,07131243#-0,6510262#3,561034#0  
frame3 #-0,005792585#1,017135#3,558748#0,002298193#0,8339829#3,566695# 0,2296784#0,09431439#3,471635#-0,2307267#0,1003054#3,525195#0,2333764#0,1687142#3,509667#-0,2311088#0,198999#3,540066#0,2342543#0,4210556#3,592405#-0,2346178#0,4342757#3,616684#0,172927#0,6977217#3,559726#-0,1697239#0,6987609#3,575272#0,001541389#0,4546028#3,589326#-0,0011326#0,383875#3,54056#0,07515001#0,3059169#3,527384#-0,07886732#0,307032#3,540504#0,09570716#-0,2353934#3,581292#-0,087685#-0,2231981#3,573027#0,09541396#-0,571838#3,571732#-0,03640392#-0,5842465#3,577115#0,08607385#-0,6463589#3,51951#-0,0635571#-0,6493843#3,561699#0  
frame4 #-0,002300861#1,015464#3,555496#0,003378124#0,8335995#3,566123# 0,2289549#0,0905044#3,496672#-0,2304064#0,1039579#3,529134#0,2285487#0,1837502#3,531863#-0,2318582#0,2015435#3,550533#0,2331542#0,4189415#3,593031#-0,2302294#0,4337343#3,611068#0,173681#0,6958339#3,55772#-0,1683853#0,6976485#3,572087#0,001081316#0,4536347#3,589427#-0,001807695#0,3820575#3,542161#0,07400112#0,303953#3,529186#-0,07993335#0,3051957#3,543033#0,09554187#-0,2348326#3,58155#-0,08804575#-0,2231755#3,573344#0,09451728#-0,5735214#3,57099#-0,03346993#-0,584711#3,574929#0,08664988#-0,643343#3,521859#-0,0592511#-0,6444274#3,546253#0  
frame5 #0,000799909#1,015216#3,554436#0,008462622#0,8313702#3,562404# 0,2242192#0,1212033#3,539474#-0,2353516#0,1229303#3,55085#0,2250895#0,1817437#3,575114#-0,2323067#0,1928629#3,556874#0,2242519#0,4120616#3,619599#-0,2220736#0,4210587#3,597528#0,1754465#0,6918608#3,553517#-0,1661687#0,6993718#3,565404#0,00133211#0,4537584#3,587523#-0,001395721#0,3813852#3,544515#0,0738631#0,3021378#3,535298#-0,07982549#0,3054906#3,544862#0,09625701#-0,2302426#3,581472#-0,08826979#-0,2230708#3,573805#0,09505568#-0,578841#3,570969#-0,03476069#-0,5849439#3,57971#0,08863187#-0,6425725#3,522555#-0,03570325#-0,6462295#3,548601#0  
frame6 #0,00217076#1,013932#3,552241#0,008779816#0,8314216#3,561524# 0,2248285#0,1224491#3,541702#-0,23018#0,1226751#3,543608#0,2258268#0,1821053#3,577175#-0,2294978#0,1910712#3,555428#0,2234007#0,4121833#3,620139#-0,2213058#0,4211019#3,597696#0,1758792#0,6915118#3,553453#-0,1659625#0,699168#3,564638#0,001626029#0,4540527#3,586488#-0,0008986703#0,3815663#3,544921#0,07479195#0,3025604#3,536751#-0,07948829#0,3056011#3,544905#0,09551018#-0,2301425#3,58119#-0,08784474#-0,2236423#3,573873#0,08205879#-0,5789545#3,57342#-0,03307127#-0,5860145#3,580542#0,08855222#-0,6425676#3,52257#-0,05005116#-0,6480204#3,558177#0  
frame7 #0,004283849#1,01824#3,547621#0,00829491#0,8354334#3,557213# 0,2234399#0,1230074#3,559664#-0,2299936#0,1393502#3,54392#0,2248302#0,1816218#3,595334#-0,2161227#0,2064521#3,547777#0,2228029#0,4142032#3,62034#-0,2189996#0,4366739#3,596751#0,1760706#0,6912537#3,553437#-0,1657309#0,6994414#3,563802#0,001834731#0,455167#3,584842#-0,0005256847#0,3820297#3,545032#0,07533915#0,3029941#3,537259#-0,07893639#0,3064387#3,545018#0,09557164#-0,230113#3,581104#-0,08757083#-0,2215146#3,573275#0,0853385#-0,5780706#3,569907#-0,03828919#-0,5788957#3,580097#0,08808535#-0,6436738#3,523813#-0,07600366#-0,6257915#3,545552#0  
frame8 #0,004396843#1,017357#3,547582#0,007958571#0,8357962#3,55649# 0,2382319#0,1265299#3,5572#-0,2297564#0,143126#3,544187#0,2397052#0,1844419#3,592981#-0,2140622#0,2092826#3,547826#0,2215278#0,4170582#3,611818#-0,2171359#0,4398542#3,598764#0,1760941#0,6912584#3,553407#-0,1642794#0,6998913#3,562773#0,001640716#0,4553784#3,583323#-0,0005626575#0,382071#3,545022#0,07514417#0,3032084#3,537459#-0,0789186#0,3067157#3,544952#0,09590828#-0,2336697#3,581923#-0,08760536#-0,2219264#3,572873#0,08958218#-0,5795398#3,574175#-0,03881172#-0,5790802#3,581659#0,08777317#-0,6463037#3,526669#-0,05261579#-0,6417102#3,556903#0  
frame9 #0,004113846#1,017228#3,550989#0,004463837#0,8365352#3,55445# 0,2058844#0,1379674#3,507649#-0,2296411#0,1196128#3,538886#0,2073581#0,1948507#3,54276#-0,2111945#0,1838138#3,541822#0,2191609#0,4239299#3,605484#-0,2051965#0,4163583#3,585268#0,1757406#0,6907921#3,552806#-0,1640064#0,700671#3,561128#0,0003221416#0,4563081#3,57984#-0,001432178#0,3826278#3,544584#0,07418537#0,3042294#3,537428#-0,07957008#0,3075283#3,543997#0,09463729#-0,2363819#3,579027#-0,08544453#-0,2233005#3,571049#0,08447742#-0,5790396#3,573968#-0,03516664#-0,5829626#3,576736#0,08739832#-0,6467144#3,52512#-0,05193402#-0,6445557#3,55362#0  
frame10 #-0,0008790374#1,020579#3,544262#0,002593488#0,8382246#3,555031# 0,2031829#0,1399051#3,504524#-0,2253895#0,1454786#3,542219#0,2046454#0,196354#3,539367#-0,2102394#0,1837132#3,539543#0,2180045#0,425539#3,603918#-0,2050932#0,4165835#3,585074#0,17492#0,6916994#3,553072#-0,1637892#0,7010248#3,560773#-0,0003541805#0,4571863#3,577793#-0,001883121#0,3835497#3,543297#0,07352272#0,305876#3,536084#-0,07940774#0,3092383#3,54112#0,0935296#-0,2355187#3,577414#-0,08505569#-0,2223842#3,568669#0,07946765#-0,5767174#3,574352#-0,03640227#-0,5801913#3,578604#0,08857854#-0,6457309#3,526415#-0,06192253#-0,6398955#3,559849#0  
frame11 #-0,001781284#1,021017#3,54472#-2,260064E-05#0,8388313#3,554621# 0,2034682#0,1392196#3,510125#-0,2220928#0,1451165#3,536313#0,2049214#0,1953079#3,544745#-0,2090908#0,2107065#3,542862#0,2178834#0,4255376#3,603436#-0,2104911#0,4448858#3,574588#0,1736243#0,692719#3,553188#-0,164324#0,7015551#3,560385#-0,001563938#0,4577942#3,57577#-0,002797157#0,3841497#3,542049#0,07276655#0,3063772#3,534988#-0,07997119#0,3101928#3,539508#0,09278879#-0,2373672#3,576771#-0,08443981#-0,2230667#3,567983#0,08400073#-0,5793859#3,573385#-0,03758236#-0,5811719#3,579509#0,088912#-0,6456654#3,526871#-0,03829455#-0,6436427#3,55105#0  
frame12 #-0,001867039#1,020916#3,544772#-0,000595262#0,838837#3,554224# 0,2070832#0,1388263#3,516179#-0,2221599#0,1454075#3,53612#0,2085282#0,1945974#3,550603#-0,2094203#0,2041315#3,543106#0,2180345#0,4260671#3,603176#-0,2086143#0,4383698#3,573722#0,1734517#0,6928335#3,553093#-0,1644635#0,7015479#3,560306#-0,001673143#0,4579197#3,574903#-0,002837684#0,3841872#3,542017#0,07275508#0,3064238#3,535067#-0,07997265#0,310235#3,539395#0,09087896#-0,2378837#3,575121#-0,08369923#-0,2238528#3,567135#0,08520437#-0,5811077#3,572423#-0,03624139#-0,5834212#3,578901#0,08873403#-0,6470762#3,525054#-0,05833235#-0,6521561#3,567696#0  
frame13 #-0,008782259#1,020778#3,546573#-0,002550351#0,8388079#3,559577# 0,2031828#0,141819#3,511678#-0,2218125#0,1494462#3,522083#0,2046122#0,1969871#3,54573#-0,2131667#0,2040849#3,540771#0,2176342#0,4275063#3,60238#-0,2100274#0,4379287#3,575322#0,1723815#0,6930083#3,552308#-0,1683617#0,7007799#3,5599#-0,001937219#0,4578468#3,574316#-0,003091889#0,3846381#3,541505#0,07276508#0,3065648#3,534485#-0,08029106#0,3107736#3,537417#0,0892899#-0,2393344#3,57469#-0,08404113#-0,2236097#3,565775#0,08867988#-0,5859323#3,569042#-0,03630942#-0,5827996#3,577227#0,08988637#-0,6495323#3,523085#-0,02870664#-0,6474156#3,550554#0  
frame14 #-0,01270594#1,022595#3,541104#-0,003153092#0,8388814#3,559801# 0,2026326#0,1424882#3,510455#-0,2227969#0,150115#3,516826#0,2040535#0,1973295#3,544306#-0,2133817#0,2020256#3,539571#0,2174686#0,4276187#3,602321#-0,2103502#0,4358053#3,575372#0,1707329#0,6951997#3,552977#-0,1686941#0,7010126#3,559977#-0,002240648#0,4578699#3,574042#-0,003289935#0,3847053#3,541056#0,07251389#0,3068424#3,533892#-0,08022077#0,3107276#3,53671#0,08803333#-0,2408726#3,574321#-0,08483735#-0,2252847#3,563508#0,09073877#-0,5827184#3,570505#-0,03412362#-0,584322#3,576736#0,08991657#-0,648872#3,522714#-0,0595708#-0,655936#3,578951#0  
frame15 #-0,01206486#1,021138#3,538949#-0,003670921#0,8361661#3,560781# 0,2025888#0,1455367#3,510786#-0,2231186#0,1285332#3,513681#0,2040009#0,2000398#3,544428#-0,2120252#0,1882121#3,534169#0,217569#0,4307676#3,601341#-0,2092851#0,4217262#3,574912#0,1704218#0,6953312#3,553241#-0,1689343#0,7009007#3,560031#-0,0023989#0,4575372#3,574071#-0,003369819#0,3846093#3,540925#0,07251085#0,306792#3,533582#-0,08032587#0,3104957#3,536537#0,08791323#-0,2410648#3,574443#-0,0850199#-0,2262396#3,562837#0,08416251#-0,5824283#3,569786#-0,04447845#-0,5832688#3,580732#0,08614662#-0,6495141#3,521994#-0,0657967#-0,6533531#3,566928#0 
