frame1 #-0,006965638#1,017509#3,566859#-0,0008471277#0,8342237#3,574339# 0,1604973#0,3732625#3,386408#-0,1407441#0,2893018#3,366897#0,2095074#0,3936593#3,429118#-0,1709401#0,3415129#3,419324#0,2991801#0,5221211#3,567289#-0,261528#0,498146#3,591012#0,1702995#0,7038054#3,566009#-0,1728902#0,6976897#3,581731#0,001669551#0,4511376#3,591288#-0,0006343775#0,3809178#3,53941#0,07661954#0,3050988#3,522933#-0,07781583#0,3023467#3,539083#0,09861305#-0,2317273#3,581568#-0,08655915#-0,2209497#3,572151#0,09995638#-0,583389#3,57986#-0,0366841#-0,5830072#3,580577#0,08190311#-0,6543243#3,522629#-0,06524392#-0,6471423#3,57708#0  
frame12 #0,004308471#1,017363#3,547482#0,007910716#0,8357852#3,556457# 0,2381513#0,1240104#3,55565#-0,2304313#0,1402749#3,544037#0,2396898#0,1844398#3,592983#-0,2140764#0,2093106#3,547834#0,2215859#0,4170722#3,611844#-0,2171432#0,4398574#3,598767#0,1761792#0,6911506#3,553338#-0,1642089#0,6998689#3,562769#0,001555158#0,4554324#3,582927#-0,0006565379#0,3820872#3,545162#0,07511362#0,3031577#3,537591#-0,07899818#0,3068115#3,545048#0,09582336#-0,2336159#3,581867#-0,08760721#-0,221923#3,572912#0,08957976#-0,5795035#3,57416#-0,03875783#-0,5790671#3,58172#0,08769469#-0,6462036#3,52657#-0,05265607#-0,6418815#3,556843#0  
frame13 #0,004496148#1,016763#3,551055#0,005997894#0,8356082#3,554834# 0,2131027#0,1301373#3,510927#-0,2302594#0,1403503#3,543536#0,2146524#0,1899518#3,547847#-0,2121393#0,2082056#3,546792#0,2209984#0,418415#3,611069#-0,2158064#0,4404919#3,59773#0,1760277#0,6906602#3,552956#-0,1638493#0,7004668#3,562062#0,001060896#0,4557297#3,58116#-0,0009359856#0,3821809#3,544987#0,07483002#0,3032978#3,537696#-0,07924435#0,3072038#3,544528#0,0961116#-0,2329033#3,581429#-0,08685924#-0,2227421#3,572027#0,09174514#-0,5787026#3,57342#-0,03505266#-0,5815446#3,577462#0,08711261#-0,6464504#3,52552#-0,05271094#-0,643774#3,554911#0  
frame14 #0,00509979#1,017608#3,550564#0,005035747#0,8355175#3,554396# 0,2023704#0,1321777#3,499817#-0,2284107#0,1326391#3,538772#0,2039066#0,1914715#3,536416#-0,2085818#0,1993743#3,542061#0,2204037#0,4178443#3,608679#-0,2132643#0,4299823#3,597295#0,1760408#0,6909254#3,553073#-0,1632347#0,7003431#3,560831#0,0005874502#0,4560057#3,579579#-0,001168447#0,3823898#3,544777#0,0746062#0,3036595#3,537808#-0,0794985#0,3077583#3,543776#0,09492315#-0,2357152#3,579794#-0,08635931#-0,2228351#3,570988#0,09188431#-0,5785875#3,573414#-0,03414286#-0,5826102#3,57706#0,08390982#-0,6449101#3,525778#-0,05331975#-0,644859#3,557244#0  
frame15 #-0,0005319619#1,020967#3,544041#0,002114588#0,8380547#3,554739# 0,2003114#0,1378797#3,499754#-0,2253746#0,1188822#3,536748#0,2018239#0,1962575#3,535788#-0,2082367#0,185308#3,538349#0,2178524#0,4249616#3,603056#-0,2063841#0,4180161#3,587478#0,1749951#0,6918302#3,553111#-0,1632622#0,7008405#3,559943#-0,0007119217#0,4575044#3,576191#-0,002100858#0,383822#3,543239#0,07332448#0,3062516#3,536213#-0,07957255#0,3097023#3,540811#0,09305574#-0,2366031#3,576837#-0,08485787#-0,2224567#3,568209#0,0794905#-0,576662#3,574332#-0,03591612#-0,5805156#3,578566#0,08669691#-0,6446152#3,526517#-0,06192864#-0,640205#3,560733#0  
frame16 #-0,001511511#1,021358#3,544532#-0,000292032#0,8386758#3,554399# 0,2017177#0,1366557#3,507677#-0,2219263#0,1440536#3,535563#0,2032205#0,19466#3,54348#-0,2077061#0,2104125#3,542111#0,2177635#0,4250091#3,602722#-0,2107042#0,4447823#3,575272#0,1736895#0,6928231#3,55321#-0,1638795#0,7014074#3,559649#-0,001840636#0,4581139#3,57433#-0,002966458#0,3844399#3,542005#0,07258569#0,3067616#3,535078#-0,0800733#0,3106145#3,539301#0,09249283#-0,2380253#3,57637#-0,08430214#-0,2230937#3,567617#0,08401905#-0,5793504#3,57336#-0,03720989#-0,581451#3,579488#0,0873502#-0,6446799#3,527057#-0,03823748#-0,6440089#3,551127#0  
frame17 #-0,007254213#1,022681#3,544232#-0,002602207#0,8385989#3,555035# 0,2064162#0,1376808#3,515499#-0,2310611#0,1334804#3,52782#0,2078957#0,1947832#3,550745#-0,2085544#0,1952045#3,541558#0,2166575#0,4271413#3,600642#-0,2081532#0,4296035#3,575657#0,1722145#0,6936498#3,55273#-0,1655424#0,7008308#3,559457#-0,002215491#0,4581785#3,573012#-0,003184678#0,3844778#3,541831#0,07245555#0,3069504#3,534967#-0,08012125#0,3104334#3,538884#0,0908418#-0,2384478#3,574862#-0,08331378#-0,224005#3,566534#0,08490214#-0,5809734#3,572915#-0,03606353#-0,5836006#3,578969#0,08670042#-0,6445282#3,518646#-0,05417827#-0,6501311#3,56613#0  
frame18 #-0,01026762#1,023353#3,54609#-0,003358314#0,8389691#3,558573# 0,2049682#0,1402312#3,510582#-0,2244899#0,1340396#3,525461#0,2064371#0,1969262#3,545576#-0,2110554#0,1978672#3,539124#0,2166063#0,4284023#3,600719#-0,210293#0,4320087#3,576462#0,1717777#0,6935883#3,55233#-0,1678973#0,7010199#3,560268#-0,002256801#0,4582059#3,572934#-0,003307194#0,3848701#3,541574#0,07248329#0,3070756#3,534702#-0,08030771#0,3109984#3,537813#0,09035842#-0,2385947#3,574819#-0,08356223#-0,2237085#3,565637#0,08611572#-0,5823057#3,571579#-0,0359998#-0,5836085#3,578683#0,08710162#-0,6460159#3,518024#-0,02531382#-0,6477045#3,555259#0  
frame19 #-0,0133363#1,024129#3,541252#-0,003835271#0,8390206#3,558883# 0,2040132#0,1408893#3,509277#-0,22434#0,1368098#3,514944#0,205472#0,1971925#3,544029#-0,2116151#0,1974727#3,538139#0,216555#0,4284302#3,600756#-0,2104127#0,4316078#3,576389#0,1703761#0,6955004#3,552941#-0,1682924#0,7012426#3,560306#-0,002516112#0,4582198#3,572712#-0,003483582#0,384941#3,54111#0,07225939#0,3073256#3,534069#-0,08022466#0,3109543#3,536994#0,08870208#-0,2404935#3,574358#-0,08447545#-0,2253602#3,56339#0,08858646#-0,5803776#3,572229#-0,03394043#-0,5849082#3,577868#0,08734237#-0,6458726#3,518195#-0,05903715#-0,6558899#3,579083#0  
frame20 #-0,01246664#1,022126#3,538822#-0,004197975#0,8361919#3,560114# 0,2037392#0,1436941#3,509532#-0,2246503#0,1270569#3,512225#0,205188#0,1996139#3,544048#-0,210737#0,1876864#3,533461#0,2168614#0,4311194#3,600223#-0,2094842#0,4215927#3,575533#0,1701184#0,6955963#3,553187#-0,1685902#0,7011003#3,56034#-0,002646979#0,4578788#3,572802#-0,003551614#0,3848457#3,540978#0,07227422#0,3072513#3,533724#-0,08033067#0,3107138#3,536793#0,08850661#-0,240748#3,574498#-0,08471224#-0,2262988#3,562738#0,08335937#-0,5808845#3,571007#-0,04431363#-0,5835868#3,581297#0,0846478#-0,6471782#3,518667#-0,06563569#-0,6532947#3,566808#0  
frame21 #-0,01522476#1,011219#3,527248#-0,004983395#0,8301406#3,561878# 0,2071186#0,1405321#3,51977#-0,2252577#0,124047#3,513055#0,2085492#0,1957492#3,553853#-0,212681#0,1842576#3,53377#0,2168437#0,4291432#3,602795#-0,2076059#0,4186976#3,575531#0,1694589#0,6952079#3,5532#-0,1712561#0,7004042#3,562817#-0,003008901#0,4566356#3,573142#-0,004025388#0,3843103#3,540514#0,07210933#0,3068737#3,533162#-0,08133429#0,3093253#3,535988#0,08836053#-0,240732#3,573977#-0,08526984#-0,2317487#3,561435#0,07945722#-0,5829573#3,571849#-0,03855542#-0,5854134#3,579939#0,0860489#-0,6469916#3,522211#-0,05194898#-0,6506417#3,551203#0  
frame22 #-0,01825743#1,004075#3,517238#-0,004383523#0,8250183#3,562515# 0,2081819#0,145668#3,528332#-0,2252269#0,1266225#3,512626#0,2096028#0,2005144#3,562186#-0,2127686#0,1862251#3,533805#0,2186617#0,4347829#3,604785#-0,2087913#0,4206784#3,576041#0,1694344#0,694429#3,554379#-0,1745474#0,6988112#3,564508#-0,002864754#0,4562309#3,573536#-0,003986698#0,3842956#3,540456#0,07261057#0,306702#3,533343#-0,08141317#0,3087341#3,535503#0,08835514#-0,2412196#3,573749#-0,08505663#-0,2329708#3,560869#0,07879768#-0,5832469#3,571704#-0,03767298#-0,5870032#3,578907#0,08424789#-0,6463702#3,52415#-0,05214135#-0,6521039#3,555604#0  
frame23 #-0,01940032#1,003957#3,513472#-0,00419394#0,8238238#3,562122# 0,2086242#0,145435#3,530168#-0,2247859#0,1283202#3,512818#0,2100371#0,1999689#3,563829#-0,2143257#0,1872948#3,535656#0,2176608#0,4345764#3,604076#-0,2092438#0,4218233#3,577204#0,1690004#0,6942675#3,555892#-0,1753815#0,6986294#3,565088#-0,003072751#0,4560208#3,573905#-0,004097342#0,3842688#3,5405#0,07258027#0,3066653#3,533286#-0,08177416#0,3084331#3,535911#0,08829395#-0,2420701#3,573807#-0,08507288#-0,2307301#3,559933#0,07686616#-0,5837132#3,571503#-0,04305313#-0,5857829#3,575685#0,08430937#-0,6464207#3,524111#-0,06334645#-0,651875#3,549795#0  
frame24 #-0,02055872#0,9933504#3,50133#-0,003955503#0,8210266#3,56196# 0,2071405#0,1498852#3,527369#-0,2255231#0,1234511#3,511949#0,2085454#0,2041115#3,56084#-0,2143626#0,181498#3,535798#0,2159944#0,4383276#3,604642#-0,2104026#0,4163327#3,575011#0,1685634#0,6936175#3,55611#-0,1758499#0,6986641#3,565439#-0,00341997#0,4557423#3,574325#-0,004525652#0,3843361#3,540701#0,07224046#0,3065582#3,53354#-0,08250301#0,3085454#3,5361#0,08875577#-0,2387416#3,572384#-0,08406879#-0,2265989#3,558353#0,07589455#-0,583797#3,572872#-0,04276586#-0,5850227#3,578387#0,0844385#-0,6476759#3,521875#-0,06339718#-0,6515967#3,552408#0  
frame25 #-0,01988713#0,989762#3,501225#-0,00375945#0,8172765#3,56199# 0,2062303#0,1676172#3,527386#-0,2255339#0,1276636#3,512291#0,2071139#0,2065543#3,558591#-0,2142799#0,1853216#3,535996#0,2151157#0,4402527#3,605562#-0,212128#0,4201877#3,5744#0,1678846#0,6932769#3,5567#-0,1766707#0,697802#3,565006#-0,00407841#0,4545969#3,574683#-0,005034881#0,3838517#3,540772#0,0718356#0,306071#3,533583#-0,08336636#0,3078043#3,536131#0,08869006#-0,2392046#3,572356#-0,08514453#-0,2285531#3,557773#0,07525953#-0,5847634#3,5733#-0,04228541#-0,58579#3,577862#0,08196007#-0,6479694#3,521644#-0,06624579#-0,6500662#3,551968#0  
frame26 #-0,01827876#0,9899094#3,496997#-0,004217372#0,8147938#3,561881# 0,2045828#0,154795#3,5308#-0,2346348#0,1238033#3,523354#0,2059868#0,2089866#3,56425#-0,2142519#0,182776#3,536174#0,2147004#0,442893#3,608797#-0,2116284#0,4175374#3,574648#0,1672713#0,6924407#3,558787#-0,1777942#0,6962351#3,566981#-0,004194064#0,4538376#3,575036#-0,005093313#0,383567#3,54088#0,07193983#0,3057387#3,533861#-0,08346324#0,3072684#3,53614#0,08890378#-0,2398834#3,572453#-0,08603949#-0,228611#3,557944#0,07576581#-0,5846485#3,573245#-0,04221103#-0,5850735#3,577688#0,08299785#-0,6460859#3,522062#-0,06467211#-0,6499816#3,552138#0  
frame27 #-0,01911879#0,9800454#3,491469#-0,003959639#0,8106138#3,561515# 0,2058084#0,1804369#3,539989#-0,2304308#0,1397459#3,521394#0,206383#0,2122928#3,570706#-0,2146017#0,1992399#3,536323#0,2150978#0,446254#3,612334#-0,2221627#0,4320515#3,586681#0,1674394#0,6919742#3,559177#-0,1782634#0,6957773#3,566972#-0,004564971#0,4531927#3,575431#-0,00544537#0,3833656#3,541198#0,07173195#0,3055591#3,534111#-0,08426908#0,3064262#3,536771#0,08891264#-0,2400811#3,572424#-0,085991#-0,2308889#3,557872#0,0740907#-0,5834366#3,572125#-0,03925546#-0,5845942#3,578778#0,08297623#-0,6459347#3,522235#-0,0619083#-0,6510599#3,558395#0  
