frame1 #-0,006965638#1,017509#3,566859#-0,0008471277#0,8342237#3,574339# 0,1604973#0,3732625#3,386408#-0,1407441#0,2893018#3,366897#0,2095074#0,3936593#3,429118#-0,1709401#0,3415129#3,419324#0,2991801#0,5221211#3,567289#-0,261528#0,498146#3,591012#0,1702995#0,7038054#3,566009#-0,1728902#0,6976897#3,581731#0,001669551#0,4511376#3,591288#-0,0006343775#0,3809178#3,53941#0,07661954#0,3050988#3,522933#-0,07781583#0,3023467#3,539083#0,09861305#-0,2317273#3,581568#-0,08655915#-0,2209497#3,572151#0,09995638#-0,583389#3,57986#-0,0366841#-0,5830072#3,580577#0,08190311#-0,6543243#3,522629#-0,06524392#-0,6471423#3,57708#0  
frame12 #0,00509979#1,017608#3,550564#0,005035747#0,8355175#3,554396# 0,2023704#0,1321777#3,499817#-0,2284107#0,1326391#3,538772#0,2039066#0,1914715#3,536416#-0,2085818#0,1993743#3,542061#0,2204037#0,4178443#3,608679#-0,2132643#0,4299823#3,597295#0,1760408#0,6909254#3,553073#-0,1632347#0,7003431#3,560831#0,0005874502#0,4560057#3,579579#-0,001168447#0,3823898#3,544777#0,0746062#0,3036595#3,537808#-0,0794985#0,3077583#3,543776#0,09492315#-0,2357152#3,579794#-0,08635931#-0,2228351#3,570988#0,09188431#-0,5785875#3,573414#-0,03414286#-0,5826102#3,57706#0,08390982#-0,6449101#3,525778#-0,05331975#-0,644859#3,557244#0  
frame13 #-0,0005319619#1,020967#3,544041#0,002114588#0,8380547#3,554739# 0,2003114#0,1378797#3,499754#-0,2253746#0,1188822#3,536748#0,2018239#0,1962575#3,535788#-0,2082367#0,185308#3,538349#0,2178524#0,4249616#3,603056#-0,2063841#0,4180161#3,587478#0,1749951#0,6918302#3,553111#-0,1632622#0,7008405#3,559943#-0,0007119217#0,4575044#3,576191#-0,002100858#0,383822#3,543239#0,07332448#0,3062516#3,536213#-0,07957255#0,3097023#3,540811#0,09305574#-0,2366031#3,576837#-0,08485787#-0,2224567#3,568209#0,0794905#-0,576662#3,574332#-0,03591612#-0,5805156#3,578566#0,08669691#-0,6446152#3,526517#-0,06192864#-0,640205#3,560733#0  
frame14 #-0,001511511#1,021358#3,544532#-0,000292032#0,8386758#3,554399# 0,2017177#0,1366557#3,507677#-0,2219263#0,1440536#3,535563#0,2032205#0,19466#3,54348#-0,2077061#0,2104125#3,542111#0,2177635#0,4250091#3,602722#-0,2107042#0,4447823#3,575272#0,1736895#0,6928231#3,55321#-0,1638795#0,7014074#3,559649#-0,001840636#0,4581139#3,57433#-0,002966458#0,3844399#3,542005#0,07258569#0,3067616#3,535078#-0,0800733#0,3106145#3,539301#0,09249283#-0,2380253#3,57637#-0,08430214#-0,2230937#3,567617#0,08401905#-0,5793504#3,57336#-0,03720989#-0,581451#3,579488#0,0873502#-0,6446799#3,527057#-0,03823748#-0,6440089#3,551127#0  
frame15 #-0,003008638#1,018377#3,543715#-0,001804432#0,8383318#3,556691# 0,2031871#0,1364873#3,513783#-0,2229149#0,1405587#3,521202#0,2046728#0,1938323#3,549179#-0,210968#0,2032417#3,542919#0,2178674#0,4253491#3,60216#-0,2087261#0,4376667#3,574867#0,1729933#0,6930856#3,552748#-0,1659287#0,7004339#3,558476#-0,002095889#0,458068#3,573228#-0,003094169#0,384546#3,54171#0,07259424#0,306802#3,534776#-0,08017877#0,3106664#3,53818#0,08949102#-0,2396205#3,574518#-0,08378445#-0,2238828#3,566436#0,08853926#-0,5858151#3,569195#-0,03617317#-0,5828534#3,577305#0,08940954#-0,6483502#3,52529#-0,04958083#-0,6481305#3,547227#0  
frame16 #-0,008050462#1,020756#3,543659#-0,00309794#0,838311#3,557069# 0,2033927#0,1380516#3,514482#-0,2304528#0,1349655#3,520633#0,2048646#0,1948624#3,549548#-0,2111347#0,1951702#3,542115#0,2166201#0,4269121#3,600381#-0,2081641#0,4295347#3,576042#0,1718714#0,6937289#3,552455#-0,1668044#0,7001278#3,558523#-0,002351242#0,4580434#3,572914#-0,00325884#0,3845382#3,541595#0,07247888#0,3069342#3,534636#-0,08021484#0,3104846#3,538001#0,08969834#-0,2396312#3,574509#-0,08348513#-0,2240293#3,566172#0,08710975#-0,5844994#3,570993#-0,03626506#-0,582973#3,577513#0,08780183#-0,6455866#3,518392#-0,04813161#-0,647267#3,552318#0  
frame17 #-0,01088711#1,021959#3,5457#-0,003627088#0,8386914#3,559613# 0,2032502#0,1403665#3,511106#-0,2247883#0,1352803#3,521246#0,204712#0,1967888#3,545932#-0,2127748#0,1978202#3,539765#0,2165734#0,4282497#3,600503#-0,2102943#0,4319499#3,576746#0,1715042#0,6936644#3,552116#-0,1687433#0,7004515#3,559479#-0,002372069#0,4581249#3,572971#-0,003368739#0,3849042#3,541372#0,07250264#0,3070483#3,534417#-0,08036856#0,3109787#3,53717#0,08943072#-0,2396512#3,574506#-0,08369719#-0,2237458#3,565373#0,08755085#-0,5848453#3,570447#-0,03621104#-0,5830116#3,577396#0,08797421#-0,6467012#3,517898#-0,02934807#-0,6471318#3,55232#0  
frame18 #-0,01367347#1,023181#3,541117#-0,004021805#0,8387623#3,559793# 0,2026634#0,1410089#3,509822#-0,2245665#0,1374245#3,51413#0,2041153#0,1970483#3,544412#-0,2130519#0,197438#3,538723#0,2165201#0,428285#3,600547#-0,2104143#0,4315532#3,576646#0,1701822#0,6955326#3,552765#-0,1690382#0,7007111#3,559585#-0,002616729#0,4581397#3,572855#-0,003531012#0,384967#3,540949#0,07228604#0,3072889#3,533846#-0,0802865#0,3109395#3,536512#0,08816881#-0,2410992#3,57417#-0,08455743#-0,2253509#3,563242#0,08982472#-0,5820729#3,571455#-0,03407799#-0,5844643#3,576868#0,08813971#-0,6465102#3,518072#-0,05858896#-0,6556158#3,578158#0  
frame19 #-0,01276139#1,0215#3,538835#-0,004322972#0,8361293#3,560752# 0,2025825#0,1438749#3,510084#-0,2248616#0,1275885#3,511547#0,2040247#0,1995403#3,544444#-0,2117248#0,1877106#3,533774#0,2168375#0,4310329#3,60006#-0,2094864#0,4215767#3,575679#0,1699415#0,6956257#3,553027#-0,1692355#0,7006289#3,559662#-0,002739872#0,4578126#3,57301#-0,003593695#0,384873#3,540831#0,07229795#0,3072203#3,533539#-0,08038047#0,3107155#3,536362#0,08803988#-0,2412735#3,574303#-0,08477886#-0,2262789#3,562622#0,08385196#-0,5820202#3,570432#-0,04445595#-0,5833436#3,580796#0,0851342#-0,6477042#3,518597#-0,06526282#-0,6532251#3,56666#0  
frame20 #-0,01530247#1,011162#3,527297#-0,005035955#0,8301761#3,562219# 0,2068272#0,1408289#3,520082#-0,2253467#0,124516#3,512652#0,2082517#0,1958144#3,554022#-0,2132702#0,1843293#3,533956#0,2168368#0,4291525#3,602747#-0,2076089#0,4186888#3,575631#0,1693262#0,6952415#3,553068#-0,1716609#0,7000926#3,562382#-0,003067858#0,4565801#3,573423#-0,004057721#0,3843313#3,540407#0,07213508#0,3068545#3,533023#-0,08135906#0,3093329#3,535706#0,08798723#-0,2411718#3,573842#-0,08530988#-0,231734#3,561377#0,07974062#-0,5836705#3,571504#-0,03859801#-0,585286#3,579663#0,08635661#-0,6473312#3,522159#-0,05198053#-0,6506442#3,551312#0  
frame21 #-0,01829254#1,004055#3,517288#-0,004419095#0,825042#3,562752# 0,2080312#0,1459629#3,528583#-0,2252286#0,1270497#3,5123#0,2094465#0,2005912#3,562302#-0,2132001#0,1862934#3,533951#0,2186584#0,4347927#3,60476#-0,2087921#0,4206688#3,576122#0,1693244#0,694444#3,554295#-0,1747826#0,698614#3,564171#-0,002914714#0,4561759#3,573827#-0,004015877#0,384314#3,540356#0,07263865#0,3066795#3,533226#-0,08143364#0,3087499#3,535268#0,08801689#-0,2415752#3,573645#-0,08509029#-0,2329575#3,560826#0,07904933#-0,5838733#3,571403#-0,03770834#-0,5868992#3,578691#0,0844313#-0,6466108#3,524169#-0,05216209#-0,6520963#3,555655#0  
frame22 #-0,02057016#0,9933442#3,501368#-0,003976331#0,8210279#3,562118# 0,2070877#0,1501567#3,527545#-0,2255328#0,1238216#3,51178#0,2084876#0,2041875#3,560895#-0,2145839#0,1815676#3,535843#0,2159947#0,4383329#3,604635#-0,2104021#0,4163218#3,575056#0,1684831#0,6936285#3,556068#-0,1760351#0,6985153#3,565199#-0,00346091#0,4556903#3,574619#-0,004555555#0,3843457#3,540629#0,07225676#0,3065303#3,533454#-0,0825357#0,3085411#3,535945#0,08855145#-0,2388741#3,572298#-0,08408794#-0,2265997#3,558344#0,07601041#-0,5842077#3,572728#-0,04274402#-0,5849741#3,578332#0,08456802#-0,6478387#3,521916#-0,06340526#-0,6515943#3,552431#0  
frame23 #-0,01912146#0,980045#3,491512#-0,003967841#0,8106124#3,561596# 0,2049697#0,1580939#3,537235#-0,2305309#0,1393742#3,521245#0,2063755#0,2123522#3,570726#-0,2147286#0,1992822#3,536374#0,2150976#0,446258#3,612345#-0,2221601#0,4320467#3,586699#0,1673921#0,6919754#3,559175#-0,1783443#0,6957163#3,566864#-0,004590191#0,4531381#3,575702#-0,005473403#0,3833508#3,541169#0,07174093#0,3055161#3,534075#-0,08430146#0,3063926#3,536697#0,08876116#-0,240164#3,572369#-0,08599945#-0,2308878#3,557883#0,07414191#-0,5836457#3,572023#-0,03924413#-0,5845712#3,578757#0,08303745#-0,6460154#3,522271#-0,06191098#-0,6510592#3,558413#0  
