frame1 #-0,01963336#1,018451#3,678156#-0,02901521#0,7980068#3,710592# -0,03542356#0,8281961#3,259018#-0,02418673#0,7291476#3,355135#0,0209612#0,7930948#3,281215#-0,1131524#0,7555436#3,336031#0,1649835#0,7193452#3,371863#-0,2903982#0,6459323#3,473693#0,1131309#0,6742821#3,62045#-0,1761533#0,6540829#3,648402#-0,01319292#0,4607873#3,684826#-0,01619649#0,4063382#3,628326#0,0509924#0,3467206#3,602484#-0,0791855#0,3376309#3,623063#0,09976573#-0,203227#3,644073#-0,1197842#-0,2062832#3,641227#0,09398615#-0,5548924#3,66255#-0,08787448#-0,5546558#3,688284#0,08483017#-0,6272342#3,614121#-0,09774734#-0,6338315#3,65228#0  
frame12 #-0,03708636#1,033305#3,661553#-0,01305861#0,8338885#3,6666# 0,2085729#0,1642843#3,607126#-0,2401802#0,131285#3,590409#0,2116683#0,2454416#3,667562#-0,2423228#0,2198296#3,639438#0,2131579#0,4511529#3,663854#-0,2418738#0,4477296#3,694464#0,1415782#0,7001956#3,636475#-0,1901387#0,6974553#3,659692#-0,01113303#0,4677394#3,683606#-0,0142267#0,4021767#3,628877#0,05626827#0,3295894#3,613537#-0,08690451#0,3261319#3,623292#0,1013521#-0,2082301#3,656604#-0,1155394#-0,2081512#3,652745#0,08018243#-0,5537394#3,673004#-0,09063531#-0,5532181#3,697637#0,08882367#-0,6133435#3,627671#-0,09377736#-0,6204656#3,676222#0  
frame13 #-0,03647254#1,030856#3,65829#-0,0132005#0,8312951#3,659984# 0,2069032#0,1528644#3,605058#-0,2472373#0,1682831#3,59992#0,2099849#0,233663#3,665227#-0,2493704#0,2564363#3,648732#0,2052693#0,4747514#3,671417#-0,2372587#0,4516355#3,691984#0,1409713#0,7001154#3,634538#-0,1898043#0,6983156#3,658448#-0,01150952#0,4693629#3,682578#-0,01498351#0,4035705#3,629051#0,05513217#0,3313289#3,614858#-0,08759373#0,3283563#3,624608#0,1007074#-0,2088857#3,655191#-0,1148162#-0,2093174#3,653634#0,07978038#-0,5553323#3,673204#-0,09072454#-0,5534502#3,697395#0,08835914#-0,6148993#3,627821#-0,09317105#-0,620335#3,671958#0  
frame14 #-0,03891401#1,028913#3,648449#-0,01530188#0,831894#3,650771# 0,1284015#0,2057894#3,537008#-0,2332158#0,1667731#3,623231#0,2082902#0,2365794#3,658234#-0,2353407#0,2545855#3,671855#0,2023356#0,4908769#3,662838#-0,2291765#0,4528559#3,691069#0,1410418#0,6995888#3,633954#-0,1893796#0,6992524#3,655708#-0,01245271#0,4723124#3,67965#-0,01543556#0,4053696#3,628562#0,05508697#0,3326973#3,614968#-0,08793563#0,3302851#3,625406#0,09077771#-0,2117643#3,64968#-0,1134956#-0,2093292#3,652694#0,07676917#-0,5544749#3,676644#-0,09046154#-0,5557339#3,697628#0,08852246#-0,6149237#3,627673#-0,09312981#-0,6211978#3,67145#0  
frame15 #-0,03877801#1,028011#3,64672#-0,01514849#0,8314363#3,649058# 0,125948#0,2154838#3,547807#-0,230592#0,1672751#3,616514#0,2046883#0,2478618#3,662855#-0,2327093#0,2547765#3,664966#0,2021606#0,4904806#3,665623#-0,226909#0,4533778#3,690052#0,1410861#0,6995915#3,633743#-0,1884218#0,6995731#3,653341#-0,01289581#0,472851#3,677863#-0,01552062#0,4056479#3,628451#0,05501189#0,3331466#3,615234#-0,08796614#0,3306697#3,625681#0,09003479#-0,2120443#3,649205#-0,1124587#-0,2092455#3,652115#0,0768288#-0,5553502#3,677122#-0,09176143#-0,5561725#3,696419#0,08779658#-0,6150135#3,630979#-0,09212612#-0,620415#3,665326#0  
frame16 #-0,03216433#1,029996#3,645623#-0,01504824#0,8315648#3,648925# 0,1247833#0,2060859#3,55373#-0,2273402#0,174533#3,6145#0,2031797#0,2413655#3,66591#-0,2294506#0,2617498#3,662794#0,2015535#0,4718292#3,673526#-0,2224337#0,479857#3,682806#0,1415634#0,7012051#3,632957#-0,1871136#0,7010694#3,6512#-0,01322222#0,473362#3,676212#-0,01565625#0,4060549#3,628256#0,05485606#0,3335672#3,615197#-0,0880176#0,3311367#3,625706#0,08758825#-0,212586#3,648089#-0,1115657#-0,2099441#3,650812#0,07681636#-0,5555561#3,677149#-0,0891929#-0,5569077#3,695521#0,08789451#-0,6152244#3,631071#-0,09073894#-0,6212801#3,663069#0  
frame17 #-0,03201986#1,029917#3,645796#-0,01500497#0,8313768#3,648998# 0,1248705#0,2060303#3,553724#-0,2279766#0,1655495#3,621701#0,2032117#0,2413167#3,665835#-0,2300814#0,2525308#3,669864#0,2020324#0,4733719#3,672154#-0,2206011#0,4727378#3,683175#0,1416067#0,7014412#3,633026#-0,1859059#0,7022628#3,648942#-0,01353405#0,4735102#3,674999#-0,01560232#0,4061779#3,62819#0,0549278#0,3338842#3,615323#-0,08776834#0,3313713#3,625677#0,0845347#-0,2143339#3,646456#-0,1112623#-0,2099824#3,650934#0,08414526#-0,5556912#3,675017#-0,08906603#-0,5563506#3,695044#0,08760138#-0,6153842#3,631163#-0,1005082#-0,6151346#3,653672#0  
frame18 #-0,02879459#1,027631#3,645491#-0,01563451#0,8313355#3,649976# 0,1262684#0,2201802#3,556876#-0,2272709#0,1577023#3,611279#0,2040186#0,2552803#3,668089#-0,2293694#0,2444263#3,6593#0,2024687#0,4721263#3,672347#-0,2216002#0,4659113#3,683347#0,1411908#0,7019315#3,633263#-0,1852077#0,7023425#3,647566#-0,01403332#0,473407#3,673976#-0,01584828#0,4061156#3,628077#0,0545877#0,3339958#3,615194#-0,0877948#0,3313791#3,625643#0,0843112#-0,2143544#3,646135#-0,1112484#-0,2099607#3,650923#0,08622194#-0,5557747#3,676115#-0,08915336#-0,5558977#3,694285#0,08722857#-0,6158454#3,631783#-0,1007879#-0,6144207#3,654393#0 
frame19 #-0,02868256#1,026756#3,64342#-0,0151124#0,8314897#3,652958# 0,1217842#0,2171835#3,556846#-0,2263275#0,1607025#3,603308#0,1992881#0,2522944#3,667822#-0,2284209#0,2472124#3,65121#0,2042019#0,4542487#3,683897#-0,2217705#0,4669454#3,681664#0,1418113#0,7023436#3,632903#-0,185519#0,7032567#3,64893#-0,01377787#0,4734644#3,673555#-0,01581512#0,4065268#3,628198#0,05484221#0,3343217#3,615495#-0,08785387#0,3315956#3,625539#0,08422472#-0,2142318#3,645819#-0,1111367#-0,209992#3,650947#0,08649895#-0,5553813#3,676358#-0,08962998#-0,5550997#3,692775#0,08724526#-0,6164132#3,632622#-0,10111#-0,6150718#3,653923#0  
frame20 #-0,02407473#1,031094#3,647185#-0,01506475#0,8316352#3,652717# 0,1237328#0,2177141#3,556444#-0,2262196#0,1608837#3,603801#0,2011755#0,2528597#3,667328#-0,2283082#0,2471973#3,651595#0,2038731#0,4598378#3,681858#-0,2215841#0,4681696#3,679303#0,1430536#0,7026833#3,633816#-0,1840128#0,7043996#3,648342#-0,01393523#0,4736133#3,672899#-0,0157786#0,4065799#3,628111#0,05493149#0,3342777#3,615633#-0,0876944#0,3319834#3,625233#0,08354323#-0,2146403#3,644709#-0,1114351#-0,2100144#3,650697#0,08578262#-0,5540527#3,672871#-0,08968393#-0,555672#3,692655#0,08779245#-0,6161827#3,632194#-0,1023817#-0,6181228#3,657204#0  
frame21 #-0,0239401#1,029099#3,646448#-0,01489728#0,8317817#3,652694# 0,1243973#0,2180103#3,556193#-0,2261949#0,1612155#3,603936#0,2018229#0,2531775#3,667027#-0,2282787#0,2473276#3,651618#0,2080635#0,4676893#3,675442#-0,2216974#0,4693062#3,678246#0,1418344#0,7049901#3,632907#-0,1832236#0,704766#3,647697#-0,01378441#0,4735566#3,672414#-0,01568713#0,4064287#3,628102#0,05493043#0,3342758#3,615723#-0,08740777#0,3319639#3,62527#0,08396432#-0,2151036#3,643477#-0,1112875#-0,2101099#3,650453#0,08533061#-0,5537202#3,673707#-0,08977996#-0,5555786#3,692591#0,0872004#-0,6165929#3,633774#-0,09725884#-0,6200454#3,658262#0  
frame22 #-0,02287727#1,028707#3,645875#-0,01418056#0,8349802#3,654553# 0,1274882#0,2124946#3,553457#-0,2250323#0,1635145#3,610023#0,2048478#0,2477247#3,664175#-0,2279486#0,2431684#3,649515#0,2074967#0,4743143#3,676782#-0,2212341#0,4681024#3,677744#0,1418483#0,7051013#3,632904#-0,182398#0,7050859#3,646593#-0,01388871#0,473452#3,672219#-0,01566044#0,4063897#3,628098#0,0549781#0,3342912#3,615871#-0,0873808#0,3319759#3,625222#0,08349724#-0,2150475#3,643079#-0,1107147#-0,2101303#3,649404#0,08529221#-0,5532303#3,674152#-0,08991259#-0,5551941#3,692101#0,08698336#-0,6165284#3,635278#-0,09665362#-0,6213964#3,659919#0  
frame23 #-0,0240475#1,02926#3,646568#-0,01453848#0,8351415#3,654694# 0,1272962#0,2153899#3,553835#-0,2120361#0,1597248#3,589423#0,2045114#0,2431879#3,664547#-0,2093581#0,2288823#3,61209#0,2078359#0,4479982#3,677265#-0,2213099#0,468466#3,677139#0,141304#0,7070957#3,632139#-0,1821122#0,7052827#3,646613#-0,01374296#0,4734021#3,672025#-0,01557986#0,4062276#3,628073#0,05507364#0,3342718#3,615793#-0,08713707#0,3318444#3,625386#0,08336472#-0,215218#3,642965#-0,1104085#-0,210688#3,648937#0,08504567#-0,5536507#3,674093#-0,08580619#-0,5566139#3,690475#0,08700311#-0,6168901#3,635077#-0,09752414#-0,6228154#3,658768#0  
frame24 #-0,02111174#1,028467#3,644697#-0,0146696#0,8351883#3,654701# 0,1276989#0,208735#3,553122#-0,2189746#0,1688878#3,603238#0,2050062#0,243926#3,663732#-0,2221174#0,2353559#3,633241#0,2119212#0,4496035#3,679025#-0,2210652#0,4685801#3,676904#0,1416772#0,7068946#3,632023#-0,1811115#0,7056962#3,645742#-0,01382098#0,4733848#3,671894#-0,01550538#0,4061112#3,628139#0,05523308#0,3341406#3,615952#-0,0869906#0,3318222#3,625514#0,08293688#-0,2156112#3,643302#-0,1104141#-0,2106783#3,648573#0,08610304#-0,5537121#3,673242#-0,08616111#-0,5601518#3,691036#0,08713669#-0,6177034#3,63469#-0,1021271#-0,6248695#3,657288#0  
frame25 #-0,02019651#1,028534#3,644281#-0,01371354#0,8356767#3,655614# 0,1310255#0,2031862#3,551169#-0,204324#0,1660861#3,576452#0,2083193#0,2384785#3,661741#-0,2066306#0,2333217#3,605244#0,2139388#0,4551214#3,67843#-0,2183419#0,4637288#3,678798#0,1416448#0,7072663#3,631837#-0,1801751#0,7062135#3,647828#-0,01318468#0,4731636#3,671912#-0,01520883#0,4058388#3,628211#0,05537472#0,3340173#3,615911#-0,08662685#0,3317553#3,625721#0,08386793#-0,2134637#3,642844#-0,1100405#-0,2108445#3,648584#0,08786241#-0,5536005#3,673277#-0,08655467#-0,5601197#3,69044#0,08703945#-0,6181012#3,634732#-0,09884293#-0,6310726#3,66896#0  
frame26 #-0,01960889#1,029269#3,642815#-0,01250823#0,8359149#3,655833# 0,1320694#0,1985407#3,548588#-0,2044402#0,1650382#3,576912#0,2093557#0,2338307#3,659135#-0,2068601#0,2323464#3,606011#0,2155346#0,4550754#3,679524#-0,2175373#0,4552792#3,679588#0,1440859#0,7069502#3,632943#-0,1799907#0,7063116#3,648165#-0,01289359#0,4732979#3,671815#-0,01496746#0,4059393#3,628154#0,05573804#0,3340224#3,615707#-0,08658405#0,3317613#3,625738#0,08391928#-0,2135294#3,642725#-0,1095902#-0,2110134#3,648495#0,08758034#-0,5534264#3,672983#-0,08676201#-0,5598974#3,690583#0,08657627#-0,618686#3,634962#-0,09563532#-0,6301821#3,664378#0  
frame27 #-0,01703525#1,03019#3,640599#-0,01181562#0,8368913#3,654008# 0,133303#0,1939843#3,547463#-0,2081019#0,15454#3,578849#0,2105829#0,2292797#3,657997#-0,2108293#0,2217743#3,608405#0,2152449#0,4569531#3,679845#-0,2156645#0,4364148#3,680333#0,1457405#0,7069997#3,634159#-0,1790436#0,7074801#3,648862#-0,01287774#0,4737769#3,671489#-0,01493408#0,4061087#3,628149#0,05578824#0,334077#3,615825#-0,08663772#0,3320822#3,625865#0,08387852#-0,2134087#3,64268#-0,1094082#-0,2111187#3,648223#0,08576795#-0,5526133#3,673767#-0,08854293#-0,5588053#3,69057#0,08624177#-0,6179426#3,635154#-0,09315737#-0,629878#3,66437#0  
