frame1 #-0,141103#0,9558074#3,2377#-0,118155#0,7678524#3,277776# 0,00439763#0,41597#2,719001#-0,2862002#0,4147317#2,683601#0,0232016#0,4111341#2,811582#-0,3151173#0,4266137#2,7628#0,07893559#0,4826236#3,020083#-0,3306119#0,4619901#3,064447#0,0284668#0,6384027#3,186478#-0,2828881#0,6255025#3,222634#-0,1239148#0,3793707#3,268584#-0,1326701#0,3134624#3,20852#-0,06479377#0,2473895#3,191872#-0,2049595#0,2410882#3,200212#-0,06979556#-0,2648618#3,124781#-0,222874#-0,2833987#3,324999#-0,07358623#-0,6029825#2,966416#-0,0813635#-0,6178575#2,967506#-0,1116329#-0,6627576#2,904613#-0,1246659#-0,6827904#2,875334#0  
frame32 #-0,1153751#0,8598403#3,45698#-0,09718222#0,7012925#3,552952# -0,04142043#0,350784#2,924073#-0,4912949#0,4925793#3,691551#-0,0005470812#0,4007152#3,030826#-0,4737685#0,5548944#3,695134#0,08119962#0,5005776#3,258328#-0,4211894#0,74184#3,71988#-0,0008695157#0,583684#3,483691#-0,28199#0,655695#3,642324#-0,1136196#0,3767452#3,612854#-0,1299502#0,3102594#3,603956#-0,07172195#0,2415335#3,597677#-0,1997426#0,2481239#3,629692#-0,04081252#-0,1962537#3,621957#-0,2119582#-0,1912898#3,477682#-0,08474549#-0,5695766#3,774701#-0,1978051#-0,5832011#3,48248#-0,1110641#-0,6272643#3,71423#-0,2436369#-0,634282#3,405564#0  
frame33 #-0,1129598#0,8353039#3,465526#-0,09458833#0,6697856#3,555424# -0,04952963#0,3233244#2,949735#-0,2968794#0,4657968#3,683826#-0,005571268#0,3889388#3,09448#-0,3393826#0,5139694#3,679158#0,1064573#0,4893147#3,322267#-0,4668925#0,6584873#3,679107#0,02057666#0,5773821#3,498689#-0,2834387#0,6150247#3,613879#-0,112276#0,3628215#3,620401#-0,124534#0,2980857#3,613512#-0,05816915#0,2209332#3,613156#-0,1982335#0,2331931#3,637152#-0,03355845#-0,2166174#3,624864#-0,2113811#-0,1965007#3,476353#-0,08458326#-0,5686048#3,774439#-0,2078116#-0,5796412#3,49549#-0,117456#-0,6212631#3,692291#-0,2406843#-0,6322995#3,413341#0  
frame34 #-0,108927#0,789967#3,475182#-0,09757674#0,627202#3,561463# -0,04810142#0,2951988#3,013665#-0,3240744#0,8292038#3,522311#0,0552448#0,3075852#3,168144#-0,2967964#0,7963997#3,583625#0,1272592#0,4265029#3,371238#-0,4752886#0,6197476#3,622126#0,03375782#0,5455894#3,51606#-0,2832594#0,5800384#3,588991#-0,1136277#0,332293#3,632706#-0,1221692#0,2703709#3,628535#-0,05592372#0,1956921#3,631184#-0,1973882#0,2019883#3,648586#-0,03141645#-0,2404144#3,623131#-0,2075588#-0,2062123#3,478093#-0,08892052#-0,5607619#3,758076#-0,2238462#-0,5755081#3,49792#-0,1097958#-0,6147177#3,674207#-0,2447215#-0,6294638#3,41405#0  
frame35 #-0,09890334#0,7834833#3,455787#-0,09715331#0,6053247#3,56308# -0,0403826#0,2540658#3,073176#-0,3193742#0,7845265#3,475747#0,06106374#0,2500265#3,246027#-0,2921759#0,7518183#3,536882#0,1163175#0,3602145#3,405357#-0,4859405#0,5815603#3,548056#0,05056787#0,5142646#3,523681#-0,2822376#0,5316921#3,58536#-0,1166802#0,3111684#3,637186#-0,124381#0,2492203#3,635968#-0,05547035#0,1722564#3,641847#-0,2053747#0,173611#3,656869#-0,03124777#-0,2617602#3,617159#-0,2070089#-0,2259351#3,471222#-0,08793452#-0,5585834#3,741934#-0,2245968#-0,5731347#3,495858#-0,1042729#-0,6127498#3,658509#-0,1959056#-0,6522895#3,479972#0  
frame36 #-0,1023039#0,7469311#3,45905#-0,1043085#0,561744#3,555571# -0,05248949#0,2046988#3,125736#-0,3500817#0,7358572#3,45423#-0,007238485#0,2253275#3,213078#-0,3229529#0,7032324#3,515209#0,1124793#0,2720083#3,450081#-0,4858359#0,506404#3,496774#0,05606096#0,4680002#3,53455#-0,2785532#0,4871858#3,564295#-0,1217639#0,2614461#3,644775#-0,1269349#0,198192#3,64865#-0,05594995#0,1210468#3,657495#-0,2069264#0,1296749#3,671738#-0,02784634#-0,3076189#3,593172#-0,2037471#-0,2560787#3,462255#-0,08849708#-0,5575253#3,727875#-0,2253414#-0,5728936#3,494663#-0,09676255#-0,6137528#3,645635#-0,1963151#-0,6515967#3,481122#0  
frame37 #-0,08920063#0,6814967#3,462404#-0,08969993#0,5096928#3,562979# -0,01793004#0,1560888#3,251672#-0,4158351#0,6566432#3,369763#0,0218463#0,1507811#3,313855#-0,3888088#0,6241418#3,430511#0,1292116#0,2335272#3,515151#-0,4688831#0,4533041#3,422401#0,06586877#0,4185407#3,542628#-0,274069#0,4525751#3,561533#-0,1173675#0,2253233#3,646467#-0,1237947#0,1651528#3,650927#-0,05291234#0,08610062#3,659498#-0,2078603#0,09261511#3,674326#-0,02337846#-0,3380185#3,580796#-0,206399#-0,2819341#3,449178#-0,08755438#-0,5612158#3,724613#-0,2258827#-0,5960085#3,490597#-0,09369625#-0,616808#3,642813#-0,1878756#-0,6709828#3,495976#0  
frame38 #-0,09371596#0,6397057#3,460487#-0,09001343#0,4575772#3,553279# 0,01514051#0,08648378#3,329862#-0,3372918#0,6330994#3,432235#0,04987681#0,09586661#3,388784#-0,3844642#0,5569612#3,388347#0,1248618#0,1844556#3,552934#-0,4393606#0,3767155#3,377623#0,06722633#0,4018862#3,544261#-0,2678563#0,3852989#3,546847#-0,1116563#0,172701#3,644399#-0,115922#0,112259#3,651895#-0,04209023#0,03772081#3,666331#-0,2007442#0,04031304#3,67347#-0,01269204#-0,3793659#3,563697#-0,2136693#-0,3161635#3,424189#-0,08720937#-0,5630626#3,718435#-0,2273923#-0,6278998#3,472008#-0,08654255#-0,6197695#3,638166#-0,1728223#-0,6641296#3,523857#0  
frame39 #-0,09331469#0,5999724#3,463827#-0,09155208#0,4314335#3,553329# 0,0294894#0,01396513#3,371467#-0,3400117#0,5853687#3,404009#0,0429068#0,03407642#3,440804#-0,3446905#0,5206501#3,369633#0,113197#0,1546309#3,616661#-0,4114127#0,32722#3,306684#0,07254311#0,339987#3,562831#-0,2571782#0,3616589#3,535228#-0,1133787#0,1502448#3,645151#-0,1169129#0,09065796#3,654214#-0,04311771#0,01670672#3,673354#-0,201338#0,02252949#3,671836#-0,0198026#-0,3067209#3,572719#-0,2164188#-0,3277287#3,418246#-0,08345777#-0,5650336#3,717113#-0,2283855#-0,6379416#3,467086#-0,0777473#-0,6217816#3,638163#-0,1548005#-0,635289#3,504926#0  
frame40 #-0,0816198#0,5236114#3,462862#-0,1000503#0,3656564#3,556748# 0,04803132#-0,06126771#3,453871#-0,2990973#0,5496693#3,333452#0,05890948#-0,02659216#3,517709#-0,3033626#0,454425#3,30539#0,1214456#0,09585185#3,663196#-0,3833798#0,2837197#3,291475#0,06951757#0,2892345#3,578564#-0,2386989#0,2946425#3,5136#-0,120921#0,08710506#3,655289#-0,1228271#0,0280722#3,667283#-0,05208297#-0,04234188#3,700407#-0,20276#-0,03770492#3,673269#-0,02231178#-0,3417459#3,560941#-0,2196144#-0,293496#3,441885#-0,0792881#-0,5660254#3,718217#-0,2260047#-0,5768046#3,491374#-0,06293038#-0,6236736#3,642348#-0,1957691#-0,6519256#3,47738#0  
frame41 #-0,07950438#0,4901119#3,456612#-0,1069373#0,3219891#3,555395# 0,07787351#-0,1341843#3,505944#-0,3631307#0,5701813#3,360402#0,0443412#-0,08241693#3,545093#-0,3695984#0,4979761#3,351377#0,1113137#0,08605356#3,707608#-0,3062609#0,3444626#3,271264#0,06607468#0,2751139#3,581693#-0,2275346#0,2551933#3,474663#-0,1208429#0,04160285#3,650945#-0,1199325#-0,01746459#3,66383#-0,05136293#-0,07704557#3,69699#-0,1933901#-0,08398632#3,667523#-0,01867738#-0,3607826#3,546391#-0,222307#-0,3035645#3,441827#-0,07612295#-0,564582#3,708384#-0,2262034#-0,5768001#3,491338#-0,04714814#-0,6208804#3,63615#-0,1966382#-0,6520792#3,480146#0  
frame42 #-0,07661793#0,4765627#3,455307#-0,105999#0,2855802#3,551503# 0,1099021#-0,1732817#3,588555#-0,3596716#0,6007127#3,328068#0,07650313#-0,1217202#3,627548#-0,3623496#0,5288919#3,316704#0,1233213#0,09320274#3,773849#-0,3080797#0,3572983#3,269521#0,06111933#0,2330154#3,5939#-0,2050999#0,2176978#3,474255#-0,1186032#0,01075876#3,650681#-0,117282#-0,04687753#3,665427#-0,05255095#-0,1064082#3,705986#-0,1863128#-0,1110861#3,662343#-0,01696087#-0,381012#3,540416#-0,2235558#-0,315223#3,438518#-0,06878965#-0,5581486#3,675632#-0,2243862#-0,5802692#3,490918#-0,03496629#-0,6146765#3,606256#-0,1905629#-0,6367972#3,421543#0  
frame43 #-0,07890987#0,27408#3,457092#-0,1011772#0,09883743#3,579216# 0,07279663#-0,3153884#3,561235#-0,06103459#-0,04527771#3,079876#0,03983558#-0,2645029#3,599716#-0,1078586#-0,03571664#3,161352#0,0672814#-0,07040421#3,774625#-0,2440549#0,1699849#3,235296#0,04193847#0,07650152#3,631478#-0,2133372#0,02267816#3,46613#-0,08240447#-0,1357344#3,666962#-0,07514035#-0,1839223#3,682764#-0,01417659#-0,2372409#3,745998#-0,1231029#-0,2717967#3,664583#0,01814999#-0,4881757#3,408663#-0,214174#-0,3689986#3,441702#-0,09794679#-0,5853302#3,734443#-0,2047481#-0,6031183#3,508857#-0,08469193#-0,6414368#3,790611#-0,2099045#-0,68098#3,489124#0  
frame44 #-0,07919404#0,2530363#3,461095#-0,09635982#0,08457027#3,577873# 0,08148199#-0,3152279#3,586392#-0,2062824#-0,5075842#3,405434#0,04861077#-0,2644811#3,624768#-0,2086113#-0,440196#3,40311#0,08635895#-0,09263316#3,82097#-0,2155978#-0,2380316#3,409412#0,05696842#0,0690506#3,653596#-0,2141006#0,01393853#3,465938#-0,08169465#-0,1390916#3,666125#-0,07500244#-0,1859919#3,682503#-0,01246896#-0,2436684#3,748741#-0,1250456#-0,2770561#3,664443#0,02661446#-0,4900768#3,409407#-0,2158494#-0,3701051#3,446142#-0,0891031#-0,5893203#3,726293#-0,2077088#-0,6073677#3,511463#-0,07585393#-0,6454028#3,782436#-0,2031971#-0,6816735#3,480947#0  
frame45 #-0,07822534#0,2475751#3,46317#-0,09452771#0,07629777#3,577879# 0,08412303#-0,2946179#3,550055#-0,1813935#-0,5847408#3,458317#0,06464192#-0,2553456#3,606449#-0,1897254#-0,5016758#3,442675#0,1096284#-0,08505002#3,803804#-0,2147211#-0,2524809#3,408983#0,0676024#0,06160554#3,661443#-0,2118745#-0,0001796116#3,47047#-0,07776617#-0,1517258#3,667418#-0,07131881#-0,1985056#3,684535#-0,003661209#-0,2599857#3,752773#-0,1245996#-0,2903155#3,667546#0,01394714#-0,413406#3,514666#-0,2061027#-0,4022114#3,46913#-0,08878841#-0,5851958#3,716248#-0,2081025#-0,6087655#3,511155#-0,07554422#-0,6412569#3,772371#-0,1968756#-0,6776944#3,471271#0  
frame46 #-0,07369791#0,224296#3,4623#-0,09220976#0,06348379#3,582295# 0,08409674#-0,311543#3,574775#-0,1854923#-0,5946314#3,456088#0,05993621#-0,2666504#3,624522#-0,192862#-0,5112906#3,442043#0,09907328#-0,1112326#3,835435#-0,2149711#-0,2612679#3,41311#0,06923842#0,05376638#3,669881#-0,2111192#-0,009996072#3,479314#-0,07534248#-0,170428#3,666471#-0,06926598#-0,218452#3,682706#-0,0016838#-0,2715279#3,746405#-0,1248511#-0,3114912#3,666014#0,01337798#-0,4144204#3,517032#-0,2117427#-0,4566731#3,445907#-0,088983#-0,5843853#3,714386#-0,2101557#-0,6083509#3,512804#-0,07574695#-0,6404121#3,770474#-0,1953888#-0,6758387#3,471726#0  
frame47 #-0,06681685#0,2028991#3,475586#-0,09103245#0,04495987#3,584647# 0,06174193#-0,3251639#3,579194#-0,2060816#-0,5970225#3,454634#0,05892953#-0,2656057#3,617303#-0,208142#-0,5185013#3,441021#0,0960714#-0,1146741#3,832646#-0,214323#-0,2829377#3,4133#0,06965586#0,04538814#3,676368#-0,2035697#-0,03153279#3,4807#-0,07556369#-0,1814947#3,674766#-0,07000599#-0,2280256#3,6934#-0,001494286#-0,2814787#3,756327#-0,1268173#-0,3145563#3,68437#0,0178074#-0,4147065#3,523735#-0,1998947#-0,3901278#3,46819#-0,08714973#-0,5826478#3,710329#-0,2106977#-0,609024#3,516008#-0,05756109#-0,6400892#3,757821#-0,1936401#-0,671837#3,469167#0  
frame48 #-0,07452135#0,2375449#3,477478#-0,09093192#0,04578501#3,586711# 0,06229103#-0,298741#3,575764#-0,2279549#-0,590522#3,460108#0,06683762#-0,2404201#3,615419#-0,2241946#-0,5116867#3,445945#0,1047179#-0,06733786#3,812734#-0,2129136#-0,2751808#3,416535#0,07050186#0,04826996#3,676914#-0,2038961#-0,02421582#3,489859#-0,07298171#-0,1789458#3,680977#-0,06708604#-0,224812#3,700857#0,002532237#-0,2774057#3,76567#-0,1236675#-0,3124098#3,69066#0,02963241#-0,4931539#3,407542#-0,1980661#-0,4038103#3,483542#-0,09345635#-0,5958044#3,767905#-0,2101248#-0,610437#3,51567#-0,05131615#-0,6192465#3,70379#-0,1927502#-0,6721857#3,467489#0  
frame49 #-0,06888144#0,2308898#3,48433#-0,08997672#0,05154338#3,594965# 0,0624585#-0,3157413#3,598549#-0,2437598#-0,5584699#3,455697#0,06888783#-0,2545907#3,633121#-0,2355242#-0,4876274#3,443008#0,1066585#-0,1045081#3,850943#-0,2108174#-0,2751001#3,417976#0,06856032#0,04858956#3,678377#-0,203141#-0,02348641#3,493767#-0,07051231#-0,177939#3,694808#-0,06463926#-0,2248541#3,716142#0,003710204#-0,2760127#3,779373#-0,1203848#-0,3111595#3,705387#0,02398618#-0,4985303#3,425636#-0,1950864#-0,4004323#3,498737#-0,09486595#-0,5921133#3,764842#-0,2092454#-0,6103534#3,515765#-0,05183816#-0,6047886#3,698338#-0,1947498#-0,6727827#3,467524#0  
frame50 #-0,07716571#0,2426107#3,499332#-0,09130052#0,06433994#3,609427# 0,06291912#-0,3142551#3,611755#-0,2089965#-0,5920341#3,454173#0,06952909#-0,2491309#3,637045#-0,2084862#-0,5105958#3,443337#0,1059747#-0,0926321#3,852364#-0,2069552#-0,2662808#3,423744#0,06998482#0,05951468#3,692716#-0,2046685#-0,01607794#3,513757#-0,06862193#-0,1661887#3,703828#-0,06275395#-0,2125806#3,724555#0,007196771#-0,2675919#3,787623#-0,1179009#-0,3021571#3,713517#0,01465186#-0,4250329#3,5382#-0,1905188#-0,3408978#3,50922#-0,09019711#-0,5840298#3,726883#-0,2095779#-0,6109569#3,514687#-0,04326459#-0,5921676#3,662368#-0,1993401#-0,6794208#3,474203#0  
frame51 #-0,08302997#0,284476#3,537432#-0,08844257#0,08216009#3,61634# 0,06583805#-0,3227955#3,621467#-0,2100038#-0,5869516#3,466213#0,06320788#-0,2566733#3,644048#-0,2095354#-0,5017178#3,452631#0,09766789#-0,1078662#3,865979#-0,2081301#-0,2460165#3,424736#0,07159334#0,06457951#3,699822#-0,2094939#7,922016E-05#3,530464#-0,06834245#-0,162423#3,701642#-0,0631551#-0,2104483#3,720756#0,007137601#-0,2674176#3,779722#-0,1197168#-0,2992326#3,706099#0,01606587#-0,4235042#3,536139#-0,1956034#-0,4017508#3,495827#-0,09094501#-0,5812906#3,713334#-0,2104301#-0,6059153#3,517#-0,04403768#-0,5894241#3,648854#-0,1979703#-0,6723266#3,473891#0  
frame52 #-0,08816832#0,2767771#3,539093#-0,0924082#0,0818594#3,616807# 0,06284366#-0,3259945#3,618759#-0,2110596#-0,5595183#3,448844#0,06043918#-0,259932#3,641104#-0,2105661#-0,4808417#3,43894#0,09196502#-0,1115544#3,86339#-0,2090858#-0,244812#3,422046#0,0719025#0,0652032#3,700831#-0,2095733#8,804118E-05#3,530338#-0,06944208#-0,160109#3,700134#-0,06401625#-0,2076421#3,718776#0,007111249#-0,2664125#3,779266#-0,1198944#-0,2969546#3,702704#0,01782239#-0,4231337#3,535435#-0,2090365#-0,3744481#3,461411#-0,09229133#-0,5798062#3,716719#-0,2092283#-0,6054393#3,5169#-0,04540775#-0,5879357#3,652272#-0,2018407#-0,6772704#3,482211#0  
frame53 #-0,09083836#0,2768894#3,543668#-0,09378808#0,08272931#3,619974# 0,06876928#-0,3160211#3,629868#-0,1979573#-0,5497014#3,448202#0,06916433#-0,2503555#3,65305#-0,2005538#-0,4725572#3,437886#0,1054135#-0,1018297#3,874037#-0,2083432#-0,2411244#3,419723#0,07019968#0,06556287#3,705592#-0,2108685#0,001769524#3,532672#-0,07030275#-0,1583966#3,698912#-0,06505997#-0,2056277#3,716643#0,006375661#-0,2661145#3,778456#-0,1209265#-0,2942881#3,695379#0,01783709#-0,4209918#3,534534#-0,214241#-0,3733138#3,460103#-0,08380982#-0,5762275#3,693043#-0,2100473#-0,6051984#3,515772#-0,02363951#-0,6137638#3,655884#-0,194233#-0,6729918#3,476222#0  
frame54 #-0,1000982#0,2873444#3,559309#-0,09459776#0,09053105#3,620184# 0,06986364#-0,3131866#3,625073#-0,2053918#-0,5563322#3,446753#0,06629574#-0,2493552#3,651866#-0,2063109#-0,4763976#3,436375#0,102166#-0,09951511#3,870947#-0,2090683#-0,2365938#3,417963#0,06983928#0,06730717#3,709584#-0,2120767#0,003610545#3,535757#-0,07022439#-0,1546282#3,697797#-0,0649075#-0,2031004#3,715621#0,006466771#-0,2638278#3,776822#-0,1207237#-0,2915856#3,695115#0,02556681#-0,4229401#3,524758#-0,2047972#-0,3743799#3,465549#-0,07372677#-0,571283#3,672116#-0,2101015#-0,6002036#3,511641#-0,06420287#-0,637604#3,715695#-0,1940825#-0,6669753#3,470735#0  
