frame1 #-0,1192088#0,9726432#3,149547#-0,07162139#0,7515999#3,197505# 0,05714685#0,3422322#2,971963#-0,2452853#0,1681593#3,164178#0,06427813#0,4110508#2,977413#-0,2367161#0,2365852#3,156365#0,08567195#0,6175067#3,00781#-0,2110085#0,4418626#3,146972#0,01093883#0,6707738#3,158912#-0,206669#0,6499296#3,18074#-0,06388668#0,3560966#3,188955#-0,06949668#0,2877534#3,129603#-0,02031304#0,2440039#3,120396#-0,1182365#0,234624#3,121694#-0,003046472#-0,2891628#2,949121#-0,1473279#-0,2881256#3,284233#0,01203545#-0,666468#2,860703#-0,01110528#-0,6200162#2,883745#-0,0223853#-0,6948173#2,808474#-0,01945506#-0,6571348#2,812469#0  
frame32 #-0,1820008#0,9621823#3,367089#-0,1350991#0,8062106#3,414342# -0,08946266#0,5712001#2,66842#-0,3541967#0,7823078#3,482052#0,002156731#0,5607549#3,094097#-0,4379748#0,8180827#3,567673#-0,04642376#0,4567022#3,311817#-0,3183915#0,748464#3,685319#-0,06438047#0,6503629#3,31465#-0,2807587#0,718122#3,481673#-0,1291806#0,3801019#3,43107#-0,159394#0,3024273#3,397528#-0,1184633#0,2484472#3,368265#-0,2079854#0,2362478#3,423272#-0,01114902#-0,2606966#3,230049#-0,1967323#-0,1899126#3,413997#0,09863976#-0,5815527#3,273692#-0,1474374#-0,4702057#3,414701#0,09218658#-0,650939#3,259006#-0,1640825#-0,5456737#3,39504#0  
frame33 #-0,182516#0,9650889#3,375643#-0,1352771#0,8081566#3,419384# -0,04818583#0,5957643#2,902387#-0,3604722#0,8066838#3,522446#-0,03013117#0,6066983#2,987077#-0,3500377#0,8170035#3,520777#-0,04953167#0,4984154#3,209985#-0,311242#0,7546921#3,692895#-0,067332#0,6507205#3,320338#-0,2809367#0,720068#3,486716#-0,1363408#0,3827847#3,445039#-0,1664153#0,3020633#3,41478#-0,1278761#0,2538192#3,394245#-0,2130441#0,236909#3,433872#-0,01924502#-0,2624235#3,284693#-0,1978802#-0,1884215#3,418974#0,09733081#-0,5806384#3,369655#-0,1472085#-0,4726755#3,420591#0,0987543#-0,6388148#3,325862#-0,1626354#-0,5372247#3,395802#0  
frame34 #-0,1859229#0,971549#3,387267#-0,1387203#0,8133875#3,434569# -0,001501024#0,6252559#3,174016#-0,3578234#0,8363564#3,563396#0,01749579#0,6444345#3,257401#-0,3572181#0,8569359#3,550808#-0,02822354#0,4237414#3,35172#-0,3086772#0,7689697#3,709893#-0,06954365#0,6544564#3,328799#-0,2843799#0,7252989#3,501899#-0,140283#0,3837286#3,453582#-0,1694907#0,3021145#3,423739#-0,1309214#0,2545902#3,404469#-0,2151729#0,2378021#3,439178#-0,03285807#-0,2026229#3,32545#-0,1954563#-0,1770867#3,425285#0,06810222#-0,5188624#3,452813#-0,1415406#-0,4727418#3,436085#0,08968913#-0,6120178#3,449453#-0,179777#-0,5604502#3,43545#0  
frame35 #-0,1893479#0,9753213#3,398941#-0,1398604#0,8143247#3,438709# -0,001366302#0,6298071#3,195686#-0,3506643#0,8439863#3,586035#0,01797914#0,650528#3,279202#-0,3518329#0,8734399#3,564375#-0,0338642#0,4251657#3,363355#-0,3067643#0,770188#3,716556#-0,0736476#0,6599285#3,347454#-0,28552#0,7262361#3,50604#-0,1414795#0,3834201#3,457644#-0,1682436#0,3009214#3,428433#-0,1268782#0,2559276#3,413988#-0,2149019#0,2374872#3,440637#-0,04085058#-0,1609046#3,339719#-0,198493#-0,1721758#3,43254#0,02202145#-0,476239#3,492877#-0,1412423#-0,4709945#3,438706#-0,02261934#-0,515134#3,433622#-0,1858831#-0,5098894#3,379451#0  
frame36 #-0,1962577#0,9718039#3,410935#-0,1438078#0,8118565#3,447161# 0,0003887285#0,639574#3,197208#-0,380853#0,8862489#3,529732#0,01896468#0,6625463#3,280742#-0,3357382#0,8900517#3,577051#-0,006654046#0,4327227#3,371459#-0,300366#0,7764164#3,725841#-0,0748907#0,6628988#3,355441#-0,2894675#0,723768#3,514492#-0,1432391#0,3797715#3,467443#-0,1682472#0,2961299#3,440134#-0,1254063#0,2540048#3,428845#-0,2154132#0,2333735#3,447967#-0,05318644#-0,1448943#3,369084#-0,194593#-0,1741106#3,435755#0,00365952#-0,4528416#3,542763#-0,1530427#-0,46224#3,438325#-0,0411133#-0,4921361#3,483192#-0,1978156#-0,5015344#3,378754#0  
frame37 #-0,2025814#0,9697813#3,424385#-0,1478049#0,8108405#3,45786# -0,01350427#0,6446961#3,20902#-0,3653286#0,9063465#3,541707#0,002368549#0,6672121#3,293365#-0,319236#0,9081214#3,588327#-0,01190605#0,4333773#3,38078#-0,2889266#0,7887015#3,735219#-0,07367937#0,6690665#3,37609#-0,2934645#0,722752#3,525191#-0,1433997#0,3824157#3,47803#-0,1651795#0,2990133#3,451489#-0,1222478#0,2573935#3,436073#-0,2113303#0,2334597#3,464129#-0,02547844#-0,1380306#3,430054#-0,1742492#-0,2265322#3,461515#-0,01182042#-0,4444563#3,615255#-0,1515975#-0,5010009#3,442051#-0,05425391#-0,4841347#3,553822#-0,194031#-0,5406793#3,380617#0  
frame38 #-0,2031759#0,9691993#3,428205#-0,1471583#0,8110023#3,464018# -0,006936758#0,646017#3,224532#-0,3629668#0,9021751#3,529466#0,01004441#0,6710107#3,307993#-0,3157134#0,9027794#3,574975#-0,0005318671#0,4361494#3,396745#-0,2783538#0,8040387#3,737345#-0,07533081#0,6691213#3,39099#-0,292818#0,7229137#3,531349#-0,1439304#0,3861162#3,489323#-0,1638852#0,3028475#3,465433#-0,1207266#0,2568362#3,448082#-0,210352#0,2457819#3,482674#-0,0269193#-0,1489156#3,461787#-0,1728593#-0,1580295#3,461318#-0,04830579#-0,4536961#3,650495#-0,1550639#-0,4545498#3,44379#-0,08944437#-0,4937993#3,588107#-0,1559413#-0,5183026#3,41015#0  
frame39 #-0,2025787#0,966541#3,437005#-0,1468192#0,8083234#3,471647# -0,008235982#0,7599809#3,340469#-0,3595026#0,925404#3,567294#-0,006719467#0,6779422#3,351437#-0,3116089#0,9243536#3,612016#-0,002169922#0,4318258#3,397969#-0,2754658#0,79329#3,748976#-0,07756184#0,6665373#3,394666#-0,2924788#0,7202349#3,538978#-0,1444702#0,3919512#3,501662#-0,1633644#0,3103761#3,482588#-0,1210825#0,2576486#3,452924#-0,2084074#0,2560387#3,516372#-0,03876819#-0,1338274#3,501565#-0,1802275#-0,2216864#3,473316#-0,06006644#-0,4346782#3,642128#-0,1546111#-0,4962288#3,449206#-0,1025438#-0,4751388#3,580664#-0,1970884#-0,5366894#3,387742#0  
frame40 #-0,2019665#0,959671#3,449386#-0,144977#0,7991626#3,485598# 0,003784082#0,7424535#3,323647#-0,3328524#0,9179689#3,562824#-0,003239142#0,6632844#3,34812#-0,285444#0,9167081#3,608036#-0,02430881#0,4257773#3,435203#-0,2744074#0,7955728#3,760295#-0,07175939#0,657361#3,409662#-0,2906367#0,7110741#3,552929#-0,1436027#0,3890001#3,514027#-0,1606697#0,3080124#3,496581#-0,1160481#0,2533943#3,471342#-0,2078697#0,252864#3,523761#-0,02286875#-0,1509543#3,553498#-0,1734638#-0,1483896#3,489262#-0,0506152#-0,4407223#3,690255#-0,1631304#-0,4520117#3,447023#-0,09243904#-0,4813164#3,628165#-0,2049543#-0,4926058#3,384933#0  
frame41 #-0,198634#0,9586325#3,461096#-0,1379919#0,7966143#3,504406# 0,02210882#0,7378944#3,326246#-0,3310657#0,9257035#3,537191#0,006206874#0,6604119#3,351689#-0,283704#0,9244549#3,58235#-0,04149896#0,4279644#3,441704#-0,2756887#0,8372979#3,758157#-0,06796987#0,6497462#3,423041#-0,2836515#0,7085258#3,571737#-0,1386378#0,3893338#3,533765#-0,1550076#0,3085327#3,519311#-0,1097433#0,2567436#3,502326#-0,2040218#0,2530791#3,53762#-0,01784232#-0,1260148#3,570446#-0,1745576#-0,146231#3,492002#-0,05564735#-0,4051097#3,676933#-0,1645301#-0,4528271#3,44738#-0,09908329#-0,4458242#3,615849#-0,207966#-0,4935417#3,386297#0  
frame42 #-0,1854512#0,9447455#3,470817#-0,1284581#0,7789192#3,511214# 0,06063237#0,7394858#3,375856#-0,3682364#0,7807048#3,543204#0,0385361#0,6633525#3,40184#-0,3206668#0,7794906#3,588537#-0,02775271#0,4349528#3,493491#-0,3027701#0,7732029#3,786245#-0,05844025#0,6415953#3,445147#-0,2741176#0,6908306#3,578545#-0,1325018#0,3836581#3,554929#-0,1464506#0,3040677#3,547285#-0,1026207#0,2509508#3,525805#-0,1936249#0,2510647#3,578533#-0,01092#-0,1257448#3,6104#-0,1713161#-0,1448324#3,51251#-0,03320254#-0,4260176#3,806175#-0,1658725#-0,4677302#3,445903#-0,07355564#-0,4676661#3,743787#-0,2062256#-0,5093787#3,383514#0  
frame43 #-0,1833011#0,9349268#3,471998#-0,1133686#0,7671965#3,537878# -0,04488399#0,5117047#3,166205#-0,3865915#0,8193569#3,540157#-0,02303576#0,5408452#3,247611#-0,3388806#0,818139#3,585624#-0,02521767#0,4662032#3,500117#-0,3491487#0,8463675#3,847723#-0,03696056#0,6970112#3,431054#-0,2626476#0,7871405#3,722219#-0,1205499#0,41717#3,592235#-0,1430935#0,3477318#3,589382#-0,09679662#0,2870215#3,575794#-0,1983994#0,2955299#3,611526#-0,01120184#-0,1212404#3,630137#-0,1722101#-0,1234675#3,516828#-0,03993493#-0,4343815#3,808598#-0,162889#-0,4616114#3,447771#-0,1003744#-0,4747157#3,76432#-0,2233285#-0,5019456#3,403493#0  
frame44 #-0,1537382#0,8750774#3,50253#-0,1051697#0,7393975#3,562089# -0,1066896#0,4521965#2,83519#-0,3702807#0,8341851#3,650774#-0,03774959#0,4712299#3,247997#-0,3224995#0,8329654#3,696309#-0,02527351#0,4546884#3,510784#-0,3716527#0,7245505#3,851289#-0,02715185#0,6936176#3,464213#-0,2582934#0,7655875#3,738144#-0,115453#0,4066792#3,601964#-0,1372321#0,3394915#3,597281#-0,09242152#0,2802041#3,584273#-0,1905183#0,2875204#3,617649#-0,003988047#-0,1150721#3,647713#-0,1704218#-0,1305223#3,517832#-0,03861655#-0,4377389#3,812031#-0,1688516#-0,4646501#3,444847#-0,09738618#-0,4777528#3,764578#-0,1262063#-0,5234218#3,447376#0  
frame45 #-0,1462484#0,86418#3,503394#-0,1061844#0,7225094#3,565052# -0,1155378#0,4227056#2,888268#-0,1782583#0,8113718#3,750075#-0,06366133#0,4806034#3,12964#-0,234696#0,8211915#3,727701#-0,04182415#0,5026413#3,391002#-0,4040094#0,8506508#3,674257#-0,02768823#0,6801703#3,468475#-0,2592285#0,744176#3,742847#-0,1151216#0,4024843#3,607724#-0,1367355#0,3371381#3,603161#-0,0943087#0,2798561#3,592965#-0,1876293#0,2831242#3,623436#0,007244215#-0,1679048#3,696203#-0,1663846#-0,1855364#3,494184#-0,06262255#-0,4953305#3,845158#-0,1950323#-0,5338074#3,484021#-0,1214543#-0,5355353#3,797808#-0,253864#-0,5740123#3,436671#0  
frame46 #-0,133484#0,8488616#3,497271#-0,1109536#0,6748196#3,580487# -0,1175517#0,391762#3,208297#-0,2191925#0,828088#3,57928#-0,07490841#0,4055068#3,285653#-0,2698623#0,8190873#3,612716#-0,03783849#0,4114794#3,545554#-0,4218716#0,7920852#3,726676#-0,03221388#0,6325479#3,48558#-0,2637126#0,6979658#3,758427#-0,1132655#0,3805613#3,627648#-0,1338686#0,320231#3,623111#-0,09104552#0,2622089#3,615788#-0,1838695#0,2681076#3,641392#0,01130001#-0,1840271#3,705022#-0,1826307#-0,2401381#3,45679#-0,07020416#-0,5100496#3,854047#-0,2237606#-0,5643608#3,496163#-0,1290645#-0,550985#3,806752#-0,282621#-0,6052962#3,448869#0  
frame47 #-0,1229643#0,8256655#3,500601#-0,103746#0,639205#3,586941# -0,1049604#0,3734933#3,013045#-0,1403658#0,7134616#3,564251#-0,03788806#0,383926#3,307301#-0,194905#0,7262807#3,589176#-0,03452573#0,3875521#3,569783#-0,3585227#0,764738#3,677596#-0,02814938#0,5704505#3,577901#-0,2151161#0,5992751#3,624222#-0,1028378#0,3001977#3,660231#-0,1088602#0,2306322#3,655747#-0,07513734#0,1878155#3,646732#-0,1439221#0,1877853#3,676269#0,01413116#-0,1890201#3,711932#-0,1824941#-0,2504367#3,453033#-0,05734274#-0,5089689#3,842999#-0,2253092#-0,5639507#3,498299#-0,07654288#-0,5543895#3,772785#-0,2445093#-0,6093712#3,428086#0  
frame48 #-0,1131513#0,8006665#3,508732#-0,1012224#0,612633#3,595309# -0,1100045#0,3357483#3,063847#-0,1276392#0,8315346#3,660426#-0,06249525#0,3669259#3,168506#-0,1839794#0,8083305#3,653748#-0,06155643#0,4776739#3,368675#-0,353#0,7387183#3,647346#-0,02955712#0,571414#3,587764#-0,201884#0,565787#3,605051#-0,1003651#0,2665111#3,671208#-0,1019181#0,1933439#3,669549#-0,06693345#0,1507905#3,670211#-0,1383502#0,1642522#3,679867#0,02727206#-0,2264467#3,720611#-0,1830265#-0,2543993#3,453107#-0,05746267#-0,5103871#3,84238#-0,2258272#-0,5664073#3,500304#-0,06429825#-0,5563647#3,7703#-0,2326628#-0,612385#3,428225#0  
frame49 #-0,08986431#0,7435696#3,487363#-0,09887636#0,5814316#3,604172# -0,08344709#0,303664#3,141568#-0,3346083#0,5357732#3,535558#0,03344987#0,3076051#3,284178#-0,2930722#0,4932824#3,564372#0,1481685#0,4935821#3,414099#-0,2535715#0,2489328#3,574674#0,03206936#0,4413906#3,572231#-0,2317742#0,4631552#3,594061#-0,1001665#0,2462651#3,682238#-0,102049#0,1760378#3,682368#-0,04210831#0,1049936#3,693753#-0,1632231#0,1116355#3,704462#0,04115538#-0,2763813#3,726624#-0,1821666#-0,2564519#3,453628#-0,05434133#-0,5164931#3,841659#-0,2246137#-0,5671321#3,49686#-0,03863262#-0,5862824#3,91019#-0,2314674#-0,6137854#3,424768#0  
frame50 #-0,0905468#0,725484#3,496819#-0,08899897#0,5469679#3,599911# -0,05449129#0,2462452#3,215374#-0,3368397#0,4823196#3,546652#0,03772687#0,2313074#3,335923#-0,2953399#0,4398659#3,575441#0,1377616#0,284436#3,493128#-0,2695281#0,1940273#3,60112#0,05312537#0,4322839#3,586387#-0,2439117#0,4365352#3,585522#-0,1003217#0,2304389#3,687449#-0,101936#0,1620922#3,690995#-0,03664031#0,09022485#3,707414#-0,1702202#0,09621502#3,70748#0,04964954#-0,2907925#3,724578#-0,1776224#-0,2610716#3,455425#-0,0002259277#-0,5505391#3,788354#-0,2241563#-0,5670353#3,496457#5,368362E-05#-0,5988336#3,716687#-0,2238767#-0,6153298#3,424789#0  
frame51 #-0,06999432#0,6636063#3,487599#-0,09907545#0,5010983#3,607347# -0,03309743#0,184382#3,304238#-0,4827697#0,6153559#3,388193#0,02835012#0,1900373#3,368616#-0,4746408#0,5560538#3,399692#0,1199935#0,2409413#3,531957#-0,4502541#0,3781476#3,447711#0,07172985#0,4152873#3,642763#-0,2496431#0,4144482#3,572733#-0,1050357#0,1955805#3,701843#-0,1031366#0,1309895#3,708971#-0,03085672#0,05238639#3,742205#-0,176671#0,05752311#3,716542#0,0644208#-0,3256858#3,715623#-0,1738624#-0,2676393#3,455091#-0,05393456#-0,526684#3,837476#-0,2289301#-0,5721163#3,501722#-0,02918252#-0,6021479#3,897344#-0,2130465#-0,62152#3,432537#0  
frame52 #-0,06471178#0,6254936#3,484429#-0,08634394#0,4689205#3,612492# -0,006319938#0,1347881#3,414838#-0,3846957#0,5427251#3,234857#0,02045086#0,1364146#3,474705#-0,3942069#0,4926517#3,268266#0,1073752#0,2239284#3,631289#-0,4227404#0,3424316#3,381985#0,07167815#0,4127987#3,648206#-0,2479939#0,38579#3,561409#-0,1013163#0,1672338#3,709145#-0,1003915#0,1030735#3,718949#-0,03222652#0,03784994#3,749799#-0,1729066#0,02421347#3,724209#0,06899442#-0,3356379#3,711801#-0,1741503#-0,2781506#3,448265#-0,007812515#-0,5752436#3,80444#-0,2295208#-0,5721252#3,503131#0,01293675#-0,6253438#3,736973#-0,2087715#-0,6222254#3,435664#0  
frame53 #-0,0686802#0,5662975#3,477542#-0,09134532#0,4077661#3,604598# 0,02129017#0,07282364#3,443552#-0,2833889#0,4730328#3,367419#0,05832143#0,09035599#3,494505#-0,3058063#0,4170715#3,356562#0,1105758#0,2018954#3,66569#-0,3730583#0,2491875#3,337426#0,06329168#0,3932911#3,665314#-0,2308042#0,3300882#3,550968#-0,1128716#0,1260088#3,705559#-0,111476#0,06785893#3,718172#-0,04765391#-0,001062964#3,763989#-0,1839659#-0,003911191#3,713977#0,08528104#-0,3593212#3,696215#-0,1712533#-0,2941184#3,446392#-0,07453328#-0,5237921#3,849715#-0,2296404#-0,5723013#3,503018#-0,0497456#-0,5993648#3,90967#-0,1995893#-0,6236696#3,440095#0  
frame54 #-0,06953595#0,5238001#3,475564#-0,1117978#0,3646476#3,599376# -0,01361514#-0,02599946#3,443002#-0,2614237#0,4309255#3,290865#0,01810077#0,009780593#3,511304#-0,2874295#0,3753313#3,296399#0,1132485#0,1171207#3,729601#-0,3654468#0,2085488#3,326391#0,05471523#0,3284142#3,689255#-0,2223317#0,2899392#3,54097#-0,1191161#0,0692325#3,708304#-0,1151227#0,00738854#3,72411#-0,05217168#-0,0571504#3,775853#-0,1791811#-0,06418755#3,714935#0,1233702#-0,3847063#3,665784#-0,1705869#-0,3237321#3,418673#-0,07398868#-0,5261263#3,847755#-0,2352173#-0,5918077#3,517251#-0,04922353#-0,6016302#3,907656#-0,2300048#-0,6651719#3,516745#0  
frame55 #-0,06310166#0,4769441#3,464461#-0,110884#0,3277398#3,59544# 0,04454773#-0,04704485#3,567566#-0,2442509#0,4684502#3,265705#0,05185097#-0,0121581#3,633997#-0,2530865#0,4074028#3,26426#0,09370463#0,1182524#3,785877#-0,2795932#0,2242608#3,273265#0,05098354#0,2965155#3,706078#-0,2202792#0,2482078#3,536097#-0,1163605#0,03915169#3,707767#-0,112011#-0,02149564#3,725452#-0,04632766#-0,0807251#3,780585#-0,1784992#-0,09627525#3,714125#0,1105212#-0,4120771#3,658657#-0,1703395#-0,3369918#3,403841#-0,07365394#-0,5228111#3,856379#-0,230904#-0,5825781#3,504641#-0,04889312#-0,5983018#3,916269#-0,1899836#-0,6331013#3,447564#0  
frame56 #-0,07104037#0,4265366#3,462369#-0,1215648#0,2722115#3,576139# 0,04154741#-0,09894668#3,588822#-0,2435814#0,3814464#3,200082#0,04885066#-0,06405993#3,655253#-0,2142305#0,3009656#3,178125#0,0812509#0,1321041#3,803207#-0,2470962#0,1448129#3,311421#0,03482856#0,2643212#3,709546#-0,230921#0,1948354#3,51697#-0,1160314#0,03292639#3,702971#-0,1112622#-0,02348316#3,723585#-0,04508896#-0,08197117#3,779208#-0,1776214#-0,09648166#3,713916#0,1155313#-0,4068769#3,648489#-0,1712607#-0,3375113#3,405646#-0,0644613#-0,5279587#3,850467#-0,2287839#-0,5768457#3,503493#-0,01906348#-0,5801537#3,798496#-0,1833861#-0,6290407#3,451521#0  
frame57 #-0,06868739#0,3501496#3,459213#-0,1052265#0,1946753#3,581317# 0,04172417#-0,1339008#3,638594#-0,2176856#0,3399933#3,172642#0,04933937#-0,1111226#3,692662#-0,188284#0,2593735#3,150647#0,04602144#0,01766745#3,837419#-0,2307579#0,06727672#3,316642#0,04833988#0,1811514#3,715382#-0,2145827#0,1172992#3,522148#-0,09790523#-0,05365536#3,706947#-0,09148967#-0,1057569#3,729382#-0,03119562#-0,1517006#3,768716#-0,1464974#-0,1754287#3,741925#0,1451398#-0,4586024#3,619191#-0,1782448#-0,3401717#3,388515#-0,05727389#-0,5306835#3,843181#-0,2272065#-0,5759017#3,506134#-0,01188178#-0,5822859#3,791162#-0,1818144#-0,6275041#3,454114#0  
frame58 #-0,0442232#0,3337474#3,458228#-0,07701957#0,1830586#3,58962# 0,06303409#-0,3987643#3,530783#-0,14714#0,2156306#3,034598#0,05406639#-0,2626291#3,658716#-0,1253583#0,1540783#3,038413#0,02007176#-0,05109243#3,800434#-0,1166606#-0,006045431#3,241384#0,0765468#0,1695347#3,723685#-0,2325115#0,1083252#3,456721#-0,1004008#-0,06975944#3,708838#-0,09926122#-0,1263741#3,731119#-0,03602857#-0,1942671#3,804123#-0,1864882#-0,2326398#3,721601#0,1187658#-0,4581597#3,570755#-0,1644656#-0,3633655#3,355546#-0,05495501#-0,5446681#3,84705#-0,2232168#-0,6202743#3,413124#-0,006597094#-0,5974621#3,798914#-0,1748589#-0,6730683#3,364988#0  
frame59 #-0,07921089#0,3185879#3,4623#-0,1409805#0,1666322#3,590152# 0,07493626#-0,4122111#3,49415#-0,03461345#-0,03802805#3,129191#0,05667066#-0,2307593#3,682897#-0,08973685#-0,04460614#3,191048#0,02356923#-0,04101628#3,854434#-0,255107#-0,0643404#3,389805#0,01258589#0,1531083#3,724217#-0,2165433#0,09387003#3,501993#-0,1187954#-0,0964283#3,703314#-0,1100445#-0,149664#3,724467#-0,05586531#-0,2221793#3,831664#-0,1563784#-0,269639#3,67524#0,1166542#-0,4397635#3,567096#-0,1816093#-0,3877284#3,307487#-0,05347572#-0,5515935#3,842622#-0,2427725#-0,6430833#3,366749#-0,0001863465#-0,5983847#3,794057#-0,1894832#-0,6898745#3,318183#0  
frame60 #-0,06845005#0,2534152#3,480619#-0,1140775#0,1001611#3,613298# 0,06130739#-0,4343484#3,488264#-0,01480198#-0,02951837#3,324438#0,04921278#-0,316467#3,635039#-0,07440259#-0,04023565#3,333924#0,008011717#-0,1401866#3,818822#-0,2532044#-0,07238749#3,375514#0,03948884#0,08663721#3,747364#-0,2123527#0,06860042#3,512047#-0,1208863#-0,1157494#3,719499#-0,1150103#-0,1627616#3,737818#-0,05665248#-0,2229701#3,831533#-0,1769237#-0,256512#3,722384#0,1105537#-0,4410074#3,566299#-0,1700515#-0,3734455#3,355228#-0,05511648#-0,5593073#3,839011#-0,2316157#-0,6262512#3,420714#-0,005959515#-0,6103539#3,790396#-0,1824587#-0,6772978#3,372098#0  
frame61 #-0,06982671#0,2490993#3,484137#-0,1153642#0,08900101#3,611451# -0,03072215#-0,3898271#3,647936#-0,09641156#-0,07143494#3,220874#-0,0234189#-0,3549404#3,714367#-0,07470602#-0,1327721#3,224675#-3,9462E-05#-0,139514#3,812446#-0,1774741#-0,204178#3,431455#0,03135838#0,08673859#3,741131#-0,2085583#0,03141948#3,528618#-0,1447085#-0,1605658#3,702343#-0,1448516#-0,2103051#3,718518#-0,09779668#-0,2676693#3,796645#-0,2050323#-0,287147#3,685153#0,1337253#-0,4496154#3,557503#-0,1726659#-0,3900506#3,482398#-0,05399875#-0,5693828#3,835624#-0,2329329#-0,5803381#3,522374#-0,004172981#-0,6198761#3,787153#-0,2247378#-0,6524543#3,514294#0  
frame62 #-0,07207321#0,2274549#3,486404#-0,115983#0,06785658#3,615672# -0,03304426#-0,3901069#3,650043#-0,104245#-0,08676064#3,283476#-0,02574101#-0,3552201#3,716475#-0,08256891#-0,1480148#3,287272#-0,004133064#-0,1476482#3,812597#-0,1774643#-0,2366198#3,429243#0,02718888#0,07805745#3,741424#-0,2104065#-0,000561249#3,521733#-0,1519656#-0,1737251#3,706669#-0,1539592#-0,2249261#3,723403#-0,1121872#-0,2840782#3,799933#-0,2148155#-0,3021898#3,691863#0,1310748#-0,4471514#3,561367#-0,1834623#-0,4598223#3,514624#-0,05373428#-0,5757659#3,834928#-0,2326613#-0,5853902#3,522934#-0,002063751#-0,6269834#3,78927#-0,223996#-0,6571057#3,512343#0  
frame63 #-0,07103387#0,1905365#3,503669#-0,1131692#0,02919476#3,632876# -0,03995136#-0,3982444#3,644059#-0,09541464#-0,1378341#3,270203#-0,03264811#-0,3633576#3,71049#-0,07376732#-0,1990068#3,273993#-0,005836129#-0,1853239#3,827952#-0,1882231#-0,2760364#3,449049#0,02541525#0,03987322#3,756884#-0,2094232#-0,03484911#3,523395#-0,1411911#-0,2020374#3,687038#-0,1395042#-0,2533696#3,692971#-0,09357249#-0,3231367#3,764955#-0,1974096#-0,3405524#3,640648#0,1822819#-0,45608#3,545852#-0,1533652#-0,476775#3,437793#-0,0581795#-0,5678997#3,852848#-0,2285725#-0,5871598#3,524056#-0,003837835#-0,6141461#3,80507#-0,2221959#-0,6569#3,503471#0  
frame64 #-0,07191378#0,192837#3,499887#-0,1194081#0,03254231#3,62979# 0,01568243#-0,4908337#3,517502#-0,09761132#-0,1367057#3,272087#0,02187338#-0,4215514#3,601975#-0,07599141#-0,1978009#3,275873#0,01481852#-0,2033947#3,729335#-0,1906568#-0,277848#3,454146#0,01899026#0,04301807#3,753824#-0,2095349#-0,03711381#3,528793#-0,1591427#-0,2148287#3,716277#-0,1626822#-0,2703372#3,738163#-0,1181087#-0,3235002#3,800285#-0,2187834#-0,3399655#3,713181#0,1594813#-0,432572#3,57073#-0,1905969#-0,471666#3,536737#-0,05229156#-0,5654778#3,859159#-0,2564696#-0,5860905#3,62605#0,0009832121#-0,6166509#3,815215#-0,2329573#-0,6273004#3,539334#0  
frame65 #-0,07082228#0,1895571#3,506576#-0,1150846#0,03166019#3,640748# 0,01453099#-0,479413#3,526761#-0,1076078#-0,1336609#3,290961#0,02210428#-0,4169381#3,609099#-0,08601396#-0,1946823#3,294742#0,02418954#-0,2038987#3,74481#-0,1907645#-0,2790926#3,455924#0,02320391#0,04196548#3,764821#-0,2090209#-0,0398729#3,535229#-0,1560798#-0,2112102#3,713469#-0,1564231#-0,2598941#3,725888#-0,1180462#-0,3228841#3,799475#-0,2101733#-0,344023#3,67153#0,15949#-0,4344199#3,572007#-0,1795302#-0,482868#3,500197#-0,05279458#-0,5664336#3,86036#-0,2454029#-0,5972925#3,5896#0,0009557344#-0,6159156#3,815253#-0,222594#-0,6413506#3,511521#0  
frame66 #-0,06824808#0,1840467#3,514173#-0,1148932#0,02791851#3,65036# 0,02240058#-0,3788249#3,53276#-0,1151472#-0,1348314#3,301179#0,02284088#-0,4167436#3,611739#-0,09358139#-0,1957737#3,304955#0,02475332#-0,2075146#3,753325#-0,1904808#-0,2824223#3,45624#0,02334155#0,03812801#3,774485#-0,2068098#-0,04349185#3,536236#-0,1572032#-0,2133912#3,720724#-0,1585509#-0,262743#3,733301#-0,1199795#-0,322936#3,805583#-0,2187071#-0,3469599#3,695335#0,1624025#-0,4343775#3,584991#-0,1792759#-0,4394238#3,541529#-0,05396037#-0,5654327#3,873401#-0,2217958#-0,595507#3,522533#0,0008254424#-0,6149024#3,82946#-0,16701#-0,6449767#3,478592#0  
frame67 #-0,06808352#0,1877525#3,517413#-0,114592#0,02814723#3,651523# 0,01633633#-0,3778356#3,52853#-0,1155902#-0,1350379#3,301598#0,01642188#-0,4166186#3,606864#-0,09407423#-0,1958395#3,305366#-0,007465607#-0,2046685#3,740588#-0,1954226#-0,254354#3,469199#0,02363016#0,03834188#3,775636#-0,2160545#-0,01928976#3,56092#-0,1353373#-0,2093827#3,696883#-0,1294842#-0,2566524#3,696481#-0,08099113#-0,314687#3,748646#-0,1837442#-0,3373881#3,653901#0,2135277#-0,4690491#3,579633#-0,1235039#-0,4811819#3,445122#-0,04819249#-0,5652995#3,874716#-0,22233#-0,5943466#3,522857#0,003366597#-0,6093573#3,822351#-0,2233676#-0,6580967#3,487656#0  
