frame1 #-0,1192088#0,9726432#3,149547#-0,07162139#0,7515999#3,197505# 0,05714685#0,3422322#2,971963#-0,2452853#0,1681593#3,164178#0,06427813#0,4110508#2,977413#-0,2367161#0,2365852#3,156365#0,08567195#0,6175067#3,00781#-0,2110085#0,4418626#3,146972#0,01093883#0,6707738#3,158912#-0,206669#0,6499296#3,18074#-0,06388668#0,3560966#3,188955#-0,06949668#0,2877534#3,129603#-0,02031304#0,2440039#3,120396#-0,1182365#0,234624#3,121694#-0,003046472#-0,2891628#2,949121#-0,1473279#-0,2881256#3,284233#0,01203545#-0,666468#2,860703#-0,01110528#-0,6200162#2,883745#-0,0223853#-0,6948173#2,808474#-0,01945506#-0,6571348#2,812469#0  
frame12 #-0,09841377#0,928812#3,159356#-0,07177809#0,7498271#3,188328# -0,2223096#0,6477214#3,136216#0,05182482#0,3978149#3,083785#-0,1577735#0,6199262#3,1027#0,003075108#0,3960218#3,041177#0,03583498#0,5365404#3,014982#-0,2145032#0,3984238#3,138872#0,01592652#0,6704364#3,147297#-0,1992794#0,6313327#3,172395#-0,06765606#0,3575169#3,182276#-0,07574329#0,2883051#3,126183#-0,02805868#0,2427714#3,115388#-0,1252614#0,2349656#3,120883#-0,008260401#-0,2745035#2,938831#-0,1476849#-0,2844458#3,279899#0,009612465#-0,6214318#2,860752#-0,02927867#-0,5645139#2,938685#-0,01533673#-0,6858382#2,807397#-0,04059419#-0,604591#2,862109#0  
frame13 #-0,09815673#0,9276495#3,156313#-0,07131419#0,7503688#3,18736# -0,2025447#0,6400709#3,122964#0,03729432#0,2992597#3,11883#-0,1703161#0,5877403#3,060616#-0,01023203#0,3048595#3,075275#0,04257649#0,5240101#3,004392#-0,2137581#0,4059306#3,138429#0,01348433#0,6565101#3,135492#-0,2019351#0,6381672#3,173234#-0,06604119#0,3572126#3,181435#-0,07623522#0,2876956#3,125846#-0,02815456#0,2419631#3,113683#-0,1262214#0,2344347#3,121398#-0,008141427#-0,2745121#2,939178#-0,1481633#-0,2829771#3,278426#0,009706426#-0,6205676#2,860012#-0,02924001#-0,5597661#2,94255#-0,01559098#-0,6866699#2,807638#-0,04370533#-0,5993662#2,867434#0  
frame14 #-0,09742817#0,9285143#3,155863#-0,06985054#0,751291#3,185589# -0,2235558#0,6224546#3,090617#0,05814493#0,3965845#3,045151#-0,1782555#0,5881717#3,059857#-0,01395035#0,348065#3,021143#0,03548781#0,5224374#3,007967#-0,2128553#0,4084721#3,139061#0,01661794#0,661288#3,133422#-0,2029327#0,6409633#3,172841#-0,06587312#0,3583466#3,181359#-0,07643786#0,2888163#3,126111#-0,02823436#0,2429979#3,113969#-0,1265191#0,2348489#3,121944#-0,007342493#-0,2746181#2,940119#-0,1487894#-0,2808079#3,278436#0,01006993#-0,6201372#2,859959#-0,02865753#-0,5547702#2,946277#-0,01558859#-0,6866997#2,807996#-0,04344322#-0,5941835#2,871623#0  
frame15 #-0,09636986#0,9301636#3,156862#-0,06956296#0,7513762#3,184279# -0,2460651#0,6356153#3,128536#0,1008979#0,3258627#3,098258#-0,2091017#0,600401#3,089113#-0,01042828#0,3043264#3,075674#-0,007498987#0,5046778#3,03352#-0,2125605#0,4099658#3,138764#0,01664418#0,6609757#3,128245#-0,2043037#0,6431561#3,173014#-0,06435039#0,3592575#3,180508#-0,07573371#0,2898319#3,125657#-0,02659584#0,2448505#3,112747#-0,1263239#0,2350747#3,122147#-0,00679437#-0,2748339#2,941117#-0,1491998#-0,2800302#3,278634#0,01102079#-0,6192759#2,861207#0,004346445#-0,5289096#2,944339#-0,01649959#-0,6864702#2,809674#-0,001142336#-0,6075087#2,883205#0  
frame16 #-0,09772645#0,9320891#3,155406#-0,07000222#0,7520912#3,184086# -0,1977291#0,5939476#3,122077#0,06566603#0,3944704#3,058725#-0,1608191#0,5587842#3,082712#-0,009761631#0,3528996#3,028311#0,03104756#0,4346665#3,050365#-0,212026#0,4133205#3,140036#0,01507761#0,6617527#3,125732#-0,2069715#0,646076#3,174972#-0,06367594#0,359526#3,180268#-0,07578394#0,2899699#3,12572#-0,02644546#0,2450866#3,111518#-0,1264106#0,2350945#3,122637#-0,005964129#-0,2772574#2,943664#-0,1525728#-0,2781518#3,279943#0,01087574#-0,6194811#2,861194#-0,09795293#-0,5562103#3,371362#-0,01796062#-0,6879859#2,809316#-0,1462098#-0,502686#3,354538#0  
frame17 #-0,1016078#0,929494#3,154526#-0,07013655#0,7522309#3,183383# -0,1518963#0,5999233#3,13657#0,05078106#0,3196487#2,998339#-0,1627066#0,5551718#3,091671#-0,01492806#0,3436436#3,031569#0,02817479#0,4341947#3,050763#-0,2120554#0,4156284#3,144277#0,01392515#0,661707#3,121196#-0,2099861#0,6477345#3,17991#-0,06199609#0,3598511#3,179227#-0,07578991#0,2902584#3,125229#-0,02641859#0,2453484#3,110963#-0,1264236#0,2352435#3,122465#-0,002257428#-0,2801991#2,949332#-0,1572602#-0,2771739#3,281613#0,01117607#-0,6195149#2,86138#-0,1184827#-0,5419693#3,397639#-0,01768895#-0,6882622#2,808457#-0,148017#-0,5064707#3,341213#0  
frame18 #-0,1105202#0,9360757#3,168555#-0,07065953#0,7535336#3,184717# -0,2090832#0,5897635#3,132501#0,09495702#0,2798872#2,988126#-0,1498552#0,5464512#3,108015#0,05436675#0,3412538#3,012002#0,02782878#0,4165142#3,047638#-0,06740408#0,5253538#3,096709#0,008076341#0,6446061#3,1112#-0,2110773#0,6500691#3,189643#-0,05996346#0,3590322#3,181061#-0,07757693#0,288186#3,128931#-0,02819967#0,2432795#3,113081#-0,1288448#0,232693#3,130828#0,0001249491#-0,2814777#2,95637#-0,1617745#-0,2736363#3,281854#0,01210172#-0,6198264#2,862484#-0,1082899#-0,546575#3,364176#-0,01767307#-0,6882691#2,808655#-0,1483726#-0,5250266#3,306592#0  
frame19 #-0,1113404#0,9363379#3,170501#-0,07129319#0,7556882#3,187165# -0,2125748#0,5861515#3,142406#-0,06763256#0,3143628#3,083992#-0,1538532#0,5432283#3,116118#-0,123785#0,3614358#3,108746#0,02231149#0,4144586#3,050257#-0,2922425#0,5026548#3,196011#0,006059401#0,6432025#3,111106#-0,2146303#0,6552483#3,231668#-0,0563117#0,3590252#3,184445#-0,08133239#0,2867475#3,136315#-0,03528041#0,2379761#3,122451#-0,1309599#0,2350694#3,138675#0,0004008779#-0,2816157#2,96039#-0,1664232#-0,2716543#3,282025#0,01182714#-0,6198493#2,862486#-0,1112291#-0,5404824#3,36287#-0,01665571#-0,6878704#2,808128#-0,1671551#-0,521113#3,32235#0  
frame20 #-0,1206445#0,9331329#3,185119#-0,07204983#0,7586883#3,194248# -0,2101478#0,6001512#3,17025#-0,06700484#0,3464559#3,092434#-0,1565498#0,5535454#3,140007#-0,1244817#0,3867128#3,12461#0,004244386#0,4137281#3,062377#-0,2969122#0,5074833#3,234233#0,0009707587#0,6430604#3,120196#-0,2141449#0,6553833#3,235926#-0,06175174#0,3540017#3,198528#-0,08759565#0,2787797#3,151896#-0,04247158#0,2340981#3,135512#-0,1358757#0,225853#3,156908#-0,0005810816#-0,2703195#2,971186#-0,1696921#-0,2727651#3,284091#0,01118979#-0,6202748#2,86295#-0,1167349#-0,5321733#3,383357#-0,01693725#-0,6886023#2,808193#-0,1628039#-0,5455741#3,330843#0  
frame21 #-0,1356321#0,9244303#3,203944#-0,07427493#0,7552522#3,204408# -0,19322#0,5958474#3,209756#-0,04927774#0,4150117#3,089273#-0,1442607#0,5495723#3,172387#-0,1095311#0,438051#3,131386#0,002617317#0,4107473#3,073292#-0,2902911#0,5071691#3,270738#-0,008861689#0,6393086#3,131104#-0,2222529#0,6632616#3,282627#-0,0596452#0,3434725#3,20793#-0,09011801#0,2671052#3,163868#-0,04477306#0,2260273#3,149203#-0,1383748#0,2130978#3,167036#-0,0008898912#-0,2649927#2,979391#-0,172947#-0,2718697#3,286005#0,01196608#-0,61778#2,864382#-0,1328755#-0,5397594#3,362833#-0,01709165#-0,6875367#2,809982#-0,1830297#-0,5214719#3,316132#0  
