frame1 #-0,1629073#0,9354599#3,271186#-0,14378#0,7340097#3,295071# -0,04879522#0,381698#2,742572#-0,3643471#0,08142302#3,274729#-0,0341885#0,3561885#2,863705#-0,3516544#0,1472822#3,263681#0,03989409#0,4377266#3,0775#-0,3135765#0,3448599#3,244377#-0,01498348#0,5982466#3,217837#-0,2909678#0,6193364#3,288023#-0,1648144#0,3563405#3,296821#-0,1832359#0,2910348#3,241586#-0,1266493#0,2244295#3,224003#-0,2508422#0,2339199#3,240366#-0,09841911#-0,2490891#3,029477#-0,2632896#-0,2919241#3,401058#-0,09386061#-0,6448441#2,888339#-0,1123466#-0,5893531#2,92751#-0,1284909#-0,6718126#2,829529#-0,08772761#-0,6800882#2,895597#0  
frame12 #-0,1799718#0,9237961#3,237926#-0,1523143#0,7324439#3,250535# -0,1020437#0,4140917#2,623523#-0,1119399#0,4145445#2,586661#-0,05520438#0,383725#2,810242#-0,1905199#0,4359555#2,848673#0,02259758#0,4519994#3,002618#-0,2747561#0,4288759#3,128681#-0,0205998#0,6011377#3,165554#-0,2966395#0,6231569#3,264985#-0,1591962#0,3668407#3,266811#-0,1805784#0,3018072#3,216321#-0,1226235#0,2370538#3,197868#-0,2477933#0,2412112#3,218748#-0,1055028#-0,2541293#2,983925#-0,2669436#-0,2770099#3,3798#-0,09336173#-0,6061149#2,89873#-0,2111592#-0,5242476#3,479179#-0,1202819#-0,6675941#2,842015#-0,1945243#-0,5492378#3,373174#0  
frame13 #-0,1916848#0,9246621#3,231342#-0,1528448#0,7321097#3,248259# -0,1141808#0,4200797#2,610458#-0,128565#0,4203478#2,571082#-0,07572172#0,448819#2,738411#-0,1905103#0,4407616#2,811996#0,02831561#0,4540614#2,996305#-0,2403183#0,5546456#3,020099#-0,02902652#0,6011915#3,155691#-0,2981278#0,6241173#3,271977#-0,1585757#0,3626236#3,264001#-0,1832564#0,2957041#3,215396#-0,1255257#0,2322304#3,192529#-0,2517307#0,2294222#3,225875#-0,105015#-0,2542244#2,986774#-0,2698638#-0,2811526#3,374401#-0,09370033#-0,609208#2,897232#-0,2140066#-0,5380753#3,484038#-0,120993#-0,6695871#2,838593#-0,190395#-0,5675614#3,379713#0  
frame14 #-0,1958315#0,9306442#3,239375#-0,15559#0,737511#3,252547# -0,1262381#0,4225129#2,600346#-0,1349655#0,422856#2,567568#-0,09075481#0,4464795#2,73296#-0,2076918#0,4676403#2,823444#-0,02791686#0,512781#2,947536#-0,2467565#0,562627#3,03945#-0,04184344#0,6083447#3,151486#-0,3007331#0,6301134#3,287351#-0,1565123#0,3619611#3,263286#-0,1845207#0,2947586#3,216129#-0,1276335#0,2323208#3,190435#-0,2524047#0,2281022#3,230334#-0,1037346#-0,2542638#2,989697#-0,2711298#-0,2812574#3,368692#-0,09369855#-0,6091225#2,897142#-0,2131526#-0,5433525#3,481862#-0,1217777#-0,6723109#2,83553#-0,1997277#-0,56658#3,374235#0  
frame15 #-0,1987499#0,9282339#3,241249#-0,1578057#0,7397122#3,257892# -0,1399088#0,4256793#2,590931#-0,2074753#0,4360893#2,805852#-0,09735072#0,4500207#2,732345#-0,2277318#0,4617429#2,890799#-0,04305223#0,5192735#2,948683#-0,2861515#0,4445584#3,170158#-0,05212522#0,6123799#3,153835#-0,3029129#0,6303089#3,307955#-0,1561906#0,3607916#3,266825#-0,1870947#0,2928485#3,221249#-0,1309971#0,2326645#3,191785#-0,2521353#0,2259789#3,240718#-0,09940465#-0,2503231#3,002244#-0,273535#-0,2815406#3,35926#-0,09203779#-0,606723#2,899058#-0,2135378#-0,5776109#3,496334#-0,1191554#-0,6691318#2,838135#-0,1992874#-0,5937865#3,387067#0  
frame16 #-0,2031088#0,9250138#3,241337#-0,1610602#0,7434022#3,269926# -0,1803951#0,4360227#2,544509#-0,1262896#0,4308937#2,647404#-0,1203783#0,4662567#2,721482#-0,264868#0,3854653#3,029823#-0,07233061#0,5266567#2,936226#-0,322705#0,3584621#3,31046#-0,06513368#0,6219378#3,160281#-0,3047007#0,6319827#3,320913#-0,1575152#0,355809#3,275678#-0,1901312#0,2858595#3,231234#-0,1341427#0,2312205#3,196971#-0,2528408#0,2198753#3,251679#-0,09746642#-0,2473432#3,015732#-0,2729772#-0,2852318#3,345126#-0,0919534#-0,6066754#2,899706#-0,2173484#-0,5887432#3,487509#-0,1203193#-0,6701655#2,83893#-0,2016552#-0,6032168#3,377208#0  
frame17 #-0,2144949#0,91899#3,252122#-0,1670148#0,7435145#3,284188# -0,1777455#0,4356273#2,548838#-0,1253627#0,4427975#2,659595#-0,1219848#0,4700311#2,722179#-0,2228446#0,4625454#2,921769#-0,07499974#0,5336834#2,941922#-0,2859143#0,4433521#3,202907#-0,0708276#0,6211209#3,164634#-0,3098896#0,6309874#3,335685#-0,1650643#0,3663343#3,293912#-0,1990455#0,2988193#3,251239#-0,1403039#0,2367002#3,202416#-0,2657359#0,2357033#3,29283#-0,09513997#-0,2509028#3,025081#-0,2730874#-0,2877772#3,34158#-0,08986849#-0,6017203#2,904263#-0,2219913#-0,593589#3,475986#-0,1206464#-0,670175#2,838403#-0,2050422#-0,6073312#3,365409#0  
frame18 #-0,2195476#0,9162703#3,264569#-0,1742245#0,7408661#3,296333# -0,1799557#0,4346917#2,555429#-0,2012129#0,4764794#2,728313#-0,1240586#0,4737799#2,735796#-0,2184132#0,5006438#2,81619#-0,08049394#0,5408564#2,957516#-0,2712218#0,5680256#3,092837#-0,07833508#0,6215932#3,189928#-0,316744#0,6278806#3,347941#-0,1696155#0,3602628#3,30427#-0,2014562#0,291732#3,2602#-0,145933#0,2324274#3,214232#-0,264676#0,2218277#3,296785#-0,08954893#-0,2566804#3,045058#-0,2725219#-0,2906925#3,339278#-0,08968257#-0,6018773#2,904338#-0,2247453#-0,5908826#3,453935#-0,1206438#-0,6705919#2,832219#-0,2081693#-0,6057888#3,342536#0  
frame19 #-0,231968#0,9142823#3,296802#-0,1785658#0,7401329#3,311979# -0,179902#0,4343973#2,556272#-0,1267768#0,4618511#2,669922#-0,1468209#0,4783378#2,716437#-0,2018628#0,5036831#2,833846#-0,1248317#0,5455304#2,946663#-0,254076#0,5700937#3,11196#-0,09131182#0,6131745#3,202748#-0,3209121#0,6269244#3,363647#-0,1713635#0,3460091#3,323007#-0,2032872#0,2723644#3,281044#-0,1599313#0,2163673#3,249759#-0,2569446#0,2068119#3,304821#-0,08944019#-0,2431637#3,067929#-0,2723506#-0,2920114#3,340308#-0,08828256#-0,6028974#2,906942#-0,2157886#-0,5985476#3,472885#-0,1202704#-0,6687665#2,828731#-0,201207#-0,6117947#3,360548#0  
frame20 #-0,2393495#0,9143381#3,315104#-0,1935609#0,7444098#3,347396# -0,1779849#0,4355883#2,573852#-0,1271407#0,4633054#2,678635#-0,1288791#0,4687107#2,717853#-0,2424284#0,4479645#2,999767#-0,09683752#0,5246295#2,950832#-0,3018538#0,4120485#3,281888#-0,0992268#0,6085474#3,215767#-0,3357674#0,6310453#3,399049#-0,1741579#0,3418185#3,341388#-0,2063579#0,2686715#3,297477#-0,1617011#0,2147871#3,259012#-0,2567077#0,1981615#3,321975#-0,08566616#-0,2742619#3,083868#-0,2704323#-0,2969713#3,348538#-0,08413576#-0,5989004#2,915456#-0,214505#-0,598452#3,471586#-0,1146026#-0,6616928#2,825021#-0,198386#-0,6114535#3,359244#0  
frame21 #-0,249859#0,8883923#3,335304#-0,2038203#0,6697797#3,359136# -0,1842051#0,4350592#2,587239#-0,1556593#0,4807138#2,79704#-0,1278955#0,4678489#2,720038#-0,213547#0,4837305#2,869884#-0,1019926#0,5268574#2,978011#-0,2727427#0,5254222#3,153913#-0,1204007#0,6130577#3,270556#-0,3460258#0,556398#3,410831#-0,1831553#0,3383595#3,36217#-0,2129885#0,2745192#3,320102#-0,1691157#0,2198569#3,27567#-0,260743#0,1982827#3,350077#-0,08533125#-0,2595856#3,106344#-0,2727701#-0,2982464#3,379438#-0,07352962#-0,5881646#2,933328#-0,2138198#-0,598635#3,4716#-0,1002936#-0,6485797#2,840013#-0,1959709#-0,6096473#3,359199#0 
