frame1 #-0,1629073#0,9354599#3,271186#-0,14378#0,7340097#3,295071# -0,04879522#0,381698#2,742572#-0,3643471#0,08142302#3,274729#-0,0341885#0,3561885#2,863705#-0,3516544#0,1472822#3,263681#0,03989409#0,4377266#3,0775#-0,3135765#0,3448599#3,244377#-0,01498348#0,5982466#3,217837#-0,2909678#0,6193364#3,288023#-0,1648144#0,3563405#3,296821#-0,1832359#0,2910348#3,241586#-0,1266493#0,2244295#3,224003#-0,2508422#0,2339199#3,240366#-0,09841911#-0,2490891#3,029477#-0,2632896#-0,2919241#3,401058#-0,09386061#-0,6448441#2,888339#-0,1123466#-0,5893531#2,92751#-0,1284909#-0,6718126#2,829529#-0,08772761#-0,6800882#2,895597#0  
frame32 #-0,2829007#0,9641016#3,412642#-0,2321364#0,8123284#3,439862# -0,1908462#0,4788579#2,692611#-0,231302#0,5322582#2,869097#-0,169261#0,5412356#2,856764#-0,2522123#0,5580132#2,956878#-0,1076138#0,6456556#3,101971#-0,3179538#0,6330547#3,234681#-0,1461467#0,6736794#3,332387#-0,3743419#0,6989468#3,491558#-0,2196901#0,3966567#3,467921#-0,239898#0,3173652#3,444966#-0,190238#0,2677085#3,428965#-0,2906161#0,2520715#3,465299#-0,09818941#-0,2647685#3,474864#-0,2598024#-0,2544654#3,46987#-0,1292156#-0,5934563#3,566475#-0,1999574#-0,56718#3,48673#-0,1788019#-0,6390402#3,497574#-0,2427343#-0,6273946#3,451345#0  
frame33 #-0,2835475#0,9661611#3,414523#-0,2321219#0,8117782#3,441955# -0,1608687#0,4832784#2,714696#-0,1620193#0,4836098#2,716436#-0,1679406#0,5483761#2,863908#-0,2665595#0,4471596#3,138099#-0,1039793#0,6592966#3,119131#-0,3317291#0,4238085#3,424447#-0,1540968#0,6725374#3,34778#-0,3743274#0,6983966#3,493651#-0,2213384#0,3971607#3,473135#-0,2389991#0,3165118#3,453417#-0,1910896#0,2673696#3,432924#-0,2870418#0,2541833#3,476724#-0,09879765#-0,262139#3,500504#-0,2500204#-0,2481864#3,479221#-0,1404247#-0,6055834#3,576188#-0,1962244#-0,5887322#3,506061#-0,1911438#-0,6513497#3,513375#-0,2325864#-0,6496699#3,466392#0  
frame34 #-0,2843307#0,9651459#3,414702#-0,2304479#0,8088266#3,443365# -0,1565147#0,4817396#2,718819#-0,1601655#0,4807196#2,718342#-0,1675922#0,5466929#2,868399#-0,2346811#0,5538915#2,970957#-0,102492#0,657952#3,126353#-0,3078144#0,6299232#3,243169#-0,1571932#0,6705444#3,352281#-0,3726534#0,6954449#3,49506#-0,2190669#0,3942135#3,480209#-0,2344349#0,3119238#3,465482#-0,1878338#0,2642719#3,444572#-0,2818879#0,2534345#3,488477#-0,1002897#-0,2554548#3,552154#-0,2299192#-0,2439109#3,503887#-0,1436359#-0,6125129#3,625755#-0,1959608#-0,5892249#3,502168#-0,1843377#-0,645824#3,529491#-0,2432479#-0,6352786#3,433308#0  
frame35 #-0,283624#0,9638977#3,416357#-0,2269605#0,8032222#3,44385# -0,1474433#0,4660054#2,727153#-0,1616448#0,5514496#2,902519#-0,1462725#0,532515#2,88389#-0,2153629#0,5532718#2,979501#-0,1207898#0,6195552#3,133124#-0,2891071#0,6328278#3,248211#-0,1628098#0,6642747#3,355922#-0,369166#0,6898406#3,495545#-0,2164605#0,3859213#3,488039#-0,2306332#0,3017825#3,477863#-0,1863571#0,2546787#3,462356#-0,2772004#0,250216#3,49674#-0,09499986#-0,2566707#3,577553#-0,2352504#-0,2393635#3,506875#-0,1552681#-0,5970795#3,54304#-0,2013684#-0,5855302#3,495856#-0,1968702#-0,6590607#3,511105#-0,249347#-0,6322133#3,427717#0  
frame36 #-0,2756309#0,961798#3,421124#-0,2241325#0,7981783#3,44717# -0,1284975#0,4559516#2,748248#-0,28469#0,6984037#3,356514#-0,1274016#0,5380427#2,885339#-0,3038942#0,7314752#3,44031#-0,07432236#0,6366444#3,152054#-0,361507#0,8306898#3,705788#-0,1701975#0,6631981#3,358094#-0,366338#0,6847966#3,498866#-0,21455#0,385508#3,494294#-0,2279328#0,3022602#3,48698#-0,1843319#0,2546053#3,471145#-0,2721341#0,2575497#3,510009#-0,09430312#-0,2146597#3,586881#-0,2361904#-0,2367155#3,513546#-0,1606598#-0,6002356#3,530178#-0,2026233#-0,5919728#3,495228#-0,2080491#-0,6576719#3,49761#-0,2386971#-0,658985#3,466708#0  
frame37 #-0,2708897#0,9552119#3,418723#-0,2188317#0,7856236#3,4515# -0,1035393#0,44402#2,762807#-0,2819573#0,6955395#3,346687#-0,08884683#0,5000488#2,855962#-0,3030081#0,7304758#3,429706#-0,07867599#0,5850058#3,080842#-0,3661605#0,8352847#3,692858#-0,1688661#0,6598049#3,360053#-0,3610371#0,672242#3,503196#-0,213421#0,3809599#3,506734#-0,2263839#0,2987847#3,503758#-0,1823069#0,2517513#3,487662#-0,2719894#0,2522729#3,529472#-0,08508297#-0,2445168#3,632695#-0,2369919#-0,2347144#3,52067#-0,1648551#-0,600491#3,520472#-0,20383#-0,5943467#3,496117#-0,2158739#-0,6480656#3,454682#-0,2366371#-0,6611404#3,46287#0  
frame38 #-0,2535654#0,9481801#3,421904#-0,2089026#0,7773334#3,45714# -0,09021514#0,4235486#2,772471#-0,2725901#0,725608#3,43594#-0,05928937#0,4609261#2,856565#-0,3031324#0,6664729#3,453791#-0,07012787#0,5793812#3,093801#-0,3701348#0,7655025#3,719262#-0,1518147#0,6503369#3,377932#-0,351108#0,6639518#3,508836#-0,2082524#0,3839799#3,519974#-0,2195196#0,3042057#3,519807#-0,1727186#0,2548091#3,508097#-0,2679916#0,2599474#3,543228#-0,09697226#-0,1972277#3,612483#-0,2380389#-0,2046034#3,532994#-0,1624769#-0,5850843#3,523271#-0,2159267#-0,555698#3,488297#-0,2145062#-0,652131#3,495799#-0,2624948#-0,6038249#3,420228#0  
frame39 #-0,2328759#0,9057735#3,400462#-0,1925076#0,7593615#3,464402# -0,07465686#0,4025512#2,810322#-0,5008929#0,9519784#3,595207#-0,03538402#0,4823796#2,99154#-0,5121334#0,8949295#3,632397#-0,02558116#0,5691968#3,1919#-0,3761937#0,7634076#3,727456#-0,1213761#0,6205755#3,405128#-0,334713#0,6459799#3,516097#-0,1986472#0,3748837#3,540714#-0,2085952#0,2959828#3,54351#-0,1611558#0,2436919#3,529674#-0,2584657#0,2487949#3,57541#-0,08319765#-0,2317941#3,643052#-0,2386419#-0,2034353#3,533566#-0,1653048#-0,5979054#3,509368#-0,221609#-0,5610206#3,473482#-0,2172908#-0,6581659#3,495491#-0,260764#-0,6102338#3,402221#0  
frame40 #-0,229386#0,9002411#3,389552#-0,1817597#0,7427509#3,467403# -0,07502099#0,3692665#2,848414#-0,337691#0,9592243#3,593022#-0,02040174#0,4061523#2,942522#-0,3529034#0,8942627#3,611814#-0,03302199#0,5143741#3,130932#-0,4613531#0,7529148#3,728483#-0,08470266#0,6212177#3,410096#-0,3135822#0,7168476#3,61776#-0,1906803#0,3838557#3,546447#-0,2026848#0,3135773#3,55648#-0,1554808#0,2506351#3,54213#-0,2567436#0,2622044#3,587978#-0,08230247#-0,2314859#3,64352#-0,2423571#-0,2028377#3,532151#-0,1652485#-0,5975665#3,509473#-0,2228213#-0,5630025#3,467998#-0,2151008#-0,6595174#3,497241#-0,2804357#-0,611069#3,4103#0  
frame41 #-0,2136542#0,8865265#3,383523#-0,1673543#0,7177696#3,478235# -0,07490784#0,3451895#2,889232#-0,4064994#0,8813242#3,512733#-0,0200861#0,3902209#2,99468#-0,4158218#0,8304864#3,558493#0,04177706#0,5096715#3,250666#-0,4513124#0,6860153#3,713012#-0,06354067#0,6055831#3,428487#-0,3174328#0,6628931#3,587565#-0,1839597#0,3795842#3,557198#-0,1950624#0,3105031#3,564614#-0,1391393#0,2439292#3,560952#-0,2533972#0,2584914#3,593268#-0,07408837#-0,222183#3,645662#-0,2786217#-0,172614#3,503135#-0,1638992#-0,597583#3,511224#-0,2316318#-0,5114642#3,43973#-0,2094422#-0,646795#3,443938#-0,2166777#-0,612831#3,477607#0  
frame42 #-0,1853966#0,8512915#3,385787#-0,1627203#0,6783577#3,494524# -0,06759436#0,3226321#2,953508#-0,4101554#0,6942077#3,542168#-0,001657105#0,3385818#3,040989#-0,3607429#0,6460345#3,541512#0,07119568#0,4631493#3,28734#-0,3175313#0,3736125#3,537659#-0,02747458#0,5790363#3,451097#-0,310091#0,6310238#3,575774#-0,1772354#0,3678211#3,569901#-0,1861093#0,3020225#3,576473#-0,1261489#0,2297081#3,5767#-0,2486632#0,2486688#3,603387#-0,06848877#-0,2228688#3,646648#-0,2730424#-0,1779113#3,496885#-0,1641604#-0,596069#3,507571#-0,2268899#-0,5108478#3,449361#-0,1991511#-0,6465053#3,43479#-0,2618805#-0,5612841#3,37658#0  
frame43 #-0,1651148#0,804019#3,401547#-0,1478054#0,6537892#3,50142# -0,05323629#0,2914606#3,024003#-0,3564104#0,7236679#3,525294#0,03493135#0,3177603#3,16321#-0,3461811#0,6323482#3,525388#0,08160676#0,4121155#3,351634#-0,315493#0,358389#3,539635#-0,01908671#0,5659254#3,466915#-0,3011519#0,6057948#3,556622#-0,1689165#0,345965#3,581589#-0,1774548#0,2826378#3,588948#-0,119578#0,2095973#3,595622#-0,2434874#0,2302734#3,609296#-0,06276108#-0,2249951#3,649585#-0,2617912#-0,2315142#3,473309#-0,1524164#-0,5900728#3,539222#-0,1879131#-0,5129428#3,50185#-0,1926614#-0,6595758#3,551111#-0,2144027#-0,5645474#3,425964#0  
frame44 #-0,1483431#0,7630238#3,417148#-0,1436878#0,6040505#3,525398# -0,0333438#0,2552067#3,085636#-0,4108214#0,6185369#3,50962#0,007544748#0,2966149#3,182627#-0,3492107#0,5960374#3,530773#0,08404272#0,3609571#3,390337#-0,3180133#0,3207512#3,544448#0,003975657#0,5279325#3,505096#-0,3013439#0,5969267#3,557472#-0,1644357#0,3226944#3,596181#-0,1712393#0,263704#3,602829#-0,1113857#0,1815551#3,614971#-0,2387276#0,2063886#3,62193#-0,04813508#-0,2630366#3,66206#-0,2579124#-0,2367173#3,470727#-0,1739478#-0,6001701#3,51874#-0,1871923#-0,5184211#3,500674#-0,1905754#-0,6608546#3,570333#-0,2038934#-0,5703525#3,422009#0  
frame45 #-0,1440471#0,7451411#3,416575#-0,1442829#0,5705118#3,527455# -0,01798821#0,2099763#3,180423#-0,3473987#0,6031954#3,52093#0,05792237#0,2082907#3,291767#-0,3387415#0,5115302#3,523385#0,104526#0,3127314#3,474874#-0,3127698#0,2365343#3,544647#0,0251977#0,4977778#3,536458#-0,2989205#0,4981962#3,537886#-0,1568893#0,2801612#3,608456#-0,159165#0,2199549#3,618451#-0,09518304#0,1451759#3,635033#-0,2296213#0,1523679#3,633238#-0,04281503#-0,2810229#3,662091#-0,2466891#-0,2500035#3,463051#-0,1830107#-0,6057034#3,526994#-0,1857837#-0,5311497#3,504345#-0,2146792#-0,6661631#3,571643#-0,1858525#-0,5852956#3,425131#0  
frame46 #-0,125569#0,6876705#3,408126#-0,1402064#0,5269294#3,534254# -0,001985418#0,1583136#3,265225#-0,3428856#0,7191097#3,462793#0,0281857#0,1727338#3,325335#-0,3848448#0,6375191#3,465611#0,100276#0,2653582#3,505468#-0,5107227#0,3927473#3,487915#0,02359908#0,4531534#3,549403#-0,3037225#0,4571936#3,530174#-0,1560983#0,2416403#3,616453#-0,1587083#0,1824683#3,627407#-0,09097409#0,1057749#3,648537#-0,2340218#0,1122422#3,640163#-0,03019079#-0,2833017#3,648971#-0,2464722#-0,2771282#3,447031#-0,2050554#-0,6575731#3,553594#-0,2044176#-0,5634934#3,480834#-0,2397288#-0,7194508#3,594043#-0,1995742#-0,6182038#3,402022#0  
frame47 #-0,1154272#0,6293226#3,413104#-0,1398853#0,4720088#3,526712# 0,002830029#0,06847721#3,325644#-0,3756287#0,6245448#3,381391#0,02558074#0,1018879#3,381321#-0,4040064#0,5574616#3,390585#0,0976607#0,2077415#3,571512#-0,4891393#0,3562121#3,431957#0,02934307#0,40687#3,553296#-0,3002343#0,4054746#3,516455#-0,1518061#0,2001055#3,622116#-0,1534411#0,1436284#3,636369#-0,08254618#0,06853077#3,664663#-0,2300471#0,07393026#3,649433#-0,01544382#-0,3523193#3,635702#-0,2409352#-0,3007307#3,432274#-0,1133477#-0,5897256#3,767452#-0,244664#-0,587619#3,541203#-0,1632412#-0,6541879#3,76436#-0,205707#-0,65924#3,538538#0  
frame48 #-0,1184755#0,5954828#3,41357#-0,1351814#0,4221009#3,528692# 0,04155625#0,04312107#3,405291#-0,3296039#0,6303154#3,43711#0,05369545#0,07554714#3,463723#-0,3674515#0,5495196#3,41805#0,09059399#0,1774623#3,648272#-0,4809943#0,3071323#3,374603#0,03251406#0,3774678#3,573765#-0,2987787#0,3519251#3,498175#-0,1492#0,1624897#3,632046#-0,1502159#0,1074637#3,649168#-0,07905644#0,03560721#3,686655#-0,2276418#0,02973233#3,661507#-0,003348961#-0,3771702#3,614797#-0,2310736#-0,3287669#3,422026#-0,1028938#-0,5785011#3,794736#-0,2445982#-0,587149#3,540413#-0,1528018#-0,6429823#3,791643#-0,2066328#-0,6593673#3,541572#0  
frame49 #-0,1059458#0,5407034#3,412709#-0,1435634#0,3699359#3,528237# 0,03515987#-0,06432905#3,465324#-0,3729104#0,5228046#3,312776#0,04349864#-0,008809343#3,539732#-0,3889714#0,4574763#3,309736#0,07639019#0,1296386#3,696823#-0,4371542#0,2614914#3,314301#0,02061418#0,322338#3,594231#-0,2877564#0,3052786#3,486009#-0,1513447#0,1038548#3,640359#-0,1507146#0,04842554#3,660248#-0,08524769#-0,0175237#3,708642#-0,2193031#-0,02596974#3,663505#-0,02062639#-0,3411146#3,617023#-0,2283964#-0,3564927#3,389673#-0,1018869#-0,5540293#3,755086#-0,2365383#-0,5864286#3,531111#-0,1517399#-0,6184396#3,751997#-0,2095181#-0,661559#3,547508#0  
frame50 #-0,1027392#0,5022699#3,413282#-0,1355774#0,3314736#3,531139# 0,05053328#-0,06113749#3,571564#-0,315867#0,4307826#3,321311#0,04943579#-0,04153514#3,589927#-0,3417051#0,3712819#3,303039#0,05618524#0,09870973#3,749039#-0,4192197#0,1927795#3,26186#0,02082379#0,2932191#3,613228#-0,2765514#0,2579593#3,46249#-0,1488536#0,06615609#3,644906#-0,1487432#0,01101574#3,666057#-0,08359618#-0,05058593#3,714419#-0,2195021#-0,06013145#3,668598#-0,01760953#-0,3574449#3,605246#-0,2181577#-0,3751911#3,380407#-0,09825958#-0,5689288#3,756665#-0,2326225#-0,5885564#3,530743#-0,1480482#-0,6332555#3,753579#-0,2111256#-0,665709#3,545294#0  
frame51 #-0,09454468#0,4409866#3,407209#-0,1380546#0,2688457#3,521384# 0,03805496#-0,1472982#3,593043#-0,290267#0,4310502#3,29002#0,0385024#-0,09559415#3,644704#-0,3052904#0,3680299#3,271425#0,04900223#0,07719068#3,792458#-0,3503608#0,1789688#3,22923#0,01585996#0,2418682#3,626333#-0,2593367#0,2252696#3,455037#-0,1400006#0,01172339#3,647158#-0,1376368#-0,0415619#3,671392#-0,07564601#-0,09239876#3,722621#-0,2000424#-0,1126214#3,674459#-0,01164399#-0,3850739#3,585732#-0,2127797#-0,3282964#3,433079#-0,08944196#-0,5753832#3,74263#-0,2318493#-0,5890044#3,530184#-0,1391275#-0,6395768#3,73955#-0,1899853#-0,6484195#3,46813#0  
frame52 #-0,09080572#0,4062155#3,420567#-0,1445707#0,22072#3,516433# 0,08858301#-0,1511145#3,67422#-0,2778018#0,002996944#3,173595#0,03943586#-0,1196424#3,710215#-0,2798383#0,06921923#3,191258#0,03518497#0,07792117#3,764978#-0,2862551#0,2778835#3,260469#-0,001219513#0,2024275#3,626139#-0,2192647#0,1750647#3,457283#-0,1390431#-0,002185302#3,647862#-0,1359384#-0,05126418#3,673187#-0,08574183#-0,1067045#3,746398#-0,1787517#-0,1371026#3,6651#-0,01777125#-0,3894112#3,589219#-0,2142108#-0,3320272#3,429246#-0,08991046#-0,5777829#3,721827#-0,2177575#-0,5874689#3,534961#-0,1395027#-0,641856#3,718754#-0,1688979#-0,6472307#3,47892#0  
frame53 #-0,08659673#0,3742758#3,404084#-0,1546499#0,1889461#3,493603# 0,06421881#-0,1365715#3,642982#-0,226397#-0,002350606#3,20399#0,03371884#-0,1386424#3,704315#-0,2421769#0,08848181#3,213832#0,03699403#0,05505059#3,773777#-0,2829562#0,3145801#3,253538#0,002590136#0,1738448#3,641082#-0,2291574#0,1441782#3,434766#-0,1540248#-0,04705589#3,641815#-0,1503381#-0,09471609#3,671929#-0,1023124#-0,1401412#3,752915#-0,1931173#-0,1734955#3,666744#0,01089589#-0,4800706#3,534992#-0,2112457#-0,3455852#3,429389#-0,1214609#-0,6044765#3,760603#-0,199848#-0,589717#3,55916#-0,1710446#-0,6685385#3,757531#-0,2176668#-0,6653082#3,535914#0  
frame54 #-0,07040706#0,3129529#3,417901#-0,1254958#0,1273544#3,514817# -0,05555955#-0,287363#3,815995#-0,1623746#-0,1091926#3,208761#-0,03100112#-0,2049722#3,806114#-0,1781517#-0,01837689#3,218602#0,04267419#0,04220001#3,789981#-0,2462818#0,2433377#3,198062#0,008366857#0,16293#3,657675#-0,2647448#0,0780432#3,393671#-0,1397467#-0,0928188#3,626349#-0,1391637#-0,1384138#3,648907#-0,09186631#-0,1952646#3,721934#-0,1942786#-0,2335742#3,644849#0,0296704#-0,5351076#3,509544#-0,2110156#-0,3576497#3,434086#-0,1207012#-0,6083336#3,761508#-0,2176511#-0,5912994#3,541431#-0,1702971#-0,6724114#3,758435#-0,215075#-0,6723319#3,539928#0  
frame55 #-0,05618196#0,2648607#3,412202#-0,09725445#0,08203954#3,518261# -0,07515235#-0,3176539#3,788161#-0,1259473#-0,116853#3,229078#-0,03793482#-0,2406435#3,788189#-0,1355217#-0,05178889#3,197678#0,07371773#-0,009612426#3,801747#-0,2189809#0,1512185#3,166116#0,03979581#0,1115925#3,670329#-0,2393786#0,01066582#3,391767#-0,1378703#-0,09090724#3,627771#-0,1378715#-0,1324942#3,65191#-0,1033575#-0,1904996#3,774694#-0,196317#-0,2346676#3,646683#0,008432013#-0,4107088#3,574893#-0,2084494#-0,3851781#3,444767#-0,092812#-0,5953928#3,736375#-0,2320079#-0,5973948#3,534643#-0,1424078#-0,6594705#3,733302#-0,2055908#-0,6738891#3,539732#0  
frame56 #-0,04154392#0,2183962#3,469012#-0,0652591#0,04393347#3,589432# -0,07283454#-0,3056913#3,756976#-0,09881933#-0,1995728#3,279806#-0,02819764#-0,2411981#3,782615#-0,1199854#-0,1007851#3,238913#0,1057131#-0,04771849#3,872979#-0,221923#0,1448349#3,194315#0,07179116#0,07348642#3,7415#-0,2349958#0,002657542#3,417115#-0,1297046#-0,09369546#3,642202#-0,1359912#-0,1302891#3,65645#-0,1164086#-0,206947#3,779472#-0,2193145#-0,2478933#3,633711#0,08912045#-0,4502156#3,505726#-0,2053224#-0,3837912#3,44731#-0,01900886#-0,6359026#3,672977#-0,224734#-0,5972531#3,536125#0,03687114#-0,700319#3,630124#-0,2075099#-0,6764925#3,538426#0  
frame57 #-0,02875455#0,2310255#3,488686#-0,03156425#0,08365574#3,636555# 0,05530916#-0,2037873#3,714054#-0,2173785#-0,46089#3,426271#0,03109891#-0,2201961#3,775642#-0,2092891#-0,3622243#3,375231#0,1394079#-0,007996216#3,920138#-0,1027911#-0,1430175#3,268052#0,105486#0,1132087#3,788623#-0,2269263#-0,01105104#3,445341#-0,08089941#-0,1016219#3,684275#-0,08719134#-0,1401447#3,69417#-0,05303385#-0,2315382#3,784405#-0,1789175#-0,2803629#3,649668#0,01728846#-0,433955#3,571181#-0,2005269#-0,3755859#3,446815#-0,08787932#-0,6145563#3,733165#-0,2237805#-0,5981705#3,538414#-0,1375041#-0,6786714#3,73009#-0,2079729#-0,6776524#3,534467#0  
frame58 #-0,08999355#0,2102301#3,413936#-0,1294623#0,03370339#3,530683# 0,02170147#-0,3020132#3,801151#-0,2109312#-0,5165983#3,440359#-0,006778451#-0,2537979#3,839914#-0,1978492#-0,4000728#3,384855#0,04150991#-0,05794857#3,814304#-0,1019787#-0,1676905#3,295191#0,007587984#0,06325634#3,68275#-0,2290759#-0,01248521#3,457241#-0,1126725#-0,1638542#3,643884#-0,1058795#-0,2046563#3,66663#-0,05143273#-0,2866023#3,784489#-0,1411516#-0,3165151#3,648406#0,02056498#-0,4934242#3,553055#-0,1546303#-0,4894644#3,492368#-0,0846028#-0,6740255#3,715078#-0,1809269#-0,7256917#3,592288#-0,1339922#-0,7378365#3,712018#-0,2130968#-0,6598819#3,551365#0  
frame59 #-0,0784543#0,1793999#3,448566#-0,1102544#0,009552262#3,575701# 0,02792691#-0,3854514#3,765218#-0,2172521#-0,579765#3,477685#-0,0005381514#-0,3372612#3,80396#-0,2249129#-0,5135183#3,444482#0,06204424#-0,08419466#3,8359#-0,2440249#-0,3111638#3,411289#0,02812232#0,03701026#3,704274#-0,2178571#-0,04283514#3,471348#-0,1125008#-0,2312661#3,672376#-0,1095188#-0,2805657#3,691745#-0,0545486#-0,3373134#3,751743#-0,1641273#-0,3664392#3,682222#-6,793439E-05#-0,5275214#3,517326#-0,1572363#-0,4653139#3,49577#-0,1052357#-0,7081227#3,679421#-0,183533#-0,7015411#3,595762#-0,1545523#-0,7718397#3,676365#-0,2167966#-0,6551207#3,538841#0  
frame60 #-0,07692255#0,1795932#3,448634#-0,110349#0,01024779#3,57729# -0,009123545#-0,4252642#3,746454#-0,2041539#-0,5743441#3,430598#-0,03756947#-0,3771065#3,785171#-0,213957#-0,5086513#3,422289#0,02748722#-0,1280991#3,820423#-0,2433663#-0,3115729#3,410692#0,03033017#0,02703927#3,719111#-0,2159452#-0,04491911#3,471287#-0,1087124#-0,2301676#3,683897#-0,1042447#-0,2795283#3,706512#-0,04661136#-0,3305371#3,775958#-0,1569245#-0,3672204#3,697093#0,007028695#-0,4514318#3,582357#-0,1596642#-0,4629498#3,497093#-0,09813909#-0,6320331#3,744531#-0,1859609#-0,6991771#3,597164#-0,1473852#-0,695659#3,741479#-0,216758#-0,6547247#3,537512#0  
frame61 #-0,07572646#0,1807463#3,449314#-0,110801#0,01097415#3,578326# 0,05048588#-0,3745486#3,579164#-0,2183489#-0,5720807#3,473509#0,03886162#-0,315354#3,610438#-0,2260098#-0,5058341#3,440306#0,02733541#-0,1297273#3,821694#-0,2435329#-0,309131#3,410265#0,03015616#0,02591762#3,721024#-0,2159301#-0,04486356#3,47114#-0,1087092#-0,2301918#3,683666#-0,1042128#-0,2796023#3,705893#-0,04709114#-0,3320224#3,770597#-0,156692#-0,3661325#3,695929#0,003033459#-0,4564647#3,573679#-0,1580082#-0,4795298#3,499606#-0,1021343#-0,6370659#3,735911#-0,2290016#-0,6071056#3,567465#-0,1513283#-0,7006245#3,732862#-0,2091468#-0,6759632#3,530949#0  
frame62 #-0,07437794#0,1970321#3,451425#-0,1128324#0,02660197#3,580196# 0,04571707#-0,3961674#3,571934#-0,2192902#-0,5613997#3,474131#0,03436783#-0,333755#3,596079#-0,2265539#-0,4991636#3,441833#0,01048938#-0,1550847#3,812237#-0,2458423#-0,3043929#3,411123#0,01447653#0,001644652#3,713127#-0,2157081#-0,04473589#3,47114#-0,110437#-0,2317976#3,681612#-0,1073598#-0,2845113#3,701504#-0,05587231#-0,3442626#3,762211#-0,1591385#-0,3682148#3,686261#0,0296789#-0,5684992#3,419328#-0,1600308#-0,4768613#3,496935#-0,09559436#-0,6182052#3,763902#-0,2331071#-0,5964853#3,562071#-0,144743#-0,6817052#3,760857#-0,2110005#-0,6693777#3,536477#0  
frame63 #-0,07726903#0,2149605#3,468072#-0,1138583#0,02881368#3,580921# 0,05722273#-0,4776981#3,480161#-0,2198386#-0,6056657#3,520817#0,04828119#-0,4151922#3,504915#-0,2274994#-0,5394191#3,487614#0,03264722#-0,2188575#3,598395#-0,245788#-0,3040408#3,411267#0,01215373#-0,001189031#3,712708#-0,21535#-0,04495301#3,471666#-0,1108255#-0,2340273#3,681191#-0,1074515#-0,2886772#3,700816#-0,05609388#-0,3471619#3,760638#-0,1584931#-0,3689688#3,68558#-0,005946943#-0,4774201#3,555367#-0,1584221#-0,479332#3,4979#-0,07838941#-0,5990178#3,761256#-0,231541#-0,597738#3,563119#-0,127517#-0,6624906#3,758211#-0,2105879#-0,6704541#3,536194#0  
frame64 #-0,0774017#0,2165568#3,467637#-0,1156713#0,03131163#3,582402# 0,06026162#-0,4784166#3,478245#-0,2216293#-0,6027458#3,519189#0,04917511#-0,4163867#3,503119#-0,2292902#-0,5364992#3,485986#0,02997363#-0,2210681#3,592638#-0,2450581#-0,3031969#3,412477#0,004887294#-0,003024006#3,704224#-0,2139826#-0,04564258#3,473795#-0,1121883#-0,2350294#3,679248#-0,1088341#-0,2902542#3,697881#-0,05886674#-0,3501762#3,758593#-0,1576939#-0,3707585#3,676205#-0,008509214#-0,4804089#3,550654#-0,1592489#-0,4814342#3,494445#-0,07843536#-0,5972306#3,757971#-0,232017#-0,5988463#3,560431#-0,1275408#-0,6606746#3,754928#-0,2097534#-0,6721712#3,536482#0  
frame65 #-0,07768243#0,2247156#3,470839#-0,1179123#0,03695867#3,583137# 0,06030593#-0,4730893#3,479722#-0,21533#-0,5373594#3,468792#0,04950636#-0,4106942#3,503509#-0,2196588#-0,4993082#3,441342#0,03005575#-0,2091946#3,593134#-0,242672#-0,3045736#3,414788#0,005375476#0,009642531#3,70212#-0,2132016#-0,04436425#3,476878#-0,1120263#-0,2332098#3,679183#-0,1082197#-0,2884156#3,697859#-0,05804576#-0,3479093#3,759841#-0,1557927#-0,3693835#3,676084#0,03008344#-0,5725214#3,41975#-0,1589148#-0,4819846#3,493986#-0,08883816#-0,6143619#3,811296#-0,2332218#-0,6004636#3,560989#-0,1379303#-0,677789#3,808254#-0,2087148#-0,6721293#3,534423#0  
frame66 #-0,08920006#0,2409062#3,480684#-0,1208627#0,04188006#3,581136# 0,0545367#-0,4759123#3,493165#-0,2223155#-0,5694476#3,492953#0,04779198#-0,3878349#3,516945#-0,2299764#-0,5032011#3,45975#0,0349363#-0,162148#3,613131#-0,2410256#-0,3032085#3,414956#0,02093912#0,06049213#3,714298#-0,2145539#-0,04120974#3,480921#-0,1108752#-0,2142179#3,674859#-0,1048452#-0,264669#3,693236#-0,04959069#-0,3229493#3,758934#-0,1521761#-0,3545458#3,673985#0,002885378#-0,4572009#3,562934#-0,1587351#-0,4719517#3,485849#-0,09600531#-0,5881136#3,751786#-0,2361541#-0,592815#3,556161#-0,1450947#-0,6515371#3,748744#-0,2111318#-0,6683268#3,545512#0  
frame67 #-0,08972917#0,2448107#3,480729#-0,1221413#0,04522017#3,581256# 0,05500899#-0,4779519#3,487952#-0,2177363#-0,5752627#3,49104#0,05204096#-0,3959949#3,511354#-0,2253972#-0,5090161#3,457836#0,03361516#-0,1768898#3,608584#-0,2409128#-0,3028971#3,415749#0,01789329#0,04435416#3,713354#-0,214609#-0,03986454#3,48481#-0,1113793#-0,2140512#3,673769#-0,1055311#-0,265146#3,691713#-0,05129689#-0,3241861#3,754914#-0,1527297#-0,3531177#3,671749#0,002215217#-0,4659494#3,566281#-0,1660108#-0,4494504#3,459867#-0,0898037#-0,5892463#3,75481#-0,2391521#-0,5935125#3,555433#-0,1388549#-0,6526203#3,75177#-0,206022#-0,6664757#3,552221#0  
