frame12 #0,07663975#0,884933#3,48196#0,1311815#0,7241533#3,602061# 0,09034632#0,6264703#3,474547#0,08391692#0,8398147#3,448665#0,1452915#0,599543#3,489608#0,05708599#0,7827974#3,448665#0,3632776#0,5387774#3,433459#-0,1275045#0,6826642#3,570913#0,2496593#0,6304794#3,555549#0,0397812#0,6340702#3,580781#0,105421#0,3334179#3,631689#0,09364914#0,2587213#3,585638#0,1376168#0,2103002#3,577162#0,0419472#0,2105753#3,585943#0,1758083#-0,2506176#3,390359#0,03865745#-0,2717425#3,718688#0,1755393#-0,5576829#3,253141#0,09403826#-0,5723927#3,851822#0,1657254#-0,6018865#3,170374#0,05354748#-0,6372348#3,876042#0  
frame13 #0,07554691#0,8841857#3,481353#0,1277173#0,7236137#3,598777# 0,09964593#0,6202756#3,472025#0,08887307#0,842943#3,44783#0,1549014#0,6008925#3,49522#0,06205563#0,7859542#3,44783#0,3763202#0,5431251#3,446782#-0,1207707#0,6884406#3,576064#0,2488466#0,6306198#3,55505#0,03703334#0,6191491#3,570698#0,1021902#0,3323894#3,629839#0,09271242#0,2569656#3,586251#0,1364209#0,2092469#3,578419#0,04161993#0,2084234#3,586807#0,17397#-0,2516066#3,397014#0,03856117#-0,2714674#3,719139#0,1755435#-0,557126#3,253653#0,09535302#-0,5673285#3,845623#0,1693211#-0,6014751#3,170786#0,05698866#-0,6319#3,873354#0  
frame14 #0,07179236#0,8810387#3,476124#0,1283027#0,7242696#3,594571# 0,1338194#0,6451962#3,464841#0,0882511#0,8427855#3,448113#0,1622274#0,601974#3,500704#0,06145249#0,7858368#3,448113#0,3862125#0,5464357#3,459068#-0,121849#0,6883631#3,576094#0,2474127#0,6295927#3,552576#0,03685407#0,6203859#3,571575#0,1028483#0,3324381#3,626845#0,0928771#0,256638#3,586069#0,1366461#0,2092943#3,57822#0,04173827#0,2079828#3,587108#0,1739511#-0,2515022#3,39788#0,03858899#-0,2711896#3,719076#0,1746498#-0,557934#3,252034#0,09546635#-0,5659372#3,843696#0,1671202#-0,6024134#3,1694#0,05899437#-0,6290497#3,87672#0  
frame15 #0,07264168#0,8808938#3,476228#0,1273002#0,7215337#3,587751# 0,1258618#0,6461182#3,458258#0,08794406#0,8425571#3,448348#0,1546461#0,6020947#3,492596#0,06119817#0,7857206#3,448348#0,3760706#0,5451433#3,442879#-0,1220476#0,6883448#3,576412#0,2470124#0,6294603#3,552343#0,03656613#0,6206242#3,571152#0,1039633#0,3320588#3,620812#0,09455901#0,2560972#3,583485#0,1388726#0,2092528#3,575778#0,0431424#0,2074131#3,585639#0,1744331#-0,2526781#3,392624#0,03900575#-0,2708534#3,719091#0,1744374#-0,5580952#3,251409#0,09548517#-0,5660002#3,843816#0,1670198#-0,6028359#3,168751#0,05929026#-0,6265879#3,884137#0  
frame16 #0,07317139#0,8816342#3,475815#0,1277701#0,7207469#3,584781# 0,1263278#0,646318#3,457186#0,08728261#0,8418064#3,449217#0,1545765#0,6019964#3,491356#0,06059007#0,7850832#3,449217#0,3756223#0,544777#3,440912#-0,1216762#0,6871312#3,578197#0,246908#0,6294221#3,550499#0,03699611#0,6224437#3,567687#0,102777#0,3326895#3,617318#0,09385913#0,2565767#3,582774#0,1378482#0,2097277#3,575228#0,04265242#0,2080375#3,585326#0,1698788#-0,2543375#3,397476#0,0391506#-0,2714366#3,719826#0,1744211#-0,5580754#3,251488#0,09505992#-0,5654629#3,844989#0,1676927#-0,6029345#3,16881#0,05863979#-0,6280171#3,879426#0  
frame17 #0,07107052#0,8729414#3,470331#0,1301343#0,7179972#3,576687# 0,1276969#0,6465712#3,45614#0,08458837#0,8399488#3,450258#0,1555212#0,6020223#3,490204#0,05793268#0,783304#3,450258#0,3760242#0,5449542#3,439172#-0,1236567#0,6847007#3,578983#0,246143#0,6294591#3,546496#0,03610725#0,6248078#3,566484#0,1030817#0,3324173#3,609687#0,09372461#0,2563571#3,578732#0,1376876#0,2100746#3,571145#0,04230058#0,2073819#3,582688#0,1677009#-0,2504792#3,3597#0,03933281#-0,2722644#3,720798#0,1739922#-0,5590659#3,249374#0,09444447#-0,5639657#3,845957#0,1543046#-0,6371303#3,179839#0,05910786#-0,6269932#3,88042#0  
frame18 #0,06615685#0,8591586#3,459421#0,1301231#0,7165105#3,573698# 0,1041186#0,6332357#3,427972#-0,1049138#0,5853556#3,503192#0,130753#0,5881454#3,462733#-0,131677#0,5284823#3,503192#0,3363947#0,5124438#3,380825#-0,02100103#0,3964528#3,555388#0,2549181#0,6179451#3,522871#0,0339686#0,6279243#3,559412#0,1051551#0,3308705#3,604581#0,09399665#0,2549601#3,576573#0,1389639#0,2071606#3,568242#0,04166628#0,2046573#3,580718#0,1751063#-0,2504651#3,337681#0,03920443#-0,272612#3,720493#0,173976#-0,559061#3,249475#0,09055096#-0,5827299#3,865854#0,1556643#-0,639064#3,179815#0,04609306#-0,6453868#3,886554#0  
frame19 #0,06857362#0,8691528#3,454682#0,1351037#0,7152208#3,56197# 0,1062233#0,6316744#3,425129#-0,06811194#0,5970947#3,560005#0,1325249#0,5863805#3,459724#-0,09483877#0,5402986#3,560005#0,3372018#0,5092803#3,375762#-0,01681724#0,3830225#3,551332#0,2560894#0,6164088#3,51711#0,03168175#0,6146684#3,541547#0,1040653#0,3314457#3,596091#0,09435487#0,2551302#3,57165#0,139719#0,2072645#3,56408#0,04077666#0,2033689#3,576812#0,1726281#-0,2504801#3,338705#0,03915388#-0,2717274#3,71938#0,1737769#-0,5581236#3,247616#0,09214383#-0,5570291#3,847659#0,1541914#-0,6391213#3,176659#0,08316202#-0,6028106#3,764706#0  
frame20 #0,07037549#0,8702983#3,449062#0,1383211#0,7134677#3,553301# 0,104211#0,628475#3,417634#-0,05413226#0,1628163#3,603424#0,1302208#0,5829503#3,452541#-0,04504974#0,2187315#3,586315#0,3324738#0,5021745#3,364644#-0,01780219#0,3864769#3,548366#0,2589595#0,6143823#3,507176#0,03195802#0,6188687#3,539909#0,1062908#0,331104#3,584258#0,09552614#0,2552347#3,562555#0,1415699#0,2085792#3,553789#0,04046378#0,2004211#3,569246#0,1687199#-0,2497028#3,335306#0,03845057#-0,27044#3,714383#0,1726425#-0,5594183#3,243456#0,09227523#-0,5775015#3,858552#0,1526424#-0,6410413#3,174248#0,05287779#-0,6409324#3,88854#0  
frame21 #0,0708866#0,8565736#3,439137#0,1372634#0,7113114#3,550177# 0,1153097#0,6294054#3,405105#-0,04173652#0,1695256#3,627449#0,1409578#0,5834636#3,440108#-0,03693008#0,2230524#3,601968#0,350475#0,5076118#3,36062#-0,02251075#0,3836329#3,538914#0,2450374#0,6114274#3,486618#0,03238734#0,6172068#3,538615#0,1078878#0,3268922#3,573818#0,09518781#0,2512357#3,552794#0,1391809#0,2057294#3,540087#0,04189814#0,1980585#3,562509#0,1587621#-0,2478692#3,291548#0,03526052#-0,2672499#3,707605#0,1715995#-0,5602021#3,238887#0,0908457#-0,5792735#3,853688#0,1519373#-0,6418884#3,172696#0,04991415#-0,6476638#3,858279#0  
frame22 #0,07073359#0,8695325#3,427177#0,1367092#0,7112861#3,537442# 0,1124872#0,6203786#3,387348#-0,06344619#0,1337709#3,567743#0,1380122#0,5744476#3,422175#-0,05229181#0,1970087#3,555716#0,3383631#0,4931714#3,329863#-0,01882867#0,3867218#3,533031#0,2515095#0,605383#3,463436#0,03307936#0,6200606#3,531413#0,1082211#0,3318151#3,560123#0,09443972#0,257252#3,541195#0,1386952#0,205931#3,526474#0,04058894#0,2067149#3,553352#0,1587511#-0,2484003#3,290055#0,03403648#-0,2671532#3,700768#0,1698101#-0,5640473#3,23243#0,08974919#-0,5822109#3,858274#0,1498349#-0,6430095#3,172291#0,05071243#-0,6510142#3,858899#0  
frame23 #0,07293206#0,8652528#3,419225#0,1360614#0,7096857#3,529722# 0,1264132#0,6297995#3,385561#-0,06199283#0,1355169#3,564921#0,1518121#0,5839459#3,420269#-0,05112816#0,1980146#3,553773#0,3569516#0,5125691#3,333618#-0,01853415#0,3855078#3,533732#0,2432118#0,6067536#3,457061#0,0304803#0,6069505#3,514885#0,1073739#0,3296349#3,551059#0,0948296#0,2548145#3,533331#0,1381281#0,2061093#3,514798#0,04202332#0,2031183#3,548322#0,1587574#-0,248998#3,288043#0,03220437#-0,2657315#3,695557#0,1692851#-0,5663202#3,231286#0,08894542#-0,5830444#3,856188#0,1494425#-0,6435568#3,171356#0,05074075#-0,6513331#3,860662#0  
frame24 #0,07304032#0,8728067#3,412091#0,1369727#0,7121044#3,524585# 0,1093163#0,6320285#3,37113#-0,0369425#0,06559571#3,559706#0,1347607#0,5858856#3,40596#-0,03270469#0,145049#3,548688#0,324183#0,5122156#3,289906#-0,01999127#0,3834089#3,529045#0,2412432#0,6065577#3,442507#0,03130488#0,615369#3,514963#0,1079117#0,330505#3,544946#0,09418086#0,2554543#3,52894#0,1367127#0,2055382#3,507737#0,04174276#0,2037708#3,546487#0,1583457#-0,2502381#3,286137#0,02942486#-0,2662055#3,68532#0,1696312#-0,5641665#3,231848#0,08764052#-0,5828697#3,854602#0,1474533#-0,6446126#3,169207#0,04905006#-0,6497075#3,845132#0  
frame25 #0,06656128#0,8824489#3,403561#0,1356316#0,7149639#3,523248# 0,1114912#0,6387973#3,358063#-0,06593#0,1014588#3,519341#0,1368676#0,5926801#3,392858#-0,05503106#0,1773223#3,519341#0,3279789#0,5098618#3,286646#-0,02233424#0,4049128#3,532759#0,2379747#0,6077734#3,430595#0,03191981#0,6227595#3,51651#0,1081886#0,3309714#3,542446#0,09382442#0,255654#3,528025#0,1360492#0,2052381#3,505239#0,04168286#0,203917#3,546476#0,15836#-0,2502473#3,286189#0,02202861#-0,2632324#3,671474#0,1703934#-0,5639966#3,231354#0,07735118#-0,5566087#3,807154#0,1480503#-0,6450138#3,169824#0,04578581#-0,5996904#3,732917#0  
frame26 #0,06629246#0,8918755#3,414509#0,1324228#0,7209511#3,512487# 0,2085958#0,4157228#2,917907#-0,05423329#0,1219643#3,560807#0,2496114#0,4678184#3,107554#-0,05170402#0,2016144#3,562919#0,3188467#0,5148962#3,276692#-0,04411623#0,4405647#3,582714#0,2264909#0,609406#3,420515#0,03158174#0,6232702#3,516635#0,1068094#0,3306402#3,538488#0,09216429#0,2542275#3,526981#0,1322626#0,2032647#3,503376#0,04157886#0,2036993#3,546796#0,1584893#-0,2495391#3,289371#0,01439847#-0,2631042#3,664727#0,1704893#-0,5642342#3,231472#0,0749633#-0,5579637#3,800961#0,1488886#-0,6449108#3,16995#0,03863375#-0,601266#3,729185#0  
frame27 #0,06509364#0,8940514#3,423189#0,1311321#0,7232471#3,512442# 0,2055994#0,4202607#2,915495#-0,05543401#0,07892847#3,55881#0,244043#0,4714162#3,089295#-0,04474628#0,1570706#3,547793#0,3215645#0,5201415#3,279887#-0,01268307#0,3914969#3,528232#0,2222621#0,6141968#3,418061#0,03338192#0,622875#3,517054#0,1057837#0,3299403#3,536542#0,09144156#0,2524295#3,526817#0,1305046#0,2025797#3,503471#0,0422502#0,2031428#3,547091#0,1594698#-0,2488483#3,294992#0,004087016#-0,2620343#3,652055#0,1697694#-0,5648501#3,231239#0,06363013#-0,5608211#3,749793#0,1480063#-0,6465711#3,17062#0,03640524#-0,6235628#3,785368#0  
