frame1 #-0,02773133#0,9702008#3,362477#0,007838003#0,7763823#3,392225# 0,152232#0,4236072#2,781905#-0,234817#0,39175#3,335172#0,1502708#0,40193#2,92856#-0,2478967#0,4748505#3,348441#0,195203#0,5134787#3,163048#-0,2871355#0,724152#3,401555#0,1259146#0,6396316#3,311419#-0,1006829#0,7070542#3,403097#-0,00429718#0,4113302#3,386828#-0,02577699#0,3490103#3,334047#0,02070553#0,2766042#3,300844#-0,08126333#0,3069443#3,348103#0,0732866#-0,2632203#3,173755#-0,09152551#-0,2759823#3,463829#0,05500111#-0,5875421#3,034391#-0,03910823#-0,5800561#3,558541#0,0289895#-0,6268252#2,962235#-0,07053933#-0,6397868#3,586999#0  
frame12 #-0,0467202#0,9667274#3,368133#-0,005097559#0,7772971#3,383549# 0,1108247#0,4341809#2,771178#-0,2620707#0,5066788#3,273211#0,1314484#0,4316812#2,921427#-0,2196085#0,519991#3,350625#0,2070891#0,5236491#3,156028#-0,288306#0,7518998#3,43428#0,09899116#0,6362225#3,285128#-0,1083335#0,7096326#3,441803#0,001050696#0,3717773#3,389963#-0,03280108#0,2967149#3,345361#0,007733634#0,2453776#3,322697#-0,0772678#0,2404465#3,364868#0,08434748#-0,2650573#3,172908#-0,1025011#-0,2864487#3,431294#0,06539599#-0,5870571#3,037461#-0,0536598#-0,6068378#3,493891#0,03660267#-0,6585796#2,97335#-0,09844928#-0,6585706#3,52398#0  
frame13 #-0,06523962#0,9527831#3,38735#-0,0172883#0,7700053#3,409584# 0,07035056#0,4568568#2,728561#-0,259658#0,4409973#3,305385#0,119027#0,4410505#2,922366#-0,266265#0,5183915#3,337194#0,1543948#0,5044271#3,135073#-0,2860861#0,7505739#3,446945#0,08121519#0,6336554#3,303755#-0,1073375#0,7025803#3,455412#-0,004511498#0,3419777#3,422576#-0,0377121#0,2609198#3,381053#0,001564711#0,2215223#3,351229#-0,07901212#0,2106097#3,393941#0,0841001#-0,2694786#3,177022#-0,1039297#-0,2894439#3,429974#0,06573701#-0,5865537#3,038607#-0,05271001#-0,6076186#3,49301#0,03729893#-0,6573361#2,973837#-0,09373636#-0,6680309#3,481264#0  
frame14 #-0,06799693#0,9550685#3,400067#-0,01912948#0,7722093#3,420724# 0,06780931#0,4656507#2,726605#-0,3007859#0,5376046#3,373414#0,08733048#0,4798958#2,903544#-0,2669708#0,5381724#3,430054#0,1144711#0,5601668#3,126914#-0,2792487#0,7867467#3,482814#0,07514319#0,6389561#3,319161#-0,1113059#0,7081857#3,494782#-0,001717057#0,342513#3,425035#-0,03780641#0,2618211#3,385237#0,0006920743#0,2238749#3,362781#-0,07899666#0,2100115#3,396876#0,08259449#-0,2691206#3,183718#-0,1046562#-0,2916044#3,432995#0,07241933#-0,5859025#3,050262#-0,05364493#-0,6079307#3,491494#0,04593555#-0,64969#2,978074#-0,09294469#-0,669834#3,482748#0  
frame15 #-0,07901992#0,9640223#3,425048#-0,02203923#0,780637#3,439076# 0,03782115#0,4925834#2,763716#-0,2744646#0,4679702#3,521577#0,09419956#0,4586217#2,954437#-0,2740698#0,5498718#3,530444#0,1232325#0,5491757#3,134221#-0,2728851#0,7955767#3,571291#0,08190274#0,6950626#3,35735#-0,1145413#0,7170861#3,553047#-0,01149086#0,3617774#3,465631#-0,04868699#0,281006#3,432589#-0,00922152#0,243952#3,420089#-0,0922645#0,2254014#3,437929#0,06785643#-0,2711863#3,194563#-0,1031838#-0,2902335#3,45354#0,07808591#-0,5752605#3,083923#-0,06067985#-0,5877282#3,474046#0,07170318#-0,6368187#3,005838#-0,109312#-0,629952#3,43833#0  
frame16 #-0,079491#0,9623057#3,434666#-0,02508209#0,7821407#3,452499# 0,03556606#0,4930543#2,764645#-0,3123041#0,4731199#3,531957#0,08971697#0,4665358#2,953269#-0,3021901#0,5532936#3,539297#0,1246103#0,5522144#3,137466#-0,2718479#0,7938147#3,575418#0,08191267#0,6955548#3,357199#-0,1158864#0,7165051#3,557578#-0,01127332#0,3617943#3,46822#-0,04848032#0,2816495#3,435009#-0,0080091#0,2442739#3,423693#-0,09276477#0,2265019#3,439954#0,0588783#-0,2846237#3,212114#-0,1039861#-0,2898393#3,458982#0,1000372#-0,5777873#3,132375#-0,06105404#-0,5854627#3,476113#0,08987111#-0,6457732#3,060562#-0,1042121#-0,6370801#3,446584#0  
frame17 #-0,07933957#0,9705851#3,450409#-0,02532794#0,7983876#3,483452# 0,04411098#0,5054359#2,822196#-0,3846095#0,6132653#3,439286#0,06478611#0,4949367#2,901916#-0,3542818#0,6028034#3,495415#0,1137115#0,5821786#3,134866#-0,2837515#0,7808974#3,555687#0,07079197#0,6979449#3,368947#-0,1144245#0,7269785#3,573743#-0,0187612#0,3703009#3,499225#-0,05897778#0,2896541#3,468146#-0,02403436#0,2541282#3,456544#-0,100533#0,2405687#3,478555#0,03373121#-0,2693556#3,300472#-0,1111533#-0,2712587#3,473737#0,1240075#-0,5791656#3,357255#-0,04931289#-0,5817891#3,477164#0,1285813#-0,6436212#3,31365#-0,08695316#-0,6437207#3,478544#0  
frame18 #-0,08132216#0,9769996#3,456703#-0,02729196#0,8010427#3,486142# -0,005416829#0,5225849#2,703823#-0,3862953#0,5751361#3,536945#0,04743705#0,5423709#2,902147#-0,3586788#0,6283017#3,541623#0,106818#0,6017755#3,138123#-0,2758295#0,7877985#3,569468#0,06718186#0,7064074#3,374741#-0,1129005#0,7267212#3,57328#-0,03115709#0,4106811#3,518912#-0,07293674#0,3378584#3,490035#-0,04317874#0,2837564#3,452069#-0,1089521#0,2743752#3,524484#0,03409652#-0,1605332#3,321368#-0,1120247#-0,2674496#3,480052#0,09883016#-0,5226678#3,40992#-0,04504734#-0,5780936#3,490093#0,04219369#-0,5607746#3,360735#-0,08167779#-0,6392104#3,483966#0  
frame19 #-0,08096541#0,9837322#3,465774#-0,02722965#0,8070711#3,494205# 0,05044265#0,5115954#2,828905#-0,3907396#0,5731584#3,53161#0,02241716#0,4645915#3,045549#-0,3584356#0,6272937#3,547723#0,06340772#0,5310773#3,280819#-0,2615234#0,7896996#3,60996#0,05953824#0,6990091#3,389293#-0,1110795#0,725979#3,57884#-0,03036765#0,4091625#3,526393#-0,07214737#0,3342853#3,49881#-0,04432891#0,2837331#3,458304#-0,1072775#0,2677496#3,53785#0,04341449#-0,2449439#3,416583#-0,1050299#-0,2619905#3,494769#0,05982004#-0,5767686#3,543772#-0,04695576#-0,5773733#3,492094#0,00357572#-0,6146352#3,495074#-0,08751144#-0,6340877#3,478917#0  
frame20 #-0,08120096#0,9835634#3,465502#-0,02777031#0,8110471#3,503411# 0,04945592#0,5082248#2,821062#-0,4177244#0,7730041#3,798113#0,02238473#0,4642903#3,050897#-0,372897#0,767491#3,762576#0,06293471#0,5302712#3,284749#-0,2384147#0,7509517#3,669788#0,05803334#0,6991001#3,393125#-0,1102415#0,7282075#3,583879#-0,02786693#0,4062423#3,532704#-0,06946005#0,3298045#3,505149#-0,04243925#0,2845326#3,470095#-0,104909#0,265786#3,539231#0,06307937#-0,1567503#3,441653#-0,09789487#-0,2587983#3,507315#0,07721053#-0,508334#3,579943#-0,04868244#-0,5752156#3,493862#0,02023681#-0,5463846#3,531576#-0,08640763#-0,6325311#3,474543#0  
frame21 #-0,07993636#0,9776298#3,467493#-0,02664023#0,809442#3,505466# 0,0384328#0,4801323#2,765307#-0,2429964#0,8744445#3,82613#0,0622692#0,5505465#3,048633#-0,2539298#0,842603#3,779141#0,05313662#0,5311855#3,296169#-0,2867301#0,7470787#3,652066#0,05111317#0,690513#3,41021#-0,1190843#0,7442977#3,635067#-0,01688144#0,4051875#3,538313#-0,05871242#0,3278272#3,514536#-0,02948359#0,2862452#3,479738#-0,09364626#0,260851#3,549668#0,06329964#-0,239976#3,504396#-0,09253895#-0,2554403#3,52512#0,07089026#-0,581006#3,64729#-0,05096166#-0,559542#3,508078#0,01025721#-0,6194739#3,603106#-0,07639888#-0,6210322#3,479696#0  
