frame1 #-0,03839641#0,9564079#3,411149#-0,03463282#0,7568548#3,428887# -0,003532894#0,4185001#3,19555#-0,2737589#0,5488364#3,272896#0,04193941#0,417679#3,26939#-0,2069088#0,5457164#3,272799#0,1981655#0,586073#3,258367#-0,006358579#0,5363566#3,286243#0,07849064#0,6676032#3,375834#-0,1892674#0,6368288#3,412332#-0,02332525#0,3805704#3,442175#-0,03006765#0,3125578#3,388245#0,03080113#0,2588284#3,373279#-0,08968998#0,2449799#3,388364#0,06110343#-0,2643527#3,173859#-0,09322888#-0,2716115#3,564204#0,07632553#-0,5903797#3,078312#-0,03908231#-0,5389088#3,700311#0,06473598#-0,6667208#3,016247#-0,02177308#-0,5584748#3,595103#0  
frame2 #-0,04028512#0,9564435#3,397796#-0,03076497#0,7581113#3,423984# 0,1287186#0,3187209#3,355661#-0,2743467#0,5470995#3,272016#0,1438279#0,3860017#3,328993#-0,2066018#0,5439473#3,271165#0,1891556#0,587844#3,262757#-0,003367171#0,5344906#3,282381#0,08448396#0,6887029#3,385225#-0,1895179#0,6360097#3,411342#-0,02485717#0,3814231#3,441396#-0,03024359#0,312926#3,387643#0,03065395#0,2601645#3,372053#-0,09087061#0,2429447#3,387826#0,06073667#-0,2645185#3,173094#-0,09301791#-0,2714453#3,564441#0,07504456#-0,5950394#3,074829#-0,03890508#-0,5431717#3,706823#0,0653464#-0,6667613#3,017029#-0,0216808#-0,5623645#3,600514#0  
frame3 #-0,04338729#0,9567149#3,393193#-0,03031192#0,758326#3,422348# 0,2853447#0,6103718#3,454922#-0,2742274#0,5470449#3,269907#0,2606247#0,6047846#3,402045#-0,2057771#0,5433851#3,268509#0,1864647#0,5880231#3,257174#-0,0004261732#0,532406#3,278079#0,08125271#0,6907082#3,380789#-0,1889028#0,6342951#3,408724#-0,02439447#0,3816946#3,439223#-0,03047868#0,3132365#3,385621#0,02960079#0,2624545#3,36833#-0,09086115#0,2422486#3,386857#0,06376661#-0,269019#3,169421#-0,09260477#-0,2716107#3,564462#0,07503343#-0,5950005#3,074872#-0,03880873#-0,545382#3,708983#0,06554904#-0,6664384#3,017513#-0,02154223#-0,5643814#3,603392#0  
frame4 #-0,04736519#0,9634231#3,385885#-0,02408837#0,7635568#3,412861# 0,140875#0,7724886#3,316912#-0,2650522#0,5754991#3,262468#0,1503423#0,7187766#3,290079#-0,2071735#0,5461375#3,268379#0,1787442#0,5576408#3,223314#-0,03353739#0,4580529#3,299847#0,07711972#0,6767296#3,343773#-0,1872389#0,6353052#3,403116#-0,01827825#0,385755#3,430931#-0,03077047#0,3167454#3,379077#0,02785887#0,2659308#3,359623#-0,09112388#0,245752#3,383337#0,0646149#-0,2717216#3,165001#-0,09175497#-0,270905#3,562538#0,07518784#-0,5945863#3,074808#-0,03898566#-0,5454555#3,709155#0,06572789#-0,6665326#3,018109#-0,02183248#-0,5650016#3,603414#0  
frame5 #-0,0475487#0,9670098#3,375684#-0,02282882#0,7659686#3,39904# 0,2440274#0,7970514#3,295707#-0,08173738#0,4899064#2,977952#0,2327945#0,7389483#3,27258#-0,02933676#0,5196759#3,042339#0,1990956#0,564639#3,216873#0,05340742#0,6105866#3,282721#0,07803386#0,6773943#3,338398#-0,186598#0,6394489#3,399407#-0,01782052#0,3934391#3,419768#-0,03071352#0,3249639#3,369264#0,02779893#0,2720197#3,347905#-0,09133911#0,2537093#3,377827#0,06476052#-0,2716852#3,16446#-0,09089411#-0,2668923#3,553431#0,0756401#-0,5945082#3,075089#-0,03882491#-0,5459821#3,708929#0,06612536#-0,6663207#3,018466#-0,02166547#-0,5659139#3,601872#0  
frame6 #-0,04860211#0,9676753#3,376598#-0,01936782#0,7720748#3,388303# 0,1556855#0,7854131#3,319976#-0,09084793#0,4986012#3,001298#0,169075#0,7291034#3,289697#-0,103503#0,489158#3,092601#0,2092433#0,5601743#3,212605#0,06030579#0,6151087#3,272461#0,07708118#0,6791989#3,321847#-0,1862703#0,6410766#3,39334#-0,01421942#0,3925254#3,411648#-0,02881326#0,3221696#3,363037#0,02950368#0,2686825#3,340419#-0,089708#0,2518136#3,374144#0,06648596#-0,2734346#3,164793#-0,09105414#-0,2644207#3,54509#0,07591008#-0,594388#3,0749#-0,03798591#-0,5462591#3,707511#0,06655599#-0,6659644#3,018755#-0,02057789#-0,5669298#3,597306#0  
frame7 #-0,05543208#0,9727494#3,368032#-0,01638601#0,7811008#3,379123# 0,1719268#0,7949867#3,303556#-0,1709918#0,4490304#2,853067#0,1786146#0,7395236#3,266149#-0,1084722#0,4926624#3,092137#0,198678#0,5731344#3,16776#0,06881388#0,6213088#3,26871#0,07523686#0,6814126#3,312041#-0,185832#0,6418877#3,391762#-0,01070812#0,3917004#3,402691#-0,02645983#0,3190964#3,355604#0,03085427#0,2669266#3,335532#-0,08637615#0,2491772#3,365431#0,06871753#-0,2705745#3,16628#-0,09151235#-0,2607187#3,535784#0,07658331#-0,5944453#3,076035#-0,03495242#-0,5484689#3,704941#0,06645516#-0,6661468#3,019136#-0,0171364#-0,5708667#3,592131#0  
frame8 #-0,05727894#0,976109#3,364184#-0,0172644#0,7833213#3,376828# 0,07737667#0,7820756#3,293323#-0,1695053#0,4683194#2,883602#0,1074626#0,7296145#3,258365#-0,1902074#0,4255137#2,962111#0,1977204#0,5722313#3,167434#-0,2366761#0,4620408#3,170702#0,07145399#0,6867582#3,305805#-0,1854968#0,6460516#3,39623#-0,010077#0,3889132#3,399637#-0,02765778#0,3138927#3,35435#0,02898709#0,2622264#3,333846#-0,08680031#0,2451223#3,365485#0,07280882#-0,2683568#3,170515#-0,09276326#-0,2600883#3,527832#0,07897577#-0,5947171#3,077913#-0,02730227#-0,5857062#3,697958#0,06729768#-0,6651754#3,021206#-0,01041661#-0,6019641#3,583499#0  
frame9 #-0,05902161#0,974559#3,357562#-0,017746#0,7867377#3,373446# 0,04467423#0,7861443#3,223092#-0,1707374#0,4866877#2,899032#0,08201727#0,7321873#3,20329#-0,1882267#0,4411994#2,981996#0,1940464#0,5703161#3,157847#-0,2374144#0,4740378#3,192894#0,07125059#0,6911976#3,297461#-0,1809171#0,6577042#3,42147#-0,00540451#0,3923101#3,394168#-0,02726707#0,317063#3,352519#0,02903785#0,2656343#3,331301#-0,08588986#0,2486614#3,364474#0,07842839#-0,2653338#3,17597#-0,09262796#-0,2604282#3,526063#0,08174114#-0,5934935#3,080523#-0,03346233#-0,57261#3,661833#0,06889383#-0,6635614#3,024382#-0,07698192#-0,6394618#3,68514#0  
frame10 #-0,06071891#0,9754462#3,357387#-0,01788821#0,7880325#3,372458# 0,05601697#0,8660602#3,315363#-0,1777369#0,5135192#2,95525#0,08518167#0,7934684#3,263865#-0,1947587#0,4940076#3,00169#0,1726757#0,575693#3,123352#-0,2521962#0,4669666#3,213412#0,06773227#0,6951761#3,296779#-0,1790731#0,6598216#3,43167#-0,003420571#0,3933599#3,391496#-0,02630591#0,3179408#3,351838#0,02981414#0,2682707#3,32798#-0,08369464#0,2494795#3,365341#0,08062401#-0,2645246#3,178165#-0,0919608#-0,2643382#3,520009#0,08300598#-0,5943433#3,080734#-0,026234#-0,5826944#3,653374#0,06947766#-0,6628197#3,025026#-0,07519436#-0,6419078#3,676211#0  
frame11 #-0,06248416#0,9772156#3,359374#-0,01819412#0,7890071#3,372942# 0,05313771#0,8714296#3,316138#-0,1810373#0,534373#2,983686#0,08249397#0,798361#3,264301#-0,1995891#0,508614#3,02655#0,1705627#0,5791552#3,122827#-0,2490443#0,4804779#3,245797#0,06189764#0,6963601#3,293947#-0,1745233#0,6842889#3,455801#-0,0009362251#0,3933953#3,389774#-0,02684848#0,3173729#3,35384#0,02721234#0,2676788#3,329438#-0,08220193#0,2502375#3,371443#0,0833154#-0,2650153#3,182403#-0,09376355#-0,2645316#3,507855#0,08316769#-0,5946217#3,081079#-0,01893052#-0,5816364#3,624582#0,06942799#-0,662943#3,025247#-0,05289797#-0,6392418#3,579635#0  
