frame12 #0,1613379#0,7527129#3,283962#0,07479575#0,5877485#3,246964# 0,7235681#0,3998221#3,188589#0,2215434#0,1232305#3,084027#0,6368715#0,3582805#3,195013#0,1599588#0,1571871#3,062417#0,4387518#0,3368101#3,267468#-0,0247952#0,259057#3,011943#0,2485063#0,441763#3,334451#-0,02016352#0,4554295#3,104821#0,02768877#0,2063298#3,252862#0,04562592#0,1307456#3,225869#0,1021533#0,04813219#3,260247#-0,01866023#0,06518589#3,18017#0,2703772#-0,2533027#3,214811#-0,2639346#-0,2503681#3,17218#0,2791215#-0,5884785#3,223351#-0,5933771#-0,5598849#3,206553#0,3372163#-0,6343977#3,159188#-0,5352823#-0,6058041#3,14239#1  
frame13 #0,1601813#0,7518473#3,284607#0,07497797#0,5859853#3,248836# 0,6971331#0,3832496#3,204384#0,2067187#0,11022#3,068299#0,6228336#0,3579368#3,203298#0,1474399#0,1498634#3,049617#0,4111536#0,3382187#3,2786#-0,03039666#0,2687933#3,007929#0,2487134#0,4413931#3,335712#-0,02026213#0,4553018#3,104822#0,02762676#0,2057168#3,253413#0,04573016#0,1303859#3,226132#0,1019253#0,04725539#3,260541#-0,01854393#0,06519626#3,180253#0,2668813#-0,2529267#3,215326#-0,2787224#-0,2675545#3,176344#0,2732944#-0,5875189#3,224863#-0,6066765#-0,5773953#3,211775#0,3316244#-0,6334081#3,160747#-0,6807376#-0,6483006#3,164779#1  
frame14 #0,1604369#0,7496502#3,283733#0,07457539#0,5852668#3,248661# 0,6893665#0,3831453#3,1965#0,1634237#0,1219097#3,057489#0,6155195#0,3578068#3,20621#0,1116099#0,1702116#3,03918#0,4052575#0,3397046#3,280893#-0,04383151#0,3151174#2,99861#0,2493339#0,4411877#3,337513#-0,02148687#0,4552654#3,105402#0,02746043#0,2055644#3,253697#0,04567037#0,1302911#3,226299#0,1018052#0,04679475#3,26072#-0,01868373#0,06533156#3,180626#0,2647459#-0,2523826#3,215827#-0,2816099#-0,2705448#3,176753#0,2747602#-0,5865852#3,223959#-0,6103942#-0,5785401#3,212465#0,3330602#-0,6324922#3,159776#-0,682024#-0,6495486#3,161897#1  
frame15 #0,16014#0,7497084#3,283256#0,07409519#0,5863752#3,249862# 0,6860006#0,3785989#3,195558#0,1859434#0,1085369#3,06582#0,6058799#0,3600518#3,215572#0,1335218#0,1469398#3,047825#0,4054393#0,339653#3,280832#-0,02374298#0,2621484#3,00819#0,2488597#0,4411196#3,338288#-0,02469238#0,4574378#3,107078#0,02743725#0,2056879#3,254304#0,04566403#0,1304458#3,22644#0,1018926#0,04667657#3,261055#-0,01879176#0,06550406#3,180514#0,2649441#-0,2526699#3,215697#-0,2797801#-0,2674519#3,176935#0,272774#-0,5867712#3,222301#-0,608297#-0,5750982#3,212621#0,3307412#-0,6326734#3,15762#-0,6798591#-0,647252#3,163268#1  
frame16 #0,1438337#0,7716776#3,273451#0,07370012#0,5876945#3,250436# 0,6888946#0,3797012#3,195545#0,1763896#0,1125606#3,064128#0,6123906#0,3611123#3,213997#0,1262154#0,1499569#3,046482#0,4054907#0,3396824#3,280656#-0,02430728#0,2621457#3,00789#0,247794#0,4417877#3,33846#-0,02731451#0,4582624#3,107548#0,02556156#0,2060742#3,254215#0,04333022#0,1306704#3,225624#0,09864151#0,04650912#3,258771#-0,02239589#0,06719021#3,179966#0,2650623#-0,2527672#3,215721#-0,2826552#-0,2709294#3,177941#0,2815396#-0,5862387#3,223496#-0,6121448#-0,5774368#3,212252#0,3391193#-0,6320319#3,158792#-0,6822525#-0,6493894#3,161236#1  
frame17 #0,1439674#0,7592403#3,274007#0,07177418#0,5884584#3,253138# 0,6865518#0,3943955#3,178947#0,1270618#0,1269369#3,056192#0,6140831#0,3673645#3,202744#0,08669069#0,1626922#3,04025#0,4040852#0,3410802#3,281163#-0,03442247#0,2699584#3,006756#0,244704#0,4428564#3,340541#-0,03131511#0,4603493#3,108248#0,02473293#0,2064745#3,255121#0,04310219#0,131283#3,225899#0,09877818#0,04693795#3,258878#-0,02276269#0,06797134#3,180054#0,263988#-0,2527486#3,21555#-0,2829942#-0,2715254#3,178035#0,2841347#-0,585753#3,224869#-0,6121865#-0,5781477#3,212414#0,3416952#-0,6312098#3,160435#-0,6831318#-0,649878#3,163152#1  
frame18 #0,1428802#0,7605166#3,273856#0,06875061#0,5913959#3,254698# 0,6807948#0,3968078#3,179851#0,1564669#0,1149277#3,066172#0,6077768#0,3682835#3,203301#0,1075116#0,1542788#3,048246#0,3970283#0,3450387#3,281326#-0,03935438#0,2723323#3,0088#0,2411285#0,4478249#3,343051#-0,0348857#0,4619019#3,109184#0,02289796#0,2082788#3,255955#0,04211544#0,133119#3,226103#0,09777978#0,04946253#3,258326#-0,02326772#0,06959167#3,180538#0,2630044#-0,2526071#3,216049#-0,229264#-0,2346184#3,169419#0,2800158#-0,5873349#3,222983#-0,565657#-0,5358224#3,204412#0,3378391#-0,6326497#3,158705#-0,5078337#-0,5811372#3,140134#1  
frame19 #0,1399721#0,7615791#3,27033#0,06844516#0,5915751#3,254445# 0,6779245#0,397965#3,180696#0,0657656#0,06613889#2,942508#0,6069517#0,3706713#3,205445#0,03036548#0,1287345#2,977482#0,3951487#0,3475867#3,28068#-0,04423053#0,2735753#3,008707#0,2384706#0,4493719#3,344013#-0,03754696#0,4625071#3,109268#0,02197541#0,2092666#3,256583#0,04160994#0,1342727#3,226436#0,09725519#0,05055112#3,258556#-0,02352611#0,07079507#3,181015#0,262969#-0,2530147#3,215515#-0,27985#-0,2592604#3,17667#0,2840205#-0,5874188#3,223243#-0,6064812#-0,5710185#3,211587#0,3418683#-0,6327125#3,159157#-0,6777266#-0,6452286#3,167008#1  
frame20 #0,1262031#0,7687482#3,259627#0,06533965#0,5937892#3,254865# 0,6741141#0,398026#3,180979#0,05519243#0,08234368#2,933275#0,6050612#0,3739111#3,208531#0,01238868#0,1472008#2,924891#0,3921697#0,3502643#3,280029#-0,0501771#0,2798685#3,012159#0,234826#0,4522758#3,344419#-0,04085694#0,4651842#3,111142#0,01951445#0,2105633#3,256982#0,03969423#0,1355172#3,226217#0,09596948#0,05147178#3,258491#-0,02556795#0,0721844#3,180386#0,260198#-0,2518038#3,215976#-0,2881415#-0,2722064#3,180673#0,2704938#-0,5864991#3,221535#-0,6174807#-0,5806181#3,213681#0,3101932#-0,6593423#3,22279#-0,6861158#-0,6538311#3,163388#1  
frame21 #0,1153173#0,7872045#3,260514#0,06332511#0,5969869#3,253809# 0,6801729#0,3972352#3,178828#0,05439929#0,09053766#2,934557#0,5921172#0,3774575#3,206381#0,01251735#0,1544435#2,92508#0,3938511#0,3511038#3,278445#-0,05513205#0,2829624#3,015346#0,2337606#0,4527487#3,34433#-0,04229808#0,4658366#3,111754#0,01735167#0,2125004#3,257661#0,03768788#0,1371638#3,226806#0,09411531#0,05273192#3,259892#-0,02759036#0,07354878#3,180544#0,2602681#-0,2517537#3,215945#-0,2916557#-0,2754853#3,182418#0,2713105#-0,5858987#3,221764#-0,6210751#-0,5824694#3,215316#0,3125896#-0,6580475#3,221724#-0,6888967#-0,6568894#3,165224#1  
frame22 #0,1172635#0,7782351#3,260132#0,06117941#0,5959141#3,254014# 0,6747768#0,3989034#3,181073#0,05773107#0,09195166#2,932629#0,604319#0,3875693#3,206038#0,01614084#0,1546753#2,925417#0,3922981#0,3550425#3,277091#-0,05672634#0,280989#3,014668#0,2325665#0,4534001#3,343061#-0,0450846#0,4655343#3,110327#0,01534774#0,2141644#3,258477#0,03562888#0,1396377#3,227512#0,09259206#0,05467943#3,260538#-0,02972391#0,07578857#3,1812#0,2585611#-0,2505809#3,216784#-0,2942927#-0,2770302#3,183704#0,2763543#-0,583297#3,228534#-0,6172047#-0,5830514#3,216484#0,3339795#-0,6288221#3,163733#-0,687482#-0,6551033#3,165932#1  
frame23 #0,1201958#0,769467#3,264997#0,05991332#0,5947974#3,254577# 0,6735453#0,4011008#3,18063#0,1045404#0,1307756#3,033297#0,6042836#0,3878281#3,205912#0,06478758#0,1674682#3,02519#0,3917678#0,3564253#3,276165#-0,05447085#0,2775463#3,015021#0,2316634#0,4532427#3,342629#-0,04665038#0,4648213#3,109761#0,01459707#0,2142493#3,259418#0,03507059#0,1399025#3,228347#0,09206071#0,05487117#3,262387#-0,03018618#0,07568257#3,181477#0,2576418#-0,2497485#3,217026#-0,2931395#-0,2732977#3,18388#0,2775896#-0,582238#3,22731#-0,6184052#-0,5835444#3,216799#0,3351776#-0,6277592#3,162432#-0,6882107#-0,6555765#3,1655#1  
frame24 #0,1155282#0,7722582#3,260795#0,05858412#0,5951248#3,254232# 0,6701283#0,4074365#3,181497#0,07766788#0,1507322#3,017606#0,5766617#0,3762964#3,205534#0,03987607#0,1914069#3,014643#0,3870332#0,3591552#3,277218#-0,07349936#0,3134313#3,01991#0,2282589#0,4550415#3,340056#-0,04807973#0,465176#3,110256#0,01374118#0,2145528#3,259979#0,03429092#0,1401534#3,22888#0,09128052#0,05545294#3,263048#-0,03092841#0,07590038#3,182192#0,2585071#-0,2492304#3,217512#-0,2870916#-0,2544195#3,182426#0,2791008#-0,5820265#3,225631#-0,6064156#-0,5710625#3,21492#0,3364514#-0,6275529#3,160597#-0,6799958#-0,6467381#3,175632#1  
