frame1 #-0,1327768#0,8480026#3,237779#-0,1587793#0,6376958#3,270045# 0,5098003#0,4169969#3,066959#-0,09092368#0,2357903#2,949518#0,4214005#0,384291#3,088155#-0,1835718#0,2589685#2,964097#0,2066075#0,3710024#3,169806#-0,3195016#0,3580096#3,053763#0,01644931#0,5042232#3,274693#-0,3054303#0,5211309#3,176776#-0,1930429#0,2492401#3,284091#-0,1808191#0,1781021#3,228886#-0,1120336#0,09844824#3,244008#-0,2568794#0,1060567#3,195368#0,08203403#-0,2474238#3,180344#-0,48703#-0,280177#3,238165#0,130625#-0,5745913#3,170082#-0,1146883#-0,4668379#3,185935#0,2252903#-0,6659399#3,173298#-0,07782455#-0,5276036#3,073827#0  
frame2 #-0,1326372#0,8466554#3,238641#-0,1587214#0,6368709#3,269005# 0,4623307#0,3988859#3,072793#-0,01445866#0,2361241#2,955865#0,3747692#0,3766901#3,106933#-0,1098992#0,2467002#2,966087#0,2004175#0,3767602#3,174958#-0,3186226#0,3564873#3,053133#0,01643897#0,5042754#3,274824#-0,3064908#0,5202159#3,177226#-0,1930052#0,2492381#3,28424#-0,1808943#0,178026#3,229052#-0,1120633#0,09838878#3,244219#-0,2572703#0,1055287#3,195647#0,08204746#-0,2475191#3,180384#-0,4870828#-0,2803327#3,238149#0,1342088#-0,5754135#3,170943#-0,74787#-0,6120286#3,225217#0,2152724#-0,662645#3,167064#-0,8336172#-0,6638902#3,183146#0  
frame3 #-0,1323674#0,8469015#3,238166#-0,1581377#0,6368318#3,266908# 0,4576583#0,3977183#3,075503#-0,01108059#0,2360036#2,95571#0,3693511#0,3762146#3,108125#-0,1068244#0,2436962#2,965648#0,1968842#0,3795087#3,178937#-0,3152332#0,3522373#3,05123#0,01634642#0,5049714#3,275216#-0,3068204#0,5185223#3,1763#-0,1926868#0,2500575#3,283589#-0,1803987#0,1788682#3,228754#-0,1112852#0,1000818#3,244394#-0,2569731#0,105743#3,195394#0,08177583#-0,2474432#3,180043#-0,4803056#-0,2766098#3,236581#0,136371#-0,5756675#3,171179#-0,7436715#-0,6049506#3,225317#0,2120966#-0,6603051#3,164638#-0,8280972#-0,6584519#3,186644#0  
frame4 #-0,1322354#0,8470767#3,237508#-0,1582356#0,6368312#3,266796# 0,4549896#0,3972397#3,07522#-0,01255817#0,2385181#2,95428#0,3666786#0,3761235#3,108056#-0,1081153#0,2449125#2,966565#0,1951963#0,3802516#3,179401#-0,3158983#0,3531858#3,050888#0,01622884#0,5051706#3,274954#-0,3067957#0,5183781#3,176193#-0,1920561#0,250388#3,283387#-0,1795049#0,1793839#3,228714#-0,1100728#0,1009732#3,244194#-0,2554788#0,1063177#3,19564#0,08179998#-0,247524#3,17979#-0,4811378#-0,2771684#3,236416#0,1363553#-0,5756248#3,170996#-0,7431054#-0,6048854#3,225036#0,212318#-0,6603631#3,163788#-0,8288691#-0,6594377#3,187659#0  
frame5 #-0,1299842#0,8458275#3,237408#-0,1582235#0,6365306#3,266295# 0,493928#0,410217#3,06134#-0,006484017#0,2370382#2,952782#0,4221258#0,3795516#3,096462#-0,1086377#0,2448755#2,966187#0,1958773#0,3776907#3,176844#-0,3158826#0,3531098#3,050921#0,01624143#0,5052245#3,275177#-0,3072787#0,5177062#3,175789#-0,192128#0,2500726#3,283253#-0,1796265#0,1788859#3,228864#-0,1101592#0,1005001#3,244357#-0,2558548#0,1052783#3,196023#0,08176326#-0,2474478#3,179952#-0,4820095#-0,2782302#3,236955#0,1361979#-0,5755436#3,171755#-0,7436598#-0,6035684#3,224869#0,2108689#-0,6599444#3,164276#-0,8248222#-0,6564236#3,193226#0  
frame6 #-0,1300264#0,8457991#3,236961#-0,1581179#0,6365923#3,266094# 0,4956855#0,4097745#3,062186#-0,00278005#0,2385231#2,950036#0,4217757#0,3796677#3,096404#-0,1082555#0,2438899#2,96631#0,1948698#0,3773089#3,17706#-0,3149219#0,352802#3,050703#0,01630056#0,5052145#3,274954#-0,3073805#0,5178063#3,175776#-0,1914701#0,2504531#3,282841#-0,1789697#0,1793585#3,22862#-0,1094089#0,1007009#3,244261#-0,2552401#0,1057026#3,195637#0,08212081#-0,2476595#3,179295#-0,4801489#-0,2773772#3,236986#0,1364067#-0,5758663#3,171622#-0,7437557#-0,603914#3,22499#0,2109948#-0,6601925#3,164627#-0,824673#-0,6568037#3,192857#0  
frame7 #-0,1300989#0,8457632#3,236696#-0,1580737#0,6366265#3,266098# 0,5000069#0,4097761#3,061878#0,0699293#0,2135054#2,930556#0,4217643#0,3798134#3,096327#-0,1018928#0,2555799#2,968302#0,1967267#0,3758354#3,176231#-0,3155483#0,3523912#3,049356#0,01629849#0,5052912#3,274944#-0,3069881#0,5168192#3,17459#-0,1917611#0,250289#3,282605#-0,179261#0,1790359#3,228543#-0,1098332#0,1005203#3,244255#-0,2556171#0,1051844#3,195461#0,08217015#-0,2476002#3,179302#-0,4806015#-0,2775758#3,236792#0,1368925#-0,576141#3,172117#-0,7445507#-0,6045768#3,224565#0,2115395#-0,6608232#3,165274#-0,8263237#-0,6597536#3,191815#0  
frame8 #-0,1336877#0,8429047#3,232049#-0,1580971#0,6360254#3,264705# 0,4983157#0,4090987#3,061494#-0,06221368#0,2432285#2,953517#0,4231145#0,3825379#3,095405#-0,1644694#0,2643988#2,966105#0,198365#0,3744684#3,175118#-0,3159265#0,351155#3,047838#0,01661192#0,5054697#3,274028#-0,3072799#0,5168676#3,17446#-0,1919275#0,2505761#3,281856#-0,1797354#0,1793444#3,228014#-0,110177#0,1006198#3,243897#-0,2564623#0,1053615#3,194855#0,08221759#-0,2476318#3,179159#-0,4757646#-0,2744483#3,235751#0,1375352#-0,5771483#3,171482#-0,743387#-0,5997331#3,222631#0,2113625#-0,6605808#3,164646#-0,7119407#-0,6516469#3,127254#0  
frame9 #-0,1351659#0,8440859#3,229343#-0,1582143#0,6368111#3,264056# 0,4995506#0,4145956#3,058845#-0,003475845#0,2547113#2,957231#0,4202001#0,3885958#3,091499#-0,1077157#0,2494712#2,95716#0,1921512#0,3769892#3,176609#-0,3164175#0,3511294#3,046523#0,01646522#0,5056332#3,272841#-0,3075699#0,5171736#3,174361#-0,1917716#0,2511328#3,281256#-0,1798059#0,1798106#3,227632#-0,1102288#0,1010741#3,24327#-0,2565559#0,1059137#3,194725#0,08224044#-0,2475649#3,178789#-0,474879#-0,2735761#3,235526#0,1386134#-0,578027#3,17128#-0,743404#-0,5994176#3,222744#0,2119037#-0,6608371#3,164538#-0,7124096#-0,6511202#3,127688#0  
frame10 #-0,141906#0,8416047#3,221852#-0,1601489#0,6369518#3,260443# 0,4816605#0,4433808#3,047075#0,005528197#0,2956109#2,936983#0,4094878#0,4323806#3,070455#-0,09748369#0,2891986#2,96045#0,1890782#0,3757146#3,172441#-0,3237051#0,3504663#3,042151#0,01356535#0,5056107#3,26627#-0,3098359#0,515708#3,172302#-0,191609#0,252016#3,280224#-0,1803183#0,1804531#3,227161#-0,1105231#0,1014205#3,242829#-0,2571915#0,1070044#3,194809#0,0807272#-0,2468129#3,178981#-0,4807471#-0,2764855#3,235441#0,1372628#-0,5768912#3,170377#-0,7440714#-0,6004379#3,222747#0,2120424#-0,6610863#3,163953#-0,7144431#-0,6521336#3,127584#0  
frame11 #-0,1633697#0,8474207#3,21443#-0,1730959#0,642569#3,250145# 0,4341351#0,5059698#3,030909#-0,09008817#0,3515107#2,95785#0,369968#0,4805807#3,041747#-0,1913206#0,3368636#2,977792#0,1727061#0,3713151#3,149256#-0,3659396#0,3622542#3,029342#0,00480438#0,5122945#3,256594#-0,3225347#0,5148536#3,170158#-0,1976938#0,2567182#3,275855#-0,1875811#0,1840493#3,22588#-0,1143893#0,1040338#3,241289#-0,2671217#0,1107209#3,196776#0,0778321#-0,2458196#3,178922#-0,485167#-0,2751752#3,234572#0,1381292#-0,5779597#3,169977#-0,7392339#-0,5952441#3,21935#0,2127529#-0,6622623#3,164227#-0,7124311#-0,647109#3,123944#0  
frame12 #-0,1978541#0,8382413#3,20603#-0,1889036#0,6455942#3,246845# 0,2973772#0,5621662#2,990564#-0,1474941#0,4582941#2,990934#0,2591873#0,501217#3,017338#-0,2413246#0,4141872#2,996593#0,105439#0,395586#3,11972#-0,4182325#0,3701631#3,013769#-0,03977022#0,518892#3,228489#-0,3735007#0,5323471#3,177046#-0,2144039#0,260697#3,27556#-0,2106232#0,1875469#3,227331#-0,1302799#0,1087861#3,239747#-0,3008729#0,1129363#3,205449#0,06713864#-0,2462602#3,181715#-0,5155731#-0,2741126#3,236295#0,1406493#-0,5836002#3,172347#-0,7396675#-0,5955306#3,218805#0,2176588#-0,6635804#3,16445#-0,7232847#-0,647647#3,121467#0  
frame13 #-0,2590581#0,8520932#3,189645#-0,2337824#0,6667715#3,219725# 0,2214379#0,6330253#2,950243#-0,1830897#0,556892#2,954948#0,1685682#0,5596192#2,963787#-0,2764872#0,5129887#2,960581#0,08602577#0,4108807#3,040813#-0,4860054#0,3889585#3,004685#-0,06601532#0,5239034#3,22141#-0,4059783#0,5283938#3,17748#-0,2391596#0,2717569#3,269115#-0,2340125#0,1939832#3,228358#-0,1502118#0,1177552#3,239499#-0,3209026#0,1159237#3,212734#0,04937056#-0,2486395#3,182851#-0,5437659#-0,2634023#3,227431#0,1436152#-0,5846554#3,17467#-0,7376726#-0,591603#3,218773#0,2179364#-0,6634764#3,164312#-0,822427#-0,6549452#3,194698#0  
frame14 #-0,2662709#0,8466019#3,189373#-0,2413619#0,6569388#3,215819# 0,1424688#0,6474771#2,923589#-0,3040208#0,6017458#2,957541#0,1121049#0,5876272#2,916976#-0,3645708#0,5518827#2,978929#0,05605659#0,4346366#3,013567#-0,4960757#0,3977267#3,001857#-0,08983833#0,5264149#3,218463#-0,4195925#0,5232812#3,182734#-0,2498425#0,2696102#3,263958#-0,2471438#0,192432#3,228644#-0,1679189#0,1185874#3,239209#-0,3309931#0,114652#3,215951#0,03186743#-0,2494332#3,185398#-0,5516785#-0,2605252#3,226751#0,1385279#-0,5884709#3,176334#-0,7360508#-0,5868571#3,216395#0,2203684#-0,6639298#3,167343#-0,8215483#-0,6538275#3,193531#0  
