frame1 #-0,04759749#0,8535259#3,169006#-0,06283597#0,6484175#3,180325# 0,5341586#0,4921235#3,086431#0,0560404#0,2582217#2,927446#0,4679186#0,4279857#3,128498#-0,04526095#0,2596973#2,924809#0,2619705#0,3829426#3,210208#-0,2024199#0,3202544#2,979425#0,1174179#0,5217649#3,245795#-0,2091979#0,5100545#3,089778#-0,0839816#0,26781#3,19143#-0,07328256#0,1933444#3,165814#-0,001627915#0,1160909#3,19241#-0,148605#0,1108212#3,129041#0,2103656#-0,2511856#3,165462#-0,3565312#-0,2916455#3,199725#0,291184#-0,6139214#3,166#0,03428185#-0,4885879#3,170424#0,3629689#-0,6739714#3,168915#-0,08902848#-0,5175079#3,173028#0  
frame12 #0,01094439#0,7907877#3,140528#0,002485608#0,6080282#3,183113# 0,6185943#0,3706054#3,139048#0,1900235#0,2091576#2,947154#0,5245436#0,3330618#3,160485#0,08656949#0,2098888#2,943788#0,3454729#0,3303236#3,204176#-0,1346522#0,3139793#2,980788#0,1806483#0,4909382#3,242022#-0,1475943#0,4795709#3,09036#-0,02291633#0,2411619#3,201718#-0,0147543#0,1678113#3,180453#0,05531201#0,08751254#3,206665#-0,09075116#0,09078278#3,15037#0,2557142#-0,2466274#3,152811#-0,357399#-0,2691812#3,180418#0,3047789#-0,6137426#3,161667#-0,5733667#-0,5723296#3,195728#0,3894242#-0,6729146#3,153235#-0,5389662#-0,6152992#3,12439#0  
frame13 #-0,003406973#0,798569#3,134531#-0,0006860496#0,605116#3,182944# 0,5975477#0,3878714#3,103079#0,1792797#0,2494371#2,944484#0,5140942#0,3401341#3,140345#0,08002226#0,2219752#2,949568#0,3371536#0,3310634#3,192419#-0,1481145#0,3113585#2,970077#0,176676#0,4891089#3,236689#-0,1537642#0,477353#3,093252#-0,02567594#0,2416425#3,201882#-0,01896546#0,1691076#3,181604#0,05302359#0,08713296#3,206697#-0,09904668#0,09514662#3,153283#0,2553035#-0,2470558#3,153081#-0,3674555#-0,2666105#3,179479#0,304788#-0,61374#3,161517#-0,5710617#-0,5774153#3,18714#0,3542688#-0,6674646#3,14032#-0,5386397#-0,6201826#3,115549#0  
frame14 #-0,0151746#0,7828834#3,135292#-0,01170452#0,6002059#3,181362# 0,5863101#0,4120238#3,082555#0,1655442#0,2772826#2,950697#0,5005649#0,3664943#3,116075#0,07812075#0,2619274#2,95494#0,3298388#0,3290971#3,176538#-0,1601681#0,3171216#2,970033#0,1682483#0,4870573#3,229839#-0,1700603#0,4742669#3,097089#-0,02918417#0,241546#3,202719#-0,02297487#0,1696872#3,183682#0,05116241#0,08714362#3,207683#-0,1032883#0,09493628#3,156567#0,2518769#-0,2481748#3,151705#-0,3794462#-0,2649152#3,177658#0,3050284#-0,605071#3,162269#-0,5720389#-0,5779591#3,183764#0,3548983#-0,6667793#3,140426#-0,5423423#-0,6207098#3,111179#0  
frame15 #-0,03650336#0,7952621#3,136106#-0,03443011#0,6006474#3,178879# 0,5651709#0,4718072#3,05851#0,1485819#0,3097965#2,95244#0,4740589#0,4112191#3,0822#0,06140796#0,3014691#2,944938#0,3157876#0,3289503#3,157331#-0,1728304#0,3205622#2,968509#0,1364205#0,4928302#3,21635#-0,1879037#0,4781483#3,098452#-0,04920602#0,2447458#3,203147#-0,04306669#0,1734993#3,186311#0,03289418#0,09009021#3,210175#-0,1220524#0,1003115#3,160173#0,2397232#-0,2475751#3,152432#-0,4213521#-0,2786987#3,174459#0,3040596#-0,6055451#3,161718#-0,5689006#-0,5750941#3,181802#0,3531842#-0,667041#3,139855#-0,541188#-0,6180275#3,108686#0  
frame16 #-0,06681847#0,7996206#3,131804#-0,04963496#0,6013435#3,181793# 0,5164081#0,500908#3,044116#0,0699382#0,3412526#2,94137#0,4561517#0,4445818#3,058167#-0,03200755#0,3307447#2,934171#0,2650697#0,3329716#3,135548#-0,2213019#0,3282569#2,980225#0,117946#0,497912#3,207893#-0,2107352#0,4823624#3,100801#-0,06498753#0,2428515#3,204674#-0,06042318#0,1711844#3,189063#0,01816117#0,09188499#3,209579#-0,1439295#0,0952639#3,16708#0,2272394#-0,2475527#3,153963#-0,4188239#-0,2710626#3,178105#0,3010401#-0,6019228#3,162018#-0,572424#-0,5781275#3,180167#0,3259162#-0,6444742#3,088772#-0,547548#-0,620679#3,10692#0  
frame17 #-0,08576888#0,7748739#3,128416#-0,07731934#0,5997493#3,183256# 0,4458123#0,5111617#3,022026#0,01274098#0,362837#2,912065#0,4155658#0,4714654#3,036829#-0,06041719#0,3583651#2,929937#0,2566755#0,3364606#3,119828#-0,237782#0,3364267#2,967435#0,1007845#0,4984302#3,202645#-0,2395101#0,4925441#3,106488#-0,08457725#0,2425246#3,204356#-0,07983123#0,1713399#3,189632#0,001634455#0,09327232#3,207688#-0,1626908#0,0940512#3,169379#0,2150173#-0,2483515#3,154411#-0,4312475#-0,2725134#3,180925#0,2985963#-0,5963218#3,162638#-0,5726079#-0,5778963#3,179685#0,3778908#-0,6587#3,142825#-0,5502673#-0,6208187#3,104506#0  
frame18 #-0,1310456#0,7855797#3,134669#-0,09864096#0,6020536#3,180243# 0,395519#0,5483846#2,986987#-0,002114587#0,4427479#2,959012#0,3654823#0,513894#3,006778#-0,09718363#0,4043052#2,959321#0,2186661#0,3471174#3,121874#-0,2654459#0,3441516#2,948164#0,06558165#0,4937513#3,187071#-0,2612238#0,5051636#3,123284#-0,1085824#0,2427822#3,20377#-0,1065912#0,1709248#3,191062#-0,02418933#0,09297769#3,204911#-0,1929821#0,09803409#3,17703#0,2014624#-0,2510592#3,16747#-0,4476949#-0,2629117#3,183621#0,290571#-0,5930257#3,173455#-0,5717347#-0,5794088#3,179916#0,3713827#-0,6526715#3,145287#-0,5557072#-0,6233554#3,102199#0  
frame19 #-0,1635621#0,7882086#3,131363#-0,1189333#0,604438#3,181318# 0,2994697#0,560095#2,953822#-0,01337762#0,5036985#2,93314#0,2831982#0,4966967#2,990421#-0,102749#0,4541702#2,951782#0,1833286#0,3544886#3,089445#-0,3353954#0,3817014#2,959311#0,03026703#0,4804806#3,165727#-0,2939274#0,5146917#3,136978#-0,1298382#0,2402377#3,202976#-0,1303775#0,167425#3,191136#-0,04730855#0,09048159#3,199519#-0,2176868#0,0949975#3,181771#0,1875074#-0,2523127#3,169683#-0,463379#-0,2582115#3,186435#0,2899877#-0,5698045#3,178179#-0,5730476#-0,5798184#3,181167#0,3631837#-0,6406751#3,149346#-0,5653492#-0,6244339#3,100993#0  
frame20 #-0,2119003#0,7940543#3,134788#-0,1747805#0,6187986#3,175856# 0,2819051#0,6257313#2,950373#-0,1082988#0,5105156#2,942081#0,2544067#0,5706245#2,964366#-0,18974#0,4514108#2,954017#0,1610402#0,3544961#3,042382#-0,3581186#0,3869483#2,962964#0,006514485#0,4871252#3,163541#-0,3315417#0,5248785#3,148695#-0,1620675#0,2427687#3,198964#-0,1583633#0,1680664#3,189193#-0,0694938#0,08957449#3,192631#-0,2433614#0,09649502#3,185746#0,1647237#-0,2584776#3,169498#-0,4811349#-0,2514101#3,185999#0,2886587#-0,5706549#3,18165#-0,5757204#-0,5770108#3,181009#0,3672722#-0,64024#3,158495#-0,5717218#-0,6224451#3,099403#0  
frame21 #-0,2297431#0,7833169#3,143319#-0,1907946#0,6157304#3,172387# 0,2098901#0,6650752#2,920427#-0,1277849#0,57722#2,922658#0,1864191#0,5895891#2,939906#-0,2032233#0,5121337#2,938096#0,1160061#0,3631309#3,012182#-0,3730125#0,380105#2,965346#-0,02292877#0,4848812#3,163952#-0,3409106#0,5185773#3,150443#-0,1846329#0,2341131#3,196252#-0,1832429#0,1574322#3,188543#-0,1011152#0,08126517#3,190694#-0,2620141#0,08830811#3,187071#0,1500513#-0,2646589#3,169527#-0,5064418#-0,2491305#3,186329#0,2886041#-0,5682321#3,181071#-0,5830161#-0,5736165#3,183609#0,3678133#-0,6392726#3,157691#-0,5791612#-0,6198436#3,101016#0  
