frame1 #-0,04759749#0,8535259#3,169006#-0,06283597#0,6484175#3,180325# 0,5341586#0,4921235#3,086431#0,0560404#0,2582217#2,927446#0,4679186#0,4279857#3,128498#-0,04526095#0,2596973#2,924809#0,2619705#0,3829426#3,210208#-0,2024199#0,3202544#2,979425#0,1174179#0,5217649#3,245795#-0,2091979#0,5100545#3,089778#-0,0839816#0,26781#3,19143#-0,07328256#0,1933444#3,165814#-0,001627915#0,1160909#3,19241#-0,148605#0,1108212#3,129041#0,2103656#-0,2511856#3,165462#-0,3565312#-0,2916455#3,199725#0,291184#-0,6139214#3,166#0,03428185#-0,4885879#3,170424#0,3629689#-0,6739714#3,168915#-0,08902848#-0,5175079#3,173028#0  
frame32 #-0,482689#0,6911583#3,160344#-0,3992217#0,5420402#3,186237# -0,640829#0,3059199#2,899413#-0,9169496#0,583375#3,041574#-0,5744222#0,2912914#2,902478#-0,8850119#0,5137205#3,050555#-0,3752019#0,2474058#2,925247#-0,7614255#0,3542103#3,146123#-0,2751763#0,4287205#3,078176#-0,5808676#0,4184582#3,25682#-0,3775516#0,1948285#3,197771#-0,3807763#0,1253259#3,190623#-0,3050511#0,04803114#3,152419#-0,4504539#0,04890253#3,226599#-0,09584454#-0,2394861#3,180903#-0,6329471#-0,2572199#3,17856#0,233926#-0,5269179#3,204772#-0,6056827#-0,5921465#3,188931#0,1870479#-0,57682#3,127571#-0,6558133#-0,6647214#3,167877#0  
frame33 #-0,4995715#0,6895737#3,150669#-0,4214095#0,5283424#3,184438# -0,6442465#0,1583177#2,886295#-1,006083#0,5275629#3,049945#-0,5887223#0,1774992#2,898022#-0,962905#0,4729165#3,068659#-0,4221498#0,2350437#2,946764#-0,761988#0,3525983#3,147573#-0,2903324#0,4146411#3,070768#-0,6054984#0,3884821#3,254929#-0,3921992#0,1835689#3,196078#-0,3938596#0,1143732#3,189258#-0,3168277#0,03614646#3,150448#-0,46208#0,03770332#3,225222#-0,09519975#-0,2394877#3,181569#-0,6411219#-0,2687937#3,178602#0,2357696#-0,5273176#3,206413#-0,6122665#-0,5799272#3,182274#0,1893689#-0,577297#3,129774#-0,6541752#-0,664314#3,167544#0  
frame34 #-0,5076175#0,6772175#3,149488#-0,4232951#0,5254051#3,182925# -0,6785941#0,1446206#2,889177#-1,041732#0,500171#3,04568#-0,5810274#0,148067#2,891606#-0,9275281#0,3947054#3,102434#-0,4229954#0,2241088#2,945648#-0,7652572#0,3317541#3,161825#-0,2968926#0,4084581#3,06927#-0,606729#0,3851712#3,254848#-0,3937239#0,1821066#3,19509#-0,3951214#0,1131159#3,188858#-0,3196411#0,03710713#3,151328#-0,4622337#0,0337616#3,223224#-0,09941229#-0,2377145#3,181078#-0,6438444#-0,2694748#3,178556#0,2334503#-0,525032#3,206509#-0,6131272#-0,5800086#3,183573#0,1865166#-0,5748205#3,130876#-0,6526634#-0,6637487#3,168108#0  
frame35 #-0,5117046#0,673695#3,148294#-0,4267283#0,5227939#3,181198# -0,6710207#0,1005486#2,896822#-1,055365#0,4822545#3,056358#-0,575289#0,1180103#2,906173#-0,9717916#0,3877587#3,073912#-0,4222156#0,2105605#2,945018#-0,8152422#0,3269163#3,154001#-0,3063323#0,4024232#3,069085#-0,6120595#0,3766031#3,25261#-0,3966479#0,1772491#3,193467#-0,3976104#0,1077041#3,187746#-0,3223262#0,03633634#3,152435#-0,4624087#0,02513553#3,219042#-0,1049085#-0,2422565#3,18081#-0,6608232#-0,2687879#3,175777#0,2323409#-0,5261197#3,206308#-0,612941#-0,5811938#3,183462#0,185618#-0,5757287#3,131123#-0,6509979#-0,6630884#3,168008#0  
frame36 #-0,5186048#0,6698718#3,141177#-0,4327912#0,5138333#3,175259# -0,726307#0,1004579#2,898817#-1,083709#0,4622988#3,078509#-0,6326545#0,1256117#2,911245#-0,980706#0,3864556#3,100764#-0,4243992#0,203485#2,944279#-0,8151188#0,324451#3,153869#-0,3110394#0,3975521#3,06873#-0,6142271#0,3733255#3,252247#-0,4020833#0,1714031#3,190558#-0,4023786#0,1023427#3,186192#-0,3263998#0,03437196#3,151862#-0,4671193#0,0180211#3,218262#-0,1085942#-0,2420379#3,179799#-0,6651968#-0,274273#3,174869#0,2303714#-0,5259352#3,204061#-0,6116052#-0,5823684#3,185613#0,1838099#-0,5756029#3,129617#-0,6510493#-0,6629043#3,167229#0  
frame37 #-0,5204943#0,6695315#3,137011#-0,4413366#0,5111477#3,175272# -0,70766#0,09854674#2,92288#-1,079358#0,4355853#3,073771#-0,6100825#0,09348218#2,918558#-0,9836605#0,3449301#3,082616#-0,4223029#0,1970458#2,945254#-0,8146874#0,3153325#3,155864#-0,3154319#0,3956127#3,069508#-0,6182939#0,3687693#3,251594#-0,4055575#0,167749#3,189298#-0,404734#0,09847924#3,185441#-0,3284604#0,03316551#3,15228#-0,4678906#0,01353425#3,216241#-0,09597319#-0,2530688#3,17754#-0,6622952#-0,2799205#3,174899#0,2438884#-0,5361804#3,205574#-0,6234404#-0,6051054#3,183893#0,1979429#-0,5857537#3,131474#-0,6571708#-0,6803288#3,162178#0 
frame38 #-0,5258011#0,669382#3,133501#-0,443197#0,5105779#3,174917# -0,6612565#0,07135491#2,918048#-1,080527#0,4314972#3,070518#-0,5642406#0,08338273#2,91449#-0,9871328#0,3485675#3,081898#-0,4189856#0,1912917#2,948287#-0,8194481#0,3032748#3,150053#-0,3215279#0,3927693#3,072513#-0,6219672#0,3633652#3,249649#-0,4074803#0,1645914#3,187876#-0,4061067#0,0946504#3,184278#-0,3297986#0,03153198#3,152322#-0,4684781#0,009978166#3,213955#-0,1065805#-0,2495116#3,17707#-0,6636552#-0,2817452#3,175148#0,2360026#-0,5305369#3,204564#-0,6231945#-0,6072297#3,184387#0,1906445#-0,5801302#3,129923#-0,6567326#-0,6818566#3,16#0  
frame39 #-0,5332754#0,6548548#3,134321#-0,4507248#0,5034677#3,177235# -0,6622416#0,07013275#2,918794#-1,080004#0,4233693#3,067077#-0,5651867#0,08245273#2,917869#-0,9855539#0,3442807#3,081777#-0,4186465#0,1896491#2,94915#-0,8189399#0,2962301#3,151967#-0,3241698#0,3896476#3,073048#-0,6260976#0,3602717#3,249698#-0,412582#0,1593101#3,187599#-0,4104549#0,08993644#3,18384#-0,3362422#0,02547309#3,151896#-0,470961#0,005978161#3,213058#-0,08585849#-0,2615492#3,178163#-0,6689913#-0,2823673#3,174534#0,2543723#-0,5456529#3,2075#-0,6265491#-0,6071831#3,189641#0,2091796#-0,5952558#3,132583#-0,6562306#-0,682318#3,161674#0  
frame40 #-0,5332839#0,6547233#3,134029#-0,4535153#0,5018075#3,177819# -0,6624665#0,07037647#2,918598#-1,08263#0,4191629#3,061754#-0,5653648#0,08234927#2,920325#-0,9895915#0,3387536#3,080182#-0,4183848#0,1898423#2,949344#-0,8224359#0,2918008#3,150732#-0,3252658#0,3879642#3,072836#-0,6276082#0,3584334#3,248252#-0,4149754#0,1564556#3,187939#-0,4125641#0,08689586#3,184286#-0,3387596#0,0229369#3,153348#-0,4721475#0,003373871#3,212606#-0,1118851#-0,2432464#3,175269#-0,6937346#-0,2962869#3,162434#0,2298444#-0,5262686#3,204595#-0,6057069#-0,6091519#3,196146#0,1852567#-0,5755293#3,130043#-0,6543786#-0,670894#3,164142#0  
frame41 #-0,5349159#0,6566975#3,133659#-0,4564787#0,5004719#3,177377# -0,6606122#0,09103192#2,912523#-1,084241#0,4143251#3,057362#-0,5632646#0,09133893#2,922484#-0,9895923#0,3357854#3,079956#-0,4126324#0,1941826#2,950256#-0,8220074#0,2909165#3,151543#-0,32782#0,3868905#3,07326#-0,6287489#0,3568867#3,247782#-0,4170317#0,1548572#3,187847#-0,4142969#0,08527084#3,184474#-0,340809#0,02184139#3,154011#-0,4730795#0,00216443#3,212565#-0,1138557#-0,2438358#3,175314#-0,6739455#-0,2818263#3,178404#0,2295999#-0,5257857#3,204811#-0,6234654#-0,6066699#3,190823#0,1853458#-0,5748386#3,130726#-0,6510398#-0,6792587#3,157816#0  
frame42 #-0,5350665#0,656424#3,133203#-0,4571683#0,5000932#3,178193# -0,6608274#0,09057765#2,912057#-1,087013#0,4137587#3,057306#-0,5634265#0,09389205#2,920979#-0,9898857#0,3297288#3,07892#-0,4117226#0,1948878#2,95182#-0,8213033#0,290264#3,151905#-0,3296438#0,3848734#3,073874#-0,6298928#0,3556964#3,247364#-0,4177238#0,1531979#3,188085#-0,4148842#0,08324511#3,18472#-0,3411984#0,0206858#3,154519#-0,4737292#5,294709E-05#3,212142#-0,114488#-0,2449755#3,175097#-0,6755506#-0,281717#3,177406#0,2297083#-0,5268893#3,20553#-0,6237997#-0,6066648#3,191429#0,1858131#-0,5756078#3,131807#-0,6512799#-0,6785414#3,158076#0  
frame43 #-0,5352489#0,6575582#3,132421#-0,4572844#0,4999822#3,178223# -0,667936#0,08766726#2,909014#-1,088466#0,4116947#3,055932#-0,5705238#0,09274567#2,917023#-0,9842547#0,3100308#3,069693#-0,4188055#0,1931303#2,951906#-0,8162613#0,2869746#3,152477#-0,3306791#0,3843094#3,074637#-0,6305168#0,3548624#3,246993#-0,4187152#0,1519428#3,187952#-0,4160081#0,08171368#3,184649#-0,342828#0,01933443#3,15503#-0,4747657#-0,001288778#3,211553#-0,1156434#-0,2453867#3,174936#-0,6760532#-0,2819734#3,176977#0,2299557#-0,5262378#3,206899#-0,6232148#-0,6071074#3,191777#0,186443#-0,5746419#3,133455#-0,651702#-0,6776506#3,157572#0  
frame44 #-0,5348605#0,6591038#3,130495#-0,4571732#0,4999044#3,178278# -0,6883086#0,07134432#2,898463#-1,064251#0,3732068#3,053526#-0,5910329#0,07727882#2,907614#-0,984762#0,3199888#3,074283#-0,4455893#0,1843262#2,954767#-0,8161388#0,2866163#3,152577#-0,330922#0,3840458#3,074722#-0,6308891#0,3534788#3,246471#-0,4189207#0,151207#3,187765#-0,4162464#0,08081242#3,184461#-0,3428152#0,01908159#3,154827#-0,4759517#-0,003706951#3,211358#-0,1168369#-0,245084#3,174754#-0,677407#-0,2829168#3,177015#0,2295166#-0,5259358#3,207025#-0,6239599#-0,6080948#3,194308#0,186051#-0,5743884#3,133366#-0,6579449#-0,6802025#3,169274#0  
frame45 #-0,5333284#0,6600764#3,128577#-0,4571568#0,4999752#3,177911# -0,692228#0,07697979#2,902661#-1,06359#0,3715741#3,046963#-0,5950011#0,08302294#2,912371#-0,985052#0,3198698#3,074208#-0,442426#0,1828574#2,950707#-0,8161118#0,2865377#3,1526#-0,3325311#0,3839659#3,07448#-0,6312068#0,3522896#3,246142#-0,4190769#0,1509175#3,187586#-0,4163848#0,08042917#3,184448#-0,3429121#0,01910914#3,154927#-0,4761617#-0,004228996#3,211311#-0,1169156#-0,2451991#3,174543#-0,675454#-0,2837199#3,178136#0,2289881#-0,5278922#3,20569#-0,6273851#-0,6104605#3,193714#0,1851555#-0,5766541#3,131664#-0,653098#-0,6802681#3,154586#0  
frame46 #-0,5322819#0,6614971#3,129033#-0,4569922#0,5002743#3,177904# -0,6533586#0,1015465#2,907894#-1,062949#0,3711766#3,047548#-0,556131#0,1085945#2,917076#-0,9843181#0,3199282#3,075439#-0,4064869#0,2122884#2,956039#-0,8156347#0,2858793#3,153592#-0,3325973#0,3839525#3,074542#-0,6315345#0,3512822#3,24568#-0,4191358#0,1508739#3,187475#-0,4163887#0,08034981#3,184422#-0,3428089#0,01920746#3,155101#-0,476357#-0,004527493#3,21111#-0,1170038#-0,2452056#3,174502#-0,6759565#-0,2824853#3,177823#0,2292312#-0,5283772#3,206256#-0,6272597#-0,609537#3,193965#0,1854637#-0,5772024#3,132034#-0,6533607#-0,6802435#3,156469#0  
frame47 #-0,5282443#0,6645381#3,128358#-0,4564431#0,5012565#3,178123# -0,6584067#0,0977394#2,904099#-1,062224#0,3705278#3,04533#-0,5612259#0,1057575#2,912772#-0,9833668#0,3192165#3,072392#-0,4106451#0,2073039#2,953769#-0,8160037#0,2857995#3,153811#-0,3326009#0,3846224#3,07497#-0,6310221#0,3507143#3,24478#-0,4189356#0,15124#3,18709#-0,4160901#0,08076181#3,183995#-0,3417219#0,02073869#3,154619#-0,4763616#-0,004141536#3,210243#-0,1169758#-0,2456953#3,174123#-0,6747097#-0,2808108#3,177599#0,2304806#-0,528997#3,207352#-0,6263731#-0,60879#3,194048#0,1867853#-0,5778863#3,132808#-0,6536583#-0,6798562#3,15763#0  
frame48 #-0,525516#0,6705997#3,128662#-0,4560746#0,5022737#3,177489# -0,6570492#0,0973295#2,903289#-1,062188#0,3708757#3,044809#-0,5598295#0,1054825#2,911626#-0,9831497#0,319924#3,072095#-0,4096737#0,2069088#2,954727#-0,8160065#0,2856902#3,15341#-0,3320913#0,3851607#3,075286#-0,6307266#0,3509764#3,244527#-0,4186305#0,152551#3,186567#-0,4157436#0,08219883#3,183525#-0,3416291#0,02106093#3,154216#-0,4756809#-0,001565587#3,210131#-0,1171556#-0,245269#3,174121#-0,6639831#-0,345032#3,171378#0,2301494#-0,5282955#3,207521#-0,5939449#-0,6654239#3,208649#0,1865344#-0,5772622#3,132796#-0,6680418#-0,6573318#3,168835#0  
frame49 #-0,5177112#0,6782877#3,123539#-0,4560617#0,5043155#3,178984# -0,6705176#0,08833386#2,904545#-1,063856#0,3684722#3,042537#-0,573213#0,09730387#2,911058#-0,9833095#0,3204712#3,070806#-0,4196043#0,1959458#2,948597#-0,8159044#0,2856583#3,152593#-0,3299873#0,3866213#3,075258#-0,6293392#0,3523079#3,243615#-0,4172763#0,1547487#3,186739#-0,4140975#0,08463924#3,183237#-0,3397716#0,02313855#3,154177#-0,4733864#0,001952196#3,208813#-0,1177272#-0,2439235#3,173236#-0,6694741#-0,2737803#3,174#0,2302039#-0,5278672#3,206637#-0,6151662#-0,6009369#3,194004#0,1867001#-0,5768961#3,131561#-0,6559139#-0,6699704#3,16661#0  
frame50 #-0,5163172#0,6815081#3,125105#-0,4542205#0,50786#3,181011# -0,6749862#0,09890099#2,904379#-1,063002#0,3721076#3,042297#-0,5775592#0,1053212#2,911725#-0,9820182#0,3237789#3,068626#-0,4191286#0,1964587#2,948496#-0,8144284#0,2855986#3,148449#-0,3276767#0,3907701#3,077137#-0,6284717#0,3528307#3,243969#-0,4151273#0,1579145#3,187446#-0,4120255#0,08777042#3,183357#-0,336594#0,02742623#3,153918#-0,4723477#0,003450999#3,20876#-0,1176466#-0,2438605#3,173115#-0,6681103#-0,2718099#3,175107#0,2309102#-0,5279741#3,206018#-0,6177506#-0,599354#3,199422#0,1880433#-0,5766186#3,131029#-0,65451#-0,6682873#3,167845#0  
