frame12 #0,07983227#0,8381583#3,159449#0,05603315#0,6343914#3,199595# 0,696861#0,4452824#3,053101#0,1490056#0,2663034#2,934572#0,6108429#0,4022405#3,078841#0,07675041#0,2794749#2,939265#0,438102#0,379828#3,143196#-0,09501056#0,3306558#2,982495#0,2362806#0,5073352#3,227209#-0,09791203#0,4990446#3,103808#0,03005057#0,2649213#3,210732#0,03692723#0,1925598#3,183731#0,1080973#0,1140023#3,199081#-0,04079793#0,1161397#3,159292#0,2868084#-0,2348135#3,152292#-0,2259101#-0,2183884#3,200407#0,265166#-0,6188135#3,168755#-0,336896#-0,582688#3,242271#0,3407046#-0,6650929#3,147983#-0,2419019#-0,5944507#3,229265#0  
frame13 #0,07735525#0,8392708#3,158055#0,0535421#0,6379734#3,201252# 0,6589817#0,4320593#3,062356#0,1861304#0,281584#2,932937#0,5685685#0,3937845#3,077457#0,08805934#0,2923339#2,944516#0,3979622#0,3798037#3,152117#-0,09681892#0,3331251#2,985974#0,2357253#0,5078263#3,22857#-0,1010352#0,5060652#3,111#0,0278959#0,2670602#3,213635#0,03424572#0,1944722#3,186614#0,1065603#0,1146462#3,200274#-0,04536688#0,1200454#3,16486#0,2807467#-0,2323962#3,153125#-0,2696838#-0,2688669#3,215501#0,264619#-0,6026465#3,16702#-0,3328665#-0,6305358#3,253202#0,3389162#-0,6640847#3,147584#-0,23577#-0,6352083#3,238271#0  
frame14 #0,03925224#0,8560609#3,168667#0,02254948#0,6462907#3,203947# 0,5554905#0,4952062#3,053573#0,1680107#0,3594231#2,936393#0,53036#0,4572882#3,067385#0,07155925#0,3553885#2,957597#0,3782093#0,383539#3,145465#-0,1699371#0,377413#3,003617#0,2026082#0,5184468#3,20834#-0,135643#0,5259913#3,128396#0,004862424#0,2769352#3,224773#0,00819993#0,2041893#3,200035#0,08391384#0,1225939#3,208898#-0,07399181#0,1322369#3,185462#0,2582003#-0,2314227#3,153296#-0,3213065#-0,2739438#3,231724#0,26797#-0,6000452#3,166854#-0,4934091#-0,5920046#3,237749#0,3399246#-0,6673647#3,152338#-0,394674#-0,6003977#3,227698#0  
frame15 #-0,0141997#0,8519534#3,163345#-0,01075866#0,6531746#3,217686# 0,5505239#0,6089461#3,03505#0,03118833#0,352787#2,918892#0,4807304#0,5395496#3,035373#-0,02857739#0,3660414#2,958193#0,3353037#0,3964733#3,103728#-0,2085767#0,3738856#2,989012#0,1568377#0,5225291#3,188576#-0,1840743#0,5342949#3,149044#-0,03049278#0,2810739#3,233861#-0,03024799#0,2081512#3,207948#0,04986649#0,126806#3,208461#-0,1177338#0,1361829#3,200312#0,2395406#-0,230489#3,154886#-0,3536647#-0,2668688#3,227878#0,2698219#-0,5986326#3,16631#-0,5049052#-0,5923237#3,232003#0,3411947#-0,6676705#3,152758#-0,4054957#-0,6007956#3,222518#0  
frame16 #-0,1018072#0,8455702#3,172664#-0,07685032#0,6516868#3,217618# 0,372658#0,6603072#2,965637#-0,0569936#0,4978185#2,975458#0,3188059#0,6002929#2,972288#-0,1419931#0,4482735#2,974168#0,25978#0,4182994#3,03623#-0,3096115#0,3801525#3,000123#0,08424265#0,5252843#3,183011#-0,2644981#0,5364947#3,162287#-0,08771858#0,2791448#3,239899#-0,08800949#0,2056371#3,216646#-0,004607766#0,1253331#3,218966#-0,1753427#0,128795#3,209038#0,1868244#-0,2088494#3,161011#-0,4066794#-0,2484471#3,221622#0,2699796#-0,5970177#3,168989#-0,5160333#-0,5872104#3,232909#0,3407027#-0,6650366#3,153021#-0,5929518#-0,6434504#3,196138#0  
frame17 #-0,2237136#0,8384072#3,18652#-0,1805687#0,6519768#3,21253# 0,114121#0,6934699#2,902554#-0,2196393#0,6048543#2,987106#0,09641023#0,6240146#2,891262#-0,2737454#0,5656689#2,958782#0,1009254#0,4554372#2,973629#-0,4413599#0,3981119#3,039413#-0,04181786#0,5189388#3,1914#-0,3371846#0,5127659#3,190915#-0,1725963#0,2574567#3,241038#-0,1709611#0,1788617#3,221464#-0,09033386#0,1146301#3,218715#-0,2488888#0,1101518#3,222784#0,1337443#-0,2518755#3,171645#-0,4769002#-0,2452847#3,210591#0,2690489#-0,595147#3,171095#-0,5402994#-0,5921649#3,228088#0,3406397#-0,6631234#3,153167#-0,5969401#-0,649816#3,194319#0  
frame18 #-0,288627#0,8106678#3,193854#-0,2444363#0,6411688#3,238276# -0,03564983#0,6801912#2,864535#-0,2671251#0,700852#2,994673#-0,02779874#0,60995#2,877239#-0,3197775#0,6393498#3,007818#0,007737882#0,4445457#2,957971#-0,4777344#0,4548431#3,061224#-0,1110713#0,5254521#3,178714#-0,3981908#0,5235168#3,237092#-0,2145462#0,2668151#3,248843#-0,2122982#0,1924403#3,225801#-0,1352659#0,1339791#3,211292#-0,2794403#0,1202821#3,231407#0,09172989#-0,245082#3,185121#-0,4885967#-0,2398555#3,21272#0,2687364#-0,5950624#3,173317#-0,560246#-0,5847958#3,217119#0,2527034#-0,6375259#3,095932#-0,5979343#-0,6505001#3,19327#0  
frame19 #-0,4179583#0,7822049#3,177354#-0,3182802#0,6476555#3,217732# -0,3548632#0,6518387#2,904726#-0,6004466#0,6954925#3,010162#-0,3610296#0,5868883#2,874451#-0,6210794#0,62687#3,016357#-0,2230987#0,4101245#2,939174#-0,6479342#0,4178582#3,155209#-0,1839132#0,5327765#3,126966#-0,5161654#0,4952311#3,279755#-0,2921582#0,2658817#3,244785#-0,2979069#0,1891467#3,229657#-0,2163382#0,1209434#3,204175#-0,3724599#0,09945791#3,254432#0,02589375#-0,2656696#3,212163#-0,5577435#-0,227439#3,218512#0,2697124#-0,5981779#3,174029#-0,5577624#-0,5790783#3,218143#0,2361877#-0,641979#3,102968#-0,599206#-0,6543461#3,196307#0  
frame20 #-0,4649298#0,7712413#3,204644#-0,3723602#0,6089033#3,219816# -0,4139992#0,605266#2,927855#-0,706952#0,6705807#3,014561#-0,4201623#0,5403504#2,897597#-0,7461717#0,5365969#3,036486#-0,2514413#0,3735734#2,968428#-0,6908537#0,4195064#3,175925#-0,2302654#0,511801#3,124318#-0,5467163#0,4788278#3,293999#-0,3296996#0,2500471#3,244191#-0,3304312#0,1776544#3,23117#-0,2500975#0,1096279#3,199029#-0,3965862#0,08866447#3,261515#-0,03583954#-0,2432977#3,218208#-0,5651176#-0,2279723#3,218882#0,2717174#-0,6010064#3,177764#-0,560851#-0,5827079#3,222992#0,3548006#-0,6513209#3,13992#-0,6000718#-0,6556129#3,196676#0  
frame21 #-0,5268788#0,7482111#3,214047#-0,4349696#0,5972003#3,226273# -0,6669585#0,4560207#2,933338#-0,9129719#0,6199877#3,091963#-0,6124715#0,3767009#2,947204#-0,8837899#0,5274522#3,098154#-0,4126592#0,3109026#2,968107#-0,7899334#0,3880471#3,179267#-0,3043191#0,483177#3,131649#-0,6054858#0,4598924#3,300067#-0,3924575#0,2364115#3,244286#-0,3949817#0,1636354#3,231497#-0,3185543#0,09745079#3,196044#-0,4575364#0,07940511#3,26392#-0,05128169#-0,2523557#3,2219#-0,622097#-0,2474602#3,215438#0,271679#-0,60071#3,177871#-0,5686061#-0,5930721#3,232642#0,232577#-0,6447865#3,109855#-0,6103483#-0,6611986#3,206076#0  
frame22 #-0,5371963#0,740849#3,217629#-0,4376959#0,5948271#3,226741# -0,7183806#0,3750906#2,960195#-0,9492624#0,5534295#3,093143#-0,6719039#0,3088542#2,954332#-0,9335548#0,5133606#3,10529#-0,4264982#0,301856#2,971702#-0,7949878#0,3749767#3,176344#-0,3129266#0,4771787#3,128106#-0,6176388#0,4453054#3,298264#-0,3953887#0,2344028#3,243212#-0,3974074#0,1617462#3,231083#-0,3210828#0,09461184#3,194774#-0,4601609#0,07729122#3,263905#-0,1172226#-0,2306432#3,216103#-0,6223983#-0,2469517#3,215657#0,2287827#-0,5593286#3,179839#-0,5927833#-0,5966932#3,223945#0,1898699#-0,6032251#3,111974#-0,6107524#-0,667807#3,203118#0  
frame23 #-0,5544649#0,7316341#3,221923#-0,4504889#0,5868442#3,22817# -0,6336503#0,1672593#2,947266#-1,032881#0,4948915#3,11919#-0,5743878#0,200126#2,955854#-0,9687616#0,4247663#3,138652#-0,3966005#0,2987259#2,995568#-0,8189756#0,3376202#3,206608#-0,3285817#0,4654181#3,122381#-0,6261803#0,4284693#3,302805#-0,4084944#0,2200536#3,239897#-0,4111585#0,1459985#3,227361#-0,3367063#0,08058289#3,188628#-0,4715972#0,06000536#3,260823#-0,1179726#-0,2315203#3,215988#-0,630767#-0,2578875#3,21268#0,2234677#-0,5659112#3,183886#-0,5852961#-0,5989415#3,22455#0,1821711#-0,6092943#3,117743#-0,6091439#-0,6668925#3,200743#0  
