frame1 #0,01123836#0,8002848#3,22056#-0,02264236#0,6065072#3,228962# 0,6583134#0,4337296#3,158473#0,1866646#0,2308956#2,940284#0,5327377#0,3965605#3,168064#0,08978224#0,2284739#2,94557#0,3612885#0,3774335#3,236888#-0,1363396#0,3221057#2,969151#0,162466#0,4809798#3,295866#-0,1536155#0,4801175#3,117178#-0,05154528#0,2413214#3,238841#-0,0393928#0,169805#3,212493#0,02874916#0,09240137#3,238739#-0,1134875#0,09201334#3,175444#0,2234715#-0,2352919#3,209048#-0,31844#-0,2511307#3,213708#0,2484572#-0,6449579#3,249534#0,1496738#-0,5591449#3,238886#0,3074601#-0,6731713#3,183575#0,02525617#-0,5734693#3,228496#0  
frame12 #-0,4281023#0,8084577#3,151398#-0,3770642#0,6487795#3,223681# -0,2123339#0,6907769#2,873682#-0,5134435#0,7006115#2,901469#-0,2066421#0,6496204#2,862437#-0,5673121#0,6633425#2,915716#-0,1357181#0,4909271#2,922786#-0,6349764#0,5268281#3,025079#-0,2578078#0,5265097#3,156947#-0,5215716#0,5211437#3,205326#-0,3549145#0,2766887#3,230555#-0,3563788#0,2044237#3,203322#-0,2841973#0,1492433#3,188306#-0,422991#0,1399665#3,209234#-0,08365336#-0,2158747#3,221436#-0,6252727#-0,2069874#3,196189#0,1518792#-0,5547403#3,250392#-0,6994601#-0,5563619#3,162038#0,2501096#-0,6294193#3,218722#-0,7179347#-0,6082716#3,065936#0  
frame13 #-0,4926999#0,8021563#3,169671#-0,4397929#0,633709#3,197096# -0,371994#0,6675668#2,857886#-0,6415597#0,780778#2,938691#-0,3548456#0,600776#2,854216#-0,6779098#0,6972025#2,952779#-0,2480766#0,4608574#2,928698#-0,721121#0,5183926#3,056526#-0,2488886#0,5086417#3,126715#-0,5761344#0,5134228#3,209412#-0,395925#0,272374#3,221205#-0,3937239#0,1999612#3,201451#-0,3101527#0,1252662#3,187681#-0,4677473#0,1260571#3,210614#-0,1330627#-0,2145682#3,219603#-0,6654538#-0,2303414#3,184152#0,1387935#-0,5414788#3,246574#-0,7084113#-0,5447552#3,155619#0,1140546#-0,5956712#3,152277#-0,7331502#-0,5989477#3,061323#0  
frame14 #-0,5384042#0,7510307#3,173929#-0,4740565#0,595422#3,197452# -0,6117914#0,5088597#2,83845#-0,8563489#0,7569484#3,014663#-0,5578814#0,4684293#2,839605#-0,8562835#0,6895523#3,014691#-0,3876932#0,3744451#2,913357#-0,8091255#0,4702715#3,112876#-0,3253553#0,4901352#3,12596#-0,6487109#0,452326#3,22782#-0,4473434#0,2338357#3,218359#-0,449429#0,1615666#3,20227#-0,3663624#0,09613057#3,189112#-0,5183595#0,0828694#3,212492#-0,1473355#-0,244556#3,227536#-0,7053648#-0,2358446#3,183585#0,09732536#-0,5667141#3,265057#-0,7162237#-0,557462#3,160419#0,2077542#-0,6290691#3,238249#-0,7469417#-0,611904#3,066628#0  
frame15 #-0,5463634#0,74285#3,176656#-0,4808246#0,5877689#3,20461# -0,6673084#0,4830137#2,852055#-0,9104633#0,7392123#3,021418#-0,6087366#0,4249305#2,872046#-0,9046478#0,673197#3,022278#-0,4358868#0,3547907#2,930197#-0,8205388#0,4638751#3,118643#-0,3299874#0,488258#3,126153#-0,6500003#0,454785#3,229754#-0,4514442#0,2316423#3,21887#-0,4532705#0,1602637#3,20264#-0,3754553#0,09471692#3,187723#-0,5213363#0,08149376#3,212838#-0,1498657#-0,2460934#3,227856#-0,7098601#-0,2345865#3,184658#0,1373658#-0,560536#3,252811#-0,777438#-0,5432317#3,131691#0,1054875#-0,6148976#3,158555#-0,7615725#-0,6635389#3,167916#0  
frame16 #-0,5881181#0,7226042#3,180945#-0,5097601#0,5578541#3,203219# -0,7363517#0,2723377#2,901146#-1,068625#0,6213148#3,068644#-0,6703284#0,2601127#2,901527#-1,029628#0,5403242#3,081784#-0,4394552#0,3032537#2,977707#-0,8710377#0,3703276#3,134686#-0,3785357#0,4386823#3,1053#-0,7169685#0,4226025#3,237379#-0,4802433#0,2229259#3,21711#-0,4830791#0,1563271#3,201717#-0,4102235#0,0872121#3,177423#-0,5537988#0,07024471#3,219258#-0,1553736#-0,2582135#3,224225#-0,7315294#-0,2480654#3,187301#0,140179#-0,563746#3,252313#-0,784608#-0,559045#3,132265#0,1023978#-0,6185855#3,159384#-0,7627014#-0,6643536#3,174412#0  
frame17 #-0,6025808#0,7105818#3,18728#-0,5166841#0,5514271#3,200552# -0,7309243#0,2173696#2,908296#-1,118019#0,5853832#3,085737#-0,6652526#0,2312583#2,914318#-1,070708#0,5258257#3,102684#-0,4416386#0,304685#2,980425#-0,878633#0,3844171#3,151886#-0,3794017#0,4387873#3,106449#-0,714642#0,4216782#3,237433#-0,4876282#0,2221027#3,214929#-0,4904056#0,1563494#3,200144#-0,4197287#0,09048368#3,175863#-0,5558895#0,06957817#3,218606#-0,1580663#-0,2629574#3,220893#-0,7346768#-0,2464631#3,186813#0,137903#-0,5682793#3,251769#-0,7241779#-0,5682765#3,171172#0,2438186#-0,6334345#3,20765#-0,7789363#-0,6677764#3,167208#0  
frame18 #-0,6241181#0,6949294#3,178754#-0,5417287#0,5366403#3,196543# -0,8124696#0,1255366#2,920403#-1,178655#0,4464951#3,105815#-0,7205272#0,1188886#2,928484#-1,121002#0,4101396#3,111517#-0,5140629#0,2370351#2,982498#-0,8910479#0,3516208#3,168877#-0,40492#0,4282941#3,107578#-0,722725#0,404262#3,24795#-0,5051666#0,2024629#3,210206#-0,5064087#0,1353722#3,19767#-0,4319934#0,07188487#3,16864#-0,5699686#0,04644902#3,221354#-0,1618605#-0,2685245#3,215836#-0,7471575#-0,265669#3,18315#0,1207108#-0,57596#3,25148#-0,7244951#-0,5681211#3,170103#0,2344154#-0,6308942#3,211817#-0,7664948#-0,6238438#3,07857#0  
frame19 #-0,6322627#0,6908#3,173971#-0,5470765#0,5339304#3,193698# -0,7543631#0,125111#2,924716#-1,180602#0,4350655#3,099329#-0,6623054#0,1312287#2,934116#-1,119228#0,4066108#3,110378#-0,5191442#0,2335124#2,980429#-0,8901345#0,3413413#3,167403#-0,4124691#0,4268545#3,106213#-0,723837#0,3941258#3,245985#-0,5078131#0,1966458#3,207119#-0,5079535#0,1286732#3,195755#-0,4333164#0,06629295#3,167586#-0,5696791#0,04256086#3,219773#-0,1640297#-0,270094#3,214287#-0,7582477#-0,2608324#3,180912#0,106524#-0,5698416#3,248244#-0,7259896#-0,5674566#3,169752#0,2226597#-0,6253939#3,212462#-0,7657136#-0,6657211#3,174994#0  
frame20 #-0,6335391#0,6895002#3,174323#-0,5492458#0,5316277#3,194149# -0,7552347#0,1260027#2,924239#-1,197929#0,4484364#3,103294#-0,6631119#0,1327527#2,933299#-1,121267#0,4066924#3,112272#-0,5182945#0,2332605#2,979339#-0,8920673#0,3387791#3,1667#-0,4128962#0,4268554#3,106886#-0,7243683#0,392473#3,245538#-0,5090346#0,19469#3,206648#-0,5087207#0,1268845#3,195525#-0,4339083#0,0636628#3,167428#-0,5700004#0,04138046#3,21933#-0,1644392#-0,2706493#3,214288#-0,753849#-0,2638899#3,183805#0,1283296#-0,5714422#3,246942#-0,7265985#-0,5683711#3,171538#0,08589961#-0,6277516#3,154964#-0,7690285#-0,6246805#3,079561#0  
frame21 #-0,6366138#0,6904533#3,172824#-0,5493894#0,5316902#3,192308# -0,8129277#0,1209907#2,914746#-1,197291#0,4482849#3,102522#-0,719134#0,1182017#2,916039#-1,122408#0,4059229#3,111286#-0,5189168#0,2320868#2,978677#-0,8930107#0,3374965#3,165699#-0,4150515#0,4270196#3,106009#-0,724619#0,392046#3,244046#-0,5094916#0,1953723#3,205733#-0,5090051#0,1277189#3,195195#-0,4350967#0,06564246#3,16809#-0,5696545#0,04291866#3,21839#-0,1646207#-0,2712764#3,213925#-0,7524295#-0,2621441#3,183668#0,1292583#-0,5722024#3,246248#-0,7279773#-0,565336#3,170473#0,2398912#-0,6341013#3,204674#-0,7704431#-0,6218219#3,078468#0  
frame22 #-0,6363433#0,6903516#3,172367#-0,5504045#0,5307987#3,192043# -0,8180904#0,1195391#2,913102#-1,189899#0,4498113#3,097912#-0,7240466#0,119069#2,915734#-1,121933#0,40603#3,106759#-0,5154223#0,233402#2,973773#-0,8932747#0,3375037#3,165293#-0,4166923#0,4268687#3,105362#-0,7246261#0,3919989#3,243985#-0,5097071#0,1942576#3,204859#-0,5088853#0,1265077#3,19468#-0,4349256#0,06508109#3,167762#-0,5690808#0,04179536#3,217722#-0,1646724#-0,2714014#3,213831#-0,7673688#-0,2578908#3,165499#0,1296879#-0,5730671#3,246032#-0,7276848#-0,5703608#3,170805#0,08690906#-0,6295698#3,154208#-0,7704636#-0,6268635#3,078981#0  
frame23 #-0,6341041#0,6897404#3,17427#-0,5505823#0,5305019#3,193169# -0,8206945#0,1312936#2,899357#-1,16739#0,4482371#3,098792#-0,728076#0,1224752#2,91252#-1,090065#0,3950235#3,094496#-0,5183043#0,2354071#2,971188#-0,8933198#0,338055#3,164265#-0,4157161#0,4271597#3,106863#-0,7237045#0,3924539#3,242236#-0,5099852#0,1931408#3,204267#-0,5088104#0,1251725#3,194168#-0,4347401#0,06467283#3,167173#-0,5688277#0,03912219#3,216614#-0,1649287#-0,2713896#3,21274#-0,7528815#-0,2629571#3,180076#0,1328501#-0,573061#3,244388#-0,736167#-0,5785587#3,168925#0,2408785#-0,6368796#3,207524#-0,7781432#-0,6348706#3,076752#0  
