frame12 #0,03474744#0,9786644#3,279236#0,0009335667#0,8058283#3,310413# -0,03585187#0,5875442#3,094538#-0,1961069#0,223878#3,109868#0,0278419#0,5737#3,114681#-0,1904567#0,2970122#3,158202#0,2189232#0,5321672#3,189055#-0,2518595#0,4812944#3,311911#0,1691052#0,6976138#3,365196#-0,1288935#0,6909332#3,258329#-0,00209264#0,4357057#3,325353#0,01376713#0,365907#3,286506#0,08239981#0,2911626#3,304309#-0,05040161#0,2985554#3,256434#0,0557405#-0,269204#3,358804#-0,08431878#-0,274416#3,110773#-0,06165252#-0,5287983#2,977625#-0,1070211#-0,586972#2,886307#-0,02947073#-0,5758229#2,892555#-0,07483932#-0,6339966#2,801238#1  
frame13 #0,03376931#0,9802231#3,278877#0,001080722#0,8065466#3,310138# 0,004622158#0,5545926#3,049932#-0,1959314#0,2262816#3,111461#0,03285231#0,5687118#3,111138#-0,1904319#0,2850899#3,154757#0,2227813#0,5340979#3,193#-0,2517755#0,4813004#3,311806#0,1691708#0,6975923#3,365351#-0,1287932#0,6910908#3,258499#-0,001498712#0,4346803#3,325312#0,01443018#0,3639603#3,286948#0,08346268#0,2890353#3,304504#-0,05007455#0,2971208#3,257445#0,05584013#-0,268711#3,358785#-0,08257999#-0,272119#3,116935#-0,06017804#-0,526347#2,980672#-0,1069327#-0,5869757#2,886571#-0,02806817#-0,5733002#2,895803#-0,0748228#-0,6339289#2,801702#1  
frame14 #0,03550004#0,9803523#3,279048#0,001178323#0,8066116#3,310347# -0,001218449#0,5532081#3,05371#-0,1959438#0,2262797#3,111468#0,04168661#0,576591#3,102049#-0,1900567#0,2896095#3,154388#0,2245322#0,5357982#3,198049#-0,2518914#0,4804461#3,308867#0,169178#0,6975538#3,36541#-0,1288084#0,6916851#3,259452#-0,001433099#0,4339386#3,32509#0,01417987#0,3629748#3,286801#0,08319557#0,2873779#3,303671#-0,05042962#0,2967683#3,257588#0,05661575#-0,2678174#3,359621#-0,067793#-0,2433437#3,153047#-0,05791008#-0,5240674#2,984385#-0,1068833#-0,5861855#2,887255#-0,02608239#-0,5709311#2,899596#-0,07505561#-0,6330492#2,802467#1  
frame15 #0,03476046#0,9779233#3,270941#0,001519909#0,8057373#3,31151# 0,01087698#0,5498027#3,055426#-0,193677#0,2244474#3,110418#0,0406751#0,5814171#3,108549#-0,1895428#0,2913291#3,155074#0,2249179#0,5363614#3,198647#-0,2523301#0,4800545#3,307934#0,1691757#0,6975483#3,365383#-0,1287218#0,6912144#3,259405#-0,001242061#0,4327043#3,325147#0,01425591#0,3618988#3,286764#0,08335155#0,2865419#3,303236#-0,05054501#0,2959456#3,257728#0,05640427#-0,2675958#3,358914#-0,07981511#-0,2630876#3,119147#-0,05725954#-0,5224175#2,986225#-0,1082671#-0,5824785#2,890089#-0,02547512#-0,5691606#2,901561#-0,0764827#-0,6292216#2,805425#1  
frame16 #0,03972117#0,9762039#3,275827#0,001512291#0,8057272#3,311538# -0,01119041#0,5905782#3,065766#-0,1943456#0,214766#3,10354#0,04795149#0,5774205#3,09674#-0,1818081#0,2674192#3,145574#0,2253772#0,5379473#3,203608#-0,2525048#0,4798617#3,307068#0,1690118#0,6973087#3,36477#-0,1287844#0,6912055#3,259372#-0,001300435#0,4314838#3,324766#0,01405232#0,3603987#3,286236#0,08325379#0,285187#3,302353#-0,05091991#0,2946711#3,257509#0,056981#-0,2679302#3,360101#-0,09494521#-0,2470948#3,0738#-0,05813173#-0,5223143#2,99105#-0,1242981#-0,5576548#2,856401#-0,02653036#-0,568976#2,90646#-0,09269669#-0,6043166#2,771811#1  
frame17 #0,03939971#0,9719479#3,274252#0,001929347#0,8040227#3,311165# -0,02067901#0,5893707#3,072091#-0,1952347#0,2205179#3,103423#0,03968714#0,5762435#3,100507#-0,1838685#0,2711186#3,147387#0,2207856#0,5368621#3,199697#-0,2524447#0,4794935#3,306829#0,1692201#0,6975259#3,366231#-0,1282152#0,6901303#3,25829#-0,001390846#0,4304139#3,324443#0,01414986#0,3595698#3,286095#0,08336399#0,2847129#3,302052#-0,05095718#0,2938742#3,257667#0,05709903#-0,2672575#3,359992#-0,08923747#-0,2531869#3,099108#-0,05698358#-0,5184462#2,991322#-0,1195648#-0,5624103#2,878832#-0,02475801#-0,5650417#2,907085#-0,08733924#-0,6090058#2,794595#1  
frame18 #0,04342733#0,9764642#3,278792#0,00189062#0,803848#3,310712# -0,01673634#0,545045#3,065129#-0,1951495#0,2247059#3,103433#0,04338597#0,5431711#3,09667#-0,1910286#0,2949354#3,155343#0,2237529#0,5375496#3,205228#-0,2520328#0,4796829#3,306337#0,1695272#0,6963448#3,365155#-0,1279233#0,6901811#3,257424#-0,001322711#0,4303378#3,32431#0,01417169#0,3594789#3,286086#0,0834067#0,2846502#3,301976#-0,05095959#0,2937934#3,25795#0,05700097#-0,2670833#3,359905#-0,06862212#-0,2386051#3,148542#-0,05639601#-0,5170962#2,992931#-0,09887492#-0,5477713#2,92927#-0,02423528#-0,5636554#2,908788#-0,06671418#-0,5943305#2,845127#1  
frame19 #0,042148#0,9756134#3,272071#0,001777677#0,8038647#3,31059# -0,03011474#0,6191615#3,095299#-0,194195#0,2238988#3,102705#0,03074621#0,5941062#3,112617#-0,1917781#0,2962211#3,154905#0,213329#0,5189403#3,178509#-0,2521903#0,4783468#3,303993#0,1698388#0,6957521#3,365173#-0,1276221#0,6901082#3,257073#-0,001357285#0,4301634#3,324116#0,01416025#0,3592766#3,286005#0,0833859#0,2842355#3,302018#-0,0509436#0,293604#3,25774#0,05704908#-0,266439#3,360385#-0,08010137#-0,263285#3,123941#-0,05541977#-0,5161591#2,995388#-0,1121852#-0,5810691#2,888917#-0,02318311#-0,5626699#2,911369#-0,07994853#-0,6275799#2,804897#1  
frame20 #0,04130279#0,9716624#3,270597#0,001492322#0,8040798#3,31079# -0,02926358#0,6034446#3,083246#-0,193748#0,222729#3,102816#0,03228417#0,5845497#3,105463#-0,1864917#0,2774585#3,153299#0,2169274#0,5278648#3,186054#-0,2528433#0,4788168#3,303879#0,1698948#0,6956007#3,364757#-0,1269403#0,6899099#3,256269#-0,00141872#0,4297925#3,324038#0,01418655#0,3587551#3,285963#0,0833767#0,2839167#3,301864#-0,05083447#0,29329#3,2578#0,05721414#-0,2660471#3,360613#-0,08034883#-0,2637224#3,123376#-0,05484181#-0,5148718#2,997131#-0,112135#-0,5810682#2,888785#-0,02247535#-0,5613227#2,913246#-0,07976858#-0,6275191#2,8049#1  
frame21 #0,04132522#0,9716291#3,27063#0,001741127#0,8034641#3,310588# -0,02735357#0,5861228#3,076168#-0,1935492#0,2225328#3,10157#0,03451888#0,5720016#3,100968#-0,1928079#0,294039#3,156662#0,2201362#0,5296382#3,189312#-0,2545755#0,4792391#3,3023#0,1695922#0,6955028#3,363653#-0,126726#0,6901874#3,255613#-0,001424424#0,429021#3,323776#0,01406272#0,35803#3,285743#0,08311696#0,2833625#3,301307#-0,05094288#0,29291#3,257901#0,05685471#-0,2656772#3,360242#-0,08222013#-0,2641699#3,116564#-0,05359889#-0,513733#2,99782#-0,1120903#-0,5810974#2,888483#-0,0213231#-0,5601451#2,913998#-0,07981448#-0,6275095#2,80466#1  
