frame12 #-0,02763857#1,005179#3,430823#-0,02150463#0,8091695#3,458694# -0,04018232#0,5998127#3,2393#-0,2380508#0,153853#3,283644#0,01526058#0,5731865#3,263334#-0,2349152#0,2330977#3,311039#0,1815893#0,4933077#3,349165#-0,2541852#0,4478201#3,439224#0,1394202#0,6677477#3,460002#-0,1525034#0,6909629#3,417415#-0,02018412#0,4367837#3,468737#-0,0127548#0,3691608#3,41821#0,05104486#0,2992777#3,410463#-0,07651805#0,3027372#3,403135#0,06851503#-0,2554118#3,503823#-0,07802323#-0,2270946#3,195625#0,02444135#-0,5483862#3,473059#-0,0860689#-0,5832732#3,16111#0,02196496#-0,6285967#3,418288#-0,07348245#-0,6220573#3,087116#1  
frame13 #-0,04463521#1,001936#3,433496#-0,02100648#0,8091495#3,457006# -0,07001329#0,5667441#3,225504#-0,2597427#0,1494998#3,312745#-0,007194415#0,5525516#3,241167#-0,2579651#0,2260099#3,34639#0,1812622#0,5099738#3,301946#-0,2452953#0,4531005#3,503844#0,141563#0,6740626#3,452661#-0,1681988#0,6856044#3,419701#-0,02064849#0,4365061#3,465547#-0,01541735#0,369145#3,4144#0,05027417#0,2975248#3,40801#-0,0821301#0,3019541#3,398957#0,06117339#-0,2509136#3,471624#-0,08868218#-0,2351117#3,197543#-0,02490295#-0,5709493#3,406606#-0,08005936#-0,5826309#3,185767#-0,02608419#-0,6488952#3,346706#-0,08152432#-0,6426752#3,137479#1  
frame14 #-0,05150075#0,9871766#3,436471#-0,02246191#0,8059725#3,45237# -0,07577652#0,5528176#3,212262#-0,273886#0,1362897#3,320714#-0,0128378#0,5422247#3,230392#-0,2709256#0,2172095#3,353878#0,1759783#0,510446#3,298617#-0,2460204#0,4461514#3,50731#0,1398933#0,6765392#3,429364#-0,1757023#0,6805362#3,422037#-0,02059199#0,4320056#3,456752#-0,01933749#0,3652551#3,40441#0,04904578#0,2909663#3,395323#-0,08800519#0,2972838#3,390862#0,05898269#-0,2507122#3,465293#-0,09494618#-0,2353262#3,198153#-0,0176257#-0,612332#3,440341#-0,08018261#-0,5844496#3,195553#0,0238037#-0,6496934#3,391515#-0,08462636#-0,6420478#3,135279#1  
frame15 #-0,07628848#0,9910918#3,425446#-0,02327145#0,8038899#3,448758# -0,07132812#0,4969946#3,165679#-0,3131174#0,1490364#3,359684#-0,0109342#0,4936816#3,184957#-0,286516#0,2270353#3,383878#0,1662658#0,5095789#3,28745#-0,2419788#0,4380285#3,516424#0,1339496#0,6788006#3,413816#-0,1867269#0,6684855#3,428947#-0,01966214#0,4302453#3,452597#-0,02225702#0,3637292#3,399845#0,04610551#0,2899762#3,388203#-0,09125865#0,2945155#3,388617#0,05850547#-0,2502311#3,462005#-0,1009529#-0,2384402#3,198461#0,002216892#-0,5547926#3,467954#-0,08446871#-0,5817789#3,182885#0,04589564#-0,6420041#3,453401#-0,08412304#-0,6420637#3,136448#1  
frame16 #-0,1162209#0,983598#3,420698#-0,03686061#0,804244#3,435719# 0,04925192#0,4698857#3,171897#-0,3578331#0,1703122#3,391633#-0,03252588#0,5067413#3,186259#-0,3189732#0,2412985#3,423084#0,1571598#0,4957247#3,257947#-0,2269911#0,396371#3,520257#0,1157658#0,6791558#3,365177#-0,2096536#0,6303719#3,44332#-0,01897053#0,4282068#3,438631#-0,03013292#0,3607292#3,387013#0,03847144#0,2890956#3,362972#-0,09790319#0,2872893#3,383842#-0,02798944#-0,2678726#3,332665#-0,1143931#-0,2591493#3,217138#-0,002908831#-0,5909603#3,463927#-0,09898976#-0,5936264#3,130646#0,05830771#-0,653471#3,460323#-0,1185376#-0,6331497#3,057053#1  
frame17 #-0,1364748#0,9699504#3,427776#-0,0460457#0,7985215#3,428723# -0,1159288#0,4332568#3,119342#-0,4239178#0,1765715#3,416485#-0,05382623#0,4461143#3,13886#-0,3780858#0,2194521#3,432855#0,1324816#0,4846869#3,211419#-0,2354606#0,3690453#3,49194#0,08673026#0,6624799#3,321035#-0,2132118#0,6259623#3,441745#-0,02577501#0,4115503#3,412641#-0,04428418#0,3432482#3,358593#0,01888061#0,2742558#3,316043#-0,1059628#0,2693433#3,371115#0,05607517#-0,2634393#3,407761#-0,1136514#-0,2612075#3,23709#-0,001548626#-0,593513#3,464301#-0,1102863#-0,5785635#3,104304#-0,03280728#-0,6334656#3,393054#-0,141545#-0,6185161#3,033056#1  
frame18 #-0,1455649#0,9627384#3,420109#-0,06129227#0,7872699#3,408657# -0,1179949#0,4086235#3,106615#-0,4365447#0,1933008#3,429875#-0,05715676#0,4269378#3,126233#-0,4095087#0,2411251#3,465136#0,1253578#0,4818805#3,199147#-0,2418731#0,3609501#3,491877#0,08352962#0,6634192#3,316306#-0,2261486#0,613342#3,425185#-0,03186356#0,4126279#3,406835#-0,04719023#0,3440081#3,353883#0,0173717#0,2757488#3,313569#-0,1087576#0,266678#3,366868#0,05638327#-0,2662905#3,406856#-0,1141452#-0,2617945#3,239564#-0,000594296#-0,5932078#3,463016#-0,1075327#-0,5831902#3,102855#-0,02866232#-0,6335998#3,390193#-0,1356007#-0,6235822#3,030032#1  
frame19 #-0,1559741#0,961732#3,414205#-0,06557341#0,7882643#3,406355# -0,00691475#0,3629084#3,062455#-0,4700621#0,2091758#3,436989#-0,04282644#0,3952309#3,106818#-0,4240667#0,2440799#3,468112#0,1225079#0,4827806#3,191789#-0,2465714#0,3633994#3,496376#0,07156675#0,6658676#3,304896#-0,2305434#0,61386#3,422808#-0,03561198#0,409668#3,39738#-0,05223235#0,3415674#3,344368#0,01271392#0,2764293#3,306626#-0,1127578#0,2606787#3,355186#0,05815881#-0,2688415#3,399885#-0,1114105#-0,2506765#3,247551#0,004573854#-0,5854462#3,460705#-0,09772711#-0,5887817#3,092979#0,01093909#-0,6499826#3,418755#-0,1284972#-0,6288837#3,021524#1  
frame20 #-0,1916575#0,8981296#3,396804#-0,08876844#0,6932405#3,36073# -0,1444081#0,2826226#3,029132#-0,5533018#0,3278405#3,493665#-0,08335844#0,326953#3,055478#-0,4884431#0,3136329#3,481847#0,09979053#0,4599441#3,148726#-0,2938672#0,2710099#3,460606#0,04236647#0,6510614#3,268624#-0,2538938#0,5178157#3,377077#-0,04180883#0,3512287#3,350416#-0,05651504#0,2938784#3,300789#0,01077839#0,2363486#3,267915#-0,1131438#0,2026679#3,301291#0,05931404#-0,2724383#3,378697#-0,1178379#-0,2496742#3,214811#0,01897774#-0,5976261#3,462309#-0,08808443#-0,5918042#3,074954#-0,0155386#-0,6137526#3,367691#-0,1202925#-0,6324798#3,003015#1  
frame21 #-0,2139712#0,8491653#3,362273#-0,1094881#0,6427398#3,322787# -0,1546233#0,2163895#3,001106#-0,5537494#0,326803#3,463474#-0,09964857#0,2650724#3,022793#-0,484426#0,3413846#3,450098#0,06527555#0,411121#3,102067#-0,2832924#0,3277957#3,456685#-0,006664294#0,6244777#3,223837#-0,2746135#0,467315#3,339134#-0,05336908#0,3175839#3,301183#-0,07023687#0,261944#3,247853#-0,007854611#0,2061938#3,195634#-0,1171696#0,1678105#3,264983#0,06674664#-0,2753922#3,318909#-0,1180797#-0,2780656#3,180614#0,01328113#-0,5884318#3,430706#-0,08461091#-0,5943787#3,074771#-0,02184701#-0,6081438#3,336598#-0,112127#-0,6659936#3,04092#1  
frame22 #-0,2181008#0,8505954#3,363502#-0,1119315#0,6429161#3,323161# -0,1405478#0,1815363#2,971103#-0,5586928#0,3599882#3,45378#-0,09632808#0,2508798#3,016052#-0,4846575#0,3589449#3,44132#0,06120132#0,4177364#3,094888#-0,2810689#0,3240728#3,452299#-0,01232157#0,6238791#3,219548#-0,2770569#0,4674913#3,339508#-0,05599374#0,3173317#3,296715#-0,07453391#0,2623147#3,242305#-0,01563212#0,2064053#3,17325#-0,120755#0,1638134#3,262487#-0,01307026#-0,2906819#3,223813#-0,1253832#-0,2750541#3,161348#0,01691382#-0,5962698#3,413269#-0,08716428#-0,6029319#3,064268#-0,02007818#-0,6150371#3,319095#-0,116#-0,6674942#3,030287#1  
frame23 #-0,2350849#0,8291661#3,36184#-0,1305822#0,6188713#3,311113# -0,1344146#0,1761427#2,970246#-0,5726947#0,4017195#3,445745#-0,08960386#0,2479338#3,01035#-0,4905989#0,3839774#3,425229#0,04102536#0,4214366#3,074332#-0,2789769#0,3191243#3,455064#-0,02560309#0,6254692#3,207591#-0,2957076#0,4434465#3,32746#-0,071366#0,2915794#3,26596#-0,09040844#0,2384184#3,20882#-0,02517158#0,1914006#3,14517#-0,1366514#0,1226273#3,224306#-0,03159207#-0,2889095#3,177887#-0,1337298#-0,3143751#3,13918#0,01933289#-0,5886731#3,401771#-0,0858738#-0,6056253#3,068886#-0,01883428#-0,610032#3,308146#-0,1166255#-0,6696897#3,021973#1  
