frame1 #-0,03228221#0,9517785#3,48617#-0,04381722#0,783169#3,579304# -0,08083116#0,6335875#3,345455#-0,2829895#0,1655491#3,424008#-0,03168166#0,5963275#3,367723#-0,285616#0,2283383#3,432693#0,1157669#0,4845474#3,447871#-0,2969665#0,4610257#3,574737#0,1205572#0,6674155#3,563468#-0,2029891#0,6908509#3,526333#-0,06099491#0,4295972#3,587852#-0,0571635#0,3667942#3,534503#0,01330036#0,2887037#3,533494#-0,1322955#0,2992496#3,515174#0,01378507#-0,254416#3,610185#-0,1426704#-0,2401611#3,294395#-0,1327151#-0,5873371#3,205299#-0,1435052#-0,6226745#3,202584#-0,1203946#-0,6341043#3,115685#-0,1054056#-0,693456#3,170483#1  
frame2 #-0,04176825#0,9689001#3,481016#-0,0446159#0,7849693#3,577633# -0,1041555#0,6089651#3,382826#-0,2932674#0,1479418#3,417449#-0,04560718#0,5823124#3,394854#-0,2862465#0,2216518#3,436229#0,1300377#0,5023543#3,444401#-0,2946993#0,4543859#3,577446#0,1181882#0,6756771#3,562365#-0,2037116#0,6906292#3,526571#-0,06079467#0,4289752#3,587507#-0,05723189#0,3654756#3,53403#0,01332344#0,2884537#3,533519#-0,1322377#0,2962471#3,514551#0,01477678#-0,2553818#3,606297#-0,1424613#-0,2436807#3,292792#-0,1282836#-0,5920168#3,223753#-0,1415777#-0,6163515#3,207301#-0,1166624#-0,6387341#3,134245#-0,1299564#-0,6630688#3,117793#1  
frame3 #-0,04241581#0,9687271#3,48036#-0,04904978#0,7852718#3,572173# 0,04547748#0,5013798#3,362552#-0,3083001#0,1328063#3,47955#-0,04806523#0,5729818#3,313469#-0,3006583#0,1979819#3,464021#0,1164765#0,4978753#3,411701#-0,2910937#0,4466041#3,579392#0,1170249#0,6801429#3,552028#-0,2062228#0,690299#3,526849#-0,0609269#0,4281669#3,584796#-0,05866065#0,3642685#3,531559#0,01244468#0,2876636#3,529141#-0,1336193#0,2943183#3,513764#0,01572669#-0,2553554#3,604972#-0,1316833#-0,2525245#3,34194#-0,1205395#-0,5940787#3,215449#-0,1423792#-0,6153981#3,20131#-0,112213#-0,6409529#3,125537#-0,1340527#-0,6622724#3,111398#1  
frame4 #-0,06058441#0,964257#3,463407#-0,05349624#0,7861241#3,559332# -0,07063133#0,5513758#3,241771#-0,3090174#0,1298743#3,480098#-0,03952999#0,5583736#3,280467#-0,3037603#0,1967105#3,469781#0,1083061#0,4887539#3,414143#-0,2888077#0,4448026#3,593464#0,1155013#0,6836696#3,543953#-0,2119124#0,6881156#3,519155#-0,06306118#0,427458#3,576792#-0,06059854#0,3625338#3,524595#0,01135887#0,2869655#3,518606#-0,1353782#0,2914664#3,510963#0,0147397#-0,2589187#3,597196#-0,1533969#-0,2382154#3,281597#-0,1230695#-0,5996959#3,20794#-0,1408676#-0,6159056#3,201461#-0,1151702#-0,6469145#3,117754#-0,1329683#-0,6631243#3,111275#1  
frame5 #-0,06938654#0,965032#3,461388#-0,05319123#0,7852703#3,557541# -0,1615492#0,5683604#3,325376#-0,3215643#0,131522#3,501028#-0,09683374#0,5485989#3,335355#-0,3132598#0,199064#3,498858#0,09731267#0,4893145#3,378888#-0,2863658#0,4421908#3,600661#0,1071195#0,6881518#3,508324#-0,2136444#0,6865771#3,517555#-0,06036027#0,4227583#3,569494#-0,06399#0,3577719#3,515759#0,006733974#0,2841094#3,506297#-0,1389543#0,2857687#3,504686#0,01488836#-0,2634314#3,581898#-0,1538381#-0,2415099#3,27835#-0,1245#-0,6077082#3,198845#-0,1402376#-0,6181498#3,199668#-0,1266466#-0,6547121#3,108509#-0,132274#-0,6858788#3,14633#1  
frame6 #-0,0940568#0,9616098#3,453654#-0,05587045#0,7845117#3,546619# -0,1549935#0,5557314#3,274166#-0,3230816#0,1254185#3,522333#-0,09212165#0,5388029#3,296552#-0,3142228#0,1941425#3,516271#0,09649386#0,4880173#3,377315#-0,2761387#0,4481772#3,626236#0,1042568#0,6851716#3,491716#-0,2157358#0,6863472#3,519814#-0,06085809#0,4227507#3,559687#-0,06714121#0,3578075#3,506776#0,00219455#0,2840848#3,486309#-0,14052#0,2856546#3,503087#0,01605173#-0,2638035#3,573738#-0,1375794#-0,248121#3,320564#-0,126105#-0,6079612#3,193442#-0,139649#-0,6135105#3,191206#-0,1336862#-0,6549604#3,103567#-0,1375591#-0,6755392#3,131027#1  
frame7 #-0,1068728#0,9583395#3,454525#-0,0615797#0,7835019#3,531052# -0,1380345#0,5519206#3,207006#-0,3266871#0,1223055#3,548499#-0,08381267#0,5303155#3,244349#-0,3154656#0,1908729#3,539646#0,07885273#0,4655002#3,370021#-0,271848#0,4545052#3,622793#0,08764184#0,6763737#3,440441#-0,2216097#0,7044767#3,530879#-0,05424606#0,4170645#3,546028#-0,06897227#0,3504909#3,495156#4,205899E-05#0,2709408#3,470514#-0,1408086#0,284343#3,500328#0,01819898#-0,263992#3,555333#-0,1133272#-0,2684829#3,362448#-0,1278071#-0,6116705#3,183211#-0,1399228#-0,6119022#3,180121#-0,1528403#-0,6589953#3,09619#-0,164956#-0,6592271#3,0931#1  
frame8 #-0,1385041#0,9610301#3,438755#-0,06791596#0,7897679#3,501235# -0,1333839#0,5370485#3,187939#-0,3249652#0,1062099#3,603967#-0,0803365#0,5189961#3,229775#-0,3102368#0,1707891#3,575335#0,07880571#0,4648391#3,368976#-0,2595665#0,4414082#3,605237#0,08381286#0,6800558#3,435172#-0,2226434#0,7105491#3,549885#-0,05558959#0,4115256#3,525709#-0,07322039#0,3408141#3,478633#-0,005910575#0,2621763#3,451441#-0,1423924#0,2782716#3,493312#0,02106886#-0,2631395#3,544148#-0,1376074#-0,2458845#3,304033#-0,1251004#-0,6174156#3,178327#-0,1368312#-0,610374#3,176408#-0,1565841#-0,6648033#3,094514#-0,1683148#-0,6577617#3,092595#1  
frame9 #-0,1514864#0,955667#3,431288#-0,06994656#0,7894375#3,495188# -0,2087315#0,4587824#3,245309#-0,3211632#0,1097409#3,624047#-0,1297533#0,4679711#3,251491#-0,3053911#0,1627587#3,617701#0,1071811#0,495537#3,283786#-0,2600051#0,4409553#3,602161#0,06883964#0,6775475#3,407094#-0,2230864#0,7106512#3,550332#-0,05640274#0,4056826#3,511659#-0,07843702#0,3341096#3,466537#-0,01491257#0,2525302#3,429424#-0,1456602#0,2722586#3,487246#0,02175998#-0,2623688#3,529#-0,1376748#-0,246012#3,304466#-0,107396#-0,6020818#3,163294#-0,1260902#-0,6062489#3,169185#-0,1474132#-0,6493973#3,082442#-0,1661074#-0,6535643#3,088333#1  
frame10 #-0,1709209#0,9502583#3,415407#-0,07447922#0,7901455#3,472302# -0,2066981#0,427049#3,201418#-0,3115982#0,1114978#3,64276#-0,1286479#0,4435645#3,21721#-0,3042783#0,1671494#3,630693#0,1055027#0,4931111#3,278399#-0,2628657#0,4401816#3,583635#0,06227729#0,6787562#3,391269#-0,2262984#0,7117968#3,541071#-0,06271371#0,413739#3,489316#-0,08578604#0,3436112#3,445933#-0,02635328#0,2722503#3,41135#-0,1499336#0,2755573#3,466315#0,02337203#-0,2655489#3,514133#-0,09023282#-0,2270062#3,409623#-0,1080156#-0,5991678#3,154992#-0,1176603#-0,5911942#3,15952#-0,1489921#-0,6453807#3,076903#-0,1586368#-0,637407#3,081431#1  
frame11 #-0,179438#0,9425163#3,407893#-0,07974101#0,7833114#3,460921# -0,2775592#0,3595759#3,150296#-0,3267064#0,1207248#3,676331#-0,205693#0,3907245#3,167234#-0,3001874#0,1647215#3,647907#0,009905431#0,4841702#3,23195#-0,2683879#0,4320976#3,570978#0,04259945#0,6703666#3,350769#-0,2328319#0,7052762#3,528549#-0,06104463#0,4011571#3,466552#-0,08719468#0,3305241#3,422797#-0,02804451#0,2668882#3,396179#-0,147522#0,2573533#3,433921#0,02200275#-0,2721428#3,497604#-0,1257399#-0,2595455#3,320321#-0,1072903#-0,6041922#3,149298#-0,1143275#-0,605126#3,145861#-0,1562531#-0,6505172#3,074513#-0,1632903#-0,651451#3,071075#1  
